state,district,year,soyabean_kharif_yield_tonne_per_hectare
,Narayanpur,2006 - 2007,0.0
,Raigarh,2000 - 2001,0.37
,,2002 - 2003,0.53
,,2003 - 2004,0.88
,,2004 - 2005,0.73
,,2006 - 2007,1.08
,,2007 - 2008,1.18
,,2008 - 2009,1.17
,,2009 - 2010,1.0
,,2010 - 2011,1.23
,,2011 - 2012,0.6
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,0.5
,,2016 - 2017,0.67
,,2017 - 2018,0.6
,Raipur,2000 - 2001,0.62
,,2001 - 2002,1.14
,,2002 - 2003,0.7
,,2003 - 2004,1.07
,,2004 - 2005,1.27
,,2005 - 2006,1.2
,,2006 - 2007,1.26
,,2007 - 2008,1.47
,,2008 - 2009,1.33
,,2009 - 2010,1.15
,,2010 - 2011,1.56
,,2011 - 2012,0.91
,,2012 - 2013,1.93
,,2013 - 2014,1.63
,,2014 - 2015,1.12
,,2015 - 2016,0.85
,,2016 - 2017,1.36
,,2017 - 2018,0.56
,,2018 - 2019,1.08
,,2019 - 2020,1.75
,,2020 - 2021,1.1
,,2021 - 2022,1.02
,,2022 - 2023,1.36
,Rajnandgaon,2000 - 2001,0.59
,,2001 - 2002,0.83
,,2002 - 2003,0.57
,,2003 - 2004,0.91
,,2004 - 2005,0.97
,,2005 - 2006,1.02
,,2006 - 2007,1.03
,,2007 - 2008,1.32
,,2008 - 2009,0.93
,,2009 - 2010,0.79
,,2010 - 2011,1.19
,,2011 - 2012,0.83
,,2012 - 2013,1.25
,,2013 - 2014,1.14
,,2014 - 2015,0.38
,,2015 - 2016,0.43
,,2016 - 2017,0.77
,,2017 - 2018,0.44
,,2018 - 2019,0.85
,,2019 - 2020,1.26
,,2020 - 2021,0.81
,,2021 - 2022,0.71
,,2022 - 2023,0.98
,Sukma,2012 - 2013,2.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,Surajpur,2011 - 2012,0.67
,,2012 - 2013,1.0
,,2013 - 2014,0.8
,,2014 - 2015,0.45
,,2015 - 2016,0.43
,,2016 - 2017,0.73
,,2017 - 2018,0.29
,,2018 - 2019,0.8
,Surguja,2000 - 2001,0.51
,,2001 - 2002,0.7
,,2002 - 2003,0.49
,,2003 - 2004,0.87
,,2004 - 2005,0.74
,,2005 - 2006,0.87
,,2006 - 2007,0.92
,,2007 - 2008,1.04
,,2008 - 2009,0.92
,,2009 - 2010,0.52
,,2010 - 2011,0.51
,,2011 - 2012,0.78
,,2012 - 2013,1.13
,,2013 - 2014,0.89
,,2014 - 2015,0.67
,,2015 - 2016,0.5
,,2017 - 2018,0.25
,,2018 - 2019,0.8
,,2019 - 2020,0.67
Gujarat,Ahmadabad,2015 - 2016,0.8
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2022 - 2023,1.68
,Amreli,2015 - 2016,0.77
,,2018 - 2019,0.67
,,2020 - 2021,1.36
,,2021 - 2022,1.63
,,2022 - 2023,1.95
,Anand,2015 - 2016,1.0
,,2016 - 2017,0.7
,,2017 - 2018,0.71
,,2018 - 2019,1.8
,,2019 - 2020,1.0
,,2021 - 2022,1.62
,,2022 - 2023,1.71
,Aravalli,2014 - 2015,0.8
,,2015 - 2016,0.8
,,2016 - 2017,1.08
,,2017 - 2018,1.24
,,2018 - 2019,8.48
,,2019 - 2020,1.37
,,2020 - 2021,1.41
,,2021 - 2022,1.75
,,2022 - 2023,1.77
,Banas kantha,2021 - 2022,1.63
,,2022 - 2023,1.68
,Bharuch,2010 - 2011,0.83
,,2017 - 2018,1.25
,,2018 - 2019,0.8
,,2019 - 2020,1.4
,,2020 - 2021,1.07
,,2021 - 2022,1.27
,,2022 - 2023,1.24
,Bhavnagar,2021 - 2022,1.67
,,2022 - 2023,1.68
,Botad,2020 - 2021,1.36
,,2021 - 2022,1.63
,,2022 - 2023,1.68
,Chhotaudepur,2014 - 2015,0.85
,,2015 - 2016,0.84
,,2016 - 2017,0.83
,,2017 - 2018,0.85
,,2018 - 2019,1.71
,,2019 - 2020,1.75
,,2020 - 2021,1.57
,,2021 - 2022,1.71
,,2022 - 2023,1.4
,Dang,2010 - 2011,0.81
,,2012 - 2013,0.4
,,2015 - 2016,0.41
,,2016 - 2017,0.6
,,2017 - 2018,0.7
,,2018 - 2019,1.23
,,2019 - 2020,0.64
,,2020 - 2021,1.36
,,2021 - 2022,1.16
,,2022 - 2023,1.08
,Devbhumi dwarka,2016 - 2017,1.75
,,2021 - 2022,1.67
,,2022 - 2023,1.68
,Dohad,2010 - 2011,0.8
,,2011 - 2012,0.77
,,2012 - 2013,0.79
,,2013 - 2014,0.79
,,2014 - 2015,0.78
,,2015 - 2016,0.79
,,2016 - 2017,0.76
,,2017 - 2018,0.77
,,2018 - 2019,2.01
,,2019 - 2020,0.99
,,2020 - 2021,1.09
,,2021 - 2022,1.09
,,2022 - 2023,1.1
,Gandhinagar,2016 - 2017,0.88
,,2020 - 2021,1.36
,,2021 - 2022,1.63
,,2022 - 2023,1.68
,Gir somnath,2020 - 2021,1.5
,,2021 - 2022,1.61
,,2022 - 2023,1.91
,Jamnagar,2010 - 2011,1.0
,,2014 - 2015,0.38
,,2015 - 2016,0.37
,,2018 - 2019,1.25
,,2021 - 2022,1.63
,,2022 - 2023,1.68
,Junagadh,2010 - 2011,1.0
,,2013 - 2014,0.75
,,2014 - 2015,0.75
,,2015 - 2016,0.75
,,2018 - 2019,0.74
,,2019 - 2020,1.32
,,2020 - 2021,1.5
,,2021 - 2022,1.85
,,2022 - 2023,1.95
,Kachchh,2016 - 2017,0.8
,,2017 - 2018,0.88
,,2021 - 2022,1.65
,Kheda,2010 - 2011,0.8
,,2013 - 2014,0.78
,,2014 - 2015,0.8
,,2015 - 2016,0.78
,,2016 - 2017,0.71
,,2017 - 2018,0.74
,,2018 - 2019,1.6
,,2019 - 2020,1.32
,,2020 - 2021,1.46
,,2021 - 2022,1.39
,,2022 - 2023,1.44
,Mahesana,2010 - 2011,1.0
,,2020 - 2021,1.36
,,2021 - 2022,1.63
,,2022 - 2023,1.68
,Mahisagar,2014 - 2015,0.77
,,2015 - 2016,0.84
,,2016 - 2017,1.19
,,2017 - 2018,1.51
,,2018 - 2019,1.45
,,2019 - 2020,1.13
,,2020 - 2021,0.52
,,2021 - 2022,1.42
,,2022 - 2023,1.12
,Morbi,2014 - 2015,0.75
,,2015 - 2016,0.75
,,2016 - 2017,1.5
,,2017 - 2018,1.51
,,2018 - 2019,0.75
,,2019 - 2020,1.95
,,2020 - 2021,0.92
,,2021 - 2022,1.63
,,2022 - 2023,1.68
,Narmada,2010 - 2011,0.81
,,2013 - 2014,0.81
,,2014 - 2015,0.81
,,2015 - 2016,0.81
,,2016 - 2017,0.85
,,2017 - 2018,0.88
,,2018 - 2019,1.36
,,2019 - 2020,1.44
,,2020 - 2021,1.45
,,2021 - 2022,1.51
,,2022 - 2023,1.5
,Panch mahals,2010 - 2011,0.75
,,2011 - 2012,0.6
,,2012 - 2013,1.0
,,2013 - 2014,0.75
,,2014 - 2015,0.75
,,2015 - 2016,0.83
,,2016 - 2017,1.2
,,2017 - 2018,1.5
,,2018 - 2019,1.8
,,2019 - 2020,1.32
,,2020 - 2021,1.3
,,2021 - 2022,1.63
,,2022 - 2023,1.11
,Patan,2016 - 2017,0.9
,,2021 - 2022,1.61
,Porbandar,2021 - 2022,1.63
,,2022 - 2023,1.68
,Rajkot,2014 - 2015,0.37
,,2015 - 2016,0.37
,,2016 - 2017,0.53
,,2017 - 2018,0.69
,,2018 - 2019,0.47
,,2019 - 2020,1.09
,,2020 - 2021,1.36
,,2021 - 2022,1.79
,,2022 - 2023,2.19
,Sabar kantha,2010 - 2011,0.8
,,2011 - 2012,0.8
,,2012 - 2013,0.81
,,2013 - 2014,0.8
,,2014 - 2015,0.8
,,2018 - 2019,1.0
,,2019 - 2020,1.32
,,2020 - 2021,1.79
,,2021 - 2022,1.85
,,2022 - 2023,1.74
,Surat,2010 - 2011,0.85
,,2012 - 2013,0.44
,,2013 - 2014,0.79
,,2014 - 2015,0.64
,,2015 - 2016,0.62
,,2016 - 2017,0.88
,,2017 - 2018,0.9
,,2018 - 2019,1.34
,,2019 - 2020,1.39
,,2020 - 2021,1.21
,,2021 - 2022,1.28
,,2022 - 2023,1.31
,Surendranagar,2020 - 2021,1.36
,,2021 - 2022,1.63
,,2022 - 2023,1.68
,Tapi,2010 - 2011,0.84
,,2011 - 2012,0.79
,,2012 - 2013,0.83
,,2013 - 2014,0.82
,,2014 - 2015,0.81
,,2015 - 2016,0.81
,,2016 - 2017,1.05
,,2017 - 2018,1.15
,,2018 - 2019,1.28
,,2019 - 2020,1.55
,,2020 - 2021,1.54
,,2021 - 2022,1.79
,,2022 - 2023,1.43
,Vadodara,2010 - 2011,0.79
,,2011 - 2012,0.88
,,2012 - 2013,0.85
,,2013 - 2014,0.83
,,2014 - 2015,0.85
,,2015 - 2016,0.84
,,2016 - 2017,0.72
,,2017 - 2018,0.74
,,2018 - 2019,1.64
,,2019 - 2020,1.37
,,2020 - 2021,1.45
,,2021 - 2022,1.39
,,2022 - 2023,1.38
Haryana,Ambala,2010 - 2011,0.0
,Hisar,2021 - 2022,0.6
,Jhajjar,2011 - 2012,0.0
Himachal Pradesh,Bilaspur,2000 - 2001,1.24
,,2001 - 2002,1.18
,,2002 - 2003,1.65
,,2006 - 2007,1.71
,,2008 - 2009,1.4
,,2009 - 2010,0.67
,,2010 - 2011,1.56
,,2011 - 2012,1.56
,,2012 - 2013,1.56
,,2013 - 2014,1.44
,,2014 - 2015,0.11
,,2015 - 2016,1.63
,,2016 - 2017,1.63
,,2017 - 2018,1.63
,,2018 - 2019,1.58
,,2019 - 2020,1.67
,,2020 - 2021,0.78
,Chamba,2002 - 2003,0.0
,,2018 - 2019,1.5
,,2019 - 2020,1.5
,Hamirpur,2001 - 2002,1.0
,Kangra,2000 - 2001,0.85
,,2001 - 2002,1.64
,,2002 - 2003,1.64
,,2005 - 2006,1.4
,,2006 - 2007,1.68
,,2007 - 2008,1.68
,,2008 - 2009,1.68
,,2009 - 2010,0.67
,,2010 - 2011,1.38
,,2011 - 2012,1.36
,,2012 - 2013,1.44
,,2013 - 2014,1.38
,,2014 - 2015,1.38
,,2015 - 2016,1.37
,,2016 - 2017,1.37
,,2017 - 2018,1.38
,,2018 - 2019,1.5
,,2019 - 2020,1.55
,,2020 - 2021,0.84
,,2021 - 2022,0.86
,,2022 - 2023,0.8
,Kullu,2000 - 2001,1.0
,,2001 - 2002,1.17
,,2002 - 2003,1.6
,,2005 - 2006,1.0
,,2006 - 2007,1.75
,,2007 - 2008,1.0
,,2008 - 2009,1.25
,,2009 - 2010,1.0
,,2010 - 2011,1.5
,,2011 - 2012,1.5
,,2012 - 2013,1.5
,,2013 - 2014,1.5
,,2014 - 2015,1.5
,,2015 - 2016,1.5
,,2016 - 2017,1.5
,,2017 - 2018,1.5
,,2018 - 2019,1.67
,,2019 - 2020,1.67
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Mandi,2000 - 2001,0.98
,,2001 - 2002,1.06
,,2002 - 2003,1.64
,,2005 - 2006,1.39
,,2006 - 2007,1.68
,,2007 - 2008,1.68
,,2008 - 2009,1.68
,,2009 - 2010,0.81
,,2010 - 2011,1.48
,,2011 - 2012,1.91
,,2012 - 2013,1.32
,,2013 - 2014,1.56
,,2014 - 2015,1.91
,,2015 - 2016,1.74
,,2016 - 2017,1.91
,,2017 - 2018,1.74
,,2018 - 2019,1.73
,,2019 - 2020,1.74
,,2020 - 2021,0.74
,,2021 - 2022,0.74
,,2022 - 2023,0.74
,Shimla,2000 - 2001,1.0
