state,district,year,soyabean_kharif_yield_tonne_per_hectare
,,2017 - 2018,0.78
,,2018 - 2019,0.9
,,2019 - 2020,0.51
,,2020 - 2021,0.69
,Kanpur nagar,2000 - 2001,0.58
,,2001 - 2002,0.72
,,2002 - 2003,0.17
,,2003 - 2004,1.11
,,2004 - 2005,0.43
,,2005 - 2006,0.78
,,2006 - 2007,1.0
,,2007 - 2008,0.67
,,2008 - 2009,0.67
,,2009 - 2010,1.06
,,2010 - 2011,1.33
,,2015 - 2016,0.0
,Kheri,2004 - 2005,0.43
,,2006 - 2007,0.93
,,2007 - 2008,0.67
,Lalitpur,2000 - 2001,0.61
,,2001 - 2002,0.73
,,2002 - 2003,0.16
,,2003 - 2004,1.07
,,2004 - 2005,0.41
,,2005 - 2006,0.78
,,2006 - 2007,0.98
,,2007 - 2008,0.67
,,2008 - 2009,0.86
,,2009 - 2010,1.05
,,2010 - 2011,1.23
,,2011 - 2012,1.25
,,2012 - 2013,1.41
,,2013 - 2014,0.58
,,2014 - 2015,0.72
,,2015 - 2016,0.17
,,2016 - 2017,0.67
,,2017 - 2018,0.79
,,2018 - 2019,0.9
,,2019 - 2020,0.53
,,2020 - 2021,0.75
,,2021 - 2022,0.42
,,2022 - 2023,0.53
,Lucknow,2003 - 2004,1.0
,,2004 - 2005,0.5
,Maharajganj,2014 - 2015,0.67
,Mahoba,2000 - 2001,0.59
,,2001 - 2002,0.72
,,2002 - 2003,0.16
,,2003 - 2004,1.07
,,2004 - 2005,0.41
,,2005 - 2006,0.82
,,2006 - 2007,0.97
,,2008 - 2009,0.86
,,2009 - 2010,1.06
,,2010 - 2011,1.23
,,2011 - 2012,1.25
,,2012 - 2013,1.41
,,2013 - 2014,0.58
,,2014 - 2015,0.72
,,2016 - 2017,0.67
,,2017 - 2018,0.77
,,2018 - 2019,0.9
,,2019 - 2020,0.51
,,2020 - 2021,0.69
,,2021 - 2022,0.53
,,2022 - 2023,0.55
,Mathura,2003 - 2004,1.0
,Mirzapur,2001 - 2002,0.67
,Moradabad,2003 - 2004,1.0
,,2004 - 2005,0.33
,,2005 - 2006,1.0
,Muzaffarnagar,2003 - 2004,1.0
,,2004 - 2005,0.4
,,2006 - 2007,1.0
,Pilibhit,2001 - 2002,1.0
,,2003 - 2004,1.2
,,2004 - 2005,0.0
,,2005 - 2006,0.76
,,2006 - 2007,1.0
,,2007 - 2008,0.67
,,2008 - 2009,0.85
,,2009 - 2010,1.04
,,2010 - 2011,1.23
,,2011 - 2012,1.25
,,2012 - 2013,1.42
,,2013 - 2014,0.58
,,2014 - 2015,0.72
,,2015 - 2016,0.17
,,2016 - 2017,0.67
,,2017 - 2018,0.78
,,2018 - 2019,0.9
,,2020 - 2021,1.67
,,2022 - 2023,0.55
,Rae bareli,2001 - 2002,0.5
,Rampur,2000 - 2001,0.67
,,2001 - 2002,0.67
,,2003 - 2004,1.0
,,2004 - 2005,0.4
,,2005 - 2006,0.8
,,2006 - 2007,0.95
,,2008 - 2009,0.82
,,2009 - 2010,1.06
,,2011 - 2012,1.25
,,2012 - 2013,1.41
,,2013 - 2014,0.58
,,2014 - 2015,0.73
,,2015 - 2016,0.18
,,2016 - 2017,0.68
,,2017 - 2018,0.78
,,2018 - 2019,0.89
,,2019 - 2020,0.51
,,2020 - 2021,0.69
,Sant ravidas nagar,2004 - 2005,1.0
,Shahjahanpur,2000 - 2001,0.63
,,2001 - 2002,0.72
,,2002 - 2003,0.16
,,2003 - 2004,1.07
,,2004 - 2005,0.42
,,2005 - 2006,0.78
,,2006 - 2007,0.98
,,2007 - 2008,0.65
,,2009 - 2010,1.06
,,2010 - 2011,1.23
,,2011 - 2012,1.25
,,2012 - 2013,1.39
,,2013 - 2014,0.56
,,2015 - 2016,0.25
,,2016 - 2017,0.67
,,2017 - 2018,0.78
,,2018 - 2019,0.89
,,2019 - 2020,0.5
,,2020 - 2021,1.68
,Shravasti,2008 - 2009,0.86
,Siddharth nagar,2001 - 2002,0.75
,Sitapur,2000 - 2001,0.62
,,2001 - 2002,0.67
,,2002 - 2003,0.11
,,2004 - 2005,0.39
,,2006 - 2007,1.0
,Unnao,2000 - 2001,0.5
,,2004 - 2005,0.5
,,2006 - 2007,1.0
Uttarakhand,Almora,2000 - 2001,0.55
,,2001 - 2002,0.55
,,2002 - 2003,0.5
,,2003 - 2004,1.5
,,2004 - 2005,1.2
,,2005 - 2006,0.65
,,2006 - 2007,1.28
,,2007 - 2008,1.27
,,2008 - 2009,1.15
,,2009 - 2010,1.33
,,2010 - 2011,1.31
,,2011 - 2012,1.4
,,2012 - 2013,1.4
,,2013 - 2014,1.41
,,2014 - 2015,0.73
,,2015 - 2016,1.06
,,2016 - 2017,0.87
,,2017 - 2018,0.93
,,2018 - 2019,1.11
,,2019 - 2020,1.09
,,2020 - 2021,1.0
,,2021 - 2022,1.15
,,2022 - 2023,1.25
,Bageshwar,2000 - 2001,0.7
,,2001 - 2002,0.6
,,2003 - 2004,1.43
,,2004 - 2005,1.2
,,2006 - 2007,1.25
,,2007 - 2008,1.29
,,2008 - 2009,1.2
,,2009 - 2010,1.29
,,2010 - 2011,1.33
,,2011 - 2012,1.41
,,2012 - 2013,1.4
,,2013 - 2014,1.42
,,2014 - 2015,0.8
,,2015 - 2016,0.78
,,2016 - 2017,1.01
,,2017 - 2018,1.01
,,2018 - 2019,0.92
,,2019 - 2020,1.09
,,2020 - 2021,1.0
,,2021 - 2022,1.14
,,2022 - 2023,1.24
,Chamoli,2000 - 2001,0.66
,,2001 - 2002,0.66
,,2002 - 2003,0.6
,,2003 - 2004,1.36
,,2004 - 2005,1.1
,,2005 - 2006,0.63
,,2006 - 2007,0.67
,,2007 - 2008,0.88
,,2008 - 2009,1.03
,,2009 - 2010,1.02
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.02
,,2013 - 2014,1.02
,,2014 - 2015,1.07
,,2015 - 2016,0.92
,,2016 - 2017,0.92
,,2017 - 2018,0.93
,,2018 - 2019,1.14
,,2019 - 2020,1.17
,,2020 - 2021,1.36
,,2021 - 2022,0.99
,,2022 - 2023,1.05
,Champawat,2000 - 2001,0.6
,,2001 - 2002,0.65
,,2002 - 2003,0.55
,,2003 - 2004,1.68
,,2004 - 2005,1.15
,,2006 - 2007,0.97
,,2007 - 2008,0.95
,,2008 - 2009,0.97
,,2009 - 2010,0.97
,,2012 - 2013,0.98
,,2013 - 2014,0.98
,,2014 - 2015,0.8
,,2015 - 2016,1.09
,,2016 - 2017,1.0
,,2017 - 2018,0.99
,,2018 - 2019,1.38
,,2019 - 2020,1.13
,,2020 - 2021,1.3
,,2021 - 2022,1.61
,,2022 - 2023,1.24
,Dehradun,2001 - 2002,0.61
,,2002 - 2003,0.5
,,2003 - 2004,1.27
,,2004 - 2005,1.22
,,2005 - 2006,0.8
,,2006 - 2007,0.79
,,2007 - 2008,0.86
,,2008 - 2009,0.71
,,2009 - 2010,0.7
,,2010 - 2011,0.86
,,2011 - 2012,0.85
,,2012 - 2013,1.42
,,2013 - 2014,0.86
,,2014 - 2015,0.94
,,2015 - 2016,0.88
,,2016 - 2017,0.56
,,2017 - 2018,0.5
,,2018 - 2019,0.54
,,2019 - 2020,1.2
,,2020 - 2021,1.39
,,2021 - 2022,1.0
,,2022 - 2023,1.07
,Haridwar,2004 - 2005,1.0
,,2005 - 2006,0.6
,,2008 - 2009,1.0
,,2015 - 2016,1.0
,Nainital,2000 - 2001,0.76
,,2001 - 2002,0.68
,,2002 - 2003,0.69
,,2003 - 2004,0.94
,,2004 - 2005,1.39
,,2005 - 2006,1.22
,,2006 - 2007,1.54
,,2007 - 2008,1.52
,,2008 - 2009,1.42
,,2009 - 2010,1.98
,,2010 - 2011,1.87
,,2011 - 2012,1.92
,,2012 - 2013,2.73
,,2013 - 2014,1.81
,,2014 - 2015,1.59
,,2015 - 2016,1.58
,,2016 - 2017,1.36
,,2017 - 2018,1.39
,,2018 - 2019,1.08
,,2019 - 2020,1.03
,,2020 - 2021,1.18
,,2021 - 2022,1.54
,,2022 - 2023,1.31
,Pauri garhwal,2000 - 2001,0.55
,,2001 - 2002,0.55
,,2002 - 2003,0.5
,,2003 - 2004,0.92
,,2004 - 2005,1.0
,,2005 - 2006,0.53
,,2006 - 2007,0.57
,,2007 - 2008,0.8
,,2008 - 2009,0.73
,,2009 - 2010,0.7
,,2010 - 2011,0.72
,,2011 - 2012,0.24
,,2012 - 2013,0.62
,,2013 - 2014,0.62
,,2014 - 2015,0.28
,,2015 - 2016,0.8
,,2016 - 2017,0.5
,,2017 - 2018,0.51
,,2018 - 2019,0.52
,,2019 - 2020,1.28
,,2020 - 2021,1.16
,,2021 - 2022,0.98
,,2022 - 2023,1.07
,Pithoragarh,2000 - 2001,0.7
,,2001 - 2002,0.65
,,2002 - 2003,0.6
,,2003 - 2004,1.5
,,2004 - 2005,1.27
,,2005 - 2006,1.68
,,2006 - 2007,1.49
,,2007 - 2008,1.35
,,2008 - 2009,1.15
,,2009 - 2010,1.44
,,2010 - 2011,1.53
,,2011 - 2012,1.53
,,2012 - 2013,1.48
,,2013 - 2014,1.36
,,2014 - 2015,0.91
,,2015 - 2016,1.09
,,2016 - 2017,1.18
,,2017 - 2018,1.27
,,2018 - 2019,1.14
,,2019 - 2020,1.29
,,2020 - 2021,1.39
,,2021 - 2022,1.33
,,2022 - 2023,1.54
,Rudra prayag,2000 - 2001,0.66
,,2001 - 2002,0.51
,,2002 - 2003,0.45
,,2003 - 2004,1.98
,,2004 - 2005,1.0
,,2005 - 2006,0.55
,,2006 - 2007,0.58
,,2007 - 2008,0.91
,,2008 - 2009,0.94
,,2009 - 2010,1.0
,,2010 - 2011,0.96
,,2011 - 2012,0.95
,,2012 - 2013,0.82
,,2013 - 2014,0.82
,,2014 - 2015,0.83
,,2015 - 2016,0.81
,,2016 - 2017,0.52
,,2017 - 2018,0.52
,,2018 - 2019,0.53
,,2019 - 2020,1.17
,,2020 - 2021,1.16
,,2021 - 2022,0.98
,,2022 - 2023,1.08
,Tehri garhwal,2000 - 2001,0.6
,,2001 - 2002,0.48
,,2002 - 2003,0.43
,,2003 - 2004,0.9
,,2004 - 2005,0.95
,,2005 - 2006,0.61
,,2006 - 2007,0.62
,,2007 - 2008,1.17
,,2008 - 2009,0.93
,,2009 - 2010,0.92
,,2010 - 2011,0.83
,,2011 - 2012,0.86
,,2012 - 2013,0.9
,,2013 - 2014,0.9
,,2014 - 2015,0.99
,,2015 - 2016,0.95
,,2016 - 2017,0.52
,,2017 - 2018,0.68
,,2018 - 2019,0.9
,,2019 - 2020,1.28
,,2020 - 2021,1.16
,,2021 - 2022,1.12
,,2022 - 2023,1.08
,Udam singh nagar,2000 - 2001,0.75
,,2001 - 2002,0.75
,,2002 - 2003,0.68
,,2003 - 2004,0.84
,,2004 - 2005,1.39
,,2005 - 2006,1.53
,,2006 - 2007,1.5
,,2007 - 2008,1.6
,,2008 - 2009,1.45
,,2009 - 2010,1.93
,,2010 - 2011,1.18
,,2011 - 2012,1.29
,,2012 - 2013,1.56
,,2013 - 2014,1.13
,,2014 - 2015,0.92
,,2015 - 2016,1.06
,,2016 - 2017,1.36
,,2017 - 2018,1.4
,,2018 - 2019,1.32
,,2019 - 2020,1.13
,,2020 - 2021,1.31
,,2021 - 2022,1.61
,,2022 - 2023,1.3
,Uttar kashi,2000 - 2001,0.67
,,2001 - 2002,0.5
,,2002 - 2003,0.48
,,2003 - 2004,1.65
,,2004 - 2005,1.2
,,2005 - 2006,0.64
,,2006 - 2007,0.67
,,2007 - 2008,1.0
,,2008 - 2009,0.87
,,2009 - 2010,1.0
,,2010 - 2011,1.02
,,2011 - 2012,1.02
,,2012 - 2013,0.97
,,2013 - 2014,0.98
,,2014 - 2015,0.98
,,2015 - 2016,0.91
,,2016 - 2017,1.05
,,2017 - 2018,0.98
,,2018 - 2019,0.93
,,2019 - 2020,1.28
,,2020 - 2021,1.16
,,2021 - 2022,1.12
,,2022 - 2023,1.08
West Bengal,Bankura,2000 - 2001,0.59
,,2001 - 2002,0.55
,,2002 - 2003,0.33
,,2003 - 2004,0.64
,,2004 - 2005,0.43
,,2005 - 2006,0.64
,,2006 - 2007,0.33
,,2007 - 2008,0.33
,,2008 - 2009,0.25
,Birbhum,2000 - 2001,0.45
,,2001 - 2002,0.4
,,2002 - 2003,0.47
,,2004 - 2005,0.47
,,2005 - 2006,0.48
,,2006 - 2007,0.5
,,2007 - 2008,0.54
,,2008 - 2009,0.55
,,2009 - 2010,0.55
,,2010 - 2011,0.55
,,2011 - 2012,0.54
,,2012 - 2013,0.53
,,2013 - 2014,0.54
,,2014 - 2015,0.55
,,2015 - 2016,0.55
,,2016 - 2017,0.56
,,2017 - 2018,0.55
,,2018 - 2019,1.91
,,2019 - 2020,1.91
,,2020 - 2021,1.93
,,2021 - 2022,1.94
,,2022 - 2023,1.95
,Darjeeling,2000 - 2001,0.6
,,2001 - 2002,0.6
,,2002 - 2003,0.6
,,2004 - 2005,0.58
,,2005 - 2006,0.58
,,2006 - 2007,0.6
,,2007 - 2008,0.6
,,2008 - 2009,0.6
,,2009 - 2010,0.6
,,2010 - 2011,0.6
,,2011 - 2012,0.84
,,2012 - 2013,0.84
,,2013 - 2014,0.72
,,2014 - 2015,0.72
,,2015 - 2016,0.75
,,2016 - 2017,0.76
,,2017 - 2018,0.8
,,2018 - 2019,0.8
,,2019 - 2020,0.6
,,2020 - 2021,0.7
,,2021 - 2022,0.7
,,2022 - 2023,0.71
,Kalimpong,2017 - 2018,1.3
,,2018 - 2019,0.4
,Purba bardhaman,2000 - 2001,0.67
,,2001 - 2002,0.6
,,2002 - 2003,0.8
,,2003 - 2004,0.8
,,2004 - 2005,0.67
,,2005 - 2006,0.72
,,2006 - 2007,0.82
,,2007 - 2008,0.92
,,2008 - 2009,0.91
,,2009 - 2010,0.77
,,2010 - 2011,0.8
,,2011 - 2012,0.78
,,2012 - 2013,0.73
,,2013 - 2014,0.83
,,2014 - 2015,0.71
,,2015 - 2016,0.77
,,2016 - 2017,0.8
,Purulia,2013 - 2014,0.4
,,2014 - 2015,0.39
,,2015 - 2016,0.41
,,2016 - 2017,0.39
