state,district,year,horse_gram_kharif_yield_tonne_per_hectare
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mayurbhanj,2000 - 2001,0.19
,,2001 - 2002,0.28
,,2002 - 2003,0.2
,,2003 - 2004,0.25
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nabarangpur,2000 - 2001,0.26
,,2001 - 2002,0.35
,,2002 - 2003,0.19
,,2003 - 2004,0.41
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nayagarh,2000 - 2001,0.21
,,2001 - 2002,0.32
,,2002 - 2003,0.22
,,2003 - 2004,0.31
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nuapada,2000 - 2001,0.07
,,2001 - 2002,0.17
,,2002 - 2003,0.07
,,2003 - 2004,0.15
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Puri,2000 - 2001,0.24
,,2001 - 2002,0.29
,,2002 - 2003,0.29
,,2003 - 2004,0.26
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rayagada,2000 - 2001,0.2
,,2001 - 2002,0.31
,,2002 - 2003,0.2
,,2003 - 2004,0.33
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sambalpur,2000 - 2001,0.15
,,2001 - 2002,0.33
,,2002 - 2003,0.26
,,2003 - 2004,0.32
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sonepur,2000 - 2001,0.16
,,2001 - 2002,0.25
,,2002 - 2003,0.15
,,2003 - 2004,0.19
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sundargarh,2000 - 2001,0.14
,,2001 - 2002,0.33
,,2002 - 2003,0.19
,,2003 - 2004,0.32
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Tamil Nadu,Ariyalur,2012 - 2013,0.0
,,2013 - 2014,0.0
,,2014 - 2015,0.8
,,2015 - 2016,1.0
,,2016 - 2017,
,,2017 - 2018,0.67
,,2018 - 2019,0.67
,,2019 - 2020,1.0
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Coimbatore,2000 - 2001,0.37
,,2002 - 2003,0.2
,,2003 - 2004,0.29
,,2004 - 2005,0.49
,,2005 - 2006,0.43
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.31
,,2011 - 2012,
,,2012 - 2013,0.39
,,2013 - 2014,0.96
,,2014 - 2015,0.96
,,2015 - 2016,0.59
,,2016 - 2017,0.32
,,2017 - 2018,0.82
,,2018 - 2019,0.73
,,2019 - 2020,0.7
,,2020 - 2021,0.81
,,2021 - 2022,0.56
,,2022 - 2023,0.77
,Cuddalore,2000 - 2001,0.43
,,2002 - 2003,0.25
,,2003 - 2004,0.27
,,2004 - 2005,0.3
,,2005 - 2006,0.4
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.55
,,2011 - 2012,
,,2012 - 2013,0.33
,,2013 - 2014,0.77
,,2014 - 2015,0.75
,,2015 - 2016,1.0
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,1.0
,,2020 - 2021,0.75
,,2021 - 2022,0.67
,Dharmapuri,2000 - 2001,0.45
,,2002 - 2003,0.27
,,2003 - 2004,0.26
,,2004 - 2005,0.33
,,2005 - 2006,0.52
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.65
,,2011 - 2012,
,,2012 - 2013,0.57
,,2013 - 2014,0.77
,,2014 - 2015,0.81
,,2015 - 2016,
,,2016 - 2017,0.35
,,2017 - 2018,0.93
,,2018 - 2019,
,,2019 - 2020,0.84
,,2020 - 2021,0.83
,,2021 - 2022,0.81
,,2022 - 2023,0.77
,Dindigul,2000 - 2001,0.56
,,2002 - 2003,0.26
,,2003 - 2004,0.35
,,2004 - 2005,0.24
,,2005 - 2006,0.43
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.33
,,2011 - 2012,
,,2012 - 2013,0.11
,,2013 - 2014,0.12
,,2014 - 2015,0.44
,,2015 - 2016,0.52
,,2016 - 2017,0.27
,,2017 - 2018,0.65
,,2018 - 2019,0.94
,,2019 - 2020,0.54
,,2020 - 2021,0.56
,,2021 - 2022,0.62
,,2022 - 2023,0.78
,Erode,2000 - 2001,0.23
,,2002 - 2003,0.19
,,2003 - 2004,0.24
,,2004 - 2005,0.25
,,2005 - 2006,0.34
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.59
,,2011 - 2012,
,,2012 - 2013,0.4
,,2013 - 2014,0.64
,,2014 - 2015,0.74
,,2015 - 2016,0.59
,,2016 - 2017,0.32
,,2017 - 2018,0.78
,,2018 - 2019,0.69
,,2019 - 2020,0.77
,,2020 - 2021,0.74
,,2021 - 2022,0.68
,,2022 - 2023,0.77
,Kallakurichi,2020 - 2021,0.67
,,2021 - 2022,
,Kanchipuram,2002 - 2003,0.25
,,2004 - 2005,0.29
,,2005 - 2006,0.37
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.5
,,2011 - 2012,
,,2012 - 2013,0.0
,,2013 - 2014,0.0
,,2014 - 2015,1.0
,,2016 - 2017,0.33
,,2019 - 2020,0.5
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Kanniyakumari,2002 - 2003,0.2
,,2003 - 2004,0.2
,,2004 - 2005,0.33
,,2005 - 2006,0.25
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,Karur,2000 - 2001,0.43
,,2002 - 2003,0.25
,,2003 - 2004,0.27
,,2004 - 2005,0.3
,,2005 - 2006,0.36
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.56
,,2011 - 2012,
,,2012 - 2013,0.4
,,2013 - 2014,0.64
,,2014 - 2015,0.74
,,2015 - 2016,0.59
,,2016 - 2017,0.32
,,2017 - 2018,0.76
,,2018 - 2019,0.7
,,2019 - 2020,0.35
,,2020 - 2021,0.4
,,2021 - 2022,0.5
,,2022 - 2023,0.77
,Krishnagiri,2004 - 2005,0.27
,,2005 - 2006,0.21
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.41
,,2011 - 2012,
,,2012 - 2013,0.37
,,2013 - 2014,0.58
,,2014 - 2015,0.66
,,2015 - 2016,0.53
,,2016 - 2017,0.33
,,2017 - 2018,0.76
,,2018 - 2019,0.74
,,2019 - 2020,
,,2020 - 2021,0.99
,,2021 - 2022,0.85
,,2022 - 2023,0.75
,Madurai,2000 - 2001,0.43
,,2002 - 2003,0.25
,,2003 - 2004,0.27
,,2004 - 2005,0.3
,,2005 - 2006,0.37
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.5
,,2011 - 2012,
,,2012 - 2013,0.4
,,2013 - 2014,0.5
,,2014 - 2015,0.76
,,2015 - 2016,0.59
,,2016 - 2017,0.38
,,2017 - 2018,0.77
,,2018 - 2019,0.78
,,2019 - 2020,0.8
,,2020 - 2021,0.6
,,2021 - 2022,1.0
,,2022 - 2023,0.8
,Namakkal,2000 - 2001,0.51
,,2002 - 2003,0.25
,,2003 - 2004,0.27
,,2004 - 2005,0.42
,,2005 - 2006,0.62
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.45
,,2011 - 2012,
,,2012 - 2013,0.4
,,2013 - 2014,0.64
,,2014 - 2015,0.74
,,2015 - 2016,0.59
,,2016 - 2017,0.32
,,2017 - 2018,0.74
,,2018 - 2019,0.7
,,2019 - 2020,0.76
,,2020 - 2021,0.73
,,2021 - 2022,0.67
,,2022 - 2023,0.77
,Perambalur,2000 - 2001,0.4
,,2002 - 2003,0.31
,,2003 - 2004,0.27
,,2004 - 2005,0.32
,,2005 - 2006,0.33
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.5
,,2011 - 2012,
,,2012 - 2013,0.0
,,2013 - 2014,0.0
,,2014 - 2015,1.0
,,2015 - 2016,0.67
,,2016 - 2017,0.4
,,2017 - 2018,1.0
,,2018 - 2019,0.5
,,2019 - 2020,0.75
,,2020 - 2021,0.67
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Pudukkottai,2000 - 2001,0.43
,,2002 - 2003,0.25
,,2003 - 2004,0.27
,,2004 - 2005,0.3
,,2005 - 2006,0.36
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.56
,,2011 - 2012,
,,2012 - 2013,0.38
,,2013 - 2014,
,,2014 - 2015,0.83
,,2015 - 2016,0.6
,,2016 - 2017,0.25
,,2017 - 2018,0.81
,,2018 - 2019,0.8
,,2019 - 2020,0.75
,,2020 - 2021,0.67
,,2021 - 2022,0.5
,,2022 - 2023,0.75
,Ramanathapuram,2000 - 2001,0.42
,,2002 - 2003,0.25
,,2003 - 2004,0.27
,,2004 - 2005,0.31
,,2005 - 2006,0.33
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.0
,,2011 - 2012,
,,2012 - 2013,0.33
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2021 - 2022,
,Ranipet,2020 - 2021,0.75
,,2021 - 2022,
,,2022 - 2023,
,Salem,2000 - 2001,0.5
,,2002 - 2003,0.24
,,2003 - 2004,0.37
,,2004 - 2005,0.38
,,2005 - 2006,0.46
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.62
,,2011 - 2012,
,,2012 - 2013,0.3
,,2013 - 2014,0.6
,,2014 - 2015,0.82
,,2015 - 2016,0.83
,,2016 - 2017,0.31
,,2017 - 2018,0.66
,,2018 - 2019,0.79
,,2019 - 2020,0.69
,,2020 - 2021,0.79
,,2021 - 2022,0.7
,,2022 - 2023,0.77
,Sivaganga,2000 - 2001,0.5
,,2002 - 2003,0.26
,,2003 - 2004,0.27
,,2004 - 2005,0.33
,,2005 - 2006,0.37
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.56
,,2011 - 2012,
,,2012 - 2013,0.4
,,2013 - 2014,1.67
,,2014 - 2015,0.6
,,2015 - 2016,0.6
,,2016 - 2017,0.36
,,2017 - 2018,0.57
,,2018 - 2019,0.75
,,2019 - 2020,0.78
,,2020 - 2021,0.77
,,2021 - 2022,
,,2022 - 2023,
,Thanjavur,2010 - 2011,0.38
,The nilgiris,2014 - 2015,
,Theni,2000 - 2001,0.44
,,2002 - 2003,0.25
,,2003 - 2004,0.27
,,2004 - 2005,0.3
,,2005 - 2006,0.37
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.5
,,2011 - 2012,
,,2012 - 2013,0.4
,,2013 - 2014,0.63
,,2014 - 2015,0.74
,,2015 - 2016,0.59
,,2016 - 2017,0.32
,,2017 - 2018,0.77
,,2018 - 2019,0.69
,,2019 - 2020,0.77
,,2020 - 2021,0.74
,,2021 - 2022,0.68
,,2022 - 2023,0.75
,Thenkasi,2021 - 2022,1.0
,,2022 - 2023,
,Thiruvallur,2000 - 2001,0.41
,,2002 - 2003,0.26
,,2003 - 2004,0.26
,,2004 - 2005,0.3
,,2005 - 2006,0.38
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.5
,,2011 - 2012,
,,2012 - 2013,0.39
,,2013 - 2014,0.77
,,2014 - 2015,0.73
,,2015 - 2016,0.58
,,2016 - 2017,0.5
,,2017 - 2018,0.82
,,2018 - 2019,0.5
,,2019 - 2020,1.0
,,2020 - 2021,
,,2021 - 2022,0.6
,,2022 - 2023,0.8
,Thoothukudi,2000 - 2001,0.42
,,2002 - 2003,0.27
,,2003 - 2004,0.29
,,2004 - 2005,0.3
,,2005 - 2006,0.35
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.0
,,2011 - 2012,
,,2012 - 2013,0.33
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Tiruchirappalli,2000 - 2001,0.43
,,2002 - 2003,0.25
,,2003 - 2004,0.27
,,2004 - 2005,0.3
,,2005 - 2006,0.38
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.56
,,2011 - 2012,
,,2012 - 2013,0.4
,,2013 - 2014,0.62
,,2014 - 2015,0.74
,,2015 - 2016,0.59
,,2016 - 2017,0.32
,,2017 - 2018,0.76
,,2018 - 2019,0.7
,,2019 - 2020,0.77
,,2020 - 2021,0.74
,,2021 - 2022,0.66
,,2022 - 2023,0.76
,Tirunelveli,2000 - 2001,0.44
,,2002 - 2003,0.25
,,2003 - 2004,0.27
,,2004 - 2005,0.3
,,2005 - 2006,0.36
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.43
,,2011 - 2012,
,,2012 - 2013,0.38
,,2013 - 2014,1.0
,,2014 - 2015,0.77
,,2015 - 2016,0.5
,,2016 - 2017,1.0
,,2017 - 2018,
,,2019 - 2020,1.0
,,2020 - 2021,0.67
,,2021 - 2022,
,,2022 - 2023,1.0
,Tirupathur,2020 - 2021,0.67
,,2021 - 2022,
,,2022 - 2023,
,Tiruppur,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.34
,,2011 - 2012,
,,2012 - 2013,0.01
,,2013 - 2014,0.16
,,2014 - 2015,0.32
,,2015 - 2016,0.2
,,2016 - 2017,0.01
,,2017 - 2018,0.55
,,2018 - 2019,0.23
,,2019 - 2020,0.37
,,2020 - 2021,0.31
,,2021 - 2022,0.38
,,2022 - 2023,0.77
,Tiruvannamalai,2000 - 2001,0.38
,,2002 - 2003,0.25
,,2003 - 2004,0.27
,,2004 - 2005,0.1
,,2005 - 2006,0.24
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.57
,,2011 - 2012,
,,2012 - 2013,0.64
,,2013 - 2014,0.76
,,2014 - 2015,0.85
,,2015 - 2016,0.64
,,2016 - 2017,1.0
,,2017 - 2018,0.93
,,2018 - 2019,0.63
,,2019 - 2020,1.0
,,2020 - 2021,0.59
,,2021 - 2022,0.93
,,2022 - 2023,1.0
,Vellore,2000 - 2001,0.39
,,2002 - 2003,0.31
,,2003 - 2004,0.24
,,2004 - 2005,0.31
,,2005 - 2006,0.34
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.29
,,2011 - 2012,
,,2012 - 2013,0.5
,,2013 - 2014,
,,2014 - 2015,1.01
,,2015 - 2016,0.71
,,2016 - 2017,0.42
,,2017 - 2018,0.86
,,2018 - 2019,0.8
,,2019 - 2020,0.81
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Villupuram,2000 - 2001,0.44
,,2002 - 2003,0.25
,,2003 - 2004,0.27
,,2004 - 2005,0.3
,,2005 - 2006,0.37
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.47
,,2011 - 2012,
,,2012 - 2013,0.4
,,2013 - 2014,0.62
,,2014 - 2015,0.74
,,2015 - 2016,0.6
,,2016 - 2017,0.33
,,2017 - 2018,0.77
,,2018 - 2019,0.69
,,2020 - 2021,
,Virudhunagar,2000 - 2001,0.44
,,2002 - 2003,0.26
,,2003 - 2004,0.27
,,2004 - 2005,0.3
,,2005 - 2006,0.37
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.43
,,2011 - 2012,
,,2012 - 2013,0.4
,,2013 - 2014,0.65
,,2014 - 2015,0.8
,,2015 - 2016,0.6
,,2016 - 2017,0.5
,,2017 - 2018,0.79
,,2018 - 2019,0.67
,,2019 - 2020,0.0
,,2020 - 2021,0.5
,,2021 - 2022,
,,2022 - 2023,
Telangana,Adilabad,2000 - 2001,
,,2001 - 2002,0.37
,,2002 - 2003,0.35
,,2003 - 2004,0.5
,,2004 - 2005,0.5
,,2005 - 2006,
,,2006 - 2007,0.46
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,Bhadradri,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Jagitial,2021 - 2022,1.0
,,2022 - 2023,
,Jangoan,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.8
,,2020 - 2021,1.61
,,2021 - 2022,0.53
,,2022 - 2023,0.75
,Jayashankar,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,1.8
,Jogulamba,2016 - 2017,0.38
,,2017 - 2018,0.0
,,2018 - 2019,0.65
,,2019 - 2020,1.0
,,2020 - 2021,1.61
,,2021 - 2022,0.71
,,2022 - 2023,0.89
,Kamareddy,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,1.0
,,2022 - 2023,
,Karimnagar,2000 - 2001,0.0
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2014 - 2015,
,,2015 - 2016,
,,2020 - 2021,1.75
,,2021 - 2022,0.67
,,2022 - 2023,
,Khammam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2020 - 2021,1.5
,,2021 - 2022,
,Komaram bheem asifabad,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,2.0
,,2021 - 2022,0.5
,,2022 - 2023,0.5
,Mahabubabad,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mahbubnagar,2000 - 2001,0.47
,,2001 - 2002,0.4
,,2002 - 2003,0.39
,,2003 - 2004,0.48
,,2004 - 2005,0.48
,,2005 - 2006,0.59
,,2006 - 2007,0.46
,,2007 - 2008,0.67
,,2008 - 2009,0.4
,,2009 - 2010,0.42
,,2010 - 2011,0.46
,,2011 - 2012,0.06
,,2012 - 2013,0.0
,,2013 - 2014,0.62
,,2014 - 2015,0.52
,,2015 - 2016,0.22
,,2016 - 2017,0.38
,,2017 - 2018,0.0
,,2018 - 2019,0.75
,,2019 - 2020,0.87
,,2020 - 2021,1.62
,,2021 - 2022,0.85
,,2022 - 2023,0.63
,Mancherial,2016 - 2017,
,,2017 - 2018,0.0
,,2018 - 2019,
,,2020 - 2021,1.67
,,2021 - 2022,1.0
,,2022 - 2023,
,Medak,2000 - 2001,0.49
,,2001 - 2002,0.36
,,2002 - 2003,0.35
,,2003 - 2004,
,,2004 - 2005,0.5
,,2005 - 2006,
,,2006 - 2007,0.5
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,0.23
,,2016 - 2017,0.38
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,1.0
,,2020 - 2021,1.57
,,2021 - 2022,0.5
,,2022 - 2023,1.0
,Medchal,2019 - 2020,0.75
,,2020 - 2021,1.64
,,2021 - 2022,0.75
,,2022 - 2023,
,Mulugu,2021 - 2022,
,Nagarkurnool,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.89
,,2020 - 2021,1.58
,,2021 - 2022,0.68
,,2022 - 2023,0.63
,Nalgonda,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,0.6
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,0.4
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,1.63
,,2021 - 2022,0.68
,,2022 - 2023,0.67
,Narayanapet,2018 - 2019,0.63
,,2019 - 2020,0.9
,,2020 - 2021,1.7
,,2021 - 2022,0.67
,,2022 - 2023,0.64
,Nirmal,2019 - 2020,
,,2020 - 2021,1.6
,,2021 - 2022,
,,2022 - 2023,
,Nizamabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2008 - 2009,0.38
,,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2013 - 2014,0.58
,,2015 - 2016,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Peddapalli,2020 - 2021,2.0
,,2021 - 2022,1.0
,Rajanna,2019 - 2020,
,,2020 - 2021,1.71
,,2021 - 2022,
,,2022 - 2023,0.75
,Rangareddi,2000 - 2001,0.6
,,2001 - 2002,0.22
,,2002 - 2003,0.31
,,2003 - 2004,0.29
,,2004 - 2005,0.34
,,2005 - 2006,0.43
,,2006 - 2007,0.46
,,2008 - 2009,0.4
,,2009 - 2010,0.42
,,2010 - 2011,0.46
,,2011 - 2012,0.06
,,2013 - 2014,0.63
,,2014 - 2015,0.5
,,2015 - 2016,0.21
,,2016 - 2017,0.38
,,2017 - 2018,0.0
,,2018 - 2019,0.64
,,2019 - 2020,0.87
,,2020 - 2021,1.62
,,2021 - 2022,0.61
,,2022 - 2023,0.53
,Sangareddy,2016 - 2017,0.39
,,2017 - 2018,
,,2019 - 2020,0.86
,,2020 - 2021,1.5
,,2021 - 2022,0.5
,,2022 - 2023,
,Siddipet,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,1.63
,,2021 - 2022,0.68
,,2022 - 2023,0.65
,Suryapet,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,2.5
,,2021 - 2022,1.0
,,2022 - 2023,
,Vikarabad,2016 - 2017,0.43
,,2018 - 2019,0.6
,,2019 - 2020,0.0
,,2020 - 2021,1.6
,,2021 - 2022,0.67
,,2022 - 2023,0.57
,Wanaparthy,2016 - 2017,0.43
,,2017 - 2018,0.0
,,2018 - 2019,
,,2019 - 2020,1.0
,,2020 - 2021,1.6
,,2021 - 2022,0.67
,,2022 - 2023,0.5
,Warangal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2020 - 2021,1.0
,,2021 - 2022,
,Warangal urban,2020 - 2021,1.33
,,2021 - 2022,0.5
,,2022 - 2023,
,Yadadri,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.88
,,2020 - 2021,1.6
,,2021 - 2022,0.77
,,2022 - 2023,0.56
Uttarakhand,Almora,2000 - 2001,0.55
,,2001 - 2002,0.5
,,2002 - 2003,0.47
,,2003 - 2004,0.8
,,2004 - 2005,0.7
,,2005 - 2006,0.56
,,2006 - 2007,0.76
,,2007 - 2008,0.78
,,2008 - 2009,0.78
,,2009 - 2010,0.78
,,2010 - 2011,0.79
,,2011 - 2012,0.8
,,2012 - 2013,0.8
,,2013 - 2014,0.75
,,2014 - 2015,0.83
,,2015 - 2016,0.81
,,2016 - 2017,0.79
