state,district,year,barley_rabi_yield_tonne_per_hectare
,,2021 - 2022,2.48
,,2022 - 2023,1.85
,Dewas,2000 - 2001,1.59
,,2001 - 2002,1.56
,,2002 - 2003,1.8
,,2003 - 2004,1.74
,,2004 - 2005,1.58
,,2005 - 2006,1.44
,,2007 - 2008,2.21
,,2008 - 2009,2.04
,,2009 - 2010,
,,2010 - 2011,2.54
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,Dhar,2000 - 2001,0.36
,,2001 - 2002,1.11
,,2002 - 2003,1.26
,,2003 - 2004,1.38
,,2004 - 2005,1.33
,,2005 - 2006,1.31
,,2007 - 2008,1.52
,,2008 - 2009,1.36
,,2009 - 2010,
,,2010 - 2011,1.92
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,2.0
,,2020 - 2021,1.5
,Dindori,2000 - 2001,0.62
,,2001 - 2002,0.78
,,2002 - 2003,0.83
,,2003 - 2004,0.78
,,2004 - 2005,0.88
,,2005 - 2006,0.65
,,2007 - 2008,0.71
,,2008 - 2009,0.82
,,2009 - 2010,
,,2010 - 2011,0.86
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2016 - 2017,
,,2019 - 2020,1.0
,Guna,2000 - 2001,1.74
,,2001 - 2002,1.82
,,2002 - 2003,1.4
,,2003 - 2004,1.85
,,2004 - 2005,1.65
,,2005 - 2006,2.15
,,2007 - 2008,2.19
,,2008 - 2009,1.54
,,2009 - 2010,
,,2010 - 2011,2.62
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,4.0
,,2020 - 2021,3.17
,,2021 - 2022,3.57
,Gwalior,2000 - 2001,2.68
,,2001 - 2002,3.24
,,2002 - 2003,3.37
,,2003 - 2004,3.4
,,2004 - 2005,2.74
,,2005 - 2006,2.77
,,2007 - 2008,2.03
,,2008 - 2009,2.44
,,2009 - 2010,
,,2010 - 2011,2.96
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,2.41
,,2020 - 2021,1.66
,,2021 - 2022,2.93
,,2022 - 2023,1.73
,Harda,2000 - 2001,1.2
,,2001 - 2002,1.33
,,2002 - 2003,1.51
,,2003 - 2004,1.49
,,2004 - 2005,1.34
,,2005 - 2006,1.88
,,2007 - 2008,1.9
,,2008 - 2009,1.98
,,2009 - 2010,
,,2010 - 2011,3.07
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,3.0
,,2020 - 2021,2.0
,Hoshangabad,2000 - 2001,1.38
,,2001 - 2002,1.39
,,2002 - 2003,1.57
,,2003 - 2004,1.53
,,2004 - 2005,1.39
,,2005 - 2006,1.69
,,2007 - 2008,1.63
,,2008 - 2009,1.6
,,2009 - 2010,
,,2010 - 2011,2.2
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2018 - 2019,
,,2019 - 2020,2.75
,,2020 - 2021,3.11
,,2021 - 2022,2.5
,Indore,2000 - 2001,2.0
,,2001 - 2002,1.5
,,2002 - 2003,1.75
,,2003 - 2004,2.0
,,2007 - 2008,2.0
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,2.0
,,2020 - 2021,1.0
,,2021 - 2022,3.0
,Jabalpur,2000 - 2001,1.2
,,2001 - 2002,1.5
,,2002 - 2003,1.73
,,2003 - 2004,1.9
,,2004 - 2005,1.67
,,2005 - 2006,2.29
,,2007 - 2008,1.87
,,2008 - 2009,2.16
,,2009 - 2010,
,,2010 - 2011,2.43
,,2011 - 2012,
,,2012 - 2013,
,Jhabua,2000 - 2001,0.45
,,2001 - 2002,0.69
,,2002 - 2003,1.0
,,2003 - 2004,0.93
,,2004 - 2005,0.85
,,2005 - 2006,0.83
,,2007 - 2008,0.93
,,2008 - 2009,0.92
,,2009 - 2010,
,,2010 - 2011,0.94
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,2.27
,,2020 - 2021,1.33
,Katni,2000 - 2001,0.86
,,2001 - 2002,1.02
,,2002 - 2003,0.89
,,2003 - 2004,1.23
,,2004 - 2005,0.92
,,2005 - 2006,1.11
,,2007 - 2008,0.89
,,2008 - 2009,1.15
,,2009 - 2010,
,,2010 - 2011,0.87
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,2.54
,,2020 - 2021,2.31
,,2021 - 2022,2.29
,,2022 - 2023,1.51
,Khandwa,2001 - 2002,1.5
,,2002 - 2003,1.33
,,2003 - 2004,2.0
,,2004 - 2005,1.5
,,2005 - 2006,2.0
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,Khargone,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,Mandla,2000 - 2001,0.43
,,2001 - 2002,0.92
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,0.93
,,2005 - 2006,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.25
,,2009 - 2010,
,,2010 - 2011,1.22
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,1.67
,,2021 - 2022,0.5
,Mandsaur,2000 - 2001,1.75
,,2001 - 2002,2.32
,,2002 - 2003,1.8
,,2003 - 2004,2.3
,,2004 - 2005,2.3
,,2005 - 2006,2.03
,,2007 - 2008,2.53
,,2008 - 2009,2.5
,,2009 - 2010,
,,2010 - 2011,2.47
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2018 - 2019,
,,2019 - 2020,4.2
,,2020 - 2021,3.72
,,2021 - 2022,3.24
,,2022 - 2023,2.49
,Morena,2000 - 2001,1.55
,,2001 - 2002,1.71
,,2002 - 2003,1.47
,,2003 - 2004,1.73
,,2004 - 2005,1.56
,,2005 - 2006,1.8
,,2007 - 2008,1.61
,,2008 - 2009,1.62
,,2009 - 2010,
,,2010 - 2011,1.73
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,3.42
,,2020 - 2021,3.28
,,2021 - 2022,3.0
,,2022 - 2023,2.09
,Narsinghpur,2013 - 2014,
,Neemuch,2000 - 2001,2.28
,,2001 - 2002,2.55
,,2002 - 2003,2.31
,,2003 - 2004,2.79
,,2004 - 2005,2.74
,,2005 - 2006,2.78
,,2007 - 2008,2.74
,,2008 - 2009,2.93
,,2009 - 2010,
,,2010 - 2011,3.38
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,3.24
,,2020 - 2021,2.46
,,2021 - 2022,3.25
,,2022 - 2023,2.1
,Niwari,2019 - 2020,2.32
,,2020 - 2021,2.11
,,2021 - 2022,2.35
,,2022 - 2023,1.59
,Panna,2000 - 2001,0.82
,,2001 - 2002,1.06
,,2002 - 2003,1.17
,,2003 - 2004,1.16
,,2004 - 2005,1.01
,,2005 - 2006,0.79
,,2007 - 2008,0.89
,,2008 - 2009,0.88
,,2009 - 2010,
,,2010 - 2011,1.16
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,1.62
,,2020 - 2021,1.98
,,2021 - 2022,2.16
,,2022 - 2023,1.56
,Raisen,2000 - 2001,2.03
,,2001 - 2002,2.1
,,2002 - 2003,2.37
,,2003 - 2004,2.44
,,2004 - 2005,2.21
,,2005 - 2006,2.52
,,2007 - 2008,2.65
,,2008 - 2009,2.8
,,2009 - 2010,
,,2010 - 2011,3.0
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,4.0
,Rajgarh,2000 - 2001,1.06
,,2001 - 2002,0.95
,,2002 - 2003,0.93
,,2003 - 2004,1.39
,,2004 - 2005,1.24
,,2005 - 2006,1.11
,,2007 - 2008,1.5
,,2008 - 2009,1.39
,,2009 - 2010,
,,2010 - 2011,1.44
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,2.85
,,2020 - 2021,3.08
,,2021 - 2022,3.0
,Ratlam,2000 - 2001,1.86
,,2001 - 2002,1.88
,,2002 - 2003,2.23
,,2003 - 2004,2.73
,,2004 - 2005,2.45
,,2005 - 2006,2.97
,,2007 - 2008,3.08
,,2008 - 2009,3.06
,,2009 - 2010,
,,2010 - 2011,3.85
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,3.29
,,2020 - 2021,2.85
,,2021 - 2022,3.0
,Rewa,2000 - 2001,0.54
,,2001 - 2002,0.64
,,2002 - 2003,0.6
,,2003 - 2004,0.57
,,2004 - 2005,0.54
,,2005 - 2006,0.51
,,2007 - 2008,0.47
,,2008 - 2009,0.64
,,2009 - 2010,
,,2010 - 2011,0.57
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,1.65
,,2020 - 2021,1.48
,,2021 - 2022,1.81
,,2022 - 2023,1.38
,Sagar,2000 - 2001,1.03
,,2001 - 2002,1.18
,,2002 - 2003,1.33
,,2003 - 2004,1.55
,,2004 - 2005,1.4
,,2005 - 2006,1.3
,,2007 - 2008,1.34
,,2008 - 2009,1.45
,,2009 - 2010,
,,2010 - 2011,1.55
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,2.41
,,2020 - 2021,2.1
,,2021 - 2022,1.67
,,2022 - 2023,1.51
,Satna,2000 - 2001,0.7
,,2001 - 2002,0.88
,,2002 - 2003,0.83
,,2003 - 2004,1.12
,,2004 - 2005,0.92
,,2005 - 2006,0.98
,,2007 - 2008,0.64
,,2008 - 2009,0.9
,,2009 - 2010,
,,2010 - 2011,0.88
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,1.55
,,2020 - 2021,2.03
,,2021 - 2022,2.01
,,2022 - 2023,1.46
,Sehore,2000 - 2001,1.0
,,2001 - 2002,1.31
,,2002 - 2003,1.49
,,2003 - 2004,1.37
,,2004 - 2005,1.27
,,2005 - 2006,1.3
,,2007 - 2008,1.62
,,2008 - 2009,1.74
,,2009 - 2010,
,,2010 - 2011,1.59
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,2.5
,,2020 - 2021,3.6
,,2021 - 2022,2.25
,Seoni,2000 - 2001,2.0
,,2001 - 2002,1.0
,,2002 - 2003,1.14
,Shahdol,2000 - 2001,0.48
,,2001 - 2002,0.5
,,2002 - 2003,0.53
,,2003 - 2004,0.66
,,2004 - 2005,0.49
,,2005 - 2006,0.74
,,2007 - 2008,0.8
,,2008 - 2009,0.71
,,2009 - 2010,
,,2010 - 2011,0.74
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,1.11
,,2020 - 2021,0.98
,,2021 - 2022,1.3
,,2022 - 2023,0.84
,Shajapur,2000 - 2001,1.45
,,2001 - 2002,1.51
,,2002 - 2003,1.37
,,2003 - 2004,2.03
,,2004 - 2005,1.89
,,2005 - 2006,1.24
,,2007 - 2008,1.62
,,2008 - 2009,1.43
,,2009 - 2010,
,,2010 - 2011,1.66
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2018 - 2019,
,,2019 - 2020,2.0
,Sheopur,2000 - 2001,1.28
,,2001 - 2002,1.6
,,2002 - 2003,1.08
,,2003 - 2004,1.85
,,2004 - 2005,1.32
,,2005 - 2006,1.57
,,2007 - 2008,1.65
,,2008 - 2009,1.64
,,2009 - 2010,
,,2010 - 2011,1.71
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,3.41
,,2020 - 2021,3.78
,,2021 - 2022,3.75
,Shivpuri,2000 - 2001,1.27
,,2001 - 2002,1.57
,,2002 - 2003,0.86
,,2003 - 2004,1.76
,,2004 - 2005,1.53
,,2005 - 2006,1.52
,,2007 - 2008,1.05
,,2008 - 2009,1.58
,,2009 - 2010,
,,2010 - 2011,1.57
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,1.52
,,2020 - 2021,2.49
,,2021 - 2022,2.18
,,2022 - 2023,1.68
,Sidhi,2000 - 2001,0.74
,,2001 - 2002,0.74
,,2002 - 2003,0.78
,,2003 - 2004,0.95
,,2004 - 2005,0.83
,,2005 - 2006,0.78
,,2007 - 2008,0.76
,,2008 - 2009,0.9
,,2009 - 2010,
,,2010 - 2011,0.83
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,1.46
,,2020 - 2021,2.32
,,2021 - 2022,1.44
,,2022 - 2023,1.1
,Singrauli,2008 - 2009,0.9
,,2009 - 2010,
,,2010 - 2011,1.02
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,2.78
,,2020 - 2021,1.39
,,2021 - 2022,1.74
,,2022 - 2023,2.03
,Tikamgarh,2000 - 2001,2.07
,,2001 - 2002,2.21
,,2002 - 2003,1.92
,,2003 - 2004,2.16
,,2004 - 2005,1.63
,,2005 - 2006,1.6
,,2007 - 2008,1.47
,,2008 - 2009,2.0
,,2009 - 2010,
,,2010 - 2011,1.52
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,2.49
,,2020 - 2021,2.34
,,2021 - 2022,2.35
,,2022 - 2023,1.74
,Ujjain,2000 - 2001,0.94
,,2001 - 2002,0.95
,,2002 - 2003,0.95
,,2003 - 2004,1.8
,,2004 - 2005,1.58
,,2005 - 2006,1.65
,,2007 - 2008,1.64
,,2008 - 2009,1.59
,,2009 - 2010,
,,2010 - 2011,1.89
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,2.71
,Umaria,2000 - 2001,0.5
,,2001 - 2002,0.56
,,2002 - 2003,0.53
,,2003 - 2004,0.66
,,2004 - 2005,0.61
,,2005 - 2006,0.58
,,2007 - 2008,0.65
,,2008 - 2009,0.72
,,2009 - 2010,
,,2010 - 2011,0.66
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,1.27
,,2020 - 2021,1.02
,,2021 - 2022,1.31
,,2022 - 2023,1.01
,Vidisha,2000 - 2001,1.57
,,2001 - 2002,1.75
,,2002 - 2003,1.65
,,2003 - 2004,1.86
,,2004 - 2005,1.65
,,2005 - 2006,1.88
,,2007 - 2008,1.94
,,2008 - 2009,1.95
,,2009 - 2010,
,,2010 - 2011,2.47
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,2.08
,,2020 - 2021,1.75
,,2021 - 2022,3.21
Nagaland,Dimapur,2000 - 2001,1.53
,,2001 - 2002,2.0
,,2002 - 2003,1.81
,,2003 - 2004,1.68
,,2004 - 2005,1.7
,,2009 - 2010,1.5
,,2010 - 2011,1.5
,,2011 - 2012,1.57
,,2012 - 2013,1.13
,,2013 - 2014,1.11
,,2014 - 2015,
,,2015 - 2016,1.11
,,2016 - 2017,1.11
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,Kiphire,2009 - 2010,2.0
,,2010 - 2011,1.5
,,2011 - 2012,1.5
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,Kohima,2000 - 2001,1.5
,,2001 - 2002,2.0
,,2002 - 2003,1.78
,,2003 - 2004,1.1
,,2004 - 2005,1.46
,,2009 - 2010,1.25
,,2010 - 2011,1.5
,,2011 - 2012,1.5
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,
,,2015 - 2016,1.0
,,2016 - 2017,1.2
,,2017 - 2018,1.2
,,2018 - 2019,1.2
,,2019 - 2020,1.2
,,2020 - 2021,1.2
,Longleng,2009 - 2010,1.67
,,2010 - 2011,1.67
,,2011 - 2012,1.67
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,Mokokchung,2000 - 2001,1.46
,,2001 - 2002,1.91
,,2002 - 2003,1.97
,,2003 - 2004,1.74
,,2004 - 2005,1.63
,,2009 - 2010,1.5
,,2010 - 2011,1.75
,,2011 - 2012,1.75
,,2012 - 2013,0.75
,,2013 - 2014,1.0
,,2014 - 2015,
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,Mon,2000 - 2001,1.53
,,2001 - 2002,2.05
,,2002 - 2003,1.96
,,2003 - 2004,1.82
,,2004 - 2005,1.57
,,2009 - 2010,1.33
,,2010 - 2011,1.67
,,2011 - 2012,1.5
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,Peren,2009 - 2010,1.4
,,2010 - 2011,1.25
,,2011 - 2012,1.5
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,Phek,2000 - 2001,1.5
,,2001 - 2002,2.05
,,2002 - 2003,1.9
,,2003 - 2004,2.57
,,2004 - 2005,1.44
,,2009 - 2010,1.5
,,2010 - 2011,1.6
,,2011 - 2012,1.6
,,2012 - 2013,1.17
,,2013 - 2014,1.0
,,2014 - 2015,
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.17
,,2018 - 2019,1.17
,,2019 - 2020,1.17
,,2020 - 2021,1.17
,Tuensang,2000 - 2001,1.5
,,2001 - 2002,1.86
,,2002 - 2003,1.85
,,2003 - 2004,1.04
,,2004 - 2005,1.88
,,2009 - 2010,1.33
,,2010 - 2011,1.67
,,2011 - 2012,1.67
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,Wokha,2000 - 2001,1.47
,,2001 - 2002,1.91
,,2002 - 2003,1.9
,,2003 - 2004,1.51
,,2004 - 2005,1.46
,,2009 - 2010,1.13
,,2010 - 2011,1.57
,,2011 - 2012,1.67
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,Zunheboto,2000 - 2001,1.5
,,2001 - 2002,2.29
,,2002 - 2003,2.08
,,2003 - 2004,1.5
,,2004 - 2005,1.51
,,2009 - 2010,1.33
,,2010 - 2011,1.8
,,2011 - 2012,1.5
,,2012 - 2013,0.75
,,2013 - 2014,1.0
,,2014 - 2015,
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
Punjab,Barnala,2007 - 2008,3.0
,,2008 - 2009,3.0
,,2009 - 2010,3.0
,,2010 - 2011,3.0
,,2011 - 2012,4.0
,,2012 - 2013,3.0
,,2013 - 2014,4.0
,,2014 - 2015,3.6
,,2016 - 2017,3.75
,,2017 - 2018,3.67
,,2018 - 2019,2.67
,,2019 - 2020,3.67
,,2020 - 2021,3.33
,,2021 - 2022,2.67
,,2022 - 2023,3.33
,Bathinda,2000 - 2001,2.8
,,2001 - 2002,2.67
,,2002 - 2003,3.33
,,2003 - 2004,3.33
,,2004 - 2005,3.0
,,2005 - 2006,2.5
,,2006 - 2007,3.5
,,2007 - 2008,3.0
,,2008 - 2009,3.5
,,2009 - 2010,3.0
,,2010 - 2011,3.5
,,2011 - 2012,3.5
,,2012 - 2013,3.5
,,2013 - 2014,3.5
,,2014 - 2015,3.4
,,2015 - 2016,3.2
,,2016 - 2017,3.17
,,2017 - 2018,3.56
,,2018 - 2019,4.0
,,2019 - 2020,3.33
,,2020 - 2021,3.33
,,2021 - 2022,3.33
,,2022 - 2023,4.0
,Faridkot,2000 - 2001,3.0
,,2002 - 2003,4.0
,,2003 - 2004,3.0
,,2017 - 2018,3.0
,,2018 - 2019,4.0
,,2020 - 2021,4.0
,,2021 - 2022,3.0
,,2022 - 2023,4.0
,Fatehgarh sahib,2000 - 2001,3.0
,,2001 - 2002,3.0
,,2002 - 2003,3.0
,,2004 - 2005,3.0
,,2014 - 2015,3.2
,,2016 - 2017,3.67
,,2017 - 2018,2.67
,,2018 - 2019,3.33
,,2019 - 2020,2.67
,,2020 - 2021,3.33
,,2021 - 2022,3.0
,,2022 - 2023,4.0
,Fazilka,2012 - 2013,4.0
,,2013 - 2014,4.0
,,2014 - 2015,3.7
,,2015 - 2016,4.05
,,2016 - 2017,3.73
,,2017 - 2018,3.62
,,2018 - 2019,4.0
,,2019 - 2020,3.64
,,2020 - 2021,3.67
,,2021 - 2022,3.13
,,2022 - 2023,3.75
,Firozepur,2000 - 2001,3.4
,,2001 - 2002,3.0
,,2002 - 2003,3.0
,,2003 - 2004,3.25
,,2004 - 2005,3.25
,,2005 - 2006,3.75
,,2006 - 2007,3.4
,,2007 - 2008,3.5
,,2008 - 2009,3.6
,,2009 - 2010,3.25
,,2010 - 2011,3.67
,,2011 - 2012,4.0
,Jalandhar,2018 - 2019,4.0
,Ludhiana,2000 - 2001,4.0
,,2001 - 2002,3.5
,,2002 - 2003,3.33
,,2003 - 2004,3.0
,,2004 - 2005,3.5
,,2005 - 2006,3.5
,,2006 - 2007,3.0
,,2007 - 2008,3.5
,,2008 - 2009,2.5
,,2009 - 2010,3.5
,,2010 - 2011,4.0
,,2011 - 2012,4.0
,,2012 - 2013,3.5
,,2013 - 2014,4.0
,,2014 - 2015,3.5
,,2015 - 2016,3.3
,,2016 - 2017,3.92
,,2017 - 2018,4.36
,,2018 - 2019,3.5
,,2019 - 2020,3.82
,,2020 - 2021,3.55
,,2021 - 2022,3.22
,,2022 - 2023,3.92
,Malerkotla,2021 - 2022,3.25
,,2022 - 2023,4.0
,Mansa,2000 - 2001,3.33
,,2001 - 2002,2.5
,,2002 - 2003,3.0
,,2003 - 2004,3.5
,,2004 - 2005,3.0
,,2005 - 2006,2.5
,,2006 - 2007,3.0
,,2007 - 2008,3.0
,,2008 - 2009,3.0
,,2009 - 2010,3.0
,,2010 - 2011,3.0
,,2011 - 2012,3.0
,,2012 - 2013,3.0
,,2013 - 2014,3.0
,,2014 - 2015,3.1
,,2015 - 2016,3.4
,,2016 - 2017,3.6
,,2017 - 2018,3.4
,,2018 - 2019,3.67
,,2019 - 2020,3.67
,,2020 - 2021,3.67
,,2021 - 2022,3.5
,,2022 - 2023,4.0
,Moga,2000 - 2001,3.0
,,2001 - 2002,3.0
,,2002 - 2003,2.0
,,2003 - 2004,3.0
,,2004 - 2005,3.0
,,2005 - 2006,3.0
,,2006 - 2007,3.0
,,2008 - 2009,3.0
,,2016 - 2017,3.67
,,2017 - 2018,3.33
,,2018 - 2019,4.0
,,2019 - 2020,4.0
,,2020 - 2021,4.33
,,2021 - 2022,2.5
,,2022 - 2023,3.5
,Muktsar,2000 - 2001,3.25
,,2001 - 2002,3.0
,,2002 - 2003,3.33
,,2003 - 2004,3.33
,,2004 - 2005,3.33
,,2005 - 2006,3.0
,,2006 - 2007,4.0
,,2007 - 2008,4.0
,,2008 - 2009,4.0
,,2009 - 2010,4.0
,,2010 - 2011,4.0
,,2011 - 2012,3.0
,,2012 - 2013,4.0
,,2013 - 2014,4.0
,,2014 - 2015,3.4
,,2015 - 2016,3.5
,,2016 - 2017,3.2
,,2017 - 2018,3.33
,,2018 - 2019,3.67
,,2019 - 2020,4.0
,,2020 - 2021,3.5
,,2021 - 2022,3.0
,,2022 - 2023,3.0
,Pathankot,2012 - 2013,3.0
,Patiala,2000 - 2001,3.5
,,2001 - 2002,4.5
,,2002 - 2003,3.5
,,2003 - 2004,3.0
,,2004 - 2005,4.0
,,2005 - 2006,4.0
,,2006 - 2007,3.0
,,2007 - 2008,4.0
,,2008 - 2009,4.0
,,2009 - 2010,4.0
,,2010 - 2011,4.0
,,2011 - 2012,5.0
,,2013 - 2014,4.0
,,2014 - 2015,4.1
,,2015 - 2016,4.0
,,2016 - 2017,5.2
,,2017 - 2018,5.4
,,2018 - 2019,4.5
,,2019 - 2020,3.67
,,2020 - 2021,4.0
,,2021 - 2022,3.0
,,2022 - 2023,3.67
,Rupnagar,2016 - 2017,3.0
,,2017 - 2018,4.0
,,2018 - 2019,4.0
,,2019 - 2020,4.0
,,2020 - 2021,5.0
,,2021 - 2022,3.0
,,2022 - 2023,4.0
,S.a.s nagar,2016 - 2017,4.0
,,2017 - 2018,4.0
,,2019 - 2020,3.0
,,2020 - 2021,3.0
,,2021 - 2022,3.0
,,2022 - 2023,2.0
,Sangrur,2000 - 2001,3.86
,,2001 - 2002,4.17
,,2002 - 2003,3.5
,,2003 - 2004,3.8
,,2004 - 2005,3.8
,,2005 - 2006,3.6
,,2006 - 2007,3.5
,,2007 - 2008,4.0
,,2008 - 2009,4.0
,,2009 - 2010,3.5
,,2010 - 2011,4.0
