state,district,year,coriander_whole_year_yield_tonne_per_hectare
,Chhatarpur,2000 - 2001,0.18
,,2001 - 2002,0.19
,,2002 - 2003,0.19
,,2003 - 2004,0.19
,,2004 - 2005,0.19
,,2006 - 2007,0.16
,,2007 - 2008,0.14
,,2008 - 2009,0.2
,,2009 - 2010,0.2
,,2010 - 2011,0.19
,,2011 - 2012,0.2
,,2012 - 2013,0.21
,,2013 - 2014,0.18
,,2015 - 2016,1.0
,,2016 - 2017,1.02
,,2017 - 2018,1.02
,,2018 - 2019,1.0
,,2019 - 2020,1.12
,Chhindwara,2000 - 2001,0.24
,,2001 - 2002,0.22
,,2002 - 2003,0.21
,,2003 - 2004,0.27
,,2004 - 2005,0.25
,,2006 - 2007,0.28
,,2007 - 2008,0.26
,,2008 - 2009,0.27
,,2009 - 2010,0.3
,,2010 - 2011,0.26
,,2011 - 2012,0.35
,,2012 - 2013,0.37
,,2013 - 2014,0.41
,,2015 - 2016,8.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,Damoh,2000 - 2001,0.19
,,2001 - 2002,0.24
,,2002 - 2003,0.2
,,2003 - 2004,0.27
,,2004 - 2005,0.27
,,2006 - 2007,0.24
,,2007 - 2008,0.2
,,2008 - 2009,0.33
,,2009 - 2010,0.33
,,2010 - 2011,0.33
,,2011 - 2012,0.32
,,2012 - 2013,0.38
,,2013 - 2014,0.46
,Datia,2000 - 2001,0.33
,,2001 - 2002,0.25
,,2002 - 2003,0.2
,,2003 - 2004,0.2
,,2004 - 2005,0.33
,,2006 - 2007,0.2
,,2007 - 2008,0.14
,,2008 - 2009,0.36
,,2009 - 2010,0.27
,,2010 - 2011,0.25
,,2011 - 2012,0.33
,,2012 - 2013,0.42
,,2013 - 2014,0.37
,,2015 - 2016,1.0
,,2016 - 2017,1.5
,,2017 - 2018,1.5
,,2018 - 2019,1.5
,,2019 - 2020,1.5
,Dewas,2000 - 2001,0.23
,,2001 - 2002,0.29
,,2002 - 2003,0.32
,,2003 - 2004,0.33
,,2004 - 2005,0.32
,,2006 - 2007,0.38
,,2007 - 2008,0.41
,,2008 - 2009,0.35
,,2009 - 2010,0.37
,,2010 - 2011,0.41
,,2011 - 2012,0.41
,,2012 - 2013,0.48
,,2013 - 2014,0.26
,,2015 - 2016,2.04
,,2016 - 2017,2.03
,,2017 - 2018,2.1
,,2018 - 2019,2.11
,,2019 - 2020,2.11
,Dhar,2000 - 2001,0.23
,,2001 - 2002,0.35
,,2002 - 2003,0.31
,,2003 - 2004,0.37
,,2004 - 2005,0.37
,,2006 - 2007,0.41
,,2007 - 2008,0.38
,,2008 - 2009,0.37
,,2009 - 2010,0.36
,,2010 - 2011,0.4
,,2011 - 2012,0.39
,,2012 - 2013,0.4
,,2013 - 2014,0.61
,,2015 - 2016,0.8
,,2016 - 2017,1.0
,,2017 - 2018,1.01
,,2018 - 2019,1.53
,,2019 - 2020,1.69
,Dindori,2000 - 2001,0.14
,,2001 - 2002,0.19
,,2002 - 2003,0.14
,,2003 - 2004,0.19
,,2004 - 2005,0.19
,,2006 - 2007,0.14
,,2007 - 2008,0.11
,,2008 - 2009,0.12
,,2009 - 2010,0.12
,,2010 - 2011,0.12
,,2011 - 2012,0.12
,,2012 - 2013,0.18
,,2013 - 2014,0.25
,,2016 - 2017,2.89
,,2017 - 2018,2.9
,,2018 - 2019,2.8
,,2019 - 2020,2.8
,Guna,2000 - 2001,0.25
,,2001 - 2002,0.32
,,2002 - 2003,0.11
,,2003 - 2004,0.3
,,2004 - 2005,0.29
,,2006 - 2007,0.33
,,2007 - 2008,0.23
,,2008 - 2009,0.33
,,2009 - 2010,0.33
,,2010 - 2011,0.26
,,2011 - 2012,0.3
,,2012 - 2013,0.91
,,2013 - 2014,1.06
,,2015 - 2016,1.0
,,2016 - 2017,1.2
,,2017 - 2018,1.2
,,2018 - 2019,1.2
,,2019 - 2020,1.2
,Gwalior,2000 - 2001,0.43
,,2001 - 2002,0.61
,,2002 - 2003,0.27
,,2003 - 2004,0.44
,,2004 - 2005,0.45
,,2006 - 2007,0.3
,,2007 - 2008,0.33
,,2008 - 2009,0.52
,,2009 - 2010,0.56
,,2010 - 2011,0.45
,,2011 - 2012,0.5
,,2012 - 2013,0.33
,,2013 - 2014,0.32
,,2015 - 2016,2.5
,,2016 - 2017,2.5
,,2017 - 2018,2.5
,,2018 - 2019,2.5
,,2019 - 2020,3.0
,Harda,2000 - 2001,0.29
,,2001 - 2002,0.36
,,2002 - 2003,0.37
,,2003 - 2004,0.36
,,2004 - 2005,0.43
,,2006 - 2007,0.31
,,2007 - 2008,0.3
,,2008 - 2009,0.39
,,2009 - 2010,0.36
,,2010 - 2011,0.37
,,2011 - 2012,0.34
,,2012 - 2013,0.39
,,2013 - 2014,0.34
,,2015 - 2016,1.5
,,2016 - 2017,1.5
,,2017 - 2018,1.51
,,2018 - 2019,1.51
,,2019 - 2020,1.51
,Hoshangabad,2000 - 2001,0.44
,,2001 - 2002,0.43
,,2002 - 2003,0.41
,,2003 - 2004,0.36
,,2004 - 2005,0.4
,,2006 - 2007,0.46
,,2007 - 2008,0.46
,,2008 - 2009,0.46
,,2009 - 2010,0.46
,,2010 - 2011,0.46
,,2011 - 2012,0.52
,,2012 - 2013,0.47
,,2013 - 2014,0.43
,,2015 - 2016,2.0
,,2016 - 2017,1.1
,,2017 - 2018,1.1
,,2018 - 2019,1.1
,,2019 - 2020,1.1
,Indore,2000 - 2001,0.26
,,2002 - 2003,0.32
,,2003 - 2004,0.36
,,2004 - 2005,0.37
,,2006 - 2007,0.33
,,2007 - 2008,0.37
,,2008 - 2009,0.36
,,2009 - 2010,0.39
,,2010 - 2011,0.41
,,2011 - 2012,0.39
,,2012 - 2013,0.28
,,2013 - 2014,0.31
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,Jabalpur,2000 - 2001,0.23
,,2001 - 2002,0.3
,,2002 - 2003,0.29
,,2003 - 2004,0.35
,,2004 - 2005,0.36
,,2006 - 2007,0.36
,,2007 - 2008,0.22
,,2008 - 2009,0.23
,,2009 - 2010,0.23
,,2010 - 2011,0.27
,,2011 - 2012,0.29
,,2012 - 2013,0.27
,,2013 - 2014,0.36
,,2015 - 2016,1.4
,,2016 - 2017,1.4
,,2017 - 2018,1.4
,,2018 - 2019,1.5
,,2019 - 2020,1.4
,Jhabua,2007 - 2008,0.33
,,2010 - 2011,0.5
,,2012 - 2013,0.5
,,2013 - 2014,0.5
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,Katni,2000 - 2001,0.19
,,2001 - 2002,0.21
,,2002 - 2003,0.19
,,2003 - 2004,0.23
,,2004 - 2005,0.23
,,2006 - 2007,0.15
,,2007 - 2008,0.17
,,2008 - 2009,0.19
,,2009 - 2010,0.19
,,2010 - 2011,0.17
,,2011 - 2012,0.2
,,2012 - 2013,0.21
,,2013 - 2014,0.48
,,2015 - 2016,1.99
,,2016 - 2017,0.83
,,2017 - 2018,1.13
,,2018 - 2019,1.13
,,2019 - 2020,1.13
,Khandwa,2000 - 2001,0.22
,,2001 - 2002,0.25
,,2002 - 2003,0.29
,,2003 - 2004,0.29
,,2004 - 2005,0.27
,,2006 - 2007,0.32
,,2007 - 2008,0.34
,,2008 - 2009,0.29
,,2009 - 2010,0.34
,,2010 - 2011,0.33
,,2011 - 2012,0.34
,,2012 - 2013,0.26
,,2013 - 2014,0.33
,,2015 - 2016,16.0
,,2016 - 2017,1.6
,,2017 - 2018,1.6
,,2018 - 2019,1.6
,,2019 - 2020,1.61
,Khargone,2000 - 2001,0.2
,,2001 - 2002,0.27
,,2002 - 2003,0.26
,,2003 - 2004,0.29
,,2004 - 2005,0.28
,,2006 - 2007,0.35
,,2007 - 2008,0.35
,,2008 - 2009,0.34
,,2009 - 2010,0.34
,,2010 - 2011,0.39
,,2011 - 2012,0.38
,,2012 - 2013,0.29
,,2013 - 2014,0.32
,,2015 - 2016,1.1
,,2016 - 2017,1.1
,,2017 - 2018,1.1
,,2018 - 2019,1.1
,,2019 - 2020,1.49
,Mandla,2000 - 2001,0.1
,,2001 - 2002,0.19
,,2002 - 2003,0.19
,,2003 - 2004,0.23
,,2004 - 2005,0.23
,,2006 - 2007,0.23
,,2007 - 2008,0.23
,,2008 - 2009,0.23
,,2009 - 2010,0.21
,,2010 - 2011,0.21
,,2011 - 2012,0.21
,,2012 - 2013,0.22
,,2013 - 2014,0.37
,,2015 - 2016,2.87
,,2016 - 2017,1.37
,,2017 - 2018,1.44
,,2018 - 2019,1.45
,,2019 - 2020,1.46
,Mandsaur,2000 - 2001,0.44
,,2001 - 2002,0.53
,,2002 - 2003,0.35
,,2003 - 2004,0.54
,,2004 - 2005,0.56
,,2006 - 2007,0.61
,,2007 - 2008,0.49
,,2008 - 2009,0.62
,,2009 - 2010,0.61
,,2010 - 2011,0.59
,,2011 - 2012,0.53
,,2012 - 2013,0.59
,,2013 - 2014,0.58
,,2015 - 2016,1.4
,,2016 - 2017,1.4
,,2017 - 2018,1.4
,,2018 - 2019,1.4
,,2019 - 2020,1.4
,Morena,2001 - 2002,0.57
,,2002 - 2003,0.29
,,2003 - 2004,0.01
,,2018 - 2019,1.01
,,2019 - 2020,1.03
,Narsinghpur,2000 - 2001,0.54
,,2001 - 2002,0.54
,,2002 - 2003,0.5
,,2003 - 2004,0.53
,,2004 - 2005,0.53
,,2006 - 2007,0.53
,,2007 - 2008,0.51
,,2008 - 2009,0.51
,,2009 - 2010,0.51
,,2010 - 2011,0.43
,,2011 - 2012,0.48
,,2012 - 2013,0.43
,,2013 - 2014,0.48
,,2015 - 2016,1.45
,,2016 - 2017,1.46
,,2017 - 2018,1.46
,,2018 - 2019,1.47
,,2019 - 2020,1.47
,Neemuch,2000 - 2001,0.56
,,2001 - 2002,0.67
,,2002 - 2003,0.64
,,2003 - 2004,0.65
,,2004 - 2005,0.7
,,2006 - 2007,0.66
,,2007 - 2008,0.46
,,2008 - 2009,0.64
,,2009 - 2010,0.58
,,2010 - 2011,0.48
,,2011 - 2012,0.58
,,2012 - 2013,1.05
,,2013 - 2014,0.72
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,Panna,2000 - 2001,0.32
,,2001 - 2002,0.44
,,2002 - 2003,0.4
,,2003 - 2004,0.45
,,2004 - 2005,0.34
,,2006 - 2007,0.4
,,2007 - 2008,0.41
,,2008 - 2009,0.55
,,2009 - 2010,0.55
,,2010 - 2011,0.55
,,2011 - 2012,0.6
,,2012 - 2013,0.67
,,2013 - 2014,0.76
,,2015 - 2016,2.62
,,2016 - 2017,2.24
,,2017 - 2018,2.23
,,2018 - 2019,2.23
,,2019 - 2020,2.23
,Raisen,2000 - 2001,0.23
,,2001 - 2002,0.24
,,2002 - 2003,0.24
,,2003 - 2004,0.26
,,2004 - 2005,0.26
,,2006 - 2007,0.26
,,2007 - 2008,0.26
,,2008 - 2009,0.26
,,2009 - 2010,0.26
,,2010 - 2011,0.22
,,2011 - 2012,0.32
,,2012 - 2013,0.2
,,2013 - 2014,0.37
,,2015 - 2016,1.09
,,2016 - 2017,1.09
,,2017 - 2018,1.09
,,2018 - 2019,1.05
,,2019 - 2020,1.05
,Rajgarh,2000 - 2001,0.34
,,2001 - 2002,0.36
,,2002 - 2003,0.35
,,2003 - 2004,0.47
,,2004 - 2005,0.46
,,2006 - 2007,0.5
,,2007 - 2008,0.33
,,2008 - 2009,0.46
,,2009 - 2010,0.55
,,2010 - 2011,0.36
,,2011 - 2012,0.49
,,2012 - 2013,0.39
,,2013 - 2014,0.46
,,2015 - 2016,1.25
,,2016 - 2017,1.25
,,2017 - 2018,1.25
,,2018 - 2019,1.25
,,2019 - 2020,1.25
,Ratlam,2000 - 2001,0.45
,,2001 - 2002,0.34
,,2002 - 2003,0.4
,,2003 - 2004,0.46
,,2004 - 2005,0.45
,,2006 - 2007,0.45
,,2007 - 2008,0.45
,,2008 - 2009,0.35
,,2009 - 2010,0.43
,,2010 - 2011,0.42
,,2011 - 2012,0.45
,,2012 - 2013,0.41
,,2013 - 2014,0.42
,,2015 - 2016,1.5
,,2016 - 2017,1.5
,,2017 - 2018,1.5
,,2018 - 2019,6.18
,,2019 - 2020,1.5
,Rewa,2000 - 2001,0.25
,,2001 - 2002,0.25
,,2002 - 2003,0.23
,,2003 - 2004,0.24
,,2004 - 2005,0.24
,,2006 - 2007,0.35
,,2007 - 2008,0.35
,,2008 - 2009,0.39
,,2009 - 2010,0.38
,,2010 - 2011,0.38
,,2011 - 2012,0.41
,,2012 - 2013,0.32
,,2013 - 2014,0.32
,,2015 - 2016,1.5
,,2016 - 2017,2.6
,,2017 - 2018,2.6
,,2018 - 2019,2.5
,,2019 - 2020,2.5
,Sagar,2000 - 2001,0.33
,,2001 - 2002,0.32
,,2002 - 2003,0.22
,,2003 - 2004,0.35
,,2004 - 2005,0.35
,,2006 - 2007,0.34
,,2007 - 2008,0.34
,,2008 - 2009,0.37
,,2009 - 2010,0.3
,,2010 - 2011,0.4
,,2011 - 2012,0.37
,,2012 - 2013,0.53
,,2013 - 2014,0.47
,,2015 - 2016,4.0
,,2016 - 2017,4.0
,,2017 - 2018,4.0
,,2018 - 2019,4.81
,,2019 - 2020,2.8
,Satna,2000 - 2001,0.31
,,2001 - 2002,0.34
,,2002 - 2003,0.34
,,2003 - 2004,0.36
,,2004 - 2005,0.41
,,2006 - 2007,0.33
,,2007 - 2008,0.26
,,2008 - 2009,0.36
,,2009 - 2010,0.43
,,2010 - 2011,0.39
,,2011 - 2012,0.4
,,2012 - 2013,0.3
,,2013 - 2014,0.33
,,2015 - 2016,5.79
,,2016 - 2017,2.24
,,2017 - 2018,2.24
,,2018 - 2019,2.16
,,2019 - 2020,2.24
,Sehore,2000 - 2001,0.42
,,2001 - 2002,0.51
,,2002 - 2003,0.51
,,2003 - 2004,0.51
,,2004 - 2005,0.51
,,2006 - 2007,0.51
,,2007 - 2008,0.52
,,2008 - 2009,0.62
,,2009 - 2010,0.68
,,2010 - 2011,0.39
,,2011 - 2012,0.67
,,2012 - 2013,0.52
,,2013 - 2014,0.56
,,2015 - 2016,15.0
,,2016 - 2017,1.8
,,2017 - 2018,1.8
,,2018 - 2019,1.8
,,2019 - 2020,1.8
,Seoni,2000 - 2001,0.24
,,2001 - 2002,0.27
,,2002 - 2003,0.21
,,2003 - 2004,0.26
,,2004 - 2005,0.25
,,2006 - 2007,0.26
,,2007 - 2008,0.25
,,2008 - 2009,0.25
,,2009 - 2010,0.25
,,2010 - 2011,0.25
,,2011 - 2012,0.25
,,2012 - 2013,0.35
,,2013 - 2014,0.43
,,2015 - 2016,0.98
,,2016 - 2017,1.0
,,2017 - 2018,1.01
,,2018 - 2019,1.02
,,2019 - 2020,1.01
,Shahdol,2000 - 2001,0.3
,,2001 - 2002,0.29
,,2002 - 2003,0.3
,,2003 - 2004,0.28
,,2004 - 2005,0.23
,,2006 - 2007,0.25
,,2007 - 2008,0.27
,,2008 - 2009,0.25
,,2009 - 2010,0.25
,,2010 - 2011,0.29
,,2011 - 2012,0.31
,,2012 - 2013,0.44
,,2013 - 2014,0.48
,,2015 - 2016,14.0
,,2016 - 2017,0.7
,,2017 - 2018,0.71
,,2018 - 2019,0.7
,,2019 - 2020,0.7
,Shajapur,2000 - 2001,0.36
,,2001 - 2002,0.36
,,2002 - 2003,0.29
,,2003 - 2004,0.43
,,2004 - 2005,0.45
,,2006 - 2007,0.48
,,2007 - 2008,0.29
,,2008 - 2009,0.33
,,2009 - 2010,0.49
,,2010 - 2011,0.49
,,2011 - 2012,0.49
,,2012 - 2013,0.47
,,2013 - 2014,0.48
,,2015 - 2016,1.32
,,2016 - 2017,1.35
,,2017 - 2018,1.4
,,2018 - 2019,1.4
,,2019 - 2020,1.4
,Sheopur,2000 - 2001,0.56
,,2001 - 2002,0.61
,,2002 - 2003,0.34
,,2003 - 2004,0.47
,,2004 - 2005,0.47
,,2006 - 2007,0.53
,,2007 - 2008,0.58
,,2008 - 2009,0.58
,,2009 - 2010,0.58
,,2010 - 2011,0.56
,,2011 - 2012,0.58
,,2012 - 2013,0.93
,,2013 - 2014,0.86
,,2015 - 2016,1.6
,,2016 - 2017,1.75
,,2017 - 2018,1.75
,,2018 - 2019,1.75
,,2019 - 2020,1.75
,Shivpuri,2000 - 2001,0.25
,,2001 - 2002,0.27
,,2002 - 2003,0.15
,,2003 - 2004,0.29
,,2004 - 2005,0.32
,,2006 - 2007,0.25
,,2007 - 2008,0.21
,,2008 - 2009,0.27
,,2009 - 2010,0.3
,,2010 - 2011,0.23
,,2011 - 2012,0.27
,,2012 - 2013,0.23
,,2013 - 2014,0.29
,,2015 - 2016,0.5
,,2016 - 2017,1.48
,,2017 - 2018,1.5
,,2018 - 2019,1.5
,,2019 - 2020,1.21
,Sidhi,2000 - 2001,0.45
,,2001 - 2002,0.5
,,2002 - 2003,0.4
,,2003 - 2004,0.49
,,2004 - 2005,0.49
,,2006 - 2007,0.47
,,2007 - 2008,0.43
,,2008 - 2009,0.53
,,2009 - 2010,0.51
,,2010 - 2011,0.5
,,2011 - 2012,0.66
,,2012 - 2013,0.74
,,2013 - 2014,0.91
,,2015 - 2016,1.53
,,2016 - 2017,1.7
,,2017 - 2018,1.69
,,2018 - 2019,1.7
,,2019 - 2020,1.7
,Singrauli,2008 - 2009,0.53
,,2009 - 2010,0.51
,,2010 - 2011,0.51
,,2011 - 2012,0.65
,,2012 - 2013,0.63
,,2013 - 2014,0.63
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.64
,,2018 - 2019,1.74
,,2019 - 2020,1.82
,Tikamgarh,2000 - 2001,0.41
,,2001 - 2002,0.41
,,2002 - 2003,0.33
,,2003 - 2004,0.4
,,2004 - 2005,0.33
,,2006 - 2007,0.27
,,2007 - 2008,0.25
,,2008 - 2009,0.33
,,2009 - 2010,0.33
,,2010 - 2011,0.27
,,2011 - 2012,0.46
,,2012 - 2013,0.26
,,2013 - 2014,0.25
,,2015 - 2016,0.15
,,2016 - 2017,1.1
,,2017 - 2018,1.1
,,2018 - 2019,1.09
,,2019 - 2020,1.09
,Ujjain,2000 - 2001,0.19
,,2001 - 2002,0.17
,,2002 - 2003,0.16
,,2003 - 2004,0.32
,,2004 - 2005,0.32
,,2006 - 2007,0.35
,,2007 - 2008,0.23
,,2008 - 2009,0.29
,,2009 - 2010,0.3
,,2010 - 2011,0.26
,,2011 - 2012,0.29
,,2012 - 2013,0.29
,,2013 - 2014,0.29
,,2015 - 2016,1.76
,,2016 - 2017,2.7
,,2017 - 2018,2.83
,,2018 - 2019,2.9
,,2019 - 2020,3.0
,Umaria,2000 - 2001,0.3
,,2001 - 2002,0.26
,,2002 - 2003,0.28
,,2003 - 2004,0.26
,,2004 - 2005,0.27
,,2006 - 2007,0.26
,,2007 - 2008,0.27
,,2008 - 2009,0.25
,,2009 - 2010,0.27
,,2010 - 2011,0.25
,,2011 - 2012,0.33
,,2012 - 2013,0.34
,,2013 - 2014,0.47
,,2015 - 2016,2.0
,,2016 - 2017,2.0
,,2017 - 2018,1.3
,,2018 - 2019,1.3
,,2019 - 2020,1.3
,Vidisha,2000 - 2001,0.22
,,2001 - 2002,0.27
,,2002 - 2003,0.21
,,2003 - 2004,0.31
,,2004 - 2005,0.31
,,2006 - 2007,0.32
,,2007 - 2008,0.26
,,2008 - 2009,0.27
,,2009 - 2010,0.3
,,2010 - 2011,0.23
,,2011 - 2012,0.32
,,2012 - 2013,0.36
,,2015 - 2016,1.1
,,2016 - 2017,1.5
,,2017 - 2018,1.5
,,2018 - 2019,1.5
,,2019 - 2020,1.54
Meghalaya,East garo hills,2004 - 2005,5.38
,,2017 - 2018,2.44
,,2018 - 2019,2.44
,,2019 - 2020,2.44
,,2020 - 2021,2.44
,East jaintia hills,2004 - 2005,4.17
,,2017 - 2018,4.0
,,2018 - 2019,4.0
,,2019 - 2020,4.0
,,2020 - 2021,4.0
,East khasi hills,2017 - 2018,2.47
,,2018 - 2019,2.47
,,2019 - 2020,2.47
,,2020 - 2021,2.47
,North garo hills,2017 - 2018,3.58
,,2018 - 2019,3.58
,,2019 - 2020,3.58
,,2020 - 2021,3.58
,South garo hills,2004 - 2005,5.36
,,2017 - 2018,9.48
,,2018 - 2019,9.49
,,2019 - 2020,9.5
,,2020 - 2021,9.51
,South west garo hills,2017 - 2018,2.9
,,2018 - 2019,2.9
,,2019 - 2020,2.91
,,2020 - 2021,2.91
,South west khasi hills,2017 - 2018,2.86
,,2018 - 2019,2.86
,,2019 - 2020,2.86
,,2020 - 2021,2.86
,West garo hills,2004 - 2005,7.06
,,2017 - 2018,3.01
,,2018 - 2019,3.02
,,2019 - 2020,3.02
,,2020 - 2021,3.03
,West jaintia hills,2017 - 2018,2.7
,,2018 - 2019,2.7
,,2019 - 2020,2.7
,,2020 - 2021,2.7
,West khasi hills,2017 - 2018,3.94
,,2018 - 2019,3.94
,,2019 - 2020,3.94
,,2020 - 2021,3.94
Odisha,Anugul,2000 - 2001,0.49
,,2001 - 2002,0.41
,,2002 - 2003,0.41
,,2003 - 2004,0.41
,,2004 - 2005,0.41
,,2019 - 2020,
,Balangir,2000 - 2001,0.48
,,2001 - 2002,0.05
,,2002 - 2003,0.48
,,2003 - 2004,0.48
,,2004 - 2005,0.49
,,2019 - 2020,
,Baleshwar,2000 - 2001,0.49
,,2001 - 2002,0.49
,,2002 - 2003,0.49
,,2003 - 2004,0.49
,,2004 - 2005,0.49
,,2019 - 2020,
,Bargarh,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2003 - 2004,0.49
,,2004 - 2005,0.5
,,2019 - 2020,
,Bhadrak,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,0.48
,,2003 - 2004,0.48
,,2004 - 2005,0.49
,,2019 - 2020,
,Boudh,2000 - 2001,0.5
,,2001 - 2002,0.48
,,2002 - 2003,0.49
,,2003 - 2004,0.49
,,2004 - 2005,0.49
,,2019 - 2020,
,Cuttack,2000 - 2001,0.49
,,2001 - 2002,0.49
,,2002 - 2003,0.49
,,2003 - 2004,0.49
,,2004 - 2005,0.49
,,2019 - 2020,
,Deogarh,2000 - 2001,0.45
,,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2003 - 2004,0.49
,,2004 - 2005,0.49
,,2019 - 2020,
,Dhenkanal,2000 - 2001,0.5
,,2001 - 2002,0.47
,,2002 - 2003,0.48
,,2003 - 2004,0.48
,,2004 - 2005,0.48
,,2019 - 2020,
,Gajapati,2000 - 2001,0.33
,,2001 - 2002,0.5
,,2002 - 2003,0.33
,,2003 - 2004,0.5
,,2004 - 2005,0.5
,,2019 - 2020,
,Ganjam,2000 - 2001,0.48
,,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2003 - 2004,0.48
,,2004 - 2005,0.49
,,2019 - 2020,
,Jagatsinghapur,2000 - 2001,0.47
,,2001 - 2002,0.5
,,2002 - 2003,0.49
,,2003 - 2004,0.5
,,2004 - 2005,0.49
,,2019 - 2020,
,Jajapur,2000 - 2001,0.49
,,2001 - 2002,0.49
,,2002 - 2003,0.49
,,2003 - 2004,0.49
,,2004 - 2005,0.49
,,2019 - 2020,
,Jharsuguda,2000 - 2001,0.5
,,2001 - 2002,0.43
,,2002 - 2003,0.4
,,2003 - 2004,0.5
,,2004 - 2005,0.48
,,2019 - 2020,
,Kalahandi,2000 - 2001,0.49
,,2001 - 2002,0.49
,,2002 - 2003,0.48
,,2003 - 2004,0.48
,,2004 - 2005,0.49
,,2019 - 2020,
,Kandhamal,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,0.46
,,2003 - 2004,0.48
,,2004 - 2005,0.48
,,2019 - 2020,
,Kendrapara,2000 - 2001,0.49
,,2001 - 2002,0.47
,,2002 - 2003,0.49
,,2003 - 2004,0.49
,,2004 - 2005,0.54
,,2019 - 2020,
,Kendujhar,2001 - 2002,0.31
,,2002 - 2003,0.39
,,2003 - 2004,0.39
,,2004 - 2005,0.39
,,2019 - 2020,
,Khordha,2000 - 2001,0.5
,,2001 - 2002,0.48
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,0.49
,,2019 - 2020,
,Koraput,2000 - 2001,0.5
,,2001 - 2002,0.49
,,2002 - 2003,0.48
,,2003 - 2004,0.48
,,2004 - 2005,0.48
,,2019 - 2020,
,Malkangiri,2001 - 2002,0.44
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,0.48
,,2019 - 2020,
,Mayurbhanj,2000 - 2001,0.49
,,2001 - 2002,0.48
,,2002 - 2003,0.49
,,2003 - 2004,0.49
,,2004 - 2005,0.49
,,2019 - 2020,
,Nabarangpur,2000 - 2001,0.5
,,2001 - 2002,0.48
,,2002 - 2003,0.48
,,2003 - 2004,0.48
,,2004 - 2005,0.49
,,2019 - 2020,
,Nayagarh,2000 - 2001,0.46
,,2001 - 2002,0.5
,,2002 - 2003,0.45
,,2003 - 2004,0.45
,,2004 - 2005,0.45
,,2019 - 2020,
,Nuapada,2000 - 2001,0.47
,,2001 - 2002,0.5
,,2002 - 2003,0.49
,,2003 - 2004,0.49
,,2004 - 2005,0.49
,,2019 - 2020,
,Puri,2000 - 2001,0.47
,,2001 - 2002,0.05
,,2002 - 2003,0.47
,,2003 - 2004,0.48
,,2004 - 2005,0.48
,,2019 - 2020,
,Rayagada,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,0.47
,,2019 - 2020,
,Sambalpur,2000 - 2001,0.49
,,2001 - 2002,0.5
,,2002 - 2003,0.49
,,2003 - 2004,0.49
,,2004 - 2005,0.49
,,2019 - 2020,
,Sonepur,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2003 - 2004,0.48
,,2004 - 2005,0.5
,,2019 - 2020,
,Sundargarh,2000 - 2001,0.49
,,2001 - 2002,0.49
,,2002 - 2003,0.47
,,2003 - 2004,0.47
,,2004 - 2005,0.48
,,2019 - 2020,
Puducherry,Yanam,2000 - 2001,1.0
,,2001 - 2002,0.5
,,2002 - 2003,0.8
,,2003 - 2004,0.5
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2012 - 2013,
,,2014 - 2015,
Rajasthan,Ajmer,2000 - 2001,0.95
,,2001 - 2002,0.63
,,2002 - 2003,0.81
,,2003 - 2004,1.24
,,2004 - 2005,1.15
,,2005 - 2006,1.05
,,2006 - 2007,1.17
,,2007 - 2008,0.78
,,2008 - 2009,1.11
,,2009 - 2010,0.38
,,2010 - 2011,1.1
,,2011 - 2012,1.23
,,2012 - 2013,1.18
,,2013 - 2014,0.64
,,2014 - 2015,0.8
,,2015 - 2016,1.07
,,2016 - 2017,1.14
,,2017 - 2018,1.33
,,2018 - 2019,0.28
,,2019 - 2020,0.21
,,2020 - 2021,1.49
,,2021 - 2022,0.62
,,2022 - 2023,1.37
,Alwar,2000 - 2001,0.79
,,2001 - 2002,0.27
,,2002 - 2003,0.69
,,2003 - 2004,1.24
,,2004 - 2005,1.15
,,2005 - 2006,1.03
,,2006 - 2007,1.19
,,2007 - 2008,0.77
,,2008 - 2009,1.11
,,2009 - 2010,1.22
,,2010 - 2011,1.11
,,2011 - 2012,1.23
,,2012 - 2013,1.17
,,2013 - 2014,0.65
,,2014 - 2015,0.81
,,2015 - 2016,1.05
,,2016 - 2017,1.15
,,2017 - 2018,1.33
,,2018 - 2019,1.27
