state,district,year,masoor_rabi_yield_tonne_per_hectare
,,2018 - 2019,0.83
,,2019 - 2020,0.82
,,2020 - 2021,0.82
,Mokokchung,2003 - 2004,0.49
,,2004 - 2005,0.41
,,2005 - 2006,2.44
,,2006 - 2007,1.18
,,2008 - 2009,0.69
,,2009 - 2010,0.75
,,2010 - 2011,0.81
,,2011 - 2012,0.81
,,2012 - 2013,0.83
,,2013 - 2014,0.83
,,2014 - 2015,0.83
,,2015 - 2016,0.84
,,2016 - 2017,0.83
,,2017 - 2018,0.83
,,2018 - 2019,0.83
,,2019 - 2020,0.82
,,2020 - 2021,0.82
,,2021 - 2022,0.8
,,2022 - 2023,0.77
,Mon,2003 - 2004,0.4
,,2004 - 2005,0.46
,,2005 - 2006,2.58
,,2006 - 2007,1.22
,,2008 - 2009,0.8
,,2009 - 2010,0.7
,,2010 - 2011,0.76
,,2011 - 2012,0.76
,,2012 - 2013,0.81
,,2013 - 2014,0.81
,,2014 - 2015,0.81
,,2015 - 2016,0.81
,,2016 - 2017,0.8
,,2017 - 2018,0.81
,,2018 - 2019,0.81
,,2019 - 2020,0.85
,,2020 - 2021,0.85
,Nuiland,2022 - 2023,0.84
,Peren,2009 - 2010,0.76
,,2010 - 2011,0.78
,,2011 - 2012,0.78
,,2012 - 2013,0.82
,,2013 - 2014,0.82
,,2014 - 2015,0.82
,,2015 - 2016,0.83
,,2016 - 2017,0.82
,,2017 - 2018,0.82
,,2018 - 2019,0.83
,,2019 - 2020,0.82
,,2020 - 2021,0.82
,,2021 - 2022,0.5
,,2022 - 2023,0.75
,Phek,2003 - 2004,0.5
,,2004 - 2005,0.48
,,2005 - 2006,1.83
,,2006 - 2007,1.21
,,2008 - 2009,0.67
,,2009 - 2010,0.69
,,2010 - 2011,0.75
,,2011 - 2012,0.75
,,2012 - 2013,0.81
,,2013 - 2014,0.81
,,2014 - 2015,0.82
,,2015 - 2016,0.82
,,2016 - 2017,0.82
,,2017 - 2018,0.82
,,2018 - 2019,0.83
,,2019 - 2020,0.82
,,2020 - 2021,0.82
,Tuensang,2003 - 2004,0.4
,,2004 - 2005,0.48
,,2005 - 2006,2.58
,,2006 - 2007,1.21
,,2008 - 2009,0.71
,,2009 - 2010,0.71
,,2010 - 2011,0.77
,,2011 - 2012,0.77
,,2012 - 2013,0.81
,,2013 - 2014,0.81
,,2014 - 2015,0.81
,,2015 - 2016,0.81
,,2016 - 2017,0.86
,,2017 - 2018,0.82
,,2018 - 2019,0.83
,,2019 - 2020,0.82
,,2020 - 2021,0.82
,Wokha,2003 - 2004,0.42
,,2004 - 2005,0.41
,,2005 - 2006,2.17
,,2006 - 2007,1.19
,,2008 - 2009,0.8
,,2009 - 2010,0.7
,,2010 - 2011,0.73
,,2011 - 2012,0.74
,,2012 - 2013,0.79
,,2013 - 2014,0.79
,,2014 - 2015,0.79
,,2015 - 2016,0.79
,,2016 - 2017,0.79
,,2017 - 2018,0.85
,,2018 - 2019,0.81
,,2019 - 2020,0.85
,,2020 - 2021,0.85
,Zunheboto,2003 - 2004,0.31
,,2004 - 2005,0.4
,,2005 - 2006,2.48
,,2006 - 2007,1.18
,,2008 - 2009,0.63
,,2009 - 2010,0.67
,,2010 - 2011,0.73
,,2011 - 2012,0.73
,,2012 - 2013,0.79
,,2013 - 2014,0.8
,,2014 - 2015,0.81
,,2015 - 2016,0.81
,,2016 - 2017,0.81
,,2017 - 2018,0.81
,,2018 - 2019,0.81
,,2019 - 2020,0.83
,,2020 - 2021,0.83
,,2021 - 2022,0.8
,,2022 - 2023,0.78
Odisha,Balangir,2001 - 2002,0.34
,,2002 - 2003,0.34
,,2003 - 2004,0.34
,,2004 - 2005,0.35
,,2019 - 2020,0.52
,Kalahandi,2004 - 2005,0.43
,,2019 - 2020,0.53
,Kendujhar,2001 - 2002,0.39
,,2002 - 2003,0.36
,,2003 - 2004,0.39
,,2004 - 2005,0.41
,,2019 - 2020,0.54
,Mayurbhanj,2001 - 2002,0.45
,,2002 - 2003,0.38
,,2003 - 2004,0.45
,,2004 - 2005,0.4
,,2019 - 2020,0.52
,Nabarangpur,2019 - 2020,0.56
,Nuapada,2001 - 2002,0.31
,,2004 - 2005,0.34
,,2019 - 2020,0.54
,Sundargarh,2001 - 2002,0.33
,,2003 - 2004,0.43
,,2004 - 2005,0.43
,,2019 - 2020,0.54
Punjab,Amritsar,2000 - 2001,0.8
,,2001 - 2002,0.83
,,2002 - 2003,0.6
,,2003 - 2004,0.75
,,2004 - 2005,0.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2012 - 2013,1.0
,,2016 - 2017,0.0
,,2017 - 2018,0.5
,,2018 - 2019,1.0
,,2019 - 2020,0.5
,,2022 - 2023,1.0
,Fatehgarh sahib,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,Firozepur,2011 - 2012,0.7
,Gurdaspur,2000 - 2001,0.8
,,2001 - 2002,0.78
,,2002 - 2003,0.88
,,2003 - 2004,0.83
,,2004 - 2005,0.33
,,2005 - 2006,0.5
,,2006 - 2007,0.33
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.67
,,2010 - 2011,0.47
,,2011 - 2012,0.73
,,2012 - 2013,1.0
,,2013 - 2014,0.7
,,2014 - 2015,0.6
,,2015 - 2016,0.7
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2020 - 2021,1.0
,,2022 - 2023,1.0
,Hoshiarpur,2000 - 2001,0.44
,,2001 - 2002,0.43
,,2002 - 2003,0.33
,,2003 - 2004,0.43
,,2004 - 2005,0.43
,,2005 - 2006,0.5
,,2006 - 2007,0.25
,,2007 - 2008,0.33
,,2008 - 2009,0.33
,,2009 - 2010,0.33
,,2010 - 2011,0.62
,,2011 - 2012,0.6
,,2012 - 2013,0.5
,,2013 - 2014,0.75
,,2014 - 2015,0.5
,,2015 - 2016,0.5
,,2016 - 2017,0.5
,,2017 - 2018,1.0
,,2018 - 2019,0.0
,,2019 - 2020,0.5
,,2020 - 2021,0.54
,,2021 - 2022,0.3
,,2022 - 2023,1.0
,Jalandhar,2000 - 2001,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,Kapurthala,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,Mansa,2012 - 2013,1.0
,Nawanshahr,2000 - 2001,1.0
,,2001 - 2002,0.67
,,2002 - 2003,0.67
,,2003 - 2004,0.5
,,2004 - 2005,0.5
,,2006 - 2007,0.0
,,2007 - 2008,1.0
,Pathankot,2012 - 2013,1.0
,,2013 - 2014,0.7
,Patiala,2000 - 2001,0.58
,,2001 - 2002,0.6
,,2002 - 2003,0.78
,,2003 - 2004,0.67
,,2004 - 2005,0.67
,,2005 - 2006,0.5
,,2006 - 2007,1.0
,,2010 - 2011,0.67
,Rupnagar,2000 - 2001,0.57
,,2001 - 2002,0.83
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,0.6
,,2005 - 2006,0.25
,,2006 - 2007,1.0
,,2007 - 2008,0.0
,,2008 - 2009,1.0
,,2010 - 2011,0.9
,,2014 - 2015,0.6
,S.a.s nagar,2006 - 2007,0.38
,,2007 - 2008,0.33
,,2008 - 2009,0.33
,,2009 - 2010,0.67
,,2010 - 2011,0.79
,,2011 - 2012,0.83
,,2012 - 2013,0.5
,,2013 - 2014,0.77
,,2014 - 2015,0.6
,,2015 - 2016,0.75
,,2016 - 2017,0.67
,,2017 - 2018,0.5
,,2018 - 2019,0.75
,,2019 - 2020,0.5
,,2022 - 2023,1.0
,Sangrur,2009 - 2010,1.0
,Tarn taran,2006 - 2007,0.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,0.67
,,2012 - 2013,1.0
,,2013 - 2014,0.4
Rajasthan,Ajmer,2000 - 2001,0.0
,,2001 - 2002,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,0.86
,,2007 - 2008,0.67
,,2008 - 2009,0.86
,,2009 - 2010,1.0
,,2010 - 2011,0.88
,,2011 - 2012,1.14
,,2012 - 2013,1.0
,,2013 - 2014,0.89
,,2014 - 2015,0.82
,,2015 - 2016,0.86
,,2016 - 2017,1.0
,,2017 - 2018,1.09
,,2018 - 2019,1.13
,,2019 - 2020,1.42
,,2020 - 2021,1.33
,,2021 - 2022,1.33
,Alwar,2000 - 2001,0.9
,,2001 - 2002,0.54
,,2002 - 2003,1.0
,,2003 - 2004,1.23
,,2004 - 2005,0.99
,,2005 - 2006,0.91
,,2006 - 2007,0.95
,,2007 - 2008,0.71
,,2008 - 2009,0.87
,,2009 - 2010,0.9
,,2010 - 2011,0.87
,,2011 - 2012,1.13
,,2012 - 2013,1.09
,,2013 - 2014,0.85
,,2014 - 2015,0.81
,,2015 - 2016,0.86
,,2016 - 2017,1.0
,,2017 - 2018,1.5
,,2018 - 2019,1.0
,,2019 - 2020,1.38
,,2020 - 2021,1.4
,,2021 - 2022,1.0
,Banswara,2000 - 2001,1.0
,,2001 - 2002,0.94
,,2002 - 2003,1.0
,,2003 - 2004,1.26
,,2004 - 2005,1.0
,,2005 - 2006,0.9
,,2006 - 2007,0.92
,,2007 - 2008,0.7
,,2008 - 2009,0.8
,,2009 - 2010,0.91
,,2010 - 2011,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2018 - 2019,1.17
,,2019 - 2020,1.33
,,2020 - 2021,1.4
,Baran,2000 - 2001,0.99
,,2001 - 2002,1.23
,,2002 - 2003,1.34
,,2003 - 2004,1.24
,,2004 - 2005,1.0
,,2005 - 2006,0.9
,,2006 - 2007,0.93
,,2007 - 2008,0.7
,,2008 - 2009,0.88
,,2009 - 2010,0.9
,,2010 - 2011,0.88
,,2011 - 2012,1.13
,,2012 - 2013,1.14
,,2013 - 2014,0.75
,,2014 - 2015,0.84
,,2015 - 2016,0.86
,,2016 - 2017,1.0
,,2017 - 2018,1.07
,,2018 - 2019,1.16
,,2019 - 2020,1.35
,,2020 - 2021,1.36
,,2021 - 2022,1.34
,,2022 - 2023,1.37
,Bharatpur,2000 - 2001,1.1
,,2001 - 2002,1.43
,,2002 - 2003,1.1
,,2003 - 2004,1.41
,,2004 - 2005,1.04
,,2005 - 2006,1.14
,,2006 - 2007,1.09
,,2007 - 2008,0.71
,,2008 - 2009,1.26
,,2009 - 2010,0.86
,,2010 - 2011,1.3
,,2011 - 2012,1.26
,,2012 - 2013,1.4
,,2013 - 2014,1.09
,,2014 - 2015,0.73
,,2015 - 2016,0.5
,,2016 - 2017,1.0
,,2017 - 2018,1.07
,,2018 - 2019,1.16
,,2019 - 2020,1.38
,,2020 - 2021,1.35
,,2021 - 2022,1.33
,,2022 - 2023,1.38
,Bhilwara,2000 - 2001,1.12
,,2001 - 2002,1.16
,,2002 - 2003,1.08
,,2003 - 2004,0.98
,,2004 - 2005,0.88
,,2005 - 2006,0.62
,,2006 - 2007,0.79
,,2007 - 2008,0.71
,,2008 - 2009,0.8
,,2009 - 2010,0.61
,,2010 - 2011,0.93
,,2011 - 2012,0.89
,,2012 - 2013,1.04
,,2013 - 2014,0.89
,,2014 - 2015,0.57
,,2015 - 2016,0.75
,,2016 - 2017,1.01
,,2017 - 2018,0.9
,,2018 - 2019,1.12
,,2019 - 2020,1.38
,,2020 - 2021,1.35
,,2021 - 2022,1.24
,,2022 - 2023,1.17
,Bikaner,2001 - 2002,0.0
,,2003 - 2004,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2011 - 2012,1.17
,,2015 - 2016,0.8
,,2016 - 2017,1.0
,,2018 - 2019,1.25
,,2019 - 2020,1.33
,,2020 - 2021,1.33
,,2021 - 2022,1.5
,,2022 - 2023,2.0
,Bundi,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,0.75
,,2003 - 2004,1.12
,,2004 - 2005,0.89
,,2005 - 2006,0.82
,,2006 - 2007,0.81
,,2007 - 2008,0.64
,,2008 - 2009,0.77
,,2009 - 2010,0.97
,,2010 - 2011,0.87
,,2011 - 2012,1.36
,,2012 - 2013,1.13
,,2013 - 2014,1.01
,,2014 - 2015,0.67
,,2015 - 2016,1.02
,,2016 - 2017,0.91
,,2017 - 2018,0.89
,,2018 - 2019,1.05
,,2019 - 2020,1.14
,,2020 - 2021,1.37
,,2021 - 2022,1.25
,,2022 - 2023,1.38
,Chittorgarh,2000 - 2001,0.96
,,2001 - 2002,0.72
,,2002 - 2003,0.67
,,2003 - 2004,0.72
,,2004 - 2005,0.68
,,2005 - 2006,0.86
,,2006 - 2007,0.9
,,2007 - 2008,0.79
,,2008 - 2009,1.1
,,2009 - 2010,0.69
,,2010 - 2011,0.85
,,2011 - 2012,1.17
,,2012 - 2013,1.35
,,2013 - 2014,0.65
,,2014 - 2015,1.02
,,2015 - 2016,1.19
,,2016 - 2017,0.89
,,2017 - 2018,0.97
,,2018 - 2019,1.16
,,2019 - 2020,1.38
,,2020 - 2021,1.35
,,2021 - 2022,1.32
,,2022 - 2023,1.38
,Churu,2001 - 2002,2.67
,,2004 - 2005,1.0
,,2006 - 2007,1.0
,,2021 - 2022,1.0
,Dausa,2001 - 2002,1.0
,,2003 - 2004,1.0
,,2016 - 2017,1.0
,Dholpur,2000 - 2001,0.54
,,2001 - 2002,0.67
,,2002 - 2003,0.88
,,2003 - 2004,1.24
,,2004 - 2005,0.99
,,2005 - 2006,0.89
,,2006 - 2007,0.92
,,2008 - 2009,0.89
,,2009 - 2010,0.9
,,2010 - 2011,0.87
,,2011 - 2012,1.13
,,2012 - 2013,1.1
,,2013 - 2014,0.86
,,2014 - 2015,0.82
,,2015 - 2016,0.87
,,2016 - 2017,1.0
,,2017 - 2018,1.08
,,2019 - 2020,1.5
,,2020 - 2021,1.38
,,2022 - 2023,1.0
,Dungarpur,2008 - 2009,0.67
,Ganganagar,2000 - 2001,0.91
,,2001 - 2002,0.93
,,2002 - 2003,1.0
,,2003 - 2004,1.24
,,2004 - 2005,1.0
,,2005 - 2006,0.91
,,2006 - 2007,0.93
,,2007 - 2008,0.75
,,2008 - 2009,0.86
,,2009 - 2010,0.91
,,2010 - 2011,0.83
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2015 - 2016,0.88
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2020 - 2021,1.5
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Hanumangarh,2000 - 2001,0.0
,,2001 - 2002,0.33
,,2002 - 2003,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2009 - 2010,1.0
,,2011 - 2012,1.0
,,2015 - 2016,0.82
,,2020 - 2021,1.0
,Jaipur,2000 - 2001,2.0
,,2001 - 2002,1.0
,,2002 - 2003,2.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,0.5
,,2010 - 2011,0.86
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,0.89
,,2014 - 2015,1.0
,,2015 - 2016,0.8
,,2016 - 2017,1.0
,,2018 - 2019,1.16
,Jaisalmer,2002 - 2003,0.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2014 - 2015,1.0
,Jalore,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2017 - 2018,1.0
,,2020 - 2021,1.0
,Jhalawar,2000 - 2001,1.92
,,2001 - 2002,0.38
,,2002 - 2003,0.99
,,2003 - 2004,0.99
,,2004 - 2005,1.14
,,2005 - 2006,0.89
,,2006 - 2007,1.05
,,2007 - 2008,0.73
,,2008 - 2009,0.8
,,2009 - 2010,1.05
,,2010 - 2011,0.65
,,2011 - 2012,0.99
,,2012 - 2013,1.04
,,2013 - 2014,0.65
,,2014 - 2015,1.0
,,2015 - 2016,0.7
,,2016 - 2017,1.01
,,2017 - 2018,1.31
,,2018 - 2019,1.16
,,2019 - 2020,1.43
,,2020 - 2021,1.35
,,2021 - 2022,1.45
,,2022 - 2023,1.46
,Jhunjhunu,2010 - 2011,1.0
,,2012 - 2013,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.09
,,2018 - 2019,1.17
,,2019 - 2020,1.38
,,2020 - 2021,1.35
,,2021 - 2022,1.33
,,2022 - 2023,1.38
,Jodhpur,2017 - 2018,1.0
,,2020 - 2021,1.34
,Karauli,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,0.75
,,2010 - 2011,0.92
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2016 - 2017,1.0
,Kota,2000 - 2001,1.52
,,2001 - 2002,1.84
,,2002 - 2003,1.09
,,2003 - 2004,1.23
,,2004 - 2005,1.0
,,2005 - 2006,0.91
,,2006 - 2007,1.0
,,2007 - 2008,0.72
,,2008 - 2009,0.87
,,2009 - 2010,0.89
,,2010 - 2011,0.88
,,2011 - 2012,1.09
,,2012 - 2013,1.2
,,2013 - 2014,0.86
,,2014 - 2015,0.83
,,2015 - 2016,0.87
,,2016 - 2017,1.0
,,2017 - 2018,1.08
,,2018 - 2019,1.14
,,2019 - 2020,1.36
,,2020 - 2021,1.34
,,2021 - 2022,1.35
,,2022 - 2023,1.39
,Nagaur,2000 - 2001,1.0
,,2014 - 2015,0.82
,,2015 - 2016,0.86
,,2016 - 2017,1.0
,,2017 - 2018,1.07
,,2018 - 2019,1.16
,,2019 - 2020,1.38
,,2020 - 2021,1.35
,,2021 - 2022,1.33
,,2022 - 2023,1.37
,Pali,2001 - 2002,1.0
,,2003 - 2004,1.27
,,2006 - 2007,1.0
,,2010 - 2011,0.83
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,Pratapgarh,2008 - 2009,0.84
,,2009 - 2010,0.85
,,2010 - 2011,0.74
,,2011 - 2012,1.0
,,2012 - 2013,1.14
,,2013 - 2014,0.89
,,2014 - 2015,1.18
,,2015 - 2016,0.82
,,2016 - 2017,1.29
,,2017 - 2018,1.08
,,2018 - 2019,1.25
,,2019 - 2020,1.34
,,2020 - 2021,1.24
,,2021 - 2022,1.22
,,2022 - 2023,1.34
,Rajsamand,2006 - 2007,1.0
,,2022 - 2023,1.0
,Sawai madhopur,2000 - 2001,0.51
,,2001 - 2002,0.9
,,2002 - 2003,1.0
,,2003 - 2004,1.25
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2007 - 2008,0.5
,,2008 - 2009,0.88
,,2009 - 2010,0.9
,,2010 - 2011,0.87
,,2011 - 2012,1.12
,,2012 - 2013,1.1
,,2013 - 2014,0.85
,,2014 - 2015,0.82
,,2015 - 2016,0.86
,,2016 - 2017,1.07
,,2017 - 2018,1.14
,,2018 - 2019,1.29
,,2019 - 2020,1.7
,,2020 - 2021,1.63
,,2021 - 2022,1.43
,,2022 - 2023,1.0
,Sikar,2010 - 2011,0.83
,,2011 - 2012,1.17
,,2013 - 2014,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.17
,,2018 - 2019,1.25
,,2019 - 2020,1.33
,,2020 - 2021,1.38
,,2021 - 2022,1.36
,,2022 - 2023,1.37
,Sirohi,2006 - 2007,1.0
,,2021 - 2022,1.0
,Tonk,2000 - 2001,0.38
,,2001 - 2002,0.44
,,2002 - 2003,0.47
,,2003 - 2004,1.24
,,2004 - 2005,1.0
,,2005 - 2006,0.94
,,2006 - 2007,0.9
,,2007 - 2008,0.71
,,2008 - 2009,0.86
,,2009 - 2010,0.89
,,2010 - 2011,0.87
,,2011 - 2012,1.13
,,2012 - 2013,1.21
,,2013 - 2014,0.85
,,2014 - 2015,0.65
,,2015 - 2016,0.85
,,2016 - 2017,1.02
,,2017 - 2018,1.06
,,2018 - 2019,1.16
,,2019 - 2020,1.7
,,2020 - 2021,1.37
,,2021 - 2022,1.49
,,2022 - 2023,1.16
,Udaipur,2000 - 2001,0.0
,,2001 - 2002,0.67
,,2006 - 2007,0.67
Tamil Nadu,Ariyalur,2014 - 2015,
,,2015 - 2016,
,Coimbatore,2014 - 2015,
,,2015 - 2016,
,Cuddalore,2014 - 2015,
,,2015 - 2016,
,Dharmapuri,2014 - 2015,
,,2015 - 2016,
,Dindigul,2014 - 2015,
,,2015 - 2016,
,Erode,2014 - 2015,
,,2015 - 2016,
,Kanchipuram,2014 - 2015,
,,2015 - 2016,
,Kanniyakumari,2014 - 2015,
,Karur,2014 - 2015,
,,2015 - 2016,
,Krishnagiri,2014 - 2015,
,,2015 - 2016,
,Madurai,2014 - 2015,
,,2015 - 2016,
,Nagapattinam,2014 - 2015,
,Namakkal,2014 - 2015,
,,2015 - 2016,
,Perambalur,2014 - 2015,
,,2015 - 2016,
,Pudukkottai,2014 - 2015,
,,2015 - 2016,
,Ramanathapuram,2014 - 2015,
,,2015 - 2016,
,Salem,2014 - 2015,
,,2015 - 2016,
,Sivaganga,2014 - 2015,
,,2015 - 2016,
,Thanjavur,2014 - 2015,
,,2015 - 2016,
,Theni,2014 - 2015,
,,2015 - 2016,
,Thiruvallur,2014 - 2015,
,,2015 - 2016,
,Thiruvarur,2014 - 2015,
,,2015 - 2016,
,Thoothukudi,2014 - 2015,
,,2015 - 2016,
,Tiruchirappalli,2014 - 2015,
,,2015 - 2016,
,Tirunelveli,2014 - 2015,
,,2015 - 2016,
,Tiruppur,2014 - 2015,
,,2015 - 2016,
,Tiruvannamalai,2014 - 2015,
,,2015 - 2016,
,Vellore,2014 - 2015,
,,2015 - 2016,
,Villupuram,2014 - 2015,
,,2015 - 2016,
,Virudhunagar,2014 - 2015,
,,2015 - 2016,
Telangana,Medak,2013 - 2014,0.51
,,2014 - 2015,0.39
,,2015 - 2016,0.35
Tripura,Dhalai,2004 - 2005,0.53
,,2005 - 2006,0.51
,,2006 - 2007,0.49
,,2007 - 2008,0.52
,,2008 - 2009,1.18
,,2009 - 2010,0.59
,,2010 - 2011,0.58
,,2011 - 2012,0.74
,,2012 - 2013,0.59
,,2013 - 2014,0.72
,,2014 - 2015,0.72
,,2015 - 2016,0.63
,,2016 - 2017,0.65
,,2017 - 2018,0.75
,,2018 - 2019,0.95
,,2019 - 2020,0.95
,,2020 - 2021,0.91
,,2021 - 2022,0.95
,,2022 - 2023,0.92
,Gomati,2012 - 2013,1.0
,,2013 - 2014,0.73
,,2014 - 2015,0.78
,,2015 - 2016,0.65
,,2016 - 2017,0.72
,,2017 - 2018,0.76
,,2018 - 2019,0.64
,,2019 - 2020,0.64
,,2020 - 2021,0.69
,,2021 - 2022,0.66
,,2022 - 2023,0.75
,Khowai,2012 - 2013,0.53
,,2013 - 2014,0.61
,,2014 - 2015,0.84
,,2015 - 2016,0.68
,,2016 - 2017,0.63
,,2017 - 2018,0.65
,,2018 - 2019,0.66
,,2019 - 2020,0.67
,,2020 - 2021,0.64
,,2021 - 2022,0.65
,,2022 - 2023,0.78
,North tripura,2004 - 2005,0.53
,,2005 - 2006,0.64
,,2006 - 2007,0.54
,,2007 - 2008,0.66
,,2008 - 2009,0.59
,,2009 - 2010,0.63
,,2010 - 2011,0.7
,,2011 - 2012,0.81
,,2012 - 2013,0.66
,,2013 - 2014,0.67
,,2014 - 2015,0.76
,,2015 - 2016,0.65
,,2016 - 2017,0.68
,,2017 - 2018,0.74
,,2018 - 2019,0.83
,,2019 - 2020,0.83
,,2020 - 2021,0.78
,,2021 - 2022,0.86
,,2022 - 2023,0.83
,Sepahijala,2012 - 2013,0.64
,,2013 - 2014,0.58
,,2014 - 2015,0.69
,,2015 - 2016,0.63
,,2016 - 2017,0.66
,,2017 - 2018,0.68
,,2018 - 2019,0.64
,,2019 - 2020,0.63
,,2020 - 2021,0.61
,,2022 - 2023,0.79
,South tripura,2004 - 2005,0.54
,,2005 - 2006,0.71
,,2006 - 2007,0.82
,,2007 - 2008,0.77
,,2008 - 2009,0.8
,,2009 - 2010,0.66
,,2010 - 2011,0.7
,,2011 - 2012,0.79
,,2012 - 2013,0.81
,,2013 - 2014,0.7
,,2014 - 2015,0.81
,,2015 - 2016,0.68
,,2016 - 2017,0.65
,,2017 - 2018,0.7
,,2018 - 2019,0.73
,,2019 - 2020,0.74
,,2020 - 2021,0.7
,,2021 - 2022,0.74
,,2022 - 2023,0.75
,Unakoti,2012 - 2013,0.71
,,2013 - 2014,0.68
,,2014 - 2015,0.69
,,2015 - 2016,0.65
,,2016 - 2017,0.68
,,2017 - 2018,0.69
,,2018 - 2019,0.8
,,2019 - 2020,0.79
,,2020 - 2021,0.76
,,2021 - 2022,0.78
,,2022 - 2023,0.86
,West tripura,2004 - 2005,0.49
,,2005 - 2006,1.02
,,2006 - 2007,0.6
,,2007 - 2008,0.45
,,2008 - 2009,0.71
,,2009 - 2010,0.84
,,2010 - 2011,0.59
,,2011 - 2012,0.76
,,2012 - 2013,0.86
,,2013 - 2014,0.75
,,2014 - 2015,0.79
,,2015 - 2016,0.66
,,2016 - 2017,0.67
,,2017 - 2018,0.7
,,2018 - 2019,0.64
,,2019 - 2020,0.65
,,2020 - 2021,0.64
,,2021 - 2022,0.68
,,2022 - 2023,0.8
Uttar Pradesh,Agra,2000 - 2001,0.81
,,2001 - 2002,0.8
,,2002 - 2003,0.98
,,2003 - 2004,0.9
,,2006 - 2007,0.9
,,2007 - 2008,0.72
,,2008 - 2009,0.88
,,2009 - 2010,0.8
,,2010 - 2011,0.88
,,2011 - 2012,1.93
,,2012 - 2013,1.97
,,2013 - 2014,0.96
,,2014 - 2015,0.94
,,2015 - 2016,0.69
,,2016 - 2017,0.96
,,2017 - 2018,1.03
,,2018 - 2019,1.03
,,2019 - 2020,0.98
,,2020 - 2021,1.01
,,2021 - 2022,0.94
,,2022 - 2023,0.95
,Aligarh,2000 - 2001,0.81
,,2001 - 2002,0.8
,,2002 - 2003,0.97
,,2003 - 2004,0.79
,,2006 - 2007,0.91
,,2007 - 2008,0.73
,,2008 - 2009,0.88
,,2009 - 2010,0.8
,,2010 - 2011,0.88
,,2011 - 2012,1.93
,,2012 - 2013,1.41
,,2013 - 2014,2.4
,,2014 - 2015,0.63
,,2015 - 2016,0.71
,,2016 - 2017,1.0
,,2017 - 2018,1.23
,,2018 - 2019,1.11
,,2019 - 2020,0.77
,,2020 - 2021,0.95
,,2021 - 2022,0.69
,,2022 - 2023,0.71
,Allahabad,2000 - 2001,0.46
,,2001 - 2002,0.67
,,2003 - 2004,0.94
,,2006 - 2007,0.67
,,2007 - 2008,0.82
,,2008 - 2009,0.8
,,2009 - 2010,0.76
,,2010 - 2011,0.27
,,2011 - 2012,0.85
,,2012 - 2013,0.83
,,2013 - 2014,0.5
,,2014 - 2015,0.4
,,2015 - 2016,0.34
,,2016 - 2017,0.85
,,2017 - 2018,0.91
,,2018 - 2019,1.2
,,2019 - 2020,0.74
,,2020 - 2021,1.27
,,2021 - 2022,1.29
,,2022 - 2023,1.21
,Ambedkar nagar,2000 - 2001,0.89
,,2001 - 2002,1.13
,,2002 - 2003,0.94
,,2003 - 2004,1.12
,,2006 - 2007,0.86
,,2007 - 2008,0.87
,,2008 - 2009,0.87
,,2009 - 2010,0.8
,,2010 - 2011,0.65
,,2011 - 2012,0.71
,,2012 - 2013,0.71
,,2013 - 2014,0.43
,,2014 - 2015,0.49
,,2015 - 2016,0.53
,,2016 - 2017,1.18
,,2017 - 2018,0.96
,,2018 - 2019,0.91
,,2019 - 2020,0.81
