state,district,year,arhar_tur_kharif_yield_tonne_per_hectare
,,2017 - 2018,1.0
,,2018 - 2019,1.2
,,2019 - 2020,1.33
,,2021 - 2022,1.2
,Sonipat,2000 - 2001,1.44
,,2001 - 2002,1.44
,,2002 - 2003,1.51
,,2003 - 2004,1.22
,,2004 - 2005,1.16
,,2005 - 2006,1.15
,,2006 - 2007,1.16
,,2007 - 2008,1.05
,,2008 - 2009,1.06
,,2009 - 2010,1.05
,,2010 - 2011,1.03
,,2011 - 2012,1.06
,,2012 - 2013,1.15
,,2013 - 2014,1.17
,,2014 - 2015,1.29
,,2015 - 2016,1.33
,,2016 - 2017,0.12
,,2017 - 2018,1.19
,,2018 - 2019,1.2
,,2019 - 2020,1.2
,,2020 - 2021,1.19
,,2021 - 2022,1.2
,Yamunanagar,2000 - 2001,0.0
,,2001 - 2002,2.13
,,2002 - 2003,0.0
,,2003 - 2004,1.69
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.5
,,2020 - 2021,1.0
Himachal Pradesh,Bilaspur,2000 - 2001,0.33
,,2001 - 2002,0.27
,,2002 - 2003,0.24
,,2005 - 2006,0.5
,,2007 - 2008,0.5
,,2018 - 2019,0.33
,,2019 - 2020,1.0
,,2021 - 2022,0.9
,Chamba,2006 - 2007,0.36
,,2018 - 2019,0.5
,,2019 - 2020,0.75
,Kangra,2000 - 2001,1.0
,,2001 - 2002,0.25
,,2007 - 2008,0.35
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.2
,,2013 - 2014,0.27
,,2014 - 2015,0.33
,,2015 - 2016,0.25
,,2016 - 2017,0.0
,,2017 - 2018,0.42
,,2018 - 2019,0.53
,,2019 - 2020,0.61
,Kullu,2000 - 2001,0.15
,,2001 - 2002,0.23
,,2018 - 2019,0.5
,,2019 - 2020,0.55
,Mandi,2000 - 2001,0.14
,,2001 - 2002,1.0
,,2005 - 2006,0.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Shimla,2000 - 2001,0.15
,,2001 - 2002,0.22
,,2002 - 2003,0.22
,,2005 - 2006,0.5
,,2006 - 2007,0.33
,,2007 - 2008,0.33
,,2008 - 2009,0.08
,,2009 - 2010,0.2
,,2010 - 2011,0.29
,,2011 - 2012,0.3
,,2012 - 2013,0.4
,,2013 - 2014,0.27
,,2014 - 2015,0.4
,,2015 - 2016,0.44
,,2016 - 2017,0.11
,,2017 - 2018,0.61
,,2018 - 2019,0.5
,,2019 - 2020,0.56
,,2020 - 2021,0.83
,,2021 - 2022,0.75
,Sirmaur,2005 - 2006,0.47
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,0.33
,,2013 - 2014,0.5
,,2014 - 2015,0.0
,,2015 - 2016,0.27
,,2016 - 2017,1.0
,,2017 - 2018,0.47
,,2018 - 2019,0.56
,,2019 - 2020,0.67
,Solan,2000 - 2001,0.17
,,2001 - 2002,1.0
,,2002 - 2003,0.29
,,2007 - 2008,0.0
,,2022 - 2023,0.83
,Una,2000 - 2001,0.2
,,2002 - 2003,0.13
Jammu and Kashmir,Jammu,2008 - 2009,
,Samba,2010 - 2011,
Jharkhand,Bokaro,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,0.79
,,2018 - 2019,0.79
,,2019 - 2020,1.4
,,2020 - 2021,1.03
,,2021 - 2022,1.0
,,2022 - 2023,1.4
,Chatra,2002 - 2003,
,,2003 - 2004,1.82
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.25
,,2018 - 2019,1.27
,,2019 - 2020,1.31
,,2020 - 2021,0.96
,,2021 - 2022,1.35
,,2022 - 2023,1.34
,Deoghar,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2017 - 2018,0.75
,,2018 - 2019,0.75
,,2019 - 2020,0.9
,,2020 - 2021,0.9
,,2021 - 2022,1.1
,,2022 - 2023,1.1
,Dhanbad,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,,2017 - 2018,1.2
,,2018 - 2019,1.1
,,2019 - 2020,1.2
,,2020 - 2021,1.2
,,2021 - 2022,1.2
,,2022 - 2023,1.2
,Dumka,2002 - 2003,
,,2003 - 2004,1.31
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,0.76
,,2018 - 2019,0.88
,,2019 - 2020,0.92
,,2020 - 2021,0.9
,,2021 - 2022,0.9
,,2022 - 2023,0.9
,East singhbum,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.05
,,2018 - 2019,0.8
,,2019 - 2020,1.1
,,2020 - 2021,0.98
,,2021 - 2022,0.99
,,2022 - 2023,0.99
,Garhwa,2002 - 2003,
,,2003 - 2004,1.11
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,0.56
,,2018 - 2019,0.65
,,2019 - 2020,0.65
,,2020 - 2021,0.98
,,2021 - 2022,0.98
,,2022 - 2023,0.82
,Giridih,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.53
,,2018 - 2019,1.36
,,2019 - 2020,1.38
,,2020 - 2021,1.4
,,2021 - 2022,1.41
,,2022 - 2023,1.43
,Godda,2002 - 2003,
,,2003 - 2004,1.88
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.0
,,2018 - 2019,0.99
,,2019 - 2020,0.95
,,2020 - 2021,0.98
,,2021 - 2022,0.79
,,2022 - 2023,0.75
,Gumla,2002 - 2003,
,,2003 - 2004,1.34
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.58
,,2018 - 2019,1.56
,,2019 - 2020,1.41
,,2020 - 2021,1.41
,,2021 - 2022,1.41
,,2022 - 2023,1.37
,Hazaribagh,2002 - 2003,
,,2003 - 2004,1.58
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.2
,,2018 - 2019,1.2
,,2019 - 2020,1.2
,,2020 - 2021,0.96
,,2021 - 2022,1.02
,,2022 - 2023,1.02
,Jamtara,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.31
,,2018 - 2019,0.8
,,2019 - 2020,1.05
,,2020 - 2021,1.25
,,2021 - 2022,1.3
,,2022 - 2023,1.4
,Khunti,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.01
,,2018 - 2019,0.43
,,2019 - 2020,0.8
,,2020 - 2021,1.05
,,2021 - 2022,1.05
,,2022 - 2023,0.83
,Koderma,2002 - 2003,
,,2003 - 2004,1.66
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,0.8
,,2018 - 2019,1.0
,,2019 - 2020,0.8
,,2020 - 2021,1.2
,,2021 - 2022,1.2
,,2022 - 2023,1.2
,Latehar,2003 - 2004,1.44
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.53
,,2018 - 2019,1.53
,,2019 - 2020,1.55
,,2020 - 2021,1.56
,,2021 - 2022,1.55
,,2022 - 2023,1.55
,Lohardaga,2002 - 2003,
,,2003 - 2004,1.88
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.05
,,2018 - 2019,1.05
,,2019 - 2020,1.05
,,2020 - 2021,1.05
,,2021 - 2022,1.0
,,2022 - 2023,1.05
,Pakur,2002 - 2003,
,,2003 - 2004,1.25
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,0.77
,,2018 - 2019,0.65
,,2019 - 2020,0.78
,,2020 - 2021,0.78
,,2021 - 2022,0.77
,,2022 - 2023,0.5
,Palamu,2002 - 2003,
,,2003 - 2004,1.35
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,0.9
,,2018 - 2019,0.65
,,2019 - 2020,0.93
,,2020 - 2021,1.1
,,2021 - 2022,1.1
,,2022 - 2023,1.1
,Ramgarh,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.2
,,2018 - 2019,1.2
,,2019 - 2020,1.2
,,2020 - 2021,1.03
,,2021 - 2022,1.15
,,2022 - 2023,1.11
,Ranchi,2002 - 2003,
,,2003 - 2004,1.9
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,0.8
,,2018 - 2019,0.84
,,2019 - 2020,0.9
,,2020 - 2021,0.9
,,2021 - 2022,0.9
,,2022 - 2023,0.9
,Sahebganj,2003 - 2004,1.66
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,0.44
,,2018 - 2019,0.44
,,2019 - 2020,0.51
,,2020 - 2021,0.52
,,2021 - 2022,0.51
,,2022 - 2023,0.52
,Saraikela kharsawan,2003 - 2004,0.84
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.6
,,2018 - 2019,1.2
,,2019 - 2020,1.15
,,2020 - 2021,1.2
,,2021 - 2022,1.2
,,2022 - 2023,1.2
,Simdega,2003 - 2004,0.78
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.5
,,2018 - 2019,1.5
,,2019 - 2020,1.15
,,2020 - 2021,1.2
,,2021 - 2022,1.4
,,2022 - 2023,1.4
,West singhbhum,2002 - 2003,
,,2003 - 2004,1.0
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,0.99
,,2018 - 2019,1.0
,,2019 - 2020,1.04
,,2020 - 2021,1.13
,,2021 - 2022,1.09
,,2022 - 2023,1.13
Karnataka,Bagalkot,2000 - 2001,0.74
,,2001 - 2002,0.62
,,2002 - 2003,0.4
,,2003 - 2004,0.05
,,2004 - 2005,0.21
,,2005 - 2006,0.35
,,2006 - 2007,0.28
,,2007 - 2008,0.79
,,2008 - 2009,0.27
,,2009 - 2010,0.54
,,2010 - 2011,0.51
,,2011 - 2012,0.26
,,2012 - 2013,0.22
,,2013 - 2014,0.52
,,2014 - 2015,0.44
,,2015 - 2016,0.28
,,2016 - 2017,0.78
,,2017 - 2018,0.69
,,2018 - 2019,0.45
,,2019 - 2020,0.59
,,2020 - 2021,0.88
,,2021 - 2022,0.68
,,2022 - 2023,0.67
,Bangalore rural,2000 - 2001,0.72
,,2001 - 2002,0.62
,,2002 - 2003,0.41
,,2003 - 2004,0.4
,,2004 - 2005,0.8
,,2005 - 2006,0.75
,,2006 - 2007,0.41
,,2007 - 2008,0.82
,,2008 - 2009,1.06
,,2009 - 2010,0.82
,,2010 - 2011,1.1
,,2011 - 2012,0.61
,,2012 - 2013,0.61
,,2013 - 2014,0.64
,,2014 - 2015,1.12
,,2015 - 2016,0.37
,,2016 - 2017,1.81
,,2017 - 2018,0.85
,,2018 - 2019,0.96
,,2019 - 2020,1.1
,,2020 - 2021,1.15
,,2021 - 2022,0.72
,,2022 - 2023,0.51
,Belgaum,2000 - 2001,0.37
,,2001 - 2002,0.2
,,2002 - 2003,0.24
,,2003 - 2004,0.12
,,2004 - 2005,0.31
,,2005 - 2006,0.28
,,2006 - 2007,0.29
,,2007 - 2008,0.41
,,2008 - 2009,0.4
,,2009 - 2010,0.3
,,2010 - 2011,0.35
,,2011 - 2012,0.39
,,2012 - 2013,0.5
,,2013 - 2014,0.43
,,2014 - 2015,0.81
,,2015 - 2016,0.23
,,2016 - 2017,0.74
,,2017 - 2018,0.68
,,2018 - 2019,0.52
,,2019 - 2020,0.43
,,2020 - 2021,0.42
,,2021 - 2022,0.4
,,2022 - 2023,0.35
,Bellary,2000 - 2001,0.41
,,2001 - 2002,0.41
,,2002 - 2003,0.34
,,2003 - 2004,0.32
,,2004 - 2005,0.56
,,2005 - 2006,0.53
,,2006 - 2007,0.47
,,2007 - 2008,0.54
,,2008 - 2009,0.5
,,2009 - 2010,0.37
,,2010 - 2011,0.41
,,2011 - 2012,0.33
,,2012 - 2013,0.35
,,2013 - 2014,0.49
,,2014 - 2015,0.38
,,2015 - 2016,0.36
,,2016 - 2017,0.59
,,2017 - 2018,0.82
,,2018 - 2019,0.67
,,2019 - 2020,0.83
,,2020 - 2021,0.75
,,2021 - 2022,0.59
,,2022 - 2023,0.45
,Bengaluru urban,2000 - 2001,0.45
,,2001 - 2002,0.31
,,2002 - 2003,0.47
,,2003 - 2004,0.37
,,2004 - 2005,0.52
,,2005 - 2006,0.68
,,2006 - 2007,0.44
,,2007 - 2008,0.66
,,2008 - 2009,0.53
,,2009 - 2010,0.46
,,2010 - 2011,0.59
,,2011 - 2012,0.46
,,2012 - 2013,0.71
,,2013 - 2014,0.92
,,2014 - 2015,0.65
,,2015 - 2016,0.37
,,2016 - 2017,1.0
,,2017 - 2018,0.95
,,2018 - 2019,0.61
,,2019 - 2020,0.69
,,2020 - 2021,0.76
,,2021 - 2022,0.67
,,2022 - 2023,0.77
,Bidar,2000 - 2001,0.38
,,2001 - 2002,0.38
,,2002 - 2003,0.61
,,2003 - 2004,0.43
,,2004 - 2005,0.63
,,2005 - 2006,0.82
,,2006 - 2007,0.5
,,2007 - 2008,0.73
,,2008 - 2009,0.81
,,2009 - 2010,0.74
,,2010 - 2011,0.9
,,2011 - 2012,0.59
,,2012 - 2013,1.2
,,2013 - 2014,0.81
,,2014 - 2015,0.67
,,2015 - 2016,0.44
,,2016 - 2017,1.24
,,2017 - 2018,1.65
,,2018 - 2019,0.45
,,2019 - 2020,1.22
,,2020 - 2021,0.77
,,2021 - 2022,0.79
,,2022 - 2023,0.99
,Bijapur,2000 - 2001,0.59
,,2001 - 2002,0.37
,,2002 - 2003,0.34
,,2003 - 2004,0.25
,,2004 - 2005,0.19
,,2005 - 2006,0.4
,,2006 - 2007,0.43
,,2007 - 2008,0.44
,,2008 - 2009,0.4
,,2009 - 2010,0.3
,,2010 - 2011,0.57
,,2011 - 2012,0.38
,,2012 - 2013,0.59
,,2013 - 2014,0.94
,,2014 - 2015,0.61
,,2015 - 2016,0.29
,,2016 - 2017,0.85
,,2017 - 2018,0.61
,,2018 - 2019,0.32
,,2019 - 2020,0.44
,,2020 - 2021,0.43
,,2021 - 2022,0.42
,,2022 - 2023,0.68
,Chamarajanagar,2000 - 2001,0.24
,,2001 - 2002,0.2
,,2002 - 2003,0.12
,,2003 - 2004,0.05
,,2004 - 2005,0.56
,,2005 - 2006,0.55
,,2006 - 2007,0.47
,,2007 - 2008,0.58
,,2008 - 2009,0.51
,,2009 - 2010,0.77
,,2010 - 2011,0.52
,,2011 - 2012,0.44
,,2012 - 2013,0.96
,,2013 - 2014,0.33
,,2014 - 2015,0.45
,,2015 - 2016,0.26
,,2016 - 2017,0.08
,,2017 - 2018,0.96
,,2018 - 2019,0.46
,,2019 - 2020,0.74
,,2020 - 2021,0.52
,,2021 - 2022,0.38
,,2022 - 2023,0.5
,Chikballapur,2007 - 2008,0.43
,,2008 - 2009,0.52
,,2009 - 2010,0.4
,,2010 - 2011,0.84
,,2011 - 2012,0.68
,,2012 - 2013,0.38
,,2013 - 2014,0.81
,,2014 - 2015,0.54
,,2015 - 2016,0.49
,,2016 - 2017,0.38
,,2017 - 2018,1.04
,,2018 - 2019,0.28
,,2019 - 2020,0.65
,,2020 - 2021,0.72
,,2021 - 2022,0.32
,,2022 - 2023,0.44
,Chikmagalur,2000 - 2001,0.45
,,2001 - 2002,0.31
,,2002 - 2003,0.47
,,2003 - 2004,0.38
,,2004 - 2005,0.52
,,2005 - 2006,0.68
,,2006 - 2007,0.44
,,2007 - 2008,0.66
,,2008 - 2009,0.53
,,2009 - 2010,0.46
,,2010 - 2011,0.59
,,2011 - 2012,0.46
,,2012 - 2013,0.71
,,2013 - 2014,0.92
,,2014 - 2015,0.65
,,2015 - 2016,0.37
,,2016 - 2017,1.0
,,2017 - 2018,0.95
,,2018 - 2019,0.61
,,2019 - 2020,0.69
,,2020 - 2021,0.76
,,2021 - 2022,0.66
,,2022 - 2023,0.76
,Chitradurga,2000 - 2001,0.63
,,2001 - 2002,0.5
,,2002 - 2003,0.55
,,2003 - 2004,0.26
,,2004 - 2005,0.69
,,2005 - 2006,0.65
,,2006 - 2007,0.48
,,2007 - 2008,0.67
,,2008 - 2009,0.45
,,2009 - 2010,0.58
,,2010 - 2011,0.71
,,2011 - 2012,0.61
,,2012 - 2013,0.65
,,2013 - 2014,0.81
,,2014 - 2015,0.83
,,2015 - 2016,1.0
,,2016 - 2017,0.28
,,2017 - 2018,0.76
,,2018 - 2019,0.45
,,2019 - 2020,0.47
,,2020 - 2021,0.65
,,2021 - 2022,0.34
,,2022 - 2023,0.47
,Dakshin kannad,2018 - 2019,1.0
,,2019 - 2020,1.0
,Davangere,2000 - 2001,0.77
,,2001 - 2002,0.96
,,2002 - 2003,0.76
,,2003 - 2004,0.47
,,2004 - 2005,1.23
,,2005 - 2006,0.64
,,2006 - 2007,0.93
,,2007 - 2008,1.54
,,2008 - 2009,0.75
,,2009 - 2010,0.93
,,2010 - 2011,1.07
,,2011 - 2012,0.83
,,2012 - 2013,0.57
,,2013 - 2014,0.76
,,2014 - 2015,1.41
,,2015 - 2016,0.64
,,2016 - 2017,0.61
,,2017 - 2018,1.04
,,2018 - 2019,1.04
,,2019 - 2020,0.46
,,2020 - 2021,0.85
,,2021 - 2022,0.88
,,2022 - 2023,1.15
,Dharwad,2000 - 2001,0.91
,,2001 - 2002,0.17
,,2002 - 2003,0.06
,,2003 - 2004,0.1
,,2004 - 2005,0.56
,,2005 - 2006,0.6
,,2006 - 2007,0.47
,,2007 - 2008,0.81
,,2008 - 2009,0.89
,,2009 - 2010,0.78
,,2010 - 2011,0.58
,,2011 - 2012,0.64
,,2012 - 2013,0.31
,,2013 - 2014,0.74
,,2014 - 2015,1.02
,,2015 - 2016,0.27
,,2016 - 2017,0.52
,,2017 - 2018,0.43
,,2018 - 2019,0.29
,,2019 - 2020,0.71
,,2020 - 2021,0.57
,,2021 - 2022,0.68
,,2022 - 2023,0.77
,Gadag,2000 - 2001,0.25
,,2001 - 2002,0.17
,,2002 - 2003,0.22
,,2003 - 2004,0.1
,,2004 - 2005,0.44
,,2005 - 2006,0.36
,,2006 - 2007,0.22
,,2007 - 2008,0.4
,,2008 - 2009,0.3
,,2009 - 2010,0.27
,,2010 - 2011,0.41
,,2011 - 2012,0.31
,,2012 - 2013,0.23
,,2013 - 2014,0.37
,,2014 - 2015,0.47
,,2015 - 2016,0.18
,,2016 - 2017,0.48
,,2017 - 2018,0.64
,,2018 - 2019,0.27
,,2019 - 2020,0.51
,,2020 - 2021,0.52
,,2021 - 2022,0.33
,,2022 - 2023,0.63
,Gulbarga,2000 - 2001,0.45
,,2001 - 2002,0.26
,,2002 - 2003,0.48
,,2003 - 2004,0.39
,,2004 - 2005,0.51
,,2005 - 2006,0.71
,,2006 - 2007,0.43
,,2007 - 2008,0.7
,,2008 - 2009,0.49
,,2009 - 2010,0.46
,,2010 - 2011,0.55
,,2011 - 2012,0.47
,,2012 - 2013,0.74
,,2013 - 2014,1.07
,,2014 - 2015,0.67
,,2015 - 2016,0.36
,,2016 - 2017,1.39
,,2017 - 2018,1.15
,,2018 - 2019,0.93
,,2019 - 2020,0.86
,,2020 - 2021,1.07
,,2021 - 2022,0.92
,,2022 - 2023,0.9
,Hassan,2000 - 2001,0.24
,,2001 - 2002,0.2
,,2002 - 2003,0.16
,,2003 - 2004,0.16
,,2004 - 2005,0.44
,,2005 - 2006,0.43
,,2006 - 2007,0.34
,,2007 - 2008,0.37
,,2008 - 2009,0.35
,,2009 - 2010,0.39
,,2010 - 2011,0.61
,,2011 - 2012,0.62
,,2012 - 2013,0.33
,,2013 - 2014,0.43
,,2014 - 2015,1.46
,,2015 - 2016,0.52
,,2016 - 2017,0.52
,,2017 - 2018,0.78
,,2018 - 2019,0.2
,,2019 - 2020,0.41
,,2020 - 2021,0.43
,,2021 - 2022,0.25
,,2022 - 2023,0.48
,Haveri,2000 - 2001,0.66
,,2001 - 2002,0.45
,,2002 - 2003,0.22
,,2003 - 2004,0.18
,,2004 - 2005,0.35
,,2005 - 2006,0.86
,,2006 - 2007,0.86
,,2007 - 2008,0.67
,,2008 - 2009,0.51
,,2009 - 2010,0.57
,,2010 - 2011,0.62
,,2011 - 2012,0.56
,,2012 - 2013,0.59
,,2013 - 2014,0.69
,,2014 - 2015,0.68
,,2015 - 2016,0.48
,,2016 - 2017,0.64
,,2017 - 2018,1.01
,,2018 - 2019,0.66
,,2019 - 2020,0.54
,,2020 - 2021,1.37
,,2021 - 2022,0.59
,,2022 - 2023,0.97
,Kodagu,2005 - 2006,0.67
,,2006 - 2007,0.47
,,2019 - 2020,0.67
,,2020 - 2021,1.0
,Kolar,2000 - 2001,0.85
,,2001 - 2002,0.42
,,2002 - 2003,0.3
,,2003 - 2004,0.75
,,2004 - 2005,0.8
,,2005 - 2006,0.57
,,2006 - 2007,0.54
,,2007 - 2008,0.53
,,2008 - 2009,0.88
,,2009 - 2010,0.82
,,2010 - 2011,1.84
,,2011 - 2012,1.53
,,2012 - 2013,1.15
,,2013 - 2014,0.76
,,2014 - 2015,1.06
,,2015 - 2016,0.69
,,2016 - 2017,0.27
,,2017 - 2018,1.15
,,2018 - 2019,0.43
,,2019 - 2020,0.54
,,2020 - 2021,0.66
,,2021 - 2022,0.38
,,2022 - 2023,0.54
,Koppal,2000 - 2001,0.33
,,2001 - 2002,0.24
,,2002 - 2003,0.19
,,2003 - 2004,0.16
,,2004 - 2005,0.21
,,2005 - 2006,0.46
,,2006 - 2007,0.19
,,2007 - 2008,0.54
,,2008 - 2009,0.44
,,2009 - 2010,0.22
,,2010 - 2011,0.45
,,2011 - 2012,0.29
,,2012 - 2013,0.43
,,2013 - 2014,0.47
,,2014 - 2015,0.58
,,2015 - 2016,0.34
,,2016 - 2017,0.49
,,2017 - 2018,0.57
,,2018 - 2019,0.27
,,2019 - 2020,0.34
,,2020 - 2021,0.51
,,2021 - 2022,0.35
,,2022 - 2023,0.48
,Mandya,2000 - 2001,0.45
,,2001 - 2002,0.31
,,2002 - 2003,0.47
,,2003 - 2004,0.38
,,2004 - 2005,0.52
,,2005 - 2006,0.68
,,2006 - 2007,0.44
,,2007 - 2008,0.66
,,2008 - 2009,0.53
,,2009 - 2010,0.46
,,2010 - 2011,0.59
,,2011 - 2012,0.37
,,2012 - 2013,0.3
,,2013 - 2014,0.29
,,2014 - 2015,0.29
,,2015 - 2016,0.37
,,2016 - 2017,0.34
,,2017 - 2018,0.65
,,2018 - 2019,0.65
,,2019 - 2020,0.66
,,2020 - 2021,0.66
,,2021 - 2022,0.47
,,2022 - 2023,0.7
,Mysore,2000 - 2001,0.34
,,2001 - 2002,0.6
,,2002 - 2003,0.43
,,2003 - 2004,0.59
,,2004 - 2005,0.6
