state,district,year,arhar_tur_kharif_yield_tonne_per_hectare
,,2014 - 2015,0.75
,,2015 - 2016,0.87
,,2016 - 2017,0.82
,,2017 - 2018,0.82
,,2018 - 2019,0.83
,,2019 - 2020,0.82
,,2020 - 2021,0.75
,,2021 - 2022,0.78
,,2022 - 2023,0.84
,Dhemaji,2000 - 2001,0.77
,,2001 - 2002,0.74
,,2002 - 2003,0.77
,,2003 - 2004,0.77
,,2004 - 2005,0.77
,,2005 - 2006,0.76
,,2006 - 2007,0.76
,,2007 - 2008,0.74
,,2008 - 2009,0.74
,,2009 - 2010,0.74
,,2010 - 2011,0.74
,,2011 - 2012,0.83
,,2012 - 2013,0.82
,,2013 - 2014,0.85
,,2014 - 2015,0.94
,,2015 - 2016,0.96
,,2016 - 2017,0.97
,,2017 - 2018,0.95
,,2018 - 2019,1.34
,,2019 - 2020,1.11
,,2020 - 2021,1.0
,,2021 - 2022,0.62
,,2022 - 2023,0.44
,Dhubri,2000 - 2001,0.73
,,2001 - 2002,0.73
,,2002 - 2003,0.73
,,2003 - 2004,0.73
,,2004 - 2005,0.73
,,2005 - 2006,0.73
,,2006 - 2007,0.73
,,2007 - 2008,0.73
,,2008 - 2009,0.72
,,2009 - 2010,0.73
,,2010 - 2011,0.73
,,2011 - 2012,0.83
,,2012 - 2013,0.83
,,2013 - 2014,0.84
,,2014 - 2015,0.93
,,2015 - 2016,0.95
,,2016 - 2017,0.94
,,2017 - 2018,0.94
,,2018 - 2019,0.96
,,2019 - 2020,0.96
,,2020 - 2021,0.94
,,2021 - 2022,0.94
,,2022 - 2023,0.95
,Dibrugarh,2000 - 2001,0.75
,,2001 - 2002,0.75
,,2002 - 2003,0.75
,,2003 - 2004,0.75
,,2004 - 2005,0.75
,,2005 - 2006,0.75
,,2006 - 2007,0.79
,,2007 - 2008,0.76
,,2008 - 2009,0.78
,,2009 - 2010,0.75
,,2010 - 2011,0.75
,,2011 - 2012,0.8
,,2012 - 2013,0.85
,,2013 - 2014,0.86
,,2014 - 2015,0.96
,,2015 - 2016,0.82
,,2016 - 2017,0.81
,,2017 - 2018,0.82
,,2018 - 2019,0.85
,,2019 - 2020,0.85
,,2020 - 2021,0.87
,,2021 - 2022,0.57
,,2022 - 2023,0.79
,Dima hasao,2000 - 2001,0.72
,,2001 - 2002,0.72
,,2002 - 2003,0.72
,,2003 - 2004,0.72
,,2004 - 2005,0.72
,,2005 - 2006,0.72
,,2006 - 2007,0.72
,,2007 - 2008,0.72
,,2008 - 2009,0.72
,,2009 - 2010,0.72
,,2010 - 2011,0.72
,,2011 - 2012,0.76
,,2012 - 2013,0.81
,,2013 - 2014,0.82
,,2014 - 2015,0.92
,,2015 - 2016,0.72
,,2016 - 2017,0.72
,,2017 - 2018,0.72
,,2018 - 2019,0.72
,,2019 - 2020,0.72
,,2020 - 2021,0.72
,,2021 - 2022,0.72
,,2022 - 2023,0.72
,Goalpara,2000 - 2001,0.84
,,2001 - 2002,0.83
,,2002 - 2003,0.83
,,2003 - 2004,0.84
,,2004 - 2005,0.83
,,2005 - 2006,0.83
,,2006 - 2007,0.84
,,2007 - 2008,0.83
,,2008 - 2009,0.83
,,2009 - 2010,0.83
,,2010 - 2011,0.83
,,2011 - 2012,0.88
,,2012 - 2013,0.98
,,2013 - 2014,1.9
,,2014 - 2015,1.12
,,2015 - 2016,1.1
,,2016 - 2017,1.2
,,2017 - 2018,0.7
,,2018 - 2019,0.7
,,2019 - 2020,0.7
,,2020 - 2021,0.7
,,2021 - 2022,0.71
,,2022 - 2023,0.74
,Golaghat,2000 - 2001,0.68
,,2001 - 2002,0.68
,,2002 - 2003,0.68
,,2003 - 2004,0.68
,,2004 - 2005,0.68
,,2005 - 2006,0.68
,,2006 - 2007,0.68
,,2007 - 2008,0.68
,,2008 - 2009,0.68
,,2009 - 2010,0.68
,,2010 - 2011,0.68
,,2011 - 2012,0.73
,,2012 - 2013,0.84
,,2013 - 2014,0.85
,,2014 - 2015,0.94
,,2015 - 2016,0.87
,,2016 - 2017,0.89
,,2017 - 2018,0.87
,,2018 - 2019,0.88
,,2019 - 2020,0.88
,,2020 - 2021,0.87
,,2021 - 2022,0.87
,,2022 - 2023,0.89
,Hailakandi,2000 - 2001,0.69
,,2001 - 2002,0.69
,,2002 - 2003,0.69
,,2003 - 2004,0.7
,,2004 - 2005,0.7
,,2005 - 2006,0.69
,,2006 - 2007,0.7
,,2007 - 2008,0.69
,,2008 - 2009,0.7
,,2009 - 2010,0.69
,,2010 - 2011,0.69
,,2011 - 2012,0.74
,,2012 - 2013,0.79
,,2013 - 2014,0.79
,,2014 - 2015,0.89
,,2015 - 2016,0.55
,,2016 - 2017,0.55
,,2017 - 2018,0.55
,,2018 - 2019,0.51
,,2019 - 2020,0.51
,,2020 - 2021,0.51
,,2021 - 2022,0.51
,,2022 - 2023,0.44
,Jorhat,2000 - 2001,0.63
,,2001 - 2002,0.59
,,2002 - 2003,0.57
,,2003 - 2004,0.61
,,2004 - 2005,0.59
,,2005 - 2006,0.61
,,2006 - 2007,0.58
,,2007 - 2008,0.71
,,2008 - 2009,0.58
,,2009 - 2010,0.59
,,2010 - 2011,0.59
,,2011 - 2012,0.71
,,2012 - 2013,0.78
,,2013 - 2014,0.82
,,2014 - 2015,0.91
,,2015 - 2016,0.91
,,2016 - 2017,0.9
,,2017 - 2018,0.85
,,2018 - 2019,0.89
,,2019 - 2020,0.9
,,2020 - 2021,0.88
,,2021 - 2022,0.9
,,2022 - 2023,0.9
,Kamrup,2000 - 2001,0.8
,,2001 - 2002,0.8
,,2002 - 2003,0.8
,,2003 - 2004,0.8
,,2004 - 2005,0.8
,,2005 - 2006,0.8
,,2006 - 2007,0.8
,,2007 - 2008,0.8
,,2008 - 2009,0.8
,,2009 - 2010,0.8
,,2010 - 2011,0.8
,,2011 - 2012,0.92
,,2012 - 2013,0.9
,,2013 - 2014,0.92
,,2014 - 2015,1.02
,,2015 - 2016,0.91
,,2016 - 2017,0.93
,,2017 - 2018,0.93
,,2018 - 2019,0.92
,,2019 - 2020,0.92
,,2020 - 2021,0.92
,,2021 - 2022,0.91
,,2022 - 2023,0.78
,Kamrup metro,2005 - 2006,0.83
,,2006 - 2007,0.8
,,2007 - 2008,0.8
,,2008 - 2009,0.8
,,2009 - 2010,0.8
,,2010 - 2011,0.81
,,2011 - 2012,0.84
,,2012 - 2013,0.9
,,2013 - 2014,0.9
,,2014 - 2015,1.03
,,2015 - 2016,0.91
,,2016 - 2017,0.91
,,2017 - 2018,0.93
,,2018 - 2019,0.94
,,2019 - 2020,0.92
,,2020 - 2021,0.93
,,2021 - 2022,0.94
,,2022 - 2023,1.5
,Karbi anglong,2000 - 2001,0.68
,,2001 - 2002,0.69
,,2002 - 2003,0.69
,,2003 - 2004,0.67
,,2004 - 2005,0.68
,,2005 - 2006,0.68
,,2006 - 2007,0.67
,,2007 - 2008,0.67
,,2008 - 2009,0.68
,,2009 - 2010,0.72
,,2010 - 2011,0.72
,,2011 - 2012,0.76
,,2012 - 2013,0.8
,,2013 - 2014,0.76
,,2014 - 2015,0.92
,,2015 - 2016,0.82
,,2016 - 2017,0.79
,,2017 - 2018,0.79
,,2018 - 2019,0.76
,,2019 - 2020,0.76
,,2020 - 2021,0.76
,,2021 - 2022,0.76
,,2022 - 2023,0.76
,Karimganj,2000 - 2001,0.69
,,2001 - 2002,0.69
,,2002 - 2003,0.69
,,2003 - 2004,0.69
,,2004 - 2005,0.69
,,2005 - 2006,0.7
,,2006 - 2007,0.68
,,2007 - 2008,0.68
,,2008 - 2009,0.68
,,2009 - 2010,0.71
,,2010 - 2011,0.69
,,2011 - 2012,0.78
,,2012 - 2013,0.78
,,2013 - 2014,0.75
,,2014 - 2015,0.88
,,2015 - 2016,0.89
,,2016 - 2017,0.76
,,2017 - 2018,0.38
,,2018 - 2019,0.79
,,2019 - 2020,0.91
,,2020 - 2021,0.91
,,2021 - 2022,0.91
,,2022 - 2023,0.9
,Kokrajhar,2000 - 2001,0.65
,,2001 - 2002,0.65
,,2002 - 2003,0.65
,,2003 - 2004,0.65
,,2004 - 2005,0.65
,,2005 - 2006,0.65
,,2006 - 2007,0.65
,,2007 - 2008,0.65
,,2008 - 2009,0.65
,,2009 - 2010,0.65
,,2010 - 2011,0.65
,,2011 - 2012,0.77
,,2012 - 2013,0.87
,,2013 - 2014,0.87
,,2014 - 2015,0.99
,,2015 - 2016,0.97
,,2016 - 2017,0.87
,,2017 - 2018,0.87
,,2018 - 2019,0.87
,,2019 - 2020,0.88
,,2020 - 2021,0.88
,,2021 - 2022,0.89
,,2022 - 2023,0.87
,Lakhimpur,2000 - 2001,0.7
,,2001 - 2002,0.69
,,2002 - 2003,0.71
,,2003 - 2004,0.7
,,2004 - 2005,0.7
,,2005 - 2006,0.69
,,2006 - 2007,0.69
,,2007 - 2008,0.7
,,2008 - 2009,0.69
,,2009 - 2010,0.7
,,2010 - 2011,0.7
,,2011 - 2012,0.76
,,2012 - 2013,0.85
,,2013 - 2014,0.85
,,2014 - 2015,1.2
,,2015 - 2016,0.95
,,2016 - 2017,0.96
,,2017 - 2018,0.9
,,2018 - 2019,0.88
,,2019 - 2020,0.92
,,2020 - 2021,0.91
,,2021 - 2022,0.89
,,2022 - 2023,0.98
,Majuli,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Marigaon,2000 - 2001,0.67
,,2001 - 2002,0.67
,,2002 - 2003,0.66
,,2003 - 2004,0.6
,,2004 - 2005,0.65
,,2005 - 2006,0.64
,,2006 - 2007,0.62
,,2007 - 2008,0.63
,,2008 - 2009,0.69
,,2009 - 2010,0.67
,,2010 - 2011,0.75
,,2011 - 2012,0.72
,,2012 - 2013,0.84
,,2013 - 2014,0.86
,,2014 - 2015,0.95
,,2015 - 2016,0.68
,,2016 - 2017,0.6
,,2017 - 2018,0.61
,,2018 - 2019,0.59
,,2019 - 2020,0.75
,,2020 - 2021,0.75
,,2021 - 2022,1.15
,,2022 - 2023,1.0
,Nagaon,2000 - 2001,0.67
,,2001 - 2002,0.67
,,2002 - 2003,0.67
,,2003 - 2004,0.67
,,2004 - 2005,0.67
,,2005 - 2006,0.67
,,2006 - 2007,0.67
,,2007 - 2008,0.68
,,2008 - 2009,0.67
,,2009 - 2010,0.68
,,2010 - 2011,0.68
,,2011 - 2012,0.8
,,2012 - 2013,0.77
,,2013 - 2014,0.78
,,2014 - 2015,0.88
,,2015 - 2016,0.74
,,2016 - 2017,0.75
,,2017 - 2018,0.85
,,2018 - 2019,0.89
,,2019 - 2020,0.91
,,2020 - 2021,0.92
,,2021 - 2022,0.92
,,2022 - 2023,0.95
,Nalbari,2000 - 2001,0.6
,,2001 - 2002,0.6
,,2002 - 2003,0.6
,,2003 - 2004,0.6
,,2004 - 2005,0.6
,,2005 - 2006,0.6
,,2006 - 2007,0.6
,,2007 - 2008,0.6
,,2008 - 2009,0.6
,,2009 - 2010,0.6
,,2010 - 2011,0.6
,,2011 - 2012,0.61
,,2012 - 2013,0.67
,,2013 - 2014,0.7
,,2014 - 2015,0.77
,,2015 - 2016,0.7
,,2016 - 2017,0.8
,,2017 - 2018,1.07
,,2018 - 2019,0.8
,,2019 - 2020,0.75
,,2020 - 2021,0.72
,,2021 - 2022,0.51
,,2022 - 2023,0.47
