state,district,year,rapeseed_and_mustard_rabi_yield_tonne_per_hectare
,,2022 - 2023,1.01
,Banka,2000 - 2001,1.02
,,2001 - 2002,0.82
,,2002 - 2003,0.56
,,2003 - 2004,0.55
,,2004 - 2005,0.62
,,2005 - 2006,0.96
,,2006 - 2007,1.03
,,2007 - 2008,0.65
,,2008 - 2009,0.96
,,2009 - 2010,0.77
,,2010 - 2011,0.77
,,2011 - 2012,0.84
,,2012 - 2013,0.69
,,2013 - 2014,0.79
,,2014 - 2015,0.7
,,2015 - 2016,0.91
,,2016 - 2017,1.83
,,2017 - 2018,1.25
,,2018 - 2019,1.5
,,2019 - 2020,0.91
,,2020 - 2021,0.82
,,2021 - 2022,1.02
,,2022 - 2023,1.11
,Begusarai,2000 - 2001,1.34
,,2001 - 2002,0.76
,,2002 - 2003,0.73
,,2003 - 2004,1.06
,,2004 - 2005,1.54
,,2005 - 2006,1.83
,,2006 - 2007,1.4
,,2007 - 2008,0.83
,,2008 - 2009,2.0
,,2009 - 2010,1.48
,,2010 - 2011,1.82
,,2011 - 2012,1.98
,,2012 - 2013,2.86
,,2013 - 2014,2.11
,,2014 - 2015,1.47
,,2015 - 2016,1.29
,,2016 - 2017,1.34
,,2017 - 2018,1.0
,,2018 - 2019,1.18
,,2019 - 2020,1.29
,,2020 - 2021,1.13
,,2021 - 2022,0.76
,,2022 - 2023,1.69
,Bhagalpur,2000 - 2001,0.84
,,2001 - 2002,0.82
,,2002 - 2003,0.32
,,2003 - 2004,0.92
,,2004 - 2005,0.62
,,2005 - 2006,0.81
,,2006 - 2007,1.03
,,2007 - 2008,1.77
,,2008 - 2009,1.67
,,2009 - 2010,1.8
,,2010 - 2011,0.98
,,2011 - 2012,1.28
,,2012 - 2013,0.93
,,2013 - 2014,1.64
,,2014 - 2015,1.17
,,2015 - 2016,0.98
,,2016 - 2017,1.08
,,2017 - 2018,0.79
,,2018 - 2019,1.12
,,2019 - 2020,1.5
,,2020 - 2021,1.16
,,2021 - 2022,1.04
,,2022 - 2023,1.2
,Bhojpur,2000 - 2001,0.55
,,2001 - 2002,0.94
,,2002 - 2003,0.72
,,2003 - 2004,0.5
,,2004 - 2005,0.66
,,2005 - 2006,1.49
,,2006 - 2007,0.78
,,2007 - 2008,1.33
,,2008 - 2009,1.48
,,2009 - 2010,2.16
,,2010 - 2011,1.18
,,2011 - 2012,1.34
,,2013 - 2014,1.46
,,2014 - 2015,1.35
,,2015 - 2016,1.34
,,2016 - 2017,1.75
,,2017 - 2018,1.41
,,2018 - 2019,1.24
,,2019 - 2020,0.77
,,2020 - 2021,1.43
,,2021 - 2022,1.11
,,2022 - 2023,1.42
,Buxar,2000 - 2001,0.58
,,2001 - 2002,0.71
,,2002 - 2003,0.79
,,2003 - 2004,0.81
,,2004 - 2005,1.48
,,2005 - 2006,0.8
,,2006 - 2007,0.78
,,2007 - 2008,0.7
,,2008 - 2009,0.71
,,2009 - 2010,1.28
,,2010 - 2011,0.65
,,2011 - 2012,1.63
,,2012 - 2013,1.32
,,2013 - 2014,0.94
,,2014 - 2015,0.78
,,2015 - 2016,1.2
,,2016 - 2017,1.11
,,2017 - 2018,1.13
,,2018 - 2019,1.36
,,2019 - 2020,1.18
,,2020 - 2021,1.77
,,2021 - 2022,1.92
,,2022 - 2023,1.68
,Darbhanga,2000 - 2001,0.96
,,2001 - 2002,0.45
,,2002 - 2003,0.39
,,2003 - 2004,1.15
,,2004 - 2005,0.77
,,2005 - 2006,0.72
,,2006 - 2007,0.7
,,2007 - 2008,0.74
,,2008 - 2009,0.79
,,2009 - 2010,1.06
,,2010 - 2011,0.98
,,2011 - 2012,1.02
,,2012 - 2013,2.15
,,2013 - 2014,1.01
,,2014 - 2015,0.88
,,2015 - 2016,0.57
,,2016 - 2017,0.62
,,2017 - 2018,0.83
,,2018 - 2019,0.6
,,2019 - 2020,1.13
,,2020 - 2021,1.16
,,2021 - 2022,0.84
,,2022 - 2023,0.86
,Gaya,2000 - 2001,0.88
,,2001 - 2002,0.92
,,2002 - 2003,0.99
,,2003 - 2004,0.97
,,2004 - 2005,0.7
,,2005 - 2006,0.78
,,2006 - 2007,0.78
,,2007 - 2008,0.43
,,2008 - 2009,0.87
,,2009 - 2010,1.42
,,2010 - 2011,1.09
,,2011 - 2012,1.51
,,2012 - 2013,1.51
,,2013 - 2014,0.74
,,2014 - 2015,1.59
,,2015 - 2016,0.95
,,2016 - 2017,1.16
,,2017 - 2018,1.1
,,2018 - 2019,1.61
,,2019 - 2020,0.64
,,2020 - 2021,0.89
,,2021 - 2022,0.9
,,2022 - 2023,0.95
,Gopalganj,2000 - 2001,1.04
,,2001 - 2002,1.1
,,2002 - 2003,0.77
,,2003 - 2004,1.06
,,2004 - 2005,0.99
,,2005 - 2006,1.29
,,2006 - 2007,1.03
,,2007 - 2008,1.12
,,2008 - 2009,0.86
,,2009 - 2010,1.15
,,2010 - 2011,1.23
,,2011 - 2012,1.16
,,2012 - 2013,1.22
,,2013 - 2014,1.36
,,2014 - 2015,1.34
,,2015 - 2016,1.4
,,2016 - 2017,1.17
,,2017 - 2018,1.33
,,2018 - 2019,1.05
,,2019 - 2020,1.43
,,2020 - 2021,1.18
,,2021 - 2022,1.43
,,2022 - 2023,1.37
,Jamui,2000 - 2001,0.71
,,2001 - 2002,0.38
,,2002 - 2003,0.67
,,2003 - 2004,0.52
,,2004 - 2005,1.23
,,2005 - 2006,0.98
,,2006 - 2007,1.4
,,2007 - 2008,0.17
,,2008 - 2009,1.63
,,2009 - 2010,1.5
,,2010 - 2011,1.24
,,2011 - 2012,2.09
,,2012 - 2013,2.04
,,2013 - 2014,0.83
,,2014 - 2015,1.35
,,2015 - 2016,1.17
,,2016 - 2017,0.88
,,2017 - 2018,0.69
,,2018 - 2019,0.64
,,2019 - 2020,0.59
,,2020 - 2021,0.82
,,2021 - 2022,1.05
,,2022 - 2023,1.13
,Jehanabad,2000 - 2001,1.13
,,2001 - 2002,1.03
,,2002 - 2003,0.97
,,2003 - 2004,0.89
,,2004 - 2005,0.92
,,2005 - 2006,1.22
,,2006 - 2007,1.41
,,2007 - 2008,1.09
,,2008 - 2009,1.14
,,2009 - 2010,0.81
,,2010 - 2011,1.11
,,2011 - 2012,1.25
,,2012 - 2013,1.19
,,2013 - 2014,2.28
,,2014 - 2015,0.99
,,2015 - 2016,0.85
,,2016 - 2017,0.97
,,2017 - 2018,2.09
,,2018 - 2019,1.61
,,2019 - 2020,0.7
,,2020 - 2021,1.66
,,2021 - 2022,1.85
,,2022 - 2023,1.16
,Kaimur (bhabua),2000 - 2001,0.69
,,2001 - 2002,0.7
,,2002 - 2003,0.67
,,2003 - 2004,0.77
,,2004 - 2005,0.71
,,2005 - 2006,0.77
,,2006 - 2007,0.84
,,2007 - 2008,0.69
,,2008 - 2009,0.8
,,2009 - 2010,1.06
,,2010 - 2011,1.03
,,2011 - 2012,1.09
,,2012 - 2013,1.01
,,2013 - 2014,0.97
,,2014 - 2015,0.86
,,2015 - 2016,1.02
,,2016 - 2017,0.75
,,2017 - 2018,1.27
,,2018 - 2019,0.9
,,2019 - 2020,1.11
,,2020 - 2021,1.15
,,2021 - 2022,1.1
,,2022 - 2023,1.24
,Katihar,2000 - 2001,0.44
,,2001 - 2002,0.49
,,2002 - 2003,0.38
,,2003 - 2004,0.42
,,2004 - 2005,0.72
,,2005 - 2006,0.62
,,2006 - 2007,0.54
,,2007 - 2008,0.72
,,2008 - 2009,0.83
,,2009 - 2010,0.91
,,2010 - 2011,1.04
,,2011 - 2012,0.89
,,2012 - 2013,0.92
,,2013 - 2014,1.33
,,2014 - 2015,1.24
,,2015 - 2016,0.92
,,2016 - 2017,1.41
,,2017 - 2018,2.22
,,2018 - 2019,1.97
,,2019 - 2020,1.57
,,2020 - 2021,1.07
,,2021 - 2022,1.38
,,2022 - 2023,1.72
,Khagaria,2000 - 2001,0.8
,,2001 - 2002,0.8
,,2002 - 2003,0.28
,,2003 - 2004,1.08
,,2004 - 2005,0.94
,,2005 - 2006,1.8
,,2006 - 2007,1.92
,,2007 - 2008,1.98
,,2008 - 2009,1.57
,,2009 - 2010,1.72
,,2010 - 2011,1.3
,,2011 - 2012,1.27
,,2012 - 2013,1.62
,,2013 - 2014,1.92
,,2014 - 2015,1.35
,,2015 - 2016,0.93
,,2016 - 2017,1.09
,,2017 - 2018,1.08
,,2018 - 2019,1.58
,,2019 - 2020,1.24
,,2020 - 2021,1.39
,,2021 - 2022,1.11
,,2022 - 2023,1.28
,Kishanganj,2000 - 2001,0.36
,,2001 - 2002,0.93
,,2002 - 2003,0.39
,,2003 - 2004,1.02
,,2004 - 2005,0.99
,,2005 - 2006,1.11
,,2006 - 2007,0.73
,,2007 - 2008,0.94
,,2008 - 2009,1.0
,,2009 - 2010,0.94
,,2010 - 2011,0.41
,,2011 - 2012,0.36
,,2012 - 2013,0.4
,,2013 - 2014,1.24
,,2014 - 2015,0.8
,,2015 - 2016,0.49
,,2016 - 2017,1.03
,,2017 - 2018,1.41
,,2018 - 2019,0.78
,,2019 - 2020,1.38
,,2020 - 2021,1.5
,,2021 - 2022,1.17
,,2022 - 2023,1.4
,Lakhisarai,2000 - 2001,0.57
,,2001 - 2002,0.85
,,2002 - 2003,0.6
,,2003 - 2004,1.03
,,2004 - 2005,0.81
,,2005 - 2006,1.75
,,2006 - 2007,0.68
,,2007 - 2008,1.17
,,2008 - 2009,1.21
,,2009 - 2010,0.5
,,2010 - 2011,0.0
,,2011 - 2012,1.77
,,2012 - 2013,1.64
,,2013 - 2014,1.68
,,2014 - 2015,1.12
,,2015 - 2016,0.98
,,2016 - 2017,1.59
,,2017 - 2018,1.31
,,2018 - 2019,1.43
,,2019 - 2020,1.1
,,2020 - 2021,1.46
,,2021 - 2022,1.05
,,2022 - 2023,1.57
,Madhepura,2000 - 2001,1.54
,,2001 - 2002,1.81
,,2002 - 2003,1.0
,,2003 - 2004,1.27
,,2004 - 2005,1.31
,,2005 - 2006,1.12
,,2006 - 2007,1.18
,,2007 - 2008,0.72
,,2008 - 2009,1.0
,,2009 - 2010,0.74
,,2010 - 2011,1.16
,,2011 - 2012,1.67
,,2012 - 2013,0.87
,,2013 - 2014,1.18
,,2014 - 2015,0.73
,,2015 - 2016,1.09
,,2016 - 2017,0.94
,,2017 - 2018,1.43
,,2018 - 2019,1.24
,,2019 - 2020,0.97
,,2020 - 2021,1.12
,,2021 - 2022,0.89
,,2022 - 2023,1.08
,Madhubani,2000 - 2001,0.93
,,2001 - 2002,0.83
,,2002 - 2003,0.3
,,2003 - 2004,0.49
,,2004 - 2005,0.81
,,2005 - 2006,0.71
,,2006 - 2007,1.1
,,2007 - 2008,0.94
,,2008 - 2009,1.03
,,2009 - 2010,0.81
,,2010 - 2011,0.97
,,2011 - 2012,0.57
,,2012 - 2013,0.11
,,2013 - 2014,1.15
,,2014 - 2015,0.62
,,2015 - 2016,0.67
,,2016 - 2017,0.51
,,2017 - 2018,0.87
,,2018 - 2019,0.99
,,2019 - 2020,1.16
,,2020 - 2021,0.77
,,2021 - 2022,0.77
,,2022 - 2023,0.86
,Munger,2000 - 2001,0.85
,,2001 - 2002,1.03
,,2002 - 2003,0.71
,,2003 - 2004,1.03
,,2004 - 2005,0.79
,,2005 - 2006,0.64
,,2006 - 2007,0.55
,,2007 - 2008,0.73
,,2008 - 2009,0.77
,,2009 - 2010,1.3
,,2010 - 2011,1.57
,,2011 - 2012,1.04
,,2012 - 2013,1.47
,,2013 - 2014,1.44
,,2014 - 2015,1.39
,,2015 - 2016,1.64
,,2016 - 2017,0.96
,,2017 - 2018,1.22
,,2018 - 2019,1.06
,,2019 - 2020,0.91
,,2020 - 2021,0.88
,,2021 - 2022,0.86
,,2022 - 2023,1.07
,Muzaffarpur,2000 - 2001,0.77
,,2001 - 2002,0.88
,,2002 - 2003,0.97
,,2003 - 2004,1.05
,,2004 - 2005,1.08
,,2005 - 2006,1.22
,,2006 - 2007,1.67
,,2007 - 2008,1.29
,,2008 - 2009,0.96
,,2009 - 2010,0.97
,,2010 - 2011,0.97
,,2011 - 2012,1.32
,,2012 - 2013,3.24
,,2013 - 2014,0.83
,,2014 - 2015,0.86
,,2015 - 2016,0.79
,,2016 - 2017,0.79
,,2017 - 2018,1.07
,,2018 - 2019,1.26
,,2019 - 2020,0.89
,,2020 - 2021,0.93
,,2021 - 2022,0.79
,,2022 - 2023,0.87
,Nalanda,2000 - 2001,1.44
,,2001 - 2002,1.03
,,2002 - 2003,0.72
,,2003 - 2004,0.74
,,2004 - 2005,0.43
,,2005 - 2006,0.38
,,2006 - 2007,0.78
,,2007 - 2008,1.07
,,2008 - 2009,0.79
,,2009 - 2010,1.19
,,2010 - 2011,2.1
,,2011 - 2012,1.47
,,2012 - 2013,1.88
,,2013 - 2014,3.07
,,2014 - 2015,1.24
,,2015 - 2016,1.84
,,2016 - 2017,1.45
,,2017 - 2018,1.4
,,2018 - 2019,1.54
,,2019 - 2020,0.55
,,2020 - 2021,0.98
,,2021 - 2022,1.11
,,2022 - 2023,1.18
,Nawada,2000 - 2001,0.4
,,2001 - 2002,1.37
,,2002 - 2003,0.52
,,2003 - 2004,0.4
,,2004 - 2005,0.78
,,2005 - 2006,0.56
,,2006 - 2007,0.55
,,2007 - 2008,0.6
,,2008 - 2009,0.54
,,2009 - 2010,0.88
,,2010 - 2011,1.15
,,2011 - 2012,1.05
,,2012 - 2013,0.87
,,2013 - 2014,0.77
,,2014 - 2015,0.57
,,2015 - 2016,1.05
,,2016 - 2017,0.75
,,2017 - 2018,0.92
,,2018 - 2019,1.02
,,2019 - 2020,1.02
,,2020 - 2021,1.22
,,2021 - 2022,0.86
,,2022 - 2023,0.83
,Pashchim champaran,2000 - 2001,0.55
,,2001 - 2002,0.57
,,2002 - 2003,0.48
,,2003 - 2004,0.71
,,2004 - 2005,0.23
,,2005 - 2006,0.68
,,2006 - 2007,1.17
,,2007 - 2008,1.03
,,2008 - 2009,0.76
,,2009 - 2010,0.54
,,2010 - 2011,0.83
,,2011 - 2012,1.56
,,2012 - 2013,1.43
,,2013 - 2014,1.04
,,2014 - 2015,0.94
,,2015 - 2016,0.77
,,2016 - 2017,1.84
,,2017 - 2018,0.87
,,2018 - 2019,1.32
,,2019 - 2020,0.77
,,2020 - 2021,3.82
,,2021 - 2022,1.78
,,2022 - 2023,1.64
,Patna,2000 - 2001,1.2
,,2001 - 2002,0.84
,,2002 - 2003,1.24
,,2003 - 2004,0.71
,,2004 - 2005,0.95
,,2005 - 2006,0.76
,,2006 - 2007,0.71
,,2007 - 2008,0.5
,,2008 - 2009,0.88
,,2009 - 2010,1.56
,,2010 - 2011,1.67
,,2011 - 2012,1.68
,,2012 - 2013,2.03
,,2013 - 2014,2.37
,,2014 - 2015,1.98
,,2015 - 2016,1.0
,,2016 - 2017,1.4
,,2017 - 2018,1.16
,,2018 - 2019,1.05
,,2019 - 2020,0.44
,,2020 - 2021,0.94
,,2021 - 2022,0.81
,,2022 - 2023,0.87
,Purbi champaran,2000 - 2001,0.94
,,2001 - 2002,1.0
,,2002 - 2003,0.93
,,2003 - 2004,0.64
,,2004 - 2005,0.7
,,2005 - 2006,0.42
,,2006 - 2007,1.04
,,2007 - 2008,0.27
,,2008 - 2009,0.46
,,2009 - 2010,0.23
,,2010 - 2011,1.67
,,2011 - 2012,1.77
,,2012 - 2013,1.16
,,2013 - 2014,1.18
,,2014 - 2015,0.64
,,2015 - 2016,0.51
,,2016 - 2017,0.64
,,2017 - 2018,1.09
,,2018 - 2019,1.32
,,2019 - 2020,1.86
,,2020 - 2021,1.53
,,2021 - 2022,1.42
,,2022 - 2023,1.18
,Purnia,2000 - 2001,1.46
,,2001 - 2002,0.61
,,2002 - 2003,0.98
,,2003 - 2004,1.12
,,2004 - 2005,1.44
,,2005 - 2006,0.93
,,2006 - 2007,1.03
,,2007 - 2008,1.32
,,2008 - 2009,0.92
,,2009 - 2010,1.02
,,2010 - 2011,0.99
,,2011 - 2012,1.15
,,2012 - 2013,1.19
,,2013 - 2014,1.08
,,2014 - 2015,1.2
,,2015 - 2016,0.82
,,2016 - 2017,2.21
,,2017 - 2018,1.09
,,2018 - 2019,1.03
,,2019 - 2020,1.14
,,2020 - 2021,0.81
,,2021 - 2022,0.8
,,2022 - 2023,1.25
,Rohtas,2000 - 2001,0.54
,,2001 - 2002,0.75
,,2002 - 2003,0.93
,,2003 - 2004,0.9
,,2004 - 2005,0.72
,,2005 - 2006,0.69
,,2006 - 2007,0.78
,,2007 - 2008,0.93
,,2008 - 2009,0.97
,,2009 - 2010,1.45
,,2010 - 2011,1.22
,,2011 - 2012,0.78
,,2012 - 2013,1.24
,,2013 - 2014,1.05
,,2014 - 2015,0.97
,,2015 - 2016,1.03
,,2016 - 2017,1.12
,,2017 - 2018,1.1
,,2018 - 2019,1.62
,,2019 - 2020,1.46
,,2020 - 2021,0.76
,,2021 - 2022,1.66
,,2022 - 2023,1.08
,Saharsa,2000 - 2001,1.4
,,2001 - 2002,1.29
,,2002 - 2003,0.91
,,2003 - 2004,0.56
,,2004 - 2005,0.45
,,2005 - 2006,0.44
,,2006 - 2007,1.18
,,2007 - 2008,0.56
,,2008 - 2009,0.67
,,2009 - 2010,0.97
,,2010 - 2011,0.69
,,2011 - 2012,1.38
,,2012 - 2013,0.77
,,2013 - 2014,1.57
,,2014 - 2015,1.29
,,2015 - 2016,0.99
,,2016 - 2017,0.49
,,2017 - 2018,0.92
,,2018 - 2019,0.96
,,2019 - 2020,1.36
,,2020 - 2021,0.71
,,2021 - 2022,0.59
,,2022 - 2023,0.8
,Samastipur,2000 - 2001,1.36
,,2001 - 2002,1.11
,,2002 - 2003,0.87
,,2003 - 2004,0.62
,,2004 - 2005,0.65
,,2005 - 2006,0.87
,,2006 - 2007,1.07
,,2007 - 2008,1.21
,,2008 - 2009,0.81
,,2009 - 2010,1.12
,,2010 - 2011,1.44
,,2011 - 2012,2.34
,,2012 - 2013,2.18
,,2013 - 2014,1.18
,,2014 - 2015,0.9
,,2015 - 2016,1.24
,,2016 - 2017,1.36
,,2017 - 2018,1.45
,,2018 - 2019,1.26
,,2019 - 2020,1.93
,,2020 - 2021,1.25
,,2021 - 2022,1.16
,,2022 - 2023,1.33
,Saran,2000 - 2001,1.2
,,2001 - 2002,1.29
,,2002 - 2003,1.08
,,2003 - 2004,1.23
,,2004 - 2005,1.15
,,2005 - 2006,1.02
,,2006 - 2007,1.03
,,2007 - 2008,1.11
,,2008 - 2009,1.1
,,2009 - 2010,1.04
,,2010 - 2011,0.88
,,2011 - 2012,1.0
,,2012 - 2013,0.45
,,2013 - 2014,1.27
,,2014 - 2015,0.8
,,2015 - 2016,1.13
,,2016 - 2017,1.63
,,2017 - 2018,1.42
,,2018 - 2019,1.43
,,2019 - 2020,1.38
,,2020 - 2021,1.74
,,2021 - 2022,1.6
,,2022 - 2023,1.65
,Sheikhpura,2000 - 2001,0.44
,,2001 - 2002,0.53
,,2002 - 2003,0.37
,,2003 - 2004,0.71
,,2004 - 2005,1.1
,,2005 - 2006,0.76
,,2006 - 2007,0.72
,,2007 - 2008,0.95
,,2008 - 2009,0.68
,,2009 - 2010,1.0
,,2010 - 2011,0.64
,,2011 - 2012,0.69
,,2012 - 2013,0.47
,,2013 - 2014,0.62
,,2014 - 2015,0.7
,,2015 - 2016,0.68
,,2016 - 2017,0.82
,,2017 - 2018,1.03
,,2018 - 2019,0.63
,,2019 - 2020,0.93
,,2020 - 2021,0.55
,,2021 - 2022,0.53
,,2022 - 2023,0.64
,Sheohar,2000 - 2001,0.59
,,2001 - 2002,0.68
,,2002 - 2003,0.6
,,2003 - 2004,0.75
,,2004 - 2005,0.44
,,2005 - 2006,0.29
,,2006 - 2007,1.17
,,2007 - 2008,0.75
,,2008 - 2009,0.02
,,2009 - 2010,0.61
,,2010 - 2011,0.65
,,2011 - 2012,0.91
,,2012 - 2013,0.87
,,2013 - 2014,0.98
,,2014 - 2015,0.31
,,2015 - 2016,0.72
,,2016 - 2017,0.86
,,2017 - 2018,0.78
,,2018 - 2019,0.84
,,2019 - 2020,0.78
,,2020 - 2021,0.71
,,2021 - 2022,1.36
,,2022 - 2023,1.35
,Sitamarhi,2000 - 2001,1.18
,,2001 - 2002,0.68
,,2002 - 2003,0.6
,,2003 - 2004,0.77
,,2004 - 2005,0.68
,,2005 - 2006,0.87
,,2006 - 2007,1.16
,,2007 - 2008,0.69
,,2008 - 2009,0.76
,,2009 - 2010,1.7
,,2010 - 2011,2.29
,,2011 - 2012,1.1
,,2012 - 2013,1.19
,,2013 - 2014,1.13
,,2014 - 2015,0.29
,,2015 - 2016,1.16
,,2016 - 2017,1.16
,,2017 - 2018,1.15
,,2018 - 2019,1.04
,,2019 - 2020,1.27
,,2020 - 2021,0.8
,,2021 - 2022,0.49
,,2022 - 2023,0.37
,Siwan,2000 - 2001,1.06
,,2001 - 2002,0.77
,,2002 - 2003,0.93
,,2003 - 2004,1.04
,,2004 - 2005,1.33
,,2005 - 2006,0.92
,,2006 - 2007,1.03
,,2007 - 2008,0.99
,,2008 - 2009,1.28
,,2009 - 2010,1.05
,,2010 - 2011,1.23
,,2011 - 2012,1.25
,,2012 - 2013,1.77
,,2013 - 2014,1.08
,,2014 - 2015,1.15
,,2015 - 2016,1.1
,,2016 - 2017,1.24
,,2017 - 2018,1.45
,,2018 - 2019,1.52
,,2019 - 2020,1.36
,,2020 - 2021,1.46
,,2021 - 2022,1.39
,,2022 - 2023,1.51
,Supaul,2000 - 2001,1.13
,,2001 - 2002,1.06
,,2002 - 2003,0.74
,,2003 - 2004,0.78
,,2004 - 2005,1.04
,,2005 - 2006,0.85
,,2006 - 2007,1.18
,,2007 - 2008,0.87
,,2008 - 2009,1.2
,,2009 - 2010,0.51
,,2010 - 2011,1.04
,,2011 - 2012,0.68
,,2012 - 2013,0.97
,,2013 - 2014,0.78
,,2014 - 2015,0.98
,,2015 - 2016,1.08
,,2016 - 2017,0.88
,,2017 - 2018,0.81
,,2018 - 2019,0.91
,,2019 - 2020,1.14
,,2020 - 2021,0.98
,,2021 - 2022,1.09
,,2022 - 2023,1.14
,Vaishali,2000 - 2001,0.7
,,2001 - 2002,0.67
,,2002 - 2003,0.63
,,2003 - 2004,0.57
,,2004 - 2005,0.64
,,2005 - 2006,0.73
,,2006 - 2007,0.63
,,2007 - 2008,0.85
,,2008 - 2009,0.76
,,2009 - 2010,0.94
,,2010 - 2011,0.9
,,2011 - 2012,1.5
,,2012 - 2013,1.89
,,2013 - 2014,1.62
,,2014 - 2015,1.97
,,2015 - 2016,1.48
,,2016 - 2017,1.01
,,2017 - 2018,2.22
,,2018 - 2019,1.82
,,2019 - 2020,1.69
,,2020 - 2021,1.47
,,2021 - 2022,1.56
,,2022 - 2023,2.0
Chandigarh,Chandigarh,2000 - 2001,1.2
,,2001 - 2002,1.79
,,2002 - 2003,1.67
Chhattisgarh,Balod,2011 - 2012,0.4
,,2012 - 2013,0.41
,,2013 - 2014,0.46
,,2014 - 2015,0.43
,,2015 - 2016,0.45
,,2016 - 2017,0.45
,,2017 - 2018,0.45
,,2018 - 2019,0.44
,,2019 - 2020,0.42
,,2020 - 2021,0.48
,,2021 - 2022,0.47
,,2022 - 2023,0.57
,Baloda bazar,2011 - 2012,0.48
,,2012 - 2013,0.51
,,2013 - 2014,0.58
,,2014 - 2015,0.57
,,2015 - 2016,0.49
,,2016 - 2017,0.42
,,2017 - 2018,0.36
,,2018 - 2019,0.4
,,2019 - 2020,0.39
,,2020 - 2021,0.59
,,2021 - 2022,0.41
,,2022 - 2023,0.46
,Balrampur,2011 - 2012,0.42
,,2012 - 2013,0.55
,,2013 - 2014,0.63
,,2014 - 2015,0.57
,,2015 - 2016,0.61
,,2016 - 2017,0.36
,,2017 - 2018,0.47
,,2018 - 2019,0.5
,,2019 - 2020,0.49
,,2020 - 2021,0.51
,,2021 - 2022,0.51
,,2022 - 2023,0.5
,Bastar,2000 - 2001,0.33
,,2001 - 2002,0.37
,,2002 - 2003,0.31
,,2003 - 2004,0.44
,,2004 - 2005,0.4
,,2005 - 2006,0.18
,,2006 - 2007,0.53
,,2007 - 2008,0.47
,,2008 - 2009,0.36
,,2009 - 2010,0.61
,,2010 - 2011,0.58
,,2011 - 2012,0.68
,,2012 - 2013,0.76
,,2013 - 2014,0.7
,,2014 - 2015,0.63
,,2015 - 2016,0.9
,,2016 - 2017,0.7
,,2017 - 2018,0.61
,,2018 - 2019,0.66
,,2019 - 2020,0.61
,,2020 - 2021,0.59
,,2021 - 2022,0.6
,,2022 - 2023,0.71
,Bemetara,2011 - 2012,0.4
,,2012 - 2013,0.4
,,2013 - 2014,0.44
,,2014 - 2015,0.45
,,2015 - 2016,0.48
,,2016 - 2017,0.45
,,2017 - 2018,0.48
,,2018 - 2019,0.45
,,2019 - 2020,0.44
,,2020 - 2021,0.48
,,2021 - 2022,0.51
,,2022 - 2023,0.67
,Bijapur,2006 - 2007,0.0
,,2007 - 2008,0.38
,,2008 - 2009,0.32
,,2009 - 2010,0.27
,,2010 - 2011,0.29
,,2011 - 2012,0.46
,,2012 - 2013,0.46
,,2013 - 2014,0.56
,,2014 - 2015,0.35
,,2015 - 2016,0.5
,,2016 - 2017,0.5
,,2017 - 2018,0.43
,,2018 - 2019,0.33
,,2019 - 2020,0.25
,,2020 - 2021,0.25
,,2021 - 2022,0.57
,,2022 - 2023,0.6
,Bilaspur,2000 - 2001,0.24
,,2001 - 2002,0.31
,,2002 - 2003,0.25
,,2003 - 2004,0.34
,,2004 - 2005,0.32
,,2005 - 2006,0.29
,,2006 - 2007,0.34
,,2007 - 2008,0.38
,,2008 - 2009,0.34
,,2009 - 2010,0.43
,,2010 - 2011,0.36
,,2011 - 2012,0.42
,,2012 - 2013,0.44
,,2013 - 2014,0.52
,,2014 - 2015,0.45
,,2015 - 2016,0.52
,,2016 - 2017,0.38
,,2017 - 2018,0.38
,,2018 - 2019,0.44
,,2019 - 2020,0.39
,,2020 - 2021,0.39
,,2021 - 2022,0.4
,,2022 - 2023,0.45
,Dantewada,2000 - 2001,0.32
,,2001 - 2002,0.34
,,2002 - 2003,0.19
,,2003 - 2004,0.41
,,2004 - 2005,0.38
,,2005 - 2006,0.28
,,2006 - 2007,0.38
,,2007 - 2008,0.38
,,2008 - 2009,0.32
,,2009 - 2010,0.27
,,2010 - 2011,0.29
,,2011 - 2012,0.49
,,2012 - 2013,0.44
,,2013 - 2014,0.54
,,2014 - 2015,0.52
,,2015 - 2016,0.5
,,2016 - 2017,0.49
,,2017 - 2018,0.26
,,2018 - 2019,0.37
,,2019 - 2020,0.47
,,2020 - 2021,0.43
,,2021 - 2022,0.42
,,2022 - 2023,0.57
,Dhamtari,2000 - 2001,0.35
,,2001 - 2002,0.38
,,2002 - 2003,0.33
,,2003 - 2004,0.4
,,2004 - 2005,0.37
,,2005 - 2006,0.35
,,2006 - 2007,0.41
,,2007 - 2008,0.41
,,2008 - 2009,0.39
,,2009 - 2010,0.51
,,2010 - 2011,0.42
,,2011 - 2012,0.49
,,2012 - 2013,0.51
,,2013 - 2014,0.58
,,2014 - 2015,0.53
,,2015 - 2016,0.58
,,2016 - 2017,0.46
,,2017 - 2018,0.45
,,2018 - 2019,0.5
,,2019 - 2020,0.5
,,2020 - 2021,0.53
,,2021 - 2022,0.49
,,2022 - 2023,0.6
,Durg,2000 - 2001,0.21
,,2001 - 2002,0.27
,,2002 - 2003,0.28
,,2003 - 2004,0.36
,,2004 - 2005,0.33
,,2005 - 2006,0.3
,,2006 - 2007,0.36
,,2007 - 2008,0.32
,,2008 - 2009,0.31
,,2009 - 2010,0.42
,,2010 - 2011,0.33
,,2011 - 2012,0.4
,,2012 - 2013,0.44
,,2013 - 2014,0.5
