state,district,year,sesamum_kharif_yield_tonne_per_hectare
,,2012 - 2013,0.18
,,2013 - 2014,0.33
,,2014 - 2015,
,,2015 - 2016,0.07
,,2016 - 2017,0.26
,,2017 - 2018,0.31
,,2018 - 2019,0.13
,,2019 - 2020,0.22
,,2020 - 2021,0.3
,,2021 - 2022,0.19
,,2022 - 2023,0.34
,Raigad,2000 - 2001,0.5
,,2001 - 2002,0.33
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,0.5
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2011 - 2012,1.0
,,2012 - 2013,0.4
,,2015 - 2016,0.3
,,2016 - 2017,0.36
,Ratnagiri,2000 - 2001,0.1
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,0.0
,,2010 - 2011,0.5
,,2011 - 2012,0.5
,,2012 - 2013,0.4
,,2013 - 2014,0.0
,,2015 - 2016,0.1
,,2016 - 2017,0.37
,,2017 - 2018,0.3
,,2018 - 2019,0.43
,,2019 - 2020,0.38
,,2020 - 2021,0.3
,,2021 - 2022,0.19
,,2022 - 2023,0.34
,Sangli,2000 - 2001,0.22
,,2001 - 2002,0.5
,,2002 - 2003,0.05
,,2003 - 2004,1.0
,,2004 - 2005,0.33
,,2005 - 2006,0.25
,,2006 - 2007,0.2
,,2007 - 2008,0.25
,,2008 - 2009,1.0
,,2009 - 2010,0.0
,,2010 - 2011,0.2
,,2011 - 2012,0.3
,,2012 - 2013,
,,2013 - 2014,
,,2016 - 2017,0.25
,,2017 - 2018,0.33
,,2018 - 2019,
,,2020 - 2021,0.3
,,2021 - 2022,0.19
,,2022 - 2023,0.34
,Satara,2000 - 2001,0.33
,,2001 - 2002,0.33
,,2002 - 2003,0.33
,,2003 - 2004,0.33
,,2004 - 2005,0.25
,,2005 - 2006,0.33
,,2006 - 2007,0.25
,,2007 - 2008,0.5
,,2008 - 2009,1.0
,,2009 - 2010,0.0
,,2010 - 2011,0.2
,,2011 - 2012,0.33
,,2012 - 2013,0.2
,,2013 - 2014,0.0
,,2015 - 2016,0.05
,,2016 - 2017,0.25
,,2017 - 2018,0.3
,,2018 - 2019,0.13
,,2019 - 2020,0.21
,,2020 - 2021,0.3
,,2021 - 2022,0.19
,Sindhudurg,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,0.5
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,1.0
,,2012 - 2013,0.4
,,2013 - 2014,0.0
,,2015 - 2016,0.24
,,2016 - 2017,0.35
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Solapur,2000 - 2001,0.22
,,2001 - 2002,0.33
,,2002 - 2003,0.33
,,2003 - 2004,1.0
,,2004 - 2005,0.25
,,2005 - 2006,0.25
,,2006 - 2007,0.33
,,2007 - 2008,0.33
,,2008 - 2009,1.0
,,2009 - 2010,0.0
,,2010 - 2011,0.33
,,2011 - 2012,0.33
,,2012 - 2013,0.33
,,2013 - 2014,0.33
,,2014 - 2015,0.5
,,2015 - 2016,0.07
,,2016 - 2017,0.26
,,2017 - 2018,0.3
,,2018 - 2019,0.13
,,2019 - 2020,0.09
,,2020 - 2021,0.3
,,2021 - 2022,0.19
,,2022 - 2023,0.34
,Thane,2000 - 2001,0.18
,,2001 - 2002,0.33
,,2002 - 2003,0.33
,,2003 - 2004,0.33
,,2004 - 2005,0.33
,,2005 - 2006,0.29
,,2006 - 2007,0.33
,,2007 - 2008,0.4
,,2008 - 2009,0.33
,,2009 - 2010,0.33
,,2010 - 2011,0.5
,,2011 - 2012,0.57
,,2012 - 2013,0.43
,,2013 - 2014,0.29
,,2014 - 2015,
,,2015 - 2016,0.25
,,2016 - 2017,
,,2021 - 2022,0.19
,,2022 - 2023,
,Wardha,2000 - 2001,0.13
,,2001 - 2002,0.29
,,2002 - 2003,0.13
,,2003 - 2004,0.17
,,2004 - 2005,0.2
,,2005 - 2006,0.25
,,2006 - 2007,0.25
,,2007 - 2008,0.5
,,2008 - 2009,1.0
,,2009 - 2010,0.0
,,2011 - 2012,0.5
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.18
,,2020 - 2021,0.2
,,2021 - 2022,0.14
,,2022 - 2023,
,Washim,2000 - 2001,0.25
,,2001 - 2002,0.33
,,2002 - 2003,0.21
,,2003 - 2004,0.29
,,2004 - 2005,0.19
,,2005 - 2006,0.21
,,2006 - 2007,0.17
,,2007 - 2008,0.33
,,2008 - 2009,0.17
,,2009 - 2010,0.4
,,2010 - 2011,0.33
,,2011 - 2012,0.2
,,2012 - 2013,0.14
,,2013 - 2014,0.2
,,2015 - 2016,0.15
,,2016 - 2017,0.27
,,2017 - 2018,0.19
,,2018 - 2019,0.26
,,2019 - 2020,0.37
,,2020 - 2021,0.2
,,2021 - 2022,0.14
,,2022 - 2023,0.22
,Yavatmal,2000 - 2001,0.23
,,2001 - 2002,0.32
,,2002 - 2003,0.24
,,2003 - 2004,0.28
,,2004 - 2005,0.16
,,2005 - 2006,0.2
,,2006 - 2007,0.16
,,2007 - 2008,0.3
,,2008 - 2009,0.19
,,2009 - 2010,0.36
,,2010 - 2011,0.33
,,2011 - 2012,0.33
,,2012 - 2013,0.14
,,2013 - 2014,0.2
,,2016 - 2017,0.27
,,2017 - 2018,0.19
,,2018 - 2019,0.26
,,2019 - 2020,0.04
,,2020 - 2021,0.2
,,2021 - 2022,0.14
,,2022 - 2023,0.22
Manipur,Chandel,2000 - 2001,0.5
,,2001 - 2002,0.49
,,2002 - 2003,0.67
,,2003 - 2004,0.67
,,2004 - 2005,0.43
,,2005 - 2006,0.53
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,Churachandpur,2000 - 2001,0.49
,,2003 - 2004,0.49
,,2004 - 2005,0.49
,,2005 - 2006,0.49
,,2006 - 2007,0.49
,,2007 - 2008,0.49
,Senapati,2000 - 2001,0.5
,,2001 - 2002,0.4
,Tamenglong,2001 - 2002,1.0
,,2003 - 2004,0.33
,,2005 - 2006,0.47
Meghalaya,East garo hills,2000 - 2001,0.52
,,2001 - 2002,0.51
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,0.5
,,2005 - 2006,0.5
,,2006 - 2007,
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.51
,,2010 - 2011,0.5
,,2011 - 2012,0.51
,,2012 - 2013,0.79
,,2013 - 2014,0.82
,,2014 - 2015,0.85
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,0.91
,East jaintia hills,2000 - 2001,0.5
,,2001 - 2002,0.45
,,2002 - 2003,0.47
,,2003 - 2004,0.45
,,2004 - 2005,0.48
,,2005 - 2006,0.56
,,2006 - 2007,
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.48
,,2010 - 2011,0.46
,,2011 - 2012,0.5
,,2012 - 2013,0.75
,,2013 - 2014,0.7
,,2014 - 2015,0.8
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,0.83
,East khasi hills,2000 - 2001,0.46
,,2001 - 2002,0.5
,,2002 - 2003,0.49
,,2003 - 2004,0.41
,,2004 - 2005,0.61
,,2005 - 2006,0.62
,,2006 - 2007,
,,2007 - 2008,0.74
,,2008 - 2009,1.12
,,2009 - 2010,0.71
,,2010 - 2011,0.78
,,2011 - 2012,0.81
,,2012 - 2013,1.31
,,2013 - 2014,1.39
,,2014 - 2015,1.44
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,1.48
,North garo hills,2013 - 2014,0.92
,,2014 - 2015,0.99
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,1.03
,Ri bhoi,2000 - 2001,0.78
,,2001 - 2002,1.0
,,2002 - 2003,1.17
,,2003 - 2004,1.0
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,1.0
,South garo hills,2000 - 2001,0.51
,,2001 - 2002,0.52
,,2002 - 2003,0.52
,,2003 - 2004,0.52
,,2004 - 2005,0.52
,,2005 - 2006,0.51
,,2006 - 2007,
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.51
,,2010 - 2011,0.51
,,2011 - 2012,0.52
,,2012 - 2013,0.8
,,2013 - 2014,0.86
,,2014 - 2015,0.87
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,0.91
,South west garo hills,2013 - 2014,0.96
,,2014 - 2015,0.98
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,0.86
,South west khasi hills,2013 - 2014,1.33
,,2014 - 2015,1.5
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,1.43
,West garo hills,2000 - 2001,0.53
,,2001 - 2002,0.53
,,2002 - 2003,0.53
,,2003 - 2004,0.53
,,2004 - 2005,0.53
,,2005 - 2006,0.54
,,2006 - 2007,
,,2007 - 2008,0.54
,,2008 - 2009,0.54
,,2009 - 2010,0.54
,,2010 - 2011,0.54
,,2011 - 2012,0.54
,,2012 - 2013,0.84
,,2013 - 2014,0.87
,,2014 - 2015,0.9
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,0.94
,West jaintia hills,2013 - 2014,0.81
,,2014 - 2015,0.82
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,0.97
,West khasi hills,2000 - 2001,1.0
,,2001 - 2002,0.47
,,2002 - 2003,0.5
,,2003 - 2004,0.56
,,2004 - 2005,0.65
,,2005 - 2006,0.74
,,2006 - 2007,
,,2007 - 2008,0.75
,,2008 - 2009,0.79
,,2009 - 2010,0.82
,,2010 - 2011,0.71
,,2011 - 2012,0.71
,,2012 - 2013,1.1
,,2013 - 2014,1.12
,,2014 - 2015,1.17
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,1.22
Mizoram,Aizawl,2000 - 2001,0.61
,,2001 - 2002,0.48
,,2002 - 2003,0.55
,,2003 - 2004,0.83
,,2004 - 2005,0.84
,,2005 - 2006,0.52
,,2010 - 2011,0.79
,,2011 - 2012,0.59
,,2012 - 2013,1.11
,,2013 - 2014,1.08
,,2014 - 2015,0.89
,,2015 - 2016,1.04
,,2016 - 2017,0.81
,,2017 - 2018,0.93
,,2018 - 2019,0.89
,,2019 - 2020,0.7
,,2020 - 2021,1.03
,,2021 - 2022,1.16
,,2022 - 2023,1.22
,Champhai,2000 - 2001,0.78
,,2001 - 2002,0.38
,,2002 - 2003,0.4
,,2003 - 2004,0.55
,,2004 - 2005,0.49
,,2005 - 2006,0.56
,,2010 - 2011,0.66
,,2011 - 2012,0.8
,,2012 - 2013,0.79
,,2013 - 2014,0.8
,,2014 - 2015,0.81
,,2015 - 2016,0.81
,,2016 - 2017,0.78
,,2017 - 2018,0.49
,,2018 - 2019,0.74
,,2019 - 2020,0.76
,,2021 - 2022,1.0
,,2022 - 2023,0.86
,Hnahthial,2020 - 2021,1.11
,,2021 - 2022,0.7
,,2022 - 2023,1.11
,Khawzawl,2020 - 2021,1.4
,Kolasib,2000 - 2001,0.31
,,2001 - 2002,0.31
,,2002 - 2003,0.6
,,2003 - 2004,0.6
,,2004 - 2005,0.44
,,2005 - 2006,0.57
,,2010 - 2011,0.64
,,2011 - 2012,0.72
,,2012 - 2013,0.86
,,2013 - 2014,0.89
,,2014 - 2015,0.89
,,2015 - 2016,0.9
,,2016 - 2017,0.91
,,2017 - 2018,0.9
,,2018 - 2019,0.91
,,2019 - 2020,0.74
,,2020 - 2021,0.77
,,2021 - 2022,0.77
,,2022 - 2023,0.66
,Lawngtlai,2004 - 2005,0.43
,,2005 - 2006,0.43
,,2010 - 2011,0.44
,,2011 - 2012,0.39
,,2012 - 2013,0.4
,,2013 - 2014,0.4
,,2014 - 2015,0.4
,,2015 - 2016,0.44
,,2016 - 2017,0.44
,,2017 - 2018,0.44
,,2018 - 2019,0.85
,,2019 - 2020,0.69
,,2020 - 2021,0.67
,,2021 - 2022,0.44
,,2022 - 2023,0.58
,Lunglei,2000 - 2001,1.24
,,2001 - 2002,0.84
,,2002 - 2003,0.85
,,2003 - 2004,0.7
,,2004 - 2005,0.72
,,2005 - 2006,0.57
,,2010 - 2011,0.48
,,2011 - 2012,0.66
,,2012 - 2013,0.74
,,2013 - 2014,0.94
,,2014 - 2015,0.93
,,2015 - 2016,0.88
,,2016 - 2017,0.66
,,2017 - 2018,0.7
,,2018 - 2019,0.86
,,2019 - 2020,1.0
,,2020 - 2021,1.02
,,2021 - 2022,1.13
,,2022 - 2023,1.13
,Mamit,2003 - 2004,0.6
,,2004 - 2005,0.55
,,2005 - 2006,0.64
,,2010 - 2011,0.5
,,2011 - 2012,0.44
,,2012 - 2013,0.5
,,2013 - 2014,0.53
,,2014 - 2015,0.6
,,2015 - 2016,0.54
,,2016 - 2017,0.58
,,2017 - 2018,0.57
,,2018 - 2019,0.53
,,2019 - 2020,0.56
,,2020 - 2021,0.65
,,2021 - 2022,0.4
,,2022 - 2023,0.32
,Saiha,2003 - 2004,0.41
,,2004 - 2005,0.55
,,2005 - 2006,0.71
,,2010 - 2011,0.06
,,2011 - 2012,0.18
,,2012 - 2013,0.2
,,2013 - 2014,0.3
,,2014 - 2015,2.0
,,2015 - 2016,0.75
,,2016 - 2017,0.86
,,2017 - 2018,0.73
,,2018 - 2019,0.86
,,2019 - 2020,0.9
,,2020 - 2021,0.8
,,2021 - 2022,1.0
,,2022 - 2023,0.67
,Saitual,2020 - 2021,0.89
,,2021 - 2022,1.06
,,2022 - 2023,0.8
,Serchhip,2004 - 2005,0.56
,,2010 - 2011,0.33
,,2011 - 2012,0.32
,,2012 - 2013,0.4
,,2013 - 2014,0.31
,,2014 - 2015,0.74
,,2015 - 2016,0.74
,,2016 - 2017,0.74
,,2017 - 2018,0.65
,,2018 - 2019,0.64
,,2019 - 2020,0.65
,,2020 - 2021,0.65
,,2021 - 2022,0.6
,,2022 - 2023,0.6
Nagaland,Chumoukedima,2022 - 2023,0.6
,Dimapur,2000 - 2001,1.13
,,2001 - 2002,
,,2002 - 2003,0.9
,,2003 - 2004,0.98
,,2004 - 2005,0.92
,,2005 - 2006,0.81
,,2006 - 2007,0.65
,,2007 - 2008,0.79
,,2008 - 2009,0.73
,,2009 - 2010,0.49
,,2010 - 2011,0.63
,,2011 - 2012,0.63
,,2012 - 2013,0.63
,,2013 - 2014,0.63
,,2014 - 2015,0.63
,,2015 - 2016,0.64
,,2016 - 2017,0.63
,,2017 - 2018,0.62
,,2018 - 2019,0.62
,,2019 - 2020,0.62
,,2020 - 2021,0.63
,,2021 - 2022,0.45
,,2022 - 2023,0.6
,Kiphire,2008 - 2009,0.5
,,2009 - 2010,0.53
,,2010 - 2011,0.59
,,2011 - 2012,0.59
,,2012 - 2013,0.59
,,2013 - 2014,0.59
,,2014 - 2015,0.59
,,2015 - 2016,0.59
,,2016 - 2017,0.59
,,2017 - 2018,0.61
,,2018 - 2019,0.63
,,2019 - 2020,0.63
,,2020 - 2021,0.63
,,2021 - 2022,1.0
,,2022 - 2023,0.59
,Kohima,2000 - 2001,0.6
,,2001 - 2002,0.71
,,2002 - 2003,0.88
,,2003 - 2004,1.0
,,2004 - 2005,0.43
,,2005 - 2006,0.65
,,2006 - 2007,0.64
,,2007 - 2008,0.6
,,2008 - 2009,0.59
,,2009 - 2010,0.53
,,2010 - 2011,0.65
,,2011 - 2012,0.65
,,2012 - 2013,0.65
,,2013 - 2014,0.65
,,2014 - 2015,0.65
,,2015 - 2016,0.65
,,2016 - 2017,0.62
,,2017 - 2018,0.62
,,2018 - 2019,0.62
,,2019 - 2020,0.62
,,2020 - 2021,0.62
,,2021 - 2022,0.6
,,2022 - 2023,0.63
,Longleng,2008 - 2009,0.45
,,2009 - 2010,0.58
,,2010 - 2011,0.6
,,2011 - 2012,0.6
,,2012 - 2013,0.6
,,2013 - 2014,0.6
,,2014 - 2015,0.6
,,2015 - 2016,0.6
,,2016 - 2017,0.6
,,2017 - 2018,0.6
,,2018 - 2019,0.63
,,2019 - 2020,0.62
,,2020 - 2021,0.63
,,2021 - 2022,0.57
,,2022 - 2023,0.59
,Mokokchung,2000 - 2001,0.68
,,2001 - 2002,
,,2002 - 2003,0.79
,,2003 - 2004,1.27
,,2004 - 2005,0.4
,,2005 - 2006,0.69
,,2006 - 2007,0.64
,,2007 - 2008,0.6
,,2008 - 2009,0.58
,,2009 - 2010,0.51
,,2010 - 2011,0.58
,,2011 - 2012,0.58
,,2012 - 2013,0.58
,,2013 - 2014,0.58
,,2014 - 2015,0.58
,,2015 - 2016,0.58
,,2016 - 2017,0.6
,,2017 - 2018,0.61
,,2018 - 2019,0.61
,,2019 - 2020,0.61
,,2020 - 2021,0.62
,,2021 - 2022,0.48
,,2022 - 2023,0.59
,Mon,2000 - 2001,1.03
,,2001 - 2002,
,,2002 - 2003,1.12
,,2003 - 2004,0.93
,,2004 - 2005,0.25
,,2005 - 2006,0.67
,,2006 - 2007,0.64
,,2007 - 2008,0.54
,,2008 - 2009,0.52
,,2009 - 2010,0.5
,,2010 - 2011,0.63
,,2011 - 2012,0.63
,,2012 - 2013,0.63
,,2013 - 2014,0.63
,,2014 - 2015,0.63
,,2015 - 2016,0.63
,,2016 - 2017,0.63
,,2017 - 2018,0.59
,,2018 - 2019,0.61
,,2019 - 2020,0.61
,,2020 - 2021,0.61
,,2021 - 2022,0.56
,,2022 - 2023,0.6
,Nuiland,2022 - 2023,0.61
,Peren,2008 - 2009,0.66
,,2009 - 2010,0.45
,,2010 - 2011,0.55
,,2011 - 2012,0.56
,,2012 - 2013,0.56
,,2013 - 2014,0.57
,,2014 - 2015,0.57
,,2015 - 2016,0.57
,,2016 - 2017,0.61
,,2017 - 2018,0.61
,,2018 - 2019,0.61
,,2019 - 2020,0.62
,,2020 - 2021,0.62
,,2021 - 2022,0.54
,,2022 - 2023,0.6
,Phek,2000 - 2001,0.8
,,2001 - 2002,0.79
,,2002 - 2003,0.84
,,2003 - 2004,0.91
,,2004 - 2005,0.33
,,2005 - 2006,0.61
,,2006 - 2007,0.66
,,2007 - 2008,0.57
,,2008 - 2009,0.56
,,2009 - 2010,0.52
,,2010 - 2011,0.63
,,2011 - 2012,0.63
,,2012 - 2013,0.63
,,2013 - 2014,0.63
,,2014 - 2015,0.63
,,2015 - 2016,0.63
,,2016 - 2017,0.61
,,2017 - 2018,0.61
,,2018 - 2019,0.59
,,2019 - 2020,0.6
,,2020 - 2021,0.61
,,2021 - 2022,0.5
,,2022 - 2023,0.62
,Shamator,2022 - 2023,0.59
,Tseminyu,2022 - 2023,0.54
,Tuensang,2000 - 2001,0.76
,,2001 - 2002,
,,2002 - 2003,0.96
,,2003 - 2004,0.97
,,2004 - 2005,0.2
,,2005 - 2006,0.67
,,2006 - 2007,0.67
,,2007 - 2008,0.57
,,2008 - 2009,0.62
,,2009 - 2010,0.5
,,2010 - 2011,0.6
,,2011 - 2012,0.6
,,2012 - 2013,0.61
,,2013 - 2014,0.61
,,2014 - 2015,0.61
,,2015 - 2016,0.61
,,2016 - 2017,0.62
,,2017 - 2018,0.62
,,2018 - 2019,0.62
,,2019 - 2020,0.62
,,2020 - 2021,0.63
,,2021 - 2022,0.56
,,2022 - 2023,0.6
,Wokha,2000 - 2001,0.71
,,2001 - 2002,0.76
,,2002 - 2003,0.82
,,2003 - 2004,1.06
,,2004 - 2005,0.43
,,2005 - 2006,0.67
,,2006 - 2007,0.66
,,2007 - 2008,0.6
,,2008 - 2009,0.62
,,2009 - 2010,0.51
,,2010 - 2011,0.54
,,2011 - 2012,0.53
,,2012 - 2013,0.54
,,2013 - 2014,0.55
,,2014 - 2015,0.55
,,2015 - 2016,0.55
,,2016 - 2017,0.56
,,2017 - 2018,0.59
,,2018 - 2019,0.59
,,2019 - 2020,0.59
,,2020 - 2021,0.6
,,2021 - 2022,0.6
,,2022 - 2023,0.61
,Zunheboto,2000 - 2001,0.81
,,2001 - 2002,0.86
,,2002 - 2003,0.94
,,2003 - 2004,1.18
,,2004 - 2005,0.5
,,2005 - 2006,0.66
,,2006 - 2007,0.65
,,2007 - 2008,0.62
,,2008 - 2009,0.5
,,2009 - 2010,0.55
,,2010 - 2011,0.64
,,2011 - 2012,0.64
,,2012 - 2013,0.64
,,2013 - 2014,0.6
,,2014 - 2015,0.6
,,2015 - 2016,0.6
,,2016 - 2017,0.6
,,2017 - 2018,0.6
,,2018 - 2019,0.6
,,2019 - 2020,0.61
,,2020 - 2021,0.61
,,2021 - 2022,0.4
,,2022 - 2023,0.53
Odisha,Anugul,2000 - 2001,0.15
,,2001 - 2002,0.19
,,2002 - 2003,0.14
,,2003 - 2004,0.16
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Balangir,2000 - 2001,0.09
,,2001 - 2002,0.18
,,2002 - 2003,0.09
,,2003 - 2004,0.12
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Baleshwar,2000 - 2001,0.28
,,2001 - 2002,0.28
,,2002 - 2003,0.29
,,2003 - 2004,0.33
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bargarh,2000 - 2001,0.15
,,2001 - 2002,0.17
,,2002 - 2003,0.2
,,2003 - 2004,0.17
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bhadrak,2000 - 2001,0.13
,,2001 - 2002,0.1
,,2002 - 2003,0.32
,,2003 - 2004,0.19
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Boudh,2000 - 2001,0.12
,,2001 - 2002,0.14
,,2002 - 2003,0.08
,,2003 - 2004,0.17
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Cuttack,2000 - 2001,0.35
,,2001 - 2002,0.36
,,2002 - 2003,0.43
,,2003 - 2004,0.27
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Deogarh,2000 - 2001,0.18
,,2001 - 2002,0.3
,,2002 - 2003,0.16
,,2003 - 2004,0.26
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dhenkanal,2000 - 2001,0.09
,,2001 - 2002,0.17
,,2002 - 2003,0.1
,,2003 - 2004,0.2
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gajapati,2000 - 2001,0.23
,,2001 - 2002,0.32
,,2002 - 2003,0.23
,,2003 - 2004,0.22
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ganjam,2000 - 2001,0.14
,,2001 - 2002,0.22
,,2002 - 2003,0.15
,,2003 - 2004,0.16
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jagatsinghapur,2000 - 2001,0.53
