state,district,year,castor_seed_kharif_yield_tonne_per_hectare
,,2010 - 2011,0.91
,,2011 - 2012,
,,2012 - 2013,1.27
,,2013 - 2014,0.38
,,2014 - 2015,0.41
,,2015 - 2016,0.4
,,2016 - 2017,0.44
,,2017 - 2018,0.45
,,2018 - 2019,0.42
,,2019 - 2020,0.4
,,2020 - 2021,0.31
,,2021 - 2022,0.4
,,2022 - 2023,0.3
,Krishnagiri,2004 - 2005,0.34
,,2005 - 2006,0.34
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.3
,,2011 - 2012,
,,2012 - 2013,0.18
,,2013 - 2014,0.3
,,2014 - 2015,0.33
,,2015 - 2016,0.33
,,2016 - 2017,0.32
,,2017 - 2018,0.33
,,2018 - 2019,0.32
,,2019 - 2020,0.33
,,2020 - 2021,0.31
,,2021 - 2022,0.32
,,2022 - 2023,0.31
,Madurai,2000 - 2001,0.21
,,2002 - 2003,0.4
,,2003 - 2004,0.33
,,2004 - 2005,0.32
,,2005 - 2006,0.36
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.78
,,2011 - 2012,
,,2012 - 2013,0.18
,,2013 - 2014,0.3
,,2014 - 2015,0.36
,,2015 - 2016,0.35
,,2016 - 2017,0.38
,,2017 - 2018,0.36
,,2018 - 2019,0.36
,,2019 - 2020,0.4
,,2020 - 2021,0.33
,,2021 - 2022,0.33
,,2022 - 2023,0.3
,Namakkal,2000 - 2001,0.31
,,2002 - 2003,0.3
,,2003 - 2004,0.3
,,2004 - 2005,0.3
,,2005 - 2006,0.3
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.22
,,2011 - 2012,
,,2012 - 2013,0.17
,,2013 - 2014,0.27
,,2014 - 2015,0.3
,,2015 - 2016,0.3
,,2016 - 2017,0.29
,,2017 - 2018,0.3
,,2018 - 2019,0.29
,,2019 - 2020,0.29
,,2020 - 2021,0.31
,,2021 - 2022,0.3
,,2022 - 2023,0.31
,Perambalur,2000 - 2001,0.31
,,2002 - 2003,0.34
,,2003 - 2004,0.34
,,2004 - 2005,0.34
,,2005 - 2006,0.34
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.4
,,2011 - 2012,
,,2012 - 2013,0.1
,,2013 - 2014,0.3
,,2014 - 2015,0.3
,,2015 - 2016,0.29
,,2016 - 2017,0.31
,,2017 - 2018,0.3
,,2018 - 2019,0.3
,,2019 - 2020,0.3
,,2020 - 2021,0.31
,,2021 - 2022,0.31
,,2022 - 2023,0.31
,Pudukkottai,2000 - 2001,0.25
,,2005 - 2006,0.2
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,0.0
,,2014 - 2015,0.17
,,2017 - 2018,1.0
,,2018 - 2019,0.0
,,2019 - 2020,0.0
,,2020 - 2021,0.5
,,2021 - 2022,0.0
,Ramanathapuram,2004 - 2005,0.27
,,2005 - 2006,0.33
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.34
,,2011 - 2012,
,,2012 - 2013,0.0
,,2014 - 2015,0.0
,,2015 - 2016,0.0
,,2016 - 2017,0.0
,,2018 - 2019,0.0
,,2021 - 2022,0.0
,Ranipet,2020 - 2021,0.0
,Salem,2000 - 2001,0.3
,,2002 - 2003,0.3
,,2003 - 2004,0.3
,,2004 - 2005,0.3
,,2005 - 2006,0.3
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.21
,,2011 - 2012,
,,2012 - 2013,0.13
,,2013 - 2014,0.3
,,2014 - 2015,0.3
,,2015 - 2016,0.3
,,2016 - 2017,0.31
,,2017 - 2018,0.31
,,2018 - 2019,0.31
,,2019 - 2020,0.31
,,2020 - 2021,0.31
,,2021 - 2022,0.31
,,2022 - 2023,0.31
,Sivaganga,2004 - 2005,0.25
,,2005 - 2006,0.0
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.0
,,2011 - 2012,
,,2012 - 2013,0.17
,,2013 - 2014,0.33
,,2014 - 2015,0.4
,,2015 - 2016,0.0
,,2016 - 2017,0.33
,,2017 - 2018,0.0
,,2018 - 2019,0.5
,,2019 - 2020,0.0
,,2020 - 2021,0.5
,,2021 - 2022,0.33
,Thanjavur,2003 - 2004,0.4
,,2004 - 2005,0.5
,,2005 - 2006,0.33
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.5
,,2011 - 2012,
,,2012 - 2013,0.0
,,2016 - 2017,0.0
,,2017 - 2018,0.39
,,2019 - 2020,0.0
,,2020 - 2021,0.0
,,2021 - 2022,0.0
,Theni,2000 - 2001,0.31
,,2002 - 2003,0.19
,,2003 - 2004,0.19
,,2004 - 2005,0.18
,,2005 - 2006,0.19
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.21
,,2011 - 2012,
,,2012 - 2013,0.11
,,2013 - 2014,0.45
,,2014 - 2015,0.26
,,2015 - 2016,0.28
,,2016 - 2017,0.33
,,2017 - 2018,0.34
,,2018 - 2019,0.34
,,2019 - 2020,0.3
,,2020 - 2021,0.31
,,2021 - 2022,0.32
,,2022 - 2023,0.31
,Thenkasi,2019 - 2020,0.33
,,2020 - 2021,0.33
,,2021 - 2022,0.27
,,2022 - 2023,0.33
,Thiruvallur,2003 - 2004,0.5
,,2004 - 2005,0.31
,,2005 - 2006,0.2
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.27
,,2011 - 2012,
,,2012 - 2013,0.01
,,2013 - 2014,0.33
,,2014 - 2015,0.5
,,2015 - 2016,0.5
,,2016 - 2017,0.0
,,2017 - 2018,0.28
,,2019 - 2020,0.33
,,2021 - 2022,0.31
,Thiruvarur,2003 - 2004,0.5
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,Thoothukudi,2000 - 2001,0.29
,,2002 - 2003,0.3
,,2003 - 2004,0.29
,,2004 - 2005,0.29
,,2005 - 2006,0.3
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.64
,,2011 - 2012,
,,2012 - 2013,0.0
,,2013 - 2014,0.23
,,2014 - 2015,0.29
,,2015 - 2016,0.3
,,2016 - 2017,0.33
,,2017 - 2018,0.5
,,2018 - 2019,0.2
,,2019 - 2020,0.0
,,2020 - 2021,0.0
,,2021 - 2022,0.27
,,2022 - 2023,0.31
,Tiruchirappalli,2000 - 2001,0.34
,,2002 - 2003,0.33
,,2003 - 2004,0.33
,,2004 - 2005,0.33
,,2005 - 2006,0.33
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.33
,,2011 - 2012,
,,2012 - 2013,0.16
,,2013 - 2014,0.35
,,2014 - 2015,0.36
,,2015 - 2016,0.36
,,2016 - 2017,0.35
,,2017 - 2018,0.38
,,2018 - 2019,0.36
,,2019 - 2020,0.36
,,2020 - 2021,0.31
,,2021 - 2022,0.35
,,2022 - 2023,0.31
,Tirunelveli,2000 - 2001,0.24
,,2002 - 2003,0.24
,,2003 - 2004,0.23
,,2004 - 2005,0.23
,,2005 - 2006,0.23
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.26
,,2011 - 2012,
,,2012 - 2013,0.0
,,2013 - 2014,0.18
,,2014 - 2015,0.29
,,2015 - 2016,0.29
,,2016 - 2017,0.0
,,2017 - 2018,0.0
,,2019 - 2020,0.33
,,2021 - 2022,0.0
,Tirupathur,2019 - 2020,0.31
,,2020 - 2021,0.31
,,2021 - 2022,0.32
,,2022 - 2023,0.31
,Tiruppur,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.28
,,2011 - 2012,
,,2012 - 2013,0.08
,,2013 - 2014,0.3
,,2014 - 2015,0.29
,,2015 - 2016,0.28
,,2016 - 2017,0.29
,,2017 - 2018,0.29
,,2018 - 2019,0.29
,,2019 - 2020,0.28
,,2020 - 2021,0.3
,,2021 - 2022,0.3
,,2022 - 2023,0.32
,Tiruvannamalai,2000 - 2001,0.5
,,2002 - 2003,0.5
,,2003 - 2004,1.0
,,2004 - 2005,0.5
,,2005 - 2006,0.39
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,2.33
,,2011 - 2012,
,,2012 - 2013,0.13
,,2013 - 2014,0.4
,,2015 - 2016,0.43
,,2016 - 2017,0.5
,,2017 - 2018,0.37
,,2020 - 2021,0.5
,,2021 - 2022,0.36
,,2022 - 2023,0.31
,Vellore,2000 - 2001,0.38
,,2002 - 2003,0.37
,,2003 - 2004,0.38
,,2004 - 2005,0.38
,,2005 - 2006,0.37
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.41
,,2011 - 2012,
,,2012 - 2013,0.21
,,2013 - 2014,0.37
,,2014 - 2015,0.37
,,2015 - 2016,0.37
,,2016 - 2017,0.37
,,2017 - 2018,0.38
,,2018 - 2019,0.38
,,2019 - 2020,0.38
,,2020 - 2021,0.33
,,2021 - 2022,0.36
,,2022 - 2023,0.29
,Villupuram,2000 - 2001,0.71
,,2002 - 2003,0.71
,,2003 - 2004,0.67
,,2004 - 2005,0.68
,,2005 - 2006,0.69
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.16
,,2011 - 2012,
,,2012 - 2013,0.19
,,2013 - 2014,0.68
,,2014 - 2015,0.68
,,2015 - 2016,0.68
,,2016 - 2017,0.63
,,2017 - 2018,0.66
,,2018 - 2019,0.65
,,2019 - 2020,1.0
,,2020 - 2021,0.0
,Virudhunagar,2002 - 2003,0.22
,,2003 - 2004,0.19
,,2004 - 2005,0.21
,,2005 - 2006,0.22
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.25
,,2011 - 2012,
,,2012 - 2013,0.22
,,2013 - 2014,0.24
,,2014 - 2015,0.29
,,2015 - 2016,0.0
,,2016 - 2017,0.2
,,2017 - 2018,0.3
,,2018 - 2019,0.21
,,2019 - 2020,0.23
,,2020 - 2021,0.31
,,2021 - 2022,0.24
,,2022 - 2023,0.32
Telangana,Adilabad,2000 - 2001,0.35
,,2001 - 2002,0.29
,,2002 - 2003,0.39
,,2003 - 2004,0.46
,,2004 - 2005,0.38
,,2005 - 2006,0.38
,,2006 - 2007,0.42
,,2008 - 2009,0.47
,,2009 - 2010,0.39
,,2010 - 2011,0.49
,,2011 - 2012,0.39
,,2013 - 2014,0.7
,,2014 - 2015,0.58
,,2015 - 2016,0.36
,,2016 - 2017,0.6
,,2017 - 2018,0.93
,,2018 - 2019,0.78
,,2019 - 2020,1.29
,,2020 - 2021,0.4
,,2021 - 2022,0.5
,,2022 - 2023,0.67
,Bhadradri,2022 - 2023,
,Jagitial,2022 - 2023,1.0
,Jangoan,2016 - 2017,0.59
,,2017 - 2018,1.0
,,2018 - 2019,0.67
,,2019 - 2020,1.3
,,2020 - 2021,0.36
,,2021 - 2022,0.53
,,2022 - 2023,0.75
,Jayashankar,2021 - 2022,
,,2022 - 2023,1.0
,Jogulamba,2016 - 2017,0.6
,,2017 - 2018,1.06
,,2018 - 2019,0.77
,,2019 - 2020,1.23
,,2020 - 2021,0.43
,,2021 - 2022,0.52
,,2022 - 2023,0.9
,Kamareddy,2016 - 2017,0.67
,,2017 - 2018,1.0
,,2019 - 2020,
,,2020 - 2021,0.41
,,2021 - 2022,0.53
,,2022 - 2023,1.0
,Karimnagar,2000 - 2001,0.35
,,2001 - 2002,0.29
,,2002 - 2003,0.39
,,2003 - 2004,0.46
,,2004 - 2005,0.38
,,2005 - 2006,0.38
,,2006 - 2007,0.43
,,2007 - 2008,0.5
,,2008 - 2009,0.47
,,2009 - 2010,0.39
,,2010 - 2011,0.49
,,2011 - 2012,0.39
,,2013 - 2014,0.69
,,2014 - 2015,0.58
,,2015 - 2016,0.36
,,2020 - 2021,0.36
,,2021 - 2022,1.0
,,2022 - 2023,
,Khammam,2000 - 2001,0.38
,,2001 - 2002,0.2
,,2002 - 2003,0.36
,,2003 - 2004,0.46
,,2004 - 2005,0.4
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2020 - 2021,0.5
,,2021 - 2022,
,Komaram bheem asifabad,2016 - 2017,0.59
,,2017 - 2018,0.93
,,2018 - 2019,0.78
,,2019 - 2020,1.31
,,2020 - 2021,0.4
,Mahabubabad,2022 - 2023,0.5
,Mahbubnagar,2000 - 2001,0.38
,,2001 - 2002,0.29
,,2002 - 2003,0.47
,,2003 - 2004,0.47
,,2004 - 2005,0.33
,,2005 - 2006,0.44
,,2006 - 2007,0.46
,,2007 - 2008,0.72
,,2008 - 2009,0.48
,,2009 - 2010,0.42
,,2010 - 2011,0.55
,,2011 - 2012,0.42
,,2012 - 2013,0.53
,,2013 - 2014,0.74
,,2014 - 2015,0.59
,,2015 - 2016,0.36
,,2016 - 2017,0.6
,,2017 - 2018,0.91
,,2018 - 2019,0.72
,,2019 - 2020,0.84
,,2020 - 2021,0.43
,,2021 - 2022,0.4
,,2022 - 2023,0.36
,Mancherial,2020 - 2021,0.4
,Medak,2000 - 2001,0.35
,,2001 - 2002,0.29
,,2002 - 2003,0.39
,,2003 - 2004,0.46
,,2004 - 2005,0.38
,,2005 - 2006,0.38
,,2006 - 2007,0.43
,,2007 - 2008,0.5
,,2008 - 2009,0.46
,,2009 - 2010,0.39
,,2010 - 2011,0.49
,,2011 - 2012,0.39
,,2012 - 2013,1.0
,,2013 - 2014,0.71
,,2014 - 2015,0.58
,,2015 - 2016,0.36
,,2016 - 2017,0.67
,,2018 - 2019,0.75
,,2019 - 2020,1.31
,,2020 - 2021,0.36
,,2021 - 2022,0.55
,,2022 - 2023,0.67
,Medchal,2016 - 2017,0.5
,,2018 - 2019,0.8
,,2019 - 2020,1.25
,,2020 - 2021,0.33
,,2021 - 2022,
,Nagarkurnool,2016 - 2017,0.6
,,2017 - 2018,1.03
,,2018 - 2019,0.46
,,2019 - 2020,1.93
,,2020 - 2021,0.23
,,2021 - 2022,0.59
,,2022 - 2023,0.3
,Nalgonda,2000 - 2001,0.26
,,2001 - 2002,0.28
,,2002 - 2003,0.21
,,2003 - 2004,0.39
,,2004 - 2005,0.38
,,2005 - 2006,0.28
,,2006 - 2007,0.36
,,2007 - 2008,0.51
,,2008 - 2009,0.32
,,2009 - 2010,0.21
,,2010 - 2011,0.22
,,2011 - 2012,0.1
,,2012 - 2013,0.29
,,2013 - 2014,0.23
,,2014 - 2015,0.18
,,2015 - 2016,0.12
,,2016 - 2017,0.24
,,2017 - 2018,
,,2018 - 2019,0.75
,,2019 - 2020,1.31
,,2020 - 2021,0.25
,,2021 - 2022,0.5
,,2022 - 2023,0.67
,Narayanapet,2018 - 2019,0.72
,,2019 - 2020,1.59
,,2020 - 2021,0.4
,,2021 - 2022,0.63
,,2022 - 2023,0.75
,Nirmal,2020 - 2021,0.33
,,2021 - 2022,0.5
,,2022 - 2023,
,Nizamabad,2000 - 2001,0.35
,,2001 - 2002,0.29
,,2002 - 2003,0.39
,,2003 - 2004,0.46
,,2004 - 2005,0.38
,,2005 - 2006,0.38
,,2006 - 2007,0.42
,,2008 - 2009,0.47
,,2009 - 2010,0.33
,,2010 - 2011,0.48
,,2011 - 2012,0.4
,,2013 - 2014,0.7
,,2015 - 2016,0.5
,,2020 - 2021,
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Peddapalli,2022 - 2023,0.5
,Rajanna,2016 - 2017,0.58
,,2017 - 2018,0.92
,,2018 - 2019,
,,2019 - 2020,1.31
,,2020 - 2021,0.36
,,2021 - 2022,0.53
,,2022 - 2023,0.75
,Rangareddi,2000 - 2001,0.36
,,2001 - 2002,0.27
,,2002 - 2003,0.47
,,2003 - 2004,0.53
,,2004 - 2005,0.46
,,2005 - 2006,0.23
,,2006 - 2007,0.33
,,2007 - 2008,0.29
,,2008 - 2009,0.78
,,2009 - 2010,0.28
,,2010 - 2011,0.13
,,2011 - 2012,0.32
,,2012 - 2013,1.0
,,2013 - 2014,0.54
,,2014 - 2015,0.37
,,2015 - 2016,0.51
,,2016 - 2017,0.43
,,2017 - 2018,0.54
,,2018 - 2019,0.48
,,2019 - 2020,0.39
,,2020 - 2021,0.13
,,2021 - 2022,0.0
,,2022 - 2023,0.68
,Sangareddy,2016 - 2017,0.59
,,2017 - 2018,0.95
,,2018 - 2019,0.75
,,2019 - 2020,1.5
,,2020 - 2021,0.36
,,2021 - 2022,0.5
,,2022 - 2023,0.71
,Siddipet,2016 - 2017,0.59
,,2017 - 2018,0.94
,,2018 - 2019,0.75
,,2019 - 2020,1.31
,,2020 - 2021,0.36
,,2021 - 2022,0.55
,,2022 - 2023,0.68
,Suryapet,2016 - 2017,0.5
,,2020 - 2021,0.5
,,2021 - 2022,
,,2022 - 2023,
,Vikarabad,2016 - 2017,0.5
,,2019 - 2020,1.3
,,2020 - 2021,0.37
,,2021 - 2022,0.5
,,2022 - 2023,0.67
,Wanaparthy,2016 - 2017,0.6
,,2017 - 2018,0.94
,,2018 - 2019,0.93
,,2019 - 2020,1.5
,,2020 - 2021,0.3
,,2021 - 2022,0.58
,,2022 - 2023,0.69
,Warangal,2000 - 2001,0.58
,,2001 - 2002,0.62
,,2002 - 2003,0.45
,,2003 - 2004,0.74
,,2004 - 2005,0.97
,,2005 - 2006,0.41
,,2006 - 2007,0.38
,,2007 - 2008,0.33
,,2008 - 2009,0.36
,,2009 - 2010,0.73
,,2010 - 2011,0.41
,,2011 - 2012,0.69
,,2012 - 2013,1.0
,,2013 - 2014,0.54
,,2014 - 2015,0.44
,,2015 - 2016,0.22
,,2019 - 2020,1.0
,,2021 - 2022,1.0
,,2022 - 2023,
,Warangal urban,2020 - 2021,1.0
,,2021 - 2022,0.5
,,2022 - 2023,0.67
,Yadadri,2016 - 2017,0.24
,,2017 - 2018,0.94
,,2018 - 2019,0.75
,,2019 - 2020,1.32
,,2020 - 2021,0.37
,,2021 - 2022,0.57
,,2022 - 2023,0.6
Uttar Pradesh,Bahraich,2000 - 2001,0.67
,Banda,2000 - 2001,0.67
,Firozabad,2000 - 2001,1.0
,Hamirpur,2000 - 2001,0.1
,Jalaun,2000 - 2001,0.67
,Kanpur nagar,2000 - 2001,1.0
,Sitapur,2000 - 2001,0.1
West Bengal,Jhargram,2018 - 2019,0.58
,Medinipur west,2000 - 2001,1.27
,,2001 - 2002,0.91
,,2002 - 2003,0.93
,,2003 - 2004,1.2
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,0.62
,,2009 - 2010,0.58
,,2010 - 2011,0.6
,,2011 - 2012,0.6
,,2012 - 2013,0.6
,,2013 - 2014,0.59
,,2014 - 2015,0.59
,,2015 - 2016,0.61
,,2016 - 2017,0.63
