state,district,year,guar_seed_whole_year_yield_tonne_per_hectare
,Dungarpur,2000 - 2001,0.1
,,2002 - 2003,0.21
,,2003 - 2004,0.0
,,2004 - 2005,0.36
,,2005 - 2006,0.28
,,2006 - 2007,0.03
,,2007 - 2008,1.6
,,2008 - 2009,0.22
,,2009 - 2010,0.13
,,2010 - 2011,0.52
,,2011 - 2012,0.54
,,2012 - 2013,0.39
,,2013 - 2014,0.79
,,2014 - 2015,0.72
,,2015 - 2016,0.53
,,2016 - 2017,0.86
,,2017 - 2018,0.43
,,2018 - 2019,1.0
,,2019 - 2020,0.45
,,2020 - 2021,0.46
,,2021 - 2022,0.42
,,2022 - 2023,0.54
,Ganganagar,2000 - 2001,0.36
,,2001 - 2002,0.34
,,2002 - 2003,0.3
,,2003 - 2004,0.0
,,2004 - 2005,0.33
,,2005 - 2006,0.68
,,2006 - 2007,0.81
,,2007 - 2008,0.81
,,2008 - 2009,0.79
,,2009 - 2010,0.07
,,2010 - 2011,0.9
,,2011 - 2012,1.21
,,2012 - 2013,1.05
,,2013 - 2014,1.09
,,2014 - 2015,1.17
,,2015 - 2016,0.97
,,2016 - 2017,0.75
,,2017 - 2018,0.63
,,2018 - 2019,0.53
,,2019 - 2020,0.66
,,2020 - 2021,0.72
,,2021 - 2022,0.65
,,2022 - 2023,0.83
,Hanumangarh,2000 - 2001,0.36
,,2001 - 2002,0.35
,,2002 - 2003,0.05
,,2003 - 2004,0.0
,,2004 - 2005,0.15
,,2005 - 2006,0.73
,,2006 - 2007,0.27
,,2007 - 2008,0.87
,,2008 - 2009,0.85
,,2009 - 2010,0.37
,,2010 - 2011,0.74
,,2011 - 2012,1.0
,,2012 - 2013,1.15
,,2013 - 2014,0.95
,,2014 - 2015,0.89
,,2015 - 2016,0.38
,,2016 - 2017,0.35
,,2017 - 2018,0.33
,,2018 - 2019,0.34
,,2019 - 2020,0.35
,,2020 - 2021,0.48
,,2021 - 2022,0.6
,,2022 - 2023,0.51
,Jaipur,2000 - 2001,0.08
,,2001 - 2002,0.85
,,2002 - 2003,0.02
,,2003 - 2004,0.0
,,2004 - 2005,0.74
,,2005 - 2006,0.49
,,2006 - 2007,0.8
,,2007 - 2008,0.78
,,2008 - 2009,0.79
,,2009 - 2010,0.26
,,2010 - 2011,0.92
,,2011 - 2012,0.94
,,2012 - 2013,0.81
,,2013 - 2014,1.07
,,2014 - 2015,1.03
,,2015 - 2016,0.75
,,2016 - 2017,1.05
,,2017 - 2018,0.95
,,2018 - 2019,1.0
,,2019 - 2020,1.23
,,2020 - 2021,1.25
,,2021 - 2022,1.18
,,2022 - 2023,1.17
,Jaisalmer,2000 - 2001,0.24
