state,district,year,urad_rabi_yield_tonne_per_hectare
,,2020 - 2021,0.5
,,2021 - 2022,0.66
,,2022 - 2023,0.44
,Kamrup metro,2005 - 2006,0.65
,,2006 - 2007,0.59
,,2007 - 2008,0.53
,,2008 - 2009,0.58
,,2009 - 2010,0.56
,,2010 - 2011,0.56
,,2011 - 2012,0.56
,,2012 - 2013,0.55
,,2013 - 2014,0.58
,,2014 - 2015,0.65
,,2015 - 2016,0.66
,,2016 - 2017,0.67
,,2017 - 2018,0.65
,,2018 - 2019,0.66
,,2019 - 2020,0.6
,,2020 - 2021,0.65
,,2021 - 2022,0.66
,,2022 - 2023,0.67
,Karbi anglong,2001 - 2002,0.55
,,2002 - 2003,0.5
,,2003 - 2004,0.52
,,2004 - 2005,0.58
,,2005 - 2006,0.49
,,2006 - 2007,0.51
,,2007 - 2008,0.53
,,2008 - 2009,0.58
,,2009 - 2010,0.57
,,2010 - 2011,0.56
,,2011 - 2012,0.56
,,2012 - 2013,0.55
,,2013 - 2014,0.58
,,2014 - 2015,0.65
,,2015 - 2016,0.66
,,2016 - 2017,0.68
,,2017 - 2018,0.65
,,2018 - 2019,0.67
,,2019 - 2020,0.6
,,2020 - 2021,0.65
,,2021 - 2022,0.66
,,2022 - 2023,0.67
,Karimganj,2001 - 2002,0.55
,,2002 - 2003,0.5
,,2003 - 2004,0.53
,,2004 - 2005,0.58
,,2005 - 2006,0.49
,,2006 - 2007,0.51
,,2007 - 2008,0.53
,,2008 - 2009,0.59
,,2009 - 2010,0.57
,,2010 - 2011,0.57
,,2011 - 2012,0.55
,,2012 - 2013,0.56
,,2013 - 2014,0.58
,,2014 - 2015,0.64
,,2015 - 2016,0.67
,,2016 - 2017,0.68
,,2017 - 2018,0.65
,,2018 - 2019,0.67
,,2019 - 2020,0.6
,,2020 - 2021,0.65
,,2021 - 2022,0.66
,,2022 - 2023,0.67
,Kokrajhar,2001 - 2002,0.56
,,2002 - 2003,0.5
,,2003 - 2004,0.52
,,2004 - 2005,0.57
,,2005 - 2006,0.49
,,2006 - 2007,0.51
,,2007 - 2008,0.53
,,2008 - 2009,0.48
,,2009 - 2010,0.51
,,2010 - 2011,0.48
,,2011 - 2012,0.57
,,2012 - 2013,0.49
,,2013 - 2014,0.58
,,2014 - 2015,0.7
,,2015 - 2016,0.76
,,2016 - 2017,0.81
,,2017 - 2018,0.64
,,2018 - 2019,0.67
,,2019 - 2020,0.6
,,2020 - 2021,0.65
,,2021 - 2022,0.66
,,2022 - 2023,0.51
,Lakhimpur,2001 - 2002,0.42
,,2002 - 2003,0.49
,,2003 - 2004,0.44
,,2004 - 2005,0.73
,,2005 - 2006,0.4
,,2006 - 2007,0.45
,,2007 - 2008,0.42
,,2008 - 2009,0.71
,,2009 - 2010,0.49
,,2010 - 2011,0.52
,,2011 - 2012,0.53
,,2012 - 2013,0.68
,,2013 - 2014,0.61
,,2014 - 2015,0.76
,,2015 - 2016,0.76
,,2016 - 2017,0.73
,,2017 - 2018,0.62
,,2018 - 2019,0.67
,,2019 - 2020,0.39
,,2020 - 2021,0.64
,,2021 - 2022,0.55
,,2022 - 2023,0.72
,Majuli,2020 - 2021,0.35
,,2021 - 2022,0.56
,,2022 - 2023,0.62
,Marigaon,2001 - 2002,0.54
,,2002 - 2003,0.4
,,2003 - 2004,0.39
,,2004 - 2005,0.32
,,2005 - 2006,0.35
,,2006 - 2007,0.35
,,2007 - 2008,0.71
,,2008 - 2009,0.54
,,2009 - 2010,0.62
,,2010 - 2011,0.48
,,2011 - 2012,0.56
,,2012 - 2013,0.62
,,2013 - 2014,0.61
,,2014 - 2015,0.63
,,2015 - 2016,0.61
,,2016 - 2017,0.54
,,2017 - 2018,0.73
,,2018 - 2019,0.81
,,2019 - 2020,0.73
,,2020 - 2021,0.48
,,2021 - 2022,0.53
,,2022 - 2023,0.63
,Nagaon,2001 - 2002,0.73
,,2002 - 2003,0.54
,,2003 - 2004,0.48
,,2004 - 2005,0.46
,,2005 - 2006,0.55
,,2006 - 2007,0.55
,,2007 - 2008,0.5
,,2008 - 2009,0.66
,,2009 - 2010,0.7
,,2010 - 2011,0.69
,,2011 - 2012,0.63
,,2012 - 2013,0.63
,,2013 - 2014,0.7
