State,District,Year,Wheat,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2015 - 2016,809,"1,369.00",1.69,,,,,,,,,,,,
,,2016 - 2017,809,"1,369.00",1.69,,,,,,,,,,,,
,,2017 - 2018,811,"1,374.00",1.69,,,,,,,,,,,,
,,2018 - 2019,811,"1,374.00",1.69,,,,,,,,,,,,
,,2019 - 2020,811,"1,374.00",1.69,,,,,,,,,,,,
,,2020 - 2021,811,"1,374.00",1.69,,,,,,,,,,,,
,,2021 - 2022,817,"1,384.00",1.69,,,,,,,,,,,,
,,2022 - 2023,818,"1,387.00",1.7,,,,,,,,,,,,
,19. West siang,2000 - 2001,90,125,1.39,,,,,,,,,,,,
,,2001 - 2002,90,130,1.44,,,,,,,,,,,,
,,2002 - 2003,86,126,1.47,,,,,,,,,,,,
,,2003 - 2004,75,96,1.28,,,,,,,,,,,,
,,2004 - 2005,75,84,1.12,,,,,,,,,,,,
,,2005 - 2006,56,62,1.11,,,,,,,,,,,,
,,2006 - 2007,76,95,1.25,,,,,,,,,,,,
,,2007 - 2008,77,96,1.25,,,,,,,,,,,,
,,2008 - 2009,77,96,1.25,,,,,,,,,,,,
,,2009 - 2010,77,96,1.25,,,,,,,,,,,,
,,2010 - 2011,77,97,1.26,,,,,,,,,,,,
,,2011 - 2012,77,107,1.39,,,,,,,,,,,,
3. Assam,1. Baksa,2005 - 2006,"2,159.00","2,457.00",1.14,,,,,,,,,,,,
,,2006 - 2007,"2,853.00","3,230.00",1.13,,,,,,,,,,,,
,,2007 - 2008,"2,419.00","3,320.00",1.37,,,,,,,,,,,,
,,2008 - 2009,"1,728.00","1,291.00",0.75,,,,,,,,,,,,
,,2009 - 2010,"2,333.00","2,536.00",1.09,,,,,,,,,,,,
,,2010 - 2011,868,"1,276.00",1.47,,,,,,,,,,,,
,,2011 - 2012,380,576,1.52,,,,,,,,,,,,
,,2012 - 2013,280,280,1,,,,,,,,,,,,
,,2013 - 2014,350,516,1.47,,,,,,,,,,,,
,,2014 - 2015,312,533,1.71,,,,,,,,,,,,
,,2015 - 2016,291,563,1.93,,,,,,,,,,,,
,,2016 - 2017,280,493,1.76,,,,,,,,,,,,
,,2017 - 2018,280,508,1.81,,,,,,,,,,,,
,,2018 - 2019,280,599,2.14,,,,,,,,,,,,
,,2019 - 2020,250,318,1.27,,,,,,,,,,,,
,,2020 - 2021,230,430,1.87,,,,,,,,,,,,
,,2021 - 2022,210,361,1.72,,,,,,,,,,,,
,,2022 - 2023,189,247,1.31,,,,,,,,,,,,
,2. Barpeta,2000 - 2001,"10,170.00","13,127.00",1.29,,,,,,,,,,,,
,,2001 - 2002,"10,169.00","10,477.00",1.03,,,,,,,,,,,,
,,2002 - 2003,"9,520.00","8,825.00",0.93,,,,,,,,,,,,
,,2003 - 2004,"10,125.00","9,267.00",0.92,,,,,,,,,,,,
,,2004 - 2005,"10,305.00","11,773.00",1.14,,,,,,,,,,,,
,,2005 - 2006,"6,051.00","6,264.00",1.04,,,,,,,,,,,,
