State,District,Year,Peas & beans (Pulses),,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2021 - 2022,,,,9,18,2,,,,,,
,2. Bhiwani,2001 - 2002,,,,9,0,0,,,,,,
,,2002 - 2003,,,,2,0,0,,,,,,
,,2003 - 2004,,,,5,0,0,,,,,,
,,2004 - 2005,,,,1,,0,,,,,,
,,2005 - 2006,,,,48,,0,,,,,,
,,2007 - 2008,,,,30,,0,,,,,,
,,2008 - 2009,,,,22,,0,,,,,,
,,2013 - 2014,350,"2,540.00",7.26,,,,,,,,,
,,2014 - 2015,255,"1,980.00",7.76,,,,,,,,,
,,2015 - 2016,265,"2,135.00",8.06,,,,,,,,,
,,2016 - 2017,255,"2,098.00",8.23,,,,,,,,,
,,2017 - 2018,255,"3,676.00",14.42,,,,,,,,,
,,2018 - 2019,238,"3,346.00",14.06,20,22,1.1,,,,,,
,,2019 - 2020,270,"3,505.00",12.98,12,12,1,,,,,,
,,2020 - 2021,,,,17,17,1,,,,,,
,,2021 - 2022,,,,15,15,1,,,,,,
,3. Charki dadri,2018 - 2019,129,310,2.4,,,,,,,,,
,,2019 - 2020,129,645,5,,,,,,,,,
,,2021 - 2022,,,,217,0,0,,,,,,
,4. Faridabad,2000 - 2001,,,,28,0,0,,,,,,
,,2001 - 2002,,,,9,0,0,,,,,,
,,2002 - 2003,,,,39,0,0,,,,,,
,,2003 - 2004,,,,25,0,0,,,,,,
,,2004 - 2005,,,,27,,0,,,,,,
,,2005 - 2006,,,,16,,0,,,,,,
,,2006 - 2007,,,,8,,0,,,,,,
,,2007 - 2008,,,,8,,0,,,,,,
,,2011 - 2012,,,,8,,0,,,,,,
,,2013 - 2014,20,150,7.5,,,,,,,,,
,,2014 - 2015,20,200,10,,,,,,,,,
,,2015 - 2016,40,320,8,,,,,,,,,
,,2016 - 2017,42,365,8.69,,,,,,,,,
,,2017 - 2018,85,785,9.24,,,,,,,,,
,,2018 - 2019,55,694,12.62,147,160,1.09,,,,,,
,,2019 - 2020,50,770,15.4,2,2,1,,,,,,
,,2020 - 2021,,,,2,2,1,,,,,,
,,2021 - 2022,,,,16,15.2,0.95,,,,,,
,5. Fatehabad,2000 - 2001,,,,54,100,1.85,,,,,,
,,2001 - 2002,,,,33,0,0,,,,,,
,,2002 - 2003,,,,12,0,0,,,,,,
,,2003 - 2004,,,,29,100,3.45,,,,,,
,,2004 - 2005,,,,24,100,4.17,,,,,,
,,2005 - 2006,,,,54,100,1.85,,,,,,
,,2006 - 2007,,,,55,100,1.82,,,,,,
,,2007 - 2008,,,,34,100,2.94,,,,,,
,,2008 - 2009,,,,13,,0,,,,,,
,,2009 - 2010,,,,11,,0,,,,,,
,,2010 - 2011,,,,78,100,1.28,,,,,,
,,2011 - 2012,,,,26,,0,,,,,,
,,2012 - 2013,,,,33,43,1.3,,,,,,
,,2013 - 2014,340,"3,080.00",9.06,100,100,1,,,,,,
,,2014 - 2015,335,"3,315.00",9.9,100,100,1,,,,,,
,,2015 - 2016,340,"2,460.00",7.24,100,200,2,,,,,,
,,2016 - 2017,335,"3,215.00",9.6,200,300,1.5,,,,,,
,,2017 - 2018,375,"3,185.00",8.49,230,300,1.3,,,,,,
,,2018 - 2019,420,"5,620.00",13.38,147,198,1.35,,,,,,
,,2019 - 2020,350,"5,500.00",15.71,110,165,1.5,,,,,,
,,2020 - 2021,,,,311,467,1.5,,,,,,
,,2021 - 2022,,,,229,343.5,1.5,,,,,,
,6. Gurgaon,2000 - 2001,,,,203,100,0.49,,,,,,
,,2010 - 2011,,,,28,,0,,,,,,
,,2013 - 2014,600,"4,075.00",6.79,,,,,,,,,
,,2014 - 2015,650,"5,100.00",7.85,,,,,,,,,
,,2015 - 2016,600,"5,100.00",8.5,,,,,,,,,
,,2016 - 2017,600,"3,947.00",6.58,,,,,,,,,
,,2017 - 2018,"1,400.00","12,000.00",8.57,,,,,,,,,
,,2018 - 2019,380,"7,500.00",19.74,55,61,1.11,,,,,,
,,2019 - 2020,350,"3,500.00",10,,,,,,,,,
,,2020 - 2021,,,,77,73,0.95,,,,,,
,,2021 - 2022,,,,42,39.9,0.95,,,,,,
,7. Hisar,2001 - 2002,,,,128,200,1.56,,,,,,
,,2003 - 2004,,,,2,0,0,,,,,,
,,2005 - 2006,,,,115,100,0.87,,,,,,
,,2006 - 2007,,,,129,200,1.55,,,,,,
,,2007 - 2008,,,,1,,0,,,,,,
,,2008 - 2009,,,,61,100,1.64,,,,,,
,,2009 - 2010,,,,50,100,2,,,,,,
,,2013 - 2014,210,"1,765.00",8.4,,,,,,,,,
,,2014 - 2015,230,"1,400.00",6.09,,,,,,,,,
,,2015 - 2016,200,"1,400.00",7,,,,,,,,,
,,2016 - 2017,205,"3,960.00",19.32,,,,,,,,,
,,2017 - 2018,230,"3,820.00",16.61,,,,,,,,,
,,2018 - 2019,230,"1,770.00",7.7,,,,,,,,,
,,2019 - 2020,355,"3,901.00",10.99,,,,,,,,,
,8. Jhajjar,2000 - 2001,,,,86,100,1.16,,,,,,
,,2001 - 2002,,,,110,100,0.91,,,,,,
,,2002 - 2003,,,,84,100,1.19,,,,,,
,,2003 - 2004,,,,131,100,0.76,,,,,,
,,2004 - 2005,,,,1,,0,,,,,,
,,2005 - 2006,,,,47,,0,,,,,,
,,2006 - 2007,,,,156,200,1.28,,,,,,
,,2007 - 2008,,,,75,100,1.33,,,,,,
,,2011 - 2012,,,,8,,0,,,,,,
,,2012 - 2013,,,,1,1,1,,,,,,
,,2013 - 2014,85,590,6.94,,,,,,,,,
,,2014 - 2015,103,780,7.57,,,,,,,,,
,,2015 - 2016,111,729,6.57,,,,,,,,,
,,2016 - 2017,107,780,7.29,,,,,,,,,
,,2017 - 2018,40,300,7.5,10,10,1,,,,,,
,,2018 - 2019,110,"1,528.00",13.89,,,,,,,,,
,,2019 - 2020,215,"2,890.00",13.44,13,13,1,,,,,,
,,2020 - 2021,,,,13,13,1,,,,,,
,,2021 - 2022,,,,18,18,1,,,,,,
,9. Jind,2001 - 2002,,,,13,0,0,,,,,,
,,2013 - 2014,615,"5,175.00",8.41,,,,,,,,,
,,2014 - 2015,805,"7,558.00",9.39,,,,,,,,,
,,2015 - 2016,655,"6,685.00",10.21,,,,,,,,,
,,2016 - 2017,"1,080.00","7,557.00",7,,,,,,,,,
,,2017 - 2018,728,"8,581.00",11.79,100,120,1.2,,,,,,
,,2018 - 2019,480,"9,075.00",18.91,63,72,1.14,,,,,,
,,2019 - 2020,506,"11,903.00",23.52,83,91,1.1,,,,,,
,,2020 - 2021,,,,83,91,1.1,,,,,,
,,2021 - 2022,,,,51,56.1,1.1,,,,,,
,10. Kaithal,2009 - 2010,,,,251,300,1.2,,,,,,
,,2013 - 2014,550,"3,810.00",6.93,,,,,,,,,
,,2014 - 2015,510,"4,150.00",8.14,,,,,,,,,
,,2015 - 2016,510,"4,080.00",8,,,,,,,,,
,,2016 - 2017,593,"3,716.00",6.27,400,600,1.5,,,,,,
,,2017 - 2018,510,"4,200.00",8.24,250,300,1.2,,,,,,
,,2018 - 2019,540,"5,250.00",9.72,296,323,1.09,,,,,,
,,2019 - 2020,540,"7,680.00",14.22,302,453,1.5,,,,,,
,,2020 - 2021,,,,489,734,1.5,,,,,,
,,2021 - 2022,,,,540,810,1.5,,,,,,
,11. Karnal,2000 - 2001,,,,128,200,1.56,,,,,,
,,2001 - 2002,,,,202,300,1.49,,,,,,
,,2002 - 2003,,,,170,200,1.18,,,,,,
,,2003 - 2004,,,,164,200,1.22,,,,,,
,,2004 - 2005,,,,166,200,1.2,,,,,,
,,2005 - 2006,,,,182,200,1.1,,,,,,
,,2006 - 2007,,,,215,300,1.4,,,,,,
,,2007 - 2008,,,,240,300,1.25,,,,,,
,,2008 - 2009,,,,176,300,1.7,,,,,,
,,2009 - 2010,,,,168,200,1.19,,,,,,
,,2010 - 2011,,,,178,400,2.25,,,,,,
,,2011 - 2012,,,,173,300,1.73,,,,,,
,,2012 - 2013,,,,212,318,1.5,,,,,,
,,2013 - 2014,"2,410.00","16,100.00",6.68,200,300,1.5,,,,,,
,,2014 - 2015,"2,405.00","15,995.00",6.65,100,200,2,,,,,,
,,2015 - 2016,"2,700.00","17,050.00",6.31,200,200,1,,,,,,
,,2016 - 2017,"2,800.00","18,875.00",6.74,200,200,1,,,,,,
,,2017 - 2018,"2,900.00","21,120.00",7.28,130,160,1.23,,,,,,
,,2018 - 2019,"3,200.00","24,750.00",7.73,146,175,1.2,,,,,,
,,2019 - 2020,"3,200.00","32,000.00",10,205,205,1,,,,,,
,,2020 - 2021,,,,205,205,1,,,,,,
,,2021 - 2022,,,,186,186,1,,,,,,
,12. Kurukshetra,2001 - 2002,,,,199,200,1.01,,,,,,
,,2002 - 2003,,,,185,300,1.62,,,,,,
,,2005 - 2006,,,,235,300,1.28,,,,,,
,,2006 - 2007,,,,154,200,1.3,,,,,,
,,2007 - 2008,,,,27,,0,,,,,,
,,2008 - 2009,,,,245,300,1.22,,,,,,
,,2009 - 2010,,,,193,200,1.04,,,,,,
,,2010 - 2011,,,,286,300,1.05,,,,,,
,,2012 - 2013,,,,300,330,1.1,,,,,,
,,2013 - 2014,"2,600.00","15,400.00",5.92,200,300,1.5,,,,,,
,,2014 - 2015,"2,510.00","16,770.00",6.68,200,400,2,,,,,,
,,2015 - 2016,"1,540.00","16,700.00",10.84,400,500,1.25,,,,,,
,,2016 - 2017,"1,030.00","9,825.00",9.54,500,700,1.4,,,,,,
,,2017 - 2018,"1,125.00","10,975.00",9.76,280,400,1.43,,,,,,
,,2018 - 2019,"1,150.00","10,720.00",9.32,528,776,1.47,,,,,,
,,2019 - 2020,"1,100.00","11,520.00",10.47,733,"1,026.00",1.4,,,,,,
,,2020 - 2021,,,,941,"1,317.00",1.4,,,,,,
,,2021 - 2022,,,,380,532,1.4,,,,,,
,13. Mahendragarh,2001 - 2002,,,,40,0,0,,,,,,
,,2002 - 2003,,,,55,0,0,,,,,,
,,2003 - 2004,,,,82,0,0,,,,,,
,,2004 - 2005,,,,60,,0,,,,,,
,,2009 - 2010,,,,155,100,0.65,,,,,,
,,2010 - 2011,,,,519,300,0.58,,,,,,
,,2013 - 2014,435,"3,262.00",7.5,200,100,0.5,,,,,,
,,2014 - 2015,560,"3,000.00",5.36,200,400,2,,,,,,
,,2015 - 2016,480,"3,691.00",7.69,500,700,1.4,,,,,,
,,2016 - 2017,560,"2,436.00",4.35,"1,000.00","1,400.00",1.4,,,,,,
,,2017 - 2018,685,"4,520.00",6.6,160,200,1.25,,,,,,
,,2018 - 2019,617,"1,900.00",3.08,470,611,1.3,,,,,,
,,2019 - 2020,520,"2,800.00",5.38,393,550,1.4,,,,,,
,,2020 - 2021,,,,393,550,1.4,,,,,,
,,2021 - 2022,,,,"1,527.00","2,137.80",1.4,,,,,,
,14. Mewat,2005 - 2006,,,,2,,0,,,,,,
,,2006 - 2007,,,,6,,0,,,,,,
,,2007 - 2008,,,,9,,0,,,,,,
,,2008 - 2009,,,,7,,0,,,,,,
,,2009 - 2010,,,,5,,0,,,,,,
,,2010 - 2011,,,,8,,0,,,,,,
,,2013 - 2014,150,930,6.2,,,,,,,,,
,,2015 - 2016,145,"1,060.00",7.31,,,,,,,,,
,,2016 - 2017,150,"1,180.00",7.87,,,,,,,,,
,,2017 - 2018,250,"2,350.00",9.4,,,,,,,,,
,,2018 - 2019,525,"1,800.00",3.43,607,31,0.05,,,,,,
,,2019 - 2020,564,"5,460.00",9.68,,,,,,,,,
,15. Palwal,2009 - 2010,,,,6,,0,,,,,,
,,2013 - 2014,75,500,6.67,,,,,,,,,
,,2014 - 2015,50,390,7.8,,,,,,,,,
,,2015 - 2016,50,400,8,,,,,,,,,
,,2016 - 2017,53,453,8.55,,,,,,,,,
,,2017 - 2018,350,"3,228.00",9.22,,,,,,,,,
,,2018 - 2019,"1,220.00","11,895.00",9.75,,,,,,,,,
,,2019 - 2020,"1,300.00","11,141.00",8.57,,,,,,,,,
,,2020 - 2021,,,,2,2,1,,,,,,
,16. Panchkula,2001 - 2002,,,,6,0,0,,,,,,
,,2002 - 2003,,,,5,0,0,,,,,,
,,2003 - 2004,,,,5,0,0,,,,,,
,,2004 - 2005,,,,2,,0,,,,,,
,,2005 - 2006,,,,7,,0,,,,,,
,,2007 - 2008,,,,222,200,0.9,,,,,,
,,2009 - 2010,,,,2,,0,,,,,,
,,2011 - 2012,,,,3,,0,,,,,,
,,2012 - 2013,,,,4,5,1.25,,,,,,
,,2013 - 2014,335,"2,207.00",6.59,,,,,,,,,
,,2014 - 2015,280,"1,895.00",6.77,,,,,,,,,
,,2015 - 2016,250,"2,130.00",8.52,,,,,,,,,
,,2016 - 2017,258,"1,818.00",7.05,,,,,,,,,
,,2017 - 2018,245,"2,520.00",10.29,,,,,,,,,
,,2018 - 2019,155,"1,225.00",7.9,1,1,1,,,,,,
,,2019 - 2020,95,940,9.89,,,,,,,,,
,,2021 - 2022,,,,4,0,0,,,,,,
,17. Panipat,2000 - 2001,,,,193,200,1.04,,,,,,
,,2001 - 2002,,,,235,300,1.28,,,,,,
,,2002 - 2003,,,,163,200,1.23,,,,,,
,,2003 - 2004,,,,24,100,4.17,,,,,,
,,2006 - 2007,,,,176,200,1.14,,,,,,
,,2007 - 2008,,,,262,400,1.53,,,,,,
,,2008 - 2009,,,,93,100,1.08,,,,,,
,,2009 - 2010,,,,211,300,1.42,,,,,,
,,2010 - 2011,,,,230,300,1.3,,,,,,
,,2011 - 2012,,,,546,500,0.92,,,,,,
,,2012 - 2013,,,,515,773,1.5,,,,,,
,,2013 - 2014,"1,160.00","8,400.00",7.24,300,500,1.67,,,,,,
,,2014 - 2015,"1,300.00","8,000.00",6.15,100,200,2,,,,,,
,,2015 - 2016,"1,350.00","9,010.00",6.67,400,500,1.25,,,,,,
,,2016 - 2017,"1,288.00","7,945.00",6.17,,,,,,,,,
,,2017 - 2018,"1,500.00","11,564.00",7.71,,,,,,,,,
,,2018 - 2019,600,"12,160.00",20.27,"1,301.00","1,626.00",1.25,,,,,,
,,2019 - 2020,658,"16,174.00",24.58,744,"1,042.00",1.4,,,,,,
,,2020 - 2021,,,,744,"1,042.00",1.4,,,,,,
,,2021 - 2022,,,,508,711.2,1.4,,,,,,
,18. Rewari,2001 - 2002,,,,5,0,0,,,,,,
,,2004 - 2005,,,,12,,0,,,,,,
,,2006 - 2007,,,,20,,0,,,,,,
,,2007 - 2008,,,,27,,0,,,,,,
,,2008 - 2009,,,,224,100,0.45,,,,,,
,,2009 - 2010,,,,489,300,0.61,,,,,,
,,2010 - 2011,,,,"1,612.00",800,0.5,,,,,,
,,2011 - 2012,,,,328,200,0.61,,,,,,
,,2013 - 2014,390,"2,405.00",6.17,,,,,,,,,
,,2014 - 2015,395,"2,875.00",7.28,700,700,1,,,,,,
,,2015 - 2016,360,"2,915.00",8.1,,,,,,,,,
,,2016 - 2017,395,"2,875.00",7.28,"1,200.00","1,200.00",1,,,,,,
,,2017 - 2018,373,"3,717.00",9.97,490,580,1.18,,,,,,
,,2018 - 2019,380,"2,460.00",6.47,316,395,1.25,,,,,,
,,2019 - 2020,375,"3,215.00",8.57,233,233,1,,,,,,
,,2020 - 2021,,,,21,21,1,,,,,,
,,2021 - 2022,,,,832,832,1,,,,,,
,19. Rohtak,2000 - 2001,,,,20,0,0,,,,,,
,,2001 - 2002,,,,21,0,0,,,,,,
,,2009 - 2010,,,,15,,0,,,,,,
,,2010 - 2011,,,,8,,0,,,,,,
,,2013 - 2014,495,"3,375.00",6.82,,,,,,,,,
,,2014 - 2015,78,520,6.67,,,,,,,,,
,,2015 - 2016,306,"3,109.00",10.16,,,,,,,,,
,,2016 - 2017,273,"1,820.00",6.67,,,,,,,,,
,,2017 - 2018,310,"3,400.00",10.97,,,,,,,,,
,,2019 - 2020,130,"1,300.00",10,,,,,,,,,
,20. Sirsa,2006 - 2007,,,,50,,0,,,,,,
,,2007 - 2008,,,,34,,0,,,,,,
,,2009 - 2010,,,,6,,0,,,,,,
,,2010 - 2011,,,,12,,0,,,,,,
,,2013 - 2014,330,"2,350.00",7.12,,,,,,,,,
,,2014 - 2015,377,"2,305.00",6.11,,,,,,,,,
,,2015 - 2016,370,"1,855.00",5.01,,,,,,,,,
,,2016 - 2017,450,"7,327.00",16.28,300,300,1,,,,,,
,,2017 - 2018,305,"4,280.00",14.03,50,60,1.2,,,,,,
,,2018 - 2019,355,"4,295.00",12.1,20,12,0.6,,,,,,
,,2019 - 2020,387,"3,200.00",8.27,17,17,1,,,,,,
,,2020 - 2021,,,,115,115,1,,,,,,
,,2021 - 2022,,,,245,245,1,,,,,,
,21. Sonipat,2000 - 2001,,,,233,300,1.29,,,,,,
,,2002 - 2003,,,,341,400,1.17,,,,,,
,,2003 - 2004,,,,359,500,1.39,,,,,,
,,2004 - 2005,,,,359,500,1.39,,,,,,
,,2005 - 2006,,,,266,400,1.5,,,,,,
,,2007 - 2008,,,,50,100,2,,,,,,
,,2008 - 2009,,,,13,,0,,,,,,
,,2009 - 2010,,,,78,100,1.28,,,,,,
,,2010 - 2011,,,,17,,0,,,,,,
,,2011 - 2012,,,,44,,0,,,,,,
,,2013 - 2014,"2,600.00","21,000.00",8.08,,,,,,,,,
,,2014 - 2015,"2,630.00","18,700.00",7.11,,,,,,,,,
,,2015 - 2016,"2,650.00","17,150.00",6.47,,,,,,,,,
,,2016 - 2017,"2,617.00","13,994.00",5.35,,,,,,,,,
,,2017 - 2018,"3,200.00","24,000.00",7.5,,,,,,,,,
,,2018 - 2019,"3,200.00","25,000.00",7.81,,,,,,,,,
,,2019 - 2020,"1,750.00","35,250.00",20.14,52,52,1,,,,,,
,,2020 - 2021,,,,9,9,1,,,,,,
,22. Yamunanagar,2000 - 2001,,,,21,0,0,,,,,,
,,2002 - 2003,,,,44,100,2.27,,,,,,
,,2003 - 2004,,,,29,0,0,,,,,,
,,2004 - 2005,,,,25,,0,,,,,,
,,2005 - 2006,,,,49,100,2.04,,,,,,
,,2007 - 2008,,,,10,,0,,,,,,
,,2008 - 2009,,,,6,,0,,,,,,
,,2009 - 2010,,,,10,,0,,,,,,
,,2010 - 2011,,,,31,,0,,,,,,
,,2011 - 2012,,,,6,,0,,,,,,
,,2012 - 2013,,,,28,29,1.04,,,,,,
,,2013 - 2014,520,"3,600.00",6.92,,,,,,,,,
,,2014 - 2015,505,"2,600.00",5.15,,,,,,,,,
,,2015 - 2016,490,"4,300.00",8.78,,,,,,,,,
,,2016 - 2017,429,"4,365.00",10.17,,,,,,,,,
,,2017 - 2018,535,"5,450.00",10.19,,,,,,,,,
,,2018 - 2019,500,"6,110.00",12.22,24,29,1.21,,,,,,
,,2019 - 2020,210,"5,950.00",28.33,67,94,1.4,,,,,,
,,2020 - 2021,,,,67,94,1.4,,,,,,
,,2021 - 2022,,,,20,0,0,,,,,,
6. Himachal Pradesh,1. Bilaspur,2000 - 2001,5,4,0.8,,,,,,,,,
,,2001 - 2002,33,31,0.94,,,,,,,,,
,,2002 - 2003,8,1,0.13,,,,,,,,,
,,2005 - 2006,,,,17,15,0.88,,,,,,
,,2006 - 2007,,,,20,9,0.45,,,,,,
,,2007 - 2008,5,7,1.4,,,,,,,,,
,,2008 - 2009,,,,2,,0,,,,,,
,,2009 - 2010,1,1,1,100,150,1.5,,,,,,
,,2010 - 2011,50,65,1.3,150,320,2.13,,,,,,
,,2011 - 2012,45,60,1.33,1,1,1,,,,,,
,,2012 - 2013,58,71,1.22,1,1,1,,,,,,
,,2013 - 2014,44,61,1.39,1,,0,,,,,,
,,2014 - 2015,51,79,1.55,9,,0,,,,,,
,,2015 - 2016,59,87,1.47,4,9,2.25,,,,,,
,,2016 - 2017,,,,1,,0,,,,,,
,,2017 - 2018,,,,4,9,2.25,,,,,,
,,2018 - 2019,,,,4,9,2.25,,,,,,
,,2019 - 2020,,,,5,10,2,,,,,,
,,2020 - 2021,,,,1,1,1,,,,,,
,,2021 - 2022,4,4,1,1,1,1,,,,,,
,2. Chamba,2001 - 2002,193,256,1.33,,,,,,,,,
,,2002 - 2003,11,13,1.18,,,,,,,,,
,,2006 - 2007,,,,27,22,0.81,,,,,,
,,2007 - 2008,48,40,0.83,,,,,,,,,
,,2008 - 2009,,,,86,130,1.51,,,,,,
,,2009 - 2010,6,7,1.17,"1,100.00","1,400.00",1.27,,,,,,
,,2010 - 2011,90,120,1.33,590,"1,845.00",3.13,,,,,,
,,2011 - 2012,85,112,1.32,59,92,1.56,,,,,,
,,2012 - 2013,94,128,1.36,58,241,4.16,,,,,,
,,2013 - 2014,86,119,1.38,2,0.5,0.25,,,,,,
,,2014 - 2015,91,139,1.53,119,69,0.58,,,,,,
,,2015 - 2016,98,134,1.37,53,112,2.11,,,,,,
,,2016 - 2017,,,,56,102,1.82,,,,,,
,,2017 - 2018,,,,53,115,2.17,,,,,,
,,2018 - 2019,,,,53,115,2.17,,,,,,
,,2019 - 2020,,,,55,114,2.07,,,,,,
,,2020 - 2021,781,"2,082.00",2.67,212,555,2.62,,,,,,
,,2021 - 2022,450,"1,168.00",2.6,,,,,,,,,
,,2022 - 2023,618,"1,604.00",2.6,334,876,2.62,,,,,,
,3. Hamirpur,2011 - 2012,65,98,1.51,,,,,,,,,
,,2012 - 2013,68,109,1.6,,,,,,,,,
,,2013 - 2014,61,96,1.57,,,,,,,,,
,,2014 - 2015,64,109,1.7,,,,,,,,,
,,2015 - 2016,69,126,1.83,,,,,,,,,
,4. Kangra,2000 - 2001,31,31,1,,,,,,,,,
,,2001 - 2002,14,24,1.71,,,,,,,,,
,,2002 - 2003,27,37,1.37,,,,,,,,,
,,2005 - 2006,,,,15,16,1.07,,,,,,
,,2006 - 2007,,,,36,56,1.56,,,,,,
,,2007 - 2008,25,41,1.64,,,,,,,,,
,,2008 - 2009,,,,26,35,1.35,,,,,,
,,2009 - 2010,2,1,0.5,400,550,1.38,,,,,,
,,2010 - 2011,105,135,1.29,"2,150.00","2,290.00",1.07,,,,,,
,,2011 - 2012,101,131,1.3,20,16,0.8,,,,,,
,,2012 - 2013,109,144,1.32,68,128,1.88,,,,,,
,,2013 - 2014,101,134,1.33,7,2,0.29,,,,,,
,,2014 - 2015,102,127,1.25,57,21,0.37,,,,,,
,,2015 - 2016,117,132,1.13,19,45,2.37,,,,,,
,,2016 - 2017,,,,19,20,1.05,,,,,,
,,2017 - 2018,,,,19,44,2.32,,,,,,
,,2018 - 2019,,,,19,44,2.32,,,,,,
,,2019 - 2020,,,,20,42,2.1,,,,,,
,5. Kinnaur,2000 - 2001,494,259,0.52,,,,,,,,,
,,2001 - 2002,521,273,0.52,,,,,,,,,
,,2002 - 2003,650,306,0.47,,,,,,,,,
,,2005 - 2006,,,,662,410,0.62,,,,,,
,,2006 - 2007,,,,561,357,0.64,,,,,,
,,2007 - 2008,709,451,0.64,,,,,,,,,
,,2008 - 2009,308,195,0.63,606,385,0.64,,,,,,
,,2009 - 2010,51,16,0.31,510,600,1.18,,,,,,
,,2010 - 2011,105,142,1.35,358,510,1.42,,,,,,
,,2011 - 2012,107,153,1.43,78,88,1.13,,,,,,
,,2012 - 2013,103,151,1.47,45,42,0.93,,,,,,
,,2013 - 2014,101,140,1.39,,,,,,,,,
,,2014 - 2015,118,139,1.18,,,,,,,,,
,,2015 - 2016,114,139,1.22,378,805,2.13,,,,,,
,,2016 - 2017,175,153,0.87,471,251,0.53,,,,,,
,,2017 - 2018,,,,378,800,2.12,,,,,,
,,2018 - 2019,,,,358,758,2.12,,,,,,
,,2019 - 2020,,,,360,713,1.98,,,,,,
,,2020 - 2021,212,848,4,714,"2,577.00",3.61,,,,,,
,,2021 - 2022,119,476,4,685,"2,417.00",3.53,,,,,,
,,2022 - 2023,231,924,4,695,"2,494.00",3.59,,,,,,
,6. Kullu,2000 - 2001,459,366,0.8,,,,,,,,,
,,2001 - 2002,464,431,0.93,,,,,,,,,
,,2002 - 2003,331,189,0.57,,,,,,,,,
,,2005 - 2006,,,,585,703,1.2,,,,,,
,,2006 - 2007,,,,275,344,1.25,,,,,,
,,2007 - 2008,455,667,1.47,,,,,,,,,
,,2008 - 2009,90,110,1.22,452,255,0.56,,,,,,
,,2009 - 2010,322,56,0.17,"1,790.00","2,150.00",1.2,,,,,,
,,2010 - 2011,104,150,1.44,"3,184.00","4,056.00",1.27,,,,,,
,,2011 - 2012,107,148,1.38,158,284,1.8,,,,,,
,,2012 - 2013,108,157,1.45,19,21,1.11,,,,,,
,,2013 - 2014,100,146,1.46,,,,,,,,,
,,2014 - 2015,111,139,1.25,,,,,,,,,
,,2015 - 2016,109,147,1.35,205,425,2.07,,,,,,
,,2016 - 2017,74,91,1.23,374,158,0.42,,,,,,
,,2017 - 2018,,,,205,405,1.98,,,,,,
,,2018 - 2019,,,,205,405,1.98,,,,,,
,,2019 - 2020,,,,208,410,1.97,,,,,,
,,2020 - 2021,52,133,2.56,,,,,,,,,
,,2021 - 2022,52,133,2.56,860,"2,240.00",2.6,,,,,,
,,2022 - 2023,41,105,2.56,891,0,0,,,,,,
,7. Lahul and spiti,2000 - 2001,"1,598.00","8,842.00",5.53,,,,,,,,,
,,2001 - 2002,"1,497.00","8,116.00",5.42,,,,,,,,,
,,2002 - 2003,"1,497.00","8,117.00",5.42,,,,,,,,,
,,2005 - 2006,,,,"1,560.00","8,579.00",5.5,,,,,,
,,2006 - 2007,,,,"1,567.00","8,702.00",5.55,,,,,,
,,2007 - 2008,"1,535.00","8,524.00",5.55,,,,,,,,,
,,2008 - 2009,,,,"1,574.00","8,740.00",5.55,,,,,,
,,2009 - 2010,16,18,1.13,160,310,1.94,,,,,,
,,2010 - 2011,136,200,1.47,"1,436.00","8,593.00",5.98,,,,,,
,,2011 - 2012,132,192,1.45,118,215,1.82,,,,,,
,,2012 - 2013,141,189,1.34,"1,407.00","2,838.00",2.02,,,,,,
,,2013 - 2014,132,204,1.55,6,2,0.33,,,,,,
,,2014 - 2015,147,187,1.27,378,137,0.36,,,,,,
,,2015 - 2016,129,191,1.48,363,807,2.22,,,,,,
,,2016 - 2017,,,,"1,349.00","8,072.00",5.98,,,,,,
,,2017 - 2018,,,,363,807,2.22,,,,,,
,,2018 - 2019,,,,388,900,2.32,,,,,,
,,2019 - 2020,,,,398,923,2.32,,,,,,
,,2020 - 2021,994,"3,976.00",4,,,,,,,,,
,8. Mandi,2000 - 2001,156,129,0.83,,,,,,,,,
,,2002 - 2003,330,307,0.93,,,,,,,,,
,,2006 - 2007,,,,"3,201.00","6,258.00",1.96,,,,,,
,,2007 - 2008,"3,593.00","7,024.00",1.95,,,,,,,,,
,,2008 - 2009,,,,"3,319.00","1,038.00",0.31,,,,,,
,,2009 - 2010,39,43,1.1,390,480,1.23,,,,,,
,,2010 - 2011,110,152,1.38,780,812,1.04,,,,,,
,,2011 - 2012,112,157,1.4,268,387,1.44,,,,,,
,,2012 - 2013,112,157,1.4,120,210,1.75,,,,,,
,,2013 - 2014,106,150,1.42,,,,,,,,,
,,2014 - 2015,108,149,1.38,565,120,0.21,,,,,,
,,2015 - 2016,119,149,1.25,523,"1,207.00",2.31,,,,,,
,,2016 - 2017,,,,"2,991.00",863,0.29,,,,,,
,,2017 - 2018,,,,523,"1,070.00",2.05,,,,,,
,,2018 - 2019,,,,605,"1,230.00",2.03,,,,,,
,,2019 - 2020,,,,604,"1,184.00",1.96,,,,,,
,,2020 - 2021,,,,"5,945.00","11,749.00",1.98,,,,,,
