State,District,Year,Peas & beans (Pulses),,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2016 - 2017,,,,312,316,1.01,,,,,,
,,2017 - 2018,,,,460,292,0.63,,,,,,
,,2018 - 2019,,,,326,207,0.63,,,,,,
,,2019 - 2020,,,,339,392,1.16,,,,,,
,,2020 - 2021,,,,330,227,0.69,,,,,,
,,2021 - 2022,,,,325,302,0.93,,,,,,
,,2022 - 2023,,,,350,420,1.2,,,,,,
,8. Darrang,2001 - 2002,,,,"1,535.00",894,0.58,,,,,,
,,2002 - 2003,,,,"1,525.00",893,0.59,,,,,,
,,2003 - 2004,,,,"1,841.00","1,113.00",0.6,,,,,,
,,2004 - 2005,,,,"1,402.00",872,0.62,,,,,,
,,2005 - 2006,,,,625,444,0.71,,,,,,
,,2006 - 2007,,,,397,282,0.71,,,,,,
,,2007 - 2008,,,,932,662,0.71,,,,,,
,,2008 - 2009,,,,"1,313.00",932,0.71,,,,,,
,,2009 - 2010,,,,"1,343.00",954,0.71,,,,,,
,,2010 - 2011,,,,"1,949.00","1,384.00",0.71,,,,,,
,,2011 - 2012,,,,"2,049.00","1,508.00",0.74,,,,,,
,,2012 - 2013,,,,"2,072.00","1,602.00",0.77,,,,,,
,,2013 - 2014,,,,"2,179.00","5,556.00",2.55,,,,,,
,,2014 - 2015,,,,"2,153.00","2,263.00",1.05,,,,,,
,,2015 - 2016,,,,"2,058.00","2,459.00",1.19,,,,,,
,,2016 - 2017,,,,"2,205.00","2,635.00",1.2,,,,,,
,,2017 - 2018,,,,"2,139.00","2,622.00",1.23,,,,,,
,,2018 - 2019,,,,"1,940.00","2,386.00",1.23,,,,,,
,,2019 - 2020,,,,"1,933.00","1,486.00",0.77,,,,,,
,,2020 - 2021,,,,"1,951.00","2,400.00",1.23,,,,,,
,,2021 - 2022,,,,"1,936.00","2,284.00",1.18,,,,,,
,,2022 - 2023,,,,"1,945.00","2,529.00",1.3,,,,,,
,9. Dhemaji,2001 - 2002,,,,225,144,0.64,,,,,,
,,2002 - 2003,,,,220,141,0.64,,,,,,
,,2003 - 2004,,,,331,209,0.63,,,,,,
,,2004 - 2005,,,,230,147,0.64,,,,,,
,,2005 - 2006,,,,283,179,0.63,,,,,,
,,2006 - 2007,,,,270,171,0.63,,,,,,
,,2007 - 2008,,,,620,406,0.65,,,,,,
,,2008 - 2009,,,,650,427,0.66,,,,,,
,,2009 - 2010,,,,471,283,0.6,,,,,,
,,2010 - 2011,,,,474,301,0.64,,,,,,
,,2011 - 2012,,,,340,214,0.63,,,,,,
,,2012 - 2013,,,,"1,690.00","1,018.00",0.6,,,,,,
,,2013 - 2014,,,,"2,223.00","1,535.00",0.69,,,,,,
,,2014 - 2015,,,,"1,914.00","1,832.00",0.96,,,,,,
,,2015 - 2016,,,,599,517,0.86,,,,,,
,,2016 - 2017,,,,630,542,0.86,,,,,,
,,2017 - 2018,,,,659,564,0.86,,,,,,
,,2018 - 2019,,,,681,953,1.4,,,,,,
,,2019 - 2020,,,,618,526,0.85,,,,,,
,,2020 - 2021,,,,600,635,1.06,,,,,,
,,2021 - 2022,,,,600,622,1.04,,,,,,
,,2022 - 2023,,,,554,394,0.71,,,,,,
,10. Dhubri,2001 - 2002,,,,470,361,0.77,,,,,,
,,2002 - 2003,,,,490,375,0.77,,,,,,
,,2003 - 2004,,,,485,372,0.77,,,,,,
,,2004 - 2005,,,,435,334,0.77,,,,,,
,,2005 - 2006,,,,322,247,0.77,,,,,,
,,2006 - 2007,,,,410,314,0.77,,,,,,
,,2007 - 2008,,,,503,386,0.77,,,,,,
,,2008 - 2009,,,,425,326,0.77,,,,,,
,,2009 - 2010,,,,429,329,0.77,,,,,,
,,2010 - 2011,,,,480,368,0.77,,,,,,
,,2011 - 2012,,,,410,326,0.8,,,,,,
,,2012 - 2013,,,,361,296,0.82,,,,,,
,,2013 - 2014,,,,338,287,0.85,,,,,,
,,2014 - 2015,,,,369,411,1.11,,,,,,
,,2015 - 2016,,,,626,693,1.11,,,,,,
,,2016 - 2017,,,,668,612,0.92,,,,,,
,,2017 - 2018,,,,554,505,0.91,,,,,,
,,2018 - 2019,,,,624,576,0.92,,,,,,
,,2019 - 2020,,,,666,616,0.92,,,,,,
,,2020 - 2021,,,,590,550,0.93,,,,,,
,,2021 - 2022,,,,590,550,0.93,,,,,,
,,2022 - 2023,,,,"1,170.00","1,095.00",0.94,,,,,,
,11. Dibrugarh,2001 - 2002,,,,"1,675.00",573,0.34,,,,,,
,,2002 - 2003,,,,"1,673.00",572,0.34,,,,,,
,,2003 - 2004,,,,"1,446.00",495,0.34,,,,,,
,,2004 - 2005,,,,"1,400.00",479,0.34,,,,,,
,,2005 - 2006,,,,194,66,0.34,,,,,,
,,2006 - 2007,,,,222,76,0.34,,,,,,
,,2007 - 2008,,,,467,160,0.34,,,,,,
,,2008 - 2009,,,,276,94,0.34,,,,,,
,,2009 - 2010,,,,428,146,0.34,,,,,,
,,2010 - 2011,,,,468,160,0.34,,,,,,
,,2011 - 2012,,,,540,191,0.35,,,,,,
,,2012 - 2013,,,,"1,085.00",390,0.36,,,,,,
,,2013 - 2014,,,,"1,100.00",627,0.57,,,,,,
,,2014 - 2015,,,,"1,044.00",509,0.49,,,,,,
,,2015 - 2016,,,,"1,101.00",672,0.61,,,,,,
,,2016 - 2017,,,,"1,128.00",688,0.61,,,,,,
,,2017 - 2018,,,,"1,091.00",666,0.61,,,,,,
,,2018 - 2019,,,,"1,060.00",806,0.76,,,,,,
,,2019 - 2020,,,,"1,000.00",799,0.8,,,,,,
,,2020 - 2021,,,,998,783,0.78,,,,,,
,,2021 - 2022,,,,856,347,0.41,,,,,,
,,2022 - 2023,,,,878,536,0.61,,,,,,
,12. Dima hasao,2001 - 2002,,,,128,64,0.5,,,,,,
,,2002 - 2003,,,,126,59,0.47,,,,,,
,,2003 - 2004,,,,126,62,0.49,,,,,,
,,2004 - 2005,,,,129,63,0.49,,,,,,
,,2005 - 2006,,,,129,62,0.48,,,,,,
,,2006 - 2007,,,,261,127,0.49,,,,,,
,,2007 - 2008,,,,261,127,0.49,,,,,,
,,2008 - 2009,,,,260,126,0.48,,,,,,
,,2009 - 2010,,,,268,131,0.49,,,,,,
,,2010 - 2011,,,,284,138,0.49,,,,,,
,,2011 - 2012,,,,770,389,0.51,,,,,,
,,2012 - 2013,,,,478,244,0.51,,,,,,
,,2013 - 2014,,,,597,333,0.56,,,,,,
,,2014 - 2015,,,,462,321,0.69,,,,,,
,,2015 - 2016,,,,488,238,0.49,,,,,,
,,2016 - 2017,,,,516,252,0.49,,,,,,
,,2017 - 2018,,,,492,223,0.45,,,,,,
,,2018 - 2019,,,,499,244,0.49,,,,,,
,,2019 - 2020,,,,578,460,0.8,,,,,,
,,2020 - 2021,,,,578,282,0.49,,,,,,
,,2021 - 2022,,,,570,278,0.49,,,,,,
,,2022 - 2023,,,,570,278,0.49,,,,,,
,13. Goalpara,2001 - 2002,,,,270,139,0.51,,,,,,
,,2002 - 2003,,,,248,132,0.53,,,,,,
,,2003 - 2004,,,,251,130,0.52,,,,,,
,,2004 - 2005,,,,223,116,0.52,,,,,,
,,2005 - 2006,,,,226,118,0.52,,,,,,
,,2006 - 2007,,,,150,78,0.52,,,,,,
,,2007 - 2008,,,,210,109,0.52,,,,,,
,,2008 - 2009,,,,350,183,0.52,,,,,,
,,2009 - 2010,,,,378,197,0.52,,,,,,
,,2010 - 2011,,,,450,234,0.52,,,,,,
,,2011 - 2012,,,,470,252,0.54,,,,,,
,,2012 - 2013,,,,480,263,0.55,,,,,,
,,2013 - 2014,,,,520,520,1,,,,,,
,,2014 - 2015,,,,650,483,0.74,,,,,,
,,2015 - 2016,,,,"1,012.00",767,0.76,,,,,,
,,2016 - 2017,,,,"1,568.00","1,129.00",0.72,,,,,,
,,2017 - 2018,,,,"1,511.00","1,058.00",0.7,,,,,,
,,2018 - 2019,,,,"1,625.00","1,138.00",0.7,,,,,,
,,2019 - 2020,,,,"1,501.00","1,492.00",0.99,,,,,,
,,2020 - 2021,,,,"1,489.00","1,050.00",0.71,,,,,,
,,2021 - 2022,,,,"1,505.00","1,106.00",0.73,,,,,,
,,2022 - 2023,,,,"1,537.00","1,207.00",0.79,,,,,,
,14. Golaghat,2001 - 2002,,,,"1,105.00",960,0.87,,,,,,
,,2002 - 2003,,,,"1,103.00",958,0.87,,,,,,
,,2003 - 2004,,,,"1,076.00",935,0.87,,,,,,
,,2004 - 2005,,,,"1,028.00",894,0.87,,,,,,
,,2005 - 2006,,,,"1,059.00",920,0.87,,,,,,
,,2006 - 2007,,,,945,821,0.87,,,,,,
,,2007 - 2008,,,,997,866,0.87,,,,,,
,,2008 - 2009,,,,888,789,0.89,,,,,,
,,2009 - 2010,,,,"1,195.00","1,046.00",0.88,,,,,,
,,2010 - 2011,,,,"1,038.00",910,0.88,,,,,,
,,2011 - 2012,,,,"1,024.00",928,0.91,,,,,,
,,2012 - 2013,,,,"1,075.00","1,013.00",0.94,,,,,,
,,2013 - 2014,,,,"1,101.00","1,044.00",0.95,,,,,,
,,2014 - 2015,,,,983,"1,259.00",1.28,,,,,,
,,2015 - 2016,,,,973,907,0.93,,,,,,
,,2016 - 2017,,,,885,837,0.95,,,,,,
,,2017 - 2018,,,,880,858,0.98,,,,,,
,,2018 - 2019,,,,876,853,0.97,,,,,,
,,2019 - 2020,,,,814,969,1.19,,,,,,
,,2020 - 2021,,,,816,740,0.91,,,,,,
,,2021 - 2022,,,,913,827,0.91,,,,,,
,,2022 - 2023,,,,911,830,0.91,,,,,,
,15. Hailakandi,2001 - 2002,,,,350,200,0.57,,,,,,
