State,District,Year,Horse-gram,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Whole Year,,,Winter,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2008 - 2009,,,,,,,,,,,,,"3,850.00",931.7,0.24
,,2009 - 2010,,,,,,,,,,,,,"4,443.00","1,404.00",0.32
,,2010 - 2011,,,,,,,,,,,,,"4,450.00","1,308.30",0.29
,,2011 - 2012,,,,,,,,,,,,,"3,886.00","1,049.20",0.27
,,2012 - 2013,,,,,,,,,,,,,"2,927.00",992.3,0.34
,,2013 - 2014,,,,,,,,,,,,,"2,157.00",722.6,0.34
,,2014 - 2015,,,,,,,,,,,,,"2,229.00",822.5,0.37
,,2015 - 2016,,,,,,,,,,,,,"1,344.00",458.3,0.34
,,2016 - 2017,,,,,,,,,,,,,"1,210.00",492.5,0.41
,,2017 - 2018,,,,,,,,,,,,,"1,319.00",530.2,0.4
,,2018 - 2019,,,,,,,,,,,,,"1,215.00",465.3,0.38
,,2019 - 2020,,,,,,,,,,,,,480,186.7,0.39
,,2020 - 2021,,,,,,,,,,,,,569,250.9,0.44
,,2021 - 2022,,,,,,,,,,,,,955,399.2,0.42
,,2022 - 2023,,,,,,,,,,,,,"1,124.00",482.2,0.43
,2. Balangir,2000 - 2001,,,,"15,588.00","2,307.00",0.15,,,,,,,,,
,,2001 - 2002,,,,"22,883.00","6,223.00",0.27,,,,,,,,,
,,2002 - 2003,,,,"17,138.00","1,885.20",0.11,,,,,,,,,
,,2003 - 2004,,,,"19,545.00","4,475.80",0.23,,,,,,,,,
,,2004 - 2005,,,,,,,,,,,,,"19,957.00","4,949.30",0.25
,,2005 - 2006,,,,,,,,,,,,,"14,144.00","3,776.40",0.27
,,2006 - 2007,,,,,,,,,,,,,"15,203.00","3,481.50",0.23
,,2007 - 2008,,,,,,,,,,,,,"14,091.00","3,128.20",0.22
,,2008 - 2009,,,,,,,,,,,,,"9,960.00","2,390.40",0.24
,,2009 - 2010,,,,,,,,,,,,,"11,866.00","3,144.50",0.27
,,2010 - 2011,,,,,,,,,,,,,"11,661.00","4,151.30",0.36
,,2011 - 2012,,,,,,,,,,,,,"6,766.00","1,123.20",0.17
,,2012 - 2013,,,,,,,,,,,,,"8,778.00","3,669.20",0.42
,,2013 - 2014,,,,,,,,,,,,,"6,782.00","2,841.70",0.42
,,2014 - 2015,,,,,,,,,,,,,"6,367.00","2,203.00",0.35
,,2015 - 2016,,,,,,,,,,,,,"5,646.00","1,484.90",0.26
,,2016 - 2017,,,,,,,,,,,,,"3,028.00","1,429.20",0.47
,,2017 - 2018,,,,,,,,,,,,,"1,300.00",427.7,0.33
,,2018 - 2019,,,,,,,,,,,,,"1,636.00",433.5,0.26
,,2019 - 2020,,,,,,,,,,,,,"1,938.00",542.6,0.28
,,2020 - 2021,,,,,,,,,,,,,"2,284.00",906.7,0.4
,,2021 - 2022,,,,,,,,,,,,,"8,538.00","3,244.40",0.38
,,2022 - 2023,,,,,,,,,,,,,"3,328.00","1,271.30",0.38
,3. Baleshwar,2002 - 2003,,,,2,1,0.5,,,,,,,,,
,,2004 - 2005,,,,,,,,,,,,,2,2,1
,,2005 - 2006,,,,,,,1,0.2,0.2,,,,40,16.4,0.41
,,2006 - 2007,,,,,,,1,0.2,0.2,,,,2,0.7,0.35
,,2007 - 2008,,,,,,,1,0.1,0.1,,,,12,4.8,0.4
,,2008 - 2009,,,,,,,,,,,,,1,0.5,0.5
,,2009 - 2010,,,,,,,,,,,,,7,3.6,0.51
,,2010 - 2011,,,,,,,,,,,,,42,13.9,0.33
,,2012 - 2013,,,,,,,,,,,,,2,1.1,0.55
,,2013 - 2014,,,,,,,,,,,,,1,0.2,0.2
,,2014 - 2015,,,,,,,,,,,,,1,0.2,0.2
,,2015 - 2016,,,,,,,,,,,,,1,2,2
,4. Bargarh,2000 - 2001,,,,832,111.5,0.13,,,,,,,,,
,,2001 - 2002,,,,"1,198.00",370.2,0.31,,,,,,,,,
,,2002 - 2003,,,,"1,218.00",227.8,0.19,,,,,,,,,
,,2003 - 2004,,,,"1,349.00",460,0.34,,,,,,,,,
,,2004 - 2005,,,,,,,,,,,,,"1,303.00",398.7,0.31
,,2005 - 2006,,,,,,,,,,,,,"1,049.00",375.5,0.36
,,2006 - 2007,,,,,,,,,,,,,"1,094.00",333.7,0.31
,,2007 - 2008,,,,,,,,,,,,,"1,120.00",312.5,0.28
,,2008 - 2009,,,,,,,,,,,,,"1,057.00",327.7,0.31
,,2009 - 2010,,,,,,,,,,,,,"1,519.00",531.7,0.35
,,2010 - 2011,,,,,,,,,,,,,"1,348.00",492,0.36
,,2011 - 2012,,,,,,,,,,,,,876,266.3,0.3
,,2012 - 2013,,,,,,,,,,,,,"1,232.00",412.7,0.33
,,2013 - 2014,,,,,,,,,,,,,"1,019.00",321,0.32
,,2014 - 2015,,,,,,,,,,,,,770,217.9,0.28
,,2015 - 2016,,,,,,,,,,,,,547,151,0.28
,,2016 - 2017,,,,,,,,,,,,,331,104.6,0.32
,,2017 - 2018,,,,,,,,,,,,,185,62,0.34
,,2018 - 2019,,,,,,,,,,,,,350,117.3,0.34
,,2019 - 2020,,,,,,,,,,,,,300,81,0.27
,,2020 - 2021,,,,,,,,,,,,,355,111.1,0.31
,,2021 - 2022,,,,,,,,,,,,,274,72.9,0.27
,,2022 - 2023,,,,,,,,,,,,,357,126.7,0.35
,5. Bhadrak,2000 - 2001,,,,7,3.6,0.51,,,,,,,,,
,,2001 - 2002,,,,14,3.4,0.24,,,,,,,,,
,,2002 - 2003,,,,33,5.3,0.16,,,,,,,,,
,,2003 - 2004,,,,3,0.7,0.23,,,,,,,,,
,,2004 - 2005,,,,,,,,,,,,,1,0.3,0.3
,,2005 - 2006,,,,,,,,,,,,,3,0.8,0.27
,,2006 - 2007,,,,,,,,,,,,,4,0.8,0.2
,,2007 - 2008,,,,,,,,,,,,,7,1.6,0.23
,,2008 - 2009,,,,,,,,,,,,,4,2,0.5
,,2009 - 2010,,,,,,,,,,,,,16,4,0.25
,,2010 - 2011,,,,,,,2,0.7,0.35,,,,,,
,,2011 - 2012,,,,,,,,,,,,,46,6.5,0.14
,,2013 - 2014,,,,,,,1,0.2,0.2,,,,,,
,,2018 - 2019,,,,,,,,,,,,,3,2.7,0.9
,,2019 - 2020,,,,,,,,,,,,,8,11,1.38
,,2020 - 2021,,,,,,,3,0.9,0.3,,,,1,0.3,0.3
,,2021 - 2022,,,,,,,,,,,,,59,27.9,0.47
,6. Boudh,2000 - 2001,,,,"3,939.00",689.3,0.17,,,,,,,,,
,,2001 - 2002,,,,"3,615.00",907.4,0.25,,,,,,,,,
,,2002 - 2003,,,,"3,410.00",600.2,0.18,,,,,,,,,
,,2003 - 2004,,,,"4,512.00","1,678.50",0.37,,,,,,,,,
,,2004 - 2005,,,,,,,,,,,,,"3,701.00","1,025.20",0.28
,,2005 - 2006,,,,,,,6,1.3,0.22,,,,"3,047.00",789.2,0.26
,,2006 - 2007,,,,,,,3,1.1,0.37,,,,"3,634.00",963,0.26
,,2007 - 2008,,,,,,,,,,,,,"3,360.00",880.3,0.26
,,2008 - 2009,,,,,,,,,,,,,"3,021.00",764.3,0.25
,,2009 - 2010,,,,,,,,,,,,,"2,928.00",819.8,0.28
,,2010 - 2011,,,,,,,,,,,,,"3,716.00",791.5,0.21
,,2011 - 2012,,,,,,,,,,,,,"1,540.00",254.1,0.17
,,2012 - 2013,,,,,,,,,,,,,"2,875.00",882.6,0.31
,,2013 - 2014,,,,,,,,,,,,,"1,707.00",409.7,0.24
,,2014 - 2015,,,,,,,,,,,,,"2,085.00",479.6,0.23
,,2015 - 2016,,,,,,,,,,,,,940,151.3,0.16
,,2016 - 2017,,,,,,,,,,,,,"2,110.00",683.6,0.32
,,2017 - 2018,,,,,,,,,,,,,"1,087.00",402.2,0.37
,,2018 - 2019,,,,,,,,,,,,,610,128.1,0.21
,,2019 - 2020,,,,,,,,,,,,,516,117.6,0.23
,,2020 - 2021,,,,,,,,,,,,,669,164.6,0.25
,,2021 - 2022,,,,,,,,,,,,,631,145.8,0.23
,,2022 - 2023,,,,,,,,,,,,,471,109.7,0.23
,7. Cuttack,2000 - 2001,,,,"3,777.00","1,566.60",0.41,,,,,,,,,
,,2001 - 2002,,,,"6,258.00","3,346.50",0.53,,,,,,,,,
,,2002 - 2003,,,,"4,726.00","2,201.60",0.47,,,,,,,,,
,,2003 - 2004,,,,"4,174.00","1,812.20",0.43,,,,,,,,,
,,2004 - 2005,,,,,,,45,12.5,0.28,,,,"3,281.00","1,345.20",0.41
,,2005 - 2006,,,,,,,137,34.7,0.25,,,,"3,304.00","1,344.70",0.41
,,2006 - 2007,,,,,,,62,14.8,0.24,,,,"3,692.00","1,690.90",0.46
,,2007 - 2008,,,,,,,56,18.6,0.33,,,,"3,966.00","1,864.00",0.47
,,2008 - 2009,,,,,,,59,16.3,0.28,,,,"2,542.00","1,136.30",0.45
,,2009 - 2010,,,,,,,163,57.4,0.35,,,,"3,639.00","1,757.60",0.48
,,2010 - 2011,,,,,,,241,93.5,0.39,,,,"3,160.00","1,339.80",0.42
,,2011 - 2012,,,,,,,46,18.3,0.4,,,,"2,293.00",990.6,0.43
,,2012 - 2013,,,,,,,40,14,0.35,,,,"1,620.00",673.9,0.42
,,2013 - 2014,,,,,,,18,9.2,0.51,,,,"1,008.00",370.9,0.37
,,2014 - 2015,,,,,,,21,9.7,0.46,,,,808,459.8,0.57
,,2015 - 2016,,,,,,,,,,,,,986,446.7,0.45
,,2016 - 2017,,,,,,,29,13.3,0.46,,,,465,158.6,0.34
,,2017 - 2018,,,,,,,37,13.9,0.38,,,,517,261.6,0.51
,,2018 - 2019,,,,,,,,,,,,,952,520.7,0.55
,,2019 - 2020,,,,,,,,,,,,,"1,711.00",935.9,0.55
,,2020 - 2021,,,,,,,,,,,,,805,366.3,0.46
,,2021 - 2022,,,,,,,20,6.7,0.34,,,,"2,057.00","1,010.00",0.49
,,2022 - 2023,,,,,,,24,9.8,0.41,,,,"1,035.00",486.5,0.47
,8. Deogarh,2000 - 2001,,,,625,107.5,0.17,,,,,,,,,
,,2001 - 2002,,,,943,344.2,0.37,,,,,,,,,
,,2002 - 2003,,,,706,125,0.18,,,,,,,,,
,,2003 - 2004,,,,738,220.7,0.3,,,,,,,,,
,,2004 - 2005,,,,,,,,,,,,,639,164.9,0.26
,,2005 - 2006,,,,,,,,,,,,,821,326.8,0.4
,,2006 - 2007,,,,,,,,,,,,,982,316.2,0.32
,,2007 - 2008,,,,,,,,,,,,,819,236.7,0.29
,,2008 - 2009,,,,,,,,,,,,,815,275.5,0.34
,,2009 - 2010,,,,,,,,,,,,,618,214.4,0.35
,,2010 - 2011,,,,,,,,,,,,,767,251.6,0.33
,,2011 - 2012,,,,,,,,,,,,,602,157.1,0.26
,,2012 - 2013,,,,,,,,,,,,,632,226.3,0.36
,,2013 - 2014,,,,,,,,,,,,,241,82.2,0.34
,,2014 - 2015,,,,,,,,,,,,,339,123.1,0.36
,,2015 - 2016,,,,,,,,,,,,,232,72.6,0.31
,,2016 - 2017,,,,,,,7,1.1,0.16,,,,371,141.7,0.38
,,2017 - 2018,,,,,,,,,,,,,227,97.2,0.43
,,2018 - 2019,,,,,,,,,,,,,314,104.2,0.33
,,2019 - 2020,,,,,,,,,,,,,124,41.8,0.34
,,2020 - 2021,,,,,,,,,,,,,185,60.3,0.33
,,2021 - 2022,,,,,,,,,,,,,428,177.2,0.41
,,2022 - 2023,,,,,,,,,,,,,148,52.2,0.35
,9. Dhenkanal,2000 - 2001,,,,"1,254.00",238.3,0.19,,,,,,,,,
,,2001 - 2002,,,,"1,975.00",630,0.32,,,,,,,,,
,,2002 - 2003,,,,"1,643.00",351.6,0.21,,,,,,,,,
,,2003 - 2004,,,,"1,122.00",410.7,0.37,,,,,,,,,
,,2004 - 2005,,,,,,,,,,,,,"1,200.00",321.6,0.27
,,2005 - 2006,,,,,,,,,,,,,"1,516.00",482.1,0.32
,,2006 - 2007,,,,,,,,,,,,,"1,006.00",298.8,0.3
,,2007 - 2008,,,,,,,,,,,,,"2,067.00",661.4,0.32
,,2008 - 2009,,,,,,,1,0.2,0.2,,,,"1,049.00",375.5,0.36
,,2009 - 2010,,,,,,,,,,,,,"1,153.00",475,0.41
,,2010 - 2011,,,,,,,5,1.9,0.38,,,,"1,499.00",658.1,0.44
,,2011 - 2012,,,,,,,,,,,,,972,313,0.32
,,2012 - 2013,,,,,,,,,,,,,647,326.1,0.5
,,2013 - 2014,,,,,,,,,,,,,522,216.6,0.41
,,2014 - 2015,,,,,,,16,6.5,0.41,,,,608,277.2,0.46
,,2015 - 2016,,,,,,,,,,,,,479,190.2,0.4
,,2016 - 2017,,,,,,,,,,,,,386,201.1,0.52
,,2017 - 2018,,,,,,,17,7.2,0.42,,,,438,155.5,0.36
,,2018 - 2019,,,,,,,17,6.2,0.36,,,,287,115.1,0.4
,,2019 - 2020,,,,,,,,,,,,,750,295.5,0.39
,,2020 - 2021,,,,,,,,,,,,,687,290.6,0.42
,,2021 - 2022,,,,,,,2,0.7,0.35,,,,573,254.4,0.44
,,2022 - 2023,,,,,,,,,,,,,759,297.5,0.39
,10. Gajapati,2000 - 2001,,,,673,164.9,0.25,,,,,,,,,
,,2001 - 2002,,,,"1,189.00",334.1,0.28,,,,,,,,,
,,2002 - 2003,,,,477,88.7,0.19,,,,,,,,,
,,2003 - 2004,,,,756,139.1,0.18,,,,,,,,,
,,2004 - 2005,,,,,,,,,,,,,764,171.9,0.23
,,2005 - 2006,,,,,,,,,,,,,688,129.3,0.19
,,2006 - 2007,,,,,,,,,,,,,326,71.4,0.22
,,2007 - 2008,,,,,,,,,,,,,613,126.3,0.21
,,2008 - 2009,,,,,,,,,,,,,466,86.2,0.18
,,2009 - 2010,,,,,,,1,0.2,0.2,,,,595,121.4,0.2
,,2010 - 2011,,,,,,,,,,,,,556,112.3,0.2
,,2011 - 2012,,,,,,,,,,,,,334,43.1,0.13
,,2012 - 2013,,,,,,,,,,,,,367,74.1,0.2
,,2013 - 2014,,,,,,,,,,,,,537,107.4,0.2
,,2014 - 2015,,,,,,,,,,,,,301,61.1,0.2
,,2015 - 2016,,,,,,,,,,,,,388,73.7,0.19
,,2016 - 2017,,,,,,,,,,,,,221,61.7,0.28
,,2017 - 2018,,,,,,,,,,,,,405,113.4,0.28
,,2018 - 2019,,,,,,,,,,,,,394,85.5,0.22
,,2019 - 2020,,,,,,,,,,,,,166,43.2,0.26
,,2020 - 2021,,,,,,,,,,,,,627,180.6,0.29
,,2021 - 2022,,,,,,,,,,,,,307,89.6,0.29
,,2022 - 2023,,,,,,,,,,,,,440,128.5,0.29
,11. Ganjam,2000 - 2001,,,,"2,010.00",373.9,0.19,,,,,,,,,
,,2001 - 2002,,,,"2,746.00",609.7,0.22,,,,,,,,,
,,2002 - 2003,,,,"1,753.00",257.7,0.15,,,,,,,,,
,,2003 - 2004,,,,"2,493.00",510.6,0.2,,,,,,,,,
,,2004 - 2005,,,,,,,17,4.3,0.25,,,,"1,884.00",354.2,0.19
,,2005 - 2006,,,,,,,4,1.4,0.35,,,,"2,933.00",566.1,0.19
,,2006 - 2007,,,,,,,,,,,,,"1,999.00",391.8,0.2
,,2007 - 2008,,,,,,,20,3,0.15,,,,"2,390.00",492.3,0.21
,,2008 - 2009,,,,,,,2,0.6,0.3,,,,"2,534.00",577.8,0.23
,,2009 - 2010,,,,,,,,,,,,,"3,311.00",781.4,0.24
,,2010 - 2011,,,,,,,12,0.9,0.08,,,,"2,884.00",663.3,0.23
,,2011 - 2012,,,,,,,,,,,,,886,176.3,0.2
,,2012 - 2013,,,,,,,,,,,,,"1,015.00",229.4,0.23
,,2013 - 2014,,,,,,,,,,,,,943,253.7,0.27
,,2014 - 2015,,,,,,,,,,,,,993,282,0.28
,,2015 - 2016,,,,,,,,,,,,,811,197.9,0.24
,,2016 - 2017,,,,,,,,,,,,,590,150.5,0.26
,,2017 - 2018,,,,,,,,,,,,,769,162.3,0.21
,,2018 - 2019,,,,,,,,,,,,,631,158.4,0.25
,,2019 - 2020,,,,,,,,,,,,,893,216.1,0.24
,,2020 - 2021,,,,,,,1,0.2,0.2,,,,521,128.2,0.25
,,2021 - 2022,,,,,,,15,1.6,0.11,,,,"1,280.00",309.8,0.24
,,2022 - 2023,,,,,,,,,,,,,"1,514.00",380,0.25
,12. Jagatsinghapur,2000 - 2001,,,,"1,148.00",457.7,0.4,,,,,,,,,
,,2001 - 2002,,,,"1,487.00",677.8,0.46,,,,,,,,,
,,2002 - 2003,,,,"1,217.00",474.3,0.39,,,,,,,,,
,,2003 - 2004,,,,"1,347.00",501.2,0.37,,,,,,,,,
,,2004 - 2005,,,,,,,55,17.4,0.32,,,,774,288.7,0.37
,,2005 - 2006,,,,,,,50,16,0.32,,,,849,280.2,0.33
,,2006 - 2007,,,,,,,9,2.2,0.24,,,,"1,043.00",534,0.51
,,2007 - 2008,,,,,,,56,15.3,0.27,,,,886,435,0.49
,,2008 - 2009,,,,,,,29,6.8,0.23,,,,806,378.8,0.47
,,2009 - 2010,,,,,,,22,3.8,0.17,,,,952,469.3,0.49
,,2010 - 2011,,,,,,,23,6.9,0.3,,,,663,314.9,0.47
,,2011 - 2012,,,,,,,15,5.9,0.39,,,,853,406,0.48
,,2012 - 2013,,,,,,,11,3.4,0.31,,,,580,272,0.47
,,2013 - 2014,,,,,,,3,1.7,0.57,,,,810,342.6,0.42
,,2014 - 2015,,,,,,,13,6.3,0.48,,,,418,208.6,0.5
,,2015 - 2016,,,,,,,13,3.6,0.28,,,,420,195.3,0.47
,,2016 - 2017,,,,,,,1,0.4,0.4,,,,156,71.8,0.46
,,2017 - 2018,,,,,,,,,,,,,88,40.4,0.46
,,2018 - 2019,,,,,,,3,0.8,0.27,,,,206,81,0.39
,,2019 - 2020,,,,,,,,,,,,,221,76.7,0.35
,,2020 - 2021,,,,,,,29,3,0.1,,,,169,65.6,0.39
,,2021 - 2022,,,,,,,6,1.1,0.18,,,,130,40.8,0.31
,,2022 - 2023,,,,,,,2,0.8,0.4,,,,256,96,0.38
,13. Jajapur,2000 - 2001,,,,"1,597.00",383.3,0.24,,,,,,,,,
,,2001 - 2002,,,,"1,471.00",650.2,0.44,,,,,,,,,
,,2002 - 2003,,,,"1,522.00",576.6,0.38,,,,,,,,,
,,2003 - 2004,,,,963,218.4,0.23,,,,,,,,,
,,2004 - 2005,,,,,,,,,,,,,829,219.7,0.27
,,2005 - 2006,,,,,,,,,,,,,"1,642.00",451.6,0.28
,,2006 - 2007,,,,,,,1,0.4,0.4,,,,"1,191.00",382.3,0.32
,,2007 - 2008,,,,,,,,,,,,,"1,238.00",501.4,0.41
,,2008 - 2009,,,,,,,,,,,,,"1,394.00",503.2,0.36
,,2009 - 2010,,,,,,,,,,,,,"1,226.00",469.6,0.38
,,2010 - 2011,,,,,,,,,,,,,"1,482.00",469.8,0.32
,,2011 - 2012,,,,,,,,,,,,,"1,298.00",311.5,0.24
,,2012 - 2013,,,,,,,,,,,,,"1,439.00",506.5,0.35
,,2013 - 2014,,,,,,,,,,,,,427,102.1,0.24
,,2014 - 2015,,,,,,,,,,,,,542,177.8,0.33
,,2015 - 2016,,,,,,,,,,,,,572,191,0.33
,,2016 - 2017,,,,,,,,,,,,,406,201.8,0.5
,,2017 - 2018,,,,,,,,,,,,,659,212.9,0.32
,,2018 - 2019,,,,,,,,,,,,,"1,024.00",258,0.25
,,2019 - 2020,,,,,,,,,,,,,829,218,0.26
,,2020 - 2021,,,,,,,,,,,,,845,175.8,0.21
,,2021 - 2022,,,,,,,,,,,,,"1,140.00",204.1,0.18
,,2022 - 2023,,,,,,,,,,,,,500,103.5,0.21
,14. Jharsuguda,2000 - 2001,,,,84,6,0.07,,,,,,,,,
,,2001 - 2002,,,,244,72.7,0.3,,,,,,,,,
,,2002 - 2003,,,,218,44.5,0.2,,,,,,,,,
,,2003 - 2004,,,,316,141.6,0.45,,,,,,,,,
,,2004 - 2005,,,,,,,,,,,,,473,173.1,0.37
,,2005 - 2006,,,,,,,,,,,,,425,150.9,0.36
,,2006 - 2007,,,,,,,,,,,,,361,123.8,0.34
,,2007 - 2008,,,,,,,,,,,,,283,87.7,0.31
,,2008 - 2009,,,,,,,,,,,,,188,59.2,0.31
,,2009 - 2010,,,,,,,,,,,,,153,65.6,0.43
,,2010 - 2011,,,,,,,,,,,,,330,97,0.29
,,2011 - 2012,,,,,,,,,,,,,141,22.8,0.16
,,2012 - 2013,,,,,,,,,,,,,75,31.8,0.42
,,2013 - 2014,,,,,,,,,,,,,116,39.6,0.34
,,2014 - 2015,,,,,,,,,,,,,30,10.6,0.35
,,2015 - 2016,,,,,,,,,,,,,92,29.4,0.32
,,2016 - 2017,,,,,,,,,,,,,133,57.5,0.43
,,2017 - 2018,,,,,,,,,,,,,213,76,0.36
,,2018 - 2019,,,,,,,,,,,,,47,13,0.28
,,2019 - 2020,,,,,,,,,,,,,72,19.2,0.27
,,2020 - 2021,,,,,,,,,,,,,118,37.9,0.32
,,2021 - 2022,,,,,,,,,,,,,270,90.2,0.33
,,2022 - 2023,,,,,,,,,,,,,127,41.1,0.32
,15. Kalahandi,2000 - 2001,,,,"5,976.00","1,004.00",0.17,,,,,,,,,
,,2001 - 2002,,,,"7,316.00","2,172.90",0.3,,,,,,,,,
,,2002 - 2003,,,,"6,558.00","1,062.40",0.16,,,,,,,,,
,,2003 - 2004,,,,"7,601.00","1,923.10",0.25,,,,,,,,,
,,2004 - 2005,,,,,,,,,,,,,"6,716.00","1,457.40",0.22
,,2005 - 2006,,,,,,,,,,,,,"7,010.00","1,619.30",0.23
,,2006 - 2007,,,,,,,,,,,,,"5,461.00","1,305.20",0.24
,,2007 - 2008,,,,,,,,,,,,,"5,794.00","1,309.40",0.23
,,2008 - 2009,,,,,,,,,,,,,"5,088.00","1,073.60",0.21
,,2009 - 2010,,,,,,,,,,,,,"5,317.00","1,414.30",0.27
,,2010 - 2011,,,,,,,,,,,,,"7,147.00","2,179.80",0.3
,,2011 - 2012,,,,,,,,,,,,,"4,443.00",786.4,0.18
,,2012 - 2013,,,,,,,,,,,,,"5,276.00","1,714.70",0.33
,,2013 - 2014,,,,,,,,,,,,,"4,862.00","1,609.30",0.33
,,2014 - 2015,,,,,,,,,,,,,"2,605.00",870.1,0.33
,,2015 - 2016,,,,,,,,,,,,,"3,347.00",569,0.17
,,2016 - 2017,,,,,,,,,,,,,"2,213.00",920.6,0.42
,,2017 - 2018,,,,,,,,,,,,,"1,894.00",695.1,0.37
,,2018 - 2019,,,,,,,,,,,,,"2,185.00",871.8,0.4
,,2019 - 2020,,,,,,,,,,,,,"2,742.00","1,176.30",0.43
,,2020 - 2021,,,,,,,,,,,,,"4,493.00","1,887.10",0.42
,,2021 - 2022,,,,,,,,,,,,,"4,372.00","1,792.50",0.41
,,2022 - 2023,,,,,,,,,,,,,"3,765.00","1,780.80",0.47
,16. Kandhamal,2000 - 2001,,,,"1,342.00",209.4,0.16,,,,,,,,,
,,2001 - 2002,,,,"1,486.00",430.9,0.29,,,,,,,,,
,,2002 - 2003,,,,"1,455.00",224.1,0.15,,,,,,,,,
,,2003 - 2004,,,,"1,488.00",318.4,0.21,,,,,,,,,
,,2004 - 2005,,,,,,,,,,,,,"1,405.00",286.6,0.2
,,2005 - 2006,,,,,,,,,,,,,"1,358.00",271.6,0.2
,,2006 - 2007,,,,,,,,,,,,,"1,742.00",381.5,0.22
,,2007 - 2008,,,,,,,,,,,,,"2,060.00",494.4,0.24
,,2008 - 2009,,,,,,,,,,,,,"1,259.00",254.3,0.2
,,2009 - 2010,,,,,,,,,,,,,"1,654.00",454.9,0.28
,,2010 - 2011,,,,,,,,,,,,,"1,734.00",327.7,0.19
,,2011 - 2012,,,,,,,,,,,,,"1,187.00",229.1,0.19
,,2012 - 2013,,,,,,,,,,,,,"1,436.00",377.7,0.26
,,2013 - 2014,,,,,,,,,,,,,"1,658.00",419.5,0.25
,,2014 - 2015,,,,,,,,,,,,,"1,530.00",384,0.25
,,2015 - 2016,,,,,,,,,,,,,721,106,0.15
,,2016 - 2017,,,,,,,,,,,,,621,141,0.23
,,2017 - 2018,,,,,,,,,,,,,665,211.5,0.32
,,2018 - 2019,,,,,,,,,,,,,747,396.7,0.53
,,2019 - 2020,,,,,,,,,,,,,527,190.8,0.36
,,2020 - 2021,,,,,,,,,,,,,578,282.1,0.49
,,2021 - 2022,,,,,,,,,,,,,757,320.2,0.42
,,2022 - 2023,,,,,,,,,,,,,608,280.9,0.46
,17. Kendrapara,2000 - 2001,,,,862,485.3,0.56,,,,,,,,,
,,2001 - 2002,,,,374,192.2,0.51,,,,,,,,,
,,2002 - 2003,,,,517,229,0.44,,,,,,,,,
,,2003 - 2004,,,,419,145.4,0.35,,,,,,,,,
,,2004 - 2005,,,,,,,,,,,,,264,95,0.36
,,2005 - 2006,,,,,,,,,,,,,419,119.8,0.29
,,2006 - 2007,,,,,,,,,,,,,492,190.4,0.39
,,2007 - 2008,,,,,,,,,,,,,613,261.1,0.43
,,2008 - 2009,,,,,,,,,,,,,325,120.6,0.37
,,2009 - 2010,,,,,,,,,,,,,256,104.4,0.41
,,2010 - 2011,,,,,,,,,,,,,308,119.5,0.39
,,2011 - 2012,,,,,,,,,,,,,254,107.7,0.42
,,2012 - 2013,,,,,,,,,,,,,194,80.5,0.41
,,2013 - 2014,,,,,,,,,,,,,263,83.4,0.32
,,2014 - 2015,,,,,,,,,,,,,288,124.4,0.43
,,2015 - 2016,,,,,,,,,,,,,197,82.3,0.42
,,2016 - 2017,,,,,,,,,,,,,89,35.9,0.4
,,2017 - 2018,,,,,,,5,3.4,0.68,,,,32,13.1,0.41
,,2018 - 2019,,,,,,,8,4.8,0.6,,,,191,118.2,0.62
,,2019 - 2020,,,,,,,,,,,,,107,57.4,0.54
,,2020 - 2021,,,,,,,,,,,,,195,101,0.52
,,2021 - 2022,,,,,,,7,2.8,0.4,,,,110,39.4,0.36
,,2022 - 2023,,,,,,,,,,,,,316,120.1,0.38
,18. Kendujhar,2000 - 2001,,,,"4,617.00",766.4,0.17,,,,,,,,,
,,2001 - 2002,,,,"2,129.00",483.3,0.23,,,,,,,,,
,,2002 - 2003,,,,"2,483.00",325.3,0.13,,,,,,,,,
,,2003 - 2004,,,,"3,087.00",787.2,0.26,,,,,,,,,
,,2004 - 2005,,,,,,,,,,,,,"3,066.00",527.4,0.17
,,2005 - 2006,,,,,,,,,,,,,"2,518.00",518.7,0.21
,,2006 - 2007,,,,,,,,,,,,,"1,907.00",429.1,0.23
,,2007 - 2008,,,,,,,,,,,,,"1,909.00",410.4,0.21
,,2008 - 2009,,,,,,,,,,,,,"1,498.00",269.6,0.18
,,2009 - 2010,,,,,,,,,,,,,"1,678.00",352.4,0.21
,,2010 - 2011,,,,,,,,,,,,,"1,991.00",527.6,0.26
,,2011 - 2012,,,,,,,,,,,,,"1,912.00",401.5,0.21
,,2012 - 2013,,,,,,,,,,,,,"1,115.00",314.4,0.28
,,2013 - 2014,,,,,,,,,,,,,"1,226.00",353.1,0.29
,,2014 - 2015,,,,,,,,,,,,,"1,368.00",413.1,0.3
,,2015 - 2016,,,,,,,,,,,,,770,183.3,0.24
,,2016 - 2017,,,,,,,3,1,0.33,,,,"1,670.00",815,0.49
,,2017 - 2018,,,,,,,294,109.7,0.37,,,,"1,332.00",584.7,0.44
,,2018 - 2019,,,,,,,,,,,,,710,206.6,0.29
