State,District,Year,Cardamom,,,,,
,,,Whole Year,,,Kharif,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2007 - 2008,1,,0,,,
,,2008 - 2009,8,1,0.13,,,
,,2009 - 2010,2,,0,,,
,,2011 - 2012,1,,0,,,
,,2013 - 2014,1,,0,,,
,,2014 - 2015,1,,0,,,
,,2016 - 2017,1,,0,,,
,,2020 - 2021,2,0,0,,,
,,2022 - 2023,6,1,0.17,,,
,5. Kanchipuram,2006 - 2007,3,,0,,,
,6. Kanniyakumari,2003 - 2004,124,11,0.09,,,
,,2004 - 2005,124,11,0.09,,,
,,2005 - 2006,60,6,0.1,,,
,,2006 - 2007,60,6,0.1,,,
,,2007 - 2008,60,6,0.1,,,
,,2008 - 2009,51,5,0.1,,,
,,2009 - 2010,48,4,0.08,,,
,,2011 - 2012,48,4,0.08,,,
,,2013 - 2014,12,1,0.08,,,
,,2014 - 2015,13,1,0.08,,,
,,2015 - 2016,13,,0,,,
,,2016 - 2017,16,1,0.06,,,
,,2017 - 2018,16,1,0.06,,,
,,2018 - 2019,16,1,0.06,,,
,,2019 - 2020,21,2,0.1,,,
,,2020 - 2021,21,2,0.1,,,
,,2021 - 2022,19,2,0.11,,,
,,2022 - 2023,26,2,0.08,,,
,7. Krishnagiri,2009 - 2010,2,,0,,,
,8. Madurai,2015 - 2016,2,11,5.5,,,
,9. Namakkal,2003 - 2004,28,2,0.07,,,
,,2004 - 2005,30,2,0.07,,,
,,2005 - 2006,15,1,0.07,,,
,,2006 - 2007,30,2,0.07,,,
,,2007 - 2008,21,1,0.05,,,
,,2008 - 2009,23,2,0.09,,,
,,2009 - 2010,15,1,0.07,,,
,,2011 - 2012,22,2,0.09,,,
,,2013 - 2014,15,1,0.07,,,
,,2014 - 2015,12,1,0.08,,,
,,2015 - 2016,10,3,0.3,,,
,,2016 - 2017,11,,0,,,
,,2017 - 2018,9,1,0.11,,,
,,2018 - 2019,9,1,0.11,,,
,,2019 - 2020,10,1,0.1,,,
,,2020 - 2021,51,5,0.1,,,
,,2021 - 2022,89,8,0.09,,,
,,2022 - 2023,98,9,0.09,,,
,10. Perambalur,2018 - 2019,1,,0,,,
,11. Salem,2003 - 2004,42,3,0.07,,,
,,2004 - 2005,42,3,0.07,,,
,,2005 - 2006,42,3,0.07,,,
,,2006 - 2007,39,3,0.08,,,
,,2007 - 2008,42,3,0.07,,,
,,2008 - 2009,27,2,0.07,,,
,,2009 - 2010,21,1,0.05,,,
,,2011 - 2012,39,3,0.08,,,
,,2013 - 2014,35,2,0.06,,,
,,2014 - 2015,32,2,0.06,,,
,,2015 - 2016,32,3,0.09,,,
,,2016 - 2017,40,3,0.08,,,
,,2017 - 2018,40,3,0.08,,,
,,2018 - 2019,40,3,0.08,,,
,,2019 - 2020,40,3,0.08,,,
,,2020 - 2021,40,4,0.1,,,
,,2021 - 2022,48,4,0.08,,,
,,2022 - 2023,49,4,0.08,,,
,12. The nilgiris,2000 - 2001,65,6,0.09,,,
,,2003 - 2004,"1,014.00",94,0.09,,,
,,2004 - 2005,"1,034.00",96,0.09,,,
,,2005 - 2006,"1,054.00",98,0.09,,,
,,2006 - 2007,616,57,0.09,,,
,,2007 - 2008,673,63,0.09,,,
,,2008 - 2009,717,67,0.09,,,
,,2009 - 2010,251,23,0.09,,,
,,2011 - 2012,"1,036.00",96,0.09,,,
,,2013 - 2014,979,91,0.09,,,
,,2014 - 2015,940,87,0.09,,,
,,2015 - 2016,963,,0,,,
,,2016 - 2017,965,91,0.09,,,
,,2017 - 2018,959,89,0.09,,,
,,2018 - 2019,914,85,0.09,,,
,,2019 - 2020,888,83,0.09,,,
,,2020 - 2021,900,81,0.09,,,
,,2021 - 2022,906,84,0.09,,,
,,2022 - 2023,904,83,0.09,,,
,13. Theni,2000 - 2001,"1,222.00",116,0.09,,,
,,2003 - 2004,"1,418.00",136,0.1,,,
,,2004 - 2005,"1,499.00",143,0.1,,,
,,2005 - 2006,"1,516.00",146,0.1,,,
,,2006 - 2007,"1,494.00",143,0.1,,,
