State,District,Year,Barley,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2017 - 2018,,,,"15,900.00","60,340.00",3.79,,,,,,
,,2018 - 2019,,,,"10,441.00","21,153.00",2.03,,,,,,
,,2019 - 2020,"9,845.00","18,912.00",1.92,,,,,,,,,
,,2020 - 2021,"8,480.00","16,070.00",1.9,,,,,,,,,
,,2021 - 2022,"6,210.00","13,116.00",2.11,,,,,,,,,
,,2022 - 2023,"9,846.00","13,981.00",1.42,,,,,,,,,
,12. Chhindwara,2001 - 2002,54,10,0.19,,,,,,,,,
,13. Damoh,2000 - 2001,63,55,0.87,,,,,,,,,
,,2001 - 2002,51,62,1.22,,,,,,,,,
,,2002 - 2003,71,80,1.13,,,,,,,,,
,,2003 - 2004,66,94,1.42,,,,,,,,,
,,2004 - 2005,77,101,1.31,,,,,,,,,
,,2005 - 2006,102,140,1.37,,,,,,,,,
,,2007 - 2008,120,142,1.18,,,,,,,,,
,,2008 - 2009,105,183,1.74,,,,,,,,,
,,2009 - 2010,,,,,,,,,,150,250,1.67
,,2010 - 2011,31,68,2.19,,,,,,,,,
,,2011 - 2012,,,,50,125,2.5,,,,,,
,,2012 - 2013,,,,25,45,1.8,,,,,,
,,2013 - 2014,,,,140,342,2.44,,,,,,
,,2016 - 2017,,,,100,290,2.9,,,,,,
,,2017 - 2018,,,,100,100,1,,,,,,
,,2018 - 2019,,,,1,2,2,,,,,,
,,2019 - 2020,17,26,1.53,,,,,,,,,
,,2020 - 2021,2,3,1.5,,,,,,,,,
,14. Datia,2000 - 2001,"3,337.00","6,657.00",1.99,,,,,,,,,
,,2001 - 2002,"5,046.00","10,716.00",2.12,,,,,,,,,
,,2002 - 2003,"3,333.00","6,506.00",1.95,,,,,,,,,
,,2003 - 2004,"3,861.00","7,828.00",2.03,,,,,,,,,
,,2004 - 2005,"3,249.00","5,664.00",1.74,,,,,,,,,
,,2005 - 2006,"2,871.00","6,567.00",2.29,,,,,,,,,
,,2007 - 2008,"4,787.00","6,968.00",1.46,,,,,,,,,
,,2008 - 2009,"5,123.00","9,213.00",1.8,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"3,296.00","7,321.00",2.22
,,2010 - 2011,"3,188.00","7,144.00",2.24,,,,,,,,,
,,2011 - 2012,,,,"3,164.00","9,444.00",2.98,,,,,,
,,2012 - 2013,,,,"3,242.00","8,222.00",2.54,,,,,,
,,2013 - 2014,,,,"3,434.00","12,446.00",3.62,,,,,,
,,2014 - 2015,,,,"1,000.00","2,000.00",2,,,,,,
,,2015 - 2016,,,,"1,000.00","5,000.00",5,,,,,,
,,2016 - 2017,,,,"2,600.00","8,000.00",3.08,,,,,,
,,2017 - 2018,,,,200,480,2.4,,,,,,
,,2018 - 2019,,,,318,"1,005.00",3.16,,,,,,
,,2019 - 2020,284,959,3.38,,,,,,,,,
,,2020 - 2021,327,533,1.63,,,,,,,,,
,,2021 - 2022,102,253,2.48,,,,,,,,,
,,2022 - 2023,220,407,1.85,,,,,,,,,
,15. Dewas,2000 - 2001,34,54,1.59,,,,,,,,,
,,2001 - 2002,32,50,1.56,,,,,,,,,
,,2002 - 2003,30,54,1.8,,,,,,,,,
,,2003 - 2004,35,61,1.74,,,,,,,,,
,,2004 - 2005,50,79,1.58,,,,,,,,,
,,2005 - 2006,39,56,1.44,,,,,,,,,
,,2007 - 2008,29,64,2.21,,,,,,,,,
,,2008 - 2009,25,51,2.04,,,,,,,,,
,,2009 - 2010,,,,,,,,,,38,79,2.08
,,2010 - 2011,37,94,2.54,,,,,,,,,
,,2011 - 2012,,,,13,38,2.92,,,,,,
,,2012 - 2013,,,,2,6,3,,,,,,
,,2013 - 2014,,,,5,10,2,,,,,,
,,2014 - 2015,,,,"1,000.00","1,000.00",1,,,,,,
,,2016 - 2017,,,,900,"3,000.00",3.33,,,,,,
,16. Dhar,2000 - 2001,11,4,0.36,,,,,,,,,
,,2001 - 2002,19,21,1.11,,,,,,,,,
,,2002 - 2003,19,24,1.26,,,,,,,,,
,,2003 - 2004,16,22,1.38,,,,,,,,,
,,2004 - 2005,12,16,1.33,,,,,,,,,
,,2005 - 2006,13,17,1.31,,,,,,,,,
,,2007 - 2008,33,50,1.52,,,,,,,,,
,,2008 - 2009,25,34,1.36,,,,,,,,,
,,2009 - 2010,,,,,,,,,,8,12,1.5
,,2010 - 2011,12,23,1.92,,,,,,,,,
,,2011 - 2012,,,,17,37,2.18,,,,,,
,,2012 - 2013,,,,5,8,1.6,,,,,,
,,2013 - 2014,,,,13,26,2,,,,,,
,,2015 - 2016,,,,"4,000.00","8,000.00",2,,,,,,
,,2016 - 2017,,,,"5,000.00","16,000.00",3.2,,,,,,
,,2017 - 2018,,,,"27,200.00","1,24,300.00",4.57,,,,,,
,,2018 - 2019,,,,1,2,2,,,,,,
,,2019 - 2020,1,2,2,,,,,,,,,
,,2020 - 2021,2,3,1.5,,,,,,,,,
,17. Dindori,2000 - 2001,37,23,0.62,,,,,,,,,
,,2001 - 2002,27,21,0.78,,,,,,,,,
,,2002 - 2003,23,19,0.83,,,,,,,,,
,,2003 - 2004,23,18,0.78,,,,,,,,,
,,2004 - 2005,25,22,0.88,,,,,,,,,
,,2005 - 2006,23,15,0.65,,,,,,,,,
,,2007 - 2008,17,12,0.71,,,,,,,,,
,,2008 - 2009,17,14,0.82,,,,,,,,,
,,2009 - 2010,,,,,,,,,,11,9,0.82
,,2010 - 2011,7,6,0.86,,,,,,,,,
,,2011 - 2012,,,,7,7,1,,,,,,
,,2012 - 2013,,,,7,4,0.57,,,,,,
,,2013 - 2014,,,,14,15,1.07,,,,,,
,,2016 - 2017,,,,80,210,2.63,,,,,,
,,2019 - 2020,2,2,1,,,,,,,,,
,18. Guna,2000 - 2001,306,531,1.74,,,,,,,,,
,,2001 - 2002,291,529,1.82,,,,,,,,,
,,2002 - 2003,243,340,1.4,,,,,,,,,
,,2003 - 2004,40,74,1.85,,,,,,,,,
,,2004 - 2005,37,61,1.65,,,,,,,,,
,,2005 - 2006,47,101,2.15,,,,,,,,,
,,2007 - 2008,37,81,2.19,,,,,,,,,
,,2008 - 2009,28,43,1.54,,,,,,,,,
,,2009 - 2010,,,,,,,,,,9,17,1.89
,,2010 - 2011,21,55,2.62,,,,,,,,,
,,2011 - 2012,,,,20,68,3.4,,,,,,
,,2012 - 2013,,,,13,30,2.31,,,,,,
,,2013 - 2014,,,,8,19,2.38,,,,,,
,,2014 - 2015,,,,"1,000.00","2,000.00",2,,,,,,
,,2016 - 2017,,,,950,"3,000.00",3.16,,,,,,
,,2017 - 2018,,,,300,650,2.17,,,,,,
,,2018 - 2019,,,,4,11,2.75,,,,,,
,,2019 - 2020,1,4,4,,,,,,,,,
,,2020 - 2021,6,19,3.17,,,,,,,,,
,,2021 - 2022,7,25,3.57,,,,,,,,,
,19. Gwalior,2000 - 2001,"1,390.00","3,729.00",2.68,,,,,,,,,
,,2001 - 2002,"1,241.00","4,025.00",3.24,,,,,,,,,
,,2002 - 2003,"1,962.00","6,618.00",3.37,,,,,,,,,
,,2003 - 2004,"1,334.00","4,530.00",3.4,,,,,,,,,
,,2004 - 2005,"1,023.00","2,802.00",2.74,,,,,,,,,
,,2005 - 2006,882,"2,444.00",2.77,,,,,,,,,
,,2007 - 2008,"1,219.00","2,473.00",2.03,,,,,,,,,
,,2008 - 2009,"1,349.00","3,290.00",2.44,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"1,061.00","2,722.00",2.57
,,2010 - 2011,946,"2,803.00",2.96,,,,,,,,,
,,2011 - 2012,,,,936,"3,421.00",3.65,,,,,,
,,2012 - 2013,,,,"1,092.00","2,554.00",2.34,,,,,,
,,2013 - 2014,,,,838,"2,103.00",2.51,,,,,,
,,2014 - 2015,,,,"1,000.00","1,000.00",1,,,,,,
,,2015 - 2016,,,,"3,000.00","4,000.00",1.33,,,,,,
,,2016 - 2017,,,,"2,850.00","9,000.00",3.16,,,,,,
,,2017 - 2018,,,,700,"1,610.00",2.3,,,,,,
,,2018 - 2019,,,,101,249,2.47,,,,,,
,,2019 - 2020,32,77,2.41,,,,,,,,,
,,2020 - 2021,74,123,1.66,,,,,,,,,
,,2021 - 2022,14,41,2.93,,,,,,,,,
,,2022 - 2023,49,85,1.73,,,,,,,,,
,20. Harda,2000 - 2001,249,300,1.2,,,,,,,,,
,,2001 - 2002,221,295,1.33,,,,,,,,,
,,2002 - 2003,226,342,1.51,,,,,,,,,
,,2003 - 2004,160,238,1.49,,,,,,,,,
,,2004 - 2005,247,332,1.34,,,,,,,,,
,,2005 - 2006,143,269,1.88,,,,,,,,,
,,2007 - 2008,135,257,1.9,,,,,,,,,
,,2008 - 2009,196,388,1.98,,,,,,,,,
,,2009 - 2010,,,,,,,,,,178,322,1.81
,,2010 - 2011,118,362,3.07,,,,,,,,,
,,2011 - 2012,,,,93,311,3.34,,,,,,
,,2012 - 2013,,,,359,634,1.77,,,,,,
,,2013 - 2014,,,,56,121,2.16,,,,,,
,,2016 - 2017,,,,90,350,3.89,,,,,,
,,2017 - 2018,,,,900,"2,530.00",2.81,,,,,,
,,2018 - 2019,,,,1,2,2,,,,,,
,,2019 - 2020,2,6,3,,,,,,,,,
,,2020 - 2021,2,4,2,,,,,,,,,
,21. Hoshangabad,2000 - 2001,53,73,1.38,,,,,,,,,
,,2001 - 2002,41,57,1.39,,,,,,,,,
,,2002 - 2003,51,80,1.57,,,,,,,,,
,,2003 - 2004,47,72,1.53,,,,,,,,,
,,2004 - 2005,36,50,1.39,,,,,,,,,
,,2005 - 2006,81,137,1.69,,,,,,,,,
,,2007 - 2008,27,44,1.63,,,,,,,,,
,,2008 - 2009,5,8,1.6,,,,,,,,,
,,2009 - 2010,,,,,,,,,,4,9,2.25
,,2010 - 2011,5,11,2.2,,,,,,,,,
,,2011 - 2012,,,,4,12,3,,,,,,
,,2012 - 2013,,,,4,9,2.25,,,,,,
,,2013 - 2014,,,,7,13,1.86,,,,,,
,,2018 - 2019,,,,1,1,1,,,,,,
,,2019 - 2020,4,11,2.75,,,,,,,,,
,,2020 - 2021,9,28,3.11,,,,,,,,,
,,2021 - 2022,2,5,2.5,,,,,,,,,
,22. Indore,2000 - 2001,1,2,2,,,,,,,,,
,,2001 - 2002,6,9,1.5,,,,,,,,,
,,2002 - 2003,4,7,1.75,,,,,,,,,
,,2003 - 2004,1,2,2,,,,,,,,,
,,2007 - 2008,1,2,2,,,,,,,,,
,,2016 - 2017,,,,200,"1,000.00",5,,,,,,
,,2017 - 2018,,,,200,130,0.65,,,,,,
,,2019 - 2020,1,2,2,,,,,,,,,
,,2020 - 2021,1,1,1,,,,,,,,,
,,2021 - 2022,1,3,3,,,,,,,,,
,23. Jabalpur,2000 - 2001,5,6,1.2,,,,,,,,,
,,2001 - 2002,4,6,1.5,,,,,,,,,
,,2002 - 2003,11,19,1.73,,,,,,,,,
,,2003 - 2004,10,19,1.9,,,,,,,,,
,,2004 - 2005,6,10,1.67,,,,,,,,,
,,2005 - 2006,17,39,2.29,,,,,,,,,
,,2007 - 2008,76,142,1.87,,,,,,,,,
,,2008 - 2009,75,162,2.16,,,,,,,,,
,,2009 - 2010,,,,,,,,,,32,57,1.78
,,2010 - 2011,23,56,2.43,,,,,,,,,
,,2011 - 2012,,,,18,45,2.5,,,,,,
,,2012 - 2013,,,,2,3,1.5,,,,,,
,24. Jhabua,2000 - 2001,20,9,0.45,,,,,,,,,
,,2001 - 2002,55,38,0.69,,,,,,,,,
,,2002 - 2003,36,36,1,,,,,,,,,
,,2003 - 2004,115,107,0.93,,,,,,,,,
,,2004 - 2005,134,114,0.85,,,,,,,,,
,,2005 - 2006,123,102,0.83,,,,,,,,,
,,2007 - 2008,154,143,0.93,,,,,,,,,
,,2008 - 2009,131,120,0.92,,,,,,,,,
,,2009 - 2010,,,,,,,,,,119,96,0.81
,,2010 - 2011,166,156,0.94,,,,,,,,,
,,2011 - 2012,,,,154,179,1.16,,,,,,
,,2012 - 2013,,,,141,129,0.91,,,,,,
,,2013 - 2014,,,,163,421,2.58,,,,,,
,,2015 - 2016,,,,"2,000.00","9,000.00",4.5,,,,,,
,,2016 - 2017,,,,"3,000.00","14,000.00",4.67,,,,,,
,,2017 - 2018,,,,"3,000.00","6,900.00",2.3,,,,,,
,,2019 - 2020,15,34,2.27,,,,,,,,,
,,2020 - 2021,3,4,1.33,,,,,,,,,
,25. Katni,2000 - 2001,350,300,0.86,,,,,,,,,
,,2001 - 2002,439,446,1.02,,,,,,,,,
,,2002 - 2003,420,374,0.89,,,,,,,,,
,,2003 - 2004,385,472,1.23,,,,,,,,,
,,2004 - 2005,387,357,0.92,,,,,,,,,
,,2005 - 2006,366,405,1.11,,,,,,,,,
,,2007 - 2008,211,187,0.89,,,,,,,,,
,,2008 - 2009,324,372,1.15,,,,,,,,,
,,2009 - 2010,,,,,,,,,,386,436,1.13
,,2010 - 2011,353,308,0.87,,,,,,,,,
,,2011 - 2012,,,,445,600,1.35,,,,,,
,,2012 - 2013,,,,504,854,1.69,,,,,,
,,2013 - 2014,,,,392,990,2.53,,,,,,
,,2014 - 2015,,,,"1,000.00","2,000.00",2,,,,,,
,,2016 - 2017,,,,850,"3,000.00",3.53,,,,,,
,,2017 - 2018,,,,300,480,1.6,,,,,,
,,2018 - 2019,,,,90,193,2.14,,,,,,
,,2019 - 2020,99,251,2.54,,,,,,,,,
,,2020 - 2021,49,113,2.31,,,,,,,,,
,,2021 - 2022,42,96,2.29,,,,,,,,,
,,2022 - 2023,78,118,1.51,,,,,,,,,
,26. Khandwa,2001 - 2002,2,3,1.5,,,,,,,,,
,,2002 - 2003,6,8,1.33,,,,,,,,,
,,2003 - 2004,4,8,2,,,,,,,,,
,,2004 - 2005,4,6,1.5,,,,,,,,,
,,2005 - 2006,1,2,2,,,,,,,,,
,,2015 - 2016,,,,"8,000.00","19,000.00",2.38,,,,,,
,,2016 - 2017,,,,"9,000.00","27,000.00",3,,,,,,
,,2017 - 2018,,,,"2,580.00","4,390.00",1.7,,,,,,
,27. Khargone,2014 - 2015,,,,"1,000.00","1,000.00",1,,,,,,
,,2015 - 2016,,,,"4,000.00","11,000.00",2.75,,,,,,
,,2016 - 2017,,,,"5,000.00","16,000.00",3.2,,,,,,
,,2017 - 2018,,,,"3,150.00","6,900.00",2.19,,,,,,
,28. Mandla,2000 - 2001,14,6,0.43,,,,,,,,,
,,2001 - 2002,26,24,0.92,,,,,,,,,
,,2002 - 2003,22,22,1,,,,,,,,,
,,2003 - 2004,19,19,1,,,,,,,,,
,,2004 - 2005,14,13,0.93,,,,,,,,,
,,2005 - 2006,14,14,1,,,,,,,,,
,,2007 - 2008,14,14,1,,,,,,,,,
,,2008 - 2009,4,5,1.25,,,,,,,,,
,,2009 - 2010,,,,,,,,,,10,9,0.9
,,2010 - 2011,9,11,1.22,,,,,,,,,
,,2011 - 2012,,,,10,12,1.2,,,,,,
,,2012 - 2013,,,,11,10,0.91,,,,,,
,,2013 - 2014,,,,11,16,1.45,,,,,,
,,2014 - 2015,,,,"1,000.00","2,000.00",2,,,,,,
,,2016 - 2017,,,,90,280,3.11,,,,,,
,,2018 - 2019,,,,6,8,1.33,,,,,,
,,2019 - 2020,12,20,1.67,,,,,,,,,
,,2021 - 2022,2,1,0.5,,,,,,,,,
,29. Mandsaur,2000 - 2001,187,328,1.75,,,,,,,,,
,,2001 - 2002,236,547,2.32,,,,,,,,,
,,2002 - 2003,65,117,1.8,,,,,,,,,
,,2003 - 2004,121,278,2.3,,,,,,,,,
,,2004 - 2005,214,492,2.3,,,,,,,,,
,,2005 - 2006,120,244,2.03,,,,,,,,,
,,2007 - 2008,236,596,2.53,,,,,,,,,
,,2008 - 2009,220,549,2.5,,,,,,,,,
,,2009 - 2010,,,,,,,,,,230,545,2.37
,,2010 - 2011,204,503,2.47,,,,,,,,,
,,2011 - 2012,,,,281,916,3.26,,,,,,
,,2012 - 2013,,,,235,905,3.85,,,,,,
,,2013 - 2014,,,,321,"1,571.00",4.89,,,,,,
,,2018 - 2019,,,,97,283,2.92,,,,,,
,,2019 - 2020,110,462,4.2,,,,,,,,,
,,2020 - 2021,64,238,3.72,,,,,,,,,
,,2021 - 2022,29,94,3.24,,,,,,,,,
,,2022 - 2023,270,671,2.49,,,,,,,,,
,30. Morena,2000 - 2001,"3,461.00","5,361.00",1.55,,,,,,,,,
,,2001 - 2002,"2,567.00","4,394.00",1.71,,,,,,,,,
,,2002 - 2003,"2,651.00","3,884.00",1.47,,,,,,,,,
,,2003 - 2004,"2,138.00","3,694.00",1.73,,,,,,,,,
,,2004 - 2005,"1,752.00","2,734.00",1.56,,,,,,,,,
,,2005 - 2006,"1,698.00","3,053.00",1.8,,,,,,,,,
,,2007 - 2008,"1,945.00","3,125.00",1.61,,,,,,,,,
,,2008 - 2009,"1,726.00","2,796.00",1.62,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"1,720.00","3,054.00",1.78
,,2010 - 2011,"1,856.00","3,204.00",1.73,,,,,,,,,
,,2011 - 2012,,,,"1,664.00","3,235.00",1.94,,,,,,
,,2012 - 2013,,,,"1,572.00","3,805.00",2.42,,,,,,
,,2013 - 2014,,,,"1,590.00","4,163.00",2.62,,,,,,
,,2014 - 2015,,,,"1,000.00","1,000.00",1,,,,,,
,,2015 - 2016,,,,"2,000.00","4,000.00",2,,,,,,
,,2016 - 2017,,,,"3,000.00","11,000.00",3.67,,,,,,
,,2017 - 2018,,,,"1,800.00","5,220.00",2.9,,,,,,
,,2018 - 2019,,,,355,953,2.68,,,,,,
,,2019 - 2020,86,294,3.42,,,,,,,,,
,,2020 - 2021,53,174,3.28,,,,,,,,,
,,2021 - 2022,12,36,3,,,,,,,,,
,,2022 - 2023,35,73,2.09,,,,,,,,,
,31. Narsinghpur,2013 - 2014,,,,4,7,1.75,,,,,,
,32. Neemuch,2000 - 2001,558,"1,274.00",2.28,,,,,,,,,
,,2001 - 2002,472,"1,205.00",2.55,,,,,,,,,
,,2002 - 2003,188,434,2.31,,,,,,,,,
,,2003 - 2004,365,"1,020.00",2.79,,,,,,,,,
,,2004 - 2005,382,"1,048.00",2.74,,,,,,,,,
,,2005 - 2006,397,"1,102.00",2.78,,,,,,,,,
,,2007 - 2008,763,"2,088.00",2.74,,,,,,,,,
,,2008 - 2009,914,"2,677.00",2.93,,,,,,,,,
,,2009 - 2010,,,,,,,,,,796,"2,180.00",2.74
,,2010 - 2011,"1,261.00","4,257.00",3.38,,,,,,,,,
,,2011 - 2012,,,,"1,003.00","3,826.00",3.81,,,,,,
,,2012 - 2013,,,,"1,098.00","3,109.00",2.83,,,,,,
,,2013 - 2014,,,,"1,288.00","4,421.00",3.43,,,,,,
,,2016 - 2017,,,,410,"1,000.00",2.44,,,,,,
,,2018 - 2019,,,,760,"1,678.00",2.21,,,,,,
,,2019 - 2020,"1,471.00","4,772.00",3.24,,,,,,,,,
,,2020 - 2021,682,"1,680.00",2.46,,,,,,,,,
,,2021 - 2022,410,"1,333.00",3.25,,,,,,,,,
,,2022 - 2023,"1,775.00","3,724.00",2.1,,,,,,,,,
,33. Niwari,2019 - 2020,621,"1,439.00",2.32,,,,,,,,,
,,2020 - 2021,"1,305.00","2,756.00",2.11,,,,,,,,,
,,2021 - 2022,547,"1,285.00",2.35,,,,,,,,,
,,2022 - 2023,710,"1,126.00",1.59,,,,,,,,,
,34. Panna,2000 - 2001,"2,743.00","2,247.00",0.82,,,,,,,,,
,,2001 - 2002,"2,885.00","3,056.00",1.06,,,,,,,,,
,,2002 - 2003,"2,943.00","3,454.00",1.17,,,,,,,,,
,,2003 - 2004,"3,174.00","3,694.00",1.16,,,,,,,,,
,,2004 - 2005,"3,152.00","3,197.00",1.01,,,,,,,,,
,,2005 - 2006,"3,229.00","2,546.00",0.79,,,,,,,,,
,,2007 - 2008,"3,167.00","2,833.00",0.89,,,,,,,,,
,,2008 - 2009,"3,482.00","3,079.00",0.88,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"3,527.00","4,609.00",1.31
,,2010 - 2011,"2,897.00","3,368.00",1.16,,,,,,,,,
,,2011 - 2012,,,,"3,709.00","5,327.00",1.44,,,,,,
,,2012 - 2013,,,,"4,261.00","4,993.00",1.17,,,,,,
,,2013 - 2014,,,,"3,772.00","6,576.00",1.74,,,,,,
,,2014 - 2015,,,,"2,000.00","3,000.00",1.5,,,,,,
,,2015 - 2016,,,,"5,000.00","13,000.00",2.6,,,,,,
,,2016 - 2017,,,,"6,000.00","19,000.00",3.17,,,,,,
,,2017 - 2018,,,,"4,000.00","8,350.00",2.09,,,,,,
,,2018 - 2019,,,,970,"1,802.00",1.86,,,,,,
,,2019 - 2020,"1,136.00","1,837.00",1.62,,,,,,,,,
,,2020 - 2021,720,"1,422.00",1.98,,,,,,,,,
,,2021 - 2022,611,"1,322.00",2.16,,,,,,,,,
,,2022 - 2023,840,"1,310.00",1.56,,,,,,,,,
,35. Raisen,2000 - 2001,38,77,2.03,,,,,,,,,
,,2001 - 2002,61,128,2.1,,,,,,,,,
,,2002 - 2003,51,121,2.37,,,,,,,,,
,,2003 - 2004,32,78,2.44,,,,,,,,,
,,2004 - 2005,29,64,2.21,,,,,,,,,
,,2005 - 2006,23,58,2.52,,,,,,,,,
,,2007 - 2008,17,45,2.65,,,,,,,,,
,,2008 - 2009,5,14,2.8,,,,,,,,,
,,2009 - 2010,,,,,,,,,,4,10,2.5
,,2010 - 2011,3,9,3,,,,,,,,,
,,2013 - 2014,,,,20,71,3.55,,,,,,
,,2014 - 2015,,,,"1,000.00","1,000.00",1,,,,,,
,,2016 - 2017,,,,90,280,3.11,,,,,,
,,2017 - 2018,,,,100,230,2.3,,,,,,
,,2018 - 2019,,,,1,2,2,,,,,,
,,2019 - 2020,1,4,4,,,,,,,,,
,36. Rajgarh,2000 - 2001,72,76,1.06,,,,,,,,,
,,2001 - 2002,109,104,0.95,,,,,,,,,
,,2002 - 2003,27,25,0.93,,,,,,,,,
,,2003 - 2004,145,201,1.39,,,,,,,,,
,,2004 - 2005,156,193,1.24,,,,,,,,,
,,2005 - 2006,113,125,1.11,,,,,,,,,
,,2007 - 2008,160,240,1.5,,,,,,,,,
,,2008 - 2009,107,149,1.39,,,,,,,,,
,,2009 - 2010,,,,,,,,,,156,244,1.56
,,2010 - 2011,123,177,1.44,,,,,,,,,
,,2011 - 2012,,,,136,306,2.25,,,,,,
,,2012 - 2013,,,,143,233,1.63,,,,,,
,,2013 - 2014,,,,146,323,2.21,,,,,,
,,2014 - 2015,,,,"1,000.00","1,000.00",1,,,,,,
,,2016 - 2017,,,,600,"2,000.00",3.33,,,,,,
,,2017 - 2018,,,,800,"2,160.00",2.7,,,,,,
,,2018 - 2019,,,,14,26,1.86,,,,,,
,,2019 - 2020,20,57,2.85,,,,,,,,,
,,2020 - 2021,12,37,3.08,,,,,,,,,
,,2021 - 2022,3,9,3,,,,,,,,,
,37. Ratlam,2000 - 2001,21,39,1.86,,,,,,,,,
,,2001 - 2002,16,30,1.88,,,,,,,,,
,,2002 - 2003,13,29,2.23,,,,,,,,,
,,2003 - 2004,48,131,2.73,,,,,,,,,
,,2004 - 2005,29,71,2.45,,,,,,,,,
,,2005 - 2006,32,95,2.97,,,,,,,,,
,,2007 - 2008,51,157,3.08,,,,,,,,,
,,2008 - 2009,52,159,3.06,,,,,,,,,
,,2009 - 2010,,,,,,,,,,53,153,2.89
,,2010 - 2011,20,77,3.85,,,,,,,,,
,,2011 - 2012,,,,50,266,5.32,,,,,,
,,2012 - 2013,,,,41,180,4.39,,,,,,
,,2013 - 2014,,,,42,175,4.17,,,,,,
,,2016 - 2017,,,,600,"2,000.00",3.33,,,,,,
,,2017 - 2018,,,,290,930,3.21,,,,,,
,,2018 - 2019,,,,9,38,4.22,,,,,,
,,2019 - 2020,7,23,3.29,,,,,,,,,
,,2020 - 2021,13,37,2.85,,,,,,,,,
,,2021 - 2022,3,9,3,,,,,,,,,
,38. Rewa,2000 - 2001,"5,403.00","2,942.00",0.54,,,,,,,,,
,,2001 - 2002,"5,274.00","3,386.00",0.64,,,,,,,,,
,,2002 - 2003,"5,405.00","3,231.00",0.6,,,,,,,,,
,,2003 - 2004,"5,586.00","3,203.00",0.57,,,,,,,,,
,,2004 - 2005,"5,474.00","2,952.00",0.54,,,,,,,,,
,,2005 - 2006,"5,278.00","2,715.00",0.51,,,,,,,,,
,,2007 - 2008,"4,751.00","2,247.00",0.47,,,,,,,,,
,,2008 - 2009,"5,156.00","3,311.00",0.64,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"5,195.00","3,171.00",0.61
,,2010 - 2011,"4,608.00","2,638.00",0.57,,,,,,,,,
,,2011 - 2012,,,,"4,790.00","3,256.00",0.68,,,,,,
,,2012 - 2013,,,,"4,888.00","3,211.00",0.66,,,,,,
,,2013 - 2014,,,,"4,652.00","5,100.00",1.1,,,,,,
,,2014 - 2015,,,,"2,000.00","3,000.00",1.5,,,,,,
,,2015 - 2016,,,,"4,000.00","14,000.00",3.5,,,,,,
,,2016 - 2017,,,,"4,000.00","14,000.00",3.5,,,,,,
,,2017 - 2018,,,,"5,020.00","6,710.00",1.34,,,,,,
,,2018 - 2019,,,,"1,250.00","1,708.00",1.37,,,,,,
,,2019 - 2020,807,"1,333.00",1.65,,,,,,,,,
,,2020 - 2021,592,877,1.48,,,,,,,,,
,,2021 - 2022,283,511,1.81,,,,,,,,,
,,2022 - 2023,505,697,1.38,,,,,,,,,
,39. Sagar,2000 - 2001,822,846,1.03,,,,,,,,,
,,2001 - 2002,830,980,1.18,,,,,,,,,
,,2002 - 2003,737,982,1.33,,,,,,,,,
,,2003 - 2004,790,"1,227.00",1.55,,,,,,,,,
,,2004 - 2005,888,"1,245.00",1.4,,,,,,,,,
,,2005 - 2006,992,"1,287.00",1.3,,,,,,,,,
,,2007 - 2008,766,"1,026.00",1.34,,,,,,,,,
,,2008 - 2009,717,"1,037.00",1.45,,,,,,,,,
,,2009 - 2010,,,,,,,,,,852,"1,365.00",1.6
,,2010 - 2011,882,"1,370.00",1.55,,,,,,,,,
,,2011 - 2012,,,,"1,262.00","2,252.00",1.78,,,,,,
,,2012 - 2013,,,,"1,244.00","1,685.00",1.35,,,,,,
,,2013 - 2014,,,,707,993,1.4,,,,,,
,,2014 - 2015,,,,"1,000.00","2,000.00",2,,,,,,
,,2015 - 2016,,,,"2,000.00","3,000.00",1.5,,,,,,
,,2016 - 2017,,,,"3,000.00","7,000.00",2.33,,,,,,
,,2017 - 2018,,,,"1,000.00","1,000.00",1,,,,,,
,,2018 - 2019,,,,62,130,2.1,,,,,,
,,2019 - 2020,56,135,2.41,,,,,,,,,
,,2020 - 2021,52,109,2.1,,,,,,,,,
,,2021 - 2022,30,50,1.67,,,,,,,,,
,,2022 - 2023,63,95,1.51,,,,,,,,,
,40. Satna,2000 - 2001,"6,429.00","4,473.00",0.7,,,,,,,,,
,,2001 - 2002,"7,053.00","6,201.00",0.88,,,,,,,,,
,,2002 - 2003,"7,160.00","5,944.00",0.83,,,,,,,,,
,,2003 - 2004,"7,198.00","8,055.00",1.12,,,,,,,,,
,,2004 - 2005,"6,881.00","6,321.00",0.92,,,,,,,,,
,,2005 - 2006,"7,095.00","6,950.00",0.98,,,,,,,,,
,,2007 - 2008,"7,017.00","4,503.00",0.64,,,,,,,,,
,,2008 - 2009,"7,325.00","6,601.00",0.9,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"7,263.00","7,483.00",1.03
