State,District,Year,Arhar/Tur,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2007 - 2008,,,,310,370,1.19,,,,,,
,,2008 - 2009,,,,310,300,0.97,,,,,,
,,2009 - 2010,,,,280,190,0.68,,,,,,
,,2010 - 2011,,,,230,200,0.87,,,,,,
,,2011 - 2012,,,,240,200,0.83,,,,,,
,,2012 - 2013,,,,270,240,0.89,,,,,,
,,2013 - 2014,,,,280,250,0.89,,,,,,
,,2014 - 2015,,,,280,250,0.89,,,,,,
,,2015 - 2016,,,,280,250,0.89,,,,,,
,,2016 - 2017,,,,280,250,0.89,,,,,,
,,2017 - 2018,,,,280,260,0.93,,,,,,
,,2018 - 2019,,,,280,260,0.93,,,,,,
,,2019 - 2020,,,,280,260,0.93,,,,,,
,,2020 - 2021,,,,280,260,0.93,,,,,,
,,2021 - 2022,,,,24,19,0.79,,,,,,
,,2022 - 2023,,,,37,33,0.89,,,,,,
22. Odisha,1. Anugul,2000 - 2001,,,,"8,930.00","6,430.00",0.72,,,,,,
,,2002 - 2003,,,,"8,730.00","6,050.00",0.69,,,,,,
,,2003 - 2004,,,,"9,500.00","6,500.00",0.68,,,,,,
,,2019 - 2020,,,,"9,250.00","9,570.00",1.03,,,,,,
,2. Balangir,2000 - 2001,,,,"12,470.00","7,320.00",0.59,,,,,,
,,2001 - 2002,,,,"10,010.00","4,750.00",0.47,,,,,,
,,2002 - 2003,,,,"7,680.00","4,850.00",0.63,,,,,,
,,2003 - 2004,,,,"9,160.00","7,140.00",0.78,,,,,,
,,2019 - 2020,,,,"8,600.00","10,310.00",1.2,,,,,,
,3. Baleshwar,2000 - 2001,,,,290,150,0.52,,,,,,
,,2001 - 2002,,,,270,170,0.63,,,,,,
,,2002 - 2003,,,,180,120,0.67,,,,,,
,,2003 - 2004,,,,150,90,0.6,,,,,,
,4. Bargarh,2000 - 2001,,,,"2,310.00","1,670.00",0.72,,,,,,
,,2001 - 2002,,,,"2,420.00","2,300.00",0.95,,,,,,
,,2002 - 2003,,,,"2,200.00","1,610.00",0.73,,,,,,
,,2003 - 2004,,,,"2,260.00","1,770.00",0.78,,,,,,
,,2019 - 2020,,,,"2,060.00","1,900.00",0.92,,,,,,
,5. Bhadrak,2000 - 2001,,,,30,20,0.67,,,,,,
,,2001 - 2002,,,,20,20,1,,,,,,
,,2002 - 2003,,,,30,30,1,,,,,,
,,2003 - 2004,,,,20,20,1,,,,,,
,6. Boudh,2000 - 2001,,,,"2,930.00","2,720.00",0.93,,,,,,
,,2001 - 2002,,,,"2,970.00","2,670.00",0.9,,,,,,
,,2002 - 2003,,,,"3,020.00","2,110.00",0.7,,,,,,
,,2003 - 2004,,,,"3,610.00","1,810.00",0.5,,,,,,
,,2019 - 2020,,,,"4,810.00","4,500.00",0.94,,,,,,
,7. Cuttack,2000 - 2001,30,20,0.67,"1,360.00","1,070.00",0.79,,,,,,
,,2001 - 2002,40,30,0.75,"1,160.00",950,0.82,,,,,,
,,2002 - 2003,,,,890,720,0.81,,,,,,
,,2003 - 2004,,,,980,860,0.88,,,,,,
,,2019 - 2020,,,,310,270,0.87,,,,,,
,8. Deogarh,2000 - 2001,,,,440,220,0.5,,,,,,
,,2001 - 2002,,,,410,240,0.59,,,,,,
,,2002 - 2003,,,,530,300,0.57,,,,,,
,,2003 - 2004,,,,670,400,0.6,,,,,,
,,2019 - 2020,,,,"2,900.00","3,120.00",1.08,,,,,,
,9. Dhenkanal,2000 - 2001,,,,"6,070.00","4,490.00",0.74,,,,,,
,,2002 - 2003,,,,"4,220.00","3,070.00",0.73,,,,,,
,,2003 - 2004,,,,"4,620.00","3,370.00",0.73,,,,,,
,,2019 - 2020,,,,"3,050.00","2,830.00",0.93,,,,,,
,10. Gajapati,2000 - 2001,,,,"3,970.00","4,020.00",1.01,,,,,,
,,2001 - 2002,,,,"4,370.00","3,100.00",0.71,,,,,,
,,2002 - 2003,,,,"4,360.00","4,230.00",0.97,,,,,,
,,2003 - 2004,,,,"4,370.00","5,030.00",1.15,,,,,,
,,2019 - 2020,,,,"3,100.00","2,810.00",0.91,,,,,,
,11. Ganjam,2000 - 2001,,,,"9,690.00","8,140.00",0.84,,,,,,
,,2001 - 2002,,,,"11,620.00","8,600.00",0.74,,,,,,
,,2002 - 2003,,,,"9,150.00","5,780.00",0.63,,,,,,
,,2003 - 2004,,,,"11,260.00","6,820.00",0.61,,,,,,
,,2019 - 2020,,,,"15,470.00","15,750.00",1.02,,,,,,
,12. Jagatsinghapur,2000 - 2001,,,,130,70,0.54,,,,,,
,,2001 - 2002,,,,140,140,1,,,,,,
,,2002 - 2003,50,40,0.8,50,40,0.8,,,,,,
,,2003 - 2004,,,,130,100,0.77,,,,,,
,13. Jajapur,2000 - 2001,,,,"2,890.00","1,030.00",0.36,,,,,,
,,2001 - 2002,170,80,0.47,"2,860.00",950,0.33,,,,,,
,,2002 - 2003,,,,"1,500.00",520,0.35,,,,,,
,,2003 - 2004,,,,"2,630.00",980,0.37,,,,,,
,,2019 - 2020,,,,450,360,0.8,,,,,,
,14. Jharsuguda,2000 - 2001,,,,280,160,0.57,,,,,,
,,2001 - 2002,,,,560,350,0.63,,,,,,
,,2002 - 2003,,,,650,400,0.62,,,,,,
,,2003 - 2004,,,,580,370,0.64,,,,,,
,,2019 - 2020,,,,310,320,1.03,,,,,,
,15. Kalahandi,2000 - 2001,,,,"20,740.00","13,650.00",0.66,,,,,,
,,2001 - 2002,,,,"19,700.00","11,960.00",0.61,,,,,,
,,2002 - 2003,,,,"11,640.00","6,820.00",0.59,,,,,,
,,2003 - 2004,,,,"18,560.00","14,400.00",0.78,,,,,,
,,2019 - 2020,,,,"19,350.00","34,520.00",1.78,,,,,,
,16. Kandhamal,2000 - 2001,,,,"5,350.00","4,320.00",0.81,,,,,,
,,2001 - 2002,,,,"5,250.00","4,350.00",0.83,,,,,,
,,2002 - 2003,,,,"5,140.00","4,360.00",0.85,,,,,,
,,2003 - 2004,,,,"4,910.00","4,350.00",0.89,,,,,,
,,2019 - 2020,,,,"4,570.00","3,360.00",0.74,,,,,,
,17. Kendrapara,2000 - 2001,,,,100,90,0.9,,,,,,
,,2001 - 2002,80,50,0.63,20,10,0.5,,,,,,
,,2002 - 2003,,,,40,40,1,,,,,,
,,2003 - 2004,,,,20,20,1,,,,,,
,,2019 - 2020,,,,10,10,1,,,,,,
,18. Kendujhar,2000 - 2001,,,,"8,450.00","4,990.00",0.59,,,,,,
,,2001 - 2002,,,,"6,250.00","4,340.00",0.69,,,,,,
,,2002 - 2003,,,,"5,110.00","3,080.00",0.6,,,,,,
,,2003 - 2004,,,,"7,230.00","5,540.00",0.77,,,,,,
,,2019 - 2020,,,,"2,690.00","3,030.00",1.13,,,,,,
,19. Khordha,2000 - 2001,20,10,0.5,850,390,0.46,,,,,,
,,2001 - 2002,,,,660,360,0.55,,,,,,
,,2002 - 2003,20,10,0.5,710,260,0.37,,,,,,
,,2003 - 2004,,,,770,380,0.49,,,,,,
,,2019 - 2020,,,,480,200,0.42,,,,,,
,20. Koraput,2000 - 2001,,,,"5,740.00","2,040.00",0.36,,,,,,
,,2001 - 2002,,,,"5,460.00","1,930.00",0.35,,,,,,
,,2002 - 2003,,,,"5,410.00","1,830.00",0.34,,,,,,
,,2003 - 2004,,,,"5,360.00","2,130.00",0.4,,,,,,
,,2019 - 2020,,,,"4,410.00","4,700.00",1.07,,,,,,
,21. Malkangiri,2000 - 2001,,,,"3,440.00","2,150.00",0.63,,,,,,
,,2001 - 2002,,,,"2,980.00","2,260.00",0.76,,,,,,
,,2002 - 2003,,,,"1,430.00",460,0.32,,,,,,
,,2003 - 2004,,,,"2,340.00",800,0.34,,,,,,
,,2019 - 2020,,,,"1,180.00",850,0.72,,,,,,
,22. Mayurbhanj,2000 - 2001,,,,"7,830.00","5,860.00",0.75,,,,,,
,,2001 - 2002,,,,"6,270.00","5,270.00",0.84,,,,,,
,,2002 - 2003,,,,"5,740.00","4,220.00",0.74,,,,,,
,,2003 - 2004,,,,"7,100.00","5,330.00",0.75,,,,,,
,,2019 - 2020,,,,"5,800.00","4,810.00",0.83,,,,,,
,23. Nabarangpur,2000 - 2001,,,,"5,570.00","4,570.00",0.82,,,,,,
,,2001 - 2002,,,,"4,890.00","3,900.00",0.8,,,,,,
,,2002 - 2003,,,,"3,380.00","2,350.00",0.7,,,,,,
,,2003 - 2004,,,,"3,910.00","1,880.00",0.48,,,,,,
,,2019 - 2020,,,,"1,250.00","1,130.00",0.9,,,,,,
,24. Nayagarh,2000 - 2001,,,,"1,350.00",860,0.64,,,,,,
,,2001 - 2002,,,,"1,390.00","1,780.00",1.28,,,,,,
,,2002 - 2003,,,,"1,280.00","1,550.00",1.21,,,,,,
,,2003 - 2004,,,,"1,340.00",820,0.61,,,,,,
,,2019 - 2020,,,,"1,000.00",890,0.89,,,,,,
,25. Nuapada,2000 - 2001,,,,"9,700.00","1,940.00",0.2,,,,,,
,,2001 - 2002,,,,"8,000.00","3,840.00",0.48,,,,,,
,,2002 - 2003,,,,"5,370.00","2,040.00",0.38,,,,,,
,,2003 - 2004,,,,"8,740.00","3,020.00",0.35,,,,,,
,,2019 - 2020,,,,"5,040.00","5,550.00",1.1,,,,,,
,26. Puri,2000 - 2001,,,,20,10,0.5,,,,,,
,27. Rayagada,2000 - 2001,,,,"17,510.00","13,870.00",0.79,,,,,,
,,2001 - 2002,,,,"19,000.00","12,330.00",0.65,,,,,,
,,2002 - 2003,,,,"18,540.00","12,890.00",0.7,,,,,,
,,2003 - 2004,,,,"18,900.00","17,140.00",0.91,,,,,,
,,2019 - 2020,,,,"16,120.00","19,300.00",1.2,,,,,,
,28. Sambalpur,2000 - 2001,,,,800,500,0.63,,,,,,
,,2001 - 2002,,,,850,610,0.72,,,,,,
,,2002 - 2003,,,,"1,040.00",670,0.64,,,,,,
,,2003 - 2004,,,,"1,070.00",780,0.73,,,,,,
,,2019 - 2020,,,,"2,790.00","3,190.00",1.14,,,,,,
,29. Sonepur,2000 - 2001,,,,"2,680.00","1,460.00",0.54,,,,,,
,,2001 - 2002,,,,"2,340.00","1,170.00",0.5,,,,,,
,,2002 - 2003,,,,"2,010.00",950,0.47,,,,,,
,,2003 - 2004,,,,"2,080.00","1,260.00",0.61,,,,,,
,,2019 - 2020,,,,"6,130.00","5,010.00",0.82,,,,,,
,30. Sundargarh,2000 - 2001,,,,"7,220.00","2,960.00",0.41,,,,,,
,,2001 - 2002,,,,"6,210.00","2,990.00",0.48,,,,,,
,,2002 - 2003,,,,"4,160.00","2,100.00",0.5,,,,,,
,,2003 - 2004,,,,"4,270.00","2,480.00",0.58,,,,,,
,,2019 - 2020,,,,"7,500.00","6,290.00",0.84,,,,,,
23. Punjab,1. Amritsar,2000 - 2001,,,,"1,200.00","1,400.00",1.17,,,,,,
,,2001 - 2002,,,,"1,400.00","1,100.00",0.79,,,,,,
,,2002 - 2003,,,,"1,200.00","1,000.00",0.83,,,,,,
,,2003 - 2004,,,,"1,500.00","1,400.00",0.93,,,,,,
,,2004 - 2005,,,,"1,400.00","1,100.00",0.79,,,,,,
,,2005 - 2006,,,,"1,100.00",900,0.82,,,,,,
,,2006 - 2007,,,,200,200,1,,,,,,
,,2007 - 2008,,,,200,200,1,,,,,,
,,2008 - 2009,,,,200,200,1,,,,,,
,,2009 - 2010,,,,100,100,1,,,,,,
,,2010 - 2011,,,,100,100,1,,,,,,
,,2011 - 2012,,,,100,100,1,,,,,,
,,2012 - 2013,,,,100,100,1,,,,,,
,,2013 - 2014,,,,200,200,1,,,,,,
,,2014 - 2015,,,,200,180,0.9,,,,,,
,,2015 - 2016,,,,200,200,1,,,,,,
,,2016 - 2017,,,,400,300,0.75,,,,,,
,,2017 - 2018,,,,400,400,1,,,,,,
,,2018 - 2019,,,,300,300,1,,,,,,
,,2019 - 2020,,,,300,300,1,,,,,,
,,2020 - 2021,,,,100,100,1,,,,,,
,,2021 - 2022,,,,100,100,1,,,,,,
,,2022 - 2023,,,,100,100,1,,,,,,
,2. Barnala,2007 - 2008,,,,100,100,1,,,,,,
,,2008 - 2009,,,,100,100,1,,,,,,
,,2009 - 2010,,,,100,100,1,,,,,,
,,2010 - 2011,,,,100,100,1,,,,,,
,,2011 - 2012,,,,100,100,1,,,,,,
,,2012 - 2013,,,,100,100,1,,,,,,
,,2013 - 2014,,,,100,100,1,,,,,,
,,2014 - 2015,,,,100,90,0.9,,,,,,
,,2016 - 2017,,,,100,100,1,,,,,,
,,2017 - 2018,,,,100,100,1,,,,,,
,,2018 - 2019,,,,100,100,1,,,,,,
,,2020 - 2021,,,,100,100,1,,,,,,
,,2021 - 2022,,,,100,100,1,,,,,,
,3. Bathinda,2003 - 2004,,,,100,100,1,,,,,,
,,2016 - 2017,,,,200,200,1,,,,,,
,4. Faridkot,2000 - 2001,,,,100,100,1,,,,,,
,,2001 - 2002,,,,100,100,1,,,,,,
,,2003 - 2004,,,,300,300,1,,,,,,
,,2004 - 2005,,,,200,200,1,,,,,,
,,2005 - 2006,,,,100,100,1,,,,,,
,,2006 - 2007,,,,100,100,1,,,,,,
,,2010 - 2011,,,,100,100,1,,,,,,
,,2016 - 2017,,,,100,100,1,,,,,,
,5. Fatehgarh sahib,2000 - 2001,,,,300,300,1,,,,,,
,,2001 - 2002,,,,300,400,1.33,,,,,,
,,2002 - 2003,,,,200,200,1,,,,,,
,,2003 - 2004,,,,200,200,1,,,,,,
,,2004 - 2005,,,,200,200,1,,,,,,
,,2005 - 2006,,,,200,200,1,,,,,,
,,2006 - 2007,,,,100,100,1,,,,,,
,,2008 - 2009,,,,200,200,1,,,,,,
,,2009 - 2010,,,,100,100,1,,,,,,
,6. Fazilka,2016 - 2017,,,,"2,400.00","2,100.00",0.88,,,,,,
,,2017 - 2018,,,,200,300,1.5,,,,,,
,7. Firozepur,2000 - 2001,,,,100,100,1,,,,,,
,,2001 - 2002,,,,200,200,1,,,,,,
,,2002 - 2003,,,,200,200,1,,,,,,
,,2003 - 2004,,,,300,300,1,,,,,,
,,2004 - 2005,,,,200,200,1,,,,,,
,,2005 - 2006,,,,200,200,1,,,,,,
,,2006 - 2007,,,,200,200,1,,,,,,
,,2007 - 2008,,,,200,200,1,,,,,,
,,2008 - 2009,,,,100,100,1,,,,,,
,,2009 - 2010,,,,200,200,1,,,,,,
,,2012 - 2013,,,,100,100,1,,,,,,
,,2017 - 2018,,,,100,100,1,,,,,,
,8. Gurdaspur,2004 - 2005,,,,100,100,1,,,,,,
,,2005 - 2006,,,,100,100,1,,,,,,
,9. Hoshiarpur,2000 - 2001,,,,100,100,1,,,,,,
,,2001 - 2002,,,,100,100,1,,,,,,
,,2002 - 2003,,,,100,100,1,,,,,,
,,2003 - 2004,,,,100,100,1,,,,,,
,,2004 - 2005,,,,100,100,1,,,,,,
,,2006 - 2007,,,,100,100,1,,,,,,
,,2007 - 2008,,,,100,100,1,,,,,,
,,2008 - 2009,,,,100,100,1,,,,,,
,,2009 - 2010,,,,100,100,1,,,,,,
,,2011 - 2012,,,,100,100,1,,,,,,
,,2012 - 2013,,,,100,100,1,,,,,,
,10. Jalandhar,2000 - 2001,,,,700,500,0.71,,,,,,
,,2001 - 2002,,,,"1,000.00","1,100.00",1.1,,,,,,
,,2002 - 2003,,,,800,900,1.13,,,,,,
,,2003 - 2004,,,,"1,100.00","1,200.00",1.09,,,,,,
,,2004 - 2005,,,,"1,200.00","1,400.00",1.17,,,,,,
,,2005 - 2006,,,,"1,200.00","1,200.00",1,,,,,,
,,2006 - 2007,,,,"1,000.00","1,100.00",1.1,,,,,,
,,2007 - 2008,,,,900,900,1,,,,,,
,,2008 - 2009,,,,"1,000.00","1,000.00",1,,,,,,
,,2009 - 2010,,,,700,700,1,,,,,,
,,2010 - 2011,,,,600,600,1,,,,,,
,,2011 - 2012,,,,600,600,1,,,,,,
,,2012 - 2013,,,,600,600,1,,,,,,
,,2013 - 2014,,,,400,400,1,,,,,,
,,2014 - 2015,,,,400,350,0.88,,,,,,
,,2015 - 2016,,,,400,410,1.03,,,,,,
,,2016 - 2017,,,,300,300,1,,,,,,
,,2017 - 2018,,,,300,300,1,,,,,,
,,2018 - 2019,,,,300,300,1,,,,,,
,,2019 - 2020,,,,200,300,1.5,,,,,,
,,2020 - 2021,,,,300,400,1.33,,,,,,
,,2021 - 2022,,,,200,200,1,,,,,,
,,2022 - 2023,,,,300,300,1,,,,,,
,11. Kapurthala,2003 - 2004,,,,100,100,1,,,,,,
,,2004 - 2005,,,,100,100,1,,,,,,
,,2005 - 2006,,,,100,100,1,,,,,,
,12. Ludhiana,2000 - 2001,,,,"2,200.00","1,800.00",0.82,,,,,,
,,2001 - 2002,,,,"2,300.00","1,600.00",0.7,,,,,,
,,2002 - 2003,,,,"2,000.00","1,600.00",0.8,,,,,,
,,2003 - 2004,,,,"2,200.00","1,800.00",0.82,,,,,,
,,2004 - 2005,,,,"2,000.00","1,600.00",0.8,,,,,,
,,2005 - 2006,,,,"1,900.00","1,500.00",0.79,,,,,,
,,2006 - 2007,,,,"1,800.00","1,600.00",0.89,,,,,,
,,2007 - 2008,,,,"1,500.00","1,300.00",0.87,,,,,,
,,2008 - 2009,,,,"1,400.00","1,100.00",0.79,,,,,,
,,2009 - 2010,,,,"1,200.00","1,300.00",1.08,,,,,,
,,2010 - 2011,,,,"1,100.00","1,000.00",0.91,,,,,,
,,2011 - 2012,,,,800,700,0.88,,,,,,
,,2012 - 2013,,,,100,800,8,,,,,,
,,2013 - 2014,,,,900,800,0.89,,,,,,
,,2014 - 2015,,,,700,760,1.09,,,,,,
,,2015 - 2016,,,,700,750,1.07,,,,,,
,,2016 - 2017,,,,700,500,0.71,,,,,,
,,2017 - 2018,,,,600,600,1,,,,,,
,,2018 - 2019,,,,600,600,1,,,,,,
,,2019 - 2020,,,,600,600,1,,,,,,
,,2020 - 2021,,,,500,600,1.2,,,,,,
,,2021 - 2022,,,,400,400,1,,,,,,
,,2022 - 2023,,,,300,400,1.33,,,,,,
,13. Malerkotla,2021 - 2022,,,,100,100,1,,,,,,
,,2022 - 2023,,,,100,100,1,,,,,,
,14. Mansa,2016 - 2017,,,,100,100,1,,,,,,
,15. Moga,2000 - 2001,,,,800,700,0.88,,,,,,
,,2001 - 2002,,,,300,200,0.67,,,,,,
,,2002 - 2003,,,,900,600,0.67,,,,,,
,,2003 - 2004,,,,"1,000.00",600,0.6,,,,,,
,,2004 - 2005,,,,900,600,0.67,,,,,,
,,2005 - 2006,,,,800,600,0.75,,,,,,
,,2006 - 2007,,,,800,700,0.88,,,,,,
,,2007 - 2008,,,,600,500,0.83,,,,,,
,,2008 - 2009,,,,400,400,1,,,,,,
,,2009 - 2010,,,,400,300,0.75,,,,,,
,,2010 - 2011,,,,500,600,1.2,,,,,,
,,2011 - 2012,,,,200,200,1,,,,,,
,,2012 - 2013,,,,300,200,0.67,,,,,,
,,2013 - 2014,,,,200,200,1,,,,,,
,,2014 - 2015,,,,200,100,0.5,,,,,,
,,2015 - 2016,,,,300,300,1,,,,,,
,,2016 - 2017,,,,200,200,1,,,,,,
,,2017 - 2018,,,,200,200,1,,,,,,
,,2018 - 2019,,,,300,400,1.33,,,,,,
,,2019 - 2020,,,,300,300,1,,,,,,
,,2020 - 2021,,,,300,400,1.33,,,,,,
,,2021 - 2022,,,,200,300,1.5,,,,,,
,,2022 - 2023,,,,200,200,1,,,,,,
,16. Muktsar,2000 - 2001,,,,100,100,1,,,,,,
,,2001 - 2002,,,,700,400,0.57,,,,,,
,,2003 - 2004,,,,100,100,1,,,,,,
,,2004 - 2005,,,,100,100,1,,,,,,
,,2016 - 2017,,,,500,400,0.8,,,,,,
,,2017 - 2018,,,,200,200,1,,,,,,
,17. Nawanshahr,2000 - 2001,,,,100,100,1,,,,,,
,,2003 - 2004,,,,100,100,1,,,,,,
,,2004 - 2005,,,,100,100,1,,,,,,
,,2005 - 2006,,,,100,100,1,,,,,,
,,2006 - 2007,,,,100,100,1,,,,,,
,,2008 - 2009,,,,100,100,1,,,,,,
,,2009 - 2010,,,,100,100,1,,,,,,
,18. Patiala,2000 - 2001,,,,400,300,0.75,,,,,,
,,2001 - 2002,,,,300,300,1,,,,,,
,,2002 - 2003,,,,200,200,1,,,,,,
,,2003 - 2004,,,,300,300,1,,,,,,
,,2004 - 2005,,,,200,200,1,,,,,,
,,2005 - 2006,,,,200,200,1,,,,,,
,,2006 - 2007,,,,100,100,1,,,,,,
,,2007 - 2008,,,,100,100,1,,,,,,
,,2008 - 2009,,,,100,100,1,,,,,,
,,2009 - 2010,,,,100,100,1,,,,,,
,,2012 - 2013,,,,100,100,1,,,,,,
,19. Rupnagar,2000 - 2001,,,,700,500,0.71,,,,,,
,,2001 - 2002,,,,500,400,0.8,,,,,,
,,2002 - 2003,,,,300,300,1,,,,,,
,,2003 - 2004,,,,300,200,0.67,,,,,,
,,2004 - 2005,,,,300,200,0.67,,,,,,
,,2005 - 2006,,,,200,200,1,,,,,,
,,2006 - 2007,,,,100,100,1,,,,,,
,,2007 - 2008,,,,200,200,1,,,,,,
,,2008 - 2009,,,,200,100,0.5,,,,,,
,,2009 - 2010,,,,100,100,1,,,,,,
,,2010 - 2011,,,,600,500,0.83,,,,,,
,,2011 - 2012,,,,100,100,1,,,,,,
,,2014 - 2015,,,,100,90,0.9,,,,,,
,,2015 - 2016,,,,100,100,1,,,,,,
,,2016 - 2017,,,,100,100,1,,,,,,
,20. S.a.s nagar,2006 - 2007,,,,200,200,1,,,,,,
,,2007 - 2008,,,,300,300,1,,,,,,
,,2008 - 2009,,,,300,300,1,,,,,,
,,2009 - 2010,,,,200,300,1.5,,,,,,
,,2010 - 2011,,,,200,200,1,,,,,,
,,2011 - 2012,,,,200,200,1,,,,,,
,,2012 - 2013,,,,200,200,1,,,,,,
,,2013 - 2014,,,,300,300,1,,,,,,
,,2014 - 2015,,,,300,280,0.93,,,,,,
,,2015 - 2016,,,,200,200,1,,,,,,
,,2016 - 2017,,,,200,200,1,,,,,,
,,2017 - 2018,,,,200,200,1,,,,,,
,,2018 - 2019,,,,200,200,1,,,,,,
,,2019 - 2020,,,,200,200,1,,,,,,
,,2020 - 2021,,,,200,200,1,,,,,,
,,2021 - 2022,,,,100,100,1,,,,,,
,,2022 - 2023,,,,100,100,1,,,,,,
,21. Sangrur,2000 - 2001,,,,"1,900.00","1,600.00",0.84,,,,,,
,,2001 - 2002,,,,"2,000.00","2,000.00",1,,,,,,
,,2002 - 2003,,,,"1,900.00","1,600.00",0.84,,,,,,
,,2003 - 2004,,,,"2,000.00","2,200.00",1.1,,,,,,
,,2004 - 2005,,,,"1,800.00","1,500.00",0.83,,,,,,
,,2005 - 2006,,,,"1,600.00","1,500.00",0.94,,,,,,
,,2006 - 2007,,,,"1,500.00","1,300.00",0.87,,,,,,
,,2007 - 2008,,,,"1,000.00",800,0.8,,,,,,
,,2008 - 2009,,,,800,800,1,,,,,,
,,2009 - 2010,,,,500,400,0.8,,,,,,
,,2010 - 2011,,,,400,300,0.75,,,,,,
,,2011 - 2012,,,,400,300,0.75,,,,,,
,,2012 - 2013,,,,400,300,0.75,,,,,,
,,2013 - 2014,,,,400,300,0.75,,,,,,
,,2014 - 2015,,,,300,370,1.23,,,,,,
,,2015 - 2016,,,,300,330,1.1,,,,,,
,,2016 - 2017,,,,200,200,1,,,,,,
,,2017 - 2018,,,,200,200,1,,,,,,
,,2018 - 2019,,,,200,200,1,,,,,,
,,2019 - 2020,,,,100,100,1,,,,,,
,,2020 - 2021,,,,100,100,1,,,,,,
,,2021 - 2022,,,,100,100,1,,,,,,
,22. Tarn taran,2006 - 2007,,,,900,800,0.89,,,,,,
,,2007 - 2008,,,,800,700,0.88,,,,,,
,,2008 - 2009,,,,900,"1,100.00",1.22,,,,,,
,,2009 - 2010,,,,700,500,0.71,,,,,,
,,2010 - 2011,,,,500,400,0.8,,,,,,
,,2011 - 2012,,,,500,300,0.6,,,,,,
,,2012 - 2013,,,,300,300,1,,,,,,
,,2013 - 2014,,,,400,300,0.75,,,,,,
,,2014 - 2015,,,,300,170,0.57,,,,,,
,,2015 - 2016,,,,400,340,0.85,,,,,,
,,2016 - 2017,,,,200,100,0.5,,,,,,
,,2017 - 2018,,,,100,100,1,,,,,,
,,2018 - 2019,,,,300,300,1,,,,,,
,,2019 - 2020,,,,300,400,1.33,,,,,,
,,2020 - 2021,,,,200,200,1,,,,,,
,,2021 - 2022,,,,200,100,0.5,,,,,,
,,2022 - 2023,,,,100,100,1,,,,,,
24. Rajasthan,1. Ajmer,2000 - 2001,,,,43,,0,,,,,,
,,2001 - 2002,,,,4,2,0.5,,,,,,
,,2002 - 2003,,,,36,,0,,,,,,
,,2003 - 2004,,,,15,15,1,,,,,,
,,2004 - 2005,,,,3,,0,,,,,,
,,2007 - 2008,,,,57,12,0.21,,,,,,
,,2009 - 2010,,,,6,,0,,,,,,
,,2010 - 2011,,,,7,7,1,,,,,,
,,2011 - 2012,,,,47,10,0.21,,,,,,
,,2014 - 2015,,,,1,1,1,,,,,,
,,2016 - 2017,,,,2,,0,,,,,,
,2. Alwar,2000 - 2001,,,,"2,939.00","2,815.00",0.96,,,,,,
,,2001 - 2002,,,,"2,980.00","2,401.00",0.81,,,,,,
,,2002 - 2003,,,,954,142,0.15,,,,,,
,,2003 - 2004,,,,"1,041.00","1,057.00",1.02,,,,,,
,,2004 - 2005,,,,"1,252.00","4,322.00",3.45,,,,,,
,,2005 - 2006,,,,"1,649.00","1,553.00",0.94,,,,,,
,,2006 - 2007,,,,"1,497.00","1,303.00",0.87,,,,,,
,,2007 - 2008,,,,"1,172.00","1,208.00",1.03,,,,,,
,,2008 - 2009,,,,"2,207.00","1,844.00",0.84,,,,,,
,,2009 - 2010,,,,"2,608.00",792,0.3,,,,,,
,,2010 - 2011,,,,"5,064.00","4,796.00",0.95,,,,,,
,,2011 - 2012,,,,"4,034.00","4,098.00",1.02,,,,,,
,,2012 - 2013,,,,"2,925.00","3,514.00",1.2,,,,,,
,,2013 - 2014,,,,"2,139.00","2,324.00",1.09,,,,,,
,,2014 - 2015,,,,"1,453.00","1,775.00",1.22,,,,,,
,,2015 - 2016,,,,"1,071.00","1,151.00",1.07,,,,,,
,,2016 - 2017,,,,"1,921.00","2,187.00",1.14,,,,,,
,,2017 - 2018,,,,826,902,1.09,,,,,,
,,2018 - 2019,,,,641,770,1.2,,,,,,
,,2019 - 2020,,,,94,115,1.22,,,,,,
,,2020 - 2021,,,,70,84,1.2,,,,,,
,,2021 - 2022,,,,79,84,1.06,,,,,,
,,2022 - 2023,,,,23,36,1.57,,,,,,
,3. Banswara,2000 - 2001,,,,"7,544.00","1,711.00",0.23,,,,,,
,,2001 - 2002,,,,"6,974.00","2,786.00",0.4,,,,,,
,,2002 - 2003,,,,"6,082.00","2,158.00",0.35,,,,,,
,,2003 - 2004,,,,"6,254.00","4,373.00",0.7,,,,,,
,,2004 - 2005,,,,"7,000.00","3,362.00",0.48,,,,,,
,,2005 - 2006,,,,"7,812.00","4,232.00",0.54,,,,,,
,,2006 - 2007,,,,"7,079.00","1,714.00",0.24,,,,,,
,,2007 - 2008,,,,"6,571.00","4,623.00",0.7,,,,,,
,,2008 - 2009,,,,"6,199.00","3,768.00",0.61,,,,,,
,,2009 - 2010,,,,"5,843.00","1,425.00",0.24,,,,,,
,,2010 - 2011,,,,"6,025.00","2,954.00",0.49,,,,,,
