State,District,Year,Arhar/Tur,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2003 - 2004,6,3,0.5,"4,274.00","2,188.00",0.51,,,,,,
,,2004 - 2005,3,1,0.33,"4,745.00","2,216.00",0.47,,,,,,
,,2005 - 2006,,,,"3,849.00","1,124.00",0.29,,,,,,
,,2006 - 2007,,,,"3,736.00","1,375.00",0.37,,,,,,
,,2007 - 2008,,,,"3,000.00","2,000.00",0.67,,,,,,
,,2008 - 2009,,,,"2,874.00",868,0.3,,,,,,
,,2009 - 2010,362,197,0.54,"2,023.00","1,101.00",0.54,,,,,,
,,2010 - 2011,18,7,0.39,"3,717.00","1,412.00",0.38,,,,,,
,,2011 - 2012,29,12,0.41,"2,719.00","1,088.00",0.4,,,,,,
,,2012 - 2013,,,,"2,000.00","1,000.00",0.5,,,,,,
,,2013 - 2014,22,8,0.36,"1,806.00",619,0.34,,,,,,
,,2014 - 2015,4,1,0.25,"1,965.00",364,0.19,,,,,,
,,2015 - 2016,6,2,0.33,"1,584.00",413,0.26,,,,,,
,,2016 - 2017,3,1,0.33,"1,783.00",854,0.48,,,,,,
,,2017 - 2018,,,,"1,566.00",752,0.48,,,,,,
,,2018 - 2019,,,,"1,189.00",443,0.37,,,,,,
,,2019 - 2020,1,0,0,973,406,0.42,,,,,,
,,2020 - 2021,,,,669,244,0.36,,,,,,
,,2021 - 2022,,,,"1,099.00",410,0.37,,,,,,
,,2022 - 2023,,,,39,14,0.36,,,,,,
,25. Vizianagaram,2000 - 2001,,,,"1,304.00",722,0.55,,,,,,
,,2001 - 2002,,,,"1,313.00",765,0.58,,,,,,
,,2002 - 2003,,,,"1,587.00",555,0.35,,,,,,
,,2003 - 2004,,,,"1,871.00",791,0.42,,,,,,
,,2004 - 2005,,,,"1,853.00","1,227.00",0.66,,,,,,
,,2005 - 2006,,,,"1,507.00",913,0.61,,,,,,
,,2006 - 2007,,,,"1,482.00",713,0.48,,,,,,
,,2007 - 2008,,,,"2,000.00","1,000.00",0.5,,,,,,
,,2008 - 2009,,,,"1,878.00",896,0.48,,,,,,
