State,District,Year,Jute,,,,,,,,
,,,Kharif,,,Rabi,,,Autumn,,
,,,Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare)
,19. Kamrup metro,2005 - 2006,69,969,14.04,,,,,,
,,2006 - 2007,67,649,9.69,,,,,,
,,2007 - 2008,139,"1,526.00",10.98,,,,,,
,,2008 - 2009,145,"1,562.00",10.77,,,,,,
,,2009 - 2010,60,656,10.93,,,,,,
,,2010 - 2011,51,512,10.04,,,,,,
,,2011 - 2012,47,436,9.28,,,,,,
,,2012 - 2013,50,428,8.56,,,,,,
,,2013 - 2014,46,473,10.28,,,,,,
,,2014 - 2015,42,458,10.9,,,,,,
,,2015 - 2016,42,504,12,,,,,,
,,2016 - 2017,41,438,10.68,,,,,,
,,2017 - 2018,39,469,12.03,,,,,,
,,2018 - 2019,34,394,11.59,,,,,,
,,2019 - 2020,34,419,12.32,,,,,,
,,2020 - 2021,34,418,12.29,,,,,,
,,2021 - 2022,52,628,12.08,,,,,,
,,2022 - 2023,42,499,11.88,,,,,,
,20. Karbi anglong,2000 - 2001,"2,012.00","26,182.00",13.01,,,,,,
,,2001 - 2002,"2,003.00","21,717.00",10.84,,,,,,
,,2002 - 2003,"1,997.00","24,007.00",12.02,,,,,,
,,2003 - 2004,"1,951.00","23,390.00",11.99,,,,,,
,,2004 - 2005,"1,989.00","14,078.00",7.08,,,,,,
,,2005 - 2006,"1,036.00","13,248.00",12.79,,,,,,
,,2006 - 2007,"1,866.00","20,067.00",10.75,,,,,,
,,2007 - 2008,"1,711.00","18,783.00",10.98,,,,,,
,,2008 - 2009,"1,711.00","19,011.00",11.11,,,,,,
,,2009 - 2010,"1,744.00","17,610.00",10.1,,,,,,
,,2010 - 2011,"1,757.00","16,734.00",9.52,,,,,,
,,2011 - 2012,"1,711.00","15,865.00",9.27,,,,,,
,,2012 - 2013,"1,713.00","14,684.00",8.57,,,,,,
,,2013 - 2014,"1,701.00","17,473.00",10.27,,,,,,
,,2014 - 2015,"1,395.00","15,205.00",10.9,,,,,,
,,2015 - 2016,"1,405.00","16,868.00",12.01,,,,,,
,,2016 - 2017,"1,463.00","15,630.00",10.68,,,,,,
,,2017 - 2018,"1,405.00","16,899.00",12.03,,,,,,
,,2018 - 2019,"1,367.00","15,826.00",11.58,,,,,,
,,2019 - 2020,"1,325.00","16,327.00",12.32,,,,,,
,,2020 - 2021,690,"8,491.00",12.31,,,,,,
,,2021 - 2022,688,"8,313.00",12.08,,,,,,
,,2022 - 2023,491,"5,829.00",11.87,,,,,,
,21. Karimganj,2000 - 2001,60,577,9.62,,,,,,
,,2001 - 2002,60,594,9.9,,,,,,
,,2002 - 2003,62,630,10.16,,,,,,
,,2003 - 2004,55,571,10.38,,,,,,
,,2004 - 2005,80,566,7.08,,,,,,
,,2005 - 2006,80,816,10.2,,,,,,
,,2006 - 2007,70,678,9.69,,,,,,
,,2007 - 2008,75,823,10.97,,,,,,
,,2008 - 2009,61,657,10.77,,,,,,
,,2009 - 2010,65,710,10.92,,,,,,
,,2010 - 2011,61,613,10.05,,,,,,
,,2011 - 2012,66,612,9.27,,,,,,
,,2012 - 2013,60,517,8.62,,,,,,
,,2013 - 2014,65,668,10.28,,,,,,
,,2014 - 2015,55,600,10.91,,,,,,
,,2015 - 2016,56,672,12,,,,,,
,,2016 - 2017,55,588,10.69,,,,,,
,,2017 - 2018,49,589,12.02,,,,,,
,,2018 - 2019,50,579,11.58,,,,,,
,,2019 - 2020,49,604,12.33,,,,,,
,,2020 - 2021,49,603,12.31,,,,,,
,,2021 - 2022,49,592,12.08,,,,,,
,,2022 - 2023,48,570,11.88,,,,,,
,22. Kokrajhar,2000 - 2001,"3,025.00","23,809.00",7.87,,,,,,
,,2001 - 2002,"2,525.00","21,072.00",8.35,,,,,,
,,2002 - 2003,"2,451.00","26,312.00",10.74,,,,,,
,,2003 - 2004,"2,491.00","26,316.00",10.56,,,,,,
,,2004 - 2005,"2,445.00","20,828.00",8.52,,,,,,
,,2005 - 2006,"3,071.00","29,221.00",9.52,,,,,,
,,2006 - 2007,"4,138.00","41,783.00",10.1,,,,,,
,,2007 - 2008,"4,953.00","57,158.00",11.54,,,,,,
,,2008 - 2009,"4,481.00","39,842.00",8.89,,,,,,
,,2009 - 2010,"4,766.00","54,186.00",11.37,,,,,,
,,2010 - 2011,"5,803.00","51,019.00",8.79,,,,,,
,,2011 - 2012,"4,300.00","46,651.00",10.85,,,,,,
,,2012 - 2013,"3,884.00","33,294.00",8.57,,,,,,
