State,District,Year,Gram,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2011 - 2012,155,102,0.66,,,,,,,,,
,,2012 - 2013,165,117,0.71,,,,,,,,,
,,2013 - 2014,167,122,0.73,,,,,,,,,
,,2014 - 2015,163,486,2.98,,,,,,,,,
,,2015 - 2016,200,243,1.22,,,,,,,,,
,,2016 - 2017,183,133,0.73,,,,,,,,,
,,2017 - 2018,182,138,0.76,,,,,,,,,
,,2018 - 2019,190,155,0.82,,,,,,,,,
,,2019 - 2020,189,154,0.81,,,,,,,,,
,,2020 - 2021,67,51,0.76,,,,,,,,,
,,2021 - 2022,67,51,0.76,,,,,,,,,
,,2022 - 2023,209,161,0.77,,,,,,,,,
,10. Dibrugarh,2000 - 2001,172,81,0.47,,,,,,,,,
,,2001 - 2002,170,80,0.47,,,,,,,,,
,,2002 - 2003,90,42,0.47,,,,,,,,,
,,2003 - 2004,94,44,0.47,,,,,,,,,
,,2004 - 2005,28,13,0.46,,,,,,,,,
,,2005 - 2006,7,3,0.43,,,,,,,,,
,,2006 - 2007,2,1,0.5,,,,,,,,,
,,2007 - 2008,2,1,0.5,,,,,,,,,
,,2008 - 2009,2,1,0.5,,,,,,,,,
,,2009 - 2010,1,1,1,,,,,,,,,
,,2010 - 2011,1,1,1,,,,,,,,,
,,2012 - 2013,1,1,1,,,,,,,,,
,,2015 - 2016,2,1,0.5,,,,,,,,,
,,2016 - 2017,3,1,0.33,,,,,,,,,
,,2017 - 2018,3,1,0.33,,,,,,,,,
,,2019 - 2020,1,1,1,,,,,,,,,
,,2020 - 2021,1,1,1,,,,,,,,,
,11. Dima hasao,2000 - 2001,4,1,0.25,,,,,,,,,
,,2001 - 2002,4,1,0.25,,,,,,,,,
,,2002 - 2003,4,1,0.25,,,,,,,,,
,,2003 - 2004,4,1,0.25,,,,,,,,,
,,2004 - 2005,4,1,0.25,,,,,,,,,
,,2005 - 2006,5,2,0.4,,,,,,,,,
,,2006 - 2007,5,2,0.4,,,,,,,,,
,,2007 - 2008,6,2,0.33,,,,,,,,,
,,2008 - 2009,6,2,0.33,,,,,,,,,
,,2009 - 2010,9,3,0.33,,,,,,,,,
,,2010 - 2011,7,2,0.29,,,,,,,,,
,,2011 - 2012,7,2,0.29,,,,,,,,,
,,2012 - 2013,8,3,0.38,,,,,,,,,
,12. Goalpara,2000 - 2001,164,70,0.43,,,,,,,,,
,,2001 - 2002,90,39,0.43,,,,,,,,,
,,2002 - 2003,80,36,0.45,,,,,,,,,
,,2003 - 2004,83,36,0.43,,,,,,,,,
,,2004 - 2005,85,37,0.44,,,,,,,,,
,,2005 - 2006,86,38,0.44,,,,,,,,,
,,2006 - 2007,75,33,0.44,,,,,,,,,
,,2007 - 2008,116,51,0.44,,,,,,,,,
,,2008 - 2009,125,49,0.39,,,,,,,,,
,,2009 - 2010,130,55,0.42,,,,,,,,,
,,2010 - 2011,140,60,0.43,,,,,,,,,
,,2011 - 2012,145,62,0.43,,,,,,,,,
,,2012 - 2013,148,67,0.45,,,,,,,,,
,,2013 - 2014,150,259,1.73,,,,,,,,,
,,2014 - 2015,186,109,0.59,,,,,,,,,
,,2015 - 2016,161,106,0.66,,,,,,,,,
,,2016 - 2017,165,107,0.65,,,,,,,,,
,,2017 - 2018,56,39,0.7,,,,,,,,,
,,2018 - 2019,63,44,0.7,,,,,,,,,
,,2019 - 2020,59,41,0.69,,,,,,,,,
,,2020 - 2021,69,48,0.7,,,,,,,,,
,,2021 - 2022,69,49,0.71,,,,,,,,,
,,2022 - 2023,153,109,0.71,,,,,,,,,
,13. Golaghat,2000 - 2001,19,9,0.47,,,,,,,,,
,,2001 - 2002,19,9,0.47,,,,,,,,,
,,2002 - 2003,19,9,0.47,,,,,,,,,
,,2003 - 2004,21,9,0.43,,,,,,,,,
,,2004 - 2005,20,9,0.45,,,,,,,,,
,,2005 - 2006,25,11,0.44,,,,,,,,,
,,2006 - 2007,23,11,0.48,,,,,,,,,
,,2007 - 2008,21,9,0.43,,,,,,,,,
,,2008 - 2009,13,6,0.46,,,,,,,,,
,,2009 - 2010,7,3,0.43,,,,,,,,,
,,2010 - 2011,2,1,0.5,,,,,,,,,
,,2011 - 2012,137,67,0.49,,,,,,,,,
,,2012 - 2013,4,2,0.5,,,,,,,,,
,,2013 - 2014,4,2,0.5,,,,,,,,,
,,2014 - 2015,9,5,0.56,,,,,,,,,
,,2015 - 2016,4,2,0.5,,,,,,,,,
,,2017 - 2018,3,2,0.67,,,,,,,,,
,,2018 - 2019,3,2,0.67,,,,,,,,,
,,2019 - 2020,3,2,0.67,,,,,,,,,
,,2020 - 2021,3,2,0.67,,,,,,,,,
,,2021 - 2022,8,5,0.63,,,,,,,,,
,,2022 - 2023,45,24,0.53,,,,,,,,,
,14. Hailakandi,2000 - 2001,5,2,0.4,,,,,,,,,
,,2001 - 2002,5,2,0.4,,,,,,,,,
,,2002 - 2003,5,2,0.4,,,,,,,,,
,,2003 - 2004,5,2,0.4,,,,,,,,,
,,2004 - 2005,5,2,0.4,,,,,,,,,
,,2005 - 2006,5,2,0.4,,,,,,,,,
,,2006 - 2007,5,2,0.4,,,,,,,,,
,,2007 - 2008,4,2,0.5,,,,,,,,,
,,2008 - 2009,6,3,0.5,,,,,,,,,
,,2009 - 2010,5,2,0.4,,,,,,,,,
,,2010 - 2011,6,2,0.33,,,,,,,,,
,,2011 - 2012,1,1,1,,,,,,,,,
,,2012 - 2013,1,1,1,,,,,,,,,
,,2013 - 2014,2,1,0.5,,,,,,,,,
,,2014 - 2015,2,1,0.5,,,,,,,,,
,,2015 - 2016,1,1,1,,,,,,,,,
,,2016 - 2017,2,1,0.5,,,,,,,,,
,,2017 - 2018,2,1,0.5,,,,,,,,,
,,2018 - 2019,3,1,0.33,,,,,,,,,
,,2019 - 2020,2,1,0.5,,,,,,,,,
,,2020 - 2021,2,1,0.5,,,,,,,,,
,,2021 - 2022,2,1,0.5,,,,,,,,,
,,2022 - 2023,2,1,0.5,,,,,,,,,
,15. Hojai,2020 - 2021,51,56,1.1,,,,,,,,,
,,2021 - 2022,51,39,0.76,,,,,,,,,
,,2022 - 2023,51,59,1.16,,,,,,,,,
,16. Jorhat,2000 - 2001,5,2,0.4,,,,,,,,,
,,2001 - 2002,5,2,0.4,,,,,,,,,
,,2002 - 2003,2,1,0.5,,,,,,,,,
,,2003 - 2004,2,1,0.5,,,,,,,,,
,,2004 - 2005,5,2,0.4,,,,,,,,,
,,2005 - 2006,1,,0,,,,,,,,,
,,2006 - 2007,3,2,0.67,,,,,,,,,
,,2008 - 2009,1,1,1,,,,,,,,,
,,2009 - 2010,4,2,0.5,,,,,,,,,
,,2010 - 2011,2,1,0.5,,,,,,,,,
,,2012 - 2013,10,6,0.6,,,,,,,,,
,,2013 - 2014,8,4,0.5,,,,,,,,,
,,2014 - 2015,8,6,0.75,,,,,,,,,
,,2015 - 2016,7,5,0.71,,,,,,,,,
,,2016 - 2017,117,78,0.67,,,,,,,,,
,,2017 - 2018,27,15,0.56,,,,,,,,,
,,2018 - 2019,35,25,0.71,,,,,,,,,
,,2019 - 2020,41,28,0.68,,,,,,,,,
,,2020 - 2021,7,5,0.71,,,,,,,,,
,,2021 - 2022,7,5,0.71,,,,,,,,,
,,2022 - 2023,4,3,0.75,,,,,,,,,
,17. Kamrup,2000 - 2001,282,89,0.32,,,,,,,,,
,,2001 - 2002,270,86,0.32,,,,,,,,,
,,2002 - 2003,245,78,0.32,,,,,,,,,
,,2003 - 2004,222,70,0.32,,,,,,,,,
,,2004 - 2005,163,49,0.3,,,,,,,,,
,,2005 - 2006,104,31,0.3,,,,,,,,,
,,2006 - 2007,81,28,0.35,,,,,,,,,
,,2007 - 2008,79,27,0.34,,,,,,,,,
,,2008 - 2009,94,32,0.34,,,,,,,,,
,,2009 - 2010,82,28,0.34,,,,,,,,,
,,2010 - 2011,85,30,0.35,,,,,,,,,
,,2011 - 2012,67,23,0.34,,,,,,,,,
,,2012 - 2013,72,37,0.51,,,,,,,,,
,,2013 - 2014,68,35,0.51,,,,,,,,,
,,2014 - 2015,92,59,0.64,,,,,,,,,
,,2015 - 2016,55,18,0.33,,,,,,,,,
,,2016 - 2017,87,28,0.32,,,,,,,,,
,,2017 - 2018,86,28,0.33,,,,,,,,,
,,2018 - 2019,82,27,0.33,,,,,,,,,
,,2019 - 2020,80,26,0.33,,,,,,,,,
,,2020 - 2021,80,26,0.33,,,,,,,,,
,,2021 - 2022,56,19,0.34,,,,,,,,,
,,2022 - 2023,63,60,0.95,,,,,,,,,
,18. Kamrup metro,2006 - 2007,2,1,0.5,,,,,,,,,
,,2007 - 2008,2,1,0.5,,,,,,,,,
,,2008 - 2009,2,1,0.5,,,,,,,,,
,,2009 - 2010,3,1,0.33,,,,,,,,,
,,2010 - 2011,3,1,0.33,,,,,,,,,
,,2011 - 2012,3,1,0.33,,,,,,,,,
,,2012 - 2013,5,2,0.4,,,,,,,,,
,,2013 - 2014,4,2,0.5,,,,,,,,,
,,2014 - 2015,4,2,0.5,,,,,,,,,
,,2015 - 2016,5,3,0.6,,,,,,,,,
,,2016 - 2017,3,1,0.33,,,,,,,,,
,,2017 - 2018,21,7,0.33,,,,,,,,,
,,2018 - 2019,11,4,0.36,,,,,,,,,
,,2019 - 2020,10,4,0.4,,,,,,,,,
,,2020 - 2021,4,2,0.5,,,,,,,,,
,,2021 - 2022,12,5,0.42,,,,,,,,,
,,2022 - 2023,15,17,1.13,,,,,,,,,
,19. Karbi anglong,2000 - 2001,547,272,0.5,,,,,,,,,
,,2001 - 2002,538,317,0.59,,,,,,,,,
,,2002 - 2003,531,263,0.5,,,,,,,,,
,,2003 - 2004,505,281,0.56,,,,,,,,,
,,2004 - 2005,489,248,0.51,,,,,,,,,
,,2005 - 2006,489,253,0.52,,,,,,,,,
,,2006 - 2007,470,247,0.53,,,,,,,,,
,,2007 - 2008,470,242,0.51,,,,,,,,,
,,2008 - 2009,472,247,0.52,,,,,,,,,
,,2009 - 2010,479,251,0.52,,,,,,,,,
,,2010 - 2011,471,246,0.52,,,,,,,,,
,,2011 - 2012,470,253,0.54,,,,,,,,,
,,2012 - 2013,485,272,0.56,,,,,,,,,
,,2013 - 2014,453,236,0.52,,,,,,,,,
,,2014 - 2015,465,337,0.72,,,,,,,,,
,,2015 - 2016,465,357,0.77,,,,,,,,,
,,2016 - 2017,434,333,0.77,,,,,,,,,
,,2017 - 2018,459,352,0.77,,,,,,,,,
,,2018 - 2019,438,313,0.71,,,,,,,,,
,,2019 - 2020,441,338,0.77,,,,,,,,,
,,2020 - 2021,375,288,0.77,,,,,,,,,
,,2021 - 2022,316,242,0.77,,,,,,,,,
,,2022 - 2023,427,328,0.77,,,,,,,,,
,20. Karimganj,2002 - 2003,1,1,1,,,,,,,,,
,,2003 - 2004,1,1,1,,,,,,,,,
,,2004 - 2005,2,1,0.5,,,,,,,,,
,,2005 - 2006,2,1,0.5,,,,,,,,,
,,2006 - 2007,7,3,0.43,,,,,,,,,
,,2007 - 2008,3,1,0.33,,,,,,,,,
,,2008 - 2009,4,2,0.5,,,,,,,,,
,,2009 - 2010,5,2,0.4,,,,,,,,,
,,2010 - 2011,5,2,0.4,,,,,,,,,
,,2011 - 2012,6,2,0.33,,,,,,,,,
,,2012 - 2013,6,3,0.5,,,,,,,,,
,,2013 - 2014,7,4,0.57,,,,,,,,,
,,2014 - 2015,7,5,0.71,,,,,,,,,
,,2015 - 2016,7,4,0.57,,,,,,,,,
,,2016 - 2017,7,4,0.57,,,,,,,,,
,,2017 - 2018,7,2,0.29,,,,,,,,,
,,2018 - 2019,8,3,0.38,,,,,,,,,
,,2019 - 2020,7,3,0.43,,,,,,,,,
,,2020 - 2021,5,1,0.2,,,,,,,,,
,,2021 - 2022,5,4,0.8,,,,,,,,,
,,2022 - 2023,4,3,0.75,,,,,,,,,
,21. Kokrajhar,2000 - 2001,43,22,0.51,,,,,,,,,
,,2001 - 2002,41,21,0.51,,,,,,,,,
,,2002 - 2003,51,26,0.51,,,,,,,,,
,,2003 - 2004,67,34,0.51,,,,,,,,,
,,2004 - 2005,55,28,0.51,,,,,,,,,
,,2005 - 2006,87,44,0.51,,,,,,,,,
,,2006 - 2007,80,40,0.5,,,,,,,,,
,,2007 - 2008,92,47,0.51,,,,,,,,,
,,2008 - 2009,56,29,0.52,,,,,,,,,
,,2009 - 2010,62,32,0.52,,,,,,,,,
,,2010 - 2011,65,33,0.51,,,,,,,,,
,,2011 - 2012,74,39,0.53,,,,,,,,,
,,2012 - 2013,76,42,0.55,,,,,,,,,
,,2013 - 2014,62,35,0.56,,,,,,,,,
,,2014 - 2015,52,36,0.69,,,,,,,,,
,,2015 - 2016,50,27,0.54,,,,,,,,,
,,2016 - 2017,46,26,0.57,,,,,,,,,
,,2017 - 2018,39,22,0.56,,,,,,,,,
,,2018 - 2019,41,23,0.56,,,,,,,,,
,,2019 - 2020,40,22,0.55,,,,,,,,,
,,2020 - 2021,31,18,0.58,,,,,,,,,
,,2021 - 2022,29,16,0.55,,,,,,,,,
,,2022 - 2023,30,33,1.1,,,,,,,,,
,22. Lakhimpur,2000 - 2001,10,4,0.4,,,,,,,,,
,,2001 - 2002,15,6,0.4,,,,,,,,,
,,2002 - 2003,13,6,0.46,,,,,,,,,
,,2003 - 2004,14,7,0.5,,,,,,,,,
,,2004 - 2005,14,7,0.5,,,,,,,,,
,,2005 - 2006,14,7,0.5,,,,,,,,,
,,2006 - 2007,13,6,0.46,,,,,,,,,
,,2007 - 2008,10,4,0.4,,,,,,,,,
,,2008 - 2009,9,4,0.44,,,,,,,,,
,,2009 - 2010,30,12,0.4,,,,,,,,,
,,2010 - 2011,23,9,0.39,,,,,,,,,
,,2011 - 2012,20,9,0.45,,,,,,,,,
,,2012 - 2013,39,18,0.46,,,,,,,,,
,,2013 - 2014,7,3,0.43,,,,,,,,,
,,2014 - 2015,7,4,0.57,,,,,,,,,
,,2015 - 2016,16,13,0.81,,,,,,,,,
,,2016 - 2017,10,7,0.7,,,,,,,,,
,,2017 - 2018,9,5,0.56,,,,,,,,,
,,2018 - 2019,16,8,0.5,,,,,,,,,
,,2019 - 2020,11,6,0.55,,,,,,,,,
,,2020 - 2021,12,6,0.5,,,,,,,,,
,,2021 - 2022,20,11,0.55,,,,,,,,,
,,2022 - 2023,31,23,0.74,,,,,,,,,
,23. Majuli,2020 - 2021,25,18,0.72,,,,,,,,,
,,2021 - 2022,120,84,0.7,,,,,,,,,
,,2022 - 2023,120,86,0.72,,,,,,,,,
,24. Marigaon,2000 - 2001,150,41,0.27,,,,,,,,,
,,2001 - 2002,100,27,0.27,,,,,,,,,
,,2002 - 2003,140,38,0.27,,,,,,,,,
,,2003 - 2004,150,41,0.27,,,,,,,,,
,,2004 - 2005,140,38,0.27,,,,,,,,,
,,2005 - 2006,120,32,0.27,,,,,,,,,
,,2006 - 2007,120,32,0.27,,,,,,,,,
,,2007 - 2008,120,32,0.27,,,,,,,,,
,,2008 - 2009,92,25,0.27,,,,,,,,,
,,2009 - 2010,77,21,0.27,,,,,,,,,
,,2010 - 2011,75,20,0.27,,,,,,,,,
,,2011 - 2012,82,34,0.41,,,,,,,,,
,,2012 - 2013,81,36,0.44,,,,,,,,,
,,2013 - 2014,34,16,0.47,,,,,,,,,
,,2014 - 2015,37,21,0.57,,,,,,,,,
,,2015 - 2016,106,67,0.63,,,,,,,,,
,,2016 - 2017,99,63,0.64,,,,,,,,,
,,2017 - 2018,99,64,0.65,,,,,,,,,
,,2018 - 2019,97,63,0.65,,,,,,,,,
,,2019 - 2020,98,59,0.6,,,,,,,,,
,,2020 - 2021,98,70,0.71,,,,,,,,,
,,2021 - 2022,85,60,0.71,,,,,,,,,
,,2022 - 2023,40,46,1.15,,,,,,,,,
,25. Nagaon,2000 - 2001,110,47,0.43,,,,,,,,,
,,2001 - 2002,106,46,0.43,,,,,,,,,
,,2002 - 2003,107,45,0.42,,,,,,,,,
,,2003 - 2004,113,49,0.43,,,,,,,,,
,,2004 - 2005,111,48,0.43,,,,,,,,,
,,2005 - 2006,110,48,0.44,,,,,,,,,
,,2006 - 2007,118,52,0.44,,,,,,,,,
,,2007 - 2008,104,45,0.43,,,,,,,,,
,,2008 - 2009,68,30,0.44,,,,,,,,,
,,2009 - 2010,92,39,0.42,,,,,,,,,
,,2010 - 2011,89,39,0.44,,,,,,,,,
,,2011 - 2012,99,43,0.43,,,,,,,,,
,,2012 - 2013,101,47,0.47,,,,,,,,,
,,2013 - 2014,105,51,0.49,,,,,,,,,
,,2014 - 2015,103,62,0.6,,,,,,,,,
,,2015 - 2016,181,107,0.59,,,,,,,,,
,,2016 - 2017,121,82,0.68,,,,,,,,,
,,2017 - 2018,121,92,0.76,,,,,,,,,
,,2018 - 2019,108,89,0.82,,,,,,,,,
,,2019 - 2020,113,84,0.74,,,,,,,,,
,,2020 - 2021,57,54,0.95,,,,,,,,,
,,2021 - 2022,63,58,0.92,,,,,,,,,
,,2022 - 2023,153,104,0.68,,,,,,,,,
,26. Nalbari,2000 - 2001,40,18,0.45,,,,,,,,,
,,2001 - 2002,45,20,0.44,,,,,,,,,
,,2002 - 2003,42,19,0.45,,,,,,,,,
,,2003 - 2004,45,20,0.44,,,,,,,,,
,,2004 - 2005,43,19,0.44,,,,,,,,,
,,2005 - 2006,28,13,0.46,,,,,,,,,
,,2006 - 2007,12,5,0.42,,,,,,,,,
,,2007 - 2008,12,5,0.42,,,,,,,,,
,,2008 - 2009,12,6,0.5,,,,,,,,,
,,2009 - 2010,9,4,0.44,,,,,,,,,
,,2010 - 2011,10,5,0.5,,,,,,,,,
,,2011 - 2012,19,9,0.47,,,,,,,,,
,,2012 - 2013,19,9,0.47,,,,,,,,,
,,2013 - 2014,20,10,0.5,,,,,,,,,
,,2014 - 2015,17,11,0.65,,,,,,,,,
,,2015 - 2016,17,8,0.47,,,,,,,,,
,,2016 - 2017,20,14,0.7,,,,,,,,,
,,2017 - 2018,18,14,0.78,,,,,,,,,
,,2018 - 2019,18,13,0.72,,,,,,,,,
,,2019 - 2020,17,12,0.71,,,,,,,,,
,,2020 - 2021,25,18,0.72,,,,,,,,,
,,2021 - 2022,12,10,0.83,,,,,,,,,
,,2022 - 2023,30,24,0.8,,,,,,,,,
,27. Sivasagar,2000 - 2001,12,6,0.5,,,,,,,,,
,,2001 - 2002,10,5,0.5,,,,,,,,,
,,2002 - 2003,10,5,0.5,,,,,,,,,
,,2003 - 2004,8,4,0.5,,,,,,,,,
,,2004 - 2005,9,5,0.56,,,,,,,,,
,,2005 - 2006,14,6,0.43,,,,,,,,,
,,2006 - 2007,4,1,0.25,,,,,,,,,
,,2007 - 2008,11,4,0.36,,,,,,,,,
,,2008 - 2009,3,1,0.33,,,,,,,,,
,,2009 - 2010,3,2,0.67,,,,,,,,,
,,2010 - 2011,3,2,0.67,,,,,,,,,
,,2011 - 2012,3,2,0.67,,,,,,,,,
,,2012 - 2013,4,3,0.75,,,,,,,,,
,,2013 - 2014,8,5,0.63,,,,,,,,,
,,2014 - 2015,6,5,0.83,,,,,,,,,
,,2015 - 2016,5,3,0.6,,,,,,,,,
,,2016 - 2017,5,3,0.6,,,,,,,,,
,,2017 - 2018,5,3,0.6,,,,,,,,,
,,2018 - 2019,3,2,0.67,,,,,,,,,
,28. Sonitpur,2000 - 2001,228,167,0.73,,,,,,,,,
,,2001 - 2002,230,168,0.73,,,,,,,,,
,,2002 - 2003,230,168,0.73,,,,,,,,,
,,2003 - 2004,272,184,0.68,,,,,,,,,
,,2004 - 2005,188,134,0.71,,,,,,,,,
,,2005 - 2006,167,121,0.72,,,,,,,,,
,,2006 - 2007,166,122,0.73,,,,,,,,,
,,2007 - 2008,145,107,0.74,,,,,,,,,
,,2008 - 2009,151,111,0.74,,,,,,,,,
,,2009 - 2010,145,107,0.74,,,,,,,,,
,,2010 - 2011,152,112,0.74,,,,,,,,,
,,2011 - 2012,129,97,0.75,,,,,,,,,
,,2012 - 2013,98,78,0.8,,,,,,,,,
,,2013 - 2014,285,228,0.8,,,,,,,,,
,,2014 - 2015,310,314,1.01,,,,,,,,,
,,2015 - 2016,284,202,0.71,,,,,,,,,
,,2016 - 2017,235,170,0.72,,,,,,,,,
,,2017 - 2018,304,188,0.62,,,,,,,,,
,,2018 - 2019,272,189,0.69,,,,,,,,,
,,2019 - 2020,242,170,0.7,,,,,,,,,
,,2020 - 2021,235,166,0.71,,,,,,,,,
,,2021 - 2022,154,115,0.75,,,,,,,,,
,,2022 - 2023,158,118,0.75,,,,,,,,,
,29. South salmara mancachar,2020 - 2021,110,94,0.85,,,,,,,,,
,,2021 - 2022,110,91,0.83,,,,,,,,,
,,2022 - 2023,100,80,0.8,,,,,,,,,
,30. Tinsukia,2002 - 2003,1,1,1,,,,,,,,,
,,2003 - 2004,1,1,1,,,,,,,,,
,,2004 - 2005,25,13,0.52,,,,,,,,,
,,2005 - 2006,25,13,0.52,,,,,,,,,
,,2006 - 2007,3,2,0.67,,,,,,,,,
,,2007 - 2008,2,1,0.5,,,,,,,,,
,,2008 - 2009,7,4,0.57,,,,,,,,,
,,2009 - 2010,6,4,0.67,,,,,,,,,
,,2010 - 2011,6,3,0.5,,,,,,,,,
,,2011 - 2012,7,5,0.71,,,,,,,,,
,,2012 - 2013,6,4,0.67,,,,,,,,,
,,2013 - 2014,6,4,0.67,,,,,,,,,
,,2014 - 2015,7,5,0.71,,,,,,,,,
,,2015 - 2016,11,5,0.45,,,,,,,,,
,,2016 - 2017,3,2,0.67,,,,,,,,,
,,2017 - 2018,3,2,0.67,,,,,,,,,
,,2018 - 2019,6,4,0.67,,,,,,,,,
,,2019 - 2020,3,2,0.67,,,,,,,,,
,,2020 - 2021,5,3,0.6,,,,,,,,,
,,2021 - 2022,9,6,0.67,,,,,,,,,
,,2022 - 2023,6,4,0.67,,,,,,,,,
,31. Udalguri,2005 - 2006,38,23,0.61,,,,,,,,,
,,2006 - 2007,29,17,0.59,,,,,,,,,
,,2007 - 2008,42,25,0.6,,,,,,,,,
,,2008 - 2009,6,4,0.67,,,,,,,,,
,,2009 - 2010,7,4,0.57,,,,,,,,,
,,2010 - 2011,7,4,0.57,,,,,,,,,
,,2011 - 2012,7,4,0.57,,,,,,,,,
,,2012 - 2013,8,5,0.63,,,,,,,,,
,,2013 - 2014,9,6,0.67,,,,,,,,,
,,2014 - 2015,15,12,0.8,,,,,,,,,
,,2015 - 2016,25,17,0.68,,,,,,,,,
,,2016 - 2017,20,14,0.7,,,,,,,,,
,,2017 - 2018,20,13,0.65,,,,,,,,,
,,2018 - 2019,22,18,0.82,,,,,,,,,
,,2019 - 2020,25,21,0.84,,,,,,,,,
,,2020 - 2021,30,25,0.83,,,,,,,,,
,,2021 - 2022,31,27,0.87,,,,,,,,,
,,2022 - 2023,41,33,0.8,,,,,,,,,
,32. West karbi anglong,2020 - 2021,45,34,0.76,,,,,,,,,
,,2021 - 2022,186,141,0.76,,,,,,,,,
,,2022 - 2023,184,141,0.77,,,,,,,,,
3. Bihar,1. Araria,2000 - 2001,"5,961.00","5,365.00",0.9,,,,,,,,,
,,2001 - 2002,442,270,0.61,,,,,,,,,
,,2002 - 2003,509,264,0.52,,,,,,,,,
,,2003 - 2004,"5,556.00","2,850.00",0.51,,,,,,,,,
,,2004 - 2005,"2,142.00","1,786.00",0.83,,,,,,,,,
,,2005 - 2006,740,696,0.94,,,,,,,,,
,,2006 - 2007,524,498,0.95,,,,,,,,,
,,2007 - 2008,"1,216.00","1,172.00",0.96,,,,,,,,,
,,2008 - 2009,"1,296.00",721,0.56,,,,,,,,,
,,2009 - 2010,96,55,0.57,,,,,,,,,
,,2010 - 2011,72,40,0.56,,,,,,,,,
,,2011 - 2012,62,43,0.69,,,,,,,,,
,,2012 - 2013,62,226,3.65,,,,,,,,,
,,2013 - 2014,151,173,1.15,,,,,,,,,
,,2014 - 2015,322,308,0.96,,,,,,,,,
,,2015 - 2016,116,114,0.98,,,,,,,,,
,,2016 - 2017,196,220,1.12,,,,,,,,,
,,2017 - 2018,41,47,1.15,,,,,,,,,
,,2018 - 2019,34,41,1.21,,,,,,,,,
,2. Arwal,2003 - 2004,992,"1,061.00",1.07,,,,,,,,,
,,2004 - 2005,869,615,0.71,,,,,,,,,
,,2005 - 2006,379,262,0.69,,,,,,,,,
,,2007 - 2008,763,613,0.8,,,,,,,,,
,,2008 - 2009,589,490,0.83,,,,,,,,,
,,2009 - 2010,910,774,0.85,,,,,,,,,
,,2010 - 2011,913,789,0.86,,,,,,,,,
,,2011 - 2012,701,902,1.29,,,,,,,,,
,,2012 - 2013,701,978,1.4,,,,,,,,,
,,2013 - 2014,916,"1,022.00",1.12,,,,,,,,,
,,2014 - 2015,797,880,1.1,,,,,,,,,
,,2015 - 2016,946,744,0.79,,,,,,,,,
,,2016 - 2017,944,"1,191.00",1.26,,,,,,,,,
,,2017 - 2018,896,"1,012.00",1.13,,,,,,,,,
,,2018 - 2019,"1,349.00","2,397.00",1.78,,,,,,,,,
,,2019 - 2020,"1,420.00",868,0.61,,,,,,,,,
,,2020 - 2021,830,942,1.13,,,,,,,,,
,,2021 - 2022,828,898,1.08,,,,,,,,,
,,2022 - 2023,828,869,1.05,,,,,,,,,
,3. Aurangabad,2000 - 2001,"6,729.00","6,749.00",1,,,,,,,,,
,,2001 - 2002,"6,347.00","7,737.00",1.22,,,,,,,,,
,,2002 - 2003,"7,279.00","6,355.00",0.87,,,,,,,,,
,,2003 - 2004,"6,689.00","6,348.00",0.95,,,,,,,,,
,,2004 - 2005,"5,455.00","4,113.00",0.75,,,,,,,,,
,,2005 - 2006,"5,843.00","3,962.00",0.68,,,,,,,,,
,,2006 - 2007,"6,294.00","7,144.00",1.14,,,,,,,,,
,,2007 - 2008,"6,814.00","7,352.00",1.08,,,,,,,,,
,,2008 - 2009,"6,789.00","5,390.00",0.79,,,,,,,,,
,,2009 - 2010,"7,726.00","7,139.00",0.92,,,,,,,,,
,,2010 - 2011,"6,346.00","5,381.00",0.85,,,,,,,,,
,,2011 - 2012,"7,719.00","9,819.00",1.27,,,,,,,,,
,,2012 - 2013,"7,474.00","7,212.00",0.96,,,,,,,,,
,,2013 - 2014,"7,063.00","5,523.00",0.78,,,,,,,,,
,,2014 - 2015,"7,599.00","6,543.00",0.86,,,,,,,,,
,,2015 - 2016,"5,857.00","4,721.00",0.81,,,,,,,,,
,,2016 - 2017,"7,394.00","6,470.00",0.88,,,,,,,,,
,,2017 - 2018,"6,844.00","7,255.00",1.06,,,,,,,,,
,,2018 - 2019,"6,928.00","6,353.00",0.92,,,,,,,,,
,,2019 - 2020,"5,964.00","3,125.00",0.52,,,,,,,,,
,,2020 - 2021,"8,062.00","4,934.00",0.61,,,,,,,,,
,,2021 - 2022,"7,718.00","6,946.00",0.9,,,,,,,,,
,,2022 - 2023,"7,811.00","7,678.00",0.98,,,,,,,,,
,4. Banka,2000 - 2001,"2,938.00","2,256.00",0.77,,,,,,,,,
,,2001 - 2002,"2,866.00","1,854.00",0.65,,,,,,,,,
,,2002 - 2003,"3,352.00","1,575.00",0.47,,,,,,,,,
,,2003 - 2004,"3,760.00","2,561.00",0.68,,,,,,,,,
,,2004 - 2005,"2,998.00","1,994.00",0.67,,,,,,,,,
,,2005 - 2006,"3,925.00","3,485.00",0.89,,,,,,,,,
,,2006 - 2007,"3,715.00","3,072.00",0.83,,,,,,,,,
,,2007 - 2008,"3,704.00","3,285.00",0.89,,,,,,,,,
