State,District,Year,Coconut,,,,,
,,,Whole Year,,,Kharif,,
,,,Area (Hectare),Production (Nuts),Yield (Nuts/Hectare),Area (Hectare),Production (Nuts),Yield (Nuts/Hectare)
,,2021 - 2022,"40,977.00","51,16,00,000.00","12,485.05",,,
,,2022 - 2023,"41,414.00","82,00,00,000.00","19,800.07",,,
,25. The nilgiris,2003 - 2004,52,0,0,,,
,,2004 - 2005,60,"1,00,000.00","1,666.67",,,
,,2005 - 2006,60,,0,,,
,,2006 - 2007,74,"1,00,000.00","1,351.35",,,
,,2007 - 2008,79,"1,00,000.00","1,265.82",,,
,,2008 - 2009,80,"1,00,000.00","1,250.00",,,
,,2009 - 2010,79,"1,00,000.00","1,265.82",,,
,,2011 - 2012,66,"1,00,000.00","1,515.15",,,
,,2013 - 2014,55,"1,00,000.00","1,818.18",,,
,,2014 - 2015,83,"1,00,000.00","1,204.82",,,
,,2015 - 2016,94,"2,00,000.00","2,127.66",,,
,,2016 - 2017,56,"2,00,000.00","3,571.43",,,
,,2017 - 2018,59,"1,00,000.00","1,694.92",,,
,,2018 - 2019,56,"2,00,000.00","3,571.43",,,
,,2019 - 2020,51,"4,00,000.00","7,843.14",,,
,,2020 - 2021,53,"4,00,000.00","7,547.17",,,
,,2021 - 2022,53,"4,00,000.00","7,547.17",,,
,,2022 - 2023,51,"6,00,000.00","11,764.71",,,
,26. Theni,2002 - 2003,"14,284.00","14,11,00,000.00","9,878.19",,,
,,2003 - 2004,"14,466.00","18,14,00,000.00","12,539.75",,,
,,2004 - 2005,"14,903.00","23,15,00,000.00","15,533.79",,,
,,2005 - 2006,"15,342.00","39,49,00,000.00","25,739.80",,,
,,2006 - 2007,"15,935.00","27,04,00,000.00","16,968.94",,,
,,2007 - 2008,"16,576.00","24,25,00,000.00","14,629.58",,,
,,2008 - 2009,"16,999.00","25,95,00,000.00","15,265.60",,,
,,2009 - 2010,"18,173.00","39,42,00,000.00","21,691.52",,,
,,2011 - 2012,"19,116.00","36,49,00,000.00","19,088.72",,,
,,2013 - 2014,"19,907.00","27,67,00,000.00","13,899.63",,,
,,2014 - 2015,"20,068.00","19,34,00,000.00","9,637.23",,,
,,2015 - 2016,"20,466.00","37,61,00,000.00","18,376.82",,,
,,2016 - 2017,"20,931.00","36,66,00,000.00","17,514.69",,,
,,2017 - 2018,"21,117.00","32,08,00,000.00","15,191.55",,,
,,2018 - 2019,"21,445.00","21,26,00,000.00","9,913.73",,,
,,2019 - 2020,"21,318.00","21,67,00,000.00","10,165.12",,,
,,2020 - 2021,"21,798.00","26,39,00,000.00","12,106.62",,,
,,2021 - 2022,"22,652.00","30,49,00,000.00","13,460.18",,,
,,2022 - 2023,"23,254.00","35,58,00,000.00","15,300.59",,,
,27. Thenkasi,2019 - 2020,"11,618.00","10,50,00,000.00","9,037.70",,,
,,2020 - 2021,"11,655.00","11,00,00,000.00","9,438.01",,,
,,2021 - 2022,"11,895.00","12,97,00,000.00","10,903.74",,,
,,2022 - 2023,"12,056.00","10,70,00,000.00","8,875.25",,,
,28. Thiruvallur,2002 - 2003,"1,091.00","82,00,000.00","7,516.04",,,
,,2003 - 2004,"1,093.00","68,00,000.00","6,221.41",,,
,,2004 - 2005,"1,219.00","68,00,000.00","5,578.34",,,
,,2005 - 2006,"1,484.00","66,00,000.00","4,447.44",,,
,,2006 - 2007,"1,249.00","70,00,000.00","5,604.48",,,
,,2007 - 2008,"1,120.00","84,00,000.00","7,500.00",,,
,,2008 - 2009,"1,116.00","1,30,00,000.00","11,648.75",,,
,,2009 - 2010,"1,072.00","1,45,00,000.00","13,526.12",,,
,,2011 - 2012,"1,090.00","1,02,00,000.00","9,357.80",,,
,,2013 - 2014,971,"75,00,000.00","7,724.00",,,
,,2014 - 2015,931,"64,00,000.00","6,874.33",,,
,,2015 - 2016,804,"58,00,000.00","7,213.93",,,
,,2016 - 2017,724,"86,00,000.00","11,878.45",,,
,,2017 - 2018,666,"62,00,000.00","9,309.31",,,
,,2018 - 2019,643,"1,07,00,000.00","16,640.75",,,
,,2019 - 2020,602,"66,00,000.00","10,963.46",,,
,,2020 - 2021,721,"44,00,000.00","6,102.64",,,
,,2021 - 2022,657,"46,00,000.00","7,001.52",,,
,,2022 - 2023,685,"1,18,00,000.00","17,226.28",,,
,29. Thiruvarur,2002 - 2003,"4,742.00","7,24,00,000.00","15,267.82",,,
,,2003 - 2004,"4,918.00","8,08,00,000.00","16,429.44",,,
,,2004 - 2005,"4,921.00","4,74,00,000.00","9,632.19",,,
,,2005 - 2006,"5,371.00","5,59,00,000.00","10,407.75",,,
,,2006 - 2007,"5,377.00","10,99,00,000.00","20,438.91",,,
,,2007 - 2008,"5,374.00","12,63,00,000.00","23,502.05",,,
,,2008 - 2009,"5,366.00","9,53,00,000.00","17,759.97",,,
,,2009 - 2010,"5,314.00","7,69,00,000.00","14,471.21",,,
,,2011 - 2012,"4,916.00","10,63,00,000.00","21,623.27",,,
,,2013 - 2014,"4,787.00","6,85,00,000.00","14,309.59",,,
,,2014 - 2015,"4,773.00","8,16,00,000.00","17,096.17",,,
,,2015 - 2016,"4,710.00","7,66,00,000.00","16,263.27",,,
,,2016 - 2017,"4,718.00","8,70,00,000.00","18,440.02",,,
,,2017 - 2018,"4,674.00","7,37,00,000.00","15,768.08",,,
,,2018 - 2019,"4,728.00","5,40,00,000.00","11,421.32",,,
,,2019 - 2020,"5,737.00","6,86,00,000.00","11,957.47",,,
,,2020 - 2021,"5,957.00","7,22,00,000.00","12,120.19",,,
,,2021 - 2022,"5,851.00","8,46,00,000.00","14,459.07",,,
,,2022 - 2023,"5,911.00","4,76,00,000.00","8,052.78",,,
,30. Thoothukudi,2002 - 2003,"5,586.00","2,67,00,000.00","4,779.81",,,
,,2003 - 2004,"6,057.00","3,96,00,000.00","6,537.89",,,
,,2004 - 2005,"6,049.00","2,38,00,000.00","3,934.53",,,
,,2005 - 2006,"5,988.00","3,92,00,000.00","6,546.43",,,
,,2006 - 2007,"5,472.00","4,78,00,000.00","8,735.38",,,
,,2007 - 2008,"6,385.00","5,47,00,000.00","8,566.95",,,
,,2008 - 2009,"6,034.00","8,53,00,000.00","14,136.56",,,
,,2009 - 2010,"5,910.00","5,24,00,000.00","8,866.33",,,
,,2011 - 2012,"5,717.00","4,73,00,000.00","8,273.57",,,
,,2013 - 2014,"5,848.00","5,58,00,000.00","9,541.72",,,
,,2014 - 2015,"6,079.00","4,93,00,000.00","8,109.89",,,
,,2015 - 2016,"5,961.00","6,49,00,000.00","10,887.43",,,
,,2016 - 2017,"6,013.00","4,83,00,000.00","8,032.60",,,
,,2017 - 2018,"6,010.00","3,48,00,000.00","5,790.35",,,
,,2018 - 2019,"6,064.00","5,15,00,000.00","8,492.74",,,
,,2019 - 2020,"6,191.00","2,64,00,000.00","4,264.25",,,
,,2020 - 2021,"6,261.00","3,19,00,000.00","5,095.03",,,
,,2021 - 2022,"6,439.00","5,09,00,000.00","7,904.95",,,
,,2022 - 2023,"6,659.00","4,46,00,000.00","6,697.70",,,
,31. Tiruchirappalli,2002 - 2003,"5,991.00","8,42,00,000.00","14,054.41",,,
,,2003 - 2004,"5,927.00","4,73,00,000.00","7,980.43",,,
,,2004 - 2005,"6,231.00","5,16,00,000.00","8,281.17",,,
,,2005 - 2006,"6,428.00","6,56,00,000.00","10,205.35",,,
,,2006 - 2007,"6,475.00","11,02,00,000.00","17,019.31",,,
,,2007 - 2008,"6,374.00","9,08,00,000.00","14,245.37",,,
,,2008 - 2009,"6,703.00","16,51,00,000.00","24,630.76",,,
,,2009 - 2010,"6,490.00","14,80,00,000.00","22,804.31",,,
,,2011 - 2012,"6,648.00","7,96,00,000.00","11,973.53",,,
,,2013 - 2014,"6,487.00","5,72,00,000.00","8,817.64",,,
,,2014 - 2015,"6,241.00","9,12,00,000.00","14,613.04",,,
,,2015 - 2016,"6,249.00","8,28,00,000.00","13,250.12",,,
,,2016 - 2017,"6,070.00","4,65,00,000.00","7,660.63",,,
,,2017 - 2018,"5,703.00","2,87,00,000.00","5,032.44",,,
,,2018 - 2019,"5,493.00","5,70,00,000.00","10,376.84",,,
,,2019 - 2020,"5,123.00","2,12,00,000.00","4,138.20",,,
,,2020 - 2021,"4,865.00","5,08,00,000.00","10,441.93",,,
,,2021 - 2022,"4,975.00","5,24,00,000.00","10,532.66",,,
,,2022 - 2023,"5,048.00","8,83,00,000.00","17,492.08",,,
,32. Tirunelveli,2002 - 2003,"15,423.00","10,63,00,000.00","6,892.30",,,
,,2003 - 2004,"15,500.00","8,66,00,000.00","5,587.10",,,
,,2004 - 2005,"15,605.00","16,78,00,000.00","10,752.96",,,
,,2005 - 2006,"15,730.00","19,03,00,000.00","12,097.90",,,
,,2006 - 2007,"15,538.00","27,36,00,000.00","17,608.44",,,
,,2007 - 2008,"15,398.00","22,30,00,000.00","14,482.40",,,
,,2008 - 2009,"15,378.00","14,09,00,000.00","9,162.44",,,
,,2009 - 2010,"15,548.00","20,58,00,000.00","13,236.43",,,
,,2011 - 2012,"15,621.00","12,80,00,000.00","8,194.10",,,
,,2013 - 2014,"15,667.00","15,73,00,000.00","10,040.21",,,
,,2014 - 2015,"15,758.00","16,30,00,000.00","10,343.95",,,
,,2015 - 2016,"16,507.00","18,83,00,000.00","11,407.28",,,
,,2016 - 2017,"16,249.00","16,52,00,000.00","10,166.78",,,
,,2017 - 2018,"16,362.00","15,90,00,000.00","9,717.64",,,
,,2018 - 2019,"16,534.00","11,39,00,000.00","6,888.84",,,
,,2019 - 2020,"5,090.00","2,76,00,000.00","5,422.40",,,
,,2020 - 2021,"5,470.00","3,57,00,000.00","6,526.51",,,
,,2021 - 2022,"5,654.00","4,93,00,000.00","8,719.49",,,
,,2022 - 2023,"5,993.00","5,51,00,000.00","9,194.06",,,
,33. Tirupathur,2019 - 2020,"11,351.00","14,92,00,000.00","13,144.22",,,
,,2020 - 2021,"10,781.00","12,09,00,000.00","11,214.17",,,
,,2021 - 2022,"10,582.00","11,11,00,000.00","10,498.96",,,
,,2022 - 2023,"10,757.00","17,08,00,000.00","15,878.03",,,
,34. Tiruppur,2008 - 2009,"44,282.00",,0,,,
,,2009 - 2010,"47,826.00","18,48,00,000.00","3,864.01",,,
,,2011 - 2012,"51,478.00","64,67,00,000.00","12,562.65",,,
,,2013 - 2014,"56,484.00","36,13,00,000.00","6,396.50",,,
,,2014 - 2015,"56,808.00","52,21,00,000.00","9,190.61",,,
,,2015 - 2016,"58,374.00","40,05,00,000.00","6,860.93",,,
,,2016 - 2017,"60,148.00","67,57,00,000.00","11,233.96",,,
,,2017 - 2018,"60,333.00","20,53,00,000.00","3,402.78",,,
,,2018 - 2019,"61,250.00","50,18,00,000.00","8,192.65",,,
,,2019 - 2020,"61,890.00","51,59,00,000.00","8,335.76",,,
,,2020 - 2021,"63,012.00","42,07,00,000.00","6,676.51",,,
,,2021 - 2022,"68,277.00","66,57,00,000.00","9,749.99",,,
,,2022 - 2023,"73,311.00","97,73,00,000.00","13,330.88",,,
,35. Tiruvannamalai,2002 - 2003,"1,023.00","73,00,000.00","7,135.87",,,
,,2003 - 2004,776,"57,00,000.00","7,345.36",,,
,,2004 - 2005,"1,049.00","1,58,00,000.00","15,061.96",,,
,,2005 - 2006,897,"1,15,00,000.00","12,820.51",,,
,,2006 - 2007,890,"1,53,00,000.00","17,191.01",,,
,,2007 - 2008,792,"1,31,00,000.00","16,540.40",,,
,,2008 - 2009,935,"1,17,00,000.00","12,513.37",,,
,,2009 - 2010,725,"88,00,000.00","12,137.93",,,
,,2011 - 2012,803,"1,34,00,000.00","16,687.42",,,
,,2013 - 2014,624,"50,00,000.00","8,012.82",,,
,,2014 - 2015,442,"46,00,000.00","10,407.24",,,
,,2015 - 2016,479,"31,00,000.00","6,471.82",,,
,,2016 - 2017,432,"31,00,000.00","7,175.93",,,
,,2017 - 2018,493,"42,00,000.00","8,519.27",,,
,,2018 - 2019,504,"33,00,000.00","6,547.62",,,
,,2019 - 2020,591,"40,00,000.00","6,768.19",,,
,,2020 - 2021,747,"81,00,000.00","10,843.37",,,
,,2021 - 2022,883,"1,04,00,000.00","11,778.03",,,
,,2022 - 2023,"1,118.00","1,60,00,000.00","14,311.27",,,
,36. Vellore,2002 - 2003,"18,690.00","17,13,00,000.00","9,165.33",,,
,,2003 - 2004,"21,805.00","10,68,00,000.00","4,897.96",,,
,,2004 - 2005,"20,928.00","19,24,00,000.00","9,193.43",,,
,,2005 - 2006,"23,098.00","27,65,00,000.00","11,970.73",,,
,,2006 - 2007,"22,569.00","26,54,00,000.00","11,759.49",,,
,,2007 - 2008,"22,619.00","21,72,00,000.00","9,602.55",,,
,,2008 - 2009,"22,416.00","19,64,00,000.00","8,761.60",,,
,,2009 - 2010,"22,203.00","22,74,00,000.00","10,241.86",,,
,,2011 - 2012,"22,680.00","29,85,00,000.00","13,161.38",,,
,,2013 - 2014,"21,512.00","23,30,00,000.00","10,831.16",,,
,,2014 - 2015,"21,327.00","19,23,00,000.00","9,016.74",,,
,,2015 - 2016,"20,805.00","24,48,00,000.00","11,766.40",,,
,,2016 - 2017,"20,470.00","29,04,00,000.00","14,186.61",,,
,,2017 - 2018,"20,612.00","27,49,00,000.00","13,336.89",,,
,,2018 - 2019,"20,653.00","27,69,00,000.00","13,407.25",,,
,,2019 - 2020,"8,114.00","11,14,00,000.00","13,729.36",,,
,,2020 - 2021,"7,295.00","11,19,00,000.00","15,339.27",,,
,,2021 - 2022,"7,051.00","9,47,00,000.00","13,430.72",,,
,,2022 - 2023,"7,645.00","9,66,00,000.00","12,635.71",,,
,37. Villupuram,2002 - 2003,"2,118.00","1,43,00,000.00","6,751.65",,,
,,2003 - 2004,"1,933.00","1,06,00,000.00","5,483.70",,,
,,2004 - 2005,"2,254.00","2,53,00,000.00","11,224.49",,,
,,2005 - 2006,"2,231.00","2,18,00,000.00","9,771.40",,,
,,2006 - 2007,"1,947.00","2,26,00,000.00","11,607.60",,,
,,2007 - 2008,"2,026.00","2,68,00,000.00","13,228.04",,,
,,2008 - 2009,"2,009.00","2,66,00,000.00","13,240.42",,,
,,2009 - 2010,"1,995.00","2,65,00,000.00","13,283.21",,,
,,2011 - 2012,"1,890.00","1,89,00,000.00","10,000.00",,,
,,2013 - 2014,"1,780.00","1,91,00,000.00","10,730.34",,,
,,2014 - 2015,"1,731.00","1,71,00,000.00","9,878.68",,,
,,2015 - 2016,"1,701.00","1,74,00,000.00","10,229.28",,,
,,2016 - 2017,"1,723.00","1,71,00,000.00","9,924.55",,,
,,2017 - 2018,"1,613.00","66,00,000.00","4,091.75",,,
,,2018 - 2019,"1,742.00","1,90,00,000.00","10,907.00",,,
,,2019 - 2020,"1,522.00","1,09,00,000.00","7,161.63",,,
,,2020 - 2021,"1,691.00","1,83,00,000.00","10,822.00",,,
,,2021 - 2022,"1,730.00","2,17,00,000.00","12,543.35",,,
,,2022 - 2023,"1,942.00","2,68,00,000.00","13,800.21",,,
,38. Virudhunagar,2002 - 2003,"8,511.00","6,49,00,000.00","7,625.43",,,
,,2003 - 2004,"8,574.00","6,41,00,000.00","7,476.09",,,
,,2004 - 2005,"8,478.00","6,39,00,000.00","7,537.15",,,
,,2005 - 2006,"8,500.00","6,87,00,000.00","8,082.35",,,
,,2006 - 2007,"8,808.00","6,99,00,000.00","7,935.97",,,
,,2007 - 2008,"8,892.00","7,16,00,000.00","8,052.18",,,
,,2008 - 2009,"8,818.00","6,09,00,000.00","6,906.33",,,
,,2009 - 2010,"9,468.00","9,94,00,000.00","10,498.52",,,
,,2011 - 2012,"9,844.00","12,79,00,000.00","12,992.69",,,
,,2013 - 2014,"10,041.00","11,76,00,000.00","11,711.98",,,
,,2014 - 2015,"10,026.00","15,93,00,000.00","15,888.69",,,
,,2015 - 2016,"9,989.00","11,39,00,000.00","11,402.54",,,
,,2016 - 2017,"10,156.00","13,63,00,000.00","13,420.64",,,
,,2017 - 2018,"10,148.00","14,17,00,000.00","13,963.34",,,
,,2018 - 2019,"10,050.00","15,95,00,000.00","15,870.65",,,
,,2019 - 2020,"10,020.00","5,94,00,000.00","5,928.14",,,
,,2020 - 2021,"9,995.00","11,39,00,000.00","11,395.70",,,
,,2021 - 2022,"10,055.00","10,55,00,000.00","10,492.29",,,
,,2022 - 2023,"10,244.00","14,35,00,000.00","14,008.20",,,
11. Telangana,1. Khammam,2000 - 2001,"1,074.00","1,11,07,096.00","10,341.80",,,
,,2001 - 2002,"1,106.00","1,17,03,240.00","10,581.59",,,
,,2002 - 2003,"1,083.00","1,18,50,836.00","10,942.60",,,
,,2003 - 2004,"1,050.00","1,19,33,140.00","11,364.90",,,
,,2004 - 2005,"1,004.00","1,14,82,486.00","11,436.74",,,
,,2005 - 2006,954,"80,23,244.00","8,410.11",,,
,,2006 - 2007,819,"1,03,48,515.00","12,635.55",,,
,,2008 - 2009,764,"69,72,108.00","9,125.80",,,
,,2009 - 2010,751,"82,89,624.00","11,038.11",,,
,,2010 - 2011,707,"82,81,000.00","11,712.87",,,
,,2011 - 2012,675,"92,60,204.00","13,718.82",,,
,,2013 - 2014,426,"69,24,204.00","16,254.00",,,
,,2014 - 2015,437,"92,22,885.00","21,105.00",,,
,2. Mahbubnagar,2000 - 2001,17,"1,79,872.00","10,580.71",,,
,,2001 - 2002,10,"1,10,200.00","11,020.00",,,
,,2002 - 2003,11,"1,25,708.00","11,428.00",,,
,,2003 - 2004,12,"1,41,360.00","11,780.00",,,
,,2004 - 2005,12,"1,41,468.00","11,789.00",,,
,,2005 - 2006,13,"1,13,126.00","8,702.00",,,
,,2006 - 2007,9,"1,17,153.00","13,017.00",,,
,,2008 - 2009,8,"74,568.00","9,321.00",,,
,,2009 - 2010,2,"22,344.00","11,172.00",,,
,,2010 - 2011,4,"49,000.00","12,250.00",,,
,,2011 - 2012,4,"58,424.00","14,606.00",,,
,3. Medak,2000 - 2001,12,"1,23,662.00","10,305.17",,,
,,2001 - 2002,2,"22,040.00","11,020.00",,,
,,2002 - 2003,1,"11,428.00","11,428.00",,,
,,2004 - 2005,1,"11,789.00","11,789.00",,,
,,2005 - 2006,1,"8,702.00","8,702.00",,,
,,2006 - 2007,1,"13,017.00","13,017.00",,,
,4. Nalgonda,2000 - 2001,20,"2,02,356.00","10,117.80",,,
,,2001 - 2002,18,"1,87,340.00","10,407.78",,,
,,2002 - 2003,21,"2,28,560.00","10,883.81",,,
,,2003 - 2004,30,"3,41,620.00","11,387.33",,,
,,2004 - 2005,26,"3,06,514.00","11,789.00",,,
,,2005 - 2006,36,"3,04,570.00","8,460.28",,,
,,2006 - 2007,34,"4,29,561.00","12,634.15",,,
,,2010 - 2011,3,"37,000.00","12,333.33",,,
,,2011 - 2012,3,"43,818.00","14,606.00",,,
,5. Nizamabad,2000 - 2001,5,"56,210.00","11,242.00",,,
,,2008 - 2009,12,"1,11,852.00","9,321.00",,,
,,2009 - 2010,4,"44,688.00","11,172.00",,,
,,2010 - 2011,4,"49,000.00","12,250.00",,,
,,2011 - 2012,2,"29,212.00","14,606.00",,,
,6. Rangareddi,2000 - 2001,23,"2,36,082.00","10,264.43",,,
,,2001 - 2002,13,"1,43,260.00","11,020.00",,,
,,2002 - 2003,13,"1,48,564.00","11,428.00",,,
,,2003 - 2004,11,"1,29,580.00","11,780.00",,,
,,2004 - 2005,14,"1,65,046.00","11,789.00",,,
,,2005 - 2006,13,"1,13,126.00","8,702.00",,,
,,2006 - 2007,11,"1,43,187.00","13,017.00",,,
,,2008 - 2009,1,"9,321.00","9,321.00",,,
,,2009 - 2010,2,"22,344.00","11,172.00",,,
,,2010 - 2011,5,"61,000.00","12,200.00",,,
,,2011 - 2012,1,"14,606.00","14,606.00",,,
,,2013 - 2014,2,"32,508.00","16,254.00",,,
,,2014 - 2015,2,"42,210.00","21,105.00",,,
12. West Bengal,1. 24 paraganas north,2000 - 2001,"3,051.00","6,35,09,600.00","20,815.99",,,
,,2001 - 2002,"3,134.00","6,67,35,400.00","21,294.00",,,
,,2002 - 2003,"2,847.00","4,87,46,300.00","17,121.99",,,
,,2003 - 2004,"2,886.00","6,03,14,500.00","20,899.00",,,
,,2004 - 2005,"2,886.00","6,03,14,500.00","20,899.00",,,
,,2005 - 2006,"3,258.00","5,88,78,600.00","18,072.01",,,
,,2006 - 2007,"3,338.00","7,50,95,000.00","22,497.00",,,
,,2007 - 2008,"3,629.00","4,70,18,000.00","12,956.19",,,
,,2008 - 2009,"3,639.00","4,70,18,000.00","12,920.58",,,
,,2009 - 2010,"3,640.00","4,70,35,000.00","12,921.70",,,
,,2010 - 2011,"3,651.00","4,72,23,100.00","12,934.29",,,
,,2011 - 2012,"3,710.00","4,80,00,000.00","12,938.01",,,
,,2012 - 2013,"3,716.00","4,82,00,000.00","12,970.94",,,
,,2013 - 2014,"3,720.00","4,85,00,000.00","13,037.63",,,
,,2014 - 2015,"3,723.00","4,85,39,500.00","13,037.74",,,
,,2015 - 2016,"3,723.00","4,85,00,000.00","13,027.13",,,
,,2016 - 2017,"3,740.00","4,85,55,400.00","12,982.73",,,
,,2017 - 2018,"3,806.00","4,87,59,600.00","12,811.25",,,
,,2018 - 2019,"3,855.00","4,94,05,500.00","12,815.95",,,
,,2019 - 2020,"3,910.00","4,98,58,400.00","12,751.51",,,
,2. 24 paraganas south,2000 - 2001,"3,235.00","3,39,67,500.00","10,500.00",,,
,,2001 - 2002,"3,825.00","5,16,37,500.00","13,500.00",,,
,,2002 - 2003,"3,895.00","5,53,09,000.00","14,200.00",,,
,,2003 - 2004,"3,319.00","4,48,06,500.00","13,500.00",,,
,,2004 - 2005,"3,331.00","4,33,03,000.00","13,000.00",,,
,,2005 - 2006,"3,199.00","4,29,08,200.00","13,413.00",,,
,,2006 - 2007,"3,232.00","4,14,66,600.00","12,830.01",,,
,,2007 - 2008,"3,910.00","5,31,00,000.00","13,580.56",,,
,,2008 - 2009,"3,925.00","5,33,00,000.00","13,579.62",,,
,,2009 - 2010,"3,978.00","5,40,00,000.00","13,574.66",,,
,,2010 - 2011,"3,990.00","5,42,16,000.00","13,587.97",,,
,,2011 - 2012,"4,071.00","5,57,11,000.00","13,684.84",,,
,,2012 - 2013,"4,080.00","5,58,55,000.00","13,689.95",,,
,,2013 - 2014,"4,100.00","5,60,56,000.00","13,672.20",,,
,,2014 - 2015,"4,117.00","5,62,90,000.00","13,672.58",,,
,,2015 - 2016,"4,146.00","5,69,67,200.00","13,740.28",,,
,,2016 - 2017,"4,162.00","5,70,30,500.00","13,702.67",,,
,,2017 - 2018,"4,235.00","5,72,58,600.00","13,520.33",,,
,,2018 - 2019,"4,332.00","5,85,76,500.00","13,521.81",,,
,,2019 - 2020,"4,395.00","5,91,76,500.00","13,464.51",,,
,3. Alipurduar,2014 - 2015,441,"64,43,200.00","14,610.43",,,
,,2015 - 2016,444,"65,00,000.00","14,639.64",,,
,,2016 - 2017,448,"66,02,000.00","14,736.61",,,
,,2017 - 2018,465,"67,10,200.00","14,430.54",,,
,,2018 - 2019,475,"68,55,400.00","14,432.42",,,
,,2019 - 2020,480,"68,58,500.00","14,288.54",,,
,4. Bankura,2000 - 2001,164,"17,71,700.00","10,803.05",,,
,,2001 - 2002,193,"22,84,300.00","11,835.75",,,
,,2002 - 2003,201,"21,52,700.00","10,709.95",,,
,,2003 - 2004,229,"33,52,800.00","14,641.05",,,
,,2004 - 2005,241,"37,28,500.00","15,470.95",,,
,,2005 - 2006,255,"27,72,900.00","10,874.12",,,
,,2006 - 2007,271,"30,52,000.00","11,261.99",,,
,,2007 - 2008,271,"30,59,600.00","11,290.04",,,
,,2008 - 2009,271,"30,59,600.00","11,290.04",,,
,,2009 - 2010,271,"30,60,000.00","11,291.51",,,
,,2010 - 2011,272,"30,72,200.00","11,294.85",,,
,,2011 - 2012,272,"30,70,000.00","11,286.76",,,
,,2012 - 2013,275,"31,90,000.00","11,600.00",,,
,,2013 - 2014,276,"32,00,000.00","11,594.20",,,
,,2014 - 2015,278,"32,22,800.00","11,592.81",,,
,,2015 - 2016,275,"32,30,000.00","11,745.45",,,
,,2016 - 2017,275,"32,85,000.00","11,945.45",,,
,,2017 - 2018,312,"32,98,500.00","10,572.12",,,
,,2018 - 2019,318,"33,62,000.00","10,572.33",,,
,,2019 - 2020,325,"33,73,500.00","10,380.00",,,
,5. Birbhum,2000 - 2001,444,"31,08,000.00","7,000.00",,,
,,2001 - 2002,452,"31,64,000.00","7,000.00",,,
,,2002 - 2003,467,"37,36,000.00","8,000.00",,,
,,2003 - 2004,499,"44,91,000.00","9,000.00",,,
,,2004 - 2005,494,"41,99,000.00","8,500.00",,,
,,2005 - 2006,499,"24,95,000.00","5,000.00",,,
,,2006 - 2007,509,"1,97,49,200.00","38,800.00",,,
,,2007 - 2008,350,"29,28,000.00","8,365.71",,,
,,2008 - 2009,382,"31,95,000.00","8,363.87",,,
,,2009 - 2010,382,"32,00,000.00","8,376.96",,,
,,2010 - 2011,383,"32,12,800.00","8,388.51",,,
,,2011 - 2012,384,"32,20,000.00","8,385.42",,,
,,2012 - 2013,385,"32,40,000.00","8,415.58",,,
,,2013 - 2014,390,"32,50,000.00","8,333.33",,,
,,2014 - 2015,391,"32,59,000.00","8,335.04",,,
,,2015 - 2016,396,"32,88,000.00","8,303.03",,,
,,2016 - 2017,398,"33,22,800.00","8,348.74",,,
,,2017 - 2018,406,"33,87,800.00","8,344.33",,,
,,2018 - 2019,415,"34,62,800.00","8,344.10",,,
,,2019 - 2020,428,"34,81,800.00","8,135.05",,,
,6. Coochbehar,2000 - 2001,525,"10,50,000.00","2,000.00",,,
,,2001 - 2002,550,"11,00,000.00","2,000.00",,,
,,2002 - 2003,560,"11,20,000.00","2,000.00",,,
,,2003 - 2004,575,"11,50,000.00","2,000.00",,,
,,2004 - 2005,645,"82,56,000.00","12,800.00",,,
,,2005 - 2006,645,"82,56,000.00","12,800.00",,,
,,2006 - 2007,750,"97,50,000.00","13,000.00",,,
,,2007 - 2008,"1,250.00","1,07,50,000.00","8,600.00",,,
,,2008 - 2009,"1,255.00","1,70,60,000.00","13,593.63",,,
,,2009 - 2010,"1,255.00","1,70,65,000.00","13,597.61",,,
,,2010 - 2011,"1,259.00","1,71,33,300.00","13,608.66",,,
,,2011 - 2012,"1,260.00","1,72,34,000.00","13,677.78",,,
,,2012 - 2013,"1,275.00","1,73,74,400.00","13,626.98",,,
,,2013 - 2014,"1,285.00","1,74,62,500.00","13,589.49",,,
,,2014 - 2015,"1,290.00","1,75,31,000.00","13,589.92",,,
,,2015 - 2016,"1,292.00","1,75,70,000.00","13,599.07",,,
,,2016 - 2017,"1,296.00","1,77,83,700.00","13,721.99",,,
,,2017 - 2018,"1,315.00","1,78,76,800.00","13,594.52",,,
,,2018 - 2019,"1,335.00","1,81,49,600.00","13,595.21",,,
,,2019 - 2020,"1,360.00","1,83,29,700.00","13,477.72",,,
,7. Darjeeling,2000 - 2001,133,"23,34,000.00","17,548.87",,,
,,2001 - 2002,158,"27,43,700.00","17,365.19",,,
,,2002 - 2003,158,"26,14,900.00","16,550.00",,,
,,2003 - 2004,149,"24,68,900.00","16,569.80",,,
,,2004 - 2005,165,"29,10,300.00","17,638.18",,,
,,2005 - 2006,165,"29,10,300.00","17,638.18",,,
,,2006 - 2007,168,"29,70,700.00","17,682.74",,,
,,2007 - 2008,155,"24,80,000.00","16,000.00",,,
,,2008 - 2009,155,"24,80,000.00","16,000.00",,,
,,2009 - 2010,153,"24,50,000.00","16,013.07",,,
,,2010 - 2011,153,"24,59,800.00","16,077.12",,,
,,2011 - 2012,150,"22,00,000.00","14,666.67",,,
,,2012 - 2013,148,"21,90,000.00","14,797.30",,,
,,2013 - 2014,147,"22,20,000.00","15,102.04",,,
,,2014 - 2015,151,"22,80,500.00","15,102.65",,,
