State,District,Year,Guar seed,,,,,,,,
,,,Rabi,,,Kharif,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2011 - 2012,,,,47,38,0.81,,,
,,2012 - 2013,,,,367,299,0.81,,,
,,2013 - 2014,,,,127,105,0.83,,,
,,2014 - 2015,,,,166,135,0.81,,,
,,2015 - 2016,,,,47,38,0.81,,,
,,2016 - 2017,,,,22,16,0.73,,,
,,2017 - 2018,,,,134,96,0.72,,,
,,2018 - 2019,,,,99,71,0.72,,,
,,2019 - 2020,,,,94,67,0.71,,,
,,2020 - 2021,,,,79,57,0.72,,,
,,2021 - 2022,,,,60,43,0.72,,,
,,2022 - 2023,,,,93,67,0.72,,,
,37. Jaunpur,2004 - 2005,,,,,,,30,25,0.83
,,2005 - 2006,,,,,,,22,18,0.82
,,2006 - 2007,,,,,,,27,23,0.85
,,2007 - 2008,,,,27,23,0.85,,,
,,2008 - 2009,,,,3,3,1,,,
,,2009 - 2010,,,,18,15,0.83,,,
,,2010 - 2011,,,,11,9,0.82,,,
,,2011 - 2012,,,,19,16,0.84,,,
,,2012 - 2013,,,,1,1,1,,,
,,2013 - 2014,,,,30,25,0.83,,,
,,2014 - 2015,,,,23,18,0.78,,,
,,2015 - 2016,,,,21,17,0.81,,,
,,2016 - 2017,,,,21,15,0.71,,,
,,2017 - 2018,,,,19,14,0.74,,,
,,2018 - 2019,,,,36,26,0.72,,,
,,2019 - 2020,,,,24,17,0.71,,,
,,2020 - 2021,,,,24,17,0.71,,,
,,2021 - 2022,,,,25,18,0.72,,,
,,2022 - 2023,,,,26,19,0.73,,,
,38. Jhansi,2004 - 2005,,,,,,,15,13,0.87
,,2005 - 2006,,,,,,,4,3,0.75
,,2007 - 2008,,,,8,7,0.88,,,
,,2008 - 2009,,,,10,8,0.8,,,
,,2009 - 2010,,,,7,6,0.86,,,
,,2010 - 2011,,,,6,5,0.83,,,
,,2011 - 2012,,,,7,6,0.86,,,
,,2012 - 2013,,,,26,21,0.81,,,
,,2013 - 2014,,,,11,9,0.82,,,
,,2014 - 2015,,,,40,33,0.83,,,
,,2016 - 2017,,,,17,12,0.71,,,
,,2017 - 2018,,,,19,14,0.74,,,
,,2018 - 2019,,,,3,2,0.67,,,
,,2019 - 2020,,,,16,11,0.69,,,
,,2020 - 2021,,,,11,8,0.73,,,
,,2021 - 2022,,,,11,8,0.73,,,
,,2022 - 2023,,,,12,9,0.75,,,
,39. Kannauj,2006 - 2007,,,,,,,4,3,0.75
,,2007 - 2008,,,,5,4,0.8,,,
,,2008 - 2009,,,,2,1,0.5,,,
,,2009 - 2010,,,,2,2,1,,,
,,2010 - 2011,,,,3,3,1,,,
,,2011 - 2012,,,,3,3,1,,,
,,2012 - 2013,,,,3,2,0.67,,,
,,2014 - 2015,,,,2,2,1,,,
,,2016 - 2017,,,,2,1,0.5,,,
,,2017 - 2018,,,,2,1,0.5,,,
,,2018 - 2019,,,,4,3,0.75,,,
,,2019 - 2020,,,,2,1,0.5,,,
,,2020 - 2021,,,,2,1,0.5,,,
,,2021 - 2022,,,,2,1,0.5,,,
,,2022 - 2023,,,,2,1,0.5,,,
,40. Kanpur dehat,2004 - 2005,,,,,,,14,12,0.86
,,2006 - 2007,,,,,,,28,23,0.82
,,2007 - 2008,,,,12,10,0.83,,,
,,2008 - 2009,,,,12,10,0.83,,,
,,2009 - 2010,,,,13,11,0.85,,,
,,2010 - 2011,,,,13,11,0.85,,,
,,2011 - 2012,,,,49,40,0.82,,,
,,2012 - 2013,,,,18,15,0.83,,,
,,2013 - 2014,,,,58,48,0.83,,,
,,2014 - 2015,,,,6,5,0.83,,,
,,2015 - 2016,,,,134,110,0.82,,,
,,2016 - 2017,,,,53,38,0.72,,,
,,2017 - 2018,,,,54,39,0.72,,,
,,2018 - 2019,,,,47,34,0.72,,,
,,2019 - 2020,,,,59,42,0.71,,,
,,2020 - 2021,,,,69,49,0.71,,,
,,2021 - 2022,,,,56,40,0.71,,,
,,2022 - 2023,,,,57,41,0.72,,,
,41. Kanpur nagar,2004 - 2005,,,,,,,29,24,0.83
,,2005 - 2006,,,,,,,105,85,0.81
,,2006 - 2007,,,,,,,45,38,0.84
,,2007 - 2008,,,,49,41,0.84,,,
,,2009 - 2010,,,,46,38,0.83,,,
,,2010 - 2011,,,,49,41,0.84,,,
,,2011 - 2012,,,,38,31,0.82,,,
,,2012 - 2013,,,,40,33,0.83,,,
,,2014 - 2015,,,,26,21,0.81,,,
,,2015 - 2016,,,,33,27,0.82,,,
,,2016 - 2017,,,,27,19,0.7,,,
,,2017 - 2018,,,,25,18,0.72,,,
,,2018 - 2019,,,,59,42,0.71,,,
,,2019 - 2020,,,,34,24,0.71,,,
,,2020 - 2021,,,,36,26,0.72,,,
,,2021 - 2022,,,,36,26,0.72,,,
,,2022 - 2023,,,,38,27,0.71,,,
,42. Kasganj,2012 - 2013,,,,22,18,0.82,,,
,,2013 - 2014,,,,4,3,0.75,,,
,,2015 - 2016,,,,12,10,0.83,,,
,,2016 - 2017,,,,8,6,0.75,,,
,,2017 - 2018,,,,9,6,0.67,,,
,,2020 - 2021,,,,6,4,0.67,,,
,,2021 - 2022,,,,3,2,0.67,,,
,,2022 - 2023,,,,4,3,0.75,,,
,43. Kaushambi,2004 - 2005,,,,,,,43,36,0.84
,,2005 - 2006,,,,,,,24,19,0.79
,,2006 - 2007,,,,,,,28,24,0.86
,,2007 - 2008,,,,30,25,0.83,,,
,,2008 - 2009,,,,31,26,0.84,,,
,,2009 - 2010,,,,21,18,0.86,,,
,,2010 - 2011,,,,18,15,0.83,,,
,,2011 - 2012,,,,24,20,0.83,,,
,,2012 - 2013,,,,26,21,0.81,,,
,,2013 - 2014,,,,26,21,0.81,,,
,,2014 - 2015,,,,15,12,0.8,,,
,,2015 - 2016,,,,150,124,0.83,,,
,,2016 - 2017,,,,14,10,0.71,,,
,,2017 - 2018,,,,46,33,0.72,,,
,,2018 - 2019,,,,194,139,0.72,,,
,,2019 - 2020,,,,84,61,0.73,,,
,,2020 - 2021,,,,98,70,0.71,,,
,,2021 - 2022,,,,87,62,0.71,,,
,,2022 - 2023,,,,102,73,0.72,,,
,44. Kheri,2004 - 2005,,,,,,,114,97,0.85
,,2005 - 2006,,,,,,,62,50,0.81
,,2006 - 2007,,,,,,,64,54,0.84
,,2007 - 2008,,,,59,49,0.83,,,
,,2008 - 2009,,,,61,51,0.84,,,
,,2009 - 2010,,,,72,60,0.83,,,
,,2010 - 2011,,,,64,53,0.83,,,
,,2011 - 2012,,,,2,1,0.5,,,
,,2012 - 2013,,,,52,42,0.81,,,
,,2013 - 2014,,,,5,4,0.8,,,
,,2014 - 2015,,,,39,32,0.82,,,
,,2015 - 2016,,,,2,1,0.5,,,
,,2016 - 2017,,,,20,14,0.7,,,
,,2017 - 2018,,,,24,17,0.71,,,
,,2019 - 2020,,,,17,12,0.71,,,
,,2020 - 2021,,,,13,9,0.69,,,
,,2021 - 2022,,,,15,11,0.73,,,
,,2022 - 2023,,,,14,10,0.71,,,
,45. Kushi nagar,2006 - 2007,,,,,,,8,7,0.88
,,2007 - 2008,,,,12,10,0.83,,,
,,2009 - 2010,,,,7,6,0.86,,,
,,2010 - 2011,,,,5,4,0.8,,,
,,2011 - 2012,,,,6,5,0.83,,,
,,2012 - 2013,,,,6,5,0.83,,,
,,2013 - 2014,,,,28,23,0.82,,,
,,2016 - 2017,,,,8,6,0.75,,,
,,2017 - 2018,,,,8,6,0.75,,,
,,2019 - 2020,,,,3,2,0.67,,,
,,2020 - 2021,,,,4,3,0.75,,,
,,2021 - 2022,,,,5,4,0.8,,,
,,2022 - 2023,,,,4,3,0.75,,,
,46. Lucknow,2005 - 2006,,,,,,,6,5,0.83
,,2006 - 2007,,,,,,,6,5,0.83
,,2007 - 2008,,,,7,6,0.86,,,
,,2008 - 2009,,,,4,3,0.75,,,
,,2009 - 2010,,,,5,4,0.8,,,
,,2010 - 2011,,,,6,5,0.83,,,
,,2011 - 2012,,,,6,5,0.83,,,
,,2012 - 2013,,,,6,5,0.83,,,
,,2013 - 2014,,,,5,4,0.8,,,
,,2014 - 2015,,,,6,5,0.83,,,
,,2016 - 2017,,,,5,4,0.8,,,
,,2017 - 2018,,,,4,3,0.75,,,
,,2020 - 2021,,,,2,1,0.5,,,
,,2022 - 2023,,,,1,1,1,,,
,47. Maharajganj,2006 - 2007,,,,,,,2,2,1
,,2010 - 2011,,,,24,20,0.83,,,
,,2011 - 2012,,,,2,1,0.5,,,
,,2012 - 2013,,,,5,4,0.8,,,
,,2016 - 2017,,,,1,1,1,,,
,,2017 - 2018,,,,1,1,1,,,
,48. Mahoba,2006 - 2007,,,,,,,3,3,1
,,2008 - 2009,,,,1,1,1,,,
,,2009 - 2010,,,,14,12,0.86,,,
,,2011 - 2012,,,,4,3,0.75,,,
,,2012 - 2013,,,,4,3,0.75,,,
,,2013 - 2014,,,,6,4,0.67,,,
,,2014 - 2015,,,,56,46,0.82,,,
,,2016 - 2017,,,,14,10,0.71,,,
,,2017 - 2018,,,,16,11,0.69,,,
,,2019 - 2020,,,,17,12,0.71,,,
,,2020 - 2021,,,,16,11,0.69,,,
,,2021 - 2022,,,,13,9,0.69,,,
,,2022 - 2023,,,,12,9,0.75,,,
,49. Mainpuri,2004 - 2005,,,,,,,64,54,0.84
,,2005 - 2006,,,,,,,6,5,0.83
,,2006 - 2007,,,,,,,30,25,0.83
,,2007 - 2008,,,,74,62,0.84,,,
,,2008 - 2009,,,,24,20,0.83,,,
,,2009 - 2010,,,,12,10,0.83,,,
,,2010 - 2011,,,,67,56,0.84,,,
,,2011 - 2012,,,,79,64,0.81,,,
,,2012 - 2013,,,,89,73,0.82,,,
,,2013 - 2014,,,,4,3,0.75,,,
,,2014 - 2015,,,,81,66,0.81,,,
,,2015 - 2016,,,,16,13,0.81,,,
,,2016 - 2017,,,,54,39,0.72,,,
,,2017 - 2018,,,,49,35,0.71,,,
,,2018 - 2019,,,,1,1,1,,,
,,2019 - 2020,,,,40,29,0.73,,,
,,2020 - 2021,,,,32,23,0.72,,,
,,2021 - 2022,,,,35,25,0.71,,,
,,2022 - 2023,,,,31,22,0.71,,,
,50. Mathura,2004 - 2005,,,,,,,211,179,0.85
,,2005 - 2006,,,,,,,210,170,0.81
,,2006 - 2007,,,,,,,210,177,0.84
,,2007 - 2008,,,,210,176,0.84,,,
,,2008 - 2009,,,,209,176,0.84,,,
,,2009 - 2010,,,,210,176,0.84,,,
,,2010 - 2011,,,,63,52,0.83,,,
,,2011 - 2012,,,,83,68,0.82,,,
,,2012 - 2013,,,,52,42,0.81,,,
,,2013 - 2014,,,,47,39,0.83,,,
,,2014 - 2015,,,,87,71,0.82,,,
,,2015 - 2016,,,,66,54,0.82,,,
,,2016 - 2017,,,,67,48,0.72,,,
,,2017 - 2018,,,,64,46,0.72,,,
,,2018 - 2019,,,,64,46,0.72,,,
,,2019 - 2020,,,,70,50,0.71,,,
,,2020 - 2021,,,,66,47,0.71,,,
,,2021 - 2022,,,,66,47,0.71,,,
,,2022 - 2023,,,,66,48,0.73,,,
,51. Mau,2004 - 2005,,,,,,,4,3,0.75
,,2008 - 2009,,,,1,1,1,,,
,,2009 - 2010,,,,1,1,1,,,
,,2013 - 2014,,,,2,2,1,,,
,52. Meerut,2012 - 2013,,,,4,3,0.75,,,
,,2013 - 2014,,,,2,2,1,,,
,,2016 - 2017,,,,1,1,1,,,
,,2017 - 2018,,,,1,1,1,,,
,53. Mirzapur,2004 - 2005,,,,,,,66,56,0.85
,,2005 - 2006,,,,,,,34,28,0.82
,,2006 - 2007,,,,,,,66,56,0.85
,,2007 - 2008,,,,63,53,0.84,,,
,,2008 - 2009,,,,61,51,0.84,,,
,,2009 - 2010,,,,58,49,0.84,,,
,,2010 - 2011,,,,56,47,0.84,,,
,,2011 - 2012,,,,65,53,0.82,,,
,,2012 - 2013,,,,61,50,0.82,,,
,,2013 - 2014,,,,27,22,0.81,,,
,,2014 - 2015,,,,53,43,0.81,,,
,,2015 - 2016,,,,10,8,0.8,,,
,,2016 - 2017,,,,21,15,0.71,,,
,,2017 - 2018,,,,34,24,0.71,,,
,,2019 - 2020,,,,24,17,0.71,,,
,,2020 - 2021,,,,20,14,0.7,,,
,,2021 - 2022,,,,20,14,0.7,,,
,,2022 - 2023,,,,27,19,0.7,,,
,54. Moradabad,2004 - 2005,,,,,,,18,15,0.83
,,2005 - 2006,,,,,,,34,28,0.82
,,2006 - 2007,,,,,,,43,36,0.84
,,2007 - 2008,,,,30,25,0.83,,,
,,2008 - 2009,,,,42,35,0.83,,,
,,2009 - 2010,,,,33,28,0.85,,,
,,2010 - 2011,,,,36,30,0.83,,,
,,2011 - 2012,,,,37,31,0.84,,,
,,2012 - 2013,,,,36,29,0.81,,,
,,2013 - 2014,,,,37,30,0.81,,,
,,2014 - 2015,,,,35,29,0.83,,,
,,2015 - 2016,,,,17,14,0.82,,,
,,2016 - 2017,,,,32,23,0.72,,,
,,2017 - 2018,,,,31,22,0.71,,,
,,2019 - 2020,,,,23,16,0.7,,,
,,2020 - 2021,,,,30,22,0.73,,,
,,2021 - 2022,,,,23,17,0.74,,,
,,2022 - 2023,,,,21,15,0.71,,,
,55. Pilibhit,2004 - 2005,,,,,,,76,64,0.84
,,2005 - 2006,,,,,,,73,59,0.81
,,2006 - 2007,,,,,,,12,10,0.83
,,2007 - 2008,,,,39,33,0.85,,,
,,2008 - 2009,,,,40,34,0.85,,,
,,2009 - 2010,,,,48,40,0.83,,,
,,2010 - 2011,,,,8,7,0.88,,,
,,2011 - 2012,,,,29,24,0.83,,,
,,2012 - 2013,,,,33,27,0.82,,,
,,2013 - 2014,,,,32,26,0.81,,,
,,2015 - 2016,,,,18,15,0.83,,,
,,2016 - 2017,,,,14,10,0.71,,,
,,2017 - 2018,,,,19,14,0.74,,,
,,2021 - 2022,,,,7,5,0.71,,,
,,2022 - 2023,,,,5,4,0.8,,,
,56. Pratapgarh,2004 - 2005,,,,,,,28,24,0.86
,,2005 - 2006,,,,,,,1,1,1
,,2006 - 2007,,,,,,,4,3,0.75
,,2007 - 2008,,,,34,29,0.85,,,
,,2008 - 2009,,,,13,11,0.85,,,
,,2009 - 2010,,,,16,13,0.81,,,
,,2010 - 2011,,,,14,12,0.86,,,
,,2011 - 2012,,,,16,13,0.81,,,
,,2012 - 2013,,,,19,15,0.79,,,
,,2014 - 2015,,,,13,10,0.77,,,
,,2015 - 2016,,,,6,5,0.83,,,
,,2016 - 2017,,,,11,8,0.73,,,
,,2017 - 2018,,,,10,7,0.7,,,
,,2018 - 2019,,,,49,35,0.71,,,
,,2019 - 2020,,,,18,13,0.72,,,
,,2020 - 2021,,,,19,14,0.74,,,
,,2021 - 2022,,,,21,15,0.71,,,
,,2022 - 2023,,,,23,17,0.74,,,
,57. Rae bareli,2004 - 2005,,,,,,,25,21,0.84
,,2005 - 2006,,,,,,,43,35,0.81
,,2006 - 2007,,,,,,,38,32,0.84
,,2007 - 2008,,,,33,28,0.85,,,
,,2008 - 2009,,,,97,81,0.84,,,
,,2009 - 2010,,,,66,55,0.83,,,
,,2010 - 2011,,,,55,46,0.84,,,
,,2011 - 2012,,,,58,47,0.81,,,
,,2012 - 2013,,,,62,51,0.82,,,
,,2013 - 2014,,,,68,56,0.82,,,
,,2014 - 2015,,,,62,51,0.82,,,
,,2015 - 2016,,,,13,11,0.85,,,
,,2016 - 2017,,,,53,38,0.72,,,
,,2017 - 2018,,,,52,37,0.71,,,
,,2018 - 2019,,,,50,36,0.72,,,
,,2019 - 2020,,,,46,33,0.72,,,
,,2020 - 2021,,,,43,31,0.72,,,
,,2021 - 2022,,,,49,35,0.71,,,
,,2022 - 2023,,,,48,34,0.71,,,
,58. Rampur,2004 - 2005,,,,,,,10,9,0.9
,,2005 - 2006,,,,,,,9,7,0.78
,,2006 - 2007,,,,,,,6,5,0.83
,,2008 - 2009,,,,7,6,0.86,,,
,,2009 - 2010,,,,11,9,0.82,,,
,,2011 - 2012,,,,5,4,0.8,,,
,,2012 - 2013,,,,5,4,0.8,,,
,,2013 - 2014,,,,6,5,0.83,,,
,,2014 - 2015,,,,5,4,0.8,,,
,,2016 - 2017,,,,4,3,0.75,,,
,,2017 - 2018,,,,4,3,0.75,,,
,,2020 - 2021,,,,2,1,0.5,,,
,,2021 - 2022,,,,2,1,0.5,,,
,,2022 - 2023,,,,2,2,1,,,
,59. Saharanpur,2004 - 2005,,,,,,,209,177,0.85
,,2005 - 2006,,,,,,,160,130,0.81
,,2006 - 2007,,,,,,,159,134,0.84
,,2007 - 2008,,,,234,197,0.84,,,
,,2008 - 2009,,,,173,145,0.84,,,
,,2009 - 2010,,,,189,158,0.84,,,
,,2010 - 2011,,,,185,154,0.83,,,
,,2011 - 2012,,,,188,154,0.82,,,
,,2012 - 2013,,,,31,25,0.81,,,
,,2013 - 2014,,,,88,72,0.82,,,
,,2017 - 2018,,,,24,17,0.71,,,
,,2018 - 2019,,,,75,54,0.72,,,
,,2019 - 2020,,,,20,14,0.7,,,
,,2020 - 2021,,,,24,17,0.71,,,
,,2021 - 2022,,,,29,21,0.72,,,
,,2022 - 2023,,,,34,25,0.74,,,
,60. Sambhal,2012 - 2013,,,,25,20,0.8,,,
,,2013 - 2014,,,,3,3,1,,,
,,2014 - 2015,,,,6,5,0.83,,,
,,2016 - 2017,,,,7,5,0.71,,,
,,2017 - 2018,,,,8,6,0.75,,,
,,2020 - 2021,,,,3,2,0.67,,,
,,2021 - 2022,,,,4,3,0.75,,,
,,2022 - 2023,,,,3,2,0.67,,,
,61. Sant kabeer nagar,2004 - 2005,,,,,,,9,7,0.78
,,2005 - 2006,,,,,,,12,10,0.83
,,2006 - 2007,,,,,,,3,2,0.67
,,2008 - 2009,,,,12,10,0.83,,,
,,2009 - 2010,,,,7,6,0.86,,,
,,2010 - 2011,,,,34,28,0.82,,,
,,2011 - 2012,,,,30,25,0.83,,,
,,2012 - 2013,,,,18,14,0.78,,,
,,2014 - 2015,,,,14,12,0.86,,,
,,2015 - 2016,,,,1,1,1,,,
,,2016 - 2017,,,,9,6,0.67,,,
,,2017 - 2018,,,,8,6,0.75,,,
,,2018 - 2019,,,,1,1,1,,,
,,2019 - 2020,,,,7,5,0.71,,,
,,2020 - 2021,,,,5,4,0.8,,,
,,2021 - 2022,,,,6,4,0.67,,,
,,2022 - 2023,,,,8,6,0.75,,,
,62. Sant ravidas nagar,2004 - 2005,,,,,,,57,49,0.86
,,2005 - 2006,,,,,,,61,49,0.8
,,2006 - 2007,,,,,,,67,56,0.84
,,2007 - 2008,,,,16,13,0.81,,,
,,2008 - 2009,,,,41,34,0.83,,,
,,2009 - 2010,,,,48,40,0.83,,,
,,2010 - 2011,,,,47,39,0.83,,,
,,2011 - 2012,,,,44,36,0.82,,,
,,2012 - 2013,,,,27,22,0.81,,,
,,2013 - 2014,,,,7,6,0.86,,,
,,2014 - 2015,,,,35,29,0.83,,,
,,2015 - 2016,,,,49,41,0.84,,,
,,2016 - 2017,,,,32,22,0.69,,,
,,2017 - 2018,,,,30,22,0.73,,,
,,2019 - 2020,,,,29,21,0.72,,,
,,2020 - 2021,,,,28,20,0.71,,,
,,2021 - 2022,,,,24,17,0.71,,,
,,2022 - 2023,,,,22,16,0.73,,,
,63. Shahjahanpur,2004 - 2005,,,,,,,7,6,0.86
,,2005 - 2006,,,,,,,48,39,0.81
,,2006 - 2007,,,,,,,44,37,0.84
,,2007 - 2008,,,,46,39,0.85,,,
,,2008 - 2009,,,,63,53,0.84,,,
,,2009 - 2010,,,,42,35,0.83,,,
,,2010 - 2011,,,,49,41,0.84,,,
,,2011 - 2012,,,,49,40,0.82,,,
,,2012 - 2013,,,,50,41,0.82,,,
,,2013 - 2014,,,,15,13,0.87,,,
,,2014 - 2015,,,,2,2,1,,,
,,2016 - 2017,,,,23,16,0.7,,,
,,2017 - 2018,,,,18,13,0.72,,,
,,2018 - 2019,,,,10,7,0.7,,,
,,2019 - 2020,,,,11,8,0.73,,,
,,2020 - 2021,,,,12,9,0.75,,,
,,2021 - 2022,,,,15,11,0.73,,,
,,2022 - 2023,,,,13,9,0.69,,,
,64. Shravasti,2004 - 2005,,,,,,,43,36,0.84
,,2005 - 2006,,,,,,,52,42,0.81
,,2006 - 2007,,,,,,,62,52,0.84
,,2007 - 2008,,,,69,58,0.84,,,
,,2008 - 2009,,,,25,21,0.84,,,
,,2009 - 2010,,,,2,2,1,,,
,,2010 - 2011,,,,38,32,0.84,,,
,,2011 - 2012,,,,36,29,0.81,,,
,,2012 - 2013,,,,12,10,0.83,,,
,,2013 - 2014,,,,40,33,0.83,,,
,,2014 - 2015,,,,26,22,0.85,,,
,,2015 - 2016,,,,30,24,0.8,,,
,,2016 - 2017,,,,29,21,0.72,,,
,,2017 - 2018,,,,27,19,0.7,,,
,,2018 - 2019,,,,47,34,0.72,,,
,,2019 - 2020,,,,68,49,0.72,,,
,,2020 - 2021,,,,28,20,0.71,,,
,,2021 - 2022,,,,40,29,0.73,,,
,,2022 - 2023,,,,30,22,0.73,,,
,65. Siddharth nagar,2004 - 2005,,,,,,,48,41,0.85
,,2005 - 2006,,,,,,,55,44,0.8
,,2006 - 2007,,,,,,,12,10,0.83
,,2007 - 2008,,,,35,29,0.83,,,
,,2008 - 2009,,,,32,27,0.84,,,
,,2009 - 2010,,,,36,30,0.83,,,
,,2010 - 2011,,,,34,28,0.82,,,
,,2011 - 2012,,,,12,10,0.83,,,
,,2012 - 2013,,,,29,24,0.83,,,
,,2013 - 2014,,,,26,21,0.81,,,
,,2014 - 2015,,,,22,18,0.82,,,
,,2015 - 2016,,,,15,12,0.8,,,
,,2016 - 2017,,,,24,17,0.71,,,
,,2017 - 2018,,,,23,16,0.7,,,
,,2018 - 2019,,,,2,1,0.5,,,
,,2019 - 2020,,,,17,12,0.71,,,
,,2020 - 2021,,,,16,11,0.69,,,
,,2021 - 2022,,,,6,4,0.67,,,
,,2022 - 2023,,,,13,9,0.69,,,
,66. Sitapur,2004 - 2005,,,,,,,96,81,0.84
,,2005 - 2006,,,,,,,62,50,0.81
,,2006 - 2007,,,,,,,55,46,0.84
,,2007 - 2008,,,,61,51,0.84,,,
,,2008 - 2009,,,,13,11,0.85,,,
,,2009 - 2010,,,,57,48,0.84,,,
,,2010 - 2011,,,,55,46,0.84,,,
,,2011 - 2012,,,,33,27,0.82,,,
,,2012 - 2013,,,,44,36,0.82,,,
,,2013 - 2014,,,,40,33,0.83,,,
,,2014 - 2015,,,,47,38,0.81,,,
,,2015 - 2016,,,,53,44,0.83,,,
,,2016 - 2017,,,,8,6,0.75,,,
,,2017 - 2018,,,,38,27,0.71,,,
,,2019 - 2020,,,,29,21,0.72,,,
,,2020 - 2021,,,,26,19,0.73,,,
,,2021 - 2022,,,,20,14,0.7,,,
,,2022 - 2023,,,,23,16,0.7,,,
,67. Sonbhadra,2005 - 2006,,,,,,,15,12,0.8
,,2008 - 2009,,,,3,3,1,,,
,,2009 - 2010,,,,4,3,0.75,,,
,,2010 - 2011,,,,4,3,0.75,,,
,,2011 - 2012,,,,2,2,1,,,
,,2012 - 2013,,,,3,2,0.67,,,
,,2016 - 2017,,,,1,1,1,,,
,,2017 - 2018,,,,1,1,1,,,
,68. Sultanpur,2004 - 2005,,,,,,,72,61,0.85
,,2005 - 2006,,,,,,,67,54,0.81
,,2006 - 2007,,,,,,,63,53,0.84
,,2007 - 2008,,,,52,44,0.85,,,
,,2008 - 2009,,,,55,46,0.84,,,
,,2009 - 2010,,,,62,52,0.84,,,
,,2010 - 2011,,,,60,50,0.83,,,
,,2011 - 2012,,,,58,47,0.81,,,
,,2012 - 2013,,,,57,46,0.81,,,
,,2013 - 2014,,,,58,48,0.83,,,
,,2014 - 2015,,,,59,48,0.81,,,
,,2015 - 2016,,,,45,37,0.82,,,
,,2016 - 2017,,,,55,39,0.71,,,
,,2017 - 2018,,,,55,39,0.71,,,
,,2018 - 2019,,,,58,42,0.72,,,
,,2019 - 2020,,,,54,39,0.72,,,
,,2020 - 2021,,,,53,38,0.72,,,
,,2021 - 2022,,,,55,39,0.71,,,
,,2022 - 2023,,,,57,41,0.72,,,
,69. Unnao,2005 - 2006,,,,,,,51,41,0.8
,,2006 - 2007,,,,,,,55,46,0.84
,,2007 - 2008,,,,61,51,0.84,,,
,,2008 - 2009,,,,59,50,0.85,,,
,,2009 - 2010,,,,10,8,0.8,,,
,,2010 - 2011,,,,30,25,0.83,,,
,,2011 - 2012,,,,66,54,0.82,,,
,,2012 - 2013,,,,44,36,0.82,,,
,,2013 - 2014,,,,17,14,0.82,,,
,,2014 - 2015,,,,33,27,0.82,,,
,,2015 - 2016,,,,47,39,0.83,,,
,,2016 - 2017,,,,41,29,0.71,,,
,,2017 - 2018,,,,36,26,0.72,,,
,,2018 - 2019,,,,30,22,0.73,,,
,,2019 - 2020,,,,37,27,0.73,,,
,,2020 - 2021,,,,28,20,0.71,,,
,,2021 - 2022,,,,34,24,0.71,,,
,,2022 - 2023,,,,33,24,0.73,,,
,70. Varanasi,2004 - 2005,,,,,,,54,46,0.85
,,2005 - 2006,,,,,,,52,42,0.81
,,2006 - 2007,,,,,,,52,44,0.85
,,2007 - 2008,,,,53,44,0.83,,,
,,2008 - 2009,,,,56,47,0.84,,,
,,2009 - 2010,,,,53,45,0.85,,,
,,2010 - 2011,,,,53,44,0.83,,,
,,2011 - 2012,,,,53,43,0.81,,,
,,2012 - 2013,,,,53,43,0.81,,,
,,2013 - 2014,,,,54,44,0.81,,,
,,2014 - 2015,,,,14,12,0.86,,,
,,2015 - 2016,,,,103,85,0.83,,,
,,2016 - 2017,,,,55,40,0.73,,,
,,2017 - 2018,,,,56,40,0.71,,,
,,2018 - 2019,,,,56,40,0.71,,,
,,2019 - 2020,,,,57,41,0.72,,,
,,2020 - 2021,,,,61,44,0.72,,,
,,2021 - 2022,,,,57,41,0.72,,,
,,2022 - 2023,,,,57,41,0.72,,,
