State,District,Year,Guar seed,,,,,,,,
,,,Rabi,,,Kharif,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
4. Haryana,1. Bhiwani,2012 - 2013,,,,,,,"1,60,849.00","1,20,675.00",0.75
,,2017 - 2018,,,,"76,800.00","62,500.00",0.81,,,
,,2018 - 2019,,,,"55,870.00","45,082.00",0.81,,,
,,2019 - 2020,,,,"31,497.00","28,347.00",0.9,,,
,,2020 - 2021,,,,,,,"31,497.00","28,347.00",0.9
,,2021 - 2022,,,,,,,"19,193.00","17,274.00",0.9
,2. Charki dadri,2017 - 2018,,,,"27,800.00","22,800.00",0.82,,,
,,2018 - 2019,,,,"19,931.00","17,832.00",0.89,,,
,,2019 - 2020,,,,"6,728.00","6,055.00",0.9,,,
,,2020 - 2021,,,,,,,"6,728.00","6,055.00",0.9
,,2021 - 2022,,,,,,,"4,078.00","3,670.00",0.9
,3. Faridabad,2018 - 2019,,,,27,24,0.89,,,
,,2019 - 2020,,,,19,17,0.89,,,
,,2020 - 2021,,,,,,,19,17,0.89
,,2021 - 2022,,,,,,,20,18,0.9
,4. Fatehabad,2012 - 2013,,,,,,,"21,306.00","13,849.00",0.65
,,2017 - 2018,,,,"14,300.00","12,000.00",0.84,,,
,,2018 - 2019,,,,"11,051.00","10,543.00",0.95,,,
,,2019 - 2020,,,,"9,917.00","9,461.00",0.95,,,
,,2020 - 2021,,,,,,,"9,917.00","9,461.00",0.95
,,2021 - 2022,,,,,,,"9,260.00","8,834.00",0.95
,5. Gurgaon,2012 - 2013,,,,,,,"1,679.00","1,091.00",0.65
,,2017 - 2018,,,,600,500,0.83,,,
,,2018 - 2019,,,,548,438,0.8,,,
,,2019 - 2020,,,,221,177,0.8,,,
,,2020 - 2021,,,,,,,221,177,0.8
,,2021 - 2022,,,,,,,107,85,0.79
,6. Hisar,2012 - 2013,,,,,,,"64,142.00","44,899.00",0.7
,,2017 - 2018,,,,"59,000.00","50,400.00",0.85,,,
,,2018 - 2019,,,,"46,990.00","41,790.00",0.89,,,
,,2019 - 2020,,,,"32,056.00","32,056.00",1,,,
,,2020 - 2021,,,,,,,"17,578.00","17,578.00",1
,,2021 - 2022,,,,,,,"21,420.00","21,420.00",1
,7. Jhajjar,2012 - 2013,,,,,,,"6,500.00","4,550.00",0.7
,,2017 - 2018,,,,"2,600.00","2,100.00",0.81,,,
,,2018 - 2019,,,,"1,884.00","1,800.00",0.96,,,
,,2019 - 2020,,,,284,271,0.95,,,
,,2020 - 2021,,,,,,,261,249,0.95
,,2021 - 2022,,,,,,,332,317,0.95
