State,District,Year,Dry chillies,,,,,,,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,,Summer,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2020 - 2021,,,,482,"1,941.00",4.03,"11,737.00","88,485.00",7.54,,,,,,
,,2021 - 2022,,,,476,840,1.76,"14,903.00","41,579.00",2.79,,,,,,
,,2022 - 2023,,,,62,388,6.26,21,129,6.14,,,,,,
,13. Kurnool,2000 - 2001,,,,249,284,1.14,"13,092.00","14,715.00",1.12,,,,,,
,,2001 - 2002,,,,557,868,1.56,"14,427.00","19,202.00",1.33,,,,,,
,,2002 - 2003,,,,792,"1,532.00",1.93,"10,201.00","13,598.00",1.33,,,,,,
,,2003 - 2004,,,,932,"1,947.00",2.09,"11,597.00","25,026.00",2.16,,,,,,
,,2004 - 2005,,,,468,"2,275.00",4.86,"16,951.00","33,088.00",1.95,,,,,,
,,2005 - 2006,,,,414,"1,528.00",3.69,"8,426.00","13,659.00",1.62,,,,,,
,,2006 - 2007,,,,461,"1,720.00",3.73,"11,290.00","29,196.00",2.59,,,,,,
,,2007 - 2008,,,,"1,000.00","2,000.00",2,"13,000.00","42,000.00",3.23,,,,,,
,,2008 - 2009,,,,343,707,2.06,"13,742.00","33,407.00",2.43,,,,,,
,,2009 - 2010,,,,889,"2,978.00",3.35,"11,187.00","26,099.00",2.33,,,,,,
,,2010 - 2011,,,,636,"1,299.00",2.04,"10,908.00","31,546.00",2.89,,,,,,
,,2011 - 2012,,,,911,"1,188.00",1.3,"19,629.00","41,535.00",2.12,,,,,,
,,2012 - 2013,,,,"1,000.00","1,000.00",1,"12,000.00","24,000.00",2,,,,,,
,,2013 - 2014,,,,285,568,1.99,"15,252.00","57,775.00",3.79,,,,,,
,,2014 - 2015,,,,496,"1,549.00",3.12,"13,822.00","70,022.00",5.07,,,,,,
,,2015 - 2016,,,,440,"1,212.00",2.75,"16,626.00","50,061.00",3.01,,,,,,
,,2016 - 2017,,,,431,968,2.25,"26,477.00","1,53,752.00",5.81,,,,,,
,,2017 - 2018,,,,180,519,2.88,"13,183.00","57,135.00",4.33,,,,,,
,,2018 - 2019,,,,207,614,2.97,"16,238.00","48,081.00",2.96,,,,,,
,,2019 - 2020,,,,205,656,3.2,"14,772.00","69,192.00",4.68,,,,,,
,,2020 - 2021,,,,"2,131.00","5,894.00",2.77,"19,112.00","67,848.00",3.55,,,,,,
,,2021 - 2022,,,,842,"2,111.00",2.51,"28,808.00","88,757.00",3.08,,,,,,
,,2022 - 2023,,,,"1,430.00","6,150.00",4.3,"50,772.00","2,57,871.00",5.08,,,,,,
,14. Nandyal,2022 - 2023,,,,"1,118.00","5,862.00",5.24,"17,637.00","1,06,616.00",6.05,,,,,,
,15. Ntr,2022 - 2023,,,,26,163,6.27,"18,353.00","1,33,096.00",7.25,,,,,,
,16. Palnadu,2022 - 2023,,,,694,"5,848.00",8.43,"57,896.00","3,50,966.00",6.06,,,,,,
,17. Parvathipuram manyam,2022 - 2023,,,,23,144,6.26,10,61,6.1,,,,,,
,18. Prakasam,2000 - 2001,,,,"4,607.00","9,417.00",2.04,"16,383.00","30,751.00",1.88,,,,,,
,,2001 - 2002,,,,"3,920.00","9,776.00",2.49,"14,347.00","33,400.00",2.33,,,,,,
