State,District,Year,Dry chillies,,,,,,,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,,Summer,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2012 - 2013,,,,"2,000.00","11,000.00",5.5,,,,,,,,,
,,2013 - 2014,,,,"1,937.00","9,832.00",5.08,48,233,4.85,,,,,,
,,2014 - 2015,,,,"1,567.00","5,458.00",3.48,43,247,5.74,,,,,,
,,2015 - 2016,,,,"1,138.00","4,703.00",4.13,25,102,4.08,,,,,,
,,2016 - 2017,,,,"1,012.00","4,808.00",4.75,17,86,5.06,,,,,,
,,2017 - 2018,,,,"1,280.00","4,316.00",3.37,12,67,5.58,,,,,,
,,2018 - 2019,,,,783,"2,713.00",3.46,27,89,3.3,,,,,,
,,2019 - 2020,,,,589,"2,035.00",3.46,9,49,5.44,,,,,,
,,2020 - 2021,,,,372,"1,208.00",3.25,1,5,5,,,,,,
,,2021 - 2022,,,,293,951,3.25,3,5,1.67,,,,,,
,,2022 - 2023,,,,209,729,3.49,15,92,6.13,,,,,,
,22. Tirupati,2022 - 2023,,,,491,"2,477.00",5.04,,,,,,,,,
,23. Visakhapatanam,2000 - 2001,,,,"3,760.00","8,280.00",2.2,"1,186.00","3,273.00",2.76,,,,,,
,,2001 - 2002,,,,"3,754.00","5,147.00",1.37,918,"3,324.00",3.62,,,,,,
,,2002 - 2003,,,,"2,322.00","2,903.00",1.25,908,"1,793.00",1.97,,,,,,
,,2003 - 2004,,,,"3,047.00","4,674.00",1.53,871,"3,838.00",4.41,,,,,,
,,2004 - 2005,,,,"2,329.00","6,065.00",2.6,"1,061.00","4,391.00",4.14,,,,,,
,,2005 - 2006,,,,"2,092.00","4,161.00",1.99,778,"3,262.00",4.19,,,,,,
,,2006 - 2007,,,,"1,929.00","5,336.00",2.77,762,"3,429.00",4.5,,,,,,
,,2007 - 2008,,,,"2,000.00","1,000.00",0.5,"1,000.00","3,000.00",3,,,,,,
,,2008 - 2009,,,,"1,270.00","1,579.00",1.24,474,"2,116.00",4.46,,,,,,
,,2009 - 2010,,,,"1,090.00","2,296.00",2.11,426,"2,042.00",4.79,,,,,,
,,2010 - 2011,,,,"1,003.00","3,443.00",3.43,587,"1,947.00",3.32,,,,,,
,,2011 - 2012,,,,770,"1,339.00",1.74,445,"1,692.00",3.8,,,,,,
,,2012 - 2013,,,,"1,000.00","2,000.00",2,"1,000.00","2,000.00",2,,,,,,
,,2013 - 2014,,,,735,"1,420.00",1.93,378,"1,833.00",4.85,,,,,,
,,2014 - 2015,,,,601,"1,316.00",2.19,394,"2,267.00",5.75,,,,,,
,,2015 - 2016,,,,581,"1,123.00",1.93,242,166,0.69,,,,,,
,,2016 - 2017,,,,582,"1,155.00",1.98,302,423,1.4,,,,,,
,,2017 - 2018,,,,408,567,1.39,185,177,0.96,,,,,,
,,2018 - 2019,,,,275,466,1.69,127,115,0.91,,,,,,
,,2019 - 2020,,,,196,378,1.93,123,109,0.89,,,,,,
,,2020 - 2021,,,,158,233,1.47,54,36,0.67,,,,,,
,,2021 - 2022,,,,83,181,2.18,11,9,0.82,,,,,,
,,2022 - 2023,,,,7,44,6.29,,,,,,,,,
,24. Vizianagaram,2000 - 2001,,,,"2,409.00","4,970.00",2.06,305,842,2.76,,,,,,
,,2001 - 2002,,,,"2,341.00","3,722.00",1.59,228,826,3.62,,,,,,
,,2002 - 2003,,,,"2,027.00","2,461.00",1.21,300,593,1.98,,,,,,
,,2003 - 2004,,,,"2,081.00","2,620.00",1.26,235,"1,035.00",4.4,,,,,,
,,2004 - 2005,,,,"2,157.00","3,973.00",1.84,254,"1,051.00",4.14,,,,,,
,,2005 - 2006,,,,"1,946.00","2,191.00",1.13,286,"1,199.00",4.19,,,,,,
,,2006 - 2007,,,,"1,881.00","3,104.00",1.65,228,"1,026.00",4.5,,,,,,
,,2007 - 2008,,,,"2,000.00","2,000.00",1,,,,,,,,,
,,2008 - 2009,,,,"1,507.00","1,735.00",1.15,296,"1,322.00",4.47,,,,,,
,,2009 - 2010,,,,"1,167.00","1,549.00",1.33,269,"1,290.00",4.8,,,,,,
,,2010 - 2011,,,,"1,373.00","1,157.00",0.84,210,697,3.32,,,,,,
,,2011 - 2012,,,,"1,077.00","1,670.00",1.55,148,563,3.8,,,,,,
,,2012 - 2013,,,,"1,000.00","1,000.00",1,,,,,,,,,
,,2013 - 2014,,,,848,986,1.16,192,931,4.85,,,,,,
,,2014 - 2015,,,,841,"1,606.00",1.91,87,501,5.76,,,,,,
,,2015 - 2016,,,,970,"1,641.00",1.69,116,473,4.08,,,,,,
,,2016 - 2017,,,,773,"1,755.00",2.27,231,"1,165.00",5.04,,,,,,
,,2017 - 2018,,,,543,780,1.44,146,818,5.6,,,,,,
,,2018 - 2019,,,,459,405,0.88,68,223,3.28,,,,,,
,,2019 - 2020,,,,329,430,1.31,81,442,5.46,,,,,,
,,2020 - 2021,,,,216,381,1.76,58,292,5.03,,,,,,
,,2021 - 2022,,,,190,342,1.8,32,76,2.38,,,,,,
,,2022 - 2023,,,,84,180,2.14,39,239,6.13,,,,,,
,25. West godavari,2000 - 2001,,,,"5,060.00","7,428.00",1.47,50,138,2.76,,,,,,
,,2001 - 2002,,,,"4,258.00","6,149.00",1.44,40,145,3.63,,,,,,
,,2002 - 2003,,,,"3,549.00","4,766.00",1.34,22,43,1.95,,,,,,
,,2003 - 2004,,,,"3,734.00","4,526.00",1.21,40,176,4.4,,,,,,
,,2004 - 2005,,,,"2,757.00","4,759.00",1.73,14,58,4.14,,,,,,
,,2005 - 2006,,,,"3,086.00","4,061.00",1.32,23,96,4.17,,,,,,
,,2006 - 2007,,,,"3,124.00","3,627.00",1.16,190,855,4.5,,,,,,
,,2007 - 2008,,,,"4,000.00","8,000.00",2,,,,,,,,,
,,2008 - 2009,,,,"2,311.00","5,385.00",2.33,40,179,4.48,,,,,,
,,2009 - 2010,,,,"1,859.00","3,369.00",1.81,,,,,,,,,
,,2010 - 2011,,,,"1,628.00","4,560.00",2.8,,,,,,,,,
,,2011 - 2012,,,,"1,819.00","4,138.00",2.27,,,,,,,,,
,,2012 - 2013,,,,"2,000.00","4,000.00",2,,,,,,,,,
,,2013 - 2014,,,,"1,225.00","2,535.00",2.07,,,,,,,,,
,,2014 - 2015,,,,"2,489.00","9,294.00",3.73,,,,,,,,,
,,2015 - 2016,,,,"2,147.00","6,282.00",2.93,"1,557.00","6,353.00",4.08,,,,,,
,,2016 - 2017,,,,"2,100.00","8,058.00",3.84,104,448,4.31,,,,,,
,,2017 - 2018,,,,"1,449.00","4,948.00",3.41,61,342,5.61,,,,,,
,,2018 - 2019,,,,"1,307.00","3,258.00",2.49,3,10,3.33,,,,,,
,,2019 - 2020,,,,718,"2,139.00",2.98,155,238,1.54,,,,,,
,,2020 - 2021,,,,639,"2,307.00",3.61,,,,,,,,,
,,2021 - 2022,,,,826,"2,504.00",3.03,118,194,1.64,,,,,,
3. Arunachal Pradesh,1. Anjaw,2004 - 2005,13,18,1.38,,,,,,,,,,,,
,,2005 - 2006,20,28,1.4,,,,,,,,,,,,
,,2006 - 2007,21,30,1.43,,,,,,,,,,,,
,,2007 - 2008,22,314,14.27,,,,,,,,,,,,
,,2008 - 2009,20,26,1.3,,,,,,,,,,,,
,,2009 - 2010,18,25,1.39,,,,,,,,,,,,
,,2010 - 2011,20,30,1.5,,,,,,,,,,,,
,,2011 - 2012,22,35,1.59,,,,,,,,,,,,
,,2012 - 2013,24,96,4,,,,,,,,,,,,
,,2013 - 2014,24,95,3.96,,,,,,,,,,,,
,,2014 - 2015,28,57,2.04,,,,,,,,,,,,
,,2015 - 2016,28,86,3.07,,,,,,,,,,,,
,,2016 - 2017,57,167,2.93,,,,,,,,,,,,
,,2017 - 2018,60,185,3.08,,,,,,,,,,,,
,,2018 - 2019,60,187,3.12,,,,,,,,,,,,
,,2019 - 2020,60,194,3.23,,,,,,,,,,,,
,,2020 - 2021,60,197,3.28,,,,,,,,,,,,
,,2021 - 2022,63,210,3.33,,,,,,,,,,,,
,,2022 - 2023,65,217,3.34,,,,,,,,,,,,
,2. Changlang,2000 - 2001,314,415,1.32,,,,,,,,,,,,
,,2001 - 2002,308,410,1.33,,,,,,,,,,,,
,,2002 - 2003,320,480,1.5,,,,,,,,,,,,
,,2003 - 2004,345,534,1.55,,,,,,,,,,,,
,,2004 - 2005,400,415,1.04,,,,,,,,,,,,
,,2005 - 2006,719,982,1.37,,,,,,,,,,,,
,,2006 - 2007,329,472,1.43,,,,,,,,,,,,
,,2007 - 2008,700,990,1.41,,,,,,,,,,,,
,,2008 - 2009,634,992,1.56,,,,,,,,,,,,
,,2009 - 2010,710,"1,079.00",1.52,,,,,,,,,,,,
,,2010 - 2011,700,"1,064.00",1.52,,,,,,,,,,,,
,,2011 - 2012,788,"1,254.00",1.59,,,,,,,,,,,,
,,2012 - 2013,720,"1,080.00",1.5,,,,,,,,,,,,
,,2013 - 2014,722,"2,527.00",3.5,,,,,,,,,,,,
,,2014 - 2015,733,"2,489.00",3.4,,,,,,,,,,,,
,,2015 - 2016,733,"2,489.00",3.4,,,,,,,,,,,,
,,2016 - 2017,762,"2,570.00",3.37,,,,,,,,,,,,
,,2017 - 2018,768,"2,588.00",3.37,,,,,,,,,,,,
,,2018 - 2019,768,"2,590.00",3.37,,,,,,,,,,,,
,,2019 - 2020,768,"2,597.00",3.38,,,,,,,,,,,,
,,2020 - 2021,769,"2,601.00",3.38,,,,,,,,,,,,
,,2021 - 2022,798,"2,761.00",3.46,,,,,,,,,,,,
,,2022 - 2023,799,"2,767.00",3.46,,,,,,,,,,,,
,3. Dibang valley,2000 - 2001,80,320,4,,,,,,,,,,,,
,,2001 - 2002,110,145,1.32,,,,,,,,,,,,
,,2002 - 2003,17,25,1.47,,,,,,,,,,,,
,,2003 - 2004,17,25,1.47,,,,,,,,,,,,
,,2004 - 2005,125,152,1.22,,,,,,,,,,,,
,,2005 - 2006,18,28,1.56,,,,,,,,,,,,
,,2006 - 2007,20,31,1.55,,,,,,,,,,,,
,,2007 - 2008,20,31,1.55,,,,,,,,,,,,
,,2010 - 2011,40,76,1.9,,,,,,,,,,,,
,,2011 - 2012,45,90,2,,,,,,,,,,,,
,,2012 - 2013,47,105,2.23,,,,,,,,,,,,
,,2013 - 2014,49,117,2.39,,,,,,,,,,,,
,,2014 - 2015,60,79,1.32,,,,,,,,,,,,
,,2015 - 2016,60,116,1.93,,,,,,,,,,,,
,,2016 - 2017,89,197,2.21,,,,,,,,,,,,
,,2017 - 2018,92,215,2.34,,,,,,,,,,,,
,,2018 - 2019,92,217,2.36,,,,,,,,,,,,
,,2019 - 2020,93,224,2.41,,,,,,,,,,,,
,,2020 - 2021,93,228,2.45,,,,,,,,,,,,
,,2021 - 2022,98,260,2.65,,,,,,,,,,,,
,,2022 - 2023,99,263,2.66,,,,,,,,,,,,
,4. East kameng,2000 - 2001,50,76,1.52,,,,,,,,,,,,
,,2001 - 2002,70,98,1.4,,,,,,,,,,,,
,,2002 - 2003,73,103,1.41,,,,,,,,,,,,
,,2003 - 2004,72,103,1.43,,,,,,,,,,,,
,,2004 - 2005,72,103,1.43,,,,,,,,,,,,
,,2005 - 2006,79,112,1.42,,,,,,,,,,,,
,,2006 - 2007,81,124,1.53,,,,,,,,,,,,
,,2007 - 2008,82,126,1.54,,,,,,,,,,,,
,,2008 - 2009,82,129,1.57,,,,,,,,,,,,
,,2009 - 2010,83,131,1.58,,,,,,,,,,,,
,,2010 - 2011,85,136,1.6,,,,,,,,,,,,
,,2011 - 2012,96,160,1.67,,,,,,,,,,,,
,,2012 - 2013,100,181,1.81,,,,,,,,,,,,
,,2013 - 2014,104,192,1.85,,,,,,,,,,,,
,,2014 - 2015,115,154,1.34,,,,,,,,,,,,
,,2015 - 2016,115,338,2.94,,,,,,,,,,,,
,,2016 - 2017,144,419,2.91,,,,,,,,,,,,
,,2017 - 2018,147,437,2.97,,,,,,,,,,,,
,,2018 - 2019,147,439,2.99,,,,,,,,,,,,
,,2019 - 2020,104,312,3,,,,,,,,,,,,
,,2020 - 2021,104,315,3.03,,,,,,,,,,,,
,,2021 - 2022,110,352,3.2,,,,,,,,,,,,
,,2022 - 2023,111,356,3.21,,,,,,,,,,,,
,5. East siang,2000 - 2001,140,138,0.99,,,,,,,,,,,,
,,2001 - 2002,138,160,1.16,,,,,,,,,,,,
,,2002 - 2003,140,170,1.21,,,,,,,,,,,,
,,2003 - 2004,140,155,1.11,,,,,,,,,,,,
,,2004 - 2005,68,88,1.29,,,,,,,,,,,,
,,2005 - 2006,173,186,1.08,,,,,,,,,,,,
,,2006 - 2007,173,186,1.08,,,,,,,,,,,,
,,2007 - 2008,182,180,0.99,,,,,,,,,,,,
,,2008 - 2009,182,192,1.05,,,,,,,,,,,,
,,2009 - 2010,155,171,1.1,,,,,,,,,,,,
,,2010 - 2011,190,209,1.1,,,,,,,,,,,,
,,2011 - 2012,213,246,1.15,,,,,,,,,,,,
,,2012 - 2013,214,236,1.1,,,,,,,,,,,,
,,2013 - 2014,225,254,1.13,,,,,,,,,,,,
,,2014 - 2015,236,216,0.92,,,,,,,,,,,,
,,2015 - 2016,215,677,3.15,,,,,,,,,,,,
,,2016 - 2017,244,758,3.11,,,,,,,,,,,,
,,2017 - 2018,250,776,3.1,,,,,,,,,,,,
,,2018 - 2019,190,543,2.86,,,,,,,,,,,,
,,2019 - 2020,191,550,2.88,,,,,,,,,,,,
,,2020 - 2021,191,553,2.9,,,,,,,,,,,,
,,2021 - 2022,201,602,3,,,,,,,,,,,,
,,2022 - 2023,205,615,3,,,,,,,,,,,,
,6. Kamle,2018 - 2019,106,285,2.69,,,,,,,,,,,,
,,2019 - 2020,107,292,2.73,,,,,,,,,,,,
,,2020 - 2021,107,295,2.76,,,,,,,,,,,,
,,2021 - 2022,115,336,2.92,,,,,,,,,,,,
,,2022 - 2023,117,342,2.92,,,,,,,,,,,,
,7. Kra daadi,2015 - 2016,130,247,1.9,,,,,,,,,,,,
,,2016 - 2017,159,328,2.06,,,,,,,,,,,,
,,2017 - 2018,162,346,2.14,,,,,,,,,,,,
,,2018 - 2019,162,348,2.15,,,,,,,,,,,,
,,2019 - 2020,163,355,2.18,,,,,,,,,,,,
,,2020 - 2021,163,357,2.19,,,,,,,,,,,,
,,2021 - 2022,176,407,2.31,,,,,,,,,,,,
,,2022 - 2023,178,412,2.31,,,,,,,,,,,,
,8. Kurung kumey,2002 - 2003,60,85,1.42,,,,,,,,,,,,
,,2003 - 2004,60,78,1.3,,,,,,,,,,,,
,,2004 - 2005,154,236,1.53,,,,,,,,,,,,
,,2005 - 2006,6,13,2.17,,,,,,,,,,,,
,,2006 - 2007,63,96,1.52,,,,,,,,,,,,
,,2007 - 2008,8,2,0.25,,,,,,,,,,,,
,,2010 - 2011,10,3,0.3,,,,,,,,,,,,
,,2011 - 2012,11,4,0.36,,,,,,,,,,,,
,,2012 - 2013,11,5,0.45,,,,,,,,,,,,
,,2015 - 2016,70,139,1.99,,,,,,,,,,,,
,,2016 - 2017,99,220,2.22,,,,,,,,,,,,
,,2017 - 2018,102,238,2.33,,,,,,,,,,,,
,,2018 - 2019,102,240,2.35,,,,,,,,,,,,
,,2019 - 2020,103,247,2.4,,,,,,,,,,,,
,,2020 - 2021,103,249,2.42,,,,,,,,,,,,
,,2021 - 2022,110,286,2.6,,,,,,,,,,,,
,,2022 - 2023,112,292,2.61,,,,,,,,,,,,
,9. Leparada,2019 - 2020,38,108,2.84,,,,,,,,,,,,
,,2020 - 2021,38,111,2.92,,,,,,,,,,,,
,,2021 - 2022,40,143,3.58,,,,,,,,,,,,
,,2022 - 2023,47,169,3.6,,,,,,,,,,,,
,10. Lohit,2000 - 2001,82,155,1.89,,,,,,,,,,,,
,,2001 - 2002,105,147,1.4,,,,,,,,,,,,
,,2002 - 2003,125,175,1.4,,,,,,,,,,,,
,,2003 - 2004,125,175,1.4,,,,,,,,,,,,
,,2004 - 2005,20,30,1.5,,,,,,,,,,,,
,,2005 - 2006,102,142,1.39,,,,,,,,,,,,
,,2006 - 2007,125,199,1.59,,,,,,,,,,,,
,,2007 - 2008,125,190,1.52,,,,,,,,,,,,
,,2008 - 2009,128,204,1.59,,,,,,,,,,,,
,,2009 - 2010,100,214,2.14,,,,,,,,,,,,
,,2010 - 2011,135,234,1.73,,,,,,,,,,,,
,,2011 - 2012,152,276,1.82,,,,,,,,,,,,
,,2012 - 2013,145,348,2.4,,,,,,,,,,,,
,,2013 - 2014,150,369,2.46,,,,,,,,,,,,
,,2014 - 2015,161,331,2.06,,,,,,,,,,,,
,,2015 - 2016,64,181,2.83,,,,,,,,,,,,
,,2016 - 2017,93,262,2.82,,,,,,,,,,,,
,,2017 - 2018,96,280,2.92,,,,,,,,,,,,
,,2018 - 2019,96,282,2.94,,,,,,,,,,,,
,,2019 - 2020,96,289,3.01,,,,,,,,,,,,
,,2020 - 2021,96,293,3.05,,,,,,,,,,,,
,,2021 - 2022,102,331,3.25,,,,,,,,,,,,
,,2022 - 2023,104,338,3.25,,,,,,,,,,,,
,11. Longding,2013 - 2014,49,397,8.1,,,,,,,,,,,,
,,2014 - 2015,60,359,5.98,,,,,,,,,,,,
,,2015 - 2016,60,198,3.3,,,,,,,,,,,,
,,2016 - 2017,89,279,3.13,,,,,,,,,,,,
,,2017 - 2018,92,297,3.23,,,,,,,,,,,,
,,2018 - 2019,92,299,3.25,,,,,,,,,,,,
,,2019 - 2020,92,306,3.33,,,,,,,,,,,,
,,2020 - 2021,92,310,3.37,,,,,,,,,,,,
,,2021 - 2022,96,342,3.56,,,,,,,,,,,,
,,2022 - 2023,98,350,3.57,,,,,,,,,,,,
,12. Lower dibang valley,2002 - 2003,17,25,1.47,,,,,,,,,,,,
,,2003 - 2004,50,60,1.2,,,,,,,,,,,,
,,2004 - 2005,390,560,1.44,,,,,,,,,,,,
,,2005 - 2006,33,33,1,,,,,,,,,,,,
,,2006 - 2007,60,72,1.2,,,,,,,,,,,,
,,2007 - 2008,70,77,1.1,,,,,,,,,,,,
,,2008 - 2009,68,75,1.1,,,,,,,,,,,,
,,2009 - 2010,69,76,1.1,,,,,,,,,,,,
,,2010 - 2011,76,83,1.09,,,,,,,,,,,,
,,2011 - 2012,87,97,1.11,,,,,,,,,,,,
,,2012 - 2013,95,105,1.11,,,,,,,,,,,,
,,2013 - 2014,110,264,2.4,,,,,,,,,,,,
,,2014 - 2015,121,226,1.87,,,,,,,,,,,,
,,2015 - 2016,171,482,2.82,,,,,,,,,,,,
,,2016 - 2017,200,563,2.82,,,,,,,,,,,,
,,2017 - 2018,203,581,2.86,,,,,,,,,,,,
,,2018 - 2019,203,583,2.87,,,,,,,,,,,,
,,2019 - 2020,204,590,2.89,,,,,,,,,,,,
,,2020 - 2021,204,596,2.92,,,,,,,,,,,,
,,2021 - 2022,216,652,3.02,,,,,,,,,,,,
,,2022 - 2023,219,662,3.02,,,,,,,,,,,,
,13. Lower siang,2018 - 2019,188,540,2.87,,,,,,,,,,,,
,,2019 - 2020,170,492,2.89,,,,,,,,,,,,
,,2020 - 2021,171,496,2.9,,,,,,,,,,,,
,,2021 - 2022,179,539,3.01,,,,,,,,,,,,
,,2022 - 2023,183,552,3.02,,,,,,,,,,,,
,14. Lower subansiri,2000 - 2001,150,255,1.7,,,,,,,,,,,,
,,2001 - 2002,210,250,1.19,,,,,,,,,,,,
,,2002 - 2003,153,214,1.4,,,,,,,,,,,,
,,2003 - 2004,140,215,1.54,,,,,,,,,,,,
,,2004 - 2005,85,112,1.32,,,,,,,,,,,,
,,2005 - 2006,152,239,1.57,,,,,,,,,,,,
,,2006 - 2007,155,244,1.57,,,,,,,,,,,,
,,2007 - 2008,200,356,1.78,,,,,,,,,,,,
,,2008 - 2009,210,374,1.78,,,,,,,,,,,,
,,2009 - 2010,118,211,1.79,,,,,,,,,,,,
,,2010 - 2011,135,228,1.69,,,,,,,,,,,,
,,2011 - 2012,152,269,1.77,,,,,,,,,,,,
,,2012 - 2013,152,269,1.77,,,,,,,,,,,,
,,2013 - 2014,152,266,1.75,,,,,,,,,,,,
,,2014 - 2015,163,228,1.4,,,,,,,,,,,,
,,2015 - 2016,163,460,2.82,,,,,,,,,,,,
,,2016 - 2017,192,541,2.82,,,,,,,,,,,,
,,2017 - 2018,195,559,2.87,,,,,,,,,,,,
,,2018 - 2019,131,377,2.88,,,,,,,,,,,,
,,2019 - 2020,132,384,2.91,,,,,,,,,,,,
,,2020 - 2021,132,387,2.93,,,,,,,,,,,,
,,2021 - 2022,140,431,3.08,,,,,,,,,,,,
,,2022 - 2023,143,441,3.08,,,,,,,,,,,,
,15. Namsai,2015 - 2016,97,278,2.87,,,,,,,,,,,,
,,2016 - 2017,126,359,2.85,,,,,,,,,,,,
,,2017 - 2018,129,377,2.92,,,,,,,,,,,,
,,2018 - 2019,129,379,2.94,,,,,,,,,,,,
,,2019 - 2020,129,386,2.99,,,,,,,,,,,,
,,2020 - 2021,130,390,3,,,,,,,,,,,,
,,2021 - 2022,137,430,3.14,,,,,,,,,,,,
,,2022 - 2023,139,437,3.14,,,,,,,,,,,,
,16. Pakke kessang,2019 - 2020,44,134,3.05,,,,,,,,,,,,
,,2020 - 2021,44,137,3.11,,,,,,,,,,,,
,,2021 - 2022,47,166,3.53,,,,,,,,,,,,
,,2022 - 2023,48,170,3.54,,,,,,,,,,,,
,17. Papum pare,2000 - 2001,35,60,1.71,,,,,,,,,,,,
,,2001 - 2002,40,67,1.68,,,,,,,,,,,,
,,2002 - 2003,60,88,1.47,,,,,,,,,,,,
,,2003 - 2004,52,72,1.38,,,,,,,,,,,,
,,2004 - 2005,160,170,1.06,,,,,,,,,,,,
,,2005 - 2006,65,95,1.46,,,,,,,,,,,,
,,2006 - 2007,65,96,1.48,,,,,,,,,,,,
,,2007 - 2008,55,77,1.4,,,,,,,,,,,,
,,2008 - 2009,50,72,1.44,,,,,,,,,,,,
,,2009 - 2010,60,372,6.2,,,,,,,,,,,,
,,2010 - 2011,62,397,6.4,,,,,,,,,,,,
,,2011 - 2012,70,468,6.69,,,,,,,,,,,,
,,2012 - 2013,77,516,6.7,,,,,,,,,,,,
,,2013 - 2014,80,600,7.5,,,,,,,,,,,,
,,2014 - 2015,91,564,6.2,,,,,,,,,,,,
,,2015 - 2016,91,310,3.41,,,,,,,,,,,,
,,2016 - 2017,121,398,3.29,,,,,,,,,,,,
,,2017 - 2018,127,416,3.28,,,,,,,,,,,,
,,2018 - 2019,127,418,3.29,,,,,,,,,,,,
,,2019 - 2020,128,425,3.32,,,,,,,,,,,,
,,2020 - 2021,128,428,3.34,,,,,,,,,,,,
,,2021 - 2022,136,474,3.49,,,,,,,,,,,,
,,2022 - 2023,141,492,3.49,,,,,,,,,,,,
,18. Shi yomi,2019 - 2020,17,47,2.76,,,,,,,,,,,,
,,2020 - 2021,17,50,2.94,,,,,,,,,,,,
,,2021 - 2022,19,56,2.95,,,,,,,,,,,,
,,2022 - 2023,19,57,3,,,,,,,,,,,,
,19. Siang,2015 - 2016,121,361,2.98,,,,,,,,,,,,
,,2016 - 2017,150,442,2.95,,,,,,,,,,,,
,,2017 - 2018,153,460,3.01,,,,,,,,,,,,
,,2018 - 2019,153,462,3.02,,,,,,,,,,,,
,,2019 - 2020,153,469,3.07,,,,,,,,,,,,
,,2020 - 2021,153,473,3.09,,,,,,,,,,,,
,,2021 - 2022,164,525,3.2,,,,,,,,,,,,
,,2022 - 2023,168,539,3.21,,,,,,,,,,,,
,20. Tawang,2002 - 2003,71,138,1.94,,,,,,,,,,,,
,,2003 - 2004,74,148,2,,,,,,,,,,,,
,,2004 - 2005,70,140,2,,,,,,,,,,,,
,,2005 - 2006,65,130,2,,,,,,,,,,,,
,,2006 - 2007,65,130,2,,,,,,,,,,,,
,,2007 - 2008,65,130,2,,,,,,,,,,,,
,,2008 - 2009,70,154,2.2,,,,,,,,,,,,
,,2009 - 2010,71,163,2.3,,,,,,,,,,,,
,,2010 - 2011,75,173,2.31,,,,,,,,,,,,
,,2011 - 2012,84,204,2.43,,,,,,,,,,,,
,,2012 - 2013,75,173,2.31,,,,,,,,,,,,
,,2013 - 2014,75,173,2.31,,,,,,,,,,,,
,,2014 - 2015,86,135,1.57,,,,,,,,,,,,
,,2015 - 2016,86,180,2.09,,,,,,,,,,,,
,,2016 - 2017,115,261,2.27,,,,,,,,,,,,
,,2017 - 2018,118,286,2.42,,,,,,,,,,,,
,,2018 - 2019,118,288,2.44,,,,,,,,,,,,
,,2019 - 2020,119,293,2.46,,,,,,,,,,,,
,,2020 - 2021,120,296,2.47,,,,,,,,,,,,
,,2021 - 2022,127,333,2.62,,,,,,,,,,,,
,,2022 - 2023,132,347,2.63,,,,,,,,,,,,
,21. Tirap,2000 - 2001,88,140,1.59,,,,,,,,,,,,
,,2001 - 2002,120,160,1.33,,,,,,,,,,,,
,,2002 - 2003,120,132,1.1,,,,,,,,,,,,
,,2003 - 2004,125,150,1.2,,,,,,,,,,,,
,,2004 - 2005,12,83,6.92,,,,,,,,,,,,
,,2006 - 2007,125,155,1.24,,,,,,,,,,,,
,,2007 - 2008,125,150,1.2,,,,,,,,,,,,
,,2008 - 2009,125,656,5.25,,,,,,,,,,,,
,,2009 - 2010,72,132,1.83,,,,,,,,,,,,
,,2010 - 2011,74,137,1.85,,,,,,,,,,,,
,,2011 - 2012,83,161,1.94,,,,,,,,,,,,
,,2012 - 2013,80,640,8,,,,,,,,,,,,
,,2013 - 2014,35,284,8.11,,,,,,,,,,,,
,,2014 - 2015,46,246,5.35,,,,,,,,,,,,
,,2015 - 2016,46,127,2.76,,,,,,,,,,,,
,,2016 - 2017,75,208,2.77,,,,,,,,,,,,
,,2017 - 2018,78,226,2.9,,,,,,,,,,,,
,,2018 - 2019,78,228,2.92,,,,,,,,,,,,
,,2019 - 2020,78,235,3.01,,,,,,,,,,,,
,,2020 - 2021,78,239,3.06,,,,,,,,,,,,
,,2021 - 2022,81,268,3.31,,,,,,,,,,,,
,,2022 - 2023,83,275,3.31,,,,,,,,,,,,
,22. Upper siang,2000 - 2001,130,110,0.85,,,,,,,,,,,,
,,2001 - 2002,170,210,1.24,,,,,,,,,,,,
,,2002 - 2003,175,220,1.26,,,,,,,,,,,,
,,2003 - 2004,175,220,1.26,,,,,,,,,,,,
,,2004 - 2005,18,25,1.39,,,,,,,,,,,,
,,2005 - 2006,225,112,0.5,,,,,,,,,,,,
,,2006 - 2007,225,112,0.5,,,,,,,,,,,,
,,2007 - 2008,230,115,0.5,,,,,,,,,,,,
,,2008 - 2009,230,115,0.5,,,,,,,,,,,,
,,2009 - 2010,230,138,0.6,,,,,,,,,,,,
,,2010 - 2011,230,138,0.6,,,,,,,,,,,,
,,2011 - 2012,259,163,0.63,,,,,,,,,,,,
,,2012 - 2013,240,192,0.8,,,,,,,,,,,,
,,2013 - 2014,246,"1,599.00",6.5,,,,,,,,,,,,
,,2014 - 2015,257,"1,561.00",6.07,,,,,,,,,,,,
,,2015 - 2016,257,504,1.96,,,,,,,,,,,,
,,2016 - 2017,286,585,2.05,,,,,,,,,,,,
,,2017 - 2018,289,610,2.11,,,,,,,,,,,,
,,2018 - 2019,289,612,2.12,,,,,,,,,,,,
,,2019 - 2020,290,619,2.13,,,,,,,,,,,,
,,2020 - 2021,290,622,2.14,,,,,,,,,,,,
,,2021 - 2022,307,695,2.26,,,,,,,,,,,,
,,2022 - 2023,312,707,2.27,,,,,,,,,,,,
