State,District,Year,Garlic,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,5. Bilaspur,2000 - 2001,40,131,3.28,,,,,,
,,2001 - 2002,46,161,3.5,,,,,,
,,2002 - 2003,54,173,3.2,,,,,,
,,2003 - 2004,59,183,3.1,,,,,,
,,2004 - 2005,54,164,3.04,,,,,,
,,2005 - 2006,57,184,3.23,,,,,,
,,2006 - 2007,57,200,3.51,,,,,,
,,2007 - 2008,55,184,3.35,,,,,,
,,2008 - 2009,55,193,3.51,,,,,,
,,2009 - 2010,52,182,3.5,,,,,,
,,2010 - 2011,57,167,2.93,,,,,,
,,2011 - 2012,56,196,3.5,,,,,,
,,2012 - 2013,56,196,3.5,,,,,,
,,2013 - 2014,56,196,3.5,,,,,,
,,2015 - 2016,20,70,3.5,,,,,,
,,2016 - 2017,14,50,3.57,,,,,,
,,2017 - 2018,14,53,3.79,,,,,,
,,2018 - 2019,14,53,3.79,,,,,,
,6. Dantewada,2000 - 2001,1,2,2,,,,,,
,,2001 - 2002,1,3,3,,,,,,
,,2017 - 2018,1,3,3,,,,,,
,,2018 - 2019,1,4,4,,,,,,
,7. Dhamtari,2000 - 2001,1,3,3,,,,,,
,,2002 - 2003,1,3,3,,,,,,
,,2003 - 2004,16,37,2.31,,,,,,
,,2004 - 2005,1,2,2,,,,,,
,,2005 - 2006,4,11,2.75,,,,,,
,,2007 - 2008,1,3,3,,,,,,
,,2008 - 2009,1,3,3,,,,,,
,,2009 - 2010,10,28,2.8,,,,,,
,,2010 - 2011,1,3,3,,,,,,
,,2011 - 2012,3,8,2.67,,,,,,
,,2012 - 2013,1,3,3,,,,,,
,,2013 - 2014,5,14,2.8,,,,,,
,,2015 - 2016,2,6,3,,,,,,
,,2016 - 2017,1,3,3,,,,,,
,8. Durg,2001 - 2002,1,3,3,,,,,,
,,2002 - 2003,1,3,3,,,,,,
,,2003 - 2004,8,27,3.38,,,,,,
,,2005 - 2006,8,25,3.13,,,,,,
,,2009 - 2010,6,,0,,,,,,
,,2010 - 2011,13,39,3,,,,,,
,,2011 - 2012,108,316,2.93,,,,,,
,,2012 - 2013,2,6,3,,,,,,
,9. Gariyaband,2011 - 2012,5,12,2.4,,,,,,
,,2012 - 2013,5,13,2.6,,,,,,
,,2013 - 2014,3,8,2.67,,,,,,
,,2014 - 2015,3,8,2.67,,,,,,
,,2015 - 2016,3,8,2.67,,,,,,
,,2016 - 2017,9,25,2.78,,,,,,
,,2017 - 2018,1,3,3,,,,,,
,,2018 - 2019,1,3,3,,,,,,
,,2019 - 2020,5,15,3,,,,,,
,,2020 - 2021,1,4,4,,,,,,
,10. Gaurella-pendra-marwahi,2019 - 2020,9,37,4.11,,,,,,
,,2020 - 2021,2,10,5,,,,,,
,,2021 - 2022,1,4,4,,,,,,
,,2022 - 2023,1,4,4,,,,,,
,11. Janjgir-champa,2000 - 2001,22,77,3.5,,,,,,
,,2001 - 2002,22,79,3.59,,,,,,
,,2002 - 2003,21,75,3.57,,,,,,
,,2003 - 2004,26,98,3.77,,,,,,
,,2004 - 2005,18,63,3.5,,,,,,
,,2005 - 2006,16,54,3.38,,,,,,
,,2006 - 2007,20,71,3.55,,,,,,
,,2007 - 2008,18,62,3.44,,,,,,
,,2008 - 2009,15,50,3.33,,,,,,
,,2009 - 2010,18,69,3.83,,,,,,
,,2010 - 2011,19,56,2.95,,,,,,
,,2011 - 2012,21,74,3.52,,,,,,
,,2012 - 2013,19,67,3.53,,,,,,
,,2013 - 2014,18,63,3.5,,,,,,
,,2014 - 2015,18,53,2.94,,,,,,
,,2015 - 2016,18,63,3.5,,,,,,
,,2016 - 2017,16,56,3.5,,,,,,
,,2017 - 2018,26,91,3.5,,,,,,
,,2018 - 2019,25,88,3.52,,,,,,
,,2019 - 2020,4,14,3.5,,,,,,
,,2020 - 2021,4,14,3.5,,,,,,
,,2021 - 2022,4,15,3.75,,,,,,
,12. Jashpur,2000 - 2001,80,239,2.99,,,,,,
,,2001 - 2002,77,222,2.88,,,,,,
,,2002 - 2003,85,250,2.94,,,,,,
,,2003 - 2004,95,270,2.84,,,,,,
