State,District,Year,Banana,,,,,,,,,,,
,,,Whole Year,,,Kharif,,,Rabi,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2011 - 2012,"10,098.00","3,48,290.00",34.49,,,,,,,,,
,,2013 - 2014,"9,460.00","2,05,367.00",21.71,,,,,,,,,
,,2014 - 2015,"8,618.00","2,49,870.00",28.99,,,,,,,,,
,,2015 - 2016,"7,938.00","2,59,446.00",32.68,,,,,,,,,
,,2016 - 2017,"8,011.00","3,30,974.00",41.31,,,,,,,,,
,,2017 - 2018,"8,082.00","9,50,160.00",117.56,,,,,,,,,
,,2018 - 2019,"8,069.00","7,95,300.00",98.56,,,,,,,,,
,,2019 - 2020,"13,125.00","7,87,500.00",60,,,,,,,,,
3. Assam,1. Baksa,2005 - 2006,"1,191.00","17,437.00",14.64,,,,,,,,,
,,2006 - 2007,"2,131.00","31,200.00",14.64,,,,,,,,,
,,2007 - 2008,"2,157.00","31,581.00",14.64,,,,,,,,,
,,2008 - 2009,"1,712.00","25,065.00",14.64,,,,,,,,,
,,2009 - 2010,"1,733.00","25,373.00",14.64,,,,,,,,,
,,2010 - 2011,680,"9,956.00",14.64,,,,,,,,,
,,2011 - 2012,"1,250.00","19,425.00",15.54,,,,,,,,,
,,2012 - 2013,695,"11,495.00",16.54,,,,,,,,,
,,2013 - 2014,"1,250.00","20,675.00",16.54,,,,,,,,,
,,2014 - 2015,"1,250.00","20,675.00",16.54,,,,,,,,,
,,2015 - 2016,"1,275.00","21,095.00",16.55,,,,,,,,,
,,2016 - 2017,"1,280.00","21,789.00",17.02,,,,,,,,,
,,2017 - 2018,"1,345.00","22,912.00",17.03,,,,,,,,,
,,2018 - 2019,"1,460.00","26,335.00",18.04,,,,,,,,,
,,2019 - 2020,"1,400.00","25,432.00",18.17,,,,,,,,,
,,2020 - 2021,"1,500.00","26,871.00",17.91,,,,,,,,,
,,2021 - 2022,"1,560.00","28,667.00",18.38,,,,,,,,,
,,2022 - 2023,"1,710.00","31,445.00",18.39,,,,,,,,,
,2. Barpeta,2000 - 2001,"5,131.00","77,222.00",15.05,,,,,,,,,
,,2001 - 2002,"5,134.00","77,267.00",15.05,,,,,,,,,
,,2002 - 2003,"3,170.00","47,709.00",15.05,,,,,,,,,
,,2003 - 2004,"3,205.00","48,235.00",15.05,,,,,,,,,
,,2005 - 2006,"2,417.00","36,376.00",15.05,,,,,,,,,
,,2006 - 2007,"2,451.00","36,888.00",15.05,,,,,,,,,
,,2007 - 2008,"2,300.00","34,615.00",15.05,,,,,,,,,
,,2008 - 2009,"2,210.00","33,040.00",14.95,,,,,,,,,
,,2009 - 2010,"2,329.00","34,975.00",15.02,,,,,,,,,
,,2010 - 2011,"1,979.00","29,697.00",15.01,,,,,,,,,
,,2011 - 2012,"2,469.00","38,079.00",15.42,,,,,,,,,
,,2012 - 2013,"2,280.00","35,650.00",15.64,,,,,,,,,
,,2013 - 2014,"2,395.00","37,448.00",15.64,,,,,,,,,
,,2014 - 2015,"2,531.00","39,575.00",15.64,,,,,,,,,
,,2015 - 2016,"2,045.00","31,984.00",15.64,,,,,,,,,
,,2016 - 2017,"2,027.00","32,199.00",15.89,,,,,,,,,
,,2017 - 2018,"1,993.00","31,679.00",15.9,,,,,,,,,
,,2018 - 2019,"1,954.00","32,558.00",16.66,,,,,,,,,
,,2019 - 2020,"1,978.00","34,590.00",17.49,,,,,,,,,
,,2020 - 2021,"1,951.00","33,784.00",17.32,,,,,,,,,
,,2021 - 2022,"1,963.00","35,660.00",18.17,,,,,,,,,
,,2022 - 2023,"1,875.00","38,391.00",20.48,,,,,,,,,
,3. Biswanath,2020 - 2021,"1,902.00","35,454.00",18.64,,,,,,,,,
,,2021 - 2022,"2,227.00","42,140.00",18.92,,,,,,,,,
,,2022 - 2023,"4,241.00","80,282.00",18.93,,,,,,,,,
,4. Bongaigaon,2000 - 2001,867,"10,548.00",12.17,,,,,,,,,
,,2001 - 2002,892,"10,843.00",12.16,,,,,,,,,
,,2002 - 2003,906,"11,018.00",12.16,,,,,,,,,
,,2003 - 2004,942,"11,458.00",12.16,,,,,,,,,
,,2005 - 2006,817,"9,895.00",12.11,,,,,,,,,
,,2006 - 2007,631,"7,629.00",12.09,,,,,,,,,
,,2007 - 2008,665,"8,050.00",12.11,,,,,,,,,
,,2008 - 2009,647,"8,411.00",13,,,,,,,,,
,,2009 - 2010,638,"7,940.00",12.45,,,,,,,,,
,,2010 - 2011,660,"8,299.00",12.57,,,,,,,,,
,,2011 - 2012,670,"9,016.00",13.46,,,,,,,,,
,,2012 - 2013,695,"10,050.00",14.46,,,,,,,,,
,,2013 - 2014,708,"10,238.00",14.46,,,,,,,,,
,,2014 - 2015,780,"11,279.00",14.46,,,,,,,,,
,,2015 - 2016,830,"12,010.00",14.47,,,,,,,,,
,,2016 - 2017,813,"12,336.00",15.17,,,,,,,,,
,,2017 - 2018,709,"10,763.00",15.18,,,,,,,,,
,,2018 - 2019,786,"13,276.00",16.89,,,,,,,,,
,,2019 - 2020,778,"13,329.00",17.13,,,,,,,,,
,,2020 - 2021,820,"13,722.00",16.73,,,,,,,,,
,,2021 - 2022,839,"14,924.00",17.79,,,,,,,,,
,,2022 - 2023,853,"15,196.00",17.81,,,,,,,,,
,5. Cachar,2000 - 2001,"3,024.00","36,911.00",12.21,,,,,,,,,
,,2001 - 2002,"3,125.00","38,150.00",12.21,,,,,,,,,
,,2002 - 2003,"3,130.00","38,211.00",12.21,,,,,,,,,
,,2003 - 2004,"3,145.00","37,740.00",12,,,,,,,,,
,,2005 - 2006,"2,674.00","32,460.00",12.14,,,,,,,,,
,,2006 - 2007,"2,662.00","32,313.00",12.14,,,,,,,,,
,,2007 - 2008,"3,128.00","37,971.00",12.14,,,,,,,,,
,,2008 - 2009,"2,881.00","38,893.00",13.5,,,,,,,,,
,,2009 - 2010,"2,970.00","37,401.00",12.59,,,,,,,,,
,,2010 - 2011,"2,888.00","36,756.00",12.73,,,,,,,,,
,,2011 - 2012,"2,832.00","49,983.00",17.65,,,,,,,,,
,,2012 - 2013,"2,892.00","51,437.00",17.79,,,,,,,,,
,,2013 - 2014,"3,075.00","54,692.00",17.79,,,,,,,,,
,,2014 - 2015,"3,144.00","55,919.00",17.79,,,,,,,,,
,,2015 - 2016,"3,045.00","54,192.00",17.8,,,,,,,,,
,,2016 - 2017,"2,967.00","53,350.00",17.98,,,,,,,,,
