State,District,Year,Banana,,,,,,,,,,,
,,,Whole Year,,,Kharif,,,Rabi,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2017 - 2018,"2,871.00","51,655.00",17.99,,,,,,,,,
,,2018 - 2019,"2,805.00","51,733.00",18.44,,,,,,,,,
,,2019 - 2020,"2,777.00","47,356.00",17.05,,,,,,,,,
,,2020 - 2021,"2,777.00","47,057.00",16.95,,,,,,,,,
,,2021 - 2022,"2,855.00","49,408.00",17.31,,,,,,,,,
,,2022 - 2023,"2,855.00","51,442.00",18.02,,,,,,,,,
,6. Charaideo,2020 - 2021,560,"12,034.00",21.49,,,,,,,,,
,,2021 - 2022,570,"12,111.00",21.25,,,,,,,,,
,,2022 - 2023,578,"12,426.00",21.5,,,,,,,,,
,7. Chirang,2005 - 2006,527,"6,382.00",12.11,,,,,,,,,
,,2006 - 2007,525,"6,347.00",12.09,,,,,,,,,
,,2007 - 2008,532,"6,440.00",12.11,,,,,,,,,
,,2008 - 2009,571,"7,509.00",13.15,,,,,,,,,
,,2009 - 2010,578,"7,196.00",12.45,,,,,,,,,
,,2010 - 2011,418,"5,258.00",12.58,,,,,,,,,
,,2011 - 2012,512,"6,912.00",13.5,,,,,,,,,
,,2012 - 2013,647,"10,652.00",16.46,,,,,,,,,
,,2013 - 2014,763,"12,562.00",16.46,,,,,,,,,
,,2014 - 2015,872,"14,356.00",16.46,,,,,,,,,
,,2015 - 2016,911,"15,000.00",16.47,,,,,,,,,
,,2016 - 2017,817,"14,012.00",17.15,,,,,,,,,
,,2017 - 2018,"3,563.00","61,141.00",17.16,,,,,,,,,
,,2018 - 2019,"1,457.00","28,509.00",19.57,,,,,,,,,
,,2019 - 2020,"1,451.00","28,454.00",19.61,,,,,,,,,
,,2020 - 2021,"1,555.00","30,323.00",19.5,,,,,,,,,
,,2021 - 2022,"1,365.00","19,568.00",14.34,,,,,,,,,
,,2022 - 2023,905,"12,994.00",14.36,,,,,,,,,
,8. Darrang,2000 - 2001,"1,950.00","25,290.00",12.97,,,,,,,,,
,,2001 - 2002,"1,850.00","24,001.00",12.97,,,,,,,,,
,,2002 - 2003,"1,950.00","25,292.00",12.97,,,,,,,,,
,,2003 - 2004,"1,920.00","24,908.00",12.97,,,,,,,,,
,,2005 - 2006,"1,470.00","19,110.00",13,,,,,,,,,
,,2006 - 2007,257,"3,341.00",13,,,,,,,,,
,,2007 - 2008,"1,041.00","13,533.00",13,,,,,,,,,
,,2008 - 2009,"1,031.00","14,640.00",14.2,,,,,,,,,
,,2009 - 2010,"1,487.00","19,926.00",13.4,,,,,,,,,
,,2010 - 2011,"1,604.00","21,678.00",13.51,,,,,,,,,
,,2011 - 2012,"1,610.00","23,377.00",14.52,,,,,,,,,
,,2012 - 2013,"1,626.00","23,788.00",14.63,,,,,,,,,
,,2013 - 2014,"1,800.00","26,334.00",14.63,,,,,,,,,
,,2014 - 2015,"1,638.00","23,964.00",14.63,,,,,,,,,
,,2015 - 2016,"1,510.00","22,094.00",14.63,,,,,,,,,
,,2016 - 2017,"1,423.00","21,348.00",15,,,,,,,,,
,,2017 - 2018,"1,245.00","23,737.00",19.07,,,,,,,,,
,,2018 - 2019,"1,204.00","22,955.00",19.07,,,,,,,,,
,,2019 - 2020,"1,202.00","17,091.00",14.22,,,,,,,,,
,,2020 - 2021,"1,235.00","22,251.00",18.02,,,,,,,,,
,,2021 - 2022,"1,255.00","23,268.00",18.54,,,,,,,,,
,,2022 - 2023,"1,269.00","23,545.00",18.55,,,,,,,,,
,9. Dhemaji,2000 - 2001,999,"14,958.00",14.97,,,,,,,,,
,,2001 - 2002,"1,010.00","15,326.00",15.17,,,,,,,,,
,,2002 - 2003,"1,042.00","15,743.00",15.11,,,,,,,,,
,,2003 - 2004,"1,050.00","16,006.00",15.24,,,,,,,,,
,,2005 - 2006,937,"14,392.00",15.36,,,,,,,,,
,,2006 - 2007,"1,005.00","15,749.00",15.67,,,,,,,,,
,,2007 - 2008,983,"15,329.00",15.59,,,,,,,,,
,,2008 - 2009,"1,022.00","14,350.00",14.04,,,,,,,,,
,,2009 - 2010,"1,308.00","20,132.00",15.39,,,,,,,,,
,,2010 - 2011,"1,260.00","19,040.00",15.11,,,,,,,,,
,,2011 - 2012,"1,238.00","10,099.00",8.16,,,,,,,,,
,,2012 - 2013,800,"13,173.00",16.47,,,,,,,,,
,,2013 - 2014,"1,455.00","23,958.00",16.47,,,,,,,,,
,,2014 - 2015,"1,505.00","24,781.00",16.47,,,,,,,,,
,,2015 - 2016,"1,515.00","24,948.00",16.47,,,,,,,,,
,,2016 - 2017,"1,300.00","13,672.00",10.52,,,,,,,,,
,,2017 - 2018,"1,305.00","16,632.00",12.74,,,,,,,,,
,,2018 - 2019,"1,291.00","18,290.00",14.17,,,,,,,,,
,,2019 - 2020,"1,221.00","22,835.00",18.7,,,,,,,,,
,,2020 - 2021,"1,222.00","23,653.00",19.36,,,,,,,,,
,,2021 - 2022,"1,223.00","24,005.00",19.63,,,,,,,,,
,,2022 - 2023,"1,501.00","29,607.00",19.72,,,,,,,,,
,10. Dhubri,2000 - 2001,"1,691.00","25,930.00",15.33,,,,,,,,,
,,2001 - 2002,"1,329.00","20,309.00",15.28,,,,,,,,,
,,2002 - 2003,"1,371.00","20,968.00",15.29,,,,,,,,,
,,2003 - 2004,"1,223.00","18,712.00",15.3,,,,,,,,,
,,2005 - 2006,"1,100.00","16,850.00",15.32,,,,,,,,,
,,2006 - 2007,921,"14,085.00",15.29,,,,,,,,,
,,2007 - 2008,926,"14,163.00",15.29,,,,,,,,,
,,2008 - 2009,853,"12,218.00",14.32,,,,,,,,,
,,2009 - 2010,870,"13,042.00",14.99,,,,,,,,,
,,2010 - 2011,965,"14,358.00",14.88,,,,,,,,,
,,2011 - 2012,"1,000.00","14,539.00",14.54,,,,,,,,,
,,2012 - 2013,"1,108.00","17,119.00",15.45,,,,,,,,,
,,2013 - 2014,"1,141.00","17,629.00",15.45,,,,,,,,,
,,2014 - 2015,"1,161.00","17,937.00",15.45,,,,,,,,,
,,2015 - 2016,"1,155.00","17,856.00",15.46,,,,,,,,,
,,2016 - 2017,"1,157.00","18,502.00",15.99,,,,,,,,,
,,2017 - 2018,"1,156.00","18,486.00",15.99,,,,,,,,,
,,2018 - 2019,"1,155.00","19,921.00",17.25,,,,,,,,,
,,2019 - 2020,"1,114.00","19,391.00",17.41,,,,,,,,,
,,2020 - 2021,885,"15,161.00",17.13,,,,,,,,,
,,2021 - 2022,885,"15,956.00",18.03,,,,,,,,,
,,2022 - 2023,988,"17,834.00",18.05,,,,,,,,,
,11. Dibrugarh,2000 - 2001,614,"8,071.00",13.14,,,,,,,,,
,,2001 - 2002,"1,200.00","15,774.00",13.15,,,,,,,,,
,,2002 - 2003,"1,210.00","15,905.00",13.14,,,,,,,,,
,,2003 - 2004,"1,212.00","15,932.00",13.15,,,,,,,,,
,,2005 - 2006,"1,184.00","15,564.00",13.15,,,,,,,,,
,,2006 - 2007,"1,220.00","16,037.00",13.15,,,,,,,,,
,,2007 - 2008,525,"6,901.00",13.14,,,,,,,,,
,,2008 - 2009,516,"8,250.00",15.99,,,,,,,,,
,,2009 - 2010,502,"7,075.00",14.09,,,,,,,,,
,,2010 - 2011,646,"9,305.00",14.4,,,,,,,,,
,,2011 - 2012,621,"10,082.00",16.24,,,,,,,,,
,,2012 - 2013,720,"12,475.00",17.33,,,,,,,,,
,,2013 - 2014,705,"12,215.00",17.33,,,,,,,,,
,,2014 - 2015,735,"12,735.00",17.33,,,,,,,,,
,,2015 - 2016,720,"11,858.00",16.47,,,,,,,,,
,,2016 - 2017,740,"12,771.00",17.26,,,,,,,,,
,,2017 - 2018,746,"12,880.00",17.27,,,,,,,,,
,,2018 - 2019,922,"17,443.00",18.92,,,,,,,,,
,,2019 - 2020,852,"16,283.00",19.11,,,,,,,,,
,,2020 - 2021,852,"15,911.00",18.67,,,,,,,,,
,,2021 - 2022,758,"14,559.00",19.21,,,,,,,,,
,,2022 - 2023,767,"14,809.00",19.31,,,,,,,,,
,12. Dima hasao,2000 - 2001,430,"6,235.00",14.5,,,,,,,,,
,,2001 - 2002,537,"7,786.00",14.5,,,,,,,,,
,,2002 - 2003,550,"7,975.00",14.5,,,,,,,,,
,,2003 - 2004,600,"8,700.00",14.5,,,,,,,,,
,,2005 - 2006,605,"8,773.00",14.5,,,,,,,,,
,,2006 - 2007,610,"8,845.00",14.5,,,,,,,,,
,,2007 - 2008,730,"10,585.00",14.5,,,,,,,,,
,,2008 - 2009,720,"10,440.00",14.5,,,,,,,,,
,,2009 - 2010,790,"11,455.00",14.5,,,,,,,,,
,,2010 - 2011,875,"12,688.00",14.5,,,,,,,,,
,,2011 - 2012,876,"13,140.00",15,,,,,,,,,
,,2012 - 2013,847,"13,726.00",16.21,,,,,,,,,
,,2013 - 2014,"1,653.00","26,787.00",16.21,,,,,,,,,
,,2014 - 2015,"1,915.00","31,033.00",16.21,,,,,,,,,
,,2015 - 2016,"1,929.00","35,604.00",18.46,,,,,,,,,
,,2016 - 2017,"1,922.00","36,057.00",18.76,,,,,,,,,
,,2017 - 2018,"2,059.00","38,652.00",18.77,,,,,,,,,
,,2018 - 2019,"2,087.00","40,371.00",19.34,,,,,,,,,
,,2019 - 2020,"2,125.00","43,220.00",20.34,,,,,,,,,
,,2020 - 2021,"2,125.00","42,755.00",20.12,,,,,,,,,
,,2021 - 2022,"2,127.00","42,678.00",20.06,,,,,,,,,
,,2022 - 2023,"1,673.00","33,903.00",20.26,,,,,,,,,
,13. Goalpara,2000 - 2001,"1,632.00","25,459.00",15.6,,,,,,,,,
,,2001 - 2002,"1,713.00","26,581.00",15.52,,,,,,,,,
,,2002 - 2003,"1,718.00","26,689.00",15.53,,,,,,,,,
,,2003 - 2004,"1,713.00","26,639.00",15.55,,,,,,,,,
,,2005 - 2006,"2,127.00","33,054.00",15.54,,,,,,,,,
,,2006 - 2007,"2,435.00","37,842.00",15.54,,,,,,,,,
,,2007 - 2008,"2,235.00","34,727.00",15.54,,,,,,,,,
,,2008 - 2009,"2,240.00","31,360.00",14,,,,,,,,,
,,2009 - 2010,"2,800.00","42,092.00",15.03,,,,,,,,,
,,2010 - 2011,"3,000.00","44,628.00",14.88,,,,,,,,,
,,2011 - 2012,"3,300.00","64,043.00",19.41,,,,,,,,,
,,2012 - 2013,"3,500.00","56,396.00",16.11,,,,,,,,,
,,2013 - 2014,"3,800.00","74,047.00",19.49,,,,,,,,,
,,2014 - 2015,"3,800.00","74,047.00",19.49,,,,,,,,,
,,2015 - 2016,"3,767.00","81,646.00",21.67,,,,,,,,,
,,2016 - 2017,"3,050.00","66,460.00",21.79,,,,,,,,,
,,2017 - 2018,"3,062.00","66,736.00",21.79,,,,,,,,,
,,2018 - 2019,"3,089.00","68,153.00",22.06,,,,,,,,,
,,2019 - 2020,"3,103.00","46,284.00",14.92,,,,,,,,,
,,2020 - 2021,"3,112.00","50,779.00",16.32,,,,,,,,,
,,2021 - 2022,"3,188.00","58,857.00",18.46,,,,,,,,,
,,2022 - 2023,"3,211.00","59,603.00",18.56,,,,,,,,,
,14. Golaghat,2000 - 2001,"2,102.00","29,136.00",13.86,,,,,,,,,
,,2001 - 2002,"2,103.00","29,150.00",13.86,,,,,,,,,
,,2002 - 2003,"2,112.00","29,274.00",13.86,,,,,,,,,
,,2003 - 2004,"2,112.00","29,274.00",13.86,,,,,,,,,
,,2005 - 2006,"2,695.00","37,324.00",13.85,,,,,,,,,
,,2006 - 2007,"2,762.00","38,254.00",13.85,,,,,,,,,
,,2007 - 2008,"2,625.00","36,393.00",13.86,,,,,,,,,
,,2008 - 2009,"2,812.00","38,957.00",13.85,,,,,,,,,
,,2009 - 2010,"2,955.00","40,945.00",13.86,,,,,,,,,
,,2010 - 2011,"3,135.00","43,443.00",13.86,,,,,,,,,
,,2011 - 2012,"3,126.00","41,340.00",13.22,,,,,,,,,
,,2012 - 2013,"3,230.00","60,908.00",18.86,,,,,,,,,
,,2013 - 2014,"3,241.00","74,679.00",23.04,,,,,,,,,
,,2014 - 2015,"3,109.00","71,637.00",23.04,,,,,,,,,
,,2015 - 2016,"3,113.00","60,765.00",19.52,,,,,,,,,
,,2016 - 2017,"3,113.00","61,314.00",19.7,,,,,,,,,
,,2017 - 2018,"3,112.00","61,480.00",19.76,,,,,,,,,
,,2018 - 2019,"3,111.00","62,537.00",20.1,,,,,,,,,
,,2019 - 2020,"3,111.00","62,681.00",20.15,,,,,,,,,
,,2020 - 2021,"3,107.00","68,835.00",22.15,,,,,,,,,
,,2021 - 2022,"3,150.00","71,568.00",22.72,,,,,,,,,
,,2022 - 2023,"1,049.00","25,978.00",24.76,,,,,,,,,
,15. Hailakandi,2000 - 2001,"1,000.00","12,410.00",12.41,,,,,,,,,
,,2001 - 2002,"1,030.00","12,782.00",12.41,,,,,,,,,
,,2002 - 2003,"1,150.00","14,272.00",12.41,,,,,,,,,
,,2003 - 2004,"1,200.00","14,899.00",12.42,,,,,,,,,
,,2005 - 2006,"1,250.00","15,515.00",12.41,,,,,,,,,
,,2006 - 2007,"1,350.00","16,756.00",12.41,,,,,,,,,
,,2007 - 2008,"1,400.00","17,375.00",12.41,,,,,,,,,
,,2008 - 2009,"1,587.00","19,996.00",12.6,,,,,,,,,
,,2009 - 2010,"1,665.00","20,769.00",12.47,,,,,,,,,
,,2010 - 2011,"1,650.00","20,622.00",12.5,,,,,,,,,
,,2011 - 2012,"1,600.00","31,763.00",19.85,,,,,,,,,
,,2012 - 2013,"1,850.00","21,125.00",11.42,,,,,,,,,
,,2013 - 2014,"1,820.00","20,783.00",11.42,,,,,,,,,
,,2014 - 2015,"1,539.00","17,574.00",11.42,,,,,,,,,
,,2015 - 2016,"1,523.00","17,416.00",11.44,,,,,,,,,
,,2016 - 2017,"1,480.00","17,565.00",11.87,,,,,,,,,
,,2017 - 2018,"1,470.00","17,456.00",11.87,,,,,,,,,
,,2018 - 2019,"1,530.00","20,230.00",13.22,,,,,,,,,
,,2019 - 2020,"1,580.00","21,170.00",13.4,,,,,,,,,
,,2020 - 2021,"1,445.00","19,080.00",13.2,,,,,,,,,
,,2021 - 2022,"1,470.00","21,265.00",14.47,,,,,,,,,
,,2022 - 2023,"1,450.00","20,993.00",14.48,,,,,,,,,
,16. Hojai,2020 - 2021,285,"6,285.00",22.05,,,,,,,,,
,,2021 - 2022,281,"6,041.00",21.5,,,,,,,,,
,,2022 - 2023,281,"3,550.00",12.63,,,,,,,,,
,17. Jorhat,2000 - 2001,"2,208.00","29,713.00",13.46,,,,,,,,,
,,2001 - 2002,"2,168.00","29,176.00",13.46,,,,,,,,,
,,2002 - 2003,"2,640.00","35,523.00",13.46,,,,,,,,,
,,2003 - 2004,"2,670.00","35,927.00",13.46,,,,,,,,,
,,2005 - 2006,"2,565.00","34,515.00",13.46,,,,,,,,,
,,2006 - 2007,"2,411.00","32,441.00",13.46,,,,,,,,,
,,2007 - 2008,"2,306.00","31,028.00",13.46,,,,,,,,,
,,2008 - 2009,"2,137.00","30,543.00",14.29,,,,,,,,,
,,2009 - 2010,"2,408.00","33,073.00",13.73,,,,,,,,,
,,2010 - 2011,"2,152.00","29,727.00",13.81,,,,,,,,,
,,2011 - 2012,"2,284.00","33,108.00",14.5,,,,,,,,,
,,2012 - 2013,"1,967.00","30,478.00",15.49,,,,,,,,,
,,2013 - 2014,"1,845.00","28,588.00",15.49,,,,,,,,,
,,2014 - 2015,"2,236.00","34,646.00",15.49,,,,,,,,,
,,2015 - 2016,"2,281.00","35,538.00",15.58,,,,,,,,,
,,2016 - 2017,"2,264.00","35,880.00",15.85,,,,,,,,,
,,2017 - 2018,"2,357.00","37,427.00",15.88,,,,,,,,,
,,2018 - 2019,"2,404.00","39,750.00",16.53,,,,,,,,,
,,2019 - 2020,"2,441.00","40,577.00",16.62,,,,,,,,,
,,2020 - 2021,"2,019.00","38,882.00",19.26,,,,,,,,,
,,2021 - 2022,"2,000.00","38,896.00",19.45,,,,,,,,,
,,2022 - 2023,"2,053.00","39,937.00",19.45,,,,,,,,,
,18. Kamrup,2000 - 2001,"2,656.00","34,308.00",12.92,,,,,,,,,
,,2001 - 2002,"2,690.00","34,747.00",12.92,,,,,,,,,
,,2002 - 2003,"2,847.00","36,779.00",12.92,,,,,,,,,
,,2003 - 2004,"2,863.00","36,986.00",12.92,,,,,,,,,
,,2005 - 2006,"2,472.00","31,923.00",12.91,,,,,,,,,
,,2006 - 2007,"2,422.00","31,304.00",12.92,,,,,,,,,
,,2007 - 2008,"2,845.00","36,767.00",12.92,,,,,,,,,
,,2008 - 2009,"2,903.00","39,046.00",13.45,,,,,,,,,
,,2009 - 2010,"2,530.00","33,101.00",13.08,,,,,,,,,
,,2010 - 2011,"2,597.00","34,169.00",13.16,,,,,,,,,
,,2011 - 2012,"2,616.00","37,736.00",14.43,,,,,,,,,
,,2012 - 2013,"2,736.00","39,771.00",14.54,,,,,,,,,
,,2013 - 2014,"3,081.00","44,786.00",14.54,,,,,,,,,
,,2014 - 2015,"2,961.00","43,041.00",14.54,,,,,,,,,
,,2015 - 2016,"2,981.00","43,344.00",14.54,,,,,,,,,
,,2016 - 2017,"2,957.00","43,625.00",14.75,,,,,,,,,
,,2017 - 2018,"2,936.00","43,350.00",14.76,,,,,,,,,
,,2018 - 2019,"2,906.00","44,889.00",15.45,,,,,,,,,
,,2019 - 2020,"2,911.00","61,236.00",21.04,,,,,,,,,
,,2020 - 2021,"2,976.00","41,176.00",13.84,,,,,,,,,
,,2021 - 2022,"3,378.00","48,812.00",14.45,,,,,,,,,
,,2022 - 2023,"3,454.00","49,983.00",14.47,,,,,,,,,
,19. Kamrup metro,2005 - 2006,380,"4,907.00",12.91,,,,,,,,,
,,2006 - 2007,500,"6,462.00",12.92,,,,,,,,,
,,2007 - 2008,420,"5,428.00",12.92,,,,,,,,,
,,2008 - 2009,455,"6,334.00",13.92,,,,,,,,,
,,2009 - 2010,500,"6,628.00",13.26,,,,,,,,,
,,2010 - 2011,563,"7,530.00",13.37,,,,,,,,,
,,2011 - 2012,551,"7,912.00",14.36,,,,,,,,,
,,2012 - 2013,558,"8,722.00",15.63,,,,,,,,,
,,2013 - 2014,610,"9,534.00",15.63,,,,,,,,,
,,2014 - 2015,715,"11,175.00",15.63,,,,,,,,,
,,2015 - 2016,727,"11,370.00",15.64,,,,,,,,,
,,2016 - 2017,643,"10,595.00",16.48,,,,,,,,,
,,2017 - 2018,640,"10,554.00",16.49,,,,,,,,,
,,2018 - 2019,624,"9,674.00",15.5,,,,,,,,,
,,2019 - 2020,621,"11,633.00",18.73,,,,,,,,,
,,2020 - 2021,619,"11,296.00",18.25,,,,,,,,,
,,2021 - 2022,689,"13,274.00",19.27,,,,,,,,,
,,2022 - 2023,593,"11,434.00",19.28,,,,,,,,,
,20. Karbi anglong,2000 - 2001,"1,700.00","22,817.00",13.42,,,,,,,,,
,,2001 - 2002,"1,703.00","22,866.00",13.43,,,,,,,,,
,,2002 - 2003,"1,711.00","23,806.00",13.91,,,,,,,,,
,,2003 - 2004,"1,731.00","24,204.00",13.98,,,,,,,,,
,,2005 - 2006,"1,778.00","24,742.00",13.92,,,,,,,,,
,,2006 - 2007,"1,842.00","26,153.00",14.2,,,,,,,,,
,,2007 - 2008,"1,879.00","26,303.00",14,,,,,,,,,
,,2008 - 2009,"1,842.00","25,858.00",14.04,,,,,,,,,
,,2009 - 2010,"1,936.00","27,311.00",14.11,,,,,,,,,
,,2010 - 2011,"1,934.00","27,253.00",14.09,,,,,,,,,
,,2011 - 2012,"1,703.00","26,772.00",15.72,,,,,,,,,
,,2012 - 2013,"1,813.00","29,572.00",16.31,,,,,,,,,
,,2013 - 2014,"1,796.00","29,294.00",16.31,,,,,,,,,
,,2014 - 2015,"1,838.00","29,980.00",16.31,,,,,,,,,
,,2015 - 2016,"1,882.00","34,884.00",18.54,,,,,,,,,
,,2016 - 2017,"1,909.00","35,956.00",18.83,,,,,,,,,
,,2017 - 2018,"1,896.00","33,179.00",17.5,,,,,,,,,
,,2018 - 2019,"1,964.00","35,745.00",18.2,,,,,,,,,
,,2019 - 2020,"1,981.00","39,676.00",20.03,,,,,,,,,
,,2020 - 2021,"1,521.00","30,041.00",19.75,,,,,,,,,
,,2021 - 2022,"1,553.00","30,928.00",19.92,,,,,,,,,
,,2022 - 2023,"1,345.00","26,853.00",19.97,,,,,,,,,
,21. Karimganj,2000 - 2001,950,"12,050.00",12.68,,,,,,,,,
,,2001 - 2002,950,"12,049.00",12.68,,,,,,,,,
,,2002 - 2003,952,"12,074.00",12.68,,,,,,,,,
,,2003 - 2004,965,"12,239.00",12.68,,,,,,,,,
,,2005 - 2006,970,"12,302.00",12.68,,,,,,,,,
,,2006 - 2007,"1,610.00","20,419.00",12.68,,,,,,,,,
,,2007 - 2008,"1,254.00","15,904.00",12.68,,,,,,,,,
,,2008 - 2009,"1,298.00","16,614.00",12.8,,,,,,,,,
,,2009 - 2010,"1,169.00","14,872.00",12.72,,,,,,,,,
,,2010 - 2011,"1,186.00","15,105.00",12.74,,,,,,,,,
,,2011 - 2012,"1,204.00","15,607.00",12.96,,,,,,,,,
,,2012 - 2013,"1,284.00","17,507.00",13.63,,,,,,,,,
,,2013 - 2014,"1,230.00","16,771.00",13.63,,,,,,,,,
,,2014 - 2015,"1,280.00","17,453.00",13.64,,,,,,,,,
,,2015 - 2016,"1,290.00","17,712.00",13.73,,,,,,,,,
,,2016 - 2017,"1,285.00","18,253.00",14.2,,,,,,,,,
,,2017 - 2018,"1,285.00","18,266.00",14.21,,,,,,,,,
,,2018 - 2019,"1,310.00","20,333.00",15.52,,,,,,,,,
,,2019 - 2020,"1,390.00","21,808.00",15.69,,,,,,,,,
,,2020 - 2021,"1,390.00","21,494.00",15.46,,,,,,,,,
,,2021 - 2022,"1,420.00","23,257.00",16.38,,,,,,,,,
,,2022 - 2023,"1,352.00","22,278.00",16.48,,,,,,,,,
,22. Kokrajhar,2000 - 2001,935,"15,370.00",16.44,,,,,,,,,
,,2001 - 2002,"1,002.00","16,527.00",16.49,,,,,,,,,
,,2002 - 2003,945,"15,503.00",16.41,,,,,,,,,
,,2003 - 2004,848,"13,683.00",16.14,,,,,,,,,
,,2005 - 2006,846,"14,444.00",17.07,,,,,,,,,
,,2006 - 2007,"1,166.00","18,852.00",16.17,,,,,,,,,
,,2007 - 2008,"1,271.00","20,165.00",15.87,,,,,,,,,
,,2008 - 2009,"1,260.00","18,657.00",14.81,,,,,,,,,
,,2009 - 2010,"1,298.00","20,053.00",15.45,,,,,,,,,
,,2010 - 2011,"1,386.00","20,733.00",14.96,,,,,,,,,
,,2011 - 2012,"1,390.00","23,604.00",16.98,,,,,,,,,
,,2012 - 2013,"1,215.00","21,848.00",17.98,,,,,,,,,
,,2013 - 2014,"1,239.00","22,280.00",17.98,,,,,,,,,
,,2014 - 2015,"1,318.00","23,700.00",17.98,,,,,,,,,
,,2015 - 2016,"1,308.00","23,263.00",17.79,,,,,,,,,
,,2016 - 2017,"1,320.00","24,002.00",18.18,,,,,,,,,
,,2017 - 2018,"1,290.00","23,471.00",18.19,,,,,,,,,
,,2018 - 2019,"1,332.00","25,480.00",19.13,,,,,,,,,
,,2019 - 2020,"1,325.00","24,018.00",18.13,,,,,,,,,
,,2020 - 2021,"1,375.00","24,588.00",17.88,,,,,,,,,
,,2021 - 2022,"1,488.00","27,356.00",18.38,,,,,,,,,
,,2022 - 2023,"1,440.00","26,479.00",18.39,,,,,,,,,
,23. Lakhimpur,2000 - 2001,"1,456.00","18,928.00",13,,,,,,,,,
,,2001 - 2002,"1,469.00","19,097.00",13,,,,,,,,,
,,2002 - 2003,"1,485.00","19,305.00",13,,,,,,,,,
,,2003 - 2004,"1,498.00","19,474.00",13,,,,,,,,,
,,2005 - 2006,"1,943.00","25,259.00",13,,,,,,,,,
,,2006 - 2007,"2,120.00","27,560.00",13,,,,,,,,,
,,2007 - 2008,"2,276.00","29,588.00",13,,,,,,,,,
,,2008 - 2009,"4,095.00","56,514.00",13.8,,,,,,,,,
,,2009 - 2010,"1,668.00","22,130.00",13.27,,,,,,,,,
,,2010 - 2011,"3,970.00","53,002.00",13.35,,,,,,,,,
,,2011 - 2012,"2,425.00","35,028.00",14.44,,,,,,,,,
,,2012 - 2013,"2,310.00","37,988.00",16.45,,,,,,,,,
,,2013 - 2014,"2,717.00","44,681.00",16.44,,,,,,,,,
,,2014 - 2015,"2,718.00","44,697.00",16.44,,,,,,,,,
,,2015 - 2016,"2,717.00","44,689.00",16.45,,,,,,,,,
,,2016 - 2017,"2,620.00","43,616.00",16.65,,,,,,,,,
,,2017 - 2018,"2,082.00","37,033.00",17.79,,,,,,,,,
,,2018 - 2019,"1,867.00","34,375.00",18.41,,,,,,,,,
,,2019 - 2020,"1,578.00","29,555.00",18.73,,,,,,,,,
,,2020 - 2021,"1,371.00","37,003.00",26.99,,,,,,,,,
,,2021 - 2022,"1,207.00","31,271.00",25.91,,,,,,,,,
,,2022 - 2023,872,"22,641.00",25.96,,,,,,,,,
,24. Majuli,2020 - 2021,353,"6,798.00",19.26,,,,,,,,,
,,2021 - 2022,286,"5,703.00",19.94,,,,,,,,,
,,2022 - 2023,286,"5,715.00",19.98,,,,,,,,,
,25. Marigaon,2000 - 2001,500,"6,000.00",12,,,,,,,,,
,,2001 - 2002,460,"5,520.00",12,,,,,,,,,
,,2002 - 2003,460,"5,566.00",12.1,,,,,,,,,
,,2003 - 2004,460,"5,566.00",12.1,,,,,,,,,
,,2005 - 2006,460,"5,566.00",12.1,,,,,,,,,
,,2006 - 2007,500,"6,050.00",12.1,,,,,,,,,
,,2007 - 2008,700,"8,470.00",12.1,,,,,,,,,
,,2008 - 2009,838,"11,145.00",13.3,,,,,,,,,
,,2009 - 2010,"1,250.00","15,625.00",12.5,,,,,,,,,
,,2010 - 2011,"1,692.00","21,387.00",12.64,,,,,,,,,
,,2011 - 2012,"1,756.00","26,902.00",15.32,,,,,,,,,
,,2012 - 2013,"1,953.00","31,873.00",16.32,,,,,,,,,
,,2013 - 2014,"2,010.00","39,860.00",19.83,,,,,,,,,
,,2014 - 2015,"1,957.00","38,809.00",19.83,,,,,,,,,
,,2015 - 2016,"1,857.00","36,826.00",19.83,,,,,,,,,
,,2016 - 2017,"1,735.00","34,912.00",20.12,,,,,,,,,
,,2017 - 2018,"1,735.00","34,917.00",20.13,,,,,,,,,
,,2018 - 2019,"1,789.00","37,034.00",20.7,,,,,,,,,
,,2019 - 2020,"1,743.00","34,128.00",19.58,,,,,,,,,
,,2020 - 2021,"1,743.00","33,774.00",19.38,,,,,,,,,
,,2021 - 2022,"1,667.00","32,633.00",19.58,,,,,,,,,
,,2022 - 2023,"1,555.00","30,448.00",19.58,,,,,,,,,
,26. Nagaon,2000 - 2001,"4,502.00","67,236.00",14.93,,,,,,,,,
,,2001 - 2002,"4,504.00","67,266.00",14.93,,,,,,,,,
,,2002 - 2003,"4,552.00","67,988.00",14.94,,,,,,,,,
,,2003 - 2004,"4,618.00","68,957.00",14.93,,,,,,,,,
,,2005 - 2006,"2,790.00","41,365.00",14.83,,,,,,,,,
,,2006 - 2007,"2,874.00","42,625.00",14.83,,,,,,,,,
,,2007 - 2008,"3,148.00","46,755.00",14.85,,,,,,,,,
,,2008 - 2009,"3,098.00","42,605.00",13.75,,,,,,,,,
,,2009 - 2010,"3,078.00","44,583.00",14.48,,,,,,,,,
,,2010 - 2011,"3,238.00","46,535.00",14.37,,,,,,,,,
