State,District,Year,Sannhamp,,,,,,,,,,,
,,2020 - 2021,,,,280,70,0.25,,,,,,
,,2021 - 2022,,,,161,59,0.37,,,,,,
,,2022 - 2023,,,,180,73,0.41,,,,,,
,4. Bellary,2000 - 2001,29,7,0.24,,,,,,,,,
,,2001 - 2002,18,5,0.28,,,,,,,,,
,,2002 - 2003,22,6,0.27,,,,,,,,,
,,2004 - 2005,127,32,0.25,,,,,,,,,
,,2007 - 2008,81,20,0.25,,,,,,,,,
,,2014 - 2015,130,32,0.25,,,,,,,,,
,,2018 - 2019,2,,0,,,,,,,,,
,,2019 - 2020,6,4,0.67,,,,,,,,,
,,2020 - 2021,,,,62,16,0.26,,,,,,
,,2021 - 2022,,,,53,19,0.36,,,,,,
,,2022 - 2023,,,,31,13,0.42,,,,,,
,5. Bengaluru urban,2019 - 2020,1,1,1,,,,,,,,,
,,2020 - 2021,,,,1,0.25,0.25,,,,,,
,,2021 - 2022,,,,1,0.36,0.36,,,,,,
,,2022 - 2023,,,,1,0.4,0.4,,,,,,
,6. Bidar,2000 - 2001,268,67,0.25,,,,,,,,,
,,2001 - 2002,329,82,0.25,,,,,,,,,
,,2002 - 2003,337,84,0.25,,,,,,,,,
,,2003 - 2004,423,106,0.25,,,,,,,,,
,,2007 - 2008,306,76,0.25,,,,,,,,,
,,2008 - 2009,249,62,0.25,,,,,,,,,
,,2009 - 2010,264,66,0.25,,,,,,,,,
,,2010 - 2011,308,77,0.25,,,,,,,,,
,,2011 - 2012,32,8,0.25,,,,,,,,,
,,2012 - 2013,97,24,0.25,,,,,,,,,
,,2013 - 2014,120,30,0.25,,,,,,,,,
,,2014 - 2015,26,6,0.23,,,,,,,,,
,,2015 - 2016,18,4,0.22,,,,,,,,,
,,2016 - 2017,6,1,0.17,,,,,,,,,
,,2017 - 2018,313,78,0.25,,,,,,,,,
,,2018 - 2019,10,2,0.2,,,,,,,,,
,,2019 - 2020,92,55,0.6,,,,,,,,,
,,2020 - 2021,,,,51,13,0.25,,,,,,
,,2021 - 2022,,,,78,29,0.37,,,,,,
,,2022 - 2023,,,,25,10,0.4,,,,,,
,7. Bijapur,2018 - 2019,44,11,0.25,,,,,,,,,
,,2019 - 2020,23,14,0.61,,,,,,,,,
,,2020 - 2021,,,,52,13,0.25,,,,,,
,,2021 - 2022,,,,15,5,0.33,,,,,,
,,2022 - 2023,,,,15,6,0.4,,,,,,
,8. Chamarajanagar,2012 - 2013,97,24,0.25,,,,,,,,,
,,2018 - 2019,54,13,0.24,,,,,,,,,
,,2019 - 2020,512,304,0.59,,,,,,,,,
,,2020 - 2021,,,,264,66,0.25,,,,,,
,,2021 - 2022,,,,319,117,0.37,,,,,,
,,2022 - 2023,,,,113,46,0.41,,,,,,
,9. Chikballapur,2019 - 2020,7,4,0.57,,,,,,,,,
,,2020 - 2021,,,,2,1,0.5,,,,,,
,,2021 - 2022,,,,6,2,0.33,,,,,,
,,2022 - 2023,,,,12,5,0.42,,,,,,
,10. Chikmagalur,2019 - 2020,1,1,1,,,,,,,,,
,,2020 - 2021,,,,1,0.25,0.25,,,,,,
,,2021 - 2022,,,,3,1,0.33,,,,,,
,,2022 - 2023,,,,6,2,0.33,,,,,,
,11. Chitradurga,2018 - 2019,7,2,0.29,,,,,,,,,
,,2019 - 2020,8,5,0.63,,,,,,,,,
,,2020 - 2021,,,,49,12,0.24,,,,,,
,,2021 - 2022,,,,33,12,0.36,,,,,,
,,2022 - 2023,,,,28,12,0.43,,,,,,
,12. Davangere,2001 - 2002,58,14,0.24,,,,,,,,,
,,2002 - 2003,7,2,0.29,,,,,,,,,
,,2004 - 2005,2,,0,,,,,,,,,
,,2005 - 2006,6,1,0.17,,,,,,,,,
,,2019 - 2020,13,8,0.62,,,,,,,,,
,,2020 - 2021,,,,27,7,0.26,,,,,,
,,2021 - 2022,,,,20,7,0.35,,,,,,
,,2022 - 2023,,,,14,6,0.43,,,,,,
,13. Dharwad,2003 - 2004,8,2,0.25,,,,,,,,,
,,2009 - 2010,1,,0,,,,,,,,,
,,2016 - 2017,1,,0,,,,,,,,,
,,2017 - 2018,1,,0,,,,,,,,,
,,2019 - 2020,12,7,0.58,,,,,,,,,
,,2020 - 2021,,,,4,1,0.25,,,,,,
,,2021 - 2022,,,,9,3,0.33,,,,,,
,14. Gadag,2005 - 2006,21,5,0.24,,,,,,,,,
,,2006 - 2007,17,4,0.24,,,,,,,,,
,,2016 - 2017,1,,0,,,,,,,,,
,,2018 - 2019,7,2,0.29,,,,,,,,,
,,2019 - 2020,14,8,0.57,,,,,,,,,
,,2020 - 2021,,,,2,1,0.5,,,,,,
,,2021 - 2022,,,,13,5,0.38,,,,,,
,,2022 - 2023,,,,5,2,0.4,,,,,,
,15. Gulbarga,2000 - 2001,19,4,0.21,,,,,,,,,
,,2001 - 2002,11,2,0.18,,,,,,,,,
,,2002 - 2003,10,2,0.2,,,,,,,,,
,,2003 - 2004,12,3,0.25,,,,,,,,,
,,2004 - 2005,16,4,0.25,,,,,,,,,
,,2008 - 2009,4,1,0.25,,,,,,,,,
,,2018 - 2019,1,,0,,,,,,,,,
,,2019 - 2020,3,2,0.67,,,,,,,,,
,,2020 - 2021,,,,4,1,0.25,,,,,,
,,2021 - 2022,,,,11,4,0.36,,,,,,
,,2022 - 2023,,,,27,11,0.41,,,,,,
,16. Hassan,2006 - 2007,6,1,0.17,,,,,,,,,
,,2018 - 2019,2,,0,,,,,,,,,
,,2019 - 2020,205,122,0.6,,,,,,,,,
,,2020 - 2021,,,,24,6,0.25,,,,,,
,,2021 - 2022,,,,121,44,0.36,,,,,,
,,2022 - 2023,,,,59,24,0.41,,,,,,
,17. Haveri,2000 - 2001,2,1,0.5,,,,,,,,,
,,2002 - 2003,6,1,0.17,,,,,,,,,
,,2003 - 2004,1,0,0,,,,,,,,,
,,2004 - 2005,2,1,0.5,,,,,,,,,
,,2013 - 2014,5,1,0.2,,,,,,,,,
,,2014 - 2015,5,1,0.2,,,,,,,,,
,,2018 - 2019,13,3,0.23,,,,,,,,,
,,2019 - 2020,14,8,0.57,,,,,,,,,
,,2020 - 2021,,,,22,6,0.27,,,,,,
,,2021 - 2022,,,,21,8,0.38,,,,,,
,,2022 - 2023,,,,35,14,0.4,,,,,,
,18. Kolar,2018 - 2019,38,9,0.24,,,,,,,,,
,,2019 - 2020,1,1,1,,,,,,,,,
,,2020 - 2021,,,,2,1,0.5,,,,,,
,,2021 - 2022,,,,2,1,0.5,,,,,,
,,2022 - 2023,,,,1,0.4,0.4,,,,,,
,19. Koppal,2005 - 2006,86,19,0.22,,,,,,,,,
,,2018 - 2019,56,14,0.25,,,,,,,,,
,,2019 - 2020,17,10,0.59,,,,,,,,,
,,2020 - 2021,,,,35,9,0.26,,,,,,
,,2021 - 2022,,,,26,10,0.38,,,,,,
,,2022 - 2023,,,,15,6,0.4,,,,,,
,20. Mandya,2018 - 2019,2,,0,,,,,,,,,
,,2019 - 2020,3,2,0.67,,,,,,,,,
,,2020 - 2021,,,,7,2,0.29,,,,,,
,,2021 - 2022,,,,17,6,0.35,,,,,,
,,2022 - 2023,,,,16,6,0.38,,,,,,
,21. Mysore,2018 - 2019,39,10,0.26,,,,,,,,,
,,2019 - 2020,795,472,0.59,,,,,,,,,
,,2020 - 2021,,,,53,13,0.25,,,,,,
,,2021 - 2022,,,,"1,124.00",413,0.37,,,,,,
,,2022 - 2023,,,,"1,219.00",495,0.41,,,,,,
,22. Raichur,2005 - 2006,92,21,0.23,,,,,,,,,
,,2007 - 2008,13,3,0.23,,,,,,,,,
,,2008 - 2009,13,3,0.23,,,,,,,,,
,,2018 - 2019,1,,0,,,,,,,,,
,,2019 - 2020,13,8,0.62,,,,,,,,,
,,2020 - 2021,,,,5,1,0.2,,,,,,
,,2021 - 2022,,,,5,2,0.4,,,,,,
,,2022 - 2023,,,,13,5,0.38,,,,,,
,23. Ramanagara,2018 - 2019,14,3,0.21,,,,,,,,,
,,2019 - 2020,2,1,0.5,,,,,,,,,
,,2020 - 2021,,,,11,3,0.27,,,,,,
,,2021 - 2022,,,,4,1,0.25,,,,,,
,,2022 - 2023,,,,1,0.4,0.4,,,,,,
,24. Shimoga,2019 - 2020,9,5,0.56,,,,,,,,,
,,2020 - 2021,,,,4,1,0.25,,,,,,
,,2021 - 2022,,,,3,1,0.33,,,,,,
,,2022 - 2023,,,,1,0.4,0.4,,,,,,
,25. Tumkur,2003 - 2004,2,0,0,,,,,,,,,
,,2006 - 2007,2,,0,,,,,,,,,
,,2011 - 2012,10,2,0.2,,,,,,,,,
,,2012 - 2013,5,1,0.2,,,,,,,,,
,,2016 - 2017,1,,0,,,,,,,,,
,,2017 - 2018,3,1,0.33,,,,,,,,,
,,2018 - 2019,10,2,0.2,,,,,,,,,
,,2019 - 2020,5,3,0.6,,,,,,,,,
,,2020 - 2021,,,,25,6,0.24,,,,,,
,,2021 - 2022,,,,13,5,0.38,,,,,,
,,2022 - 2023,,,,14,6,0.43,,,,,,
,26. Udupi,2020 - 2021,,,,1,0.25,0.25,,,,,,
,27. Uttar kannad,2003 - 2004,1,0,0,,,,,,,,,
,,2009 - 2010,17,4,0.24,,,,,,,,,
,,2010 - 2011,33,8,0.24,,,,,,,,,
,,2012 - 2013,59,15,0.25,,,,,,,,,
,,2014 - 2015,73,18,0.25,,,,,,,,,
,,2015 - 2016,78,19,0.24,,,,,,,,,
,,2016 - 2017,47,12,0.26,,,,,,,,,
,,2017 - 2018,31,8,0.26,,,,,,,,,
,,2018 - 2019,26,6,0.23,,,,,,,,,
,,2019 - 2020,6,4,0.67,,,,,,,,,
,,2020 - 2021,,,,3,1,0.33,,,,,,
,28. Vijayanagar,2022 - 2023,,,,21,8,0.38,,,,,,
,29. Yadgir,2018 - 2019,1,,0,,,,,,,,,
,,2021 - 2022,,,,2,1,0.5,,,,,,
9. Madhya Pradesh,1. Agar malwa,2013 - 2014,,,,21,50,2.38,,,,,,
,2. Alirajpur,2008 - 2009,,,,37,17,0.46,,,,,,
,,2009 - 2010,56,23,0.41,,,,,,,,,
,,2010 - 2011,68,156,2.29,,,,,,,,,
,,2011 - 2012,,,,64,106,1.66,,,,,,
,,2012 - 2013,,,,57,100,1.75,,,,,,
,,2013 - 2014,,,,66,134,2.03,,,,,,
,3. Anuppur,2003 - 2004,70,122,1.74,,,,,,,,,
,,2007 - 2008,,,,66,20,0.3,,,,,,
,,2008 - 2009,,,,63,18,0.29,,,,,,
,,2009 - 2010,70,15,0.21,,,,,,,,,
,,2010 - 2011,62,61,0.98,,,,,,,,,
,,2011 - 2012,,,,50,67,1.34,,,,,,
,,2012 - 2013,,,,43,83,1.93,,,,,,
,,2013 - 2014,,,,41,83,2.02,,,,,,
,4. Balaghat,2000 - 2001,91,183,2.01,,,,,,,,,
,,2001 - 2002,107,217,2.03,,,,,,,,,
,,2002 - 2003,102,206,2.02,,,,,,,,,
,,2003 - 2004,98,195,1.99,,,,,,,,,
,,2007 - 2008,,,,84,35,0.42,,,,,,
,,2008 - 2009,,,,71,30,0.42,,,,,,
,,2009 - 2010,53,23,0.43,,,,,,,,,
,,2010 - 2011,43,100,2.33,,,,,,,,,
,,2011 - 2012,,,,45,94,2.09,,,,,,
,,2012 - 2013,,,,41,89,2.17,,,,,,
,,2013 - 2014,,,,41,95,2.32,,,,,,
,5. Barwani,2000 - 2001,304,327,1.08,,,,,,,,,
,,2001 - 2002,291,389,1.34,,,,,,,,,
,,2002 - 2003,253,356,1.41,,,,,,,,,
,,2003 - 2004,321,644,2.01,,,,,,,,,
,,2007 - 2008,,,,335,289,0.86,,,,,,
,,2008 - 2009,,,,389,69,0.18,,,,,,
,,2009 - 2010,309,53,0.17,,,,,,,,,
,,2010 - 2011,263,244,0.93,,,,,,,,,
,,2011 - 2012,,,,204,144,0.71,,,,,,
,,2012 - 2013,,,,145,189,1.3,,,,,,
,,2013 - 2014,,,,91,122,1.34,,,,,,
,6. Betul,2000 - 2001,463,683,1.48,,,,,,,,,
,,2001 - 2002,399,706,1.77,,,,,,,,,
,,2002 - 2003,417,683,1.64,,,,,,,,,
,,2003 - 2004,312,522,1.67,,,,,,,,,
,,2007 - 2008,,,,33,13,0.39,,,,,,
,,2008 - 2009,,,,53,20,0.38,,,,,,
,,2009 - 2010,109,44,0.4,,,,,,,,,
,,2010 - 2011,108,261,2.42,,,,,,,,,
,,2011 - 2012,,,,64,106,1.66,,,,,,
,,2012 - 2013,,,,71,150,2.11,,,,,,
,,2013 - 2014,,,,40,72,1.8,,,,,,
,7. Bhind,2000 - 2001,21,28,1.33,,,,,,,,,
,,2001 - 2002,27,50,1.85,,,,,,,,,
,,2002 - 2003,36,67,1.86,,,,,,,,,
,,2003 - 2004,20,39,1.95,,,,,,,,,
,,2007 - 2008,,,,4,1,0.25,,,,,,
,,2008 - 2009,,,,9,3,0.33,,,,,,
,,2009 - 2010,3,1,0.33,,,,,,,,,
,,2010 - 2011,5,11,2.2,,,,,,,,,
,,2011 - 2012,,,,4,6,1.5,,,,,,
,,2012 - 2013,,,,25,33,1.32,,,,,,
,,2013 - 2014,,,,103,133,1.29,,,,,,
,8. Bhopal,2000 - 2001,111,239,2.15,,,,,,,,,
,,2001 - 2002,86,155,1.8,,,,,,,,,
,,2002 - 2003,61,111,1.82,,,,,,,,,
,,2003 - 2004,44,78,1.77,,,,,,,,,
,,2007 - 2008,,,,27,10,0.37,,,,,,
,,2008 - 2009,,,,21,7,0.33,,,,,,
,,2009 - 2010,13,4,0.31,,,,,,,,,
,,2010 - 2011,2,6,3,,,,,,,,,
,,2011 - 2012,,,,12,22,1.83,,,,,,
,,2012 - 2013,,,,4,11,2.75,,,,,,
,,2013 - 2014,,,,5,5,1,,,,,,
,9. Burhanpur,2003 - 2004,13,28,2.15,,,,,,,,,
,,2007 - 2008,,,,63,139,2.21,,,,,,
,,2008 - 2009,,,,50,18,0.36,,,,,,
,,2009 - 2010,66,23,0.35,,,,,,,,,
,,2010 - 2011,24,33,1.38,,,,,,,,,
,,2011 - 2012,,,,26,44,1.69,,,,,,
,,2012 - 2013,,,,9,17,1.89,,,,,,
,,2013 - 2014,,,,21,33,1.57,,,,,,
,10. Chhatarpur,2000 - 2001,637,661,1.04,,,,,,,,,
,,2001 - 2002,637,933,1.46,,,,,,,,,
,,2002 - 2003,668,739,1.11,,,,,,,,,
,,2003 - 2004,699,"1,050.00",1.5,,,,,,,,,
,,2007 - 2008,,,,"1,003.00",230,0.23,,,,,,
,,2008 - 2009,,,,806,209,0.26,,,,,,
,,2009 - 2010,810,225,0.28,,,,,,,,,
,,2010 - 2011,798,"1,227.00",1.54,,,,,,,,,
,,2011 - 2012,,,,863,706,0.82,,,,,,
,,2012 - 2013,,,,621,955,1.54,,,,,,
,,2013 - 2014,,,,685,"2,189.00",3.2,,,,,,
,11. Chhindwara,2000 - 2001,537,972,1.81,,,,,,,,,
,,2001 - 2002,476,728,1.53,,,,,,,,,
,,2002 - 2003,428,600,1.4,,,,,,,,,
,,2003 - 2004,417,"1,022.00",2.45,,,,,,,,,
,,2007 - 2008,,,,280,141,0.5,,,,,,
,,2008 - 2009,,,,290,125,0.43,,,,,,
,,2009 - 2010,313,137,0.44,,,,,,,,,
,,2010 - 2011,259,667,2.58,,,,,,,,,
,,2011 - 2012,,,,189,356,1.88,,,,,,
,,2012 - 2013,,,,279,778,2.79,,,,,,
,,2013 - 2014,,,,181,267,1.48,,,,,,
,12. Damoh,2000 - 2001,4,6,1.5,,,,,,,,,
,,2001 - 2002,8,11,1.38,,,,,,,,,
,,2002 - 2003,12,11,0.92,,,,,,,,,
,,2003 - 2004,11,22,2,,,,,,,,,
,,2008 - 2009,,,,4,2,0.5,,,,,,
,13. Datia,2000 - 2001,46,139,3.02,,,,,,,,,
,,2001 - 2002,36,106,2.94,,,,,,,,,
,,2002 - 2003,19,39,2.05,,,,,,,,,
,,2003 - 2004,34,78,2.29,,,,,,,,,
,,2007 - 2008,,,,20,6,0.3,,,,,,
,,2008 - 2009,,,,12,4,0.33,,,,,,
,,2009 - 2010,177,69,0.39,,,,,,,,,
,,2011 - 2012,,,,7,11,1.57,,,,,,
,,2012 - 2013,,,,12,28,2.33,,,,,,
,,2013 - 2014,,,,275,,0,,,,,,
,14. Dewas,2000 - 2001,46,78,1.7,,,,,,,,,
,,2001 - 2002,39,94,2.41,,,,,,,,,
,,2002 - 2003,37,78,2.11,,,,,,,,,
,,2003 - 2004,46,106,2.3,,,,,,,,,
,,2007 - 2008,,,,40,19,0.48,,,,,,
,,2008 - 2009,,,,51,26,0.51,,,,,,
,,2009 - 2010,37,19,0.51,,,,,,,,,
,,2010 - 2011,26,78,3,,,,,,,,,
,,2011 - 2012,,,,24,50,2.08,,,,,,
,,2012 - 2013,,,,25,61,2.44,,,,,,
,,2013 - 2014,,,,24,78,3.25,,,,,,
,15. Dhar,2000 - 2001,220,228,1.04,,,,,,,,,
,,2001 - 2002,206,295,1.43,,,,,,,,,
,,2002 - 2003,213,422,1.98,,,,,,,,,
,,2003 - 2004,212,428,2.02,,,,,,,,,
,,2007 - 2008,,,,168,372,2.21,,,,,,
,,2008 - 2009,,,,148,61,0.41,,,,,,
,,2009 - 2010,127,52,0.41,,,,,,,,,
,,2010 - 2011,132,300,2.27,,,,,,,,,
,,2011 - 2012,,,,80,139,1.74,,,,,,
,,2012 - 2013,,,,62,144,2.32,,,,,,
,,2013 - 2014,,,,71,217,3.06,,,,,,
,16. Dindori,2000 - 2001,32,33,1.03,,,,,,,,,
,,2001 - 2002,36,56,1.56,,,,,,,,,
,,2002 - 2003,38,50,1.32,,,,,,,,,
,,2003 - 2004,35,44,1.26,,,,,,,,,
,,2007 - 2008,,,,6,1,0.17,,,,,,
,,2008 - 2009,,,,15,3,0.2,,,,,,
,,2009 - 2010,12,2,0.17,,,,,,,,,
,,2010 - 2011,16,17,1.06,,,,,,,,,
,,2011 - 2012,,,,10,6,0.6,,,,,,
,,2012 - 2013,,,,7,6,0.86,,,,,,
,,2013 - 2014,,,,15,22,1.47,,,,,,
,17. Guna,2000 - 2001,13,33,2.54,,,,,,,,,
,,2001 - 2002,9,22,2.44,,,,,,,,,
,,2002 - 2003,10,11,1.1,,,,,,,,,
,,2003 - 2004,9,22,2.44,,,,,,,,,
,,2007 - 2008,,,,5,2,0.4,,,,,,
,,2008 - 2009,,,,18,7,0.39,,,,,,
,18. Gwalior,2000 - 2001,10,28,2.8,,,,,,,,,
,,2003 - 2004,5,17,3.4,,,,,,,,,
,,2008 - 2009,,,,2,1,0.5,,,,,,
,,2013 - 2014,,,,5,5,1,,,,,,
,19. Harda,2000 - 2001,1,,0,,,,,,,,,
,,2001 - 2002,2,5,2.5,,,,,,,,,
,,2002 - 2003,3,6,2,,,,,,,,,
,20. Hoshangabad,2000 - 2001,6,11,1.83,,,,,,,,,
,,2001 - 2002,6,11,1.83,,,,,,,,,
,,2002 - 2003,31,72,2.32,,,,,,,,,
,,2003 - 2004,6,17,2.83,,,,,,,,,
,,2009 - 2010,2,1,0.5,,,,,,,,,
,21. Indore,2000 - 2001,8,6,0.75,,,,,,,,,
,,2002 - 2003,5,11,2.2,,,,,,,,,
,,2011 - 2012,,,,5,6,1.2,,,,,,
,,2012 - 2013,,,,1,,0,,,,,,
,22. Jabalpur,2000 - 2001,43,67,1.56,,,,,,,,,
,,2001 - 2002,54,11,0.2,,,,,,,,,
,,2002 - 2003,39,89,2.28,,,,,,,,,
,,2003 - 2004,41,95,2.32,,,,,,,,,
,,2007 - 2008,,,,32,9,0.28,,,,,,
,,2008 - 2009,,,,32,16,0.5,,,,,,
,,2009 - 2010,31,14,0.45,,,,,,,,,
,,2010 - 2011,21,50,2.38,,,,,,,,,
,,2011 - 2012,,,,20,44,2.2,,,,,,
,,2012 - 2013,,,,15,39,2.6,,,,,,
,,2013 - 2014,,,,8,17,2.13,,,,,,
,23. Jhabua,2000 - 2001,133,272,2.05,,,,,,,,,
,,2001 - 2002,152,222,1.46,,,,,,,,,
,,2002 - 2003,159,144,0.91,,,,,,,,,
,,2003 - 2004,212,450,2.12,,,,,,,,,
,,2007 - 2008,,,,150,267,1.78,,,,,,
,,2008 - 2009,,,,73,34,0.47,,,,,,
,,2009 - 2010,81,31,0.38,,,,,,,,,
,,2010 - 2011,75,172,2.29,,,,,,,,,
,,2011 - 2012,,,,59,94,1.59,,,,,,
,,2012 - 2013,,,,51,94,1.84,,,,,,
,,2013 - 2014,,,,42,78,1.86,,,,,,
,24. Katni,2000 - 2001,10,17,1.7,,,,,,,,,
,,2001 - 2002,13,27,2.08,,,,,,,,,
,,2002 - 2003,8,17,2.13,,,,,,,,,
,,2003 - 2004,6,11,1.83,,,,,,,,,
,,2007 - 2008,,,,1,,0,,,,,,
,,2008 - 2009,,,,2,,0,,,,,,
,,2013 - 2014,,,,5,5,1,,,,,,
,25. Khandwa,2000 - 2001,467,511,1.09,,,,,,,,,
,,2001 - 2002,283,378,1.34,,,,,,,,,
,,2002 - 2003,298,500,1.68,,,,,,,,,
,,2003 - 2004,210,422,2.01,,,,,,,,,
,,2007 - 2008,,,,122,344,2.82,,,,,,
,,2008 - 2009,,,,137,58,0.42,,,,,,
,,2009 - 2010,117,46,0.39,,,,,,,,,
,,2010 - 2011,122,244,2,,,,,,,,,
,,2011 - 2012,,,,86,161,1.87,,,,,,
,,2012 - 2013,,,,64,100,1.56,,,,,,
,,2013 - 2014,,,,31,50,1.61,,,,,,
,26. Khargone,2000 - 2001,573,539,0.94,,,,,,,,,
,,2001 - 2002,574,883,1.54,,,,,,,,,
,,2002 - 2003,567,"1,139.00",2.01,,,,,,,,,
,,2003 - 2004,521,994,1.91,,,,,,,,,
,,2007 - 2008,,,,409,928,2.27,,,,,,
,,2008 - 2009,,,,401,128,0.32,,,,,,
,,2009 - 2010,367,125,0.34,,,,,,,,,
,,2010 - 2011,291,556,1.91,,,,,,,,,
,,2011 - 2012,,,,121,128,1.06,,,,,,
,,2012 - 2013,,,,100,139,1.39,,,,,,
,,2013 - 2014,,,,129,211,1.64,,,,,,
,27. Mandla,2000 - 2001,234,189,0.81,,,,,,,,,
,,2001 - 2002,244,367,1.5,,,,,,,,,
,,2002 - 2003,233,344,1.48,,,,,,,,,
,,2003 - 2004,367,578,1.57,,,,,,,,,
,,2007 - 2008,,,,268,77,0.29,,,,,,
,,2008 - 2009,,,,270,78,0.29,,,,,,
,,2009 - 2010,238,64,0.27,,,,,,,,,
,,2010 - 2011,261,439,1.68,,,,,,,,,
,,2011 - 2012,,,,361,389,1.08,,,,,,
,,2012 - 2013,,,,219,394,1.8,,,,,,
,,2013 - 2014,,,,190,411,2.16,,,,,,
,28. Mandsaur,2000 - 2001,23,34,1.48,,,,,,,,,
,,2001 - 2002,8,17,2.13,,,,,,,,,
,,2002 - 2003,8,11,1.38,,,,,,,,,
,,2003 - 2004,2,6,3,,,,,,,,,
,,2012 - 2013,,,,5,17,3.4,,,,,,
,29. Morena,2000 - 2001,21,44,2.1,,,,,,,,,
,,2001 - 2002,7,17,2.43,,,,,,,,,
,,2002 - 2003,33,56,1.7,,,,,,,,,
,,2003 - 2004,3,5,1.67,,,,,,,,,
,,2007 - 2008,,,,4,1,0.25,,,,,,
,30. Narsinghpur,2000 - 2001,47,128,2.72,,,,,,,,,
,,2001 - 2002,41,133,3.24,,,,,,,,,
,,2002 - 2003,18,39,2.17,,,,,,,,,
,,2003 - 2004,19,61,3.21,,,,,,,,,
,,2007 - 2008,,,,11,6,0.55,,,,,,
,,2008 - 2009,,,,22,11,0.5,,,,,,
,,2009 - 2010,17,10,0.59,,,,,,,,,
,,2010 - 2011,3,11,3.67,,,,,,,,,
,,2011 - 2012,,,,3,6,2,,,,,,
,,2012 - 2013,,,,15,45,3,,,,,,
,,2013 - 2014,,,,3,11,3.67,,,,,,
,31. Neemuch,2000 - 2001,19,39,2.05,,,,,,,,,
,,2001 - 2002,34,78,2.29,,,,,,,,,
,,2002 - 2003,15,22,1.47,,,,,,,,,
,,2003 - 2004,15,44,2.93,,,,,,,,,
,,2007 - 2008,,,,7,3,0.43,,,,,,
,,2008 - 2009,,,,14,6,0.43,,,,,,
,,2009 - 2010,3,1,0.33,,,,,,,,,
,,2010 - 2011,6,11,1.83,,,,,,,,,
,,2011 - 2012,,,,7,11,1.57,,,,,,
,,2012 - 2013,,,,2,5,2.5,,,,,,
,,2013 - 2014,,,,2,6,3,,,,,,
,32. Panna,2000 - 2001,126,155,1.23,,,,,,,,,
,,2001 - 2002,61,111,1.82,,,,,,,,,
,,2002 - 2003,81,78,0.96,,,,,,,,,
,,2003 - 2004,54,100,1.85,,,,,,,,,
,,2007 - 2008,,,,108,25,0.23,,,,,,
,,2008 - 2009,,,,89,29,0.33,,,,,,
,,2009 - 2010,43,14,0.33,,,,,,,,,
,,2010 - 2011,47,111,2.36,,,,,,,,,
,,2011 - 2012,,,,71,100,1.41,,,,,,
,,2012 - 2013,,,,90,128,1.42,,,,,,
,,2013 - 2014,,,,78,311,3.99,,,,,,
,33. Raisen,2000 - 2001,19,45,2.37,,,,,,,,,
,,2001 - 2002,23,39,1.7,,,,,,,,,
,,2002 - 2003,19,33,1.74,,,,,,,,,
,,2003 - 2004,11,22,2,,,,,,,,,
,,2007 - 2008,,,,39,13,0.33,,,,,,
,,2008 - 2009,,,,21,7,0.33,,,,,,
,,2009 - 2010,32,11,0.34,,,,,,,,,
,,2010 - 2011,7,11,1.57,,,,,,,,,
,,2011 - 2012,,,,4,5,1.25,,,,,,
,,2012 - 2013,,,,5,6,1.2,,,,,,
,34. Rajgarh,2000 - 2001,89,83,0.93,,,,,,,,,
,,2001 - 2002,78,128,1.64,,,,,,,,,
,,2002 - 2003,80,72,0.9,,,,,,,,,
,,2003 - 2004,60,133,2.22,,,,,,,,,
,,2007 - 2008,,,,44,20,0.45,,,,,,
,,2008 - 2009,,,,36,15,0.42,,,,,,
,,2009 - 2010,26,10,0.38,,,,,,,,,
,,2010 - 2011,26,67,2.58,,,,,,,,,
,,2011 - 2012,,,,22,39,1.77,,,,,,
,,2012 - 2013,,,,16,45,2.81,,,,,,
,,2013 - 2014,,,,13,5,0.38,,,,,,
,35. Ratlam,2000 - 2001,15,33,2.2,,,,,,,,,
,,2001 - 2002,9,11,1.22,,,,,,,,,
,,2002 - 2003,10,11,1.1,,,,,,,,,
,,2003 - 2004,10,22,2.2,,,,,,,,,
,,2007 - 2008,,,,3,1,0.33,,,,,,
,,2008 - 2009,,,,14,6,0.43,,,,,,
,,2010 - 2011,1,,0,,,,,,,,,
,,2011 - 2012,,,,5,11,2.2,,,,,,
,,2012 - 2013,,,,2,6,3,,,,,,
,,2013 - 2014,,,,3,11,3.67,,,,,,
,36. Rewa,2000 - 2001,126,244,1.94,,,,,,,,,
,,2001 - 2002,114,222,1.95,,,,,,,,,
,,2002 - 2003,131,256,1.95,,,,,,,,,
,,2003 - 2004,121,189,1.56,,,,,,,,,
,,2007 - 2008,,,,98,34,0.35,,,,,,
,,2008 - 2009,,,,104,39,0.38,,,,,,
,,2009 - 2010,89,31,0.35,,,,,,,,,
,,2010 - 2011,53,122,2.3,,,,,,,,,
,,2011 - 2012,,,,41,56,1.37,,,,,,
,,2012 - 2013,,,,35,56,1.6,,,,,,
,,2013 - 2014,,,,27,55,2.04,,,,,,
,37. Sagar,2000 - 2001,132,283,2.14,,,,,,,,,
,,2001 - 2002,134,261,1.95,,,,,,,,,
,,2002 - 2003,67,100,1.49,,,,,,,,,
,,2003 - 2004,108,233,2.16,,,,,,,,,
,,2007 - 2008,,,,35,13,0.37,,,,,,
,,2008 - 2009,,,,41,16,0.39,,,,,,
,,2009 - 2010,38,19,0.5,,,,,,,,,
,,2010 - 2011,21,50,2.38,,,,,,,,,
