State,District,Year,Urad,,,,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Autumn,,,Whole Year,,,Winter,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2022 - 2023,"4,157.00","7,171.00",1.73,"2,870.00","3,220.00",1.12,,,,,,,,,,,,
,10. Kadapa,2000 - 2001,558,449,0.8,346,20,0.06,,,,,,,,,,,,
,,2001 - 2002,"1,681.00","1,143.00",0.68,824,297,0.36,,,,,,,,,,,,
,,2002 - 2003,803,465,0.58,208,11,0.05,,,,,,,,,,,,
,,2003 - 2004,60,23,0.38,11,7,0.64,,,,,,,,,,,,
,,2004 - 2005,18,11,0.61,19,9,0.47,,,,,,,,,,,,
,,2005 - 2006,3,2,0.67,21,7,0.33,,,,,,,,,,,,
,,2006 - 2007,638,499,0.78,,,,,,,,,,,,,,,
,,2008 - 2009,19,13,0.68,6,2,0.33,,,,,,,,,,,,
,,2009 - 2010,279,206,0.74,29,9,0.31,,,,,,,,,,,,
,,2010 - 2011,"8,407.00","4,489.00",0.53,756,319,0.42,,,,,,,,,,,,
,,2011 - 2012,"7,575.00","5,310.00",0.7,256,136,0.53,,,,,,,,,,,,
,,2012 - 2013,"5,000.00","4,000.00",0.8,,,,,,,,,,,,,,,
,,2013 - 2014,"2,286.00","1,797.00",0.79,70,65,0.93,,,,,,,,,,,,
,,2014 - 2015,"5,874.00","3,994.00",0.68,504,668,1.33,,,,,,,,,,,,
,,2015 - 2016,"15,933.00","13,766.00",0.86,"3,503.00","1,737.00",0.5,,,,,,,,,,,,
,,2016 - 2017,"9,294.00","5,939.00",0.64,"4,422.00","3,215.00",0.73,,,,,,,,,,,,
,,2017 - 2018,"2,356.00","3,374.00",1.43,"1,242.00",725,0.58,,,,,,,,,,,,
,,2018 - 2019,"2,454.00","1,080.00",0.44,46,20,0.43,,,,,,,,,,,,
,,2019 - 2020,"3,573.00","3,280.00",0.92,91,105,1.15,,,,,,,,,,,,
,,2020 - 2021,"12,368.00","9,486.00",0.77,"2,369.00","1,327.00",0.56,,,,,,,,,,,,
,,2021 - 2022,"11,976.00","9,916.00",0.83,"2,667.00","1,779.00",0.67,,,,,,,,,,,,
,,2022 - 2023,"16,022.00","19,643.00",1.23,"3,970.00","1,576.00",0.4,,,,,,,,,,,,
,11. Kakinada,2022 - 2023,"4,597.00","3,889.00",0.85,931,"1,151.00",1.24,,,,,,,,,,,,
,12. Konaseema,2022 - 2023,735,176,0.24,2,2,1,,,,,,,,,,,,
,13. Krishna,2000 - 2001,"99,735.00","1,07,614.00",1.08,"4,526.00",267,0.06,,,,,,,,,,,,
,,2001 - 2002,"1,20,196.00","1,14,427.00",0.95,"4,446.00","1,605.00",0.36,,,,,,,,,,,,
,,2002 - 2003,"1,61,327.00","1,45,033.00",0.9,"4,913.00",255,0.05,,,,,,,,,,,,
,,2003 - 2004,"1,04,579.00","41,309.00",0.4,"4,314.00","2,657.00",0.62,,,,,,,,,,,,
,,2004 - 2005,"1,40,587.00","1,19,921.00",0.85,"3,107.00","1,498.00",0.48,,,,,,,,,,,,
,,2005 - 2006,"96,531.00","80,121.00",0.83,"3,933.00","1,353.00",0.34,,,,,,,,,,,,
,,2006 - 2007,"1,14,076.00","1,21,035.00",1.06,"4,599.00","1,651.00",0.36,,,,,,,,,,,,
,,2007 - 2008,"1,22,000.00","87,000.00",0.71,"3,000.00","2,000.00",0.67,,,,,,,,,,,,
,,2008 - 2009,"90,564.00","89,206.00",0.99,"2,581.00",836,0.32,,,,,,,,,,,,
,,2009 - 2010,"1,10,269.00","1,44,783.00",1.31,"3,252.00",693,0.21,,,,,,,,,,,,
,,2010 - 2011,"1,27,896.00","79,807.00",0.62,"2,272.00",613,0.27,,,,,,,,,,,,
,,2011 - 2012,"1,73,354.00","1,55,325.00",0.9,"1,503.00",727,0.48,,,,,,,,,,,,
,,2012 - 2013,"1,64,000.00","1,61,000.00",0.98,"1,000.00","1,000.00",1,,,,,,,,,,,,
,,2013 - 2014,"94,374.00","86,069.00",0.91,"1,062.00",748,0.7,,,,,,,,,,,,
