State,District,Year,Urad,,,,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Autumn,,,Whole Year,,,Winter,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2007 - 2008,,,,"4,207.00","1,118.00",0.27,,,,,,,,,,,,
,,2008 - 2009,,,,"4,126.00","1,342.00",0.33,,,,,,,,,,,,
,,2009 - 2010,,,,"4,006.00",955,0.24,,,,,,,,,,,,
,,2010 - 2011,,,,"3,936.00",683,0.17,,,,,,,,,,,,
,,2011 - 2012,,,,"4,012.00","1,305.00",0.33,,,,,,,,,,,,
,,2012 - 2013,,,,"4,098.00","1,177.00",0.29,,,,,,,,,,,,
,,2013 - 2014,,,,"4,340.00","1,412.00",0.33,,,,,,,,,,,,
,,2014 - 2015,,,,"4,287.00","1,325.00",0.31,,,,,,,,,,,,
,,2015 - 2016,,,,"3,840.00","1,145.00",0.3,,,,,,,,,,,,
,,2016 - 2017,,,,"4,090.00","1,220.00",0.3,,,,,,,,,,,,
,,2017 - 2018,,,,"4,056.00","1,100.00",0.27,,,,,,,,,,,,
,,2018 - 2019,,,,"3,884.00","1,032.00",0.27,,,,,,,,,,,,
,,2019 - 2020,,,,"4,302.00",863,0.2,,,,,,,,,,,,
,,2020 - 2021,,,,"4,232.00","1,055.00",0.25,,,,,,,,,,,,
,,2021 - 2022,,,,"3,842.00","1,062.00",0.28,,,,,,,,,,,,
,,2022 - 2023,,,,"2,069.00",718,0.35,,,,,,,,,,,,
,21. Mahasamund,2000 - 2001,1,,0,"11,794.00","4,507.00",0.38,,,,,,,,,,,,
,,2001 - 2002,13,4,0.31,"11,450.00","4,663.00",0.41,,,,,,,,,,,,
,,2002 - 2003,13,2,0.15,"11,625.00","4,005.00",0.34,,,,,,,,,,,,
,,2003 - 2004,25,7,0.28,"11,421.00","3,578.00",0.31,,,,,,,,,,,,
,,2004 - 2005,9,2,0.22,"11,186.00","3,645.00",0.33,,,,,,,,,,,,
,,2005 - 2006,2,,0,"11,886.00","4,468.00",0.38,,,,,,,,,,,,
,,2006 - 2007,3,1,0.33,"11,179.00","4,202.00",0.38,,,,,,,,,,,,
,,2007 - 2008,16,4,0.25,"11,459.00","4,164.00",0.36,,,,,,,,,,,,
,,2008 - 2009,17,4,0.24,"11,055.00","4,295.00",0.39,,,,,,,,,,,,
,,2009 - 2010,29,10,0.34,"10,500.00","2,340.00",0.22,,,,,,,,,,,,
,,2010 - 2011,17,4,0.24,"10,111.00","2,568.00",0.25,,,,,,,,,,,,
,,2011 - 2012,10,2,0.2,"9,727.00","2,731.00",0.28,,,,,,,,,,,,
,,2012 - 2013,24,6,0.25,"9,666.00","2,672.00",0.28,,,,,,,,,,,,
,,2013 - 2014,24,6,0.25,"9,769.00","2,613.00",0.27,,,,,,,,,,,,
,,2014 - 2015,27,6,0.22,"9,869.00","2,640.00",0.27,,,,,,,,,,,,
,,2015 - 2016,24,3,0.13,"9,650.00","2,409.00",0.25,,,,,,,,,,,,
,,2016 - 2017,41,9,0.22,"7,363.00","1,969.00",0.27,,,,,,,,,,,,
,,2017 - 2018,21,5,0.24,"6,885.00","1,841.00",0.27,,,,,,,,,,,,
,,2018 - 2019,15,4,0.27,"5,979.00","1,332.00",0.22,,,,,,,,,,,,
,,2019 - 2020,32,7,0.22,"7,233.00","1,887.00",0.26,,,,,,,,,,,,
,,2020 - 2021,43,10,0.23,"8,004.00","2,141.00",0.27,,,,,,,,,,,,
,,2021 - 2022,22,5,0.23,"7,171.00","1,918.00",0.27,,,,,,,,,,,,
,,2022 - 2023,30,7,0.23,"6,344.00","1,697.00",0.27,,,,,,,,,,,,
,22. Manendragarh chirimiri bharatpur,2022 - 2023,,,,"1,446.00",502,0.35,,,,,,,,,,,,
,23. Mohla manpur ambagarh chouki,2022 - 2023,402,218,0.54,156,57,0.37,,,,,,,,,,,,
,24. Mungeli,2011 - 2012,46,11,0.24,101,23,0.23,,,,,,,,,,,,
,,2012 - 2013,41,10,0.24,87,22,0.25,,,,,,,,,,,,
,,2013 - 2014,40,10,0.25,86,22,0.26,,,,,,,,,,,,
,,2014 - 2015,34,8,0.24,84,21,0.25,,,,,,,,,,,,
,,2015 - 2016,30,8,0.27,86,17,0.2,,,,,,,,,,,,
,,2016 - 2017,35,9,0.26,80,23,0.29,,,,,,,,,,,,
,,2017 - 2018,23,5,0.22,64,24,0.38,,,,,,,,,,,,
,,2018 - 2019,15,3,0.2,48,17,0.35,,,,,,,,,,,,
,,2019 - 2020,5,1,0.2,35,12,0.34,,,,,,,,,,,,
,,2020 - 2021,52,13,0.25,47,12,0.26,,,,,,,,,,,,
,,2021 - 2022,31,6,0.19,71,17,0.24,,,,,,,,,,,,
,,2022 - 2023,32,7,0.22,49,12,0.24,,,,,,,,,,,,
,25. Narayanpur,2006 - 2007,,,,"1,434.00",,0,,,,,,,,,,,,
,,2007 - 2008,,,,"1,399.00",527,0.38,,,,,,,,,,,,
,,2008 - 2009,,,,"1,400.00",519,0.37,,,,,,,,,,,,
,,2009 - 2010,,,,"1,383.00",459,0.33,,,,,,,,,,,,
,,2010 - 2011,,,,"3,482.00","1,428.00",0.41,,,,,,,,,,,,
,,2011 - 2012,,,,"1,286.00",527,0.41,,,,,,,,,,,,
,,2012 - 2013,,,,"1,309.00",452,0.35,,,,,,,,,,,,
,,2013 - 2014,,,,"1,396.00",490,0.35,,,,,,,,,,,,
,,2014 - 2015,,,,"1,425.00",390,0.27,,,,,,,,,,,,
,,2015 - 2016,,,,"1,325.00",268,0.2,,,,,,,,,,,,
,,2016 - 2017,,,,"1,385.00",451,0.33,,,,,,,,,,,,
,,2017 - 2018,,,,"1,334.00",606,0.45,,,,,,,,,,,,
,,2018 - 2019,,,,"1,286.00",543,0.42,,,,,,,,,,,,
,,2019 - 2020,2,1,0.5,"1,324.00",534,0.4,,,,,,,,,,,,
,,2020 - 2021,6,2,0.33,"1,336.00",685,0.51,,,,,,,,,,,,
,,2021 - 2022,4,2,0.5,984,590,0.6,,,,,,,,,,,,
,,2022 - 2023,5,2,0.4,"1,066.00",455,0.43,,,,,,,,,,,,
,26. Raigarh,2000 - 2001,14,2,0.14,"20,028.00","3,783.00",0.19,,,,,,,,,,,,
,,2001 - 2002,98,14,0.14,"19,765.00","4,030.00",0.2,,,,,,,,,,,,
,,2002 - 2003,291,52,0.18,"20,346.00","4,158.00",0.2,,,,,,,,,,,,
,,2003 - 2004,414,74,0.18,"19,910.00","4,069.00",0.2,,,,,,,,,,,,
,,2004 - 2005,219,35,0.16,"20,243.00","3,746.00",0.19,,,,,,,,,,,,
,,2005 - 2006,218,36,0.17,"19,744.00","4,111.00",0.21,,,,,,,,,,,,
,,2006 - 2007,188,38,0.2,"19,556.00","4,525.00",0.23,,,,,,,,,,,,
,,2007 - 2008,198,37,0.19,"18,768.00","4,413.00",0.24,,,,,,,,,,,,
,,2008 - 2009,177,32,0.18,"18,776.00","4,343.00",0.23,,,,,,,,,,,,
,,2009 - 2010,172,32,0.19,"18,394.00","4,113.00",0.22,,,,,,,,,,,,
,,2010 - 2011,174,31,0.18,"18,116.00","4,190.00",0.23,,,,,,,,,,,,
,,2011 - 2012,117,21,0.18,"17,302.00","4,003.00",0.23,,,,,,,,,,,,
,,2012 - 2013,169,32,0.19,"16,657.00","3,982.00",0.24,,,,,,,,,,,,
,,2013 - 2014,112,21,0.19,"16,671.00","3,856.00",0.23,,,,,,,,,,,,
,,2014 - 2015,208,41,0.2,"16,710.00","4,188.00",0.25,,,,,,,,,,,,
,,2015 - 2016,164,32,0.2,"17,058.00","4,077.00",0.24,,,,,,,,,,,,
,,2016 - 2017,175,34,0.19,"16,227.00","3,879.00",0.24,,,,,,,,,,,,
,,2017 - 2018,74,14,0.19,"15,862.00","3,669.00",0.23,,,,,,,,,,,,
,,2018 - 2019,179,33,0.18,"13,893.00","3,215.00",0.23,,,,,,,,,,,,
,,2019 - 2020,95,17,0.18,"13,147.00","3,041.00",0.23,,,,,,,,,,,,
,,2020 - 2021,238,48,0.2,"12,467.00","3,124.00",0.25,,,,,,,,,,,,
,,2021 - 2022,179,33,0.18,"11,855.00","2,925.00",0.25,,,,,,,,,,,,
,,2022 - 2023,179,33,0.18,"7,801.00","1,925.00",0.25,,,,,,,,,,,,
,27. Raipur,2000 - 2001,592,143,0.24,"5,301.00","1,096.00",0.21,,,,,,,,,,,,
,,2001 - 2002,601,160,0.27,"5,132.00","1,704.00",0.33,,,,,,,,,,,,
,,2002 - 2003,539,131,0.24,"5,156.00","1,583.00",0.31,,,,,,,,,,,,
,,2003 - 2004,594,147,0.25,"4,940.00","1,702.00",0.34,,,,,,,,,,,,
,,2004 - 2005,609,125,0.21,"4,931.00","1,607.00",0.33,,,,,,,,,,,,
,,2005 - 2006,735,165,0.22,"4,857.00","1,613.00",0.33,,,,,,,,,,,,
,,2006 - 2007,684,157,0.23,"4,815.00","1,568.00",0.33,,,,,,,,,,,,
,,2007 - 2008,655,153,0.23,"4,717.00","1,536.00",0.33,,,,,,,,,,,,
,,2008 - 2009,506,118,0.23,"4,657.00","1,547.00",0.33,,,,,,,,,,,,
,,2009 - 2010,519,131,0.25,"4,544.00","1,509.00",0.33,,,,,,,,,,,,
,,2010 - 2011,635,169,0.27,"4,325.00","1,490.00",0.34,,,,,,,,,,,,
,,2011 - 2012,232,58,0.25,160,50,0.31,,,,,,,,,,,,
,,2012 - 2013,118,35,0.3,136,58,0.43,,,,,,,,,,,,
,,2013 - 2014,109,32,0.29,147,62,0.42,,,,,,,,,,,,
,,2014 - 2015,375,122,0.33,216,95,0.44,,,,,,,,,,,,
,,2015 - 2016,290,93,0.32,140,57,0.41,,,,,,,,,,,,
,,2016 - 2017,242,83,0.34,155,68,0.44,,,,,,,,,,,,
,,2017 - 2018,136,44,0.32,146,60,0.41,,,,,,,,,,,,
,,2018 - 2019,129,41,0.32,162,71,0.44,,,,,,,,,,,,
,,2019 - 2020,167,53,0.32,49,21,0.43,,,,,,,,,,,,
,,2020 - 2021,120,44,0.37,32,14,0.44,,,,,,,,,,,,
,,2021 - 2022,118,51,0.43,26,12,0.46,,,,,,,,,,,,
,,2022 - 2023,25,11,0.44,10,5,0.5,,,,,,,,,,,,
,28. Rajnandgaon,2000 - 2001,"1,709.00",428,0.25,"8,322.00","2,707.00",0.33,,,,,,,,,,,,
,,2001 - 2002,"1,407.00",360,0.26,"8,058.00","2,815.00",0.35,,,,,,,,,,,,
,,2002 - 2003,"1,140.00",258,0.23,"8,833.00","2,501.00",0.28,,,,,,,,,,,,
,,2003 - 2004,"1,193.00",322,0.27,"9,544.00","3,335.00",0.35,,,,,,,,,,,,
,,2004 - 2005,"1,251.00",319,0.25,"8,922.00","3,010.00",0.34,,,,,,,,,,,,
,,2005 - 2006,"1,346.00",336,0.25,"7,993.00","2,793.00",0.35,,,,,,,,,,,,
,,2006 - 2007,"1,235.00",328,0.27,"7,019.00","2,453.00",0.35,,,,,,,,,,,,
,,2007 - 2008,"1,641.00",442,0.27,"7,284.00","2,457.00",0.34,,,,,,,,,,,,
,,2008 - 2009,"1,108.00",267,0.24,"6,400.00","1,851.00",0.29,,,,,,,,,,,,
,,2009 - 2010,968,234,0.24,"5,457.00","1,282.00",0.23,,,,,,,,,,,,
,,2010 - 2011,864,246,0.28,"4,578.00","1,627.00",0.36,,,,,,,,,,,,
,,2011 - 2012,778,225,0.29,"4,468.00","1,615.00",0.36,,,,,,,,,,,,
,,2012 - 2013,649,175,0.27,"3,830.00","1,269.00",0.33,,,,,,,,,,,,
,,2013 - 2014,576,167,0.29,"3,390.00","1,225.00",0.36,,,,,,,,,,,,
,,2014 - 2015,492,142,0.29,"2,617.00","1,024.00",0.39,,,,,,,,,,,,
,,2015 - 2016,"1,261.00",335,0.27,"5,751.00","1,906.00",0.33,,,,,,,,,,,,
,,2016 - 2017,"2,257.00",653,0.29,"5,354.00","2,419.00",0.45,,,,,,,,,,,,
,,2017 - 2018,"1,388.00",435,0.31,"5,491.00","2,150.00",0.39,,,,,,,,,,,,
,,2018 - 2019,"1,553.00",486,0.31,"4,659.00","1,683.00",0.36,,,,,,,,,,,,
,,2019 - 2020,330,104,0.32,824,298,0.36,,,,,,,,,,,,
,,2020 - 2021,355,158,0.45,"1,090.00",436,0.4,,,,,,,,,,,,
,,2021 - 2022,514,228,0.44,"1,118.00",447,0.4,,,,,,,,,,,,
,,2022 - 2023,41,22,0.54,145,53,0.37,,,,,,,,,,,,
,29. Sakti,2022 - 2023,239,131,0.55,257,193,0.75,,,,,,,,,,,,
,30. Sarangarh bilaigarh,2022 - 2023,18,8,0.44,"1,199.00",839,0.7,,,,,,,,,,,,
,31. Sukma,2011 - 2012,23,9,0.39,495,113,0.23,,,,,,,,,,,,
,,2012 - 2013,19,8,0.42,475,213,0.45,,,,,,,,,,,,
,,2013 - 2014,22,11,0.5,419,177,0.42,,,,,,,,,,,,
,,2014 - 2015,30,11,0.37,585,247,0.42,,,,,,,,,,,,
,,2015 - 2016,21,8,0.38,525,215,0.41,,,,,,,,,,,,
,,2016 - 2017,25,8,0.32,538,220,0.41,,,,,,,,,,,,
,,2017 - 2018,15,5,0.33,623,235,0.38,,,,,,,,,,,,
,,2018 - 2019,21,9,0.43,587,203,0.35,,,,,,,,,,,,
,,2019 - 2020,224,81,0.36,252,87,0.35,,,,,,,,,,,,
,,2020 - 2021,156,83,0.53,222,81,0.36,,,,,,,,,,,,
,,2021 - 2022,98,52,0.53,293,107,0.37,,,,,,,,,,,,
,,2022 - 2023,98,52,0.53,298,111,0.37,,,,,,,,,,,,
,32. Surajpur,2011 - 2012,,,,"5,853.00","1,587.00",0.27,,,,,,,,,,,,
,,2012 - 2013,,,,"5,768.00","1,691.00",0.29,,,,,,,,,,,,
,,2013 - 2014,,,,"5,725.00","1,831.00",0.32,,,,,,,,,,,,
,,2014 - 2015,2,,0,"5,688.00","2,004.00",0.35,,,,,,,,,,,,
,,2015 - 2016,2,,0,"5,516.00","1,645.00",0.3,,,,,,,,,,,,
,,2016 - 2017,3,1,0.33,"5,453.00","1,537.00",0.28,,,,,,,,,,,,
,,2017 - 2018,3,1,0.33,"5,128.00","1,807.00",0.35,,,,,,,,,,,,
,,2018 - 2019,6,2,0.33,"4,750.00","1,674.00",0.35,,,,,,,,,,,,
,,2019 - 2020,42,11,0.26,"4,871.00","1,717.00",0.35,,,,,,,,,,,,
,,2020 - 2021,49,11,0.22,"4,556.00","1,779.00",0.39,,,,,,,,,,,,
,,2021 - 2022,42,10,0.24,"4,495.00","1,706.00",0.38,,,,,,,,,,,,
,,2022 - 2023,46,9,0.2,"4,480.00","1,433.00",0.32,,,,,,,,,,,,
,33. Surguja,2000 - 2001,,,,"16,092.00","4,537.00",0.28,,,,,,,,,,,,
,,2001 - 2002,,,,"15,727.00","4,860.00",0.31,,,,,,,,,,,,
,,2002 - 2003,,,,"15,691.00","4,594.00",0.29,,,,,,,,,,,,
,,2003 - 2004,,,,"15,891.00","5,169.00",0.33,,,,,,,,,,,,
,,2004 - 2005,,,,"15,498.00","4,453.00",0.29,,,,,,,,,,,,
,,2005 - 2006,,,,"15,446.00","4,857.00",0.31,,,,,,,,,,,,
,,2006 - 2007,,,,"15,267.00","4,966.00",0.33,,,,,,,,,,,,
,,2007 - 2008,,,,"15,498.00","5,041.00",0.33,,,,,,,,,,,,
,,2008 - 2009,,,,"14,886.00","4,843.00",0.33,,,,,,,,,,,,
,,2009 - 2010,,,,"14,793.00","3,850.00",0.26,,,,,,,,,,,,
,,2010 - 2011,,,,"15,012.00","2,604.00",0.17,,,,,,,,,,,,
,,2011 - 2012,,,,"4,160.00","1,128.00",0.27,,,,,,,,,,,,
,,2012 - 2013,,,,"4,156.00","1,532.00",0.37,,,,,,,,,,,,
,,2013 - 2014,,,,"4,182.00","1,338.00",0.32,,,,,,,,,,,,
,,2014 - 2015,,,,"4,180.00","1,474.00",0.35,,,,,,,,,,,,
,,2015 - 2016,,,,"4,226.00","1,558.00",0.37,,,,,,,,,,,,
,,2016 - 2017,,,,"4,192.00","1,364.00",0.33,,,,,,,,,,,,
,,2017 - 2018,,,,"3,779.00","1,148.00",0.3,,,,,,,,,,,,
,,2018 - 2019,,,,"3,533.00","1,283.00",0.36,,,,,,,,,,,,
,,2019 - 2020,2,1,0.5,"4,647.00","1,688.00",0.36,,,,,,,,,,,,
,,2020 - 2021,17,14,0.82,"4,669.00","2,827.00",0.61,,,,,,,,,,,,
,,2021 - 2022,23,14,0.61,"4,527.00","2,536.00",0.56,,,,,,,,,,,,
,,2022 - 2023,28,16,0.57,"4,368.00","2,644.00",0.61,,,,,,,,,,,,
8. Dadra and Nagar Haveli,1. Dadra and Nagar Haveli,2006 - 2007,,,,"1,333.00","1,833.00",1.38,,,,,,,,,,,,
,,2007 - 2008,,,,"1,600.00","1,500.00",0.94,,,,,,,,,,,,
,,2008 - 2009,,,,"1,600.00","1,500.00",0.94,,,,,,,,,,,,
,,2009 - 2010,,,,"1,000.00",800,0.8,,,,,,,,,,,,
,,2010 - 2011,,,,"1,430.00","1,144.00",0.8,,,,,,,,,,,,
,,2011 - 2012,,,,"1,373.00","1,098.00",0.8,,,,,,,,,,,,
,,2012 - 2013,,,,"1,378.00","1,102.00",0.8,,,,,,,,,,,,
,,2015 - 2016,,,,"1,127.00","1,075.00",0.95,,,,,,,,,,,,
,,2016 - 2017,,,,990,990,1,,,,,,,,,,,,
,,2017 - 2018,,,,"1,015.00",985,0.97,,,,,,,,,,,,
,,2018 - 2019,,,,950,950,1,,,,,,,,,,,,
,,2019 - 2020,,,,900,640,0.71,,,,,,,,,,,,
9. Gujarat,1. Ahmadabad,2000 - 2001,,,,800,200,0.25,,,,,,,,,,,,
,,2001 - 2002,,,,800,500,0.63,,,,,,,,,,,,
,,2002 - 2003,,,,"1,400.00",500,0.36,,,,,,,,,,,,
,,2003 - 2004,,,,700,500,0.71,,,,,,,,,,,,
,,2004 - 2005,,,,300,200,0.67,,,,,,,,,,,,
,,2005 - 2006,,,,400,300,0.75,,,,,,,,,,,,
,,2006 - 2007,,,,200,100,0.5,,,,,,,,,,,,
,,2007 - 2008,,,,"1,200.00",800,0.67,,,,,,,,,,,,
,,2008 - 2009,,,,"1,300.00",700,0.54,,,,,,,,,,,,
,,2009 - 2010,,,,"1,200.00",700,0.58,,,,,,,,,,,,
,,2010 - 2011,,,,"1,300.00",800,0.62,,,,,,,,,,,,
,,2011 - 2012,,,,600,500,0.83,,,,,,,,,,,,
,,2012 - 2013,,,,100,100,1,,,,,,,,,,,,
,,2013 - 2014,,,,502,302,0.6,,,,,,,,,,,,
,,2014 - 2015,,,,15,11,0.73,,,,,,,,,,,,
,,2015 - 2016,,,,120,72,0.6,,,,,,,,,,,,
,,2016 - 2017,,,,"8,724.00","5,303.00",0.61,,,,,,,,,,,,
,,2017 - 2018,,,,"9,538.00","6,057.00",0.64,,,,,,,,,,,,
,,2018 - 2019,,,,"2,027.00",225,0.11,,,,,,,,,,,,
,,2019 - 2020,,,,370,246,0.66,,,,,,,,,,,,
,,2020 - 2021,,,,"2,518.00","1,589.00",0.63,,,,,,,,,,,,
,,2021 - 2022,,,,"7,107.00","4,492.00",0.63,45,63,1.4,,,,,,,,,
,,2022 - 2023,,,,"6,910.00","4,172.00",0.6,,,,,,,,,,,,
,2. Amreli,2000 - 2001,,,,"3,000.00","1,000.00",0.33,,,,,,,,,,,,
,,2001 - 2002,,,,"3,500.00","2,900.00",0.83,,,,,,,,,,,,
,,2002 - 2003,,,,"2,700.00",900,0.33,,,,,,,,,,,,
,,2003 - 2004,,,,"4,200.00","2,800.00",0.67,,,,,,,,,,,,
,,2004 - 2005,,,,"4,000.00","2,500.00",0.63,,,,,,,,,,,,
,,2005 - 2006,,,,"3,300.00","2,700.00",0.82,,,,,,,,,,,,
,,2006 - 2007,,,,"3,100.00","1,400.00",0.45,,,,,,,,,,,,
,,2007 - 2008,,,,"2,800.00","1,800.00",0.64,,,,,,,,,,,,
,,2008 - 2009,,,,"3,400.00","2,000.00",0.59,,,,,,,,,,,,
,,2009 - 2010,,,,"2,500.00","1,500.00",0.6,,,,,,,,,,,,
,,2010 - 2011,,,,"2,300.00","1,400.00",0.61,,,,,,,,,,,,
,,2011 - 2012,,,,"1,600.00","1,300.00",0.81,,,,,,,,,,,,
,,2012 - 2013,,,,"1,700.00",600,0.35,,,,,,,,,,,,
,,2013 - 2014,,,,"2,035.00","1,223.00",0.6,,,,,,,,,,,,
,,2014 - 2015,,,,"1,787.00","1,256.00",0.7,,,,,,,,,,,,
,,2015 - 2016,,,,"1,720.00","1,028.00",0.6,,,,,,,,,,,,
,,2016 - 2017,,,,"4,318.00","2,625.00",0.61,,,,,,,,,,,,
,,2017 - 2018,,,,"2,354.00","1,495.00",0.64,26,24,0.92,,,,,,,,,
,,2018 - 2019,,,,"2,027.00","1,176.00",0.58,,,,,,,,,,,,
,,2019 - 2020,,,,"1,159.00","2,046.00",1.77,185,293,1.58,,,,,,,,,
,,2020 - 2021,,,,"1,250.00",832,0.67,423,402,0.95,,,,,,,,,
,,2021 - 2022,,,,"1,291.00",765,0.59,459,574,1.25,,,,,,,,,
,,2022 - 2023,,,,"1,217.00",743,0.61,360,324,0.9,,,,,,,,,
,3. Anand,2004 - 2005,,,,100,,0,,,,,,,,,,,,
,,2007 - 2008,,,,100,100,1,,,,,,,,,,,,
,,2008 - 2009,,,,100,100,1,,,,,,,,,,,,
,,2009 - 2010,,,,100,100,1,,,,,,,,,,,,
,,2010 - 2011,,,,200,100,0.5,,,,,,,,,,,,
,,2011 - 2012,,,,100,100,1,"1,900.00","1,200.00",0.63,,,,,,,,,
,,2012 - 2013,,,,300,100,0.33,,,,,,,,,,,,
,,2021 - 2022,,,,18,11,0.61,,,,,,,,,,,,
,4. Aravalli,2014 - 2015,,,,"3,215.00","2,491.00",0.77,,,,,,,,,,,,
,,2015 - 2016,,,,"4,237.00","2,489.00",0.59,85,43,0.51,,,,,,,,,
,,2016 - 2017,,,,"10,480.00","7,232.00",0.69,25,16,0.64,,,,,,,,,
,,2017 - 2018,,,,"7,393.00","4,717.00",0.64,25,17,0.68,,,,,,,,,
,,2018 - 2019,,,,"10,387.00","5,723.00",0.55,,,,,,,,,,,,
,,2019 - 2020,,,,"10,157.00","4,100.00",0.4,15,24,1.6,,,,,,,,,
,,2020 - 2021,,,,"10,542.00","6,608.00",0.63,19,13,0.68,,,,,,,,,
,,2021 - 2022,,,,"14,375.00","8,683.00",0.6,15,17,1.13,,,,,,,,,
,,2022 - 2023,,,,"9,722.00","6,341.00",0.65,41,29,0.71,,,,,,,,,
,5. Banas kantha,2000 - 2001,,,,"1,100.00",300,0.27,,,,,,,,,,,,
,,2001 - 2002,,,,"3,600.00","2,000.00",0.56,,,,,,,,,,,,
,,2002 - 2003,,,,"3,600.00","1,200.00",0.33,,,,,,,,,,,,
,,2003 - 2004,,,,"3,700.00","2,500.00",0.68,,,,,,,,,,,,
,,2004 - 2005,,,,"3,200.00","2,000.00",0.63,,,,,,,,,,,,
,,2005 - 2006,,,,"2,600.00","1,900.00",0.73,,,,,,,,,,,,
,,2006 - 2007,,,,"2,900.00","1,400.00",0.48,,,,,,,,,,,,
,,2007 - 2008,,,,"9,200.00","8,900.00",0.97,,,,,,,,,,,,
,,2008 - 2009,,,,"6,400.00","5,100.00",0.8,,,,,,,,,,,,
,,2009 - 2010,,,,"4,100.00","2,500.00",0.61,,,,,,,,,,,,
,,2010 - 2011,,,,"2,000.00","1,700.00",0.85,,,,,,,,,,,,
,,2011 - 2012,,,,"4,200.00","2,100.00",0.5,,,,,,,,,,,,
,,2012 - 2013,,,,"2,400.00","2,400.00",1,,,,,,,,,,,,
,,2013 - 2014,,,,"1,586.00","1,417.00",0.89,,,,,,,,,,,,
,,2014 - 2015,,,,803,553,0.69,,,,,,,,,,,,
,,2015 - 2016,,,,429,239,0.56,,,,,,,,,,,,
,,2016 - 2017,,,,"11,630.00","6,299.00",0.54,,,,,,,,,,,,
,,2017 - 2018,,,,"2,752.00","2,636.00",0.96,,,,,,,,,,,,
,,2018 - 2019,,,,"3,163.00","2,527.00",0.8,,,,,,,,,,,,
,,2019 - 2020,,,,"2,730.00","2,348.00",0.86,,,,,,,,,,,,
,,2020 - 2021,,,,"1,811.00","1,294.00",0.71,,,,,,,,,,,,
,,2021 - 2022,,,,"2,333.00","1,561.00",0.67,,,,,,,,,,,,
,,2022 - 2023,,,,"1,714.00","1,173.00",0.68,,,,,,,,,,,,
,6. Bharuch,2000 - 2001,,,,"7,300.00","2,700.00",0.37,,,,,,,,,,,,
,,2001 - 2002,,,,"4,700.00","1,400.00",0.3,,,,,,,,,,,,
,,2002 - 2003,,,,"3,000.00","1,600.00",0.53,,,,,,,,,,,,
,,2003 - 2004,,,,"3,100.00","2,300.00",0.74,,,,,,,,,,,,
,,2004 - 2005,,,,"2,900.00","2,300.00",0.79,,,,,,,,,,,,
,,2005 - 2006,,,,"2,000.00","1,600.00",0.8,,,,,,,,,,,,
,,2006 - 2007,,,,"2,100.00","1,700.00",0.81,,,,,,,,,,,,
,,2007 - 2008,,,,"2,600.00","1,800.00",0.69,,,,,,,,,,,,
,,2008 - 2009,,,,"2,400.00","1,700.00",0.71,,,,,,,,,,,,
,,2009 - 2010,,,,"2,900.00","2,100.00",0.72,,,,,,,,,,,,
,,2010 - 2011,,,,"2,600.00","2,000.00",0.77,,,,,,,,,,,,
,,2011 - 2012,,,,"2,500.00","1,900.00",0.76,,,,,,,,,,,,
,,2012 - 2013,,,,"2,100.00","2,200.00",1.05,,,,,,,,,,,,
,,2013 - 2014,,,,"2,200.00","1,087.00",0.49,,,,,,,,,,,,
,,2014 - 2015,,,,975,651,0.67,,,,,,,,,,,,
,,2015 - 2016,,,,"1,150.00","1,050.00",0.91,,,,,,,,,,,,
,,2016 - 2017,,,,"3,501.00","2,781.00",0.79,,,,,,,,,,,,
,,2017 - 2018,,,,"1,295.00",658,0.51,,,,,,,,,,,,
,,2018 - 2019,,,,"1,035.00",901,0.87,,,,,,,,,,,,
,,2019 - 2020,,,,"1,073.00","1,164.00",1.08,7,11,1.57,,,,,,,,,
,,2020 - 2021,,,,"1,265.00","1,191.00",0.94,,,,,,,,,,,,
,,2021 - 2022,,,,"1,040.00",902,0.87,,,,,,,,,,,,
,,2022 - 2023,,,,915,790,0.86,,,,,,,,,,,,
,7. Bhavnagar,2000 - 2001,,,,"3,000.00","1,000.00",0.33,,,,,,,,,,,,
,,2001 - 2002,,,,"3,600.00","2,100.00",0.58,,,,,,,,,,,,
,,2002 - 2003,,,,"4,100.00","1,400.00",0.34,,,,,,,,,,,,
,,2003 - 2004,,,,"1,100.00",800,0.73,,,,,,,,,,,,
,,2004 - 2005,,,,"1,200.00",700,0.58,,,,,,,,,,,,
,,2005 - 2006,,,,900,700,0.78,,,,,,,,,,,,
,,2006 - 2007,,,,"1,300.00",600,0.46,,,,,,,,,,,,
,,2007 - 2008,,,,"1,300.00",800,0.62,,,,,,,,,,,,
,,2008 - 2009,,,,"1,800.00","1,100.00",0.61,,,,,,,,,,,,
,,2009 - 2010,,,,"1,500.00",900,0.6,,,,,,,,,,,,
,,2010 - 2011,,,,"1,900.00","1,100.00",0.58,,,,,,,,,,,,
,,2011 - 2012,,,,"2,000.00","1,600.00",0.8,,,,,,,,,,,,
,,2012 - 2013,,,,700,200,0.29,,,,,,,,,,,,
