State,District,Year,Sesamum,,,,,,,,,,,,,,,,,
,,,Summer,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Andaman and Nicobar Islands,1. North and middle andaman,2011 - 2012,43.5,21.6,0.5,,,,,,,,,,,,,,,
,17. Palnadu,2022 - 2023,,,,151,45,0.3,29,6,0.21,,,,,,,,,
,18. Parvathipuram manyam,2022 - 2023,,,,"2,071.00",644,0.31,12,2,0.17,,,,,,,,,
,19. Prakasam,2000 - 2001,,,,"2,303.00",481,0.21,"24,475.00","4,479.00",0.18,,,,,,,,,
,,2001 - 2002,,,,298,76,0.26,"1,171.00",88,0.08,,,,,,,,,
,,2002 - 2003,,,,338,111,0.33,"6,279.00",276,0.04,,,,,,,,,
,,2003 - 2004,,,,575,117,0.2,"25,644.00","9,078.00",0.35,,,,,,,,,
,,2004 - 2005,,,,36,8,0.22,"52,549.00",841,0.02,,,,,,,,,
,,2005 - 2006,,,,130,30,0.23,"4,784.00","1,789.00",0.37,,,,,,,,,
,,2006 - 2007,,,,110,22,0.2,"20,035.00","7,152.00",0.36,,,,,,,,,
,,2007 - 2008,,,,"2,000.00",,0,"15,000.00","8,000.00",0.53,,,,,,,,,
,,2008 - 2009,,,,221,40,0.18,"4,053.00","2,116.00",0.52,,,,,,,,,
,,2009 - 2010,,,,"1,434.00",284,0.2,"10,373.00","2,116.00",0.2,,,,,,,,,
,,2010 - 2011,,,,"3,256.00",742,0.23,"36,694.00","4,183.00",0.11,,,,,,,,,
,,2011 - 2012,,,,"2,163.00",467,0.22,"2,451.00","1,456.00",0.59,,,,,,,,,
,,2012 - 2013,,,,"3,000.00","1,000.00",0.33,"3,000.00","1,000.00",0.33,,,,,,,,,
,,2013 - 2014,,,,"4,137.00",869,0.21,"8,713.00","5,446.00",0.63,,,,,,,,,
,,2014 - 2015,,,,"12,831.00","2,425.00",0.19,"1,113.00",213,0.19,,,,,,,,,
,,2015 - 2016,,,,"2,608.00","1,241.00",0.48,"7,594.00","1,033.00",0.14,,,,,,,,,
,,2016 - 2017,,,,"2,707.00",539,0.2,"13,512.00","2,257.00",0.17,,,,,,,,,
,,2017 - 2018,,,,"1,823.00",463,0.25,"4,934.00","1,234.00",0.25,,,,,,,,,
,,2018 - 2019,,,,"2,702.00",213,0.08,"2,032.00",538,0.26,,,,,,,,,
,,2019 - 2020,,,,"4,512.00","1,981.00",0.44,716,298,0.42,,,,,,,,,
,,2020 - 2021,,,,"2,704.00",427,0.16,"4,010.00",577,0.14,,,,,,,,,
,,2021 - 2022,,,,"3,266.00",683,0.21,"4,395.00",866,0.2,,,,,,,,,
,,2022 - 2023,,,,"1,039.00",255,0.25,"5,286.00",988,0.19,,,,,,,,,
,20. Spsr nellore,2000 - 2001,,,,442,92,0.21,"6,260.00","1,452.00",0.23,,,,,,,,,
,,2001 - 2002,,,,250,64,0.26,"1,890.00",318,0.17,,,,,,,,,
,,2002 - 2003,,,,596,108,0.18,"2,926.00",281,0.1,,,,,,,,,
,,2003 - 2004,,,,"1,937.00",399,0.21,"1,040.00",305,0.29,,,,,,,,,
,,2004 - 2005,,,,219,52,0.24,"31,757.00","3,017.00",0.1,,,,,,,,,
,,2005 - 2006,,,,350,80,0.23,"4,149.00",697,0.17,,,,,,,,,
,,2006 - 2007,,,,205,41,0.2,"2,078.00",380,0.18,,,,,,,,,
,,2007 - 2008,,,,,,,"3,000.00","1,000.00",0.33,,,,,,,,,
,,2008 - 2009,,,,582,104,0.18,"1,623.00",635,0.39,,,,,,,,,
,,2009 - 2010,,,,"1,164.00",230,0.2,"1,735.00",720,0.41,,,,,,,,,
,,2010 - 2011,,,,453,103,0.23,"11,031.00","4,567.00",0.41,,,,,,,,,
,,2011 - 2012,,,,622,134,0.22,"1,964.00",448,0.23,,,,,,,,,
,,2012 - 2013,,,,,,,"1,000.00",,0,,,,,,,,,
,,2013 - 2014,,,,"1,479.00",311,0.21,666,126,0.19,,,,,,,,,
,,2014 - 2015,,,,"4,762.00",900,0.19,757,111,0.15,,,,,,,,,
,,2015 - 2016,,,,989,314,0.32,"1,159.00",388,0.33,,,,,,,,,
,,2016 - 2017,,,,"5,939.00","1,301.00",0.22,"3,901.00","1,982.00",0.51,,,,,,,,,
,,2017 - 2018,,,,545,160,0.29,360,31,0.09,,,,,,,,,
,,2018 - 2019,,,,"2,652.00",355,0.13,561,80,0.14,,,,,,,,,
,,2019 - 2020,,,,"1,658.00",363,0.22,138,87,0.63,,,,,,,,,
,,2020 - 2021,,,,647,194,0.3,"1,365.00",531,0.39,,,,,,,,,
,,2021 - 2022,,,,614,154,0.25,140,43,0.31,,,,,,,,,
,,2022 - 2023,,,,673,232,0.34,"2,146.00",378,0.18,,,,,,,,,
,21. Sri sathya sai,2022 - 2023,,,,2,1,0.5,1,0.35,0.35,,,,,,,,,
,22. Srikakulam,2000 - 2001,,,,"3,847.00",604,0.16,"2,008.00",466,0.23,,,,,,,,,
,,2001 - 2002,,,,"4,059.00","1,039.00",0.26,"3,283.00",552,0.17,,,,,,,,,
,,2002 - 2003,,,,"2,420.00",462,0.19,"2,095.00",201,0.1,,,,,,,,,
,,2003 - 2004,,,,"5,072.00",989,0.19,"1,685.00",494,0.29,,,,,,,,,
,,2004 - 2005,,,,"4,964.00",859,0.17,"2,227.00",212,0.1,,,,,,,,,
,,2005 - 2006,,,,"5,373.00",639,0.12,"2,574.00",432,0.17,,,,,,,,,
,,2006 - 2007,,,,"4,471.00",729,0.16,"1,977.00",235,0.12,,,,,,,,,
,,2007 - 2008,,,,"6,000.00","1,000.00",0.17,"4,000.00",,0,,,,,,,,,
,,2008 - 2009,,,,"3,791.00",561,0.15,"3,084.00",299,0.1,,,,,,,,,
,,2009 - 2010,,,,"4,925.00",680,0.14,"2,378.00",302,0.13,,,,,,,,,
,,2010 - 2011,,,,"5,979.00",975,0.16,"1,704.00",268,0.16,,,,,,,,,
,,2011 - 2012,,,,"3,817.00",618,0.16,"2,467.00",558,0.23,,,,,,,,,
,,2012 - 2013,,,,"3,000.00","1,000.00",0.33,"2,000.00",,0,,,,,,,,,
,,2013 - 2014,,,,"4,037.00",525,0.13,"1,199.00",254,0.21,,,,,,,,,
,,2014 - 2015,,,,"6,404.00",672,0.1,322,46,0.14,,,,,,,,,
,,2015 - 2016,,,,"4,215.00",927,0.22,845,111,0.13,,,,,,,,,
,,2016 - 2017,,,,"3,379.00",791,0.23,183,26,0.14,,,,,,,,,
,,2017 - 2018,,,,"7,676.00","1,504.00",0.2,91,13,0.14,,,,,,,,,
,,2018 - 2019,,,,"7,832.00","1,198.00",0.15,120,18,0.15,,,,,,,,,
,,2019 - 2020,,,,"7,626.00","1,540.00",0.2,62,10,0.16,,,,,,,,,
,,2020 - 2021,,,,"6,356.00","1,182.00",0.19,43,6,0.14,,,,,,,,,
,,2021 - 2022,,,,"7,368.00",928,0.13,12,2,0.17,,,,,,,,,
,,2022 - 2023,,,,"2,737.00",832,0.3,6,1,0.17,,,,,,,,,
,23. Tirupati,2022 - 2023,,,,516,124,0.24,424,147,0.35,,,,,,,,,
,24. Visakhapatanam,2000 - 2001,,,,"3,849.00","1,016.00",0.26,"11,432.00","3,132.00",0.27,,,,,,,,,
,,2001 - 2002,,,,"4,006.00","1,018.00",0.25,"10,647.00","1,565.00",0.15,,,,,,,,,
,,2002 - 2003,,,,"2,196.00",211,0.1,"6,901.00",807,0.12,,,,,,,,,
,,2003 - 2004,,,,"3,412.00",826,0.24,"3,551.00",540,0.15,,,,,,,,,
,,2004 - 2005,,,,"3,090.00",930,0.3,"7,301.00","1,884.00",0.26,,,,,,,,,
,,2005 - 2006,,,,"2,179.00",682,0.31,"5,717.00",869,0.15,,,,,,,,,
,,2006 - 2007,,,,"2,481.00",511,0.21,"5,896.00","1,008.00",0.17,,,,,,,,,
,,2007 - 2008,,,,"3,000.00","1,000.00",0.33,"5,000.00","1,000.00",0.2,,,,,,,,,
,,2008 - 2009,,,,"2,653.00",692,0.26,"4,497.00","1,043.00",0.23,,,,,,,,,
,,2009 - 2010,,,,"1,846.00",306,0.17,"2,572.00",427,0.17,,,,,,,,,
,,2010 - 2011,,,,"2,270.00",484,0.21,"4,170.00",713,0.17,,,,,,,,,
,,2011 - 2012,,,,"2,497.00",387,0.15,"4,155.00",806,0.19,,,,,,,,,
