State,District,Year,Sesamum,,,,,,,,,,,,,,,,,
,,,Summer,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Andaman and Nicobar Islands,1. North and middle andaman,2011 - 2012,43.5,21.6,0.5,,,,,,,,,,,,,,,
,,2014 - 2015,,,,249,116,0.47,"2,631.00",558,0.21,,,,,,,,,
,,2015 - 2016,,,,129,36,0.28,"2,229.00",38,0.02,,,,,,,,,
,,2016 - 2017,,,,71,57,0.8,56,6,0.11,,,,,,,,,
,,2017 - 2018,,,,14,8,0.57,7,2,0.29,,,,,,,,,
,,2018 - 2019,,,,10,7,0.7,9,2,0.22,,,,,,,,,
,,2019 - 2020,,,,24,15,0.63,4,1,0.25,,,,,,,,,
,,2020 - 2021,,,,204,138,0.68,45,4,0.09,,,,,,,,,
,,2021 - 2022,,,,139,108,0.78,19,4,0.21,,,,,,,,,
,,2022 - 2023,,,,10,8,0.8,,,,,,,,,,,,
,31. Warangal urban,2016 - 2017,,,,,,,10,1,0.1,,,,,,,,,
,,2017 - 2018,,,,8,5,0.63,4,1,0.25,,,,,,,,,
,,2019 - 2020,,,,11,7,0.64,,,,,,,,,,,,
,,2020 - 2021,,,,41,28,0.68,9,1,0.11,,,,,,,,,
,,2021 - 2022,,,,78,61,0.78,7,2,0.29,,,,,,,,,
,,2022 - 2023,,,,5,4,0.8,2,1,0.5,,,,,,,,,
,32. Yadadri,2016 - 2017,,,,,,,345,19,0.06,,,,,,,,,
,,2017 - 2018,,,,,,,92,13,0.14,,,,,,,,,
,,2018 - 2019,,,,2,1,0.5,10,2,0.2,,,,,,,,,
,,2019 - 2020,,,,1,1,1,12,2,0.17,,,,,,,,,
,,2020 - 2021,,,,4,3,0.75,99,9,0.09,,,,,,,,,
,,2021 - 2022,,,,123,96,0.78,9,2,0.22,,,,,,,,,
,,2022 - 2023,,,,11,8,0.73,7,2,0.29,,,,,,,,,
27. Tripura,1. Dhalai,2004 - 2005,,,,,,,392,172,0.44,,,,,,,,,
,,2005 - 2006,,,,,,,371,162,0.44,,,,,,,,,
,,2006 - 2007,,,,,,,509,215,0.42,,,,,,,,,
,,2007 - 2008,,,,,,,461,187,0.41,,,,,,,,,
,,2008 - 2009,,,,,,,383,176,0.46,,,,,,,,,
,,2009 - 2010,,,,,,,379,197,0.52,,,,,,,,,
,,2010 - 2011,,,,,,,483,263,0.54,,,,,,,,,
,,2011 - 2012,,,,,,,410,184,0.45,,,,,,,,,
,,2012 - 2013,,,,,,,546,305,0.56,,,,,,,,,
,,2013 - 2014,,,,,,,916,543,0.59,,,,,,,,,
,,2014 - 2015,,,,,,,546,346,0.63,,,,,,,,,
,,2015 - 2016,,,,,,,777,426,0.55,,,,,,,,,
,,2016 - 2017,,,,,,,"1,120.00",631,0.56,,,,,,,,,
,,2017 - 2018,,,,,,,"1,428.00",826,0.58,,,,,,,,,
,,2018 - 2019,,,,,,,"1,460.00",879.62,0.6,,,,,,,,,
,,2019 - 2020,,,,,,,"1,358.00",812.84,0.6,,,,,,,,,
,,2020 - 2021,,,,,,,"1,241.00",796,0.64,,,,,,,,,
,,2021 - 2022,,,,,,,"1,706.00","1,036.00",0.61,,,,,,,,,
,,2022 - 2023,,,,,,,"1,683.00","1,036.00",0.62,,,,,,,,,
,2. Gomati,2012 - 2013,,,,,,,205,103,0.5,,,,,,,,,
,,2013 - 2014,,,,,,,248,145,0.58,,,,,,,,,
,,2014 - 2015,,,,,,,259,164,0.63,,,,,,,,,
,,2015 - 2016,,,,,,,516,300,0.58,,,,,,,,,
,,2016 - 2017,,,,,,,801,471,0.59,,,,,,,,,
,,2017 - 2018,,,,,,,"1,049.00",566,0.54,,,,,,,,,
,,2018 - 2019,,,,,,,"1,076.00",589.79,0.55,,,,,,,,,
,,2019 - 2020,,,,,,,"1,077.00",595.77,0.55,,,,,,,,,
,,2020 - 2021,,,,,,,887,498,0.56,,,,,,,,,
,,2021 - 2022,,,,,,,921,512,0.56,,,,,,,,,
,,2022 - 2023,,,,,,,669,436,0.65,,,,,,,,,
,3. Khowai,2012 - 2013,,,,,,,135,54,0.4,,,,,,,,,
,,2013 - 2014,,,,,,,280,151,0.54,,,,,,,,,
,,2014 - 2015,,,,,,,284,150,0.53,,,,,,,,,
,,2015 - 2016,,,,,,,353,193,0.55,,,,,,,,,
,,2016 - 2017,,,,,,,562,294,0.52,,,,,,,,,
,,2017 - 2018,,,,,,,656,335,0.51,,,,,,,,,
,,2018 - 2019,,,,,,,759,430.12,0.57,,,,,,,,,
,,2019 - 2020,,,,,,,680,381.54,0.56,,,,,,,,,
,,2020 - 2021,,,,,,,755,460,0.61,,,,,,,,,
,,2021 - 2022,,,,,,,730,432,0.59,,,,,,,,,
,,2022 - 2023,,,,,,,574,383,0.67,,,,,,,,,
,4. North tripura,2004 - 2005,,,,,,,300,145,0.48,,,,,,,,,
,,2005 - 2006,,,,,,,248,128,0.52,,,,,,,,,
,,2006 - 2007,,,,,,,304,175,0.58,,,,,,,,,
,,2007 - 2008,,,,,,,328,171,0.52,,,,,,,,,
,,2008 - 2009,,,,,,,263,161,0.61,,,,,,,,,
,,2009 - 2010,,,,,,,381,208,0.55,,,,,,,,,
,,2010 - 2011,,,,,,,531,299,0.56,,,,,,,,,
,,2011 - 2012,,,,,,,479,245,0.51,,,,,,,,,
,,2012 - 2013,,,,,,,263,131,0.5,,,,,,,,,
,,2013 - 2014,,,,,,,280,151,0.54,,,,,,,,,
,,2014 - 2015,,,,,,,452,249,0.55,,,,,,,,,
,,2015 - 2016,,,,,,,787,449,0.57,,,,,,,,,
,,2016 - 2017,,,,,,,942,499,0.53,,,,,,,,,
,,2017 - 2018,,,,,,,"1,132.00",606,0.54,,,,,,,,,
,,2018 - 2019,,,,,,,"1,146.00",632.32,0.55,,,,,,,,,
,,2019 - 2020,,,,,,,"1,237.00",685.95,0.55,,,,,,,,,
,,2020 - 2021,,,,,,,878,521,0.59,,,,,,,,,
,,2021 - 2022,,,,,,,939,523,0.56,,,,,,,,,
,,2022 - 2023,,,,,,,720,465,0.65,,,,,,,,,
,5. Sepahijala,2012 - 2013,,,,,,,244,131,0.54,,,,,,,,,
,,2013 - 2014,,,,,,,245,148,0.6,,,,,,,,,
,,2014 - 2015,,,,,,,206,145,0.7,,,,,,,,,
,,2015 - 2016,,,,,,,333,198,0.59,,,,,,,,,
,,2016 - 2017,,,,,,,573,370,0.65,,,,,,,,,
,,2017 - 2018,,,,,,,688,443,0.64,,,,,,,,,
,,2018 - 2019,,,,,,,577,381.99,0.66,,,,,,,,,
,,2019 - 2020,,,,,,,633,429.09,0.68,,,,,,,,,
,,2020 - 2021,,,,,,,542,395,0.73,,,,,,,,,
,,2021 - 2022,,,,,,,494,337,0.68,,,,,,,,,
,,2022 - 2023,,,,,,,306,212,0.69,,,,,,,,,
,6. South tripura,2004 - 2005,,,,,,,478,213,0.45,,,,,,,,,
,,2005 - 2006,,,,,,,475,220,0.46,,,,,,,,,
,,2006 - 2007,,,,,,,570,330,0.58,,,,,,,,,
,,2007 - 2008,,,,,,,560,333,0.59,,,,,,,,,
,,2008 - 2009,,,,,,,452,286,0.63,,,,,,,,,
,,2009 - 2010,,,,,,,512,322,0.63,,,,,,,,,
,,2010 - 2011,,,,,,,593,364,0.61,,,,,,,,,
,,2011 - 2012,,,,,,,556,334,0.6,,,,,,,,,
,,2012 - 2013,,,,,,,345,252,0.73,,,,,,,,,
,,2013 - 2014,,,,,,,510,357,0.7,,,,,,,,,
,,2014 - 2015,,,,,,,328,233,0.71,,,,,,,,,
,,2015 - 2016,,,,,,,620,390,0.63,,,,,,,,,
,,2016 - 2017,,,,,,,739,507,0.69,,,,,,,,,
,,2017 - 2018,,,,,,,955,683,0.72,,,,,,,,,
,,2018 - 2019,,,,,,,864,636.17,0.74,,,,,,,,,
,,2019 - 2020,,,,,,,663,520.68,0.79,,,,,,,,,
,,2020 - 2021,,,,,,,625,528,0.84,,,,,,,,,
,,2021 - 2022,,,,,,,699,558,0.8,,,,,,,,,
,,2022 - 2023,,,,,,,639,519,0.81,,,,,,,,,
,7. Unakoti,2012 - 2013,,,,,,,232,146,0.63,,,,,,,,,
,,2013 - 2014,,,,,,,195,127,0.65,,,,,,,,,
,,2014 - 2015,,,,,,,230,157,0.68,,,,,,,,,
,,2015 - 2016,,,,,,,188,115,0.61,,,,,,,,,
,,2016 - 2017,,,,,,,367,228,0.62,,,,,,,,,
,,2017 - 2018,,,,,,,462,289,0.63,,,,,,,,,
,,2018 - 2019,,,,,,,380,241.27,0.63,,,,,,,,,
,,2019 - 2020,,,,,,,221,145.28,0.66,,,,,,,,,
,,2020 - 2021,,,,,,,411,290,0.71,,,,,,,,,
,,2021 - 2022,,,,,,,285,191,0.67,,,,,,,,,
,,2022 - 2023,,,,,,,264,180,0.68,,,,,,,,,
,8. West tripura,2004 - 2005,,,,,,,410,185,0.45,,,,,,,,,
,,2005 - 2006,,,,,,,432,190,0.44,,,,,,,,,
,,2006 - 2007,,,,,,,694,328,0.47,,,,,,,,,
,,2007 - 2008,,,,,,,427,205,0.48,,,,,,,,,
,,2008 - 2009,,,,,,,294,157,0.53,,,,,,,,,
,,2009 - 2010,,,,,,,260,146,0.56,,,,,,,,,
,,2010 - 2011,,,,,,,439,252,0.57,,,,,,,,,
,,2011 - 2012,,,,,,,497,332,0.67,,,,,,,,,
,,2012 - 2013,,,,,,,115,66,0.57,,,,,,,,,
,,2013 - 2014,,,,,,,150,84,0.56,,,,,,,,,
,,2014 - 2015,,,,,,,163,99,0.61,,,,,,,,,
,,2015 - 2016,,,,,,,324,190,0.59,,,,,,,,,
,,2016 - 2017,,,,,,,486,276,0.57,,,,,,,,,
,,2017 - 2018,,,,,,,665,403,0.61,,,,,,,,,
,,2018 - 2019,,,,,,,705,540.75,0.77,,,,,,,,,
,,2019 - 2020,,,,,,,742,637.68,0.86,,,,,,,,,
,,2020 - 2021,,,,,,,523,479,0.92,,,,,,,,,
,,2021 - 2022,,,,,,,589,492,0.84,,,,,,,,,
,,2022 - 2023,,,,,,,264,231,0.88,,,,,,,,,
28. Uttar Pradesh,1. Agra,2000 - 2001,,,,,,,"1,682.00",390,0.23,,,,,,,,,
,,2001 - 2002,,,,,,,"1,645.00",477,0.29,,,,,,,,,
,,2002 - 2003,,,,,,,959,155,0.16,,,,,,,,,
,,2003 - 2004,,,,,,,929,121,0.13,,,,,,,,,
,,2004 - 2005,,,,,,,968,155,0.16,,,,,,,,,
,,2005 - 2006,,,,,,,"1,097.00",195,0.18,,,,,,,,,
,,2006 - 2007,,,,,,,111,19,0.17,,,,,,,,,
,,2007 - 2008,,,,,,,"1,369.00",211,0.15,,,,,,,,,
,,2008 - 2009,,,,,,,614,101,0.16,,,,,,,,,
,,2009 - 2010,,,,,,,"3,824.00",398,0.1,,,,,,,,,
,,2010 - 2011,,,,,,,"2,169.00",427,0.2,,,,,,,,,
,,2011 - 2012,,,,,,,"2,227.00",483,0.22,,,,,,,,,
,,2012 - 2013,,,,,,,"2,100.00",392,0.19,,,,,,,,,
,,2013 - 2014,,,,,,,"1,817.00",196,0.11,,,,,,,,,
,,2014 - 2015,,,,,,,"1,935.00",186,0.1,,,,,,,,,
,,2015 - 2016,,,,,,,"3,378.00","1,024.00",0.3,,,,,,,,,
,,2016 - 2017,,,,,,,"2,252.00",293,0.13,,,,,,,,,
,,2017 - 2018,,,,,,,"1,620.00",183,0.11,,,,,,,,,
,,2018 - 2019,,,,,,,"1,813.00",199,0.11,,,,,,,,,
,,2019 - 2020,,,,,,,"1,664.00",196,0.12,,,,,,,,,
,,2020 - 2021,,,,,,,"2,003.00",517,0.26,,,,,,,,,
,,2021 - 2022,,,,,,,"2,066.00",79,0.04,,,,,,,,,
,,2022 - 2023,,,,,,,"1,824.00",243,0.13,,,,,,,,,
,2. Aligarh,2000 - 2001,,,,,,,43,10,0.23,,,,,,,,,
,,2001 - 2002,,,,,,,34,10,0.29,,,,,,,,,
,,2002 - 2003,,,,,,,27,4,0.15,,,,,,,,,
,,2003 - 2004,,,,,,,19,2,0.11,,,,,,,,,
,,2004 - 2005,,,,,,,33,5,0.15,,,,,,,,,
,,2005 - 2006,,,,,,,11,2,0.18,,,,,,,,,
,,2006 - 2007,,,,,,,15,2,0.13,,,,,,,,,
,,2007 - 2008,,,,,,,28,4,0.14,,,,,,,,,
,,2008 - 2009,,,,,,,29,5,0.17,,,,,,,,,
,,2009 - 2010,,,,,,,108,11,0.1,,,,,,,,,
,,2010 - 2011,,,,,,,150,30,0.2,,,,,,,,,
,,2011 - 2012,,,,,,,99,22,0.22,,,,,,,,,
,,2012 - 2013,,,,,,,47,9,0.19,,,,,,,,,
,,2013 - 2014,,,,,,,46,7,0.15,,,,,,,,,
,,2014 - 2015,,,,,,,94,19,0.2,,,,,,,,,
,,2015 - 2016,,,,,,,371,112,0.3,,,,,,,,,
,,2016 - 2017,,,,,,,22,5,0.23,,,,,,,,,
,,2017 - 2018,,,,,,,32,9,0.28,,,,,,,,,
,,2018 - 2019,,,,,,,"2,045.00",462,0.23,,,,,,,,,
,,2019 - 2020,,,,,,,30,5,0.17,,,,,,,,,
,,2020 - 2021,,,,,,,104,32,0.31,,,,,,,,,
,,2021 - 2022,,,,,,,68,15,0.22,,,,,,,,,
,,2022 - 2023,,,,,,,24,6,0.25,,,,,,,,,
,3. Allahabad,2000 - 2001,,,,,,,976,277,0.28,,,,,,,,,
,,2001 - 2002,,,,,,,681,177,0.26,,,,,,,,,
,,2002 - 2003,,,,,,,364,119,0.33,,,,,,,,,
,,2003 - 2004,,,,,,,402,106,0.26,,,,,,,,,
,,2004 - 2005,,,,,,,545,136,0.25,,,,,,,,,
,,2005 - 2006,,,,,,,585,148,0.25,,,,,,,,,
,,2006 - 2007,,,,,,,479,77,0.16,,,,,,,,,
,,2007 - 2008,,,,,,,517,119,0.23,,,,,,,,,
,,2008 - 2009,,,,,,,501,57,0.11,,,,,,,,,
,,2009 - 2010,,,,,,,827,127,0.15,,,,,,,,,
,,2010 - 2011,,,,,,,704,143,0.2,,,,,,,,,
,,2011 - 2012,,,,,,,991,246,0.25,,,,,,,,,
,,2012 - 2013,,,,,,,693,137,0.2,,,,,,,,,
,,2013 - 2014,,,,,,,453,78,0.17,,,,,,,,,
,,2014 - 2015,,,,,,,721,109,0.15,,,,,,,,,
,,2015 - 2016,,,,,,,493,51,0.1,,,,,,,,,
,,2016 - 2017,,,,,,,457,56,0.12,,,,,,,,,
,,2017 - 2018,,,,,,,525,152,0.29,,,,,,,,,
,,2018 - 2019,,,,,,,495,105,0.21,,,,,,,,,
,,2019 - 2020,,,,,,,"1,361.00",233,0.17,,,,,,,,,
,,2020 - 2021,,,,,,,777,244,0.31,,,,,,,,,
,,2021 - 2022,,,,,,,718,111,0.15,,,,,,,,,
,,2022 - 2023,,,,,,,529,118,0.22,,,,,,,,,
,4. Ambedkar nagar,2000 - 2001,,,,,,,16,3,0.19,,,,,,,,,
,,2001 - 2002,,,,,,,14,3,0.21,,,,,,,,,
,,2002 - 2003,,,,,,,16,3,0.19,,,,,,,,,
,,2003 - 2004,,,,,,,13,2,0.15,,,,,,,,,
,,2004 - 2005,,,,,,,9,2,0.22,,,,,,,,,
,,2005 - 2006,,,,,,,12,2,0.17,,,,,,,,,
,,2006 - 2007,,,,,,,8,1,0.13,,,,,,,,,
,,2007 - 2008,,,,,,,7,1,0.14,,,,,,,,,
,,2008 - 2009,,,,,,,2,,0,,,,,,,,,
,,2010 - 2011,,,,,,,6,1,0.17,,,,,,,,,
,,2011 - 2012,,,,,,,6,1,0.17,,,,,,,,,
,,2012 - 2013,,,,,,,10,2,0.2,,,,,,,,,
,,2013 - 2014,,,,,,,21,3,0.14,,,,,,,,,
,,2014 - 2015,,,,,,,41,11,0.27,,,,,,,,,
,,2015 - 2016,,,,,,,31,6,0.19,,,,,,,,,
,,2016 - 2017,,,,,,,9,2,0.22,,,,,,,,,
,,2017 - 2018,,,,,,,10,3,0.3,,,,,,,,,
,,2018 - 2019,,,,,,,32,7,0.22,,,,,,,,,
,,2019 - 2020,,,,,,,19,3,0.16,,,,,,,,,
,,2020 - 2021,,,,,,,27,8,0.3,,,,,,,,,
,,2021 - 2022,,,,,,,25,6,0.24,,,,,,,,,
,5. Amethi,2010 - 2011,,,,,,,113,19,0.17,,,,,,,,,
,,2011 - 2012,,,,,,,729,158,0.22,,,,,,,,,
,,2012 - 2013,,,,,,,596,111,0.19,,,,,,,,,
,,2013 - 2014,,,,,,,545,80,0.15,,,,,,,,,
,,2014 - 2015,,,,,,,250,68,0.27,,,,,,,,,
,,2015 - 2016,,,,,,,517,104,0.2,,,,,,,,,
,,2016 - 2017,,,,,,,605,129,0.21,,,,,,,,,
,,2017 - 2018,,,,,,,713,210,0.29,,,,,,,,,
,,2018 - 2019,,,,,,,637,144,0.23,,,,,,,,,
,,2019 - 2020,,,,,,,846,156,0.18,,,,,,,,,
,,2020 - 2021,,,,,,,645,200,0.31,,,,,,,,,
,,2021 - 2022,,,,,,,834,189,0.23,,,,,,,,,
,,2022 - 2023,,,,,,,681,159,0.23,,,,,,,,,
,6. Amroha,2000 - 2001,,,,,,,40,7,0.18,,,,,,,,,
,,2001 - 2002,,,,,,,2,1,0.5,,,,,,,,,
,,2003 - 2004,,,,,,,14,2,0.14,,,,,,,,,
,,2004 - 2005,,,,,,,12,2,0.17,,,,,,,,,
,,2005 - 2006,,,,,,,8,2,0.25,,,,,,,,,
,,2008 - 2009,,,,,,,8,1,0.13,,,,,,,,,
,,2010 - 2011,,,,,,,17,3,0.18,,,,,,,,,
,,2011 - 2012,,,,,,,7,2,0.29,,,,,,,,,
,,2012 - 2013,,,,,,,23,4,0.17,,,,,,,,,
,,2014 - 2015,,,,,,,11,2,0.18,,,,,,,,,
,,2015 - 2016,,,,,,,94,28,0.3,,,,,,,,,
,,2018 - 2019,,,,,,,67,15,0.22,,,,,,,,,
,,2019 - 2020,,,,,,,35,6,0.17,,,,,,,,,
,7. Auraiya,2000 - 2001,,,,,,,18,4,0.22,,,,,,,,,
,,2001 - 2002,,,,,,,28,5,0.18,,,,,,,,,
,,2002 - 2003,,,,,,,16,3,0.19,,,,,,,,,
,,2003 - 2004,,,,,,,25,3,0.12,,,,,,,,,
,,2004 - 2005,,,,,,,89,14,0.16,,,,,,,,,
,,2005 - 2006,,,,,,,71,13,0.18,,,,,,,,,
,,2006 - 2007,,,,,,,93,16,0.17,,,,,,,,,
,,2007 - 2008,,,,,,,396,61,0.15,,,,,,,,,
,,2008 - 2009,,,,,,,777,128,0.16,,,,,,,,,
,,2009 - 2010,,,,,,,665,69,0.1,,,,,,,,,
,,2010 - 2011,,,,,,,"1,046.00",206,0.2,,,,,,,,,
,,2011 - 2012,,,,,,,"1,020.00",261,0.26,,,,,,,,,
,,2012 - 2013,,,,,,,958,191,0.2,,,,,,,,,
,,2013 - 2014,,,,,,,720,25,0.03,,,,,,,,,
,,2014 - 2015,,,,,,,727,30,0.04,,,,,,,,,
,,2015 - 2016,,,,,,,"1,717.00",103,0.06,,,,,,,,,
,,2016 - 2017,,,,,,,796,150,0.19,,,,,,,,,
,,2017 - 2018,,,,,,,791,164,0.21,,,,,,,,,
,,2018 - 2019,,,,,,,"1,108.00",215,0.19,,,,,,,,,
,,2019 - 2020,,,,,,,"1,270.00",206,0.16,,,,,,,,,
,,2020 - 2021,,,,,,,826,156,0.19,,,,,,,,,
,,2021 - 2022,,,,,,,"1,053.00",168,0.16,,,,,,,,,
,,2022 - 2023,,,,,,,797,138,0.17,,,,,,,,,
,8. Azamgarh,2000 - 2001,,,,,,,45,7,0.16,,,,,,,,,
,,2001 - 2002,,,,,,,43,11,0.26,,,,,,,,,
,,2002 - 2003,,,,,,,57,9,0.16,,,,,,,,,
,,2003 - 2004,,,,,,,70,9,0.13,,,,,,,,,
,,2004 - 2005,,,,,,,66,10,0.15,,,,,,,,,
,,2005 - 2006,,,,,,,47,8,0.17,,,,,,,,,
,,2006 - 2007,,,,,,,56,9,0.16,,,,,,,,,
,,2007 - 2008,,,,,,,60,9,0.15,,,,,,,,,
,,2008 - 2009,,,,,,,61,10,0.16,,,,,,,,,
,,2009 - 2010,,,,,,,57,6,0.11,,,,,,,,,
,,2010 - 2011,,,,,,,96,19,0.2,,,,,,,,,
,,2011 - 2012,,,,,,,65,14,0.22,,,,,,,,,
,,2012 - 2013,,,,,,,58,11,0.19,,,,,,,,,
,,2013 - 2014,,,,,,,80,12,0.15,,,,,,,,,
,,2014 - 2015,,,,,,,71,14,0.2,,,,,,,,,
,,2015 - 2016,,,,,,,169,51,0.3,,,,,,,,,
,,2016 - 2017,,,,,,,71,15,0.21,,,,,,,,,
,,2017 - 2018,,,,,,,70,21,0.3,,,,,,,,,
,,2018 - 2019,,,,,,,102,23,0.23,,,,,,,,,
,,2019 - 2020,,,,,,,28,5,0.18,,,,,,,,,
,,2020 - 2021,,,,,,,78,24,0.31,,,,,,,,,
,,2021 - 2022,,,,,,,94,20,0.21,,,,,,,,,
,,2022 - 2023,,,,,,,82,19,0.23,,,,,,,,,
,9. Baghpat,2001 - 2002,,,,,,,1,0.1,0.1,,,,,,,,,
,,2002 - 2003,,,,,,,2,0,0,,,,,,,,,
,,2003 - 2004,,,,,,,1,0,0,,,,,,,,,
,,2014 - 2015,,,,,,,2,1,0.5,,,,,,,,,
,,2018 - 2019,,,,,,,62,14,0.23,,,,,,,,,
,10. Bahraich,2000 - 2001,,,,,,,415,67,0.16,,,,,,,,,
,,2001 - 2002,,,,,,,461,115,0.25,,,,,,,,,
,,2002 - 2003,,,,,,,587,95,0.16,,,,,,,,,
,,2003 - 2004,,,,,,,557,72,0.13,,,,,,,,,
,,2004 - 2005,,,,,,,496,79,0.16,,,,,,,,,
,,2005 - 2006,,,,,,,270,48,0.18,,,,,,,,,
,,2006 - 2007,,,,,,,476,80,0.17,,,,,,,,,
,,2007 - 2008,,,,,,,952,147,0.15,,,,,,,,,
,,2008 - 2009,,,,,,,618,102,0.17,,,,,,,,,
,,2009 - 2010,,,,,,,611,64,0.1,,,,,,,,,
,,2010 - 2011,,,,,,,687,136,0.2,,,,,,,,,
,,2011 - 2012,,,,,,,539,117,0.22,,,,,,,,,
,,2012 - 2013,,,,,,,470,88,0.19,,,,,,,,,
,,2013 - 2014,,,,,,,413,61,0.15,,,,,,,,,
,,2014 - 2015,,,,,,,238,47,0.2,,,,,,,,,
,,2015 - 2016,,,,,,,388,118,0.3,,,,,,,,,
,,2016 - 2017,,,,,,,417,89,0.21,,,,,,,,,
,,2017 - 2018,,,,,,,511,151,0.3,,,,,,,,,
,,2018 - 2019,,,,,,,447,101,0.23,,,,,,,,,
,,2019 - 2020,,,,,,,444,82,0.18,,,,,,,,,
,,2020 - 2021,,,,,,,414,128,0.31,,,,,,,,,
,,2021 - 2022,,,,,,,470,107,0.23,,,,,,,,,
,,2022 - 2023,,,,,,,359,84,0.23,,,,,,,,,
,11. Ballia,2000 - 2001,,,,,,,3,0.1,0.03,,,,,,,,,
,,2002 - 2003,,,,,,,2,0,0,,,,,,,,,
,,2003 - 2004,,,,,,,1,0,0,,,,,,,,,
,,2004 - 2005,,,,,,,4,1,0.25,,,,,,,,,
,,2005 - 2006,,,,,,,1,,0,,,,,,,,,
,,2006 - 2007,,,,,,,1,,0,,,,,,,,,
,,2014 - 2015,,,,,,,1,,0,,,,,,,,,
,,2015 - 2016,,,,,,,1,,0,,,,,,,,,
,12. Balrampur,2000 - 2001,,,,,,,7,1,0.14,,,,,,,,,
,,2001 - 2002,,,,,,,7,2,0.29,,,,,,,,,
,,2002 - 2003,,,,,,,3,1,0.33,,,,,,,,,
,,2003 - 2004,,,,,,,25,3,0.12,,,,,,,,,
,,2004 - 2005,,,,,,,27,4,0.15,,,,,,,,,
,,2005 - 2006,,,,,,,25,5,0.2,,,,,,,,,
,,2006 - 2007,,,,,,,18,3,0.17,,,,,,,,,
,,2007 - 2008,,,,,,,28,4,0.14,,,,,,,,,
,,2008 - 2009,,,,,,,20,3,0.15,,,,,,,,,
,,2009 - 2010,,,,,,,19,2,0.11,,,,,,,,,
,,2010 - 2011,,,,,,,17,3,0.18,,,,,,,,,
,,2011 - 2012,,,,,,,34,7,0.21,,,,,,,,,
,,2012 - 2013,,,,,,,19,4,0.21,,,,,,,,,
,,2013 - 2014,,,,,,,33,5,0.15,,,,,,,,,
,,2014 - 2015,,,,,,,17,3,0.18,,,,,,,,,
,,2015 - 2016,,,,,,,18,5,0.28,,,,,,,,,
,,2016 - 2017,,,,,,,17,4,0.24,,,,,,,,,
,,2017 - 2018,,,,,,,15,4,0.27,,,,,,,,,
,,2018 - 2019,,,,,,,17,4,0.24,,,,,,,,,
,,2019 - 2020,,,,,,,62,11,0.18,,,,,,,,,
,,2020 - 2021,,,,,,,14,4,0.29,,,,,,,,,
,,2021 - 2022,,,,,,,19,4,0.21,,,,,,,,,
,,2022 - 2023,,,,,,,13,3,0.23,,,,,,,,,
,13. Banda,2000 - 2001,,,,,,,"1,393.00",169,0.12,,,,,,,,,
,,2001 - 2002,,,,,,,919,79,0.09,,,,,,,,,
,,2002 - 2003,,,,,,,584,79,0.14,,,,,,,,,
,,2003 - 2004,,,,,,,"1,076.00",88,0.08,,,,,,,,,
,,2004 - 2005,,,,,,,"1,463.00",143,0.1,,,,,,,,,
,,2005 - 2006,,,,,,,"1,061.00",125,0.12,,,,,,,,,
,,2006 - 2007,,,,,,,"1,298.00",209,0.16,,,,,,,,,
,,2007 - 2008,,,,,,,"1,963.00",457,0.23,,,,,,,,,
,,2008 - 2009,,,,,,,"2,223.00",393,0.18,,,,,,,,,
,,2009 - 2010,,,,,,,"6,209.00",286,0.05,,,,,,,,,
,,2010 - 2011,,,,,,,"15,170.00","2,715.00",0.18,,,,,,,,,
,,2011 - 2012,,,,,,,"17,355.00","1,770.00",0.1,,,,,,,,,
,,2012 - 2013,,,,,,,"17,385.00","3,286.00",0.19,,,,,,,,,
,,2013 - 2014,,,,,,,"14,204.00","2,145.00",0.15,,,,,,,,,
,,2014 - 2015,,,,,,,"19,197.00","3,263.00",0.17,,,,,,,,,
,,2015 - 2016,,,,,,,"49,188.00","13,576.00",0.28,,,,,,,,,
,,2016 - 2017,,,,,,,"7,780.00",685,0.09,,,,,,,,,
,,2017 - 2018,,,,,,,"11,085.00","4,556.00",0.41,,,,,,,,,
,,2018 - 2019,,,,,,,"11,546.00","3,048.00",0.26,,,,,,,,,
,,2019 - 2020,,,,,,,"13,705.00","5,879.00",0.43,,,,,,,,,
,,2020 - 2021,,,,,,,"16,756.00","7,792.00",0.47,,,,,,,,,
,,2021 - 2022,,,,,,,"14,941.00","2,196.00",0.15,,,,,,,,,
,,2022 - 2023,,,,,,,"33,583.00","13,903.00",0.41,,,,,,,,,
,14. Barabanki,2000 - 2001,,,,,,,214,34,0.16,,,,,,,,,
,,2001 - 2002,,,,,,,274,69,0.25,,,,,,,,,
,,2002 - 2003,,,,,,,254,41,0.16,,,,,,,,,
,,2003 - 2004,,,,,,,190,25,0.13,,,,,,,,,
,,2004 - 2005,,,,,,,218,35,0.16,,,,,,,,,
,,2005 - 2006,,,,,,,203,36,0.18,,,,,,,,,
,,2006 - 2007,,,,,,,221,37,0.17,,,,,,,,,
,,2007 - 2008,,,,,,,250,39,0.16,,,,,,,,,
