State,District,Year,Ragi,,,,,,,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Autumn,,,Summer,,,Whole Year,,,Winter,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2015 - 2016,,,,,,,954,695,0.73,,,,,,,,,
,,2016 - 2017,,,,,,,"1,137.00","1,412.00",1.24,,,,,,,,,
,,2017 - 2018,"1,445.00",939,0.65,,,,,,,,,,,,,,,
,,2018 - 2019,"1,312.00",525,0.4,,,,,,,,,,,,,,,
,,2019 - 2020,"1,080.00",432,0.4,,,,,,,,,,,,,,,
,,2020 - 2021,"1,142.00",671,0.59,,,,,,,,,,,,,,,
,,2021 - 2022,750,450,0.6,,,,,,,,,,,,,,,
,,2022 - 2023,"1,137.00",455,0.4,,,,,,,,,,,,,,,
,17. Pakur,2006 - 2007,,,,,,,8.67,7,0.81,,,,,,,,,
,,2012 - 2013,,,,,,,2,2,1,,,,,,,,,
,18. Palamu,2002 - 2003,,,,,,,741.37,710.97,0.96,,,,,,,,,
,,2006 - 2007,,,,,,,503.23,388,0.77,,,,,,,,,
,,2007 - 2008,,,,,,,517.39,406,0.78,,,,,,,,,
,,2008 - 2009,,,,,,,510.95,310,0.61,,,,,,,,,
,,2009 - 2010,,,,,,,331,130,0.39,,,,,,,,,
,,2011 - 2012,,,,,,,117,57,0.49,,,,,,,,,
,,2012 - 2013,,,,,,,307,197,0.64,,,,,,,,,
,,2013 - 2014,,,,,,,226,110,0.49,,,,,,,,,
,,2014 - 2015,,,,,,,95,60,0.63,,,,,,,,,
,,2015 - 2016,,,,,,,135,60,0.44,,,,,,,,,
,,2016 - 2017,,,,,,,97,113,1.16,,,,,,,,,
,,2018 - 2019,184,50,0.27,,,,,,,,,,,,,,,
,,2019 - 2020,844,658,0.78,,,,,,,,,,,,,,,
,,2020 - 2021,175,141,0.81,,,,,,,,,,,,,,,
,,2021 - 2022,479,379,0.79,,,,,,,,,,,,,,,
,19. Ramgarh,2008 - 2009,,,,,,,86.93,129,1.48,,,,,,,,,
,,2009 - 2010,,,,,,,85,74,0.87,,,,,,,,,
,,2011 - 2012,,,,,,,46,19,0.41,,,,,,,,,
,,2012 - 2013,,,,,,,43,38,0.88,,,,,,,,,
,,2013 - 2014,,,,,,,46,46,1,,,,,,,,,
,,2014 - 2015,,,,,,,12,17,1.42,,,,,,,,,
,,2015 - 2016,,,,,,,26,26,1,,,,,,,,,
,,2017 - 2018,620,428,0.69,,,,,,,,,,,,,,,
,,2018 - 2019,92,63,0.68,,,,,,,,,,,,,,,
,,2019 - 2020,96,66,0.69,,,,,,,,,,,,,,,
,,2020 - 2021,235,162,0.69,,,,,,,,,,,,,,,
,,2021 - 2022,721,469,0.65,,,,,,,,,,,,,,,
,,2022 - 2023,671,436,0.65,,,,,,,,,,,,,,,
,20. Ranchi,2002 - 2003,,,,,,,"10,479.25","8,362.44",0.8,,,,,,,,,
,,2003 - 2004,,,,,,,"25,469.70","17,064.70",0.67,,,,,,,,,
,,2004 - 2005,,,,,,,"10,274.03","6,102.77",0.59,,,,,,,,,
,,2005 - 2006,,,,,,,"8,098.75","4,826.86",0.6,,,,,,,,,
,,2006 - 2007,,,,,,,"9,338.61","8,199.00",0.88,,,,,,,,,
,,2007 - 2008,,,,,,,"9,232.23","7,450.00",0.81,,,,,,,,,
,,2008 - 2009,,,,,,,"5,895.56","7,299.00",1.24,,,,,,,,,
,,2009 - 2010,,,,,,,"4,189.00","3,917.00",0.94,,,,,,,,,
,,2011 - 2012,,,,,,,"4,031.00","4,950.00",1.23,,,,,,,,,
,,2012 - 2013,,,,,,,"3,419.00","3,932.00",1.15,,,,,,,,,
,,2013 - 2014,,,,,,,"3,631.00","2,839.00",0.78,,,,,,,,,
,,2014 - 2015,,,,,,,"3,461.00","2,890.00",0.84,,,,,,,,,
,,2015 - 2016,,,,,,,"2,251.00","1,078.00",0.48,,,,,,,,,
,,2016 - 2017,,,,,,,"3,229.00","3,174.00",0.98,,,,,,,,,
,,2017 - 2018,"2,925.00","2,194.00",0.75,,,,,,,,,,,,,,,
,,2018 - 2019,"2,375.00","1,781.00",0.75,,,,,,,,,,,,,,,
,,2019 - 2020,"2,833.00","2,295.00",0.81,,,,,,,,,,,,,,,
,,2020 - 2021,"3,096.00","2,523.00",0.81,,,,,,,,,,,,,,,
,,2021 - 2022,"3,377.00","2,752.00",0.81,,,,,,,,,,,,,,,
,,2022 - 2023,"2,835.00","2,268.00",0.8,,,,,,,,,,,,,,,
,21. Sahebganj,2006 - 2007,,,,,,,2.57,2,0.78,,,,,,,,,
,,2007 - 2008,,,,,,,2.08,1,0.48,,,,,,,,,
,,2011 - 2012,,,,,,,24,19,0.79,,,,,,,,,
,,2021 - 2022,46,28,0.61,,,,,,,,,,,,,,,
,22. Saraikela kharsawan,2006 - 2007,,,,,,,842.88,667,0.79,,,,,,,,,
,,2017 - 2018,444,333,0.75,,,,,,,,,,,,,,,
,,2018 - 2019,624,406,0.65,,,,,,,,,,,,,,,
,,2020 - 2021,117,76,0.65,,,,,,,,,,,,,,,
,,2021 - 2022,90,59,0.66,,,,,,,,,,,,,,,
,,2022 - 2023,120,78,0.65,,,,,,,,,,,,,,,
,23. Simdega,2003 - 2004,,,,,,,"12,821.47","10,487.96",0.82,,,,,,,,,
,,2004 - 2005,,,,,,,"5,949.81","7,306.36",1.23,,,,,,,,,
,,2005 - 2006,,,,,,,"6,099.07","4,769.47",0.78,,,,,,,,,
,,2006 - 2007,,,,,,,"5,335.50","1,558.00",0.29,,,,,,,,,
,,2007 - 2008,,,,,,,"5,254.27","4,219.00",0.8,,,,,,,,,
,,2008 - 2009,,,,,,,"5,243.51","4,672.00",0.89,,,,,,,,,
,,2009 - 2010,,,,,,,"4,376.00","5,002.00",1.14,,,,,,,,,
,,2011 - 2012,,,,,,,"3,051.00","2,715.00",0.89,,,,,,,,,
,,2012 - 2013,,,,,,,"2,761.00","1,991.00",0.72,,,,,,,,,
,,2013 - 2014,,,,,,,"3,556.00","2,809.00",0.79,,,,,,,,,
,,2014 - 2015,,,,,,,"3,398.00","3,259.00",0.96,,,,,,,,,
,,2015 - 2016,,,,,,,"3,487.00","2,158.00",0.62,,,,,,,,,
,,2016 - 2017,,,,,,,"3,342.00","4,291.00",1.28,,,,,,,,,
,,2017 - 2018,"2,000.00","1,600.00",0.8,,,,,,,,,,,,,,,
,,2018 - 2019,"2,007.00","1,606.00",0.8,,,,,,,,,,,,,,,
,,2019 - 2020,"2,000.00","1,600.00",0.8,,,,,,,,,,,,,,,
,,2020 - 2021,"2,003.00","1,602.00",0.8,,,,,,,,,,,,,,,
,,2021 - 2022,"2,115.00","2,538.00",1.2,,,,,,,,,,,,,,,
,,2022 - 2023,"1,002.00","1,002.00",1,,,,,,,,,,,,,,,
,24. West singhbhum,2006 - 2007,,,,,,,656.79,520,0.79,,,,,,,,,
,,2008 - 2009,,,,,,,632.24,449,0.71,,,,,,,,,
,,2009 - 2010,,,,,,,520,320,0.62,,,,,,,,,
,,2011 - 2012,,,,,,,554,524,0.95,,,,,,,,,
,,2012 - 2013,,,,,,,314,270,0.86,,,,,,,,,
,,2013 - 2014,,,,,,,396,300,0.76,,,,,,,,,
,,2014 - 2015,,,,,,,359,331,0.92,,,,,,,,,
,,2015 - 2016,,,,,,,319,283,0.89,,,,,,,,,
,,2016 - 2017,,,,,,,310,360,1.16,,,,,,,,,
,,2017 - 2018,"2,465.00","1,444.00",0.59,,,,,,,,,,,,,,,
,,2018 - 2019,"1,562.00",906,0.58,,,,,,,,,,,,,,,
,,2019 - 2020,202,118,0.58,,,,,,,,,,,,,,,
,,2020 - 2021,181,105,0.58,,,,,,,,,,,,,,,
,,2021 - 2022,"1,816.00","1,053.00",0.58,,,,,,,,,,,,,,,
,,2022 - 2023,"1,660.00",969,0.58,,,,,,,,,,,,,,,
10. Karnataka,1. Bagalkot,2018 - 2019,24,29,1.21,,,,,,,,,,,,,,,
,,2019 - 2020,46,80,1.74,76,108,1.42,,,,,,,,,,,,
,,2020 - 2021,59,104,1.76,71,109,1.54,,,,,,,,,,,,
,,2021 - 2022,60,79,1.32,36,49,1.36,,,,,,,,,,,,
,,2022 - 2023,12,17,1.42,,,,,,,,,,,,,,,
,2. Bangalore rural,2000 - 2001,"1,45,995.00","3,01,161.00",2.06,282,438,1.55,,,,"1,469.00","2,853.00",1.94,,,,,,
,,2001 - 2002,"1,46,131.00","2,83,423.00",1.94,168,230,1.37,,,,645,"1,137.00",1.76,,,,,,
,,2002 - 2003,"1,05,139.00","97,923.00",0.93,427,671,1.57,,,,426,489,1.15,,,,,,
,,2003 - 2004,"1,34,499.00","2,53,694.00",1.89,245,225,0.92,,,,449,534,1.19,,,,,,
,,2004 - 2005,"1,35,894.00","3,46,941.00",2.55,145,238,1.64,,,,521,830,1.59,,,,,,
,,2005 - 2006,"1,38,892.00","2,87,063.00",2.07,150,436,2.91,,,,508,"1,109.00",2.18,,,,,,
,,2006 - 2007,"89,257.00","1,01,013.00",1.13,257,513,2,,,,255,542,2.13,,,,,,
,,2007 - 2008,"47,641.00","1,10,869.00",2.33,108,234,2.17,,,,139,289,2.08,,,,,,
,,2008 - 2009,"43,788.00","1,00,903.00",2.3,211,441,2.09,,,,217,432,1.99,,,,,,
,,2009 - 2010,"41,469.00","91,892.00",2.22,143,335,2.34,,,,143,268,1.87,,,,,,
,,2010 - 2011,"43,927.00","1,15,210.00",2.62,203,421,2.07,,,,117,229,1.96,,,,,,
,,2011 - 2012,"42,716.00","1,00,336.00",2.35,155,312,2.01,,,,103,198,1.92,,,,,,
,,2012 - 2013,"39,812.00","92,776.00",2.33,123,177,1.44,,,,91,136,1.49,,,,,,
,,2013 - 2014,"40,329.00","1,03,750.00",2.57,177,258,1.46,,,,36,71,1.97,,,,,,
,,2014 - 2015,"35,844.00","91,940.00",2.57,76,123,1.62,,,,42,75,1.79,,,,,,
,,2015 - 2016,"38,725.00","78,838.00",2.04,111,187,1.68,,,,48,82,1.71,,,,,,
,,2016 - 2017,"36,115.00","43,573.00",1.21,188,195,1.04,,,,160,289,1.81,,,,,,
,,2017 - 2018,"37,019.00","93,125.00",2.52,105,168,1.6,,,,39,68,1.74,,,,,,
,,2018 - 2019,"42,163.00","69,255.00",1.64,141,196,1.39,,,,40,72,1.8,,,,,,
,,2019 - 2020,"46,494.00","1,01,280.00",2.18,159,225,1.42,,,,32,57,1.78,,,,,,
,,2020 - 2021,"55,156.00","1,21,784.00",2.21,773,"1,192.00",1.54,,,,63,117,1.86,,,,,,
,,2021 - 2022,"65,233.00","1,13,570.00",1.74,327,441,1.35,,,,25,44,1.76,,,,,,
,,2022 - 2023,"60,208.00","1,15,118.00",1.91,524,712,1.36,,,,53,91,1.72,,,,,,
,3. Belgaum,2000 - 2001,"2,278.00","3,103.00",1.36,,,,,,,,,,,,,,,
,,2001 - 2002,"1,995.00","1,911.00",0.96,,,,,,,,,,,,,,,
,,2002 - 2003,"1,965.00","1,133.00",0.58,,,,,,,,,,,,,,,
,,2003 - 2004,"2,024.00","1,591.00",0.79,,,,,,,,,,,,,,,
,,2004 - 2005,"1,960.00","2,267.00",1.16,,,,,,,,,,,,,,,
,,2005 - 2006,"1,563.00",756,0.48,,,,,,,,,,,,,,,
,,2006 - 2007,"14,499.00",941,0.06,,,,,,,,,,,,,,,
,,2007 - 2008,"1,111.00",496,0.45,,,,,,,,,,,,,,,
,,2008 - 2009,969,326,0.34,,,,,,,,,,,,,,,
,,2009 - 2010,"1,610.00",589,0.37,,,,,,,,,,,,,,,
,,2010 - 2011,"1,361.00",867,0.64,,,,,,,,,,,,,,,
,,2011 - 2012,525,371,0.71,,,,,,,,,,,,,,,
,,2012 - 2013,903,672,0.74,,,,,,,,,,,,,,,
,,2013 - 2014,"1,161.00","1,024.00",0.88,62,90,1.45,,,,,,,,,,,,
,,2014 - 2015,"1,032.00","1,207.00",1.17,101,164,1.62,,,,,,,,,,,,
,,2015 - 2016,145,30,0.21,101,171,1.69,,,,,,,,,,,,
,,2016 - 2017,"1,064.00","1,448.00",1.36,133,138,1.04,,,,,,,,,,,,
,,2017 - 2018,433,597,1.38,,,,,,,,,,,,,,,
,,2018 - 2019,"1,044.00","1,292.00",1.24,,,,,,,,,,,,,,,
,,2019 - 2020,"1,014.00","1,193.00",1.18,98,139,1.42,,,,,,,,,,,,
,,2020 - 2021,"1,572.00","2,058.00",1.31,119,183,1.54,,,,14,26,1.86,,,,,,
,,2021 - 2022,"1,282.00","1,702.00",1.33,68,91,1.34,,,,32,58,1.81,,,,,,
,,2022 - 2023,647,783,1.21,88,120,1.36,,,,12,20,1.67,,,,,,
,4. Bellary,2000 - 2001,"5,338.00","5,730.00",1.07,,,,,,,10,20,2,,,,,,
,,2001 - 2002,"5,844.00","8,087.00",1.38,10,11,1.1,,,,,,,,,,,,
,,2002 - 2003,"6,325.00","2,775.00",0.44,10,16,1.6,,,,14,16,1.14,,,,,,
,,2003 - 2004,"9,896.00","8,075.00",0.82,211,29,0.14,,,,15,18,1.2,,,,,,
,,2004 - 2005,"5,742.00","4,739.00",0.83,8,13,1.63,,,,44,70,1.59,,,,,,
,,2005 - 2006,"6,581.00","5,714.00",0.87,,,,,,,82,179,2.18,,,,,,
,,2006 - 2007,"3,688.00","1,657.00",0.45,,,,,,,84,179,2.13,,,,,,
,,2007 - 2008,"3,766.00","2,700.00",0.72,,,,,,,63,131,2.08,,,,,,
,,2008 - 2009,"3,576.00","1,783.00",0.5,54,79,1.46,,,,69,137,1.99,,,,,,
,,2009 - 2010,"3,356.00","1,082.00",0.32,25,35,1.4,,,,68,128,1.88,,,,,,
,,2010 - 2011,"5,966.00","3,606.00",0.6,,,,,,,38,74,1.95,,,,,,
,,2011 - 2012,"3,580.00","2,472.00",0.69,13,24,1.85,,,,149,287,1.93,,,,,,
,,2012 - 2013,"4,102.00","2,015.00",0.49,6,9,1.5,,,,66,99,1.5,,,,,,
,,2013 - 2014,"3,525.00","2,548.00",0.72,149,217,1.46,,,,187,367,1.96,,,,,,
,,2014 - 2015,"2,897.00","2,042.00",0.7,67,109,1.63,,,,189,337,1.78,,,,,,
,,2015 - 2016,"2,897.00","1,671.00",0.58,10,17,1.7,,,,227,388,1.71,,,,,,
,,2016 - 2017,"1,988.00","2,081.00",1.05,312,323,1.04,,,,79,143,1.81,,,,,,
,,2017 - 2018,"10,039.00","13,590.00",1.35,281,450,1.6,,,,682,"1,185.00",1.74,,,,,,
,,2018 - 2019,"8,823.00","6,529.00",0.74,"2,610.00","4,066.00",1.56,,,,684,"1,230.00",1.8,,,,,,
,,2019 - 2020,"11,189.00","13,521.00",1.21,"7,677.00","10,422.00",1.36,,,,875,"1,145.00",1.31,,,,,,
,,2020 - 2021,"10,831.00","14,394.00",1.33,"11,785.00","20,553.00",1.74,,,,954,"1,580.00",1.66,,,,,,
,,2021 - 2022,"14,152.00","15,497.00",1.1,"19,559.00","28,673.00",1.47,,,,"2,798.00","4,272.00",1.53,,,,,,
,,2022 - 2023,832,456,0.55,"1,322.00","1,795.00",1.36,,,,218,374,1.72,,,,,,
,5. Bengaluru urban,2000 - 2001,"47,486.00","1,10,132.00",2.32,175,272,1.55,,,,362,718,1.98,,,,,,
,,2001 - 2002,"47,618.00","1,11,399.00",2.34,152,208,1.37,,,,179,274,1.53,,,,,,
,,2002 - 2003,"32,037.00","34,515.00",1.08,349,548,1.57,,,,146,168,1.15,,,,,,
,,2003 - 2004,"41,685.00","74,079.00",1.78,133,122,0.92,,,,78,93,1.19,,,,,,
,,2004 - 2005,"38,343.00","1,11,793.00",2.92,43,71,1.65,,,,68,108,1.59,,,,,,
,,2005 - 2006,"35,909.00","87,909.00",2.45,54,157,2.91,,,,140,306,2.19,,,,,,
,,2006 - 2007,"23,136.00","23,258.00",1.01,150,299,1.99,,,,246,523,2.13,,,,,,
,,2007 - 2008,"28,075.00","69,342.00",2.47,147,318,2.16,,,,123,256,2.08,,,,,,
,,2008 - 2009,"24,839.00","60,948.00",2.45,142,297,2.09,,,,97,193,1.99,,,,,,
,,2009 - 2010,"23,922.00","53,746.00",2.25,87,204,2.34,,,,82,154,1.88,,,,,,
,,2010 - 2011,"24,063.00","62,049.00",2.58,80,166,2.08,,,,113,221,1.96,,,,,,
,,2011 - 2012,"24,419.00","70,059.00",2.87,122,245,2.01,,,,110,212,1.93,,,,,,
,,2012 - 2013,"22,457.00","49,517.00",2.2,43,62,1.44,,,,95,142,1.49,,,,,,
,,2013 - 2014,"23,157.00","72,993.00",3.15,104,152,1.46,,,,72,141,1.96,,,,,,
,,2014 - 2015,"23,792.00","66,654.00",2.8,116,188,1.62,,,,34,61,1.79,,,,,,
,,2015 - 2016,"19,670.00","44,362.00",2.26,19,32,1.68,,,,32,55,1.72,,,,,,
,,2016 - 2017,"15,767.00","7,624.00",0.48,164,170,1.04,,,,63,114,1.81,,,,,,
,,2017 - 2018,"14,268.00","26,309.00",1.84,132,211,1.6,,,,49,85,1.73,,,,,,
,,2018 - 2019,"10,611.00","16,905.00",1.59,30,42,1.4,,,,20,36,1.8,,,,,,
,,2019 - 2020,"18,380.00","37,628.00",2.05,376,533,1.42,,,,8,14,1.75,,,,,,
,,2020 - 2021,"17,214.00","42,174.00",2.45,158,244,1.54,,,,3,6,2,,,,,,
,,2021 - 2022,"17,822.00","30,351.00",1.7,112,151,1.35,,,,10,18,1.8,,,,,,
,,2022 - 2023,"14,823.00","26,799.00",1.81,428,582,1.36,,,,,,,,,,,,
,6. Bidar,2018 - 2019,12,14,1.17,,,,,,,,,,,,,,,
,,2019 - 2020,36,63,1.75,24,34,1.42,,,,,,,,,,,,
,,2020 - 2021,75,132,1.76,21,32,1.52,,,,,,,,,,,,
,,2021 - 2022,48,63,1.31,17,22,1.29,,,,4,7,1.75,,,,,,
,,2022 - 2023,5,7,1.4,,,,,,,,,,,,,,,
,7. Bijapur,2018 - 2019,76,91,1.2,,,,,,,,,,,,,,,
,,2019 - 2020,110,192,1.75,89,126,1.42,,,,,,,,,,,,
,,2020 - 2021,56,99,1.77,120,185,1.54,,,,,,,,,,,,
,,2021 - 2022,53,70,1.32,86,116,1.35,,,,,,,,,,,,
,,2022 - 2023,49,70,1.43,64,87,1.36,,,,,,,,,,,,
,8. Chamarajanagar,2000 - 2001,"22,084.00","34,312.00",1.55,105,163,1.55,,,,708,"1,375.00",1.94,,,,,,
,,2001 - 2002,"23,850.00","38,708.00",1.62,"2,845.00","3,325.00",1.17,,,,900,"1,587.00",1.76,,,,,,
,,2002 - 2003,"21,653.00","28,460.00",1.31,"1,167.00","1,833.00",1.57,,,,866,994,1.15,,,,,,
,,2003 - 2004,"24,133.00","15,275.00",0.63,"1,934.00","1,509.00",0.78,,,,"1,023.00","1,217.00",1.19,,,,,,
,,2004 - 2005,"21,159.00","30,615.00",1.45,546,914,1.67,,,,505,804,1.59,,,,,,
,,2005 - 2006,"22,081.00","29,367.00",1.33,514,"1,417.00",2.76,,,,608,"1,030.00",1.69,,,,,,
,,2006 - 2007,"17,051.00","21,483.00",1.26,232,336,1.45,,,,403,569,1.41,,,,,,
,,2007 - 2008,"17,971.00","15,532.00",0.86,690,"1,102.00",1.6,,,,350,603,1.72,,,,,,
,,2008 - 2009,"19,005.00","21,709.00",1.14,660,823,1.25,,,,612,"1,398.00",2.28,,,,,,
,,2009 - 2010,"16,847.00","22,129.00",1.31,611,972,1.59,,,,344,356,1.03,,,,,,
,,2010 - 2011,"17,749.00","22,259.00",1.25,228,213,0.93,,,,463,731,1.58,,,,,,
,,2011 - 2012,"16,470.00","19,499.00",1.18,419,717,1.71,,,,141,412,2.92,,,,,,
,,2012 - 2013,"8,117.00","10,395.00",1.28,"4,861.00","9,707.00",2,,,,267,689,2.58,,,,,,
,,2013 - 2014,"13,801.00","22,997.00",1.67,281,530,1.89,,,,356,881,2.47,,,,,,
,,2014 - 2015,"15,415.00","23,812.00",1.54,120,208,1.73,,,,55,76,1.38,,,,,,
,,2015 - 2016,"15,768.00","28,341.00",1.8,115,194,1.69,,,,33,75,2.27,,,,,,
,,2016 - 2017,"5,236.00","3,318.00",0.63,307,408,1.33,,,,347,931,2.68,,,,,,
,,2017 - 2018,"20,062.00","48,314.00",2.41,270,800,2.96,,,,233,583,2.5,,,,,,
,,2018 - 2019,"8,681.00","13,319.00",1.53,285,396,1.39,,,,95,218,2.29,,,,,,
,,2019 - 2020,"5,081.00","10,055.00",1.98,438,621,1.42,,,,91,219,2.41,,,,,,
,,2020 - 2021,"8,733.00","15,510.00",1.78,38,59,1.55,,,,234,495,2.12,,,,,,
,,2021 - 2022,"6,758.00","8,576.00",1.27,133,180,1.35,,,,91,178,1.96,,,,,,
,,2022 - 2023,"3,945.00","5,538.00",1.4,42,57,1.36,,,,68,133,1.96,,,,,,
,9. Chikballapur,2007 - 2008,"37,310.00","52,440.00",1.41,44,95,2.16,,,,238,494,2.08,,,,,,
,,2008 - 2009,"40,071.00","72,005.00",1.8,59,123,2.08,,,,144,286,1.99,,,,,,
,,2009 - 2010,"45,842.00","49,654.00",1.08,56,131,2.34,,,,82,154,1.88,,,,,,
,,2010 - 2011,"41,306.00","83,787.00",2.03,226,468,2.07,,,,57,112,1.96,,,,,,
,,2011 - 2012,"38,478.00","72,066.00",1.87,22,44,2,,,,208,401,1.93,,,,,,
,,2012 - 2013,"47,375.00","94,558.00",2,140,202,1.44,,,,139,208,1.5,,,,,,
,,2013 - 2014,"47,760.00","1,05,218.00",2.2,47,69,1.47,,,,10,20,2,,,,,,
,,2014 - 2015,"46,858.00","69,310.00",1.48,53,86,1.62,,,,129,230,1.78,,,,,,
,,2015 - 2016,"46,747.00","84,911.00",1.82,27,46,1.7,,,,172,294,1.71,,,,,,
,,2016 - 2017,"42,562.00","39,625.00",0.93,332,344,1.04,,,,224,405,1.81,,,,,,
,,2017 - 2018,"48,262.00","1,10,404.00",2.29,53,85,1.6,,,,383,665,1.74,,,,,,
,,2018 - 2019,"32,260.00","27,061.00",0.84,34,47,1.38,,,,54,97,1.8,,,,,,
,,2019 - 2020,"44,956.00","91,652.00",2.04,679,962,1.42,,,,173,308,1.78,,,,,,
,,2020 - 2021,"41,898.00","1,02,273.00",2.44,855,"1,318.00",1.54,,,,386,719,1.86,,,,,,
,,2021 - 2022,"39,786.00","61,788.00",1.55,"1,812.00","2,443.00",1.35,,,,"1,629.00","2,937.00",1.8,,,,,,
,,2022 - 2023,"31,223.00","50,862.00",1.63,"1,615.00","2,193.00",1.36,,,,813,"1,400.00",1.72,,,,,,
,10. Chikmagalur,2000 - 2001,"65,128.00","1,16,628.00",1.79,,,,,,,,,,,,,,,
,,2001 - 2002,"61,247.00","87,219.00",1.42,202,227,1.12,,,,,,,,,,,,
,,2002 - 2003,"56,877.00","63,813.00",1.12,885,497,0.56,,,,,,,,,,,,
,,2003 - 2004,"59,855.00","45,376.00",0.76,32,3,0.09,,,,,,,,,,,,
,,2004 - 2005,"57,852.00","1,02,283.00",1.77,40,66,1.65,,,,,,,,,,,,
,,2005 - 2006,"60,684.00","1,05,403.00",1.74,38,110,2.89,,,,,,,,,,,,
,,2006 - 2007,"52,424.00","64,535.00",1.23,34,68,2,,,,,,,,,,,,
,,2007 - 2008,"52,441.00","77,935.00",1.49,22,48,2.18,,,,,,,,,,,,
,,2008 - 2009,"59,297.00","97,399.00",1.64,9,11,1.22,,,,,,,,,,,,
,,2009 - 2010,"52,360.00","89,380.00",1.71,,,,,,,,,,,,,,,
,,2010 - 2011,"52,560.00","93,115.00",1.77,,,,,,,,,,,,,,,
,,2011 - 2012,"39,215.00","48,505.00",1.24,,,,,,,,,,,,,,,
,,2012 - 2013,"38,664.00","37,723.00",0.98,,,,,,,,,,,,,,,
,,2013 - 2014,"38,547.00","41,820.00",1.08,,,,,,,,,,,,,,,
,,2014 - 2015,"44,122.00","52,437.00",1.19,,,,,,,,,,,,,,,
,,2015 - 2016,"43,660.00","60,847.00",1.39,,,,,,,,,,,,,,,
,,2016 - 2017,"41,200.00","24,541.00",0.6,,,,,,,,,,,,,,,
,,2017 - 2018,"52,115.00","71,442.00",1.37,,,,,,,,,,,,,,,
,,2018 - 2019,"26,956.00","32,983.00",1.22,,,,,,,,,,,,,,,
,,2019 - 2020,"33,624.00","43,794.00",1.3,595,843,1.42,,,,3,5,1.67,,,,,,
,,2020 - 2021,"49,970.00","61,163.00",1.22,823,"1,269.00",1.54,,,,,,,,,,,,
,,2021 - 2022,"53,654.00","55,103.00",1.03,921,"1,242.00",1.35,,,,36,65,1.81,,,,,,
,,2022 - 2023,"53,404.00","55,006.00",1.03,"1,373.00","1,865.00",1.36,,,,61,105,1.72,,,,,,
,11. Chitradurga,2000 - 2001,"67,022.00","1,24,206.00",1.85,127,197,1.55,,,,"1,085.00","2,151.00",1.98,,,,,,
,,2001 - 2002,"66,627.00","99,239.00",1.49,474,650,1.37,,,,"1,650.00","2,470.00",1.5,,,,,,
,,2002 - 2003,"59,991.00","62,857.00",1.05,"1,417.00","1,602.00",1.13,,,,"1,174.00","1,347.00",1.15,,,,,,
,,2003 - 2004,"76,547.00","60,243.00",0.79,377,346,0.92,,,,"1,197.00","1,423.00",1.19,,,,,,
,,2004 - 2005,"43,481.00","65,889.00",1.52,431,709,1.65,,,,612,542,0.89,,,,,,
,,2005 - 2006,"53,671.00","69,277.00",1.29,840,"2,439.00",2.9,,,,"1,672.00","3,259.00",1.95,,,,,,
,,2006 - 2007,"35,654.00","35,016.00",0.98,"3,236.00","4,051.00",1.25,,,,"1,622.00","3,454.00",2.13,,,,,,
,,2007 - 2008,"57,318.00","74,608.00",1.3,310,558,1.8,,,,"1,349.00","2,530.00",1.88,,,,,,
,,2008 - 2009,"63,871.00","60,153.00",0.94,549,710,1.29,,,,"1,276.00","1,843.00",1.44,,,,,,
,,2009 - 2010,"47,915.00","64,781.00",1.35,544,947,1.74,,,,"1,577.00","2,455.00",1.56,,,,,,
,,2010 - 2011,"53,001.00","86,967.00",1.64,392,695,1.77,,,,"2,127.00","3,429.00",1.61,,,,,,
,,2011 - 2012,"39,112.00","35,937.00",0.92,431,639,1.48,,,,"1,634.00","2,020.00",1.24,,,,,,
,,2012 - 2013,"45,272.00","51,137.00",1.13,284,366,1.29,,,,"1,613.00","2,283.00",1.42,,,,,,
,,2013 - 2014,"45,995.00","57,896.00",1.26,173,279,1.61,,,,"1,052.00","1,644.00",1.56,,,,,,
,,2014 - 2015,"54,642.00","87,468.00",1.6,567,867,1.53,,,,"1,929.00","2,720.00",1.41,,,,,,
,,2015 - 2016,"45,555.00","72,273.00",1.59,364,752,2.07,,,,"2,163.00","3,380.00",1.56,,,,,,
,,2016 - 2017,"49,749.00","28,451.00",0.57,"2,051.00","4,869.00",2.37,,,,"2,081.00","3,319.00",1.59,,,,,,
,,2017 - 2018,"46,110.00","87,478.00",1.9,"2,249.00","4,779.00",2.12,,,,"1,739.00","2,997.00",1.72,,,,,,
,,2018 - 2019,"19,025.00","18,200.00",0.96,"1,752.00","2,333.00",1.33,,,,809,"1,037.00",1.28,,,,,,
,,2019 - 2020,"38,291.00","54,528.00",1.42,"7,305.00","12,672.00",1.73,,,,866,"1,383.00",1.6,,,,,,
,,2020 - 2021,"37,564.00","59,389.00",1.58,"8,022.00","11,672.00",1.45,,,,"3,309.00","5,804.00",1.75,,,,,,
