State,District,Year,Castor seed,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2007 - 2008,105,47,0.45,,,,,,
,,2008 - 2009,75,34,0.45,,,,,,
,,2009 - 2010,64,29,0.45,,,,,,
,,2010 - 2011,58,26,0.45,,,,,,
,,2011 - 2012,40,22,0.55,,,,,,
,,2012 - 2013,38,22,0.58,,,,,,
,,2013 - 2014,29,16,0.55,,,,,,
,,2014 - 2015,30,19,0.63,,,,,,
,,2015 - 2016,30,21,0.7,,,,,,
,,2016 - 2017,24,11,0.46,,,,,,
,,2017 - 2018,22,10,0.45,,,,,,
,,2018 - 2019,21,12,0.57,,,,,,
,,2019 - 2020,21,13,0.62,,,,,,
,,2020 - 2021,18,11,0.61,,,,,,
,,2021 - 2022,15,9,0.6,,,,,,
,,2022 - 2023,8,5,0.63,,,,,,
,9. Dhubri,2000 - 2001,14,9,0.64,,,,,,
,,2001 - 2002,15,9,0.6,,,,,,
,,2002 - 2003,15,9,0.6,,,,,,
,,2003 - 2004,12,7,0.58,,,,,,
,,2004 - 2005,12,8,0.67,,,,,,
,,2005 - 2006,14,9,0.64,,,,,,
,,2006 - 2007,12,7,0.58,,,,,,
,,2007 - 2008,13,8,0.62,,,,,,
,,2008 - 2009,7,5,0.71,,,,,,
,,2009 - 2010,7,4,0.57,,,,,,
,,2010 - 2011,3,2,0.67,,,,,,
,,2011 - 2012,3,2,0.67,,,,,,
,,2012 - 2013,3,3,1,,,,,,
,,2013 - 2014,3,3,1,,,,,,
,,2014 - 2015,3,3,1,,,,,,
,,2015 - 2016,2,1,0.5,,,,,,
,,2016 - 2017,12,10,0.83,,,,,,
,,2017 - 2018,6,5,0.83,,,,,,
,,2018 - 2019,6,4,0.67,,,,,,
,,2019 - 2020,5,3,0.6,,,,,,
,,2020 - 2021,4,3,0.75,,,,,,
,,2021 - 2022,4,3,0.75,,,,,,
,,2022 - 2023,3,3,1,,,,,,
,10. Dibrugarh,2000 - 2001,29,9,0.31,,,,,,
,,2001 - 2002,32,11,0.34,,,,,,
