State,District,Year,Maize,,,,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Autumn,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,22. Upper siang,2000 - 2001,,,,800,900,1.13,,,,,,,,,,,,
,,2001 - 2002,,,,"8,230.00","9,299.00",1.13,,,,,,,,,,,,
,,2002 - 2003,,,,950,"1,100.00",1.16,,,,,,,,,,,,
,,2003 - 2004,,,,950,"1,100.00",1.16,,,,,,,,,,,,
,,2004 - 2005,,,,"1,152.00","2,305.00",2,,,,,,,,,,,,
,,2005 - 2006,,,,"1,300.00","2,600.00",2,,,,,,,,,,,,
,,2006 - 2007,,,,"1,320.00","2,640.00",2,,,,,,,,,,,,
,,2007 - 2008,,,,"1,320.00","2,020.00",1.53,,,,,,,,,,,,
,,2008 - 2009,,,,"1,320.00","1,584.00",1.2,,,,,,,,,,,,
,,2009 - 2010,,,,"1,320.00","1,502.00",1.14,,,,,,,,,,,,
,,2010 - 2011,,,,"1,320.00","1,502.00",1.14,,,,,,,,,,,,
,,2011 - 2012,,,,"1,362.00","1,590.00",1.17,,,,,,,,,,,,
,,2012 - 2013,,,,"1,510.00","1,781.00",1.18,,,,,,,,,,,,
,,2013 - 2014,,,,"1,535.00","1,845.00",1.2,,,,,,,,,,,,
,,2014 - 2015,,,,"1,600.00","2,147.00",1.34,,,,,,,,,,,,
,,2015 - 2016,,,,"1,645.00","2,218.00",1.35,,,,,,,,,,,,
,,2016 - 2017,,,,"1,720.00","2,229.00",1.3,,,,,,,,,,,,
,,2017 - 2018,,,,"1,745.00","2,317.00",1.33,,,,,,,,,,,,
,,2018 - 2019,,,,"1,754.00","2,354.00",1.34,,,,,,,,,,,,
,,2019 - 2020,,,,"1,758.00","2,407.00",1.37,,,,,,,,,,,,
,,2020 - 2021,,,,"1,760.00","2,451.00",1.39,,,,,,,,,,,,
,,2021 - 2022,,,,"1,811.00","2,556.00",1.41,,,,,,,,,,,,
,,2022 - 2023,,,,"1,824.00","2,577.00",1.41,,,,,,,,,,,,
,23. Upper subansiri,2000 - 2001,,,,995,"2,089.00",2.1,,,,,,,,,,,,
,,2001 - 2002,,,,"4,500.00","5,700.00",1.27,,,,,,,,,,,,
,,2002 - 2003,,,,"1,025.00","1,942.00",1.89,,,,,,,,,,,,
,,2003 - 2004,,,,"1,030.00","1,947.00",1.89,,,,,,,,,,,,
,,2004 - 2005,,,,"1,031.00","1,948.00",1.89,,,,,,,,,,,,
,,2005 - 2006,,,,977,981,1,,,,,,,,,,,,
,,2006 - 2007,,,,969,"1,086.00",1.12,,,,,,,,,,,,
,,2007 - 2008,,,,986,"1,273.00",1.29,,,,,,,,,,,,
,,2008 - 2009,,,,"1,001.00","1,252.00",1.25,,,,,,,,,,,,
,,2009 - 2010,,,,928,"1,160.00",1.25,,,,,,,,,,,,
