State,District,Year,Khesari,,,,,,,,
,,2003 - 2004,"27,353.00","19,992.00",0.73,,,,,,
,,2004 - 2005,"28,085.00","14,453.00",0.51,,,,,,
,,2005 - 2006,"28,008.00","15,417.00",0.55,,,,,,
,,2006 - 2007,"22,209.00","14,932.00",0.67,,,,,,
,,2007 - 2008,"25,766.00","18,478.00",0.72,,,,,,
,,2008 - 2009,"19,671.00","6,209.00",0.32,,,,,,
,,2009 - 2010,"21,954.00","16,926.00",0.77,,,,,,
,,2010 - 2011,"21,045.00","16,548.00",0.79,,,,,,
,,2011 - 2012,"15,784.00","12,197.00",0.77,,,,,,
,,2012 - 2013,"15,493.00","9,012.00",0.58,,,,,,
,,2013 - 2014,"14,240.00","11,205.00",0.79,,,,,,
,,2014 - 2015,"13,312.00","15,184.00",1.14,,,,,,
,,2015 - 2016,"11,109.00","7,072.00",0.64,,,,,,
,,2016 - 2017,"4,485.00","5,229.00",1.17,,,,,,
,,2017 - 2018,696,458,0.66,,,,,,
,,2018 - 2019,40,31,0.78,,,,,,
,,2019 - 2020,29,11,0.38,,,,,,
,,2020 - 2021,30,23,0.77,,,,,,
,,2021 - 2022,14,10,0.71,,,,,,
,,2022 - 2023,18,16,0.89,,,,,,
,12. Jashpur,2000 - 2001,185,75,0.41,,,,,,
,,2001 - 2002,202,90,0.45,,,,,,
,,2002 - 2003,206,102,0.5,,,,,,
,,2003 - 2004,227,118,0.52,,,,,,
,,2004 - 2005,218,86,0.39,,,,,,
,,2005 - 2006,220,76,0.35,,,,,,
,,2006 - 2007,323,169,0.52,,,,,,
,,2007 - 2008,306,126,0.41,,,,,,
,,2008 - 2009,315,57,0.18,,,,,,
,,2009 - 2010,319,159,0.5,,,,,,
,,2010 - 2011,324,171,0.53,,,,,,
,,2011 - 2012,303,132,0.44,,,,,,
,,2012 - 2013,267,113,0.42,,,,,,
,,2013 - 2014,269,129,0.48,,,,,,
,,2014 - 2015,298,254,0.85,,,,,,
,,2015 - 2016,276,134,0.49,,,,,,
,,2016 - 2017,123,221,1.8,,,,,,
,,2017 - 2018,123,52,0.42,,,,,,
,,2018 - 2019,11,6,0.55,,,,,,
,,2019 - 2020,50,10,0.2,,,,,,
,,2020 - 2021,54,28,0.52,,,,,,
,,2021 - 2022,89,42,0.47,,,,,,
,,2022 - 2023,289,137,0.47,,,,,,
,13. Kabirdham,2000 - 2001,"7,950.00","2,053.00",0.26,,,,,,
,,2001 - 2002,"16,416.00","8,083.00",0.49,,,,,,
,,2002 - 2003,"13,794.00","6,649.00",0.48,,,,,,
,,2003 - 2004,"18,399.00","9,128.00",0.5,,,,,,
,,2004 - 2005,"15,817.00","4,973.00",0.31,,,,,,
,,2005 - 2006,"15,439.00","5,150.00",0.33,,,,,,
,,2006 - 2007,"12,630.00","4,980.00",0.39,,,,,,
,,2007 - 2008,"11,055.00","4,804.00",0.43,,,,,,
,,2008 - 2009,"7,738.00","1,480.00",0.19,,,,,,
,,2009 - 2010,"6,308.00","2,501.00",0.4,,,,,,
,,2010 - 2011,"5,751.00","2,940.00",0.51,,,,,,
,,2011 - 2012,"5,020.00","2,522.00",0.5,,,,,,
,,2012 - 2013,"4,470.00",8,0,,,,,,
,,2013 - 2014,"2,629.00","1,025.00",0.39,,,,,,
,,2014 - 2015,"4,960.00","3,596.00",0.73,,,,,,
,,2015 - 2016,"4,831.00","1,706.00",0.35,,,,,,
,,2016 - 2017,"2,113.00","4,198.00",1.99,,,,,,
,,2017 - 2018,"4,244.00","1,638.00",0.39,,,,,,
,,2018 - 2019,"4,690.00","1,686.00",0.36,,,,,,
,,2019 - 2020,"6,768.00","1,272.00",0.19,,,,,,
,,2020 - 2021,"8,927.00","3,355.00",0.38,,,,,,
,,2021 - 2022,"9,984.00","4,042.00",0.4,,,,,,
,,2022 - 2023,"10,681.00","5,764.00",0.54,,,,,,
,14. Kanker,2000 - 2001,"1,444.00",777,0.54,,,,,,
,,2001 - 2002,"2,052.00","1,789.00",0.87,,,,,,
,,2002 - 2003,"1,071.00",561,0.52,,,,,,
,,2003 - 2004,"1,629.00","1,558.00",0.96,,,,,,
,,2004 - 2005,"1,806.00","1,187.00",0.66,,,,,,
,,2005 - 2006,"1,850.00","1,167.00",0.63,,,,,,
,,2006 - 2007,"1,776.00","1,323.00",0.74,,,,,,
,,2007 - 2008,"1,855.00","1,524.00",0.82,,,,,,
,,2008 - 2009,"1,855.00",671,0.36,,,,,,
,,2009 - 2010,"1,855.00","1,486.00",0.8,,,,,,
,,2010 - 2011,"1,520.00","1,449.00",0.95,,,,,,
,,2011 - 2012,"1,399.00","1,210.00",0.86,,,,,,
,,2012 - 2013,"1,365.00",917,0.67,,,,,,
,,2013 - 2014,"1,240.00",864,0.7,,,,,,
,,2014 - 2015,"1,225.00","1,530.00",1.25,,,,,,
,,2015 - 2016,"1,141.00",694,0.61,,,,,,
,,2016 - 2017,890,942,1.06,,,,,,
,,2017 - 2018,785,483,0.62,,,,,,
,,2018 - 2019,554,405,0.73,,,,,,
,,2019 - 2020,408,122,0.3,,,,,,
,,2020 - 2021,192,151,0.79,,,,,,
,,2021 - 2022,112,64,0.57,,,,,,
,,2022 - 2023,84,70,0.83,,,,,,
,15. Khairgarh chhuikhadan gandai,2022 - 2023,897,473,0.53,,,,,,
,16. Kondagaon,2011 - 2012,28,22,0.79,,,,,,
,,2012 - 2013,13,7,0.54,,,,,,
,,2013 - 2014,9,6,0.67,,,,,,
,,2014 - 2015,9,10,1.11,,,,,,
,,2015 - 2016,8,4,0.5,,,,,,
,,2016 - 2017,11,13,1.18,,,,,,
,,2017 - 2018,13,8,0.62,,,,,,
,,2018 - 2019,10,9,0.9,,,,,,
,,2019 - 2020,3,1,0.33,,,,,,
,,2020 - 2021,4,3,0.75,,,,,,
,,2021 - 2022,17,9,0.53,,,,,,
,,2022 - 2023,19,16,0.84,,,,,,
,17. Korba,2000 - 2001,"1,707.00",900,0.53,,,,,,
,,2001 - 2002,"2,679.00","1,733.00",0.65,,,,,,
,,2002 - 2003,"2,126.00","1,258.00",0.59,,,,,,
,,2003 - 2004,"2,463.00","1,499.00",0.61,,,,,,
,,2004 - 2005,"2,366.00",975,0.41,,,,,,
,,2005 - 2006,"2,965.00","1,632.00",0.55,,,,,,
,,2006 - 2007,"2,927.00","1,493.00",0.51,,,,,,
,,2007 - 2008,"2,923.00","1,571.00",0.54,,,,,,
,,2008 - 2009,"2,885.00",683,0.24,,,,,,
,,2009 - 2010,"2,931.00","1,646.00",0.56,,,,,,
,,2010 - 2011,"2,818.00","2,001.00",0.71,,,,,,
,,2011 - 2012,"2,791.00","1,522.00",0.55,,,,,,
,,2012 - 2013,"2,761.00","1,451.00",0.53,,,,,,
,,2013 - 2014,"2,725.00","1,383.00",0.51,,,,,,
,,2014 - 2015,"2,790.00","2,876.00",1.03,,,,,,
,,2015 - 2016,"2,556.00","1,017.00",0.4,,,,,,
,,2016 - 2017,"1,061.00","1,485.00",1.4,,,,,,
,,2017 - 2018,975,535,0.55,,,,,,
,,2018 - 2019,663,423,0.64,,,,,,
,,2019 - 2020,298,77,0.26,,,,,,
,,2020 - 2021,244,148,0.61,,,,,,
,,2021 - 2022,233,118,0.51,,,,,,
,,2022 - 2023,113,72,0.64,,,,,,
,18. Korea,2000 - 2001,422,188,0.45,,,,,,
,,2001 - 2002,480,257,0.54,,,,,,
,,2002 - 2003,337,119,0.35,,,,,,
,,2003 - 2004,478,238,0.5,,,,,,
,,2004 - 2005,468,154,0.33,,,,,,
,,2005 - 2006,542,186,0.34,,,,,,
,,2006 - 2007,522,224,0.43,,,,,,
,,2007 - 2008,471,197,0.42,,,,,,
,,2008 - 2009,550,102,0.19,,,,,,
,,2009 - 2010,503,205,0.41,,,,,,
,,2010 - 2011,384,191,0.5,,,,,,
,,2011 - 2012,382,164,0.43,,,,,,
,,2012 - 2013,381,157,0.41,,,,,,
,,2013 - 2014,398,160,0.4,,,,,,
,,2014 - 2015,370,325,0.88,,,,,,
,,2015 - 2016,279,100,0.36,,,,,,
,,2016 - 2017,193,330,1.71,,,,,,
,,2017 - 2018,263,94,0.36,,,,,,
,,2018 - 2019,205,86,0.42,,,,,,
,,2019 - 2020,216,48,0.22,,,,,,
,,2020 - 2021,150,66,0.44,,,,,,
,,2021 - 2022,141,52,0.37,,,,,,
,,2022 - 2023,111,56,0.5,,,,,,
,19. Mahasamund,2000 - 2001,"2,418.00","1,090.00",0.45,,,,,,
,,2001 - 2002,"7,661.00","4,360.00",0.57,,,,,,
,,2002 - 2003,"6,130.00","3,101.00",0.51,,,,,,
,,2003 - 2004,"9,447.00","5,902.00",0.62,,,,,,
,,2004 - 2005,"9,533.00","3,773.00",0.4,,,,,,
,,2005 - 2006,"9,964.00","3,906.00",0.39,,,,,,
,,2006 - 2007,"9,583.00","4,974.00",0.52,,,,,,
,,2007 - 2008,"8,884.00","4,900.00",0.55,,,,,,
,,2008 - 2009,"7,414.00","1,800.00",0.24,,,,,,
,,2009 - 2010,"7,018.00","3,951.00",0.56,,,,,,
,,2010 - 2011,"5,940.00","3,060.00",0.52,,,,,,
,,2011 - 2012,"4,947.00","2,355.00",0.48,,,,,,
,,2012 - 2013,"5,080.00","2,079.00",0.41,,,,,,
,,2013 - 2014,"4,905.00","2,775.00",0.57,,,,,,
,,2014 - 2015,"4,821.00","4,612.00",0.96,,,,,,
,,2015 - 2016,"4,019.00","1,981.00",0.49,,,,,,
,,2016 - 2017,"2,039.00","3,070.00",1.51,,,,,,
,,2017 - 2018,"1,462.00",620,0.42,,,,,,
,,2018 - 2019,973,577,0.59,,,,,,
,,2019 - 2020,935,205,0.22,,,,,,
,,2020 - 2021,284,168,0.59,,,,,,
,,2021 - 2022,143,71,0.5,,,,,,
,,2022 - 2023,57,34,0.6,,,,,,
,20. Manendragarh chirimiri bharatpur,2022 - 2023,23,12,0.52,,,,,,
,21. Mohla manpur ambagarh chouki,2022 - 2023,"5,861.00","3,089.00",0.53,,,,,,
,22. Mungeli,2011 - 2012,"62,697.00","48,452.00",0.77,,,,,,
,,2012 - 2013,"62,985.00","35,456.00",0.56,,,,,,
,,2013 - 2014,"63,115.00","42,569.00",0.67,,,,,,
,,2014 - 2015,"96,725.00","75,108.00",0.78,,,,,,
,,2015 - 2016,"65,054.00","72,646.00",1.12,,,,,,
,,2016 - 2017,"88,599.00","63,408.00",0.72,,,,,,
,,2017 - 2018,"63,521.00","54,471.00",0.86,,,,,,
,,2018 - 2019,"56,188.00","56,058.00",1,,,,,,
,,2019 - 2020,"64,198.00","32,710.00",0.51,,,,,,
,,2020 - 2021,"59,767.00","59,211.00",0.99,,,,,,
,,2021 - 2022,"58,211.00","48,153.00",0.83,,,,,,
,,2022 - 2023,"54,600.00","63,885.00",1.17,,,,,,
,23. Narayanpur,2008 - 2009,1,1,1,,,,,,
,,2010 - 2011,30,14,0.47,,,,,,
,,2013 - 2014,9,6,0.67,,,,,,
,,2014 - 2015,1,,0,,,,,,
,,2015 - 2016,1,,0,,,,,,
,,2016 - 2017,1,1,1,,,,,,
,,2017 - 2018,1,1,1,,,,,,
,,2018 - 2019,4,3,0.75,,,,,,
,,2020 - 2021,2,1,0.5,,,,,,
,,2021 - 2022,3,3,1,,,,,,
,,2022 - 2023,1,1,1,,,,,,
,24. Raigarh,2000 - 2001,"1,779.00",779,0.44,,,,,,
,,2001 - 2002,"1,956.00",834,0.43,,,,,,
,,2002 - 2003,"2,750.00","1,407.00",0.51,,,,,,
,,2003 - 2004,"3,934.00","2,262.00",0.57,,,,,,
,,2004 - 2005,"2,981.00","1,202.00",0.4,,,,,,
,,2005 - 2006,"3,168.00","1,348.00",0.43,,,,,,
,,2006 - 2007,"3,127.00","1,709.00",0.55,,,,,,
,,2007 - 2008,"3,160.00","1,814.00",0.57,,,,,,
,,2008 - 2009,"2,965.00",749,0.25,,,,,,
,,2009 - 2010,"2,069.00",935,0.45,,,,,,
,,2010 - 2011,"2,144.00","1,187.00",0.55,,,,,,
,,2011 - 2012,"1,618.00",772,0.48,,,,,,
,,2012 - 2013,"1,509.00",695,0.46,,,,,,
,,2013 - 2014,"1,415.00",880,0.62,,,,,,
,,2014 - 2015,"1,472.00","1,503.00",1.02,,,,,,
,,2015 - 2016,"1,058.00",557,0.53,,,,,,
,,2016 - 2017,609,898,1.47,,,,,,
,,2017 - 2018,827,430,0.52,,,,,,
,,2018 - 2019,350,185,0.53,,,,,,
,,2019 - 2020,436,104,0.24,,,,,,
,,2020 - 2021,189,131,0.69,,,,,,
,,2021 - 2022,352,195,0.55,,,,,,
,,2022 - 2023,350,205,0.59,,,,,,
,25. Raipur,2000 - 2001,"29,521.00","11,003.00",0.37,,,,,,
,,2001 - 2002,"76,172.00","43,344.00",0.57,,,,,,
,,2002 - 2003,"50,473.00","26,037.00",0.52,,,,,,
,,2003 - 2004,"83,166.00","50,211.00",0.6,,,,,,
,,2004 - 2005,"78,797.00","29,800.00",0.38,,,,,,
,,2005 - 2006,"85,215.00","35,688.00",0.42,,,,,,
,,2006 - 2007,"79,988.00","39,287.00",0.49,,,,,,
,,2007 - 2008,"78,714.00","42,609.00",0.54,,,,,,
,,2008 - 2009,"75,514.00","17,993.00",0.24,,,,,,
,,2009 - 2010,"65,974.00","39,695.00",0.6,,,,,,
,,2010 - 2011,"64,453.00","34,486.00",0.54,,,,,,
,,2011 - 2012,"23,082.00","10,564.00",0.46,,,,,,
,,2012 - 2013,"18,359.00","9,029.00",0.49,,,,,,
,,2013 - 2014,"16,418.00","8,930.00",0.54,,,,,,
,,2014 - 2015,"16,080.00","17,255.00",1.07,,,,,,
,,2015 - 2016,"16,417.00","9,076.00",0.55,,,,,,
,,2016 - 2017,"13,476.00","16,885.00",1.25,,,,,,
,,2017 - 2018,"13,556.00","7,193.00",0.53,,,,,,
,,2018 - 2019,"10,632.00","6,566.00",0.62,,,,,,
,,2019 - 2020,"11,102.00","2,567.00",0.23,,,,,,
,,2020 - 2021,"9,273.00","6,184.00",0.67,,,,,,
,,2021 - 2022,"5,657.00","3,674.00",0.65,,,,,,
,,2022 - 2023,"3,566.00","2,409.00",0.68,,,,,,
,26. Rajnandgaon,2000 - 2001,"49,659.00","18,682.00",0.38,,,,,,
,,2001 - 2002,"55,897.00","25,716.00",0.46,,,,,,
,,2002 - 2003,"49,798.00","20,575.00",0.41,,,,,,
,,2003 - 2004,"58,185.00","28,350.00",0.49,,,,,,
,,2004 - 2005,"52,696.00","19,328.00",0.37,,,,,,
,,2005 - 2006,"56,460.00","21,472.00",0.38,,,,,,
,,2006 - 2007,"54,323.00","23,565.00",0.43,,,,,,
,,2007 - 2008,"52,894.00","25,288.00",0.48,,,,,,
,,2008 - 2009,"46,123.00","9,706.00",0.21,,,,,,
,,2009 - 2010,"38,206.00","14,804.00",0.39,,,,,,
,,2010 - 2011,"38,186.00","19,069.00",0.5,,,,,,
,,2011 - 2012,"36,572.00","17,949.00",0.49,,,,,,
,,2012 - 2013,"33,729.00","12,861.00",0.38,,,,,,
,,2013 - 2014,"31,229.00","11,890.00",0.38,,,,,,
,,2014 - 2015,"28,157.00","21,757.00",0.77,,,,,,
,,2015 - 2016,"19,604.00","7,803.00",0.4,,,,,,
,,2016 - 2017,"16,304.00","28,059.00",1.72,,,,,,
,,2017 - 2018,"18,439.00","8,851.00",0.48,,,,,,
,,2018 - 2019,"22,507.00","10,621.00",0.47,,,,,,
,,2019 - 2020,"22,570.00","4,384.00",0.19,,,,,,
,,2020 - 2021,"21,304.00","12,312.00",0.58,,,,,,
,,2021 - 2022,"23,617.00","11,396.00",0.48,,,,,,
,,2022 - 2023,"14,349.00","7,562.00",0.53,,,,,,
,27. Sarangarh bilaigarh,2022 - 2023,20,12,0.6,,,,,,
,28. Surajpur,2011 - 2012,361,176,0.49,,,,,,
,,2012 - 2013,358,164,0.46,,,,,,
,,2013 - 2014,343,197,0.57,,,,,,
,,2014 - 2015,331,309,0.93,,,,,,
,,2015 - 2016,331,130,0.39,,,,,,
,,2016 - 2017,221,302,1.37,,,,,,
,,2017 - 2018,342,164,0.48,,,,,,
,,2018 - 2019,222,132,0.59,,,,,,
,,2019 - 2020,180,50,0.28,,,,,,
,,2020 - 2021,175,121,0.69,,,,,,
,,2021 - 2022,163,95,0.58,,,,,,
,,2022 - 2023,103,59,0.57,,,,,,
,29. Surguja,2000 - 2001,371,155,0.42,,,,,,
,,2001 - 2002,433,209,0.48,,,,,,
,,2002 - 2003,413,230,0.56,,,,,,
,,2003 - 2004,411,223,0.54,,,,,,
,,2004 - 2005,448,206,0.46,,,,,,
,,2005 - 2006,193,77,0.4,,,,,,
,,2006 - 2007,423,184,0.43,,,,,,
,,2007 - 2008,249,113,0.45,,,,,,
,,2008 - 2009,438,88,0.2,,,,,,
,,2009 - 2010,452,204,0.45,,,,,,
,,2010 - 2011,382,237,0.62,,,,,,
,,2011 - 2012,8,4,0.5,,,,,,
,,2012 - 2013,12,6,0.5,,,,,,
,,2013 - 2014,4,3,0.75,,,,,,
,,2014 - 2015,13,14,1.08,,,,,,
,,2015 - 2016,12,2,0.17,,,,,,
,,2017 - 2018,4,2,0.5,,,,,,
,,2019 - 2020,16,6,0.38,,,,,,
,,2020 - 2021,11,8,0.73,,,,,,
,,2021 - 2022,11,9,0.82,,,,,,
,,2022 - 2023,11,6,0.55,,,,,,
3. Madhya Pradesh,1. Anuppur,2006 - 2007,163,69,0.42,,,,,,
,,2007 - 2008,150,47,0.31,,,,,,
,,2008 - 2009,177,65,0.37,,,,,,
,,2009 - 2010,,,,185,65,0.35,,,
,,2010 - 2011,179,41,0.23,,,,,,
,,2011 - 2012,206,78,0.38,,,,,,
,,2012 - 2013,285,141,0.49,,,,,,
,,2013 - 2014,305,118,0.39,,,,,,
,2. Ashoknagar,2006 - 2007,99,114,1.15,,,,,,
,,2007 - 2008,113,86,0.76,,,,,,
,,2008 - 2009,192,198,1.03,,,,,,
,,2009 - 2010,,,,275,257,0.93,,,
,,2010 - 2011,251,156,0.62,,,,,,
,,2011 - 2012,346,419,1.21,,,,,,
,,2012 - 2013,472,674,1.43,,,,,,
,,2013 - 2014,515,426,0.83,,,,,,
,3. Balaghat,2006 - 2007,"11,216.00","6,089.00",0.54,,,,,,
,,2007 - 2008,"11,902.00","5,136.00",0.43,,,,,,
,,2008 - 2009,"12,216.00","6,388.00",0.52,,,,,,
,,2009 - 2010,,,,"12,777.00","6,993.00",0.55,,,
,,2010 - 2011,"11,077.00","5,508.00",0.5,,,,,,
,,2011 - 2012,"10,737.00","6,666.00",0.62,,,,,,
,,2012 - 2013,"10,709.00","8,474.00",0.79,,,,,,
,,2013 - 2014,"10,706.00","5,270.00",0.49,,,,,,
,4. Betul,2006 - 2007,19,10,0.53,,,,,,
,,2007 - 2008,271,90,0.33,,,,,,
,,2008 - 2009,297,165,0.56,,,,,,
,,2009 - 2010,,,,67,35,0.52,,,
,,2010 - 2011,87,37,0.43,,,,,,
,,2011 - 2012,38,21,0.55,,,,,,
,,2012 - 2013,41,35,0.85,,,,,,
,,2013 - 2014,109,38,0.35,,,,,,
,5. Bhind,2013 - 2014,86,43,0.5,,,,,,
,6. Bhopal,2006 - 2007,204,154,0.75,,,,,,
,,2007 - 2008,297,183,0.62,,,,,,
,,2008 - 2009,370,285,0.77,,,,,,
,,2009 - 2010,,,,324,240,0.74,,,
,,2010 - 2011,343,159,0.46,,,,,,
,,2011 - 2012,314,273,0.87,,,,,,
,,2012 - 2013,331,399,1.21,,,,,,
,,2013 - 2014,241,202,0.84,,,,,,
,7. Burhanpur,2012 - 2013,17,12,0.71,,,,,,
,8. Chhatarpur,2006 - 2007,46,33,0.72,,,,,,
,,2007 - 2008,43,17,0.4,,,,,,
,,2010 - 2011,20,8,0.4,,,,,,
,,2011 - 2012,23,10,0.43,,,,,,
,,2012 - 2013,18,7,0.39,,,,,,
,9. Chhindwara,2006 - 2007,119,78,0.66,,,,,,
,,2007 - 2008,147,88,0.6,,,,,,
,,2008 - 2009,99,61,0.62,,,,,,
,,2009 - 2010,,,,89,57,0.64,,,
,,2010 - 2011,236,142,0.6,,,,,,
,,2011 - 2012,222,198,0.89,,,,,,
,,2012 - 2013,202,183,0.91,,,,,,
,,2013 - 2014,36,23,0.64,,,,,,
,10. Damoh,2006 - 2007,121,69,0.57,,,,,,
,,2007 - 2008,109,49,0.45,,,,,,
,,2008 - 2009,173,139,0.8,,,,,,
,,2009 - 2010,,,,128,99,0.77,,,
,,2010 - 2011,56,36,0.64,,,,,,
,,2011 - 2012,"1,591.00","1,438.00",0.9,,,,,,
,,2012 - 2013,46,39,0.85,,,,,,
,,2013 - 2014,6,4,0.67,,,,,,
,11. Datia,2009 - 2010,,,,412,154,0.37,,,
,,2010 - 2011,131,40,0.31,,,,,,
,,2012 - 2013,228,139,0.61,,,,,,
,12. Dewas,2006 - 2007,3,1,0.33,,,,,,
,,2007 - 2008,2,1,0.5,,,,,,
,,2008 - 2009,2,1,0.5,,,,,,
,,2009 - 2010,,,,2,1,0.5,,,
,13. Dhar,2006 - 2007,"1,254.00","1,014.00",0.81,,,,,,
,,2007 - 2008,"1,160.00",693,0.6,,,,,,
,,2008 - 2009,711,499,0.7,,,,,,
,,2009 - 2010,,,,492,329,0.67,,,
,,2010 - 2011,342,204,0.6,,,,,,
,,2011 - 2012,171,203,1.19,,,,,,
,,2012 - 2013,25,26,1.04,,,,,,
,,2013 - 2014,13,13,1,,,,,,
,14. Dindori,2006 - 2007,145,69,0.48,,,,,,
,,2007 - 2008,94,32,0.34,,,,,,
,,2008 - 2009,108,48,0.44,,,,,,
,,2009 - 2010,,,,101,43,0.43,,,
,,2010 - 2011,126,37,0.29,,,,,,
,,2011 - 2012,56,20,0.36,,,,,,
,,2012 - 2013,63,22,0.35,,,,,,
,,2013 - 2014,69,34,0.49,,,,,,
,15. Guna,2011 - 2012,4,4,1,,,,,,
,16. Harda,2006 - 2007,12,12,1,,,,,,
,,2007 - 2008,39,22,0.56,,,,,,
,,2009 - 2010,,,,19,16,0.84,,,
,,2010 - 2011,12,11,0.92,,,,,,
,,2011 - 2012,11,16,1.45,,,,,,
,,2012 - 2013,15,15,1,,,,,,
,,2013 - 2014,10,5,0.5,,,,,,
,17. Hoshangabad,2006 - 2007,152,114,0.75,,,,,,
,,2007 - 2008,229,130,0.57,,,,,,
,,2008 - 2009,276,193,0.7,,,,,,
,,2009 - 2010,,,,188,126,0.67,,,
,,2010 - 2011,100,65,0.65,,,,,,
,,2011 - 2012,43,35,0.81,,,,,,
,,2012 - 2013,31,28,0.9,,,,,,
,,2013 - 2014,13,7,0.54,,,,,,
,18. Indore,2006 - 2007,12,13,1.08,,,,,,
,,2007 - 2008,47,41,0.87,,,,,,
,,2008 - 2009,26,28,1.08,,,,,,
,,2009 - 2010,,,,30,28,0.93,,,
,,2010 - 2011,32,24,0.75,,,,,,
,,2011 - 2012,4,4,1,,,,,,
,,2013 - 2014,3,3,1,,,,,,
,19. Jabalpur,2006 - 2007,39,40,1.03,,,,,,
,,2007 - 2008,41,20,0.49,,,,,,
,,2008 - 2009,11,11,1,,,,,,
,,2009 - 2010,,,,14,10,0.71,,,
,,2010 - 2011,20,15,0.75,,,,,,
,,2011 - 2012,14,13,0.93,,,,,,
,,2012 - 2013,13,15,1.15,,,,,,
,,2013 - 2014,13,12,0.92,,,,,,
,20. Katni,2006 - 2007,23,10,0.43,,,,,,
,,2007 - 2008,16,6,0.38,,,,,,
,,2008 - 2009,32,20,0.63,,,,,,
,,2009 - 2010,,,,18,10,0.56,,,
,,2010 - 2011,22,7,0.32,,,,,,
,,2011 - 2012,2,1,0.5,,,,,,
,,2012 - 2013,1,1,1,,,,,,
,,2013 - 2014,3,2,0.67,,,,,,
,21. Khandwa,2006 - 2007,3,1,0.33,,,,,,
,,2007 - 2008,1,,0,,,,,,
,,2008 - 2009,2,1,0.5,,,,,,
,,2009 - 2010,,,,2,1,0.5,,,
,,2010 - 2011,1,,0,,,,,,
,,2011 - 2012,5,3,0.6,,,,,,
,,2012 - 2013,2,1,0.5,,,,,,
,22. Mandla,2006 - 2007,"1,545.00",832,0.54,,,,,,
,,2007 - 2008,"1,715.00",734,0.43,,,,,,
,,2008 - 2009,"1,603.00",831,0.52,,,,,,
,,2009 - 2010,,,,"1,513.00",707,0.47,,,
,,2010 - 2011,"2,254.00",813,0.36,,,,,,
,,2011 - 2012,"3,080.00","1,413.00",0.46,,,,,,
,,2012 - 2013,"2,308.00","1,304.00",0.56,,,,,,
,,2013 - 2014,"1,744.00","1,215.00",0.7,,,,,,
,23. Narsinghpur,2006 - 2007,815,"1,071.00",1.31,,,,,,
,,2007 - 2008,681,601,0.88,,,,,,
,,2008 - 2009,329,351,1.07,,,,,,
,,2009 - 2010,,,,632,728,1.15,,,
,,2010 - 2011,448,462,1.03,,,,,,
,,2011 - 2012,381,505,1.33,,,,,,
,,2012 - 2013,434,695,1.6,,,,,,
,,2013 - 2014,415,465,1.12,,,,,,
,24. Panna,2006 - 2007,2,1,0.5,,,,,,
,25. Raisen,2006 - 2007,"10,077.00","12,593.00",1.25,,,,,,
,,2007 - 2008,"10,560.00","10,487.00",0.99,,,,,,
,,2008 - 2009,"9,957.00","11,982.00",1.2,,,,,,
,,2009 - 2010,,,,"10,322.00","11,822.00",1.15,,,
,,2010 - 2011,"8,741.00","8,095.00",0.93,,,,,,
,,2011 - 2012,"7,823.00","11,007.00",1.41,,,,,,
,,2012 - 2013,"7,617.00","8,381.00",1.1,,,,,,
,,2013 - 2014,"5,966.00","3,434.00",0.58,,,,,,
,26. Rewa,2006 - 2007,"1,746.00",705,0.4,,,,,,
,,2007 - 2008,"1,669.00",574,0.34,,,,,,
,,2008 - 2009,"1,910.00",938,0.49,,,,,,
,,2009 - 2010,,,,"1,838.00",890,0.48,,,
,,2010 - 2011,"3,919.00","1,244.00",0.32,,,,,,
,,2011 - 2012,"2,933.00","1,268.00",0.43,,,,,,
,,2012 - 2013,"2,680.00","1,459.00",0.54,,,,,,
,,2013 - 2014,"2,372.00",905,0.38,,,,,,
,27. Sagar,2006 - 2007,"1,647.00",920,0.56,,,,,,
,,2007 - 2008,"2,262.00","1,005.00",0.44,,,,,,
,,2008 - 2009,"2,520.00","1,480.00",0.59,,,,,,
,,2009 - 2010,,,,"2,556.00","1,424.00",0.56,,,
,,2010 - 2011,"2,744.00","1,490.00",0.54,,,,,,
,,2011 - 2012,"5,172.00","2,806.00",0.54,,,,,,
,,2012 - 2013,"5,447.00","4,149.00",0.76,,,,,,
,,2013 - 2014,"4,047.00","2,211.00",0.55,,,,,,
,28. Sehore,2006 - 2007,653,460,0.7,,,,,,
,,2007 - 2008,504,344,0.68,,,,,,
,,2008 - 2009,504,410,0.81,,,,,,
,,2009 - 2010,,,,270,278,1.03,,,
,,2010 - 2011,204,218,1.07,,,,,,
,,2011 - 2012,18,31,1.72,,,,,,
,,2012 - 2013,10,11,1.1,,,,,,
,,2013 - 2014,4,3,0.75,,,,,,
,29. Seoni,2006 - 2007,"10,554.00","7,102.00",0.67,,,,,,
,,2007 - 2008,"11,129.00","5,951.00",0.53,,,,,,
,,2008 - 2009,"11,215.00","7,872.00",0.7,,,,,,
,,2009 - 2010,,,,"11,606.00","7,753.00",0.67,,,
,,2010 - 2011,"11,009.00","6,256.00",0.57,,,,,,
,,2011 - 2012,"10,820.00","7,087.00",0.65,,,,,,
,,2012 - 2013,"8,266.00","6,956.00",0.84,,,,,,
,,2013 - 2014,"7,698.00","5,052.00",0.66,,,,,,
,30. Shahdol,2006 - 2007,33,15,0.45,,,,,,
,,2007 - 2008,35,12,0.34,,,,,,
,,2008 - 2009,21,9,0.43,,,,,,
,,2009 - 2010,,,,28,11,0.39,,,
,,2010 - 2011,40,14,0.35,,,,,,
