State,District,Year,Turmeric,,,,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2011 - 2012,23,157,6.83,,,,,,,,,
,,2012 - 2013,90,127,1.41,,,,,,,,,
,,2013 - 2014,30,216,7.2,,,,,,,,,
,,2014 - 2015,39,270,6.92,,,,,,,,,
,,2015 - 2016,46,270,5.87,,,,,,,,,
,,2016 - 2017,46,243,5.28,,,,,,,,,
,,2017 - 2018,47,243,5.17,,,,,,,,,
,,2018 - 2019,47,243,5.17,,,,,,,,,
,,2019 - 2020,48,245,5.1,,,,,,,,,
,,2020 - 2021,48,249,5.19,,,,,,,,,
,,2021 - 2022,55,287,5.22,,,,,,,,,
,,2022 - 2023,59,308,5.22,,,,,,,,,
,14. Shi yomi,2019 - 2020,6,26,4.33,,,,,,,,,
,,2020 - 2021,6,28,4.67,,,,,,,,,
,,2021 - 2022,9,42,4.67,,,,,,,,,
,,2022 - 2023,11,51,4.64,,,,,,,,,
,15. Siang,2015 - 2016,93,377,4.05,,,,,,,,,
,,2016 - 2017,93,350,3.76,,,,,,,,,
,,2017 - 2018,94,360,3.83,,,,,,,,,
,,2018 - 2019,94,360,3.83,,,,,,,,,
,,2019 - 2020,95,362,3.81,,,,,,,,,
,,2020 - 2021,95,366,3.85,,,,,,,,,
,,2021 - 2022,101,438,4.34,,,,,,,,,
,,2022 - 2023,109,477,4.38,,,,,,,,,
,16. Tawang,2002 - 2003,13,98,7.54,,,,,,,,,
,,2003 - 2004,15,33,2.2,,,,,,,,,
,,2004 - 2005,13,28,2.15,,,,,,,,,
,,2005 - 2006,12,27,2.25,,,,,,,,,
,,2006 - 2007,14,30,2.14,,,,,,,,,
,,2007 - 2008,14,31,2.21,,,,,,,,,
,,2008 - 2009,14,31,2.21,,,,,,,,,
,,2009 - 2010,12,34,2.83,,,,,,,,,
,,2010 - 2011,15,33,2.2,,,,,,,,,
,,2011 - 2012,16,34,2.13,,,,,,,,,
,,2012 - 2013,15,33,2.2,,,,,,,,,
,,2013 - 2014,15,33,2.2,,,,,,,,,
,,2014 - 2015,23,87,3.78,,,,,,,,,
,,2015 - 2016,30,117,3.9,,,,,,,,,
,,2016 - 2017,30,93,3.1,,,,,,,,,
,,2017 - 2018,31,93,3,,,,,,,,,
,,2018 - 2019,31,93,3,,,,,,,,,
,,2019 - 2020,32,95,2.97,,,,,,,,,
,,2020 - 2021,32,99,3.09,,,,,,,,,
,,2021 - 2022,36,111,3.08,,,,,,,,,
,,2022 - 2023,41,127,3.1,,,,,,,,,
,17. Tirap,2000 - 2001,20,100,5,,,,,,,,,
,,2001 - 2002,25,135,5.4,,,,,,,,,
,,2002 - 2003,25,120,4.8,,,,,,,,,
,,2004 - 2005,20,142,7.1,,,,,,,,,
,18. Upper subansiri,2001 - 2002,60,430,7.17,,,,,,,,,
,,2002 - 2003,5,14,2.8,,,,,,,,,
,,2003 - 2004,11,19,1.73,,,,,,,,,
,,2004 - 2005,47,191,4.06,,,,,,,,,
,19. West siang,2000 - 2001,40,150,3.75,,,,,,,,,
,,2001 - 2002,88,170,1.93,,,,,,,,,
,,2002 - 2003,42,162,3.86,,,,,,,,,
,,2003 - 2004,42,162,3.86,,,,,,,,,
,,2006 - 2007,54,218,4.04,,,,,,,,,
,,2007 - 2008,55,234,4.25,,,,,,,,,
,,2008 - 2009,57,257,4.51,,,,,,,,,
,,2009 - 2010,58,263,4.53,,,,,,,,,
,,2010 - 2011,59,269,4.56,,,,,,,,,
,,2011 - 2012,60,277,4.62,,,,,,,,,
,,2012 - 2013,64,306,4.78,,,,,,,,,
,,2013 - 2014,66,317,4.8,,,,,,,,,
,,2014 - 2015,75,371,4.95,,,,,,,,,
,,2015 - 2016,63,298,4.73,,,,,,,,,
,,2016 - 2017,63,271,4.3,,,,,,,,,
,,2017 - 2018,64,271,4.23,,,,,,,,,
,,2018 - 2019,26,111,4.27,,,,,,,,,
,,2019 - 2020,14,59,4.21,,,,,,,,,
,,2020 - 2021,14,63,4.5,,,,,,,,,
,,2021 - 2022,19,86,4.53,,,,,,,,,
,,2022 - 2023,22,100,4.55,,,,,,,,,
4. Assam,1. Baksa,2005 - 2006,572,529,0.92,,,,,,,,,
,,2006 - 2007,576,533,0.93,,,,,,,,,
,,2007 - 2008,580,137,0.24,,,,,,,,,
,,2008 - 2009,608,563,0.93,,,,,,,,,
,,2009 - 2010,588,544,0.93,,,,,,,,,
,,2010 - 2011,700,648,0.93,,,,,,,,,
,,2011 - 2012,632,785,1.24,,,,,,,,,
,,2012 - 2013,752,948,1.26,,,,,,,,,
,,2013 - 2014,792,998,1.26,,,,,,,,,
,,2014 - 2015,798,"1,009.00",1.26,,,,,,,,,
,,2015 - 2016,790,"1,003.00",1.27,,,,,,,,,
,,2016 - 2017,790,"1,006.00",1.27,,,,,,,,,
,,2017 - 2018,852,"1,099.00",1.29,,,,,,,,,
,,2018 - 2019,860,"1,198.00",1.39,,,,,,,,,
,,2019 - 2020,860,"1,245.00",1.45,,,,,,,,,
,,2020 - 2021,867,"1,255.00",1.45,,,,,,,,,
,,2021 - 2022,850,"1,231.00",1.45,,,,,,,,,
,,2022 - 2023,857,"1,289.00",1.5,,,,,,,,,
,2. Barpeta,2000 - 2001,960,768,0.8,,,,,,,,,
,,2001 - 2002,965,772,0.8,,,,,,,,,
,,2002 - 2003,"1,027.00",822,0.8,,,,,,,,,
,,2003 - 2004,"1,089.00",871,0.8,,,,,,,,,
,,2004 - 2005,"1,091.00",873,0.8,,,,,,,,,
,,2005 - 2006,893,715,0.8,,,,,,,,,
,,2006 - 2007,815,652,0.8,,,,,,,,,
,,2007 - 2008,837,670,0.8,,,,,,,,,
,,2008 - 2009,"1,453.00","1,163.00",0.8,,,,,,,,,
,,2009 - 2010,"1,026.00",821,0.8,,,,,,,,,
,,2010 - 2011,"1,210.00",968,0.8,,,,,,,,,
,,2011 - 2012,"1,208.00","1,003.00",0.83,,,,,,,,,
,,2012 - 2013,"1,071.00",937,0.87,,,,,,,,,
,,2013 - 2014,"1,072.00",939,0.88,,,,,,,,,
,,2014 - 2015,"1,053.00",926,0.88,,,,,,,,,
,,2015 - 2016,797,705,0.88,,,,,,,,,
,,2016 - 2017,"1,019.00",905,0.89,,,,,,,,,
,,2017 - 2018,983,"1,317.00",1.34,,,,,,,,,
,,2018 - 2019,964,"1,354.00",1.4,,,,,,,,,
,,2019 - 2020,968,"1,389.00",1.43,,,,,,,,,
,,2020 - 2021,995,"1,428.00",1.44,,,,,,,,,
,,2021 - 2022,999,"1,391.00",1.39,,,,,,,,,
,,2022 - 2023,972,"1,443.00",1.48,,,,,,,,,
,3. Biswanath,2020 - 2021,300,270,0.9,,,,,,,,,
,,2021 - 2022,596,536,0.9,,,,,,,,,
,,2022 - 2023,678,712,1.05,,,,,,,,,
,4. Bongaigaon,2000 - 2001,514,302,0.59,,,,,,,,,
,,2001 - 2002,527,309,0.59,,,,,,,,,
,,2002 - 2003,710,418,0.59,,,,,,,,,
,,2003 - 2004,718,420,0.58,,,,,,,,,
,,2004 - 2005,578,338,0.58,,,,,,,,,
,,2005 - 2006,300,176,0.59,,,,,,,,,
,,2006 - 2007,313,182,0.58,,,,,,,,,
,,2007 - 2008,290,170,0.59,,,,,,,,,
,,2008 - 2009,248,146,0.59,,,,,,,,,
,,2009 - 2010,242,143,0.59,,,,,,,,,
,,2010 - 2011,248,147,0.59,,,,,,,,,
,,2011 - 2012,257,178,0.69,,,,,,,,,
,,2012 - 2013,265,211,0.8,,,,,,,,,
,,2013 - 2014,309,246,0.8,,,,,,,,,
,,2014 - 2015,302,245,0.81,,,,,,,,,
,,2015 - 2016,310,253,0.82,,,,,,,,,
,,2016 - 2017,326,271,0.83,,,,,,,,,
,,2017 - 2018,310,268,0.86,,,,,,,,,
,,2018 - 2019,311,343,1.1,,,,,,,,,
,,2019 - 2020,305,373,1.22,,,,,,,,,
,,2020 - 2021,318,390,1.23,,,,,,,,,
,,2021 - 2022,363,445,1.23,,,,,,,,,
,,2022 - 2023,367,508,1.38,,,,,,,,,
,5. Cachar,2000 - 2001,220,206,0.94,,,,,,,,,
,,2001 - 2002,230,219,0.95,,,,,,,,,
,,2002 - 2003,245,230,0.94,,,,,,,,,
,,2003 - 2004,260,244,0.94,,,,,,,,,
,,2004 - 2005,265,562,2.12,,,,,,,,,
,,2005 - 2006,282,588,2.09,,,,,,,,,
,,2006 - 2007,294,599,2.04,,,,,,,,,
,,2007 - 2008,281,537,1.91,,,,,,,,,
,,2008 - 2009,291,578,1.99,,,,,,,,,
,,2009 - 2010,259,505,1.95,,,,,,,,,
,,2010 - 2011,315,659,2.09,,,,,,,,,
,,2011 - 2012,325,689,2.12,,,,,,,,,
,,2012 - 2013,337,716,2.12,,,,,,,,,
,,2013 - 2014,345,733,2.12,,,,,,,,,
,,2014 - 2015,359,765,2.13,,,,,,,,,
,,2015 - 2016,341,728,2.13,,,,,,,,,
,,2016 - 2017,311,662,2.13,,,,,,,,,
,,2017 - 2018,320,683,2.13,,,,,,,,,
,,2018 - 2019,353,809,2.29,,,,,,,,,
,,2019 - 2020,358,851,2.38,,,,,,,,,
,,2020 - 2021,369,877,2.38,,,,,,,,,
,,2021 - 2022,383,910,2.38,,,,,,,,,
,,2022 - 2023,405,"1,011.00",2.5,,,,,,,,,
,6. Charaideo,2020 - 2021,71,73,1.03,,,,,,,,,
,,2021 - 2022,80,82,1.03,,,,,,,,,
,,2022 - 2023,123,128,1.04,,,,,,,,,
,7. Chirang,2005 - 2006,313,183,0.58,,,,,,,,,
,,2006 - 2007,331,194,0.59,,,,,,,,,
,,2007 - 2008,340,200,0.59,,,,,,,,,
,,2008 - 2009,369,216,0.59,,,,,,,,,
,,2009 - 2010,347,203,0.59,,,,,,,,,
,,2010 - 2011,468,274,0.59,,,,,,,,,
,,2011 - 2012,395,259,0.66,,,,,,,,,
,,2012 - 2013,470,317,0.67,,,,,,,,,
,,2013 - 2014,404,273,0.68,,,,,,,,,
,,2014 - 2015,552,378,0.68,,,,,,,,,
,,2015 - 2016,500,345,0.69,,,,,,,,,
,,2016 - 2017,458,322,0.7,,,,,,,,,
,,2017 - 2018,472,343,0.73,,,,,,,,,
,,2018 - 2019,494,442,0.89,,,,,,,,,
,,2019 - 2020,516,508,0.98,,,,,,,,,
,,2020 - 2021,525,517,0.98,,,,,,,,,
,,2021 - 2022,545,648,1.19,,,,,,,,,
,,2022 - 2023,784,999,1.27,,,,,,,,,
,8. Darrang,2000 - 2001,950,577,0.61,,,,,,,,,
,,2001 - 2002,"1,006.00",611,0.61,,,,,,,,,
,,2002 - 2003,"1,025.00",623,0.61,,,,,,,,,
,,2003 - 2004,"1,015.00",617,0.61,,,,,,,,,
,,2004 - 2005,878,535,0.61,,,,,,,,,
,,2005 - 2006,344,208,0.6,,,,,,,,,
,,2006 - 2007,240,145,0.6,,,,,,,,,
,,2007 - 2008,329,199,0.6,,,,,,,,,
,,2008 - 2009,558,338,0.61,,,,,,,,,
,,2009 - 2010,529,320,0.6,,,,,,,,,
,,2010 - 2011,566,342,0.6,,,,,,,,,
,,2011 - 2012,579,372,0.64,,,,,,,,,
,,2012 - 2013,500,328,0.66,,,,,,,,,
,,2013 - 2014,521,341,0.65,,,,,,,,,
,,2014 - 2015,523,348,0.67,,,,,,,,,
,,2015 - 2016,481,322,0.67,,,,,,,,,
,,2016 - 2017,485,329,0.68,,,,,,,,,
,,2017 - 2018,510,392,0.77,,,,,,,,,
,,2018 - 2019,470,418,0.89,,,,,,,,,
,,2019 - 2020,465,444,0.95,,,,,,,,,
,,2020 - 2021,462,441,0.95,,,,,,,,,
,,2021 - 2022,473,451,0.95,,,,,,,,,
,,2022 - 2023,478,504,1.05,,,,,,,,,
,9. Dhemaji,2000 - 2001,299,193,0.65,,,,,,,,,
,,2001 - 2002,305,198,0.65,,,,,,,,,
,,2002 - 2003,316,204,0.65,,,,,,,,,
,,2003 - 2004,323,209,0.65,,,,,,,,,
,,2004 - 2005,283,186,0.66,,,,,,,,,
,,2005 - 2006,253,168,0.66,,,,,,,,,
,,2006 - 2007,259,171,0.66,,,,,,,,,
,,2007 - 2008,332,214,0.64,,,,,,,,,
,,2008 - 2009,350,230,0.66,,,,,,,,,
,,2009 - 2010,321,211,0.66,,,,,,,,,
,,2010 - 2011,340,225,0.66,,,,,,,,,
,,2011 - 2012,370,251,0.68,,,,,,,,,
,,2012 - 2013,388,301,0.78,,,,,,,,,
,,2013 - 2014,380,295,0.78,,,,,,,,,
,,2014 - 2015,370,291,0.79,,,,,,,,,
,,2015 - 2016,377,300,0.8,,,,,,,,,
,,2016 - 2017,375,303,0.81,,,,,,,,,
,,2017 - 2018,371,307,0.83,,,,,,,,,
,,2018 - 2019,286,287,1,,,,,,,,,
,,2019 - 2020,344,378,1.1,,,,,,,,,
,,2020 - 2021,345,379,1.1,,,,,,,,,
,,2021 - 2022,236,259,1.1,,,,,,,,,
,,2022 - 2023,622,775,1.25,,,,,,,,,
,10. Dhubri,2000 - 2001,484,363,0.75,,,,,,,,,
,,2001 - 2002,370,278,0.75,,,,,,,,,
,,2002 - 2003,390,293,0.75,,,,,,,,,
,,2003 - 2004,400,301,0.75,,,,,,,,,
,,2004 - 2005,418,314,0.75,,,,,,,,,
,,2005 - 2006,388,291,0.75,,,,,,,,,
,,2006 - 2007,405,304,0.75,,,,,,,,,
,,2007 - 2008,380,286,0.75,,,,,,,,,
,,2008 - 2009,305,229,0.75,,,,,,,,,
,,2009 - 2010,324,243,0.75,,,,,,,,,
,,2010 - 2011,345,259,0.75,,,,,,,,,
,,2011 - 2012,403,311,0.77,,,,,,,,,
,,2012 - 2013,355,279,0.79,,,,,,,,,
,,2013 - 2014,363,285,0.79,,,,,,,,,
,,2014 - 2015,391,308,0.79,,,,,,,,,
,,2015 - 2016,474,377,0.8,,,,,,,,,
,,2016 - 2017,573,463,0.81,,,,,,,,,
,,2017 - 2018,442,364,0.82,,,,,,,,,
,,2018 - 2019,429,426,0.99,,,,,,,,,
,,2019 - 2020,416,448,1.08,,,,,,,,,
,,2020 - 2021,405,437,1.08,,,,,,,,,
,,2021 - 2022,405,437,1.08,,,,,,,,,
,,2022 - 2023,616,743,1.21,,,,,,,,,
,11. Dibrugarh,2000 - 2001,605,345,0.57,,,,,,,,,
,,2001 - 2002,605,345,0.57,,,,,,,,,
,,2002 - 2003,605,345,0.57,,,,,,,,,
,,2003 - 2004,600,342,0.57,,,,,,,,,
,,2004 - 2005,600,342,0.57,,,,,,,,,
,,2005 - 2006,131,75,0.57,,,,,,,,,
,,2006 - 2007,102,58,0.57,,,,,,,,,
,,2007 - 2008,85,48,0.56,,,,,,,,,
,,2008 - 2009,100,57,0.57,,,,,,,,,
,,2009 - 2010,104,59,0.57,,,,,,,,,
,,2010 - 2011,270,154,0.57,,,,,,,,,
,,2011 - 2012,300,205,0.68,,,,,,,,,
,,2012 - 2013,316,220,0.7,,,,,,,,,
,,2013 - 2014,323,224,0.69,,,,,,,,,
,,2014 - 2015,333,270,0.81,,,,,,,,,
,,2015 - 2016,368,302,0.82,,,,,,,,,
,,2016 - 2017,381,317,0.83,,,,,,,,,
,,2017 - 2018,361,305,0.84,,,,,,,,,
,,2018 - 2019,377,398,1.06,,,,,,,,,
,,2019 - 2020,381,444,1.17,,,,,,,,,
,,2020 - 2021,382,445,1.16,,,,,,,,,
,,2021 - 2022,375,437,1.17,,,,,,,,,
,,2022 - 2023,340,497,1.46,,,,,,,,,
,12. Dima hasao,2000 - 2001,240,122,0.51,,,,,,,,,
,,2001 - 2002,243,139,0.57,,,,,,,,,
,,2002 - 2003,251,133,0.53,,,,,,,,,
,,2003 - 2004,260,140,0.54,,,,,,,,,
,,2004 - 2005,260,142,0.55,,,,,,,,,
,,2005 - 2006,254,137,0.54,,,,,,,,,
,,2006 - 2007,279,150,0.54,,,,,,,,,
,,2007 - 2008,282,152,0.54,,,,,,,,,
,,2008 - 2009,278,150,0.54,,,,,,,,,
,,2009 - 2010,294,158,0.54,,,,,,,,,
,,2010 - 2011,296,159,0.54,,,,,,,,,
,,2011 - 2012,345,185,0.54,,,,,,,,,
,,2012 - 2013,436,292,0.67,,,,,,,,,
,,2013 - 2014,468,618,1.32,,,,,,,,,
,,2014 - 2015,474,633,1.34,,,,,,,,,
,,2015 - 2016,481,647,1.35,,,,,,,,,
,,2016 - 2017,474,636,1.34,,,,,,,,,
,,2017 - 2018,481,"1,312.00",2.73,,,,,,,,,
,,2018 - 2019,481,757,1.57,,,,,,,,,
,,2019 - 2020,479,774,1.62,,,,,,,,,
,,2020 - 2021,485,"1,085.00",2.24,,,,,,,,,
,,2021 - 2022,485,"1,118.00",2.31,,,,,,,,,
,,2022 - 2023,485,971,2,,,,,,,,,
,13. Goalpara,2000 - 2001,274,140,0.51,,,,,,,,,
,,2001 - 2002,270,138,0.51,,,,,,,,,
,,2002 - 2003,270,138,0.51,,,,,,,,,
,,2003 - 2004,285,146,0.51,,,,,,,,,
,,2004 - 2005,227,116,0.51,,,,,,,,,
,,2005 - 2006,231,118,0.51,,,,,,,,,
,,2006 - 2007,230,116,0.5,,,,,,,,,
,,2007 - 2008,240,123,0.51,,,,,,,,,
,,2008 - 2009,265,241,0.91,,,,,,,,,
,,2009 - 2010,320,206,0.64,,,,,,,,,
,,2010 - 2011,435,300,0.69,,,,,,,,,
,,2011 - 2012,435,405,0.93,,,,,,,,,
,,2012 - 2013,453,426,0.94,,,,,,,,,
,,2013 - 2014,450,423,0.94,,,,,,,,,
,,2014 - 2015,510,482,0.95,,,,,,,,,
,,2015 - 2016,350,333,0.95,,,,,,,,,
,,2016 - 2017,370,355,0.96,,,,,,,,,
,,2017 - 2018,374,363,0.97,,,,,,,,,
,,2018 - 2019,376,488,1.3,,,,,,,,,
,,2019 - 2020,393,423,1.08,,,,,,,,,
,,2020 - 2021,391,537,1.37,,,,,,,,,
,,2021 - 2022,335,460,1.37,,,,,,,,,
,,2022 - 2023,430,653,1.52,,,,,,,,,
,14. Golaghat,2000 - 2001,285,86,0.3,,,,,,,,,
,,2001 - 2002,290,88,0.3,,,,,,,,,
,,2002 - 2003,300,91,0.3,,,,,,,,,
,,2003 - 2004,311,94,0.3,,,,,,,,,
,,2004 - 2005,312,94,0.3,,,,,,,,,
,,2005 - 2006,370,112,0.3,,,,,,,,,
,,2006 - 2007,375,114,0.3,,,,,,,,,
,,2007 - 2008,388,116,0.3,,,,,,,,,
,,2008 - 2009,"1,227.00",368,0.3,,,,,,,,,
,,2009 - 2010,"1,304.00",392,0.3,,,,,,,,,
,,2010 - 2011,"1,299.00",390,0.3,,,,,,,,,
,,2011 - 2012,"1,286.00","1,281.00",1,,,,,,,,,
,,2012 - 2013,"1,403.00","2,150.00",1.53,,,,,,,,,
,,2013 - 2014,"1,313.00","2,012.00",1.53,,,,,,,,,
,,2014 - 2015,"1,355.00","2,093.00",1.54,,,,,,,,,
,,2015 - 2016,"1,359.00","2,106.00",1.55,,,,,,,,,
,,2016 - 2017,"1,360.00","2,108.00",1.55,,,,,,,,,
,,2017 - 2018,"1,355.00","2,127.00",1.57,,,,,,,,,
,,2018 - 2019,"1,354.00",871,0.64,,,,,,,,,
,,2019 - 2020,"1,349.00",929,0.69,,,,,,,,,
,,2020 - 2021,"1,346.00",927,0.69,,,,,,,,,
,,2021 - 2022,"1,013.00",698,0.69,,,,,,,,,
,,2022 - 2023,"1,071.00",801,0.75,,,,,,,,,
,15. Hailakandi,2000 - 2001,180,91,0.51,,,,,,,,,
,,2001 - 2002,170,86,0.51,,,,,,,,,
,,2002 - 2003,200,101,0.51,,,,,,,,,
,,2003 - 2004,210,106,0.5,,,,,,,,,
,,2004 - 2005,200,101,0.51,,,,,,,,,
,,2005 - 2006,200,101,0.51,,,,,,,,,
,,2006 - 2007,225,114,0.51,,,,,,,,,
,,2007 - 2008,230,116,0.5,,,,,,,,,
,,2008 - 2009,230,116,0.5,,,,,,,,,
,,2009 - 2010,208,105,0.5,,,,,,,,,
,,2010 - 2011,250,126,0.5,,,,,,,,,
,,2011 - 2012,141,86,0.61,,,,,,,,,
,,2012 - 2013,250,178,0.71,,,,,,,,,
,,2013 - 2014,180,128,0.71,,,,,,,,,
,,2014 - 2015,185,132,0.71,,,,,,,,,
,,2015 - 2016,182,131,0.72,,,,,,,,,
,,2016 - 2017,182,136,0.75,,,,,,,,,
,,2017 - 2018,172,131,0.76,,,,,,,,,
,,2018 - 2019,175,199,1.14,,,,,,,,,
,,2019 - 2020,176,181,1.03,,,,,,,,,
,,2020 - 2021,185,245,1.32,,,,,,,,,
,,2021 - 2022,172,228,1.33,,,,,,,,,
,,2022 - 2023,180,286,1.59,,,,,,,,,
,16. Hojai,2020 - 2021,65,67,1.03,,,,,,,,,
,,2021 - 2022,65,67,1.03,,,,,,,,,
,,2022 - 2023,65,107,1.65,,,,,,,,,
,17. Jorhat,2000 - 2001,257,162,0.63,,,,,,,,,
,,2001 - 2002,261,164,0.63,,,,,,,,,
,,2002 - 2003,163,102,0.63,,,,,,,,,
,,2003 - 2004,165,104,0.63,,,,,,,,,
,,2004 - 2005,169,106,0.63,,,,,,,,,
,,2005 - 2006,167,105,0.63,,,,,,,,,
,,2006 - 2007,172,108,0.63,,,,,,,,,
,,2007 - 2008,165,104,0.63,,,,,,,,,
,,2008 - 2009,210,132,0.63,,,,,,,,,
,,2009 - 2010,377,237,0.63,,,,,,,,,
,,2010 - 2011,360,226,0.63,,,,,,,,,
,,2011 - 2012,293,86,0.29,,,,,,,,,
,,2012 - 2013,361,171,0.47,,,,,,,,,
,,2013 - 2014,332,157,0.47,,,,,,,,,
,,2014 - 2015,351,200,0.57,,,,,,,,,
,,2015 - 2016,439,252,0.57,,,,,,,,,
,,2016 - 2017,381,225,0.59,,,,,,,,,
,,2017 - 2018,444,311,0.7,,,,,,,,,
,,2018 - 2019,922,844,0.92,,,,,,,,,
,,2019 - 2020,561,578,1.03,,,,,,,,,
,,2020 - 2021,198,204,1.03,,,,,,,,,
,,2021 - 2022,199,205,1.03,,,,,,,,,
,,2022 - 2023,194,246,1.27,,,,,,,,,
,18. Kamrup,2000 - 2001,960,831,0.87,,,,,,,,,
,,2001 - 2002,944,818,0.87,,,,,,,,,
,,2002 - 2003,939,811,0.86,,,,,,,,,
,,2003 - 2004,937,811,0.87,,,,,,,,,
,,2004 - 2005,813,703,0.86,,,,,,,,,
,,2005 - 2006,777,673,0.87,,,,,,,,,
,,2006 - 2007,734,633,0.86,,,,,,,,,
,,2007 - 2008,742,641,0.86,,,,,,,,,
,,2008 - 2009,735,636,0.87,,,,,,,,,
,,2009 - 2010,723,626,0.87,,,,,,,,,
,,2010 - 2011,720,623,0.87,,,,,,,,,
,,2011 - 2012,734,712,0.97,,,,,,,,,
,,2012 - 2013,776,765,0.99,,,,,,,,,
,,2013 - 2014,681,671,0.99,,,,,,,,,
,,2014 - 2015,697,794,1.14,,,,,,,,,
,,2015 - 2016,609,697,1.14,,,,,,,,,
,,2016 - 2017,729,837,1.15,,,,,,,,,
,,2017 - 2018,722,837,1.16,,,,,,,,,
,,2018 - 2019,194,223,1.15,,,,,,,,,
,,2019 - 2020,702,841,1.2,,,,,,,,,
,,2020 - 2021,723,866,1.2,,,,,,,,,
,,2021 - 2022,921,"1,104.00",1.2,,,,,,,,,
,,2022 - 2023,805,"1,020.00",1.27,,,,,,,,,
,19. Kamrup metro,2005 - 2006,118,103,0.87,,,,,,,,,
,,2006 - 2007,133,116,0.87,,,,,,,,,
,,2007 - 2008,165,143,0.87,,,,,,,,,
,,2008 - 2009,165,199,1.21,,,,,,,,,
,,2009 - 2010,173,170,0.98,,,,,,,,,
,,2010 - 2011,199,202,1.02,,,,,,,,,
,,2011 - 2012,208,362,1.74,,,,,,,,,
,,2012 - 2013,175,307,1.75,,,,,,,,,
,,2013 - 2014,144,253,1.76,,,,,,,,,
,,2014 - 2015,146,257,1.76,,,,,,,,,
,,2015 - 2016,139,245,1.76,,,,,,,,,
,,2016 - 2017,139,245,1.76,,,,,,,,,
,,2017 - 2018,138,244,1.77,,,,,,,,,
,,2018 - 2019,148,298,2.01,,,,,,,,,
,,2019 - 2020,148,316,2.14,,,,,,,,,
,,2020 - 2021,131,280,2.14,,,,,,,,,
,,2021 - 2022,210,448,2.13,,,,,,,,,
,,2022 - 2023,282,699,2.48,,,,,,,,,
,20. Karbi anglong,2000 - 2001,394,297,0.75,,,,,,,,,
,,2001 - 2002,408,308,0.75,,,,,,,,,
,,2002 - 2003,434,333,0.77,,,,,,,,,
,,2003 - 2004,453,347,0.77,,,,,,,,,
,,2004 - 2005,483,388,0.8,,,,,,,,,
,,2005 - 2006,483,383,0.79,,,,,,,,,
,,2006 - 2007,578,465,0.8,,,,,,,,,
,,2007 - 2008,578,467,0.81,,,,,,,,,
,,2008 - 2009,682,551,0.81,,,,,,,,,
,,2009 - 2010,721,585,0.81,,,,,,,,,
,,2010 - 2011,764,610,0.8,,,,,,,,,
,,2011 - 2012,852,873,1.02,,,,,,,,,
,,2012 - 2013,"1,236.00","1,304.00",1.06,,,,,,,,,
,,2013 - 2014,"1,243.00","1,243.00",1,,,,,,,,,
,,2014 - 2015,"1,121.00","1,133.00",1.01,,,,,,,,,
,,2015 - 2016,"1,217.00","1,242.00",1.02,,,,,,,,,
,,2016 - 2017,949,971,1.02,,,,,,,,,
,,2017 - 2018,"1,042.00","2,127.00",2.04,,,,,,,,,
,,2018 - 2019,"1,058.00","2,227.00",2.1,,,,,,,,,
,,2019 - 2020,"1,071.00","2,291.00",2.14,,,,,,,,,
,,2020 - 2021,825,"1,765.00",2.14,,,,,,,,,
,,2021 - 2022,620,"1,326.00",2.14,,,,,,,,,
,,2022 - 2023,845,"1,018.00",1.2,,,,,,,,,
,21. Karimganj,2000 - 2001,295,136,0.46,,,,,,,,,
,,2001 - 2002,285,131,0.46,,,,,,,,,
,,2002 - 2003,325,150,0.46,,,,,,,,,
,,2003 - 2004,355,164,0.46,,,,,,,,,
,,2004 - 2005,377,174,0.46,,,,,,,,,
,,2005 - 2006,376,241,0.64,,,,,,,,,
,,2006 - 2007,390,203,0.52,,,,,,,,,
,,2007 - 2008,330,179,0.54,,,,,,,,,
,,2008 - 2009,252,143,0.57,,,,,,,,,
,,2009 - 2010,252,137,0.54,,,,,,,,,
,,2010 - 2011,275,151,0.55,,,,,,,,,
,,2011 - 2012,275,162,0.59,,,,,,,,,
,,2012 - 2013,276,173,0.63,,,,,,,,,
,,2013 - 2014,276,173,0.63,,,,,,,,,
,,2014 - 2015,275,173,0.63,,,,,,,,,
,,2015 - 2016,277,176,0.64,,,,,,,,,
,,2016 - 2017,270,176,0.65,,,,,,,,,
,,2017 - 2018,260,175,0.67,,,,,,,,,
,,2018 - 2019,243,220,0.91,,,,,,,,,
,,2019 - 2020,255,262,1.03,,,,,,,,,
,,2020 - 2021,230,236,1.03,,,,,,,,,
,,2021 - 2022,220,226,1.03,,,,,,,,,
,,2022 - 2023,210,262,1.25,,,,,,,,,
,22. Kokrajhar,2000 - 2001,386,302,0.78,,,,,,,,,
,,2001 - 2002,398,311,0.78,,,,,,,,,
,,2002 - 2003,390,305,0.78,,,,,,,,,
,,2003 - 2004,391,306,0.78,,,,,,,,,
,,2004 - 2005,403,315,0.78,,,,,,,,,
,,2005 - 2006,414,323,0.78,,,,,,,,,
,,2006 - 2007,417,326,0.78,,,,,,,,,
,,2007 - 2008,453,353,0.78,,,,,,,,,
,,2008 - 2009,722,567,0.79,,,,,,,,,
