State,District,Year,Turmeric,,,,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2003 - 2004,65,335,5.15,,,,,,,,,
,,2005 - 2006,80,408,5.1,,,,,,,,,
,,2006 - 2007,51,259,5.08,,,,,,,,,
,,2007 - 2008,53,276,5.21,,,,,,,,,
,,2008 - 2009,63,353,5.6,,,,,,,,,
,,2009 - 2010,85,578,6.8,,,,,,,,,
,,2010 - 2011,90,585,6.5,,,,,,,,,
,,2011 - 2012,92,602,6.54,,,,,,,,,
,,2012 - 2013,85,553,6.51,,,,,,,,,
,,2013 - 2014,86,559,6.5,,,,,,,,,
,,2014 - 2015,95,94,0.99,,,,,,,,,
,,2015 - 2016,102,291,2.85,,,,,,,,,
,,2016 - 2017,102,291,2.85,,,,,,,,,
,,2017 - 2018,103,309,3,,,,,,,,,
,,2018 - 2019,103,309,3,,,,,,,,,
,,2019 - 2020,104,313,3.01,,,,,,,,,
,,2020 - 2021,104,317,3.05,,,,,,,,,
,,2021 - 2022,115,350,3.04,,,,,,,,,
,,2022 - 2023,127,387,3.05,,,,,,,,,
,3. Dibang valley,2000 - 2001,50,400,8,,,,,,,,,
,,2001 - 2002,60,400,6.67,,,,,,,,,
,,2008 - 2009,22,39,1.77,,,,,,,,,
,,2009 - 2010,22,39,1.77,,,,,,,,,
,4. East kameng,2008 - 2009,18,62,3.44,,,,,,,,,
,5. East siang,2000 - 2001,120,220,1.83,,,,,,,,,
,,2001 - 2002,150,280,1.87,,,,,,,,,
,,2002 - 2003,150,300,2,,,,,,,,,
,,2003 - 2004,150,300,2,,,,,,,,,
,,2004 - 2005,90,224,2.49,,,,,,,,,
,,2005 - 2006,193,386,2,,,,,,,,,
,,2006 - 2007,193,386,2,,,,,,,,,
,,2007 - 2008,193,369,1.91,,,,,,,,,
,,2008 - 2009,193,386,2,,,,,,,,,
,,2009 - 2010,193,386,2,,,,,,,,,
,,2010 - 2011,193,386,2,,,,,,,,,
,,2011 - 2012,197,398,2.02,,,,,,,,,
,,2012 - 2013,204,404,1.98,,,,,,,,,
,,2013 - 2014,214,427,2,,,,,,,,,
,,2014 - 2015,223,481,2.16,,,,,,,,,
,,2015 - 2016,163,677,4.15,,,,,,,,,
,,2016 - 2017,163,650,3.99,,,,,,,,,
,,2017 - 2018,164,700,4.27,,,,,,,,,
,,2018 - 2019,122,561,4.6,,,,,,,,,
,,2019 - 2020,123,563,4.58,,,,,,,,,
,,2020 - 2021,123,567,4.61,,,,,,,,,
,,2021 - 2022,137,632,4.61,,,,,,,,,
,,2022 - 2023,142,656,4.62,,,,,,,,,
,6. Kurung kumey,2002 - 2003,12,85,7.08,,,,,,,,,
,,2003 - 2004,12,83,6.92,,,,,,,,,
,,2006 - 2007,15,106,7.07,,,,,,,,,
,,2008 - 2009,3,5,1.67,,,,,,,,,
,,2009 - 2010,3,5,1.67,,,,,,,,,
,7. Leparada,2019 - 2020,16,63,3.94,,,,,,,,,
,,2020 - 2021,16,67,4.19,,,,,,,,,
,,2021 - 2022,23,96,4.17,,,,,,,,,
,,2022 - 2023,27,113,4.19,,,,,,,,,
,8. Lohit,2000 - 2001,85,221,2.6,,,,,,,,,
,,2001 - 2002,90,225,2.5,,,,,,,,,
,,2002 - 2003,89,223,2.51,,,,,,,,,
,,2003 - 2004,94,235,2.5,,,,,,,,,
,,2004 - 2005,60,420,7,,,,,,,,,
,,2005 - 2006,42,165,3.93,,,,,,,,,
,,2006 - 2007,110,330,3,,,,,,,,,
,,2007 - 2008,110,387,3.52,,,,,,,,,
,,2008 - 2009,116,394,3.4,,,,,,,,,
,,2009 - 2010,118,389,3.3,,,,,,,,,
,,2010 - 2011,120,600,5,,,,,,,,,
,,2011 - 2012,123,618,5.02,,,,,,,,,
,,2012 - 2013,125,694,5.55,,,,,,,,,
,,2013 - 2014,120,688,5.73,,,,,,,,,
,,2014 - 2015,129,742,5.75,,,,,,,,,
,,2015 - 2016,59,327,5.54,,,,,,,,,
,,2016 - 2017,59,300,5.08,,,,,,,,,
,,2017 - 2018,60,302,5.03,,,,,,,,,
,,2018 - 2019,60,302,5.03,,,,,,,,,
,,2019 - 2020,61,304,4.98,,,,,,,,,
,,2020 - 2021,61,306,5.02,,,,,,,,,
,,2021 - 2022,72,359,4.99,,,,,,,,,
,,2022 - 2023,78,389,4.99,,,,,,,,,
,9. Lower dibang valley,2002 - 2003,57,357,6.26,,,,,,,,,
,,2003 - 2004,58,360,6.21,,,,,,,,,
,,2004 - 2005,75,389,5.19,,,,,,,,,
,,2005 - 2006,65,445,6.85,,,,,,,,,
,,2006 - 2007,80,560,7,,,,,,,,,
,,2007 - 2008,88,616,7,,,,,,,,,
,,2008 - 2009,87,619,7.11,,,,,,,,,
,,2009 - 2010,88,616,7,,,,,,,,,
,,2010 - 2011,92,644,7,,,,,,,,,
,,2011 - 2012,94,663,7.05,,,,,,,,,
,,2012 - 2013,98,735,7.5,,,,,,,,,
,,2013 - 2014,105,788,7.5,,,,,,,,,
,,2014 - 2015,114,842,7.39,,,,,,,,,
,,2015 - 2016,121,842,6.96,,,,,,,,,
,,2016 - 2017,121,815,6.74,,,,,,,,,
,,2017 - 2018,122,815,6.68,,,,,,,,,
,,2018 - 2019,122,815,6.68,,,,,,,,,
,,2019 - 2020,127,820,6.46,,,,,,,,,
,,2020 - 2021,128,824,6.44,,,,,,,,,
,,2021 - 2022,143,921,6.44,,,,,,,,,
,,2022 - 2023,152,983,6.47,,,,,,,,,
,10. Lower siang,2018 - 2019,90,344,3.82,,,,,,,,,
,,2019 - 2020,82,311,3.79,,,,,,,,,
,,2020 - 2021,82,315,3.84,,,,,,,,,
,,2021 - 2022,97,373,3.85,,,,,,,,,
,,2022 - 2023,100,385,3.85,,,,,,,,,
,11. Lower subansiri,2000 - 2001,40,326,8.15,,,,,,,,,
,,2001 - 2002,5,10,2,,,,,,,,,
,,2002 - 2003,35,245,7,,,,,,,,,
,,2004 - 2005,12,20,1.67,,,,,,,,,
,12. Namsai,2015 - 2016,84,485,5.77,,,,,,,,,
,,2016 - 2017,84,458,5.45,,,,,,,,,
,,2017 - 2018,85,458,5.39,,,,,,,,,
,,2018 - 2019,85,458,5.39,,,,,,,,,
,,2019 - 2020,86,460,5.35,,,,,,,,,
,,2020 - 2021,86,464,5.4,,,,,,,,,
,,2021 - 2022,95,513,5.4,,,,,,,,,
,,2022 - 2023,102,552,5.41,,,,,,,,,
,13. Papum pare,2002 - 2003,6,,0,,,,,,,,,
,,2004 - 2005,180,360,2,,,,,,,,,
,,2005 - 2006,25,175,7,,,,,,,,,
,,2007 - 2008,18,116,6.44,,,,,,,,,
,,2008 - 2009,20,136,6.8,,,,,,,,,
,,2009 - 2010,25,180,7.2,,,,,,,,,
,,2010 - 2011,22,152,6.91,,,,,,,,,
