State,District,Year,Jowar,,,,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2009 - 2010,,,,27,94,3.48,,,,,,,,,
,,2010 - 2011,,,,16,62,3.88,,,,,,,,,
,,2011 - 2012,14,30,2.14,484,"2,253.00",4.65,,,,,,,,,
,,2012 - 2013,,,,"3,000.00","12,000.00",4,,,,,,,,,
,,2013 - 2014,8,14,1.75,"1,198.00","5,524.00",4.61,,,,,,,,,
,,2014 - 2015,6,9,1.5,"2,346.00","4,251.00",1.81,,,,,,,,,
,,2015 - 2016,1,1,1,"1,050.00","2,610.00",2.49,,,,,,,,,
,,2016 - 2017,4,6,1.5,"1,565.00","3,618.00",2.31,,,,,,,,,
,,2017 - 2018,10,10,1,648,"2,754.00",4.25,,,,,,,,,
,,2018 - 2019,2,,0,"2,168.00","1,867.00",0.86,,,,,,,,,
,,2019 - 2020,26,39,1.5,951,"1,372.00",1.44,,,,,,,,,
,,2020 - 2021,1,1,1,"1,424.00","1,776.00",1.25,,,,,,,,,
,,2021 - 2022,,,,27,43,1.59,,,,,,,,,
,,2022 - 2023,,,,607,"1,905.00",3.14,,,,,,,,,
,20. Sri sathya sai,2022 - 2023,714,251,0.35,67,158,2.36,,,,,,,,,
,21. Srikakulam,2000 - 2001,376,139,0.37,63,51,0.81,,,,,,,,,
,,2001 - 2002,184,105,0.57,109,80,0.73,,,,,,,,,
,,2002 - 2003,318,106,0.33,40,32,0.8,,,,,,,,,
,,2003 - 2004,376,"1,112.00",2.96,27,51,1.89,,,,,,,,,
,,2004 - 2005,313,167,0.53,15,28,1.87,,,,,,,,,
,,2005 - 2006,345,191,0.55,18,53,2.94,,,,,,,,,
,,2006 - 2007,295,219,0.74,36,78,2.17,,,,,,,,,
,,2008 - 2009,223,570,2.56,,,,,,,,,,,,
,,2009 - 2010,185,218,1.18,,,,,,,,,,,,
,,2010 - 2011,135,195,1.44,6,23,3.83,,,,,,,,,
,,2011 - 2012,145,312,2.15,6,28,4.67,,,,,,,,,
,,2013 - 2014,39,68,1.74,21,97,4.62,,,,,,,,,
,,2014 - 2015,44,65,1.48,,,,,,,,,,,,
,,2015 - 2016,47,52,1.11,,,,,,,,,,,,
,,2016 - 2017,17,24,1.41,6,21,3.5,,,,,,,,,
,,2017 - 2018,16,16,1,,,,,,,,,,,,
,,2018 - 2019,8,1,0.13,,,,,,,,,,,,
,,2019 - 2020,5,6,1.2,,,,,,,,,,,,
,,2020 - 2021,4,6,1.5,1,5,5,,,,,,,,,
