State,District,Year,Small millets,,,,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2017 - 2018,220,204,0.93,,,,,,,,,,,,
,,2018 - 2019,220,208,0.95,,,,,,,,,,,,
,,2019 - 2020,221,211,0.95,,,,,,,,,,,,
,,2020 - 2021,222,217,0.98,,,,,,,,,,,,
,,2022 - 2023,240,235,0.98,,,,,,,,,,,,
,8. Kurung kumey,2002 - 2003,500,540,1.08,,,,,,,,,,,,
,,2003 - 2004,620,676,1.09,,,,,,,,,,,,
,,2004 - 2005,620,676,1.09,,,,,,,,,,,,
,,2005 - 2006,525,630,1.2,,,,,,,,,,,,
,,2006 - 2007,640,783,1.22,,,,,,,,,,,,
,,2007 - 2008,525,63,0.12,,,,,,,,,,,,
,,2008 - 2009,525,63,0.12,,,,,,,,,,,,
,,2009 - 2010,525,63,0.12,,,,,,,,,,,,
,,2010 - 2011,540,729,1.35,,,,,,,,,,,,
,,2011 - 2012,542,800,1.48,,,,,,,,,,,,
,,2012 - 2013,546,785,1.44,,,,,,,,,,,,
,,2013 - 2014,220,250,1.14,,,,,,,,,,,,
,,2014 - 2015,330,350,1.06,,,,,,,,,,,,
,,2015 - 2016,173,181,1.05,,,,,,,,,,,,
,,2016 - 2017,173,155,0.9,,,,,,,,,,,,
,,2017 - 2018,186,168,0.9,,,,,,,,,,,,
,,2018 - 2019,186,172,0.92,,,,,,,,,,,,
,,2019 - 2020,187,175,0.94,,,,,,,,,,,,
,,2020 - 2021,188,181,0.96,,,,,,,,,,,,
,,2022 - 2023,204,197,0.97,,,,,,,,,,,,
,9. Leparada,2019 - 2020,395,351,0.89,,,,,,,,,,,,
,,2020 - 2021,396,357,0.9,,,,,,,,,,,,
,,2022 - 2023,402,374,0.93,,,,,,,,,,,,
,10. Lohit,2000 - 2001,710,639,0.9,,,,,,,,,,,,
,,2001 - 2002,"1,300.00",950,0.73,,,,,,,,,,,,
,,2002 - 2003,728,692,0.95,,,,,,,,,,,,
,,2003 - 2004,740,708,0.96,,,,,,,,,,,,
,,2004 - 2005,80,76,0.95,,,,,,,,,,,,
,,2005 - 2006,95,85,0.89,,,,,,,,,,,,
,,2006 - 2007,90,90,1,,,,,,,,,,,,
,,2007 - 2008,92,78,0.85,,,,,,,,,,,,
,,2008 - 2009,94,76,0.81,,,,,,,,,,,,
,,2009 - 2010,93,69,0.74,,,,,,,,,,,,
,,2010 - 2011,98,82,0.84,,,,,,,,,,,,
,,2011 - 2012,99,90,0.91,,,,,,,,,,,,
,,2012 - 2013,95,82,0.86,,,,,,,,,,,,
,,2013 - 2014,93,74,0.8,,,,,,,,,,,,
,,2014 - 2015,110,86,0.78,,,,,,,,,,,,
,,2015 - 2016,69,68,0.99,,,,,,,,,,,,
,,2016 - 2017,69,52,0.75,,,,,,,,,,,,
,,2017 - 2018,82,65,0.79,,,,,,,,,,,,
,,2018 - 2019,82,69,0.84,,,,,,,,,,,,
,,2019 - 2020,82,71,0.87,,,,,,,,,,,,
,,2020 - 2021,83,77,0.93,,,,,,,,,,,,
,,2022 - 2023,93,87,0.94,,,,,,,,,,,,
,11. Longding,2013 - 2014,"2,460.00","2,952.00",1.2,,,,,,,,,,,,
,,2014 - 2015,"2,677.00","3,164.00",1.18,,,,,,,,,,,,
,,2015 - 2016,"2,702.00","3,188.00",1.18,,,,,,,,,,,,
,,2016 - 2017,"2,702.00","3,148.00",1.17,,,,,,,,,,,,
,,2017 - 2018,"2,715.00","3,161.00",1.16,,,,,,,,,,,,
,,2018 - 2019,"2,715.00","3,165.00",1.17,,,,,,,,,,,,
,,2019 - 2020,"2,715.00","3,171.00",1.17,,,,,,,,,,,,
,,2020 - 2021,"2,716.00","3,181.00",1.17,,,,,,,,,,,,
,,2022 - 2023,"2,758.00","3,246.00",1.18,,,,,,,,,,,,
,12. Lower dibang valley,2002 - 2003,"1,317.00",993,0.75,,,,,,,,,,,,
,,2003 - 2004,"1,320.00",850,0.64,,,,,,,,,,,,
,,2004 - 2005,"1,322.00","1,005.00",0.76,,,,,,,,,,,,
,,2005 - 2006,"1,340.00","1,005.00",0.75,,,,,,,,,,,,
,,2006 - 2007,"1,390.00","1,042.00",0.75,,,,,,,,,,,,
,,2007 - 2008,"1,450.00","1,087.00",0.75,,,,,,,,,,,,
,,2008 - 2009,"1,431.00","1,073.00",0.75,,,,,,,,,,,,
,,2009 - 2010,"1,445.00","1,084.00",0.75,,,,,,,,,,,,
,,2010 - 2011,"1,465.00","1,026.00",0.7,,,,,,,,,,,,
,,2011 - 2012,"1,485.00","1,126.00",0.76,,,,,,,,,,,,
,,2012 - 2013,"1,515.00","1,212.00",0.8,,,,,,,,,,,,
,,2013 - 2014,"1,530.00","1,224.00",0.8,,,,,,,,,,,,
,,2014 - 2015,"1,747.00","1,536.00",0.88,,,,,,,,,,,,
,,2015 - 2016,"1,772.00","1,560.00",0.88,,,,,,,,,,,,
,,2016 - 2017,"1,772.00","1,534.00",0.87,,,,,,,,,,,,
,,2017 - 2018,"1,785.00","1,549.00",0.87,,,,,,,,,,,,
,,2018 - 2019,"1,785.00","1,553.00",0.87,,,,,,,,,,,,
,,2019 - 2020,"1,786.00","1,555.00",0.87,,,,,,,,,,,,
,,2020 - 2021,"1,787.00","1,561.00",0.87,,,,,,,,,,,,
,,2022 - 2023,"1,832.00","1,636.00",0.89,,,,,,,,,,,,
,13. Lower siang,2018 - 2019,"1,848.00","1,761.00",0.95,,,,,,,,,,,,
,,2019 - 2020,"1,664.00","1,587.00",0.95,,,,,,,,,,,,
,,2020 - 2021,"1,665.00","1,593.00",0.96,,,,,,,,,,,,
,,2022 - 2023,"1,691.00","1,623.00",0.96,,,,,,,,,,,,
,14. Lower subansiri,2000 - 2001,"1,650.00","1,815.00",1.1,,,,,,,,,,,,
,,2001 - 2002,"1,000.00","1,165.00",1.17,,,,,,,,,,,,
,,2002 - 2003,"1,335.00","1,504.00",1.13,,,,,,,,,,,,
,,2003 - 2004,"2,374.00","3,073.00",1.29,,,,,,,,,,,,
,,2004 - 2005,"2,611.00","3,368.00",1.29,,,,,,,,,,,,
,,2005 - 2006,"2,504.00","3,602.00",1.44,,,,,,,,,,,,
,,2006 - 2007,"2,542.00","3,656.00",1.44,,,,,,,,,,,,
,,2007 - 2008,"1,850.00","1,341.00",0.72,,,,,,,,,,,,
,,2008 - 2009,"1,887.00","1,359.00",0.72,,,,,,,,,,,,
,,2009 - 2010,"1,924.00","1,443.00",0.75,,,,,,,,,,,,
,,2010 - 2011,"1,529.00","1,441.00",0.94,,,,,,,,,,,,
,,2011 - 2012,"1,503.00","1,582.00",1.05,,,,,,,,,,,,
,,2012 - 2013,"1,503.00","1,582.00",1.05,,,,,,,,,,,,
,,2013 - 2014,"1,503.00","1,583.00",1.05,,,,,,,,,,,,
,,2014 - 2015,"1,720.00","1,795.00",1.04,,,,,,,,,,,,
,,2015 - 2016,"1,745.00","1,819.00",1.04,,,,,,,,,,,,
,,2016 - 2017,"1,745.00","1,793.00",1.03,,,,,,,,,,,,
,,2017 - 2018,"1,758.00","1,806.00",1.03,,,,,,,,,,,,
,,2018 - 2019,"1,477.00","1,214.00",0.82,,,,,,,,,,,,
,,2019 - 2020,"1,478.00","1,217.00",0.82,,,,,,,,,,,,
,,2020 - 2021,"1,479.00","1,223.00",0.83,,,,,,,,,,,,
,,2022 - 2023,"1,525.00","1,255.00",0.82,,,,,,,,,,,,
,15. Namsai,2015 - 2016,87,89,1.02,,,,,,,,,,,,
,,2016 - 2017,87,79,0.91,,,,,,,,,,,,
,,2017 - 2018,100,92,0.92,,,,,,,,,,,,
,,2018 - 2019,100,96,0.96,,,,,,,,,,,,
,,2019 - 2020,100,98,0.98,,,,,,,,,,,,
,,2020 - 2021,102,106,1.04,,,,,,,,,,,,
,,2022 - 2023,108,113,1.05,,,,,,,,,,,,
,16. Pakke kessang,2019 - 2020,257,272,1.06,,,,,,,,,,,,
,,2020 - 2021,258,278,1.08,,,,,,,,,,,,
,,2022 - 2023,268,289,1.08,,,,,,,,,,,,
,17. Papum pare,2000 - 2001,509,545,1.07,,,,,,,,,,,,
,,2001 - 2002,559,595,1.06,,,,,,,,,,,,
,,2002 - 2003,550,650,1.18,,,,,,,,,,,,
,,2003 - 2004,656,728,1.11,,,,,,,,,,,,
,,2004 - 2005,600,738,1.23,,,,,,,,,,,,
,,2005 - 2006,695,861,1.24,,,,,,,,,,,,
,,2006 - 2007,695,904,1.3,,,,,,,,,,,,
,,2007 - 2008,625,750,1.2,,,,,,,,,,,,
,,2008 - 2009,627,815,1.3,,,,,,,,,,,,
,,2009 - 2010,635,857,1.35,,,,,,,,,,,,
,,2010 - 2011,639,848,1.33,,,,,,,,,,,,
,,2011 - 2012,649,931,1.43,,,,,,,,,,,,
,,2012 - 2013,641,857,1.34,,,,,,,,,,,,
,,2013 - 2014,745,"1,057.00",1.42,,,,,,,,,,,,
,,2014 - 2015,962,"1,269.00",1.32,,,,,,,,,,,,
,,2015 - 2016,995,"1,293.00",1.3,,,,,,,,,,,,
,,2016 - 2017,995,"1,267.00",1.27,,,,,,,,,,,,
,,2017 - 2018,"1,008.00","1,280.00",1.27,,,,,,,,,,,,
,,2018 - 2019,"1,008.00","1,284.00",1.27,,,,,,,,,,,,
,,2019 - 2020,"1,009.00","1,287.00",1.28,,,,,,,,,,,,
,,2020 - 2021,"1,010.00","1,293.00",1.28,,,,,,,,,,,,
,,2022 - 2023,"1,025.00","1,304.00",1.27,,,,,,,,,,,,
,18. Shi yomi,2019 - 2020,188,158,0.84,,,,,,,,,,,,
,,2020 - 2021,189,164,0.87,,,,,,,,,,,,
,,2022 - 2023,221,246,1.11,,,,,,,,,,,,
,19. Siang,2015 - 2016,"1,513.00","1,632.00",1.08,,,,,,,,,,,,
,,2016 - 2017,"1,513.00","1,592.00",1.05,,,,,,,,,,,,
,,2017 - 2018,"1,526.00","1,605.00",1.05,,,,,,,,,,,,
,,2018 - 2019,"1,526.00","1,609.00",1.05,,,,,,,,,,,,
,,2019 - 2020,"1,526.00","1,611.00",1.06,,,,,,,,,,,,
,,2020 - 2021,"1,527.00","1,619.00",1.06,,,,,,,,,,,,
,,2022 - 2023,"1,557.00","1,664.00",1.07,,,,,,,,,,,,
,20. Tawang,2000 - 2001,880,945,1.07,,,,,,,,,,,,
,,2001 - 2002,884,949,1.07,,,,,,,,,,,,
,,2002 - 2003,885,948,1.07,,,,,,,,,,,,
,,2003 - 2004,835,"1,002.00",1.2,,,,,,,,,,,,
,,2004 - 2005,835,"1,002.00",1.2,,,,,,,,,,,,
,,2005 - 2006,835,"1,002.00",1.2,,,,,,,,,,,,
,,2006 - 2007,835,"1,002.00",1.2,,,,,,,,,,,,
,,2007 - 2008,835,"1,002.00",1.2,,,,,,,,,,,,
,,2008 - 2009,850,"1,105.00",1.3,,,,,,,,,,,,
,,2009 - 2010,"1,000.00","1,200.00",1.2,,,,,,,,,,,,
,,2010 - 2011,"1,010.00","1,212.00",1.2,,,,,,,,,,,,
,,2011 - 2012,"1,015.00","1,331.00",1.31,,,,,,,,,,,,
,,2012 - 2013,"1,015.00","1,218.00",1.2,,,,,,,,,,,,
,,2013 - 2014,"1,015.00","1,218.00",1.2,,,,,,,,,,,,
,,2014 - 2015,"1,223.00","1,435.00",1.17,,,,,,,,,,,,
,,2015 - 2016,"1,248.00","1,460.00",1.17,,,,,,,,,,,,
,,2016 - 2017,"1,248.00","1,426.00",1.14,,,,,,,,,,,,
,,2017 - 2018,"1,261.00","1,439.00",1.14,,,,,,,,,,,,
,,2018 - 2019,"1,261.00","1,443.00",1.14,,,,,,,,,,,,
,,2019 - 2020,"1,262.00","1,446.00",1.15,,,,,,,,,,,,
,,2020 - 2021,"1,263.00","1,452.00",1.15,,,,,,,,,,,,
,,2022 - 2023,"1,291.00","1,492.00",1.16,,,,,,,,,,,,
,21. Tirap,2000 - 2001,"4,138.00","2,720.00",0.66,,,,,,,,,,,,
,,2001 - 2002,400,342,0.86,,,,,,,,,,,,
,,2002 - 2003,"4,470.00","3,008.00",0.67,,,,,,,,,,,,
,,2003 - 2004,"4,470.00","3,627.00",0.81,,,,,,,,,,,,
,,2004 - 2005,"4,775.00","3,626.00",0.76,,,,,,,,,,,,
,,2005 - 2006,"4,780.00","3,630.00",0.76,,,,,,,,,,,,
,,2006 - 2007,"4,785.00","3,635.00",0.76,,,,,,,,,,,,
,,2007 - 2008,"4,780.00","3,635.00",0.76,,,,,,,,,,,,
,,2008 - 2009,"4,775.00","2,865.00",0.6,,,,,,,,,,,,
,,2009 - 2010,"4,532.00","2,870.00",0.63,,,,,,,,,,,,
,,2010 - 2011,"4,556.00","2,878.00",0.63,,,,,,,,,,,,
,,2011 - 2012,"4,556.00","3,162.00",0.69,,,,,,,,,,,,
,,2012 - 2013,"4,560.00","4,560.00",1,,,,,,,,,,,,
,,2013 - 2014,"2,150.00","2,580.00",1.2,,,,,,,,,,,,
,,2014 - 2015,"1,598.00","1,317.00",0.82,,,,,,,,,,,,
,,2015 - 2016,"1,623.00","1,371.00",0.84,,,,,,,,,,,,
,,2016 - 2017,"1,623.00","1,345.00",0.83,,,,,,,,,,,,
,,2017 - 2018,"1,636.00","1,360.00",0.83,,,,,,,,,,,,
,,2018 - 2019,"1,636.00","1,364.00",0.83,,,,,,,,,,,,
,,2019 - 2020,"1,636.00","1,366.00",0.83,,,,,,,,,,,,
,,2020 - 2021,"1,637.00","1,374.00",0.84,,,,,,,,,,,,
,,2022 - 2023,"1,665.00","1,405.00",0.84,,,,,,,,,,,,
,22. Upper siang,2000 - 2001,"1,250.00",850,0.68,,,,,,,,,,,,
,,2001 - 2002,530,503,0.95,,,,,,,,,,,,
,,2002 - 2003,"1,500.00","1,200.00",0.8,,,,,,,,,,,,
,,2003 - 2004,"1,500.00","1,200.00",0.8,,,,,,,,,,,,
,,2004 - 2005,"1,058.00","1,058.00",1,,,,,,,,,,,,
,,2005 - 2006,"1,100.00","1,100.00",1,,,,,,,,,,,,
,,2006 - 2007,"1,100.00","1,100.00",1,,,,,,,,,,,,
,,2007 - 2008,"1,110.00",860,0.77,,,,,,,,,,,,
,,2008 - 2009,"1,110.00",555,0.5,,,,,,,,,,,,
,,2009 - 2010,"1,110.00",666,0.6,,,,,,,,,,,,
,,2010 - 2011,"1,110.00",666,0.6,,,,,,,,,,,,
,,2011 - 2012,"1,110.00",731,0.66,,,,,,,,,,,,
,,2012 - 2013,"1,100.00",715,0.65,,,,,,,,,,,,
,,2013 - 2014,"1,140.00",975,0.86,,,,,,,,,,,,
,,2014 - 2015,"1,357.00","1,187.00",0.87,,,,,,,,,,,,
,,2015 - 2016,"1,392.00","1,305.00",0.94,,,,,,,,,,,,
,,2016 - 2017,"1,392.00","1,279.00",0.92,,,,,,,,,,,,
,,2017 - 2018,"1,405.00","1,294.00",0.92,,,,,,,,,,,,
,,2018 - 2019,"1,405.00","1,298.00",0.92,,,,,,,,,,,,
,,2019 - 2020,"1,406.00","1,300.00",0.92,,,,,,,,,,,,
,,2020 - 2021,"1,407.00","1,306.00",0.93,,,,,,,,,,,,
,,2022 - 2023,"1,450.00","1,356.00",0.94,,,,,,,,,,,,
,23. Upper subansiri,2000 - 2001,"1,200.00","1,335.00",1.11,,,,,,,,,,,,
,,2001 - 2002,"1,600.00","1,750.00",1.09,,,,,,,,,,,,
,,2002 - 2003,"1,050.00","1,140.00",1.09,,,,,,,,,,,,
,,2003 - 2004,"1,055.00","1,145.00",1.09,,,,,,,,,,,,
,,2004 - 2005,"1,056.00","1,146.00",1.09,,,,,,,,,,,,
,,2005 - 2006,"1,669.00","1,575.00",0.94,,,,,,,,,,,,
,,2006 - 2007,"1,237.00","1,113.00",0.9,,,,,,,,,,,,
,,2007 - 2008,"1,629.00","1,938.00",1.19,,,,,,,,,,,,
,,2008 - 2009,"1,477.00","1,610.00",1.09,,,,,,,,,,,,
,,2009 - 2010,"1,253.00","1,366.00",1.09,,,,,,,,,,,,
,,2010 - 2011,"1,286.00","1,658.00",1.29,,,,,,,,,,,,
,,2011 - 2012,"1,295.00","1,820.00",1.41,,,,,,,,,,,,
,,2012 - 2013,"1,452.00","2,015.00",1.39,,,,,,,,,,,,
,,2013 - 2014,"1,570.00","2,112.00",1.35,,,,,,,,,,,,
,,2014 - 2015,"1,787.00","2,324.00",1.3,,,,,,,,,,,,
,,2015 - 2016,"1,820.00","2,348.00",1.29,,,,,,,,,,,,
,,2016 - 2017,"1,820.00","2,322.00",1.28,,,,,,,,,,,,
,,2017 - 2018,"1,838.00","2,335.00",1.27,,,,,,,,,,,,
,,2018 - 2019,"1,544.00","1,965.00",1.27,,,,,,,,,,,,
,,2019 - 2020,"1,545.00","1,968.00",1.27,,,,,,,,,,,,
,,2020 - 2021,"1,546.00","1,974.00",1.28,,,,,,,,,,,,
,,2022 - 2023,"1,585.00","2,011.00",1.27,,,,,,,,,,,,
,24. West kameng,2000 - 2001,"1,299.00","1,260.00",0.97,,,,,,,,,,,,
,,2001 - 2002,"1,299.00","1,260.00",0.97,,,,,,,,,,,,
,,2002 - 2003,"1,299.00","1,260.00",0.97,,,,,,,,,,,,
,,2003 - 2004,"1,300.00","1,261.00",0.97,,,,,,,,,,,,
,,2004 - 2005,"1,300.00","1,262.00",0.97,,,,,,,,,,,,
,,2005 - 2006,977,948,0.97,,,,,,,,,,,,
,,2006 - 2007,972,943,0.97,,,,,,,,,,,,
,,2007 - 2008,972,947,0.97,,,,,,,,,,,,
,,2008 - 2009,958,"1,008.00",1.05,,,,,,,,,,,,
,,2009 - 2010,"1,011.00",998,0.99,,,,,,,,,,,,
,,2010 - 2011,"1,010.00",990,0.98,,,,,,,,,,,,
,,2011 - 2012,"1,015.00","1,087.00",1.07,,,,,,,,,,,,
,,2012 - 2013,"1,010.00",990,0.98,,,,,,,,,,,,
,,2013 - 2014,"1,012.00",992,0.98,,,,,,,,,,,,
,,2014 - 2015,"1,229.00","1,204.00",0.98,,,,,,,,,,,,
,,2015 - 2016,"1,254.00","1,228.00",0.98,,,,,,,,,,,,
,,2016 - 2017,"1,254.00","1,202.00",0.96,,,,,,,,,,,,
,,2017 - 2018,"1,267.00","1,215.00",0.96,,,,,,,,,,,,
,,2018 - 2019,"1,267.00","1,219.00",0.96,,,,,,,,,,,,
,,2019 - 2020,"1,268.00","1,222.00",0.96,,,,,,,,,,,,
,,2020 - 2021,"1,269.00","1,228.00",0.97,,,,,,,,,,,,
,,2022 - 2023,"1,307.00","1,273.00",0.97,,,,,,,,,,,,
,25. West siang,2000 - 2001,"2,526.00","2,053.00",0.81,,,,,,,,,,,,
,,2001 - 2002,"2,538.00","2,147.00",0.85,,,,,,,,,,,,
,,2002 - 2003,"2,553.00","2,128.00",0.83,,,,,,,,,,,,
,,2003 - 2004,"2,554.00","2,148.00",0.84,,,,,,,,,,,,
,,2004 - 2005,"2,576.00","2,176.00",0.84,,,,,,,,,,,,
,,2005 - 2006,"2,622.00","2,284.00",0.87,,,,,,,,,,,,
,,2006 - 2007,"2,538.00","2,166.00",0.85,,,,,,,,,,,,
,,2007 - 2008,"2,602.00","2,203.00",0.85,,,,,,,,,,,,
,,2008 - 2009,"2,612.00","2,234.00",0.86,,,,,,,,,,,,
,,2009 - 2010,"2,620.00","2,281.00",0.87,,,,,,,,,,,,
,,2010 - 2011,"2,622.00","2,297.00",0.88,,,,,,,,,,,,
,,2011 - 2012,"2,563.00","2,522.00",0.98,,,,,,,,,,,,
,,2012 - 2013,"2,449.00","2,006.00",0.82,,,,,,,,,,,,
,,2013 - 2014,"2,454.00","2,026.00",0.83,,,,,,,,,,,,
,,2014 - 2015,"2,671.00","2,238.00",0.84,,,,,,,,,,,,
,,2015 - 2016,"2,028.00","1,702.00",0.84,,,,,,,,,,,,
,,2016 - 2017,"2,028.00","1,676.00",0.83,,,,,,,,,,,,
,,2017 - 2018,"2,041.00","1,691.00",0.83,,,,,,,,,,,,
,,2018 - 2019,837,697,0.83,,,,,,,,,,,,
,,2019 - 2020,440,367,0.83,,,,,,,,,,,,
,,2020 - 2021,441,373,0.85,,,,,,,,,,,,
,,2022 - 2023,460,391,0.85,,,,,,,,,,,,
3. Assam,1. Baksa,2005 - 2006,247,110,0.45,,,,,,,,,,,,
,,2006 - 2007,278,124,0.45,,,,,,,,,,,,
,,2007 - 2008,284,127,0.45,,,,,,,,,,,,
,,2008 - 2009,267,131,0.49,,,,,,,,,,,,
,,2009 - 2010,276,127,0.46,,,,,,,,,,,,
,,2010 - 2011,250,112,0.45,,,,,,,,,,,,
,,2011 - 2012,264,128,0.48,,,,,,,,,,,,
,,2012 - 2013,280,128,0.46,,,,,,,,,,,,
,,2013 - 2014,290,131,0.45,,,,,,,,,,,,
,,2014 - 2015,300,171,0.57,,,,,,,,,,,,
,,2015 - 2016,302,315,1.04,,,,,,,,,,,,
,,2016 - 2017,300,175,0.58,,,,,,,,,,,,
,,2017 - 2018,274,176,0.64,,,,,,,,,,,,
,,2018 - 2019,275,154,0.56,,,,,,,,,,,,
,,2019 - 2020,275,179,0.65,,,,,,,,,,,,
,,2020 - 2021,258,183,0.71,,,,,,,,,,,,
,,2021 - 2022,230,164,0.71,,,,,,,,,,,,
,,2022 - 2023,245,271,1.11,,,,,,,,,,,,
,2. Barpeta,2000 - 2001,"2,590.00","1,295.00",0.5,,,,,,,,,,,,
,,2001 - 2002,"1,330.00",665,0.5,,,,,,,,,,,,
,,2002 - 2003,"1,330.00",665,0.5,,,,,,,,,,,,
,,2003 - 2004,"1,330.00",665,0.5,,,,,,,,,,,,
,,2004 - 2005,"1,320.00",660,0.5,,,,,,,,,,,,
,,2005 - 2006,809,405,0.5,,,,,,,,,,,,
,,2006 - 2007,863,432,0.5,,,,,,,,,,,,
,,2007 - 2008,892,446,0.5,,,,,,,,,,,,
,,2008 - 2009,674,349,0.52,,,,,,,,,,,,
,,2009 - 2010,681,344,0.51,,,,,,,,,,,,
,,2010 - 2011,667,338,0.51,,,,,,,,,,,,
,,2011 - 2012,658,357,0.54,,,,,,,,,,,,
,,2012 - 2013,572,296,0.52,,,,,,,,,,,,
,,2013 - 2014,515,271,0.53,,,,,,,,,,,,
,,2014 - 2015,514,332,0.65,,,,,,,,,,,,
,,2015 - 2016,507,358,0.71,,,,,,,,,,,,
,,2016 - 2017,500,301,0.6,,,,,,,,,,,,
,,2017 - 2018,487,289,0.59,,,,,,,,,,,,
,,2018 - 2019,501,295,0.59,,,,,,,,,,,,
,,2019 - 2020,481,283,0.59,,,,,,,,,,,,
,,2020 - 2021,470,278,0.59,,,,,,,,,,,,
,,2021 - 2022,593,365,0.62,,,,,,,,,,,,
,,2022 - 2023,526,328,0.62,,,,,,,,,,,,
,3. Biswanath,2020 - 2021,41,23,0.56,,,,,,,,,,,,
,,2021 - 2022,19,14,0.74,,,,,,,,,,,,
,,2022 - 2023,322,222,0.69,,,,,,,,,,,,
,4. Bongaigaon,2000 - 2001,853,463,0.54,,,,,,,,,,,,
,,2001 - 2002,856,466,0.54,,,,,,,,,,,,
,,2002 - 2003,782,432,0.55,,,,,,,,,,,,
,,2003 - 2004,843,457,0.54,,,,,,,,,,,,
,,2004 - 2005,822,443,0.54,,,,,,,,,,,,
,,2005 - 2006,585,283,0.48,,,,,,,,,,,,
,,2006 - 2007,592,287,0.48,,,,,,,,,,,,
,,2007 - 2008,535,253,0.47,,,,,,,,,,,,
,,2008 - 2009,533,261,0.49,,,,,,,,,,,,
,,2009 - 2010,541,258,0.48,,,,,,,,,,,,
,,2010 - 2011,539,256,0.47,,,,,,,,,,,,
,,2011 - 2012,528,290,0.55,,,,,,,,,,,,
,,2012 - 2013,485,233,0.48,,,,,,,,,,,,
,,2013 - 2014,"1,110.00",499,0.45,,,,,,,,,,,,
,,2014 - 2015,"1,083.00",612,0.57,,,,,,,,,,,,
,,2015 - 2016,"1,084.00",626,0.58,,,,,,,,,,,,
,,2016 - 2017,711,378,0.53,,,,,,,,,,,,
,,2017 - 2018,963,454,0.47,,,,,,,,,,,,
,,2018 - 2019,924,523,0.57,,,,,,,,,,,,
,,2019 - 2020,920,411,0.45,,,,,,,,,,,,
,,2020 - 2021,900,526,0.58,,,,,,,,,,,,
,,2021 - 2022,715,320,0.45,,,,,,,,,,,,
,,2022 - 2023,825,389,0.47,,,,,,,,,,,,
,5. Cachar,2000 - 2001,24,10,0.42,,,,,,,,,,,,
,,2001 - 2002,25,10,0.4,,,,,,,,,,,,
,,2002 - 2003,26,11,0.42,,,,,,,,,,,,
,,2003 - 2004,28,12,0.43,,,,,,,,,,,,
,,2004 - 2005,26,12,0.46,,,,,,,,,,,,
,,2005 - 2006,28,13,0.46,,,,,,,,,,,,
,,2006 - 2007,31,15,0.48,,,,,,,,,,,,
,,2007 - 2008,28,14,0.5,,,,,,,,,,,,
,,2008 - 2009,30,14,0.47,,,,,,,,,,,,
,,2009 - 2010,30,15,0.5,,,,,,,,,,,,
,,2010 - 2011,20,10,0.5,,,,,,,,,,,,
,,2011 - 2012,20,10,0.5,,,,,,,,,,,,
,,2012 - 2013,22,12,0.55,,,,,,,,,,,,
,,2013 - 2014,26,13,0.5,,,,,,,,,,,,
,,2014 - 2015,27,17,0.63,,,,,,,,,,,,
,,2015 - 2016,25,12,0.48,,,,,,,,,,,,
,,2016 - 2017,24,12,0.5,,,,,,,,,,,,
,,2017 - 2018,22,10,0.45,,,,,,,,,,,,
,,2018 - 2019,18,14,0.78,,,,,,,,,,,,
,,2019 - 2020,6,3,0.5,,,,,,,,,,,,
,,2020 - 2021,15,12,0.8,,,,,,,,,,,,
,,2021 - 2022,16,13,0.81,,,,,,,,,,,,
,,2022 - 2023,65,51,0.78,,,,,,,,,,,,
,6. Chirang,2005 - 2006,260,126,0.48,,,,,,,,,,,,
,,2006 - 2007,275,133,0.48,,,,,,,,,,,,
,,2007 - 2008,132,62,0.47,,,,,,,,,,,,
,,2008 - 2009,126,64,0.51,,,,,,,,,,,,
,,2009 - 2010,178,87,0.49,,,,,,,,,,,,
,,2010 - 2011,61,28,0.46,,,,,,,,,,,,
,,2011 - 2012,122,63,0.52,,,,,,,,,,,,
,,2012 - 2013,54,25,0.46,,,,,,,,,,,,
,,2013 - 2014,63,50,0.79,,,,,,,,,,,,
,,2014 - 2015,70,40,0.57,,,,,,,,,,,,
,,2015 - 2016,7,11,1.57,,,,,,,,,,,,
,,2016 - 2017,10,10,1,,,,,,,,,,,,
,,2017 - 2018,10,7,0.7,,,,,,,,,,,,
,,2018 - 2019,9,5,0.56,,,,,,,,,,,,
,,2019 - 2020,59,36,0.61,,,,,,,,,,,,
,,2020 - 2021,48,30,0.63,,,,,,,,,,,,
,,2021 - 2022,62,42,0.68,,,,,,,,,,,,
,,2022 - 2023,327,342,1.05,,,,,,,,,,,,
,7. Darrang,2000 - 2001,240,157,0.65,,,,,,,,,,,,
,,2001 - 2002,247,161,0.65,,,,,,,,,,,,
,,2002 - 2003,262,171,0.65,,,,,,,,,,,,
,,2003 - 2004,246,160,0.65,,,,,,,,,,,,
,,2004 - 2005,150,96,0.64,,,,,,,,,,,,
,,2005 - 2006,137,91,0.66,,,,,,,,,,,,
,,2006 - 2007,103,68,0.66,,,,,,,,,,,,
,,2007 - 2008,57,38,0.67,,,,,,,,,,,,
,,2009 - 2010,101,67,0.66,,,,,,,,,,,,
,,2010 - 2011,45,30,0.67,,,,,,,,,,,,
,,2011 - 2012,42,29,0.69,,,,,,,,,,,,
