State,District,Year,Small millets,,,,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2012 - 2013,786,905,1.15,,,,,,,,,,,,
,,2013 - 2014,790,921,1.17,,,,,,,,,,,,
,,2014 - 2015,790,921,1.17,,,,,,,,,,,,
,,2015 - 2016,815,851,1.04,,,,,,,,,,,,
,,2016 - 2017,815,825,1.01,,,,,,,,,,,,
,,2017 - 2018,828,838,1.01,,,,,,,,,,,,
,,2018 - 2019,828,842,1.02,,,,,,,,,,,,
,,2019 - 2020,829,844,1.02,,,,,,,,,,,,
,,2020 - 2021,830,850,1.02,,,,,,,,,,,,
,,2022 - 2023,843,866,1.03,,,,,,,,,,,,
,4. East kameng,2000 - 2001,417,375,0.9,,,,,,,,,,,,
,,2001 - 2002,"2,230.00","2,552.00",1.14,,,,,,,,,,,,
,,2002 - 2003,440,401,0.91,,,,,,,,,,,,
,,2003 - 2004,445,406,0.91,,,,,,,,,,,,
,,2004 - 2005,480,436,0.91,,,,,,,,,,,,
,,2005 - 2006,495,481,0.97,,,,,,,,,,,,
,,2006 - 2007,485,475,0.98,,,,,,,,,,,,
,,2007 - 2008,490,485,0.99,,,,,,,,,,,,
,,2008 - 2009,502,491,0.98,,,,,,,,,,,,
,,2009 - 2010,510,559,1.1,,,,,,,,,,,,
,,2010 - 2011,520,570,1.1,,,,,,,,,,,,
,,2011 - 2012,528,626,1.19,,,,,,,,,,,,
,,2012 - 2013,588,689,1.17,,,,,,,,,,,,
,,2013 - 2014,600,675,1.13,,,,,,,,,,,,
,,2014 - 2015,817,887,1.09,,,,,,,,,,,,
,,2015 - 2016,842,911,1.08,,,,,,,,,,,,
,,2016 - 2017,842,885,1.05,,,,,,,,,,,,
,,2017 - 2018,855,898,1.05,,,,,,,,,,,,
,,2018 - 2019,855,902,1.05,,,,,,,,,,,,
,,2019 - 2020,599,633,1.06,,,,,,,,,,,,
,,2020 - 2021,600,639,1.07,,,,,,,,,,,,
,,2022 - 2023,611,654,1.07,,,,,,,,,,,,
,5. East siang,2000 - 2001,"2,220.00","2,500.00",1.13,,,,,,,,,,,,
,,2001 - 2002,"1,390.00","1,080.00",0.78,,,,,,,,,,,,
,,2002 - 2003,"2,230.00","2,557.00",1.15,,,,,,,,,,,,
,,2003 - 2004,"2,170.00","2,658.00",1.22,,,,,,,,,,,,
,,2004 - 2005,"2,220.00","2,470.00",1.11,,,,,,,,,,,,
,,2005 - 2006,"2,220.00","2,740.00",1.23,,,,,,,,,,,,
,,2006 - 2007,"2,220.00","2,740.00",1.23,,,,,,,,,,,,
,,2007 - 2008,"2,220.00","2,528.00",1.14,,,,,,,,,,,,
,,2008 - 2009,"2,220.00","2,740.00",1.23,,,,,,,,,,,,
,,2009 - 2010,"2,220.00","2,740.00",1.23,,,,,,,,,,,,
,,2010 - 2011,"2,287.00","2,822.00",1.23,,,,,,,,,,,,
,,2011 - 2012,"2,303.00","3,098.00",1.35,,,,,,,,,,,,
,,2012 - 2013,"2,461.00","3,116.00",1.27,,,,,,,,,,,,
,,2013 - 2014,"2,501.00","3,172.00",1.27,,,,,,,,,,,,
,,2014 - 2015,"2,818.00","3,374.00",1.2,,,,,,,,,,,,
,,2015 - 2016,"2,001.00","2,386.00",1.19,,,,,,,,,,,,
,,2016 - 2017,"2,001.00","2,360.00",1.18,,,,,,,,,,,,
,,2017 - 2018,"2,014.00","2,373.00",1.18,,,,,,,,,,,,
,,2018 - 2019,"1,380.00","1,632.00",1.18,,,,,,,,,,,,
,,2019 - 2020,"1,381.00","1,634.00",1.18,,,,,,,,,,,,
,,2020 - 2021,"1,382.00","1,640.00",1.19,,,,,,,,,,,,
,,2022 - 2023,"1,411.00","1,668.00",1.18,,,,,,,,,,,,
,6. Kamle,2018 - 2019,575,974,1.69,,,,,,,,,,,,
,,2019 - 2020,576,977,1.7,,,,,,,,,,,,
,,2020 - 2021,577,983,1.7,,,,,,,,,,,,
,,2022 - 2023,591,"1,006.00",1.7,,,,,,,,,,,,
,7. Kra daadi,2015 - 2016,207,217,1.05,,,,,,,,,,,,
,,2016 - 2017,207,191,0.92,,,,,,,,,,,,
