State,District,Year,Rapeseed &Mustard,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2013 - 2014,"15,490.00","7,946.00",0.51,,,,,,,,,
,,2014 - 2015,"15,205.00","9,017.00",0.59,,,,,,,,,
,,2015 - 2016,"14,996.00","9,417.00",0.63,,,,,,,,,
,,2016 - 2017,"15,975.00","8,595.00",0.54,,,,,,,,,
,,2017 - 2018,"15,392.00","8,666.00",0.56,,,,,,,,,
,,2018 - 2019,"13,340.00","8,551.00",0.64,,,,,,,,,
,,2019 - 2020,"13,572.00","10,898.00",0.8,,,,,,,,,
,,2020 - 2021,"12,715.00","9,778.00",0.77,,,,,,,,,
,,2021 - 2022,"17,068.00","14,661.00",0.86,,,,,,,,,
,,2022 - 2023,"20,163.00","13,348.00",0.66,,,,,,,,,
,9. Dhemaji,2000 - 2001,"11,070.00","4,396.00",0.4,,,,,,,,,
,,2001 - 2002,"9,960.00","4,711.00",0.47,,,,,,,,,
,,2002 - 2003,"10,045.00","3,694.00",0.37,,,,,,,,,
,,2003 - 2004,"10,410.00","3,420.00",0.33,,,,,,,,,
,,2004 - 2005,"8,052.00","2,711.00",0.34,,,,,,,,,
,,2005 - 2006,"8,900.00","3,012.00",0.34,,,,,,,,,
,,2006 - 2007,"11,140.00","3,667.00",0.33,,,,,,,,,
,,2007 - 2008,"11,255.00","5,125.00",0.46,,,,,,,,,
,,2008 - 2009,"16,940.00","7,475.00",0.44,,,,,,,,,
,,2009 - 2010,"16,810.00","9,414.00",0.56,,,,,,,,,
,,2010 - 2011,"16,800.00","8,214.00",0.49,,,,,,,,,
,,2011 - 2012,"16,950.00","7,945.00",0.47,,,,,,,,,
,,2012 - 2013,"17,330.00","7,123.00",0.41,,,,,,,,,
,,2013 - 2014,"20,095.00","8,816.00",0.44,,,,,,,,,
,,2014 - 2015,"16,930.00","17,650.00",1.04,,,,,,,,,
,,2015 - 2016,"17,112.00","21,356.00",1.25,,,,,,,,,
,,2016 - 2017,"17,295.00","12,342.00",0.71,,,,,,,,,
,,2017 - 2018,"16,315.00","9,835.00",0.6,,,,,,,,,
,,2018 - 2019,"16,300.00","9,106.00",0.56,,,,,,,,,
,,2019 - 2020,"16,245.00","8,276.00",0.51,,,,,,,,,
,,2020 - 2021,"16,206.00","12,936.00",0.8,,,,,,,,,
,,2021 - 2022,"16,196.00","8,939.00",0.55,,,,,,,,,
,,2022 - 2023,"22,455.00","22,604.00",1.01,,,,,,,,,
,10. Dhubri,2000 - 2001,"12,898.00","6,201.00",0.48,,,,,,,,,
,,2001 - 2002,"12,010.00","6,162.00",0.51,,,,,,,,,
,,2002 - 2003,"10,197.00","4,732.00",0.46,,,,,,,,,
,,2003 - 2004,"10,335.00","7,460.00",0.72,,,,,,,,,
,,2004 - 2005,"11,140.00","7,010.00",0.63,,,,,,,,,
,,2005 - 2006,"7,154.00","3,395.00",0.47,,,,,,,,,
,,2006 - 2007,"8,332.00","3,954.00",0.47,,,,,,,,,
,,2007 - 2008,"8,891.00","4,219.00",0.47,,,,,,,,,
,,2008 - 2009,"11,332.00","5,969.00",0.53,,,,,,,,,
,,2009 - 2010,"12,120.00","6,269.00",0.52,,,,,,,,,
,,2010 - 2011,"14,400.00","9,803.00",0.68,,,,,,,,,
,,2011 - 2012,"15,175.00","10,116.00",0.67,,,,,,,,,
,,2012 - 2013,"15,330.00","11,387.00",0.74,,,,,,,,,
,,2013 - 2014,"15,410.00","12,329.00",0.8,,,,,,,,,
,,2014 - 2015,"15,305.00","12,924.00",0.84,,,,,,,,,
,,2015 - 2016,"16,342.00","13,127.00",0.8,,,,,,,,,
,,2016 - 2017,"16,174.00","11,860.00",0.73,,,,,,,,,
,,2017 - 2018,"15,941.00","12,097.00",0.76,,,,,,,,,
,,2018 - 2019,"15,994.00","12,496.00",0.78,,,,,,,,,
,,2019 - 2020,"18,966.00","14,385.00",0.76,,,,,,,,,
,,2020 - 2021,"16,790.00","12,415.00",0.74,,,,,,,,,
,,2021 - 2022,"16,790.00","13,651.00",0.81,,,,,,,,,
,,2022 - 2023,"20,253.00","19,086.00",0.94,,,,,,,,,
,11. Dibrugarh,2000 - 2001,"12,232.00","4,942.00",0.4,,,,,,,,,
,,2001 - 2002,"12,476.00","6,338.00",0.51,,,,,,,,,
,,2002 - 2003,"12,071.00","5,480.00",0.45,,,,,,,,,
,,2003 - 2004,"11,075.00","7,154.00",0.65,,,,,,,,,
,,2004 - 2005,"11,085.00","7,748.00",0.7,,,,,,,,,
,,2005 - 2006,670,366,0.55,,,,,,,,,
,,2006 - 2007,578,339,0.59,,,,,,,,,
,,2007 - 2008,805,451,0.56,,,,,,,,,
,,2008 - 2009,810,420,0.52,,,,,,,,,
,,2009 - 2010,992,693,0.7,,,,,,,,,
,,2010 - 2011,"1,132.00",695,0.61,,,,,,,,,
,,2011 - 2012,"2,322.00","2,294.00",0.99,,,,,,,,,
,,2012 - 2013,"2,435.00","2,161.00",0.89,,,,,,,,,
,,2013 - 2014,"2,819.00","1,768.00",0.63,,,,,,,,,
,,2014 - 2015,"2,750.00","1,925.00",0.7,,,,,,,,,
,,2015 - 2016,"2,564.00","2,195.00",0.86,,,,,,,,,
,,2016 - 2017,"2,469.00","2,464.00",1,,,,,,,,,
,,2017 - 2018,"2,594.00","2,571.00",0.99,,,,,,,,,
,,2018 - 2019,"2,453.00","2,046.00",0.83,,,,,,,,,
,,2019 - 2020,"2,306.00","1,423.00",0.62,,,,,,,,,
,,2020 - 2021,"2,306.00","1,919.00",0.83,,,,,,,,,
,,2021 - 2022,"2,306.00","1,372.00",0.59,,,,,,,,,
,,2022 - 2023,"2,291.00","2,955.00",1.29,,,,,,,,,
,12. Dima hasao,2000 - 2001,"2,325.00",607,0.26,,,,,,,,,
,,2001 - 2002,"2,327.00",742,0.32,,,,,,,,,
,,2002 - 2003,"2,328.00",801,0.34,,,,,,,,,
,,2003 - 2004,"2,333.00","1,041.00",0.45,,,,,,,,,
,,2004 - 2005,"2,335.00",890,0.38,,,,,,,,,
,,2005 - 2006,"2,335.00",813,0.35,,,,,,,,,
,,2006 - 2007,"2,339.00","1,055.00",0.45,,,,,,,,,
,,2007 - 2008,"2,343.00",715,0.31,,,,,,,,,
,,2008 - 2009,"2,340.00",700,0.3,,,,,,,,,
,,2009 - 2010,"2,970.00",820,0.28,,,,,,,,,
,,2010 - 2011,"2,886.00",918,0.32,,,,,,,,,
,,2011 - 2012,"2,525.00",689,0.27,,,,,,,,,
,,2012 - 2013,"3,678.00","1,171.00",0.32,,,,,,,,,
,,2013 - 2014,"4,136.00","1,274.00",0.31,,,,,,,,,
,,2014 - 2015,"3,074.00",941,0.31,,,,,,,,,
,,2015 - 2016,"3,049.00","1,790.00",0.59,,,,,,,,,
,,2016 - 2017,"3,420.00","3,263.00",0.95,,,,,,,,,
,,2017 - 2018,"3,049.00","3,238.00",1.06,,,,,,,,,
,,2018 - 2019,"3,208.00","3,054.00",0.95,,,,,,,,,
,,2019 - 2020,"3,538.00","3,071.00",0.87,,,,,,,,,
,,2020 - 2021,"3,255.00","3,219.00",0.99,,,,,,,,,
,,2021 - 2022,"1,883.00","1,687.00",0.9,,,,,,,,,
,,2022 - 2023,"1,883.00","1,721.00",0.91,,,,,,,,,
,13. Goalpara,2000 - 2001,"3,510.00","1,541.00",0.44,,,,,,,,,
,,2001 - 2002,"3,100.00","1,271.00",0.41,,,,,,,,,
,,2002 - 2003,"3,100.00","1,159.00",0.37,,,,,,,,,
,,2003 - 2004,"3,150.00","1,786.00",0.57,,,,,,,,,
,,2004 - 2005,"3,500.00","1,407.00",0.4,,,,,,,,,
,,2005 - 2006,"3,256.00","1,228.00",0.38,,,,,,,,,
,,2006 - 2007,"3,460.00","1,488.00",0.43,,,,,,,,,
,,2007 - 2008,"3,625.00","1,359.00",0.37,,,,,,,,,
,,2008 - 2009,"4,000.00","2,096.00",0.52,,,,,,,,,
,,2009 - 2010,"3,545.00","1,301.00",0.37,,,,,,,,,
,,2010 - 2011,"4,010.00","1,893.00",0.47,,,,,,,,,
,,2011 - 2012,"4,500.00","1,824.00",0.41,,,,,,,,,
,,2012 - 2013,"5,000.00","2,433.00",0.49,,,,,,,,,
,,2013 - 2014,"5,340.00","2,419.00",0.45,,,,,,,,,
,,2014 - 2015,"7,791.00","3,428.00",0.44,,,,,,,,,
,,2015 - 2016,"9,700.00","6,771.00",0.7,,,,,,,,,
,,2016 - 2017,"7,495.00","3,238.00",0.43,,,,,,,,,
,,2017 - 2018,"7,710.00","3,986.00",0.52,,,,,,,,,
,,2018 - 2019,"8,110.00","3,187.00",0.39,,,,,,,,,
,,2019 - 2020,"8,091.00","3,730.00",0.46,,,,,,,,,
,,2020 - 2021,"8,375.00","4,975.00",0.59,,,,,,,,,
,,2021 - 2022,"8,679.00","5,390.00",0.62,,,,,,,,,
,,2022 - 2023,"9,170.00","5,575.00",0.61,,,,,,,,,
,14. Golaghat,2000 - 2001,"7,553.00","4,605.00",0.61,,,,,,,,,
,,2001 - 2002,"7,720.00","3,918.00",0.51,,,,,,,,,
,,2002 - 2003,"7,728.00","4,137.00",0.54,,,,,,,,,
,,2003 - 2004,"3,036.00","2,144.00",0.71,,,,,,,,,
,,2004 - 2005,"3,210.00","1,415.00",0.44,,,,,,,,,
,,2005 - 2006,"3,195.00","1,985.00",0.62,,,,,,,,,
,,2006 - 2007,"5,161.00","3,244.00",0.63,,,,,,,,,
,,2007 - 2008,"4,570.00","2,260.00",0.49,,,,,,,,,
,,2008 - 2009,"5,390.00","2,253.00",0.42,,,,,,,,,
,,2009 - 2010,"7,100.00","2,879.00",0.41,,,,,,,,,
,,2010 - 2011,"7,337.00","2,815.00",0.38,,,,,,,,,
,,2011 - 2012,"7,671.00","3,200.00",0.42,,,,,,,,,
,,2012 - 2013,"9,511.00","3,222.00",0.34,,,,,,,,,
,,2013 - 2014,"9,634.00","4,772.00",0.5,,,,,,,,,
,,2014 - 2015,"8,729.00","4,503.00",0.52,,,,,,,,,
,,2015 - 2016,"8,999.00","4,292.00",0.48,,,,,,,,,
,,2016 - 2017,"8,725.00","5,776.00",0.66,,,,,,,,,
,,2017 - 2018,"8,184.00","5,230.00",0.64,,,,,,,,,
,,2018 - 2019,"6,087.00","3,315.00",0.54,,,,,,,,,
,,2019 - 2020,"8,086.00","2,787.00",0.34,,,,,,,,,
,,2020 - 2021,"7,449.00","3,352.00",0.45,,,,,,,,,
,,2021 - 2022,"7,587.00","3,254.00",0.43,,,,,,,,,
,,2022 - 2023,"5,565.00","5,149.00",0.93,,,,,,,,,
,15. Hailakandi,2000 - 2001,800,420,0.53,,,,,,,,,
,,2001 - 2002,800,345,0.43,,,,,,,,,
,,2002 - 2003,900,417,0.46,,,,,,,,,
,,2003 - 2004,"1,000.00",458,0.46,,,,,,,,,
,,2004 - 2005,880,368,0.42,,,,,,,,,
,,2005 - 2006,800,282,0.35,,,,,,,,,
,,2006 - 2007,815,337,0.41,,,,,,,,,
,,2007 - 2008,855,317,0.37,,,,,,,,,
,,2008 - 2009,730,278,0.38,,,,,,,,,
,,2009 - 2010,835,331,0.4,,,,,,,,,
,,2010 - 2011,780,308,0.39,,,,,,,,,
,,2011 - 2012,280,109,0.39,,,,,,,,,
,,2012 - 2013,460,189,0.41,,,,,,,,,
,,2013 - 2014,448,73,0.16,,,,,,,,,
,,2014 - 2015,375,140,0.37,,,,,,,,,
,,2015 - 2016,200,71,0.36,,,,,,,,,
,,2016 - 2017,341,116,0.34,,,,,,,,,
,,2017 - 2018,205,64,0.31,,,,,,,,,
,,2018 - 2019,220,141,0.64,,,,,,,,,
,,2019 - 2020,255,89,0.35,,,,,,,,,
,,2020 - 2021,225,83,0.37,,,,,,,,,
,,2021 - 2022,117,45,0.38,,,,,,,,,
,,2022 - 2023,106,83,0.78,,,,,,,,,
,16. Hojai,2020 - 2021,"2,408.00","1,267.00",0.53,,,,,,,,,
,,2021 - 2022,"2,408.00","1,931.00",0.8,,,,,,,,,
,,2022 - 2023,"2,408.00","2,184.00",0.91,,,,,,,,,
,17. Jorhat,2000 - 2001,"10,359.00","4,318.00",0.42,,,,,,,,,
,,2001 - 2002,"10,136.00","5,882.00",0.58,,,,,,,,,
,,2002 - 2003,"8,790.00","6,166.00",0.7,,,,,,,,,
,,2003 - 2004,"8,098.00","3,231.00",0.4,,,,,,,,,
,,2004 - 2005,"7,230.00","4,130.00",0.57,,,,,,,,,
,,2005 - 2006,"1,765.00",830,0.47,,,,,,,,,
,,2006 - 2007,"8,477.00","5,227.00",0.62,,,,,,,,,
,,2007 - 2008,"8,479.00","7,291.00",0.86,,,,,,,,,
,,2008 - 2009,"11,419.00","7,699.00",0.67,,,,,,,,,
,,2009 - 2010,"10,634.00","6,804.00",0.64,,,,,,,,,
,,2010 - 2011,"10,600.00","4,615.00",0.44,,,,,,,,,
,,2011 - 2012,"8,852.00","4,634.00",0.52,,,,,,,,,
,,2012 - 2013,"11,195.00","7,817.00",0.7,,,,,,,,,
,,2013 - 2014,"11,362.00","9,118.00",0.8,,,,,,,,,
,,2014 - 2015,"10,365.00","8,129.00",0.78,,,,,,,,,
,,2015 - 2016,"10,350.00","6,797.00",0.66,,,,,,,,,
,,2016 - 2017,"9,633.00","5,894.00",0.61,,,,,,,,,
,,2017 - 2018,"10,571.00","6,261.00",0.59,,,,,,,,,
,,2018 - 2019,"10,005.00","8,180.00",0.82,,,,,,,,,
,,2019 - 2020,"10,774.00","8,340.00",0.77,,,,,,,,,
,,2020 - 2021,"1,110.00",686,0.62,,,,,,,,,
,,2021 - 2022,"1,149.00",497,0.43,,,,,,,,,
,,2022 - 2023,"4,039.00","2,891.00",0.72,,,,,,,,,
,18. Kamrup,2000 - 2001,"15,849.00","7,792.00",0.49,,,,,,,,,
,,2001 - 2002,"17,176.00","8,937.00",0.52,,,,,,,,,
,,2002 - 2003,"16,869.00","10,676.00",0.63,,,,,,,,,
,,2003 - 2004,"16,971.00","11,365.00",0.67,,,,,,,,,
,,2004 - 2005,"8,516.00","5,993.00",0.7,,,,,,,,,
,,2005 - 2006,"6,535.00","3,798.00",0.58,,,,,,,,,
,,2006 - 2007,"7,218.00","3,996.00",0.55,,,,,,,,,
,,2007 - 2008,"8,092.00","4,311.00",0.53,,,,,,,,,
,,2008 - 2009,"7,957.00","3,408.00",0.43,,,,,,,,,
,,2009 - 2010,"8,931.00","5,282.00",0.59,,,,,,,,,
,,2010 - 2011,"8,874.00","4,554.00",0.51,,,,,,,,,
,,2011 - 2012,"8,890.00","5,371.00",0.6,,,,,,,,,
,,2012 - 2013,"9,924.00","6,066.00",0.61,,,,,,,,,
,,2013 - 2014,"10,562.00","9,268.00",0.88,,,,,,,,,
,,2014 - 2015,"10,740.00","6,404.00",0.6,,,,,,,,,
,,2015 - 2016,"10,714.00","8,271.00",0.77,,,,,,,,,
,,2016 - 2017,"11,852.00","4,512.00",0.38,,,,,,,,,
,,2017 - 2018,"11,952.00","5,574.00",0.47,,,,,,,,,
,,2018 - 2019,"11,680.00","6,503.00",0.56,,,,,,,,,
,,2019 - 2020,"10,815.00","6,516.00",0.6,,,,,,,,,
,,2020 - 2021,"15,464.00","8,958.00",0.58,,,,,,,,,
,,2021 - 2022,"18,852.00","10,418.00",0.55,,,,,,,,,
,,2022 - 2023,"18,331.00","12,445.00",0.68,,,,,,,,,
,19. Kamrup metro,2005 - 2006,946,580,0.61,,,,,,,,,
,,2006 - 2007,995,574,0.58,,,,,,,,,
,,2007 - 2008,"1,093.00",685,0.63,,,,,,,,,
,,2008 - 2009,"1,112.00",578,0.52,,,,,,,,,
,,2009 - 2010,"1,114.00",444,0.4,,,,,,,,,
,,2010 - 2011,145,62,0.43,,,,,,,,,
,,2011 - 2012,"1,153.00",785,0.68,,,,,,,,,
,,2012 - 2013,"1,610.00",671,0.42,,,,,,,,,
,,2013 - 2014,"1,616.00",827,0.51,,,,,,,,,
,,2014 - 2015,"1,651.00","1,037.00",0.63,,,,,,,,,
,,2015 - 2016,"1,730.00","1,208.00",0.7,,,,,,,,,
,,2016 - 2017,"1,747.00",943,0.54,,,,,,,,,
,,2017 - 2018,"1,368.00",874,0.64,,,,,,,,,
,,2018 - 2019,"1,413.00",800,0.57,,,,,,,,,
,,2019 - 2020,"1,413.00",585,0.41,,,,,,,,,
,,2020 - 2021,700,391,0.56,,,,,,,,,
,,2021 - 2022,521,378,0.73,,,,,,,,,
,,2022 - 2023,805,606,0.75,,,,,,,,,
,20. Karbi anglong,2000 - 2001,"17,138.00","8,932.00",0.52,,,,,,,,,
,,2001 - 2002,"17,163.00","11,135.00",0.65,,,,,,,,,
,,2002 - 2003,"17,183.00","8,633.00",0.5,,,,,,,,,
,,2003 - 2004,"16,902.00","6,941.00",0.41,,,,,,,,,
,,2004 - 2005,"16,716.00","7,582.00",0.45,,,,,,,,,
,,2005 - 2006,"16,779.00","6,571.00",0.39,,,,,,,,,
,,2006 - 2007,"16,832.00","9,435.00",0.56,,,,,,,,,
,,2007 - 2008,"16,831.00","7,305.00",0.43,,,,,,,,,
,,2008 - 2009,"17,112.00","9,035.00",0.53,,,,,,,,,
,,2009 - 2010,"17,158.00","7,788.00",0.45,,,,,,,,,
,,2010 - 2011,"17,839.00","10,436.00",0.59,,,,,,,,,
,,2011 - 2012,"19,337.00","8,652.00",0.45,,,,,,,,,
,,2012 - 2013,"19,697.00","13,460.00",0.68,,,,,,,,,
,,2013 - 2014,"19,704.00","10,009.00",0.51,,,,,,,,,
,,2014 - 2015,"19,713.00","11,316.00",0.57,,,,,,,,,
,,2015 - 2016,"19,719.00","9,322.00",0.47,,,,,,,,,
,,2016 - 2017,"21,868.00","10,279.00",0.47,,,,,,,,,
,,2017 - 2018,"23,667.00","8,673.00",0.37,,,,,,,,,
,,2018 - 2019,"23,745.00","13,671.00",0.58,,,,,,,,,
,,2019 - 2020,"23,168.00","8,711.00",0.38,,,,,,,,,
,,2020 - 2021,"14,900.00","6,169.00",0.41,,,,,,,,,
,,2021 - 2022,"14,876.00","5,445.00",0.37,,,,,,,,,
,,2022 - 2023,"15,819.00","12,386.00",0.78,,,,,,,,,
,21. Karimganj,2000 - 2001,240,113,0.47,,,,,,,,,
,,2001 - 2002,230,91,0.4,,,,,,,,,
,,2002 - 2003,240,80,0.33,,,,,,,,,
,,2003 - 2004,260,85,0.33,,,,,,,,,
,,2004 - 2005,263,105,0.4,,,,,,,,,
,,2005 - 2006,145,64,0.44,,,,,,,,,
,,2006 - 2007,250,119,0.48,,,,,,,,,
,,2007 - 2008,410,163,0.4,,,,,,,,,
,,2008 - 2009,323,62,0.19,,,,,,,,,
,,2009 - 2010,323,170,0.53,,,,,,,,,
,,2010 - 2011,323,143,0.44,,,,,,,,,
,,2011 - 2012,365,136,0.37,,,,,,,,,
,,2012 - 2013,329,162,0.49,,,,,,,,,
,,2013 - 2014,329,215,0.65,,,,,,,,,
,,2014 - 2015,188,130,0.69,,,,,,,,,
,,2015 - 2016,151,57,0.38,,,,,,,,,
,,2016 - 2017,240,150,0.63,,,,,,,,,
,,2017 - 2018,130,83,0.64,,,,,,,,,
,,2018 - 2019,162,115,0.71,,,,,,,,,
,,2019 - 2020,157,80,0.51,,,,,,,,,
,,2020 - 2021,460,272,0.59,,,,,,,,,
,,2021 - 2022,445,242,0.54,,,,,,,,,
,,2022 - 2023,455,167,0.37,,,,,,,,,
,22. Kokrajhar,2000 - 2001,"18,020.00","10,510.00",0.58,,,,,,,,,
,,2001 - 2002,"18,000.00","9,257.00",0.51,,,,,,,,,
,,2002 - 2003,"18,600.00","9,561.00",0.51,,,,,,,,,
,,2003 - 2004,"17,900.00","9,178.00",0.51,,,,,,,,,
,,2004 - 2005,"18,051.00","10,229.00",0.57,,,,,,,,,
,,2005 - 2006,"19,453.00","11,133.00",0.57,,,,,,,,,
,,2006 - 2007,"18,107.00","11,151.00",0.62,,,,,,,,,
,,2007 - 2008,"18,469.00","12,832.00",0.69,,,,,,,,,
,,2008 - 2009,"16,345.00","8,486.00",0.52,,,,,,,,,
,,2009 - 2010,"24,571.00","15,812.00",0.64,,,,,,,,,
,,2010 - 2011,"25,667.00","17,413.00",0.68,,,,,,,,,
,,2011 - 2012,"25,130.00","17,149.00",0.68,,,,,,,,,
,,2012 - 2013,"25,135.00","16,243.00",0.65,,,,,,,,,
,,2013 - 2014,"28,595.00","18,170.00",0.64,,,,,,,,,
,,2014 - 2015,"25,991.00","18,025.00",0.69,,,,,,,,,
,,2015 - 2016,"26,023.00","16,690.00",0.64,,,,,,,,,
,,2016 - 2017,"24,038.00","17,297.00",0.72,,,,,,,,,
,,2017 - 2018,"23,650.00","15,670.00",0.66,,,,,,,,,
,,2018 - 2019,"22,700.00","16,665.00",0.73,,,,,,,,,
,,2019 - 2020,"22,251.00","14,642.00",0.66,,,,,,,,,
,,2020 - 2021,"22,732.00","16,977.00",0.75,,,,,,,,,
,,2021 - 2022,"18,052.00","12,661.00",0.7,,,,,,,,,
,,2022 - 2023,"16,300.00","11,397.00",0.7,,,,,,,,,
,23. Lakhimpur,2000 - 2001,"16,711.00","8,622.00",0.52,,,,,,,,,
,,2001 - 2002,"16,747.00","5,021.00",0.3,,,,,,,,,
,,2002 - 2003,"15,973.00","5,018.00",0.31,,,,,,,,,
,,2003 - 2004,"16,405.00","7,053.00",0.43,,,,,,,,,
,,2004 - 2005,"18,535.00","9,433.00",0.51,,,,,,,,,
,,2005 - 2006,"18,725.00","10,058.00",0.54,,,,,,,,,
,,2006 - 2007,"20,475.00","8,450.00",0.41,,,,,,,,,
,,2007 - 2008,"24,820.00","11,974.00",0.48,,,,,,,,,
,,2008 - 2009,"24,670.00","13,257.00",0.54,,,,,,,,,
,,2009 - 2010,"23,428.00","11,252.00",0.48,,,,,,,,,
,,2010 - 2011,"23,830.00","21,793.00",0.91,,,,,,,,,
,,2011 - 2012,"25,453.00","14,265.00",0.56,,,,,,,,,
,,2012 - 2013,"37,900.00","25,954.00",0.68,,,,,,,,,
,,2013 - 2014,"22,999.00","16,701.00",0.73,,,,,,,,,
,,2014 - 2015,"25,020.00","19,582.00",0.78,,,,,,,,,
,,2015 - 2016,"25,465.00","21,854.00",0.86,,,,,,,,,
,,2016 - 2017,"24,136.00","20,656.00",0.86,,,,,,,,,
,,2017 - 2018,"24,500.00","18,728.00",0.76,,,,,,,,,
,,2018 - 2019,"24,372.00","15,671.00",0.64,,,,,,,,,
,,2019 - 2020,"24,290.00","14,101.00",0.58,,,,,,,,,
,,2020 - 2021,"23,640.00","15,257.00",0.65,,,,,,,,,
,,2021 - 2022,"24,077.00","17,366.00",0.72,,,,,,,,,
,,2022 - 2023,"28,023.00","27,522.00",0.98,,,,,,,,,
,24. Majuli,2020 - 2021,"9,500.00","8,018.00",0.84,,,,,,,,,
,,2021 - 2022,"9,005.00","7,528.00",0.84,,,,,,,,,
,,2022 - 2023,"9,005.00","6,673.00",0.74,,,,,,,,,
,25. Marigaon,2000 - 2001,"4,500.00","2,291.00",0.51,,,,,,,,,
,,2001 - 2002,"4,820.00","1,697.00",0.35,,,,,,,,,
,,2002 - 2003,"5,000.00","1,965.00",0.39,,,,,,,,,
,,2003 - 2004,"6,000.00","2,004.00",0.33,,,,,,,,,
,,2004 - 2005,"6,000.00","2,340.00",0.39,,,,,,,,,
,,2005 - 2006,"3,700.00","1,262.00",0.34,,,,,,,,,
,,2006 - 2007,"6,535.00","2,719.00",0.42,,,,,,,,,
,,2007 - 2008,"5,500.00","2,107.00",0.38,,,,,,,,,
,,2008 - 2009,"5,500.00","2,684.00",0.49,,,,,,,,,
,,2009 - 2010,"8,335.00","4,393.00",0.53,,,,,,,,,
,,2010 - 2011,"5,365.00","2,784.00",0.52,,,,,,,,,
,,2011 - 2012,"5,620.00","2,543.00",0.45,,,,,,,,,
,,2012 - 2013,"7,057.00","3,311.00",0.47,,,,,,,,,
,,2013 - 2014,"7,500.00","3,773.00",0.5,,,,,,,,,
,,2014 - 2015,"8,250.00","4,447.00",0.54,,,,,,,,,
,,2015 - 2016,"10,752.00","5,527.00",0.51,,,,,,,,,
,,2016 - 2017,"10,940.00","6,115.00",0.56,,,,,,,,,
,,2017 - 2018,"9,981.00","7,785.00",0.78,,,,,,,,,
,,2018 - 2019,"10,071.00","5,811.00",0.58,,,,,,,,,
,,2019 - 2020,"12,147.00","9,098.00",0.75,,,,,,,,,
,,2020 - 2021,"12,050.00","8,134.00",0.68,,,,,,,,,
,,2021 - 2022,"8,331.00","4,849.00",0.58,,,,,,,,,
,,2022 - 2023,"8,328.00","6,604.00",0.79,,,,,,,,,
,26. Nagaon,2000 - 2001,"26,327.00","13,951.00",0.53,,,,,,,,,
,,2001 - 2002,"28,758.00","13,287.00",0.46,,,,,,,,,
,,2002 - 2003,"28,808.00","13,774.00",0.48,,,,,,,,,
,,2003 - 2004,"27,873.00","14,263.00",0.51,,,,,,,,,
,,2004 - 2005,"27,057.00","12,349.00",0.46,,,,,,,,,
,,2005 - 2006,"16,172.00","8,722.00",0.54,,,,,,,,,
,,2006 - 2007,"18,315.00","9,980.00",0.54,,,,,,,,,
,,2007 - 2008,"16,167.00","9,412.00",0.58,,,,,,,,,
,,2008 - 2009,"12,910.00","6,747.00",0.52,,,,,,,,,
,,2009 - 2010,"16,941.00","10,552.00",0.62,,,,,,,,,
,,2010 - 2011,"13,638.00","7,762.00",0.57,,,,,,,,,
,,2011 - 2012,"13,010.00","8,157.00",0.63,,,,,,,,,
,,2012 - 2013,"13,585.00","9,180.00",0.68,,,,,,,,,
,,2013 - 2014,"14,462.00","10,209.00",0.71,,,,,,,,,
,,2014 - 2015,"14,882.00","10,177.00",0.68,,,,,,,,,
,,2015 - 2016,"14,593.00","12,109.00",0.83,,,,,,,,,
,,2016 - 2017,"16,123.00","11,336.00",0.7,,,,,,,,,
,,2017 - 2018,"15,199.00","12,750.00",0.84,,,,,,,,,
,,2018 - 2019,"16,680.00","12,176.00",0.73,,,,,,,,,
,,2019 - 2020,"15,526.00","11,102.00",0.72,,,,,,,,,
,,2020 - 2021,"11,918.00","8,052.00",0.68,,,,,,,,,
,,2021 - 2022,"12,112.00","7,650.00",0.63,,,,,,,,,
,,2022 - 2023,"18,887.00","13,463.00",0.71,,,,,,,,,
,27. Nalbari,2000 - 2001,"10,950.00","5,825.00",0.53,,,,,,,,,
,,2001 - 2002,"10,850.00","7,042.00",0.65,,,,,,,,,
,,2002 - 2003,"10,700.00","5,810.00",0.54,,,,,,,,,
,,2003 - 2004,"11,210.00","6,715.00",0.6,,,,,,,,,
,,2004 - 2005,"11,270.00","6,108.00",0.54,,,,,,,,,
,,2005 - 2006,"6,213.00","3,510.00",0.56,,,,,,,,,
,,2006 - 2007,"5,600.00","3,276.00",0.59,,,,,,,,,
,,2007 - 2008,"5,050.00","2,475.00",0.49,,,,,,,,,
,,2008 - 2009,"5,000.00","2,555.00",0.51,,,,,,,,,
,,2009 - 2010,"5,000.00","3,260.00",0.65,,,,,,,,,
,,2010 - 2011,"5,000.00","2,960.00",0.59,,,,,,,,,
,,2011 - 2012,"6,510.00","4,034.00",0.62,,,,,,,,,
,,2012 - 2013,"8,020.00","6,713.00",0.84,,,,,,,,,
,,2013 - 2014,"8,650.00","6,029.00",0.7,,,,,,,,,
,,2014 - 2015,"8,655.00","6,985.00",0.81,,,,,,,,,
,,2015 - 2016,"8,655.00","6,837.00",0.79,,,,,,,,,
,,2016 - 2017,"8,580.00","6,615.00",0.77,,,,,,,,,
