State,District,Year,Rapeseed &Mustard,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,6. Charaideo,2020 - 2021,150,73,0.49,,,,,,,,,
,,2021 - 2022,143,60,0.42,,,,,,,,,
,,2022 - 2023,"2,250.00",986,0.44,,,,,,,,,
,7. Chirang,2005 - 2006,"7,534.00","3,933.00",0.52,,,,,,,,,
,,2006 - 2007,"10,257.00","4,985.00",0.49,,,,,,,,,
,,2007 - 2008,"10,943.00","6,072.00",0.55,,,,,,,,,
,,2008 - 2009,"11,056.00","7,976.00",0.72,,,,,,,,,
,,2009 - 2010,"10,752.00","4,730.00",0.44,,,,,,,,,
,,2010 - 2011,"8,557.00","3,438.00",0.4,,,,,,,,,
,,2011 - 2012,"9,196.00","4,794.00",0.52,,,,,,,,,
,,2012 - 2013,"9,245.00","3,211.00",0.35,,,,,,,,,
,,2013 - 2014,"7,791.00","3,893.00",0.5,,,,,,,,,
,,2014 - 2015,"11,555.00","5,606.00",0.49,,,,,,,,,
,,2015 - 2016,"11,607.00","7,322.00",0.63,,,,,,,,,
,,2016 - 2017,"12,895.00","8,052.00",0.62,,,,,,,,,
,,2017 - 2018,"14,223.00","8,373.00",0.59,,,,,,,,,
,,2018 - 2019,"14,227.00","6,879.00",0.48,,,,,,,,,
,,2019 - 2020,"13,807.00","7,041.00",0.51,,,,,,,,,
,,2020 - 2021,"13,053.00","5,176.00",0.4,,,,,,,,,
,,2021 - 2022,"12,359.00","5,473.00",0.44,,,,,,,,,
,,2022 - 2023,"14,162.00","12,150.00",0.86,,,,,,,,,
,8. Darrang,2000 - 2001,"25,642.00","11,175.00",0.44,,,,,,,,,
,,2001 - 2002,"24,700.00","11,623.00",0.47,,,,,,,,,
,,2002 - 2003,"23,175.00","9,385.00",0.4,,,,,,,,,
,,2003 - 2004,"26,550.00","11,732.00",0.44,,,,,,,,,
,,2004 - 2005,"26,336.00","12,399.00",0.47,,,,,,,,,
,,2005 - 2006,"12,504.00","4,214.00",0.34,,,,,,,,,
,,2006 - 2007,"10,958.00","3,704.00",0.34,,,,,,,,,
,,2007 - 2008,"7,037.00","3,075.00",0.44,,,,,,,,,
,,2008 - 2009,"11,690.00","6,301.00",0.54,,,,,,,,,
,,2009 - 2010,"13,413.00","8,115.00",0.61,,,,,,,,,
,,2010 - 2011,"13,413.00","6,680.00",0.5,,,,,,,,,
,,2011 - 2012,"11,152.00","5,743.00",0.51,,,,,,,,,
,,2012 - 2013,"14,540.00","7,129.00",0.49,,,,,,,,,
