State,District,Year,Soyabean,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2001 - 2002,"23,904.00","12,095.00",0.51,,,,,,,,,
,,2002 - 2003,"15,201.00","4,526.00",0.3,,,,,,,,,
,,2003 - 2004,"17,617.00","11,701.00",0.66,,,,,,,,,
,,2004 - 2005,"22,837.00","12,309.00",0.54,,,,,,,,,
,,2005 - 2006,"23,280.00","11,387.00",0.49,,,,,,,,,
,,2006 - 2007,"22,066.00","9,425.00",0.43,,,,,,,,,
,,2007 - 2008,"31,903.00","9,221.00",0.29,,,,,,,,,
,,2008 - 2009,"33,511.00","21,341.00",0.64,,,,,,,,,
,,2009 - 2010,,,,,,,"41,644.00","26,312.00",0.63,,,
,,2010 - 2011,"47,380.00","19,632.00",0.41,,,,,,,,,
,,2011 - 2012,"60,896.00","25,358.00",0.42,,,,,,,,,
,,2012 - 2013,"73,206.00","61,806.00",0.84,,,,,,,,,
,,2013 - 2014,"88,287.00","52,767.00",0.6,,,,,,,,,
,,2014 - 2015,"80,000.00","1,15,000.00",1.44,,,,,,,,,
,,2015 - 2016,"49,000.00","50,000.00",1.02,,,,,,,,,
,,2016 - 2017,"42,000.00","45,000.00",1.07,,,,,,,,,
,,2017 - 2018,"30,800.00","26,090.00",0.85,,,,,,,,,
,,2018 - 2019,"19,397.00","25,526.00",1.32,,,,,,,,,
,,2019 - 2020,"31,991.00","14,108.00",0.44,,,,,,,,,
,,2020 - 2021,"41,660.00","21,663.00",0.52,,,,,,,,,
,,2021 - 2022,"10,635.00","11,061.00",1.04,,,,,,,,,
,,2022 - 2023,"4,345.00","6,104.00",1.4,,,,,,,,,
,12. Chhindwara,2000 - 2001,"87,018.00","71,664.00",0.82,,,,,,,,,
,,2001 - 2002,"90,343.00","67,465.00",0.75,,,,,,,,,
,,2002 - 2003,"1,00,708.00","74,589.00",0.74,,,,,,,,,
,,2003 - 2004,"1,09,582.00","1,58,708.00",1.45,,,,,,,,,
,,2004 - 2005,"1,40,087.00","1,17,083.00",0.84,,,,,,,,,
,,2005 - 2006,"1,28,631.00","1,14,639.00",0.89,,,,,,,,,
,,2006 - 2007,"1,39,798.00","1,90,889.00",1.37,,,,,,,,,
,,2007 - 2008,"1,44,594.00","2,16,608.00",1.5,,,,,,,,,
,,2008 - 2009,"1,47,912.00","1,76,512.00",1.19,,,,,,,,,
,,2009 - 2010,,,,,,,"1,57,217.00","2,65,973.00",1.69,,,
,,2010 - 2011,"1,61,561.00","3,20,806.00",1.99,,,,,,,,,
,,2011 - 2012,"1,46,659.00","2,64,376.00",1.8,,,,,,,,,
,,2012 - 2013,"1,53,727.00","3,82,552.00",2.49,,,,,,,,,
,,2013 - 2014,"1,50,014.00","1,15,412.00",0.77,,,,,,,,,
,,2014 - 2015,"99,000.00","1,16,000.00",1.17,,,,,,,,,
,,2015 - 2016,"96,000.00","85,000.00",0.89,,,,,,,,,
,,2016 - 2017,"73,000.00","96,000.00",1.32,,,,,,,,,
,,2017 - 2018,"28,000.00","49,950.00",1.78,,,,,,,,,
,,2018 - 2019,"5,695.00","5,148.00",0.9,,,,,,,,,
,,2019 - 2020,"5,213.00","6,318.00",1.21,,,,,,,,,
,,2020 - 2021,"28,286.00","27,353.00",0.97,,,,,,,,,
,,2021 - 2022,"28,359.00","42,255.00",1.49,,,,,,,,,
,,2022 - 2023,"20,202.00","30,323.00",1.5,,,,,,,,,
,13. Damoh,2000 - 2001,"56,111.00","29,074.00",0.52,,,,,,,,,
,,2001 - 2002,"50,041.00","39,056.00",0.78,,,,,,,,,
,,2002 - 2003,"26,412.00","12,184.00",0.46,,,,,,,,,
,,2003 - 2004,"32,342.00","32,772.00",1.01,,,,,,,,,
,,2004 - 2005,"44,881.00","42,738.00",0.95,,,,,,,,,
,,2005 - 2006,"45,302.00","46,687.00",1.03,,,,,,,,,
,,2006 - 2007,"54,564.00","45,611.00",0.84,,,,,,,,,
,,2007 - 2008,"1,08,702.00","62,304.00",0.57,,,,,,,,,
,,2008 - 2009,"92,979.00","1,09,369.00",1.18,,,,,,,,,
,,2009 - 2010,,,,,,,"90,993.00","1,01,800.00",1.12,,,
,,2010 - 2011,"62,110.00","90,483.00",1.46,,,,,,,,,
,,2011 - 2012,"50,544.00","65,082.00",1.29,,,,,,,,,
,,2012 - 2013,"1,02,710.00","1,29,912.00",1.26,,,,,,,,,
,,2013 - 2014,"1,28,582.00","64,844.00",0.5,,,,,,,,,
,,2014 - 2015,"98,000.00","1,16,000.00",1.18,,,,,,,,,
,,2015 - 2016,"1,03,000.00","1,35,000.00",1.31,,,,,,,,,
,,2016 - 2017,"70,000.00","60,000.00",0.86,,,,,,,,,
,,2017 - 2018,"66,500.00","89,780.00",1.35,,,,,,,,,
,,2018 - 2019,"34,188.00","31,726.00",0.93,,,,,,,,,
,,2019 - 2020,"89,879.00","59,949.00",0.67,,,,,,,,,
,,2020 - 2021,"1,31,718.00","80,348.00",0.61,,,,,,,,,
,,2021 - 2022,"39,324.00","37,830.00",0.96,,,,,,,,,
,,2022 - 2023,"21,586.00","20,399.00",0.95,,,,,,,,,
,14. Datia,2000 - 2001,"1,877.00","1,388.00",0.74,,,,,,,,,
,,2001 - 2002,"1,806.00","1,861.00",1.03,,,,,,,,,
,,2002 - 2003,528,311,0.59,,,,,,,,,
,,2003 - 2004,606,527,0.87,,,,,,,,,
,,2004 - 2005,761,515,0.68,,,,,,,,,
,,2005 - 2006,794,699,0.88,,,,,,,,,
,,2006 - 2007,416,338,0.81,,,,,,,,,
,,2007 - 2008,352,160,0.45,,,,,,,,,
,,2008 - 2009,270,177,0.66,,,,,,,,,
,,2009 - 2010,,,,,,,265,200,0.75,,,
,,2010 - 2011,325,187,0.58,,,,,,,,,
,,2011 - 2012,709,458,0.65,,,,,,,,,
,,2012 - 2013,800,729,0.91,,,,,,,,,
,,2013 - 2014,"1,769.00","1,446.00",0.82,,,,,,,,,
,,2014 - 2015,"11,000.00","14,000.00",1.27,,,,,,,,,
,,2015 - 2016,"9,000.00","7,000.00",0.78,,,,,,,,,
,,2016 - 2017,"7,000.00","4,000.00",0.57,,,,,,,,,
,,2017 - 2018,"6,700.00","5,720.00",0.85,,,,,,,,,
,,2018 - 2019,451,346,0.77,,,,,,,,,
,,2019 - 2020,119,92,0.77,,,,,,,,,
,,2020 - 2021,280,188,0.67,,,,,,,,,
,,2021 - 2022,42,26,0.62,,,,,,,,,
,,2022 - 2023,119,85,0.71,,,,,,,,,
,15. Dewas,2000 - 2001,"2,74,185.00","2,76,927.00",1.01,,,,,,,,,
,,2001 - 2002,"2,70,396.00","3,13,659.00",1.16,,,,,,,,,
,,2002 - 2003,"2,68,745.00","2,66,595.00",0.99,,,,,,,,,
,,2003 - 2004,"2,71,095.00","3,84,142.00",1.42,,,,,,,,,
,,2004 - 2005,"2,74,218.00","2,87,106.00",1.05,,,,,,,,,
,,2005 - 2006,"2,80,697.00","3,60,976.00",1.29,,,,,,,,,
,,2006 - 2007,"2,82,514.00","3,36,757.00",1.19,,,,,,,,,
,,2007 - 2008,"2,96,090.00","3,56,492.00",1.2,,,,,,,,,
,,2008 - 2009,"3,03,541.00","3,67,892.00",1.21,,,,,,,,,
,,2009 - 2010,,,,,,,"3,06,593.00","3,93,972.00",1.28,,,
,,2010 - 2011,"3,21,639.00","4,02,458.00",1.25,,,,,,,,,
,,2011 - 2012,"3,24,299.00","4,18,021.00",1.29,,,,,,,,,
,,2012 - 2013,"3,40,532.00","5,44,170.00",1.6,,,,,,,,,
,,2013 - 2014,"3,50,963.00","2,67,434.00",0.76,,,,,,,,,
,,2014 - 2015,"3,09,000.00","2,09,000.00",0.68,,,,,,,,,
,,2015 - 2016,"3,37,000.00","2,10,000.00",0.62,,,,,,,,,
,,2016 - 2017,"3,19,000.00","4,73,000.00",1.48,,,,,,,,,
,,2017 - 2018,"3,21,350.00","3,27,780.00",1.02,,,,,,,,,
,,2018 - 2019,"3,82,855.00","4,70,912.00",1.23,,,,,,,,,
,,2019 - 2020,"3,88,191.00","2,56,982.00",0.66,,,,,,,,,
,,2020 - 2021,"4,01,332.00","2,16,719.00",0.54,,,,,,,,,
,,2021 - 2022,"3,69,584.00","3,89,911.00",1.05,,,,,,,,,
,,2022 - 2023,"3,90,162.00","3,99,136.00",1.02,,,,,,,,,
,16. Dhar,2000 - 2001,"2,50,055.00","2,15,547.00",0.86,,,,,,,,,
,,2001 - 2002,"2,37,708.00","2,07,519.00",0.87,,,,,,,,,
,,2002 - 2003,"2,30,887.00","1,95,330.00",0.85,,,,,,,,,
,,2003 - 2004,"2,24,609.00","2,60,771.00",1.16,,,,,,,,,
,,2004 - 2005,"2,38,485.00","2,17,260.00",0.91,,,,,,,,,
,,2005 - 2006,"2,45,913.00","3,12,801.00",1.27,,,,,,,,,
,,2006 - 2007,"2,47,272.00","3,11,068.00",1.26,,,,,,,,,
,,2007 - 2008,"2,50,261.00","3,31,095.00",1.32,,,,,,,,,
,,2008 - 2009,"2,60,142.00","3,75,905.00",1.44,,,,,,,,,
,,2009 - 2010,,,,,,,"2,68,058.00","4,43,904.00",1.66,,,
,,2010 - 2011,"2,67,948.00","3,54,564.00",1.32,,,,,,,,,
,,2011 - 2012,"2,77,526.00","3,63,004.00",1.31,,,,,,,,,
,,2012 - 2013,"2,77,787.00","4,42,515.00",1.59,,,,,,,,,
,,2013 - 2014,"2,92,197.00","4,33,328.00",1.48,,,,,,,,,
,,2014 - 2015,"2,69,000.00","2,41,000.00",0.9,,,,,,,,,
,,2015 - 2016,"2,88,000.00","3,77,000.00",1.31,,,,,,,,,
,,2016 - 2017,"2,89,000.00","4,62,000.00",1.6,,,,,,,,,
,,2017 - 2018,"2,79,430.00","3,60,740.00",1.29,,,,,,,,,
,,2018 - 2019,"3,10,232.00","4,60,695.00",1.49,,,,,,,,,
,,2019 - 2020,"3,03,833.00","2,97,756.00",0.98,,,,,,,,,
,,2020 - 2021,"3,09,563.00","1,95,025.00",0.63,,,,,,,,,
,,2021 - 2022,"3,04,181.00","4,89,731.00",1.61,,,,,,,,,
,,2022 - 2023,"3,30,223.00","5,30,008.00",1.61,,,,,,,,,
,17. Dindori,2000 - 2001,"3,137.00","1,493.00",0.48,,,,,,,,,
,,2001 - 2002,"3,493.00","2,678.00",0.77,,,,,,,,,
,,2002 - 2003,"3,682.00","2,427.00",0.66,,,,,,,,,
,,2003 - 2004,"4,164.00","3,230.00",0.78,,,,,,,,,
,,2004 - 2005,"4,455.00","3,481.00",0.78,,,,,,,,,
,,2005 - 2006,"4,913.00","2,539.00",0.52,,,,,,,,,
,,2006 - 2007,"5,130.00","3,045.00",0.59,,,,,,,,,
,,2007 - 2008,"5,387.00","3,421.00",0.64,,,,,,,,,
,,2008 - 2009,"5,459.00","3,528.00",0.65,,,,,,,,,
,,2009 - 2010,,,,,,,"5,798.00","3,791.00",0.65,,,
,,2010 - 2011,"6,394.00","5,097.00",0.8,,,,,,,,,
,,2011 - 2012,"8,901.00","4,966.00",0.56,,,,,,,,,
,,2012 - 2013,"6,733.00","4,043.00",0.6,,,,,,,,,
,,2013 - 2014,"7,224.00","5,782.00",0.8,,,,,,,,,
,,2014 - 2015,"10,000.00","11,000.00",1.1,,,,,,,,,
,,2015 - 2016,"10,000.00","11,000.00",1.1,,,,,,,,,
,,2016 - 2017,"10,000.00","13,000.00",1.3,,,,,,,,,
,,2017 - 2018,"9,500.00","10,930.00",1.15,,,,,,,,,
,,2018 - 2019,"7,512.00","6,025.00",0.8,,,,,,,,,
,,2019 - 2020,"9,131.00","5,908.00",0.65,,,,,,,,,
,,2020 - 2021,"8,691.00","5,623.00",0.65,,,,,,,,,
,,2021 - 2022,"7,331.00","5,220.00",0.71,,,,,,,,,
,,2022 - 2023,"6,676.00","5,715.00",0.86,,,,,,,,,
,18. Guna,2000 - 2001,"1,38,740.00","1,35,786.00",0.98,,,,,,,,,
,,2001 - 2002,"1,57,610.00","1,49,423.00",0.95,,,,,,,,,
,,2002 - 2003,"1,49,184.00","49,470.00",0.33,,,,,,,,,
,,2003 - 2004,"1,23,041.00","1,30,695.00",1.06,,,,,,,,,
,,2004 - 2005,"1,41,410.00","1,12,366.00",0.79,,,,,,,,,
,,2005 - 2006,"1,38,371.00","1,48,890.00",1.08,,,,,,,,,
,,2006 - 2007,"1,40,729.00","1,37,242.00",0.98,,,,,,,,,
,,2007 - 2008,"1,62,370.00","1,88,456.00",1.16,,,,,,,,,
,,2008 - 2009,"1,77,375.00","1,83,938.00",1.04,,,,,,,,,
,,2009 - 2010,,,,,,,"1,88,948.00","1,96,286.00",1.04,,,
,,2010 - 2011,"2,12,013.00","2,52,860.00",1.19,,,,,,,,,
,,2011 - 2012,"2,12,999.00","2,98,643.00",1.4,,,,,,,,,
,,2012 - 2013,"2,34,532.00","2,99,283.00",1.28,,,,,,,,,
,,2013 - 2014,"2,47,130.00","1,48,366.00",0.6,,,,,,,,,
,,2014 - 2015,"1,43,000.00","2,27,000.00",1.59,,,,,,,,,
,,2015 - 2016,"2,37,000.00","1,44,000.00",0.61,,,,,,,,,
,,2016 - 2017,"2,10,000.00","1,72,000.00",0.82,,,,,,,,,
,,2017 - 2018,"1,82,500.00","1,50,560.00",0.82,,,,,,,,,
,,2018 - 2019,"2,03,813.00","2,23,583.00",1.1,,,,,,,,,
,,2019 - 2020,"3,00,816.00","1,57,928.00",0.52,,,,,,,,,
,,2020 - 2021,"3,04,182.00","1,27,756.00",0.42,,,,,,,,,
,,2021 - 2022,"2,52,765.00","99,084.00",0.39,,,,,,,,,
,,2022 - 2023,"2,17,956.00","2,26,674.00",1.04,,,,,,,,,
,19. Gwalior,2000 - 2001,917,"2,059.00",2.25,,,,,,,,,
,,2001 - 2002,"1,401.00","2,830.00",2.02,,,,,,,,,
,,2002 - 2003,432,440,1.02,,,,,,,,,
,,2003 - 2004,"3,082.00","6,597.00",2.14,,,,,,,,,
,,2004 - 2005,"19,941.00","41,610.00",2.09,,,,,,,,,
,,2005 - 2006,"20,755.00","44,824.00",2.16,,,,,,,,,
,,2006 - 2007,"15,941.00","23,496.00",1.47,,,,,,,,,
,,2007 - 2008,"16,963.00","28,864.00",1.7,,,,,,,,,
,,2008 - 2009,"6,974.00","13,284.00",1.9,,,,,,,,,
,,2009 - 2010,,,,,,,"4,174.00","7,346.00",1.76,,,
,,2010 - 2011,"2,160.00","3,247.00",1.5,,,,,,,,,
,,2011 - 2012,"1,675.00","2,905.00",1.73,,,,,,,,,
,,2012 - 2013,"8,158.00","14,640.00",1.79,,,,,,,,,
,,2013 - 2014,"5,596.00","7,727.00",1.38,,,,,,,,,
,,2014 - 2015,"7,000.00","5,000.00",0.71,,,,,,,,,
,,2015 - 2016,"4,000.00","5,000.00",1.25,,,,,,,,,
,,2016 - 2017,"4,000.00","4,000.00",1,,,,,,,,,
,,2017 - 2018,"1,700.00","2,620.00",1.54,,,,,,,,,
,,2018 - 2019,"1,116.00","1,301.00",1.17,,,,,,,,,
,,2019 - 2020,"3,308.00","3,387.00",1.02,,,,,,,,,
,,2020 - 2021,"1,710.00","1,026.00",0.6,,,,,,,,,
,,2021 - 2022,90,100,1.11,,,,,,,,,
,,2022 - 2023,424,599,1.41,,,,,,,,,
,20. Harda,2000 - 2001,"1,44,772.00","1,39,615.00",0.96,,,,,,,,,
,,2001 - 2002,"1,46,632.00","1,75,918.00",1.2,,,,,,,,,
,,2002 - 2003,"1,50,508.00","1,25,224.00",0.83,,,,,,,,,
,,2003 - 2004,"1,52,302.00","2,02,030.00",1.33,,,,,,,,,
,,2004 - 2005,"1,52,979.00","62,385.00",0.41,,,,,,,,,
,,2005 - 2006,"1,62,176.00","2,93,429.00",1.81,,,,,,,,,
,,2006 - 2007,"1,60,549.00","2,67,033.00",1.66,,,,,,,,,
,,2007 - 2008,"1,67,937.00","2,34,295.00",1.4,,,,,,,,,
,,2008 - 2009,"1,68,865.00","2,12,060.00",1.26,,,,,,,,,
,,2009 - 2010,,,,,,,"1,72,778.00","2,91,261.00",1.69,,,
,,2010 - 2011,"1,71,507.00","2,37,424.00",1.38,,,,,,,,,
,,2011 - 2012,"1,80,195.00","2,58,711.00",1.44,,,,,,,,,
,,2012 - 2013,"1,78,831.00","2,15,979.00",1.21,,,,,,,,,
,,2013 - 2014,"1,77,466.00","47,353.00",0.27,,,,,,,,,
,,2014 - 2015,"1,76,000.00","2,37,000.00",1.35,,,,,,,,,
,,2015 - 2016,"1,49,000.00","81,000.00",0.54,,,,,,,,,
,,2016 - 2017,"1,41,000.00","2,14,000.00",1.52,,,,,,,,,
,,2017 - 2018,"96,410.00","72,500.00",0.75,,,,,,,,,
,,2018 - 2019,"1,42,191.00","1,40,200.00",0.99,,,,,,,,,
,,2019 - 2020,"1,67,393.00","91,397.00",0.55,,,,,,,,,
,,2020 - 2021,"1,76,433.00","96,332.00",0.55,,,,,,,,,
,,2021 - 2022,"1,15,767.00","1,25,723.00",1.09,,,,,,,,,
,,2022 - 2023,"1,74,327.00","1,86,181.00",1.07,,,,,,,,,
,21. Hoshangabad,2000 - 2001,"2,03,862.00","2,01,008.00",0.99,,,,,,,,,
,,2001 - 2002,"2,11,385.00","2,16,035.00",1.02,,,,,,,,,
,,2002 - 2003,"2,04,295.00","1,30,340.00",0.64,,,,,,,,,
,,2003 - 2004,"2,00,517.00","2,05,530.00",1.03,,,,,,,,,
,,2004 - 2005,"2,03,970.00","1,10,756.00",0.54,,,,,,,,,
,,2005 - 2006,"1,88,495.00","1,98,108.00",1.05,,,,,,,,,
,,2006 - 2007,"1,94,858.00","2,37,142.00",1.22,,,,,,,,,
,,2007 - 2008,"2,06,698.00","2,25,301.00",1.09,,,,,,,,,
,,2008 - 2009,"2,11,925.00","1,79,077.00",0.85,,,,,,,,,
,,2009 - 2010,,,,,,,"2,14,734.00","2,83,019.00",1.32,,,
,,2010 - 2011,"2,16,702.00","1,38,333.00",0.64,,,,,,,,,
,,2011 - 2012,"2,20,745.00","1,41,498.00",0.64,,,,,,,,,
,,2012 - 2013,"2,23,664.00","1,92,798.00",0.86,,,,,,,,,
,,2013 - 2014,"2,13,184.00","21,105.00",0.1,,,,,,,,,
,,2014 - 2015,"1,89,000.00","3,12,000.00",1.65,,,,,,,,,
,,2015 - 2016,"1,08,000.00","50,000.00",0.46,,,,,,,,,
,,2016 - 2017,"92,000.00","1,07,000.00",1.16,,,,,,,,,
,,2017 - 2018,"41,600.00","25,580.00",0.61,,,,,,,,,
,,2018 - 2019,"73,157.00","75,498.00",1.03,,,,,,,,,
,,2019 - 2020,"76,152.00","50,489.00",0.66,,,,,,,,,
,,2020 - 2021,"72,254.00","41,907.00",0.58,,,,,,,,,
,,2021 - 2022,"15,293.00","16,302.00",1.07,,,,,,,,,
,,2022 - 2023,"33,700.00","35,722.00",1.06,,,,,,,,,
,22. Indore,2000 - 2001,"2,09,148.00","2,15,632.00",1.03,,,,,,,,,
,,2001 - 2002,"2,20,438.00","2,15,809.00",0.98,,,,,,,,,
,,2002 - 2003,"2,19,580.00","1,66,002.00",0.76,,,,,,,,,
,,2003 - 2004,"2,18,452.00","2,35,491.00",1.08,,,,,,,,,
,,2004 - 2005,"2,20,149.00","2,38,642.00",1.08,,,,,,,,,
,,2005 - 2006,"2,09,908.00","2,36,356.00",1.13,,,,,,,,,
,,2006 - 2007,"2,24,193.00","2,75,982.00",1.23,,,,,,,,,
,,2007 - 2008,"2,26,047.00","3,15,336.00",1.4,,,,,,,,,
,,2008 - 2009,"2,20,991.00","3,35,243.00",1.52,,,,,,,,,
,,2009 - 2010,,,,,,,"2,26,819.00","4,01,470.00",1.77,,,
,,2010 - 2011,"2,23,079.00","2,54,915.00",1.14,,,,,,,,,
,,2011 - 2012,"2,26,407.00","2,62,859.00",1.16,,,,,,,,,
,,2012 - 2013,"2,28,176.00","3,31,768.00",1.45,,,,,,,,,
,,2013 - 2014,"2,31,222.00","2,32,841.00",1.01,,,,,,,,,
,,2014 - 2015,"2,22,000.00","2,35,000.00",1.06,,,,,,,,,
,,2015 - 2016,"2,23,000.00","1,70,000.00",0.76,,,,,,,,,
,,2016 - 2017,"2,21,000.00","3,51,000.00",1.59,,,,,,,,,
,,2017 - 2018,"2,16,900.00","1,98,460.00",0.91,,,,,,,,,
,,2018 - 2019,"2,43,606.00","3,63,217.00",1.49,,,,,,,,,
,,2019 - 2020,"2,39,086.00","3,57,912.00",1.5,,,,,,,,,
,,2020 - 2021,"2,44,059.00","3,07,514.00",1.26,,,,,,,,,
,,2021 - 2022,"2,40,418.00","2,45,707.00",1.02,,,,,,,,,
,,2022 - 2023,"2,44,719.00","3,03,696.00",1.24,,,,,,,,,
,23. Jabalpur,2000 - 2001,"21,464.00","16,055.00",0.75,,,,,,,,,
,,2001 - 2002,"7,211.00","6,763.00",0.94,,,,,,,,,
,,2002 - 2003,249,185,0.74,,,,,,,,,
,,2003 - 2004,644,850,1.32,,,,,,,,,
,,2004 - 2005,738,"1,009.00",1.37,,,,,,,,,
,,2005 - 2006,868,773,0.89,,,,,,,,,
,,2006 - 2007,"2,240.00","2,167.00",0.97,,,,,,,,,
,,2007 - 2008,"5,584.00","3,504.00",0.63,,,,,,,,,
,,2008 - 2009,"3,862.00","4,788.00",1.24,,,,,,,,,
,,2009 - 2010,,,,,,,"2,771.00","3,170.00",1.14,,,
,,2010 - 2011,"4,251.00","5,049.00",1.19,,,,,,,,,
,,2011 - 2012,"6,827.00","6,522.00",0.96,,,,,,,,,
,,2012 - 2013,"15,985.00","21,352.00",1.34,,,,,,,,,
,,2013 - 2014,"43,142.00","11,924.00",0.28,,,,,,,,,
,,2014 - 2015,"43,000.00","51,000.00",1.19,,,,,,,,,
,,2015 - 2016,"15,000.00","10,000.00",0.67,,,,,,,,,
,,2016 - 2017,"3,000.00","3,000.00",1,,,,,,,,,
,,2017 - 2018,"7,000.00","3,340.00",0.48,,,,,,,,,
,,2018 - 2019,99,90,0.91,,,,,,,,,
,,2019 - 2020,350,322,0.92,,,,,,,,,
,,2020 - 2021,"6,406.00","5,394.00",0.84,,,,,,,,,
,,2021 - 2022,236,220,0.93,,,,,,,,,
,,2022 - 2023,176,164,0.93,,,,,,,,,
,24. Jhabua,2000 - 2001,"38,392.00","12,757.00",0.33,,,,,,,,,
,,2001 - 2002,"35,811.00","17,560.00",0.49,,,,,,,,,
,,2002 - 2003,"30,078.00","16,218.00",0.54,,,,,,,,,
,,2003 - 2004,"26,590.00","22,389.00",0.84,,,,,,,,,
,,2004 - 2005,"28,038.00","16,302.00",0.58,,,,,,,,,
,,2005 - 2006,"30,819.00","19,872.00",0.64,,,,,,,,,
,,2006 - 2007,"34,002.00","24,418.00",0.72,,,,,,,,,
,,2007 - 2008,"40,620.00","29,049.00",0.72,,,,,,,,,
,,2008 - 2009,"39,914.00","30,299.00",0.76,,,,,,,,,
,,2009 - 2010,,,,,,,"43,683.00","31,418.00",0.72,,,
,,2010 - 2011,"47,294.00","33,361.00",0.71,,,,,,,,,
,,2011 - 2012,"49,049.00","33,450.00",0.68,,,,,,,,,
,,2012 - 2013,"52,010.00","51,332.00",0.99,,,,,,,,,
,,2013 - 2014,"56,858.00","44,470.00",0.78,,,,,,,,,
,,2014 - 2015,"61,000.00","51,000.00",0.84,,,,,,,,,
,,2015 - 2016,"63,000.00","91,000.00",1.44,,,,,,,,,
,,2016 - 2017,"66,000.00","1,06,000.00",1.61,,,,,,,,,
,,2017 - 2018,"63,600.00","90,950.00",1.43,,,,,,,,,
,,2018 - 2019,"58,895.00","50,414.00",0.86,,,,,,,,,
,,2019 - 2020,"79,257.00","60,077.00",0.76,,,,,,,,,
,,2020 - 2021,"83,186.00","49,912.00",0.6,,,,,,,,,
,,2021 - 2022,"76,844.00","59,323.00",0.77,,,,,,,,,
,,2022 - 2023,"83,859.00","69,016.00",0.82,,,,,,,,,
,25. Katni,2000 - 2001,372,184,0.49,,,,,,,,,
,,2001 - 2002,133,113,0.85,,,,,,,,,
,,2002 - 2003,122,56,0.46,,,,,,,,,
,,2003 - 2004,87,70,0.8,,,,,,,,,
,,2004 - 2005,108,99,0.92,,,,,,,,,
,,2005 - 2006,41,29,0.71,,,,,,,,,
,,2006 - 2007,291,96,0.33,,,,,,,,,
,,2007 - 2008,680,228,0.34,,,,,,,,,
,,2008 - 2009,483,304,0.63,,,,,,,,,
,,2009 - 2010,,,,,,,343,172,0.5,,,
,,2010 - 2011,409,168,0.41,,,,,,,,,
,,2011 - 2012,560,252,0.45,,,,,,,,,
,,2012 - 2013,782,602,0.77,,,,,,,,,
,,2013 - 2014,981,"1,308.00",1.33,,,,,,,,,
,,2014 - 2015,"11,000.00","11,000.00",1,,,,,,,,,
,,2015 - 2016,"2,000.00","2,000.00",1,,,,,,,,,
,,2017 - 2018,"1,700.00","2,440.00",1.44,,,,,,,,,
,,2018 - 2019,16,19,1.19,,,,,,,,,
,,2019 - 2020,9,9,1,,,,,,,,,
,,2020 - 2021,21,21,1,,,,,,,,,
,,2021 - 2022,22,25,1.14,,,,,,,,,
,,2022 - 2023,82,102,1.24,,,,,,,,,
,26. Khandwa,2000 - 2001,"1,69,755.00","53,273.00",0.31,,,,,,,,,
,,2001 - 2002,"1,75,152.00","77,230.00",0.44,,,,,,,,,
,,2002 - 2003,"1,72,459.00","85,396.00",0.5,,,,,,,,,
,,2003 - 2004,"1,57,019.00","98,309.00",0.63,,,,,,,,,
,,2004 - 2005,"1,55,308.00","75,651.00",0.49,,,,,,,,,
,,2005 - 2006,"1,49,014.00","89,307.00",0.6,,,,,,,,,
,,2006 - 2007,"1,49,602.00","1,03,026.00",0.69,,,,,,,,,
,,2007 - 2008,"1,52,351.00","1,07,911.00",0.71,,,,,,,,,
,,2008 - 2009,"1,54,317.00","1,18,065.00",0.77,,,,,,,,,
,,2009 - 2010,,,,,,,"1,54,441.00","97,611.00",0.63,,,
,,2010 - 2011,"1,65,380.00","87,243.00",0.53,,,,,,,,,
,,2011 - 2012,"1,69,387.00","94,047.00",0.56,,,,,,,,,
,,2012 - 2013,"1,82,297.00","1,58,893.00",0.87,,,,,,,,,
,,2013 - 2014,"1,89,278.00","1,51,954.00",0.8,,,,,,,,,
,,2014 - 2015,"17,000.00","21,000.00",1.24,,,,,,,,,
,,2015 - 2016,"1,78,000.00","93,000.00",0.52,,,,,,,,,
,,2016 - 2017,"1,64,000.00","2,21,000.00",1.35,,,,,,,,,
,,2017 - 2018,"1,58,600.00","1,20,850.00",0.76,,,,,,,,,
,,2018 - 2019,"1,92,717.00","1,45,309.00",0.75,,,,,,,,,
,,2019 - 2020,"1,87,263.00","78,838.00",0.42,,,,,,,,,
,,2020 - 2021,"2,11,891.00","86,875.00",0.41,,,,,,,,,
,,2021 - 2022,"2,00,542.00","95,658.00",0.48,,,,,,,,,
,,2022 - 2023,"2,43,092.00","1,26,651.00",0.52,,,,,,,,,
,27. Khargone,2000 - 2001,"50,969.00","18,493.00",0.36,,,,,,,,,
,,2001 - 2002,"46,246.00","23,937.00",0.52,,,,,,,,,
,,2002 - 2003,"47,136.00","30,584.00",0.65,,,,,,,,,
,,2003 - 2004,"50,210.00","45,312.00",0.9,,,,,,,,,
,,2004 - 2005,"53,648.00","34,242.00",0.64,,,,,,,,,
,,2005 - 2006,"60,193.00","33,877.00",0.56,,,,,,,,,
,,2006 - 2007,"57,139.00","40,562.00",0.71,,,,,,,,,
,,2007 - 2008,"53,619.00","40,476.00",0.75,,,,,,,,,
