State,District,Year,Coriander,,,,,,,,
,,,Whole Year,,,Kharif,,,Rabi,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2017 - 2018,645,584,0.91,,,,,,
,,2018 - 2019,"1,142.00","1,031.00",0.9,,,,,,
,,2019 - 2020,946,850,0.9,,,,,,
,,2020 - 2021,968,873,0.9,,,,,,
,,2021 - 2022,868,782,0.9,,,,,,
,,2022 - 2023,937,844,0.9,,,,,,
,22. Nawada,2000 - 2001,12,7,0.58,,,,,,
,,2001 - 2002,3,2,0.67,,,,,,
,,2002 - 2003,5,3,0.6,,,,,,
,,2003 - 2004,2,1,0.5,,,,,,
,,2004 - 2005,2,1,0.5,,,,,,
,,2005 - 2006,6,5,0.83,,,,,,
,,2007 - 2008,2,2,1,,,,,,
,23. Pashchim champaran,2000 - 2001,657,263,0.4,,,,,,
,,2001 - 2002,415,241,0.58,,,,,,
,,2002 - 2003,649,422,0.65,,,,,,
,,2003 - 2004,637,441,0.69,,,,,,
,,2004 - 2005,638,418,0.66,,,,,,
,,2005 - 2006,636,499,0.78,,,,,,
,,2007 - 2008,639,454,0.71,,,,,,
,,2016 - 2017,66,60,0.91,,,,,,
,,2017 - 2018,61,56,0.92,,,,,,
,,2018 - 2019,52,48,0.92,,,,,,
,,2019 - 2020,48,44,0.92,,,,,,
,,2020 - 2021,50,46,0.92,,,,,,
,,2021 - 2022,46,42,0.91,,,,,,
,,2022 - 2023,46,42,0.91,,,,,,
,24. Patna,2000 - 2001,78,46,0.59,,,,,,
,,2001 - 2002,127,74,0.58,,,,,,
,,2002 - 2003,117,75,0.64,,,,,,
,,2003 - 2004,119,82,0.69,,,,,,
,,2004 - 2005,87,57,0.66,,,,,,
,,2005 - 2006,97,76,0.78,,,,,,
,,2007 - 2008,79,57,0.72,,,,,,
,,2016 - 2017,263,240,0.91,,,,,,
,,2017 - 2018,274,250,0.91,,,,,,
,,2018 - 2019,343,313,0.91,,,,,,
,,2019 - 2020,284,259,0.91,,,,,,
,,2020 - 2021,277,253,0.91,,,,,,
,,2021 - 2022,522,476,0.91,,,,,,
,,2022 - 2023,488,445,0.91,,,,,,
,25. Purbi champaran,2000 - 2001,53,22,0.42,,,,,,
,,2001 - 2002,248,144,0.58,,,,,,
,,2003 - 2004,46,32,0.7,,,,,,
,,2004 - 2005,73,48,0.66,,,,,,
,,2005 - 2006,75,59,0.79,,,,,,
,,2007 - 2008,82,59,0.72,,,,,,
,,2016 - 2017,32,29,0.91,,,,,,
,26. Purnia,2000 - 2001,36,17,0.47,,,,,,
,,2001 - 2002,40,22,0.55,,,,,,
,,2002 - 2003,3,2,0.67,,,,,,
,,2003 - 2004,3,2,0.67,,,,,,
,,2004 - 2005,9,6,0.67,,,,,,
,,2005 - 2006,3,2,0.67,,,,,,
,,2007 - 2008,5,4,0.8,,,,,,
,27. Rohtas,2000 - 2001,66,39,0.59,,,,,,
,,2001 - 2002,58,34,0.59,,,,,,
,,2002 - 2003,43,28,0.65,,,,,,
,,2003 - 2004,70,48,0.69,,,,,,
,,2004 - 2005,53,35,0.66,,,,,,
,,2005 - 2006,6,5,0.83,,,,,,
,,2007 - 2008,29,21,0.72,,,,,,
,,2016 - 2017,14,13,0.93,,,,,,
,,2017 - 2018,14,13,0.93,,,,,,
,,2018 - 2019,13,12,0.92,,,,,,
,,2019 - 2020,13,12,0.92,,,,,,
,28. Saharsa,2000 - 2001,99,61,0.62,,,,,,
,,2001 - 2002,68,39,0.57,,,,,,
,,2002 - 2003,116,76,0.66,,,,,,
,,2003 - 2004,136,94,0.69,,,,,,
,,2004 - 2005,108,71,0.66,,,,,,
,,2005 - 2006,101,87,0.86,,,,,,
,,2007 - 2008,63,48,0.76,,,,,,
,29. Samastipur,2000 - 2001,187,72,0.39,,,,,,
,,2001 - 2002,102,62,0.61,,,,,,
,,2002 - 2003,151,101,0.67,,,,,,
,,2003 - 2004,161,111,0.69,,,,,,
,,2004 - 2005,151,99,0.66,,,,,,
,,2005 - 2006,155,122,0.79,,,,,,
,,2007 - 2008,176,128,0.73,,,,,,
,,2016 - 2017,213,187,0.88,,,,,,
,,2017 - 2018,219,200,0.91,,,,,,
,,2018 - 2019,217,197,0.91,,,,,,
,,2019 - 2020,244,219,0.9,,,,,,
,,2020 - 2021,244,221,0.91,,,,,,
,,2021 - 2022,247,223,0.9,,,,,,
,,2022 - 2023,250,226,0.9,,,,,,
,30. Saran,2004 - 2005,2,1,0.5,,,,,,
,31. Sheikhpura,2007 - 2008,10,7,0.7,,,,,,
,,2016 - 2017,201,183,0.91,,,,,,
,,2017 - 2018,73,67,0.92,,,,,,
,,2018 - 2019,71,65,0.92,,,,,,
,,2019 - 2020,59,54,0.92,,,,,,
,,2020 - 2021,57,52,0.91,,,,,,
,,2021 - 2022,60,55,0.92,,,,,,
,,2022 - 2023,62,57,0.92,,,,,,
,32. Sheohar,2000 - 2001,12,5,0.42,,,,,,
,,2001 - 2002,10,6,0.6,,,,,,
,,2002 - 2003,10,7,0.7,,,,,,
,,2003 - 2004,17,12,0.71,,,,,,
,,2004 - 2005,12,8,0.67,,,,,,
,,2005 - 2006,33,26,0.79,,,,,,
,,2016 - 2017,27,25,0.93,,,,,,
,,2017 - 2018,21,19,0.9,,,,,,
,,2018 - 2019,24,22,0.92,,,,,,
,,2019 - 2020,25,23,0.92,,,,,,
,,2020 - 2021,25,23,0.92,,,,,,
,,2021 - 2022,24,22,0.92,,,,,,
,,2022 - 2023,23,21,0.91,,,,,,
,33. Sitamarhi,2000 - 2001,41,17,0.41,,,,,,
,,2001 - 2002,25,15,0.6,,,,,,
,,2002 - 2003,25,16,0.64,,,,,,
,,2003 - 2004,46,32,0.7,,,,,,
,,2004 - 2005,34,22,0.65,,,,,,
,,2005 - 2006,45,35,0.78,,,,,,
,,2007 - 2008,34,24,0.71,,,,,,
,,2016 - 2017,64,58,0.91,,,,,,
,,2017 - 2018,56,51,0.91,,,,,,
,,2018 - 2019,52,47,0.9,,,,,,
,,2019 - 2020,52,47,0.9,,,,,,
,,2020 - 2021,52,47,0.9,,,,,,
,,2021 - 2022,50,45,0.9,,,,,,
,,2022 - 2023,51,46,0.9,,,,,,
