State,District,Year,Coriander,,,,,,,,
,,,Whole Year,,,Kharif,,,Rabi,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2019 - 2020,412,412,1,,,,,,
,23. Jabalpur,2000 - 2001,754,175,0.23,,,,,,
,,2001 - 2002,760,225,0.3,,,,,,
,,2002 - 2003,874,250,0.29,,,,,,
,,2003 - 2004,"1,026.00",360,0.35,,,,,,
,,2004 - 2005,786,281,0.36,,,,,,
,,2006 - 2007,758,271,0.36,,,,,,
,,2007 - 2008,651,141,0.22,,,,,,
,,2008 - 2009,705,163,0.23,,,,,,
,,2009 - 2010,301,70,0.23,,,,,,
,,2010 - 2011,620,168,0.27,,,,,,
,,2011 - 2012,676,197,0.29,,,,,,
,,2012 - 2013,830,224,0.27,,,,,,
,,2013 - 2014,717,258,0.36,,,,,,
,,2015 - 2016,"1,936.00","2,710.40",1.4,,,,,,
,,2016 - 2017,"1,951.00","2,731.40",1.4,,,,,,
,,2017 - 2018,"1,960.00","2,743.63",1.4,,,,,,
,,2018 - 2019,"2,058.00","3,087.00",1.5,,,,,,
,,2019 - 2020,"2,063.00","2,887.80",1.4,,,,,,
,24. Jhabua,2007 - 2008,3,1,0.33,,,,,,
,,2010 - 2011,2,1,0.5,,,,,,
,,2012 - 2013,8,4,0.5,,,,,,
,,2013 - 2014,2,1,0.5,,,,,,
,,2015 - 2016,47,47,1,,,,,,
,,2016 - 2017,61,61,1,,,,,,
,,2017 - 2018,76,76,1,,,,,,
,,2018 - 2019,87,87,1,,,,,,
,,2019 - 2020,98,98,1,,,,,,
,25. Katni,2000 - 2001,114,22,0.19,,,,,,
,,2001 - 2002,116,24,0.21,,,,,,
,,2002 - 2003,122,23,0.19,,,,,,
,,2003 - 2004,128,29,0.23,,,,,,
,,2004 - 2005,128,29,0.23,,,,,,
,,2006 - 2007,110,17,0.15,,,,,,
,,2007 - 2008,102,17,0.17,,,,,,
,,2008 - 2009,110,21,0.19,,,,,,
,,2009 - 2010,107,20,0.19,,,,,,
,,2010 - 2011,124,21,0.17,,,,,,
,,2011 - 2012,90,18,0.2,,,,,,
,,2012 - 2013,224,47,0.21,,,,,,
,,2013 - 2014,191,92,0.48,,,,,,
,,2015 - 2016,"1,506.00","3,000.00",1.99,,,,,,
,,2016 - 2017,"1,513.00","1,255.79",0.83,,,,,,
,,2017 - 2018,"1,513.50","1,710.26",1.13,,,,,,
,,2018 - 2019,"1,516.00","1,713.08",1.13,,,,,,
,,2019 - 2020,"1,516.90","1,714.09",1.13,,,,,,
,26. Khandwa,2000 - 2001,250,56,0.22,,,,,,
,,2001 - 2002,510,126,0.25,,,,,,
,,2002 - 2003,596,175,0.29,,,,,,
,,2003 - 2004,515,151,0.29,,,,,,
,,2004 - 2005,566,151,0.27,,,,,,
,,2006 - 2007,653,208,0.32,,,,,,
,,2007 - 2008,696,235,0.34,,,,,,
,,2008 - 2009,727,210,0.29,,,,,,
,,2009 - 2010,947,319,0.34,,,,,,
,,2010 - 2011,963,315,0.33,,,,,,
,,2011 - 2012,930,314,0.34,,,,,,
,,2012 - 2013,967,250,0.26,,,,,,
,,2013 - 2014,911,300,0.33,,,,,,
,,2015 - 2016,34,544,16,,,,,,
,,2016 - 2017,65,104,1.6,,,,,,
,,2017 - 2018,67,107.2,1.6,,,,,,
,,2018 - 2019,67,107.2,1.6,,,,,,
,,2019 - 2020,70,113,1.61,,,,,,
,27. Khargone,2000 - 2001,154,31,0.2,,,,,,
,,2001 - 2002,235,63,0.27,,,,,,
,,2002 - 2003,381,99,0.26,,,,,,
,,2003 - 2004,466,136,0.29,,,,,,
,,2004 - 2005,474,135,0.28,,,,,,
,,2006 - 2007,443,156,0.35,,,,,,
,,2007 - 2008,541,187,0.35,,,,,,
,,2008 - 2009,414,141,0.34,,,,,,
,,2009 - 2010,534,184,0.34,,,,,,
,,2010 - 2011,566,221,0.39,,,,,,
,,2011 - 2012,597,224,0.38,,,,,,
,,2012 - 2013,685,202,0.29,,,,,,
,,2013 - 2014,875,281,0.32,,,,,,
,,2015 - 2016,211,232,1.1,,,,,,
,,2016 - 2017,275,303,1.1,,,,,,
,,2017 - 2018,245,270,1.1,,,,,,
,,2018 - 2019,251,276,1.1,,,,,,
,,2019 - 2020,326,485,1.49,,,,,,
,28. Mandla,2000 - 2001,193,20,0.1,,,,,,
,,2001 - 2002,247,48,0.19,,,,,,
,,2002 - 2003,272,52,0.19,,,,,,
,,2003 - 2004,265,62,0.23,,,,,,
,,2004 - 2005,316,73,0.23,,,,,,
,,2006 - 2007,280,65,0.23,,,,,,
,,2007 - 2008,294,68,0.23,,,,,,
,,2008 - 2009,280,65,0.23,,,,,,
,,2009 - 2010,310,64,0.21,,,,,,
,,2010 - 2011,342,71,0.21,,,,,,
,,2011 - 2012,483,101,0.21,,,,,,
,,2012 - 2013,315,69,0.22,,,,,,
,,2013 - 2014,388,145,0.37,,,,,,
,,2015 - 2016,393.32,"1,129.71",2.87,,,,,,
,,2016 - 2017,405.38,554.11,1.37,,,,,,
,,2017 - 2018,415.6,600.37,1.44,,,,,,
,,2018 - 2019,425,615.3,1.45,,,,,,
,,2019 - 2020,605,880.52,1.46,,,,,,
,29. Mandsaur,2000 - 2001,"7,340.00","3,255.00",0.44,,,,,,
,,2001 - 2002,"14,200.00","7,528.00",0.53,,,,,,
,,2002 - 2003,"4,464.00","1,549.00",0.35,,,,,,
,,2003 - 2004,"8,309.00","4,485.00",0.54,,,,,,
,,2004 - 2005,"13,832.00","7,733.00",0.56,,,,,,
,,2006 - 2007,"16,647.00","10,229.00",0.61,,,,,,
,,2007 - 2008,"18,693.00","9,189.00",0.49,,,,,,
,,2008 - 2009,"22,023.00","13,757.00",0.62,,,,,,
,,2009 - 2010,"23,961.00","14,723.00",0.61,,,,,,
,,2010 - 2011,"26,837.00","15,940.00",0.59,,,,,,
,,2011 - 2012,"27,675.00","14,738.00",0.53,,,,,,
,,2012 - 2013,"23,337.00","13,768.00",0.59,,,,,,
,,2013 - 2014,"31,346.00","18,151.00",0.58,,,,,,
,,2015 - 2016,"33,858.00","47,401.20",1.4,,,,,,
,,2016 - 2017,"34,010.00","47,614.00",1.4,,,,,,
,,2017 - 2018,"33,565.00","46,991.00",1.4,,,,,,
,,2018 - 2019,"33,455.00","46,837.00",1.4,,,,,,
,,2019 - 2020,"32,587.00","45,621.80",1.4,,,,,,
,30. Morena,2001 - 2002,7,4,0.57,,,,,,
,,2002 - 2003,7,2,0.29,,,,,,
,,2003 - 2004,1,0.01,0.01,,,,,,
,,2018 - 2019,3,3.02,1.01,,,,,,
,,2019 - 2020,10,10.3,1.03,,,,,,
,31. Narsinghpur,2000 - 2001,583,316,0.54,,,,,,
,,2001 - 2002,785,426,0.54,,,,,,
,,2002 - 2003,812,405,0.5,,,,,,
,,2003 - 2004,"1,010.00",533,0.53,,,,,,
,,2004 - 2005,"1,041.00",549,0.53,,,,,,
,,2006 - 2007,884,467,0.53,,,,,,
,,2007 - 2008,884,447,0.51,,,,,,
,,2008 - 2009,973,492,0.51,,,,,,
,,2009 - 2010,828,419,0.51,,,,,,
,,2010 - 2011,690,299,0.43,,,,,,
,,2011 - 2012,481,233,0.48,,,,,,
,,2012 - 2013,640,278,0.43,,,,,,
,,2013 - 2014,627,303,0.48,,,,,,
,,2015 - 2016,995.58,"1,445.54",1.45,,,,,,
,,2016 - 2017,"1,352.00","1,971.00",1.46,,,,,,
,,2017 - 2018,"1,357.00","1,977.00",1.46,,,,,,
,,2018 - 2019,"1,336.00","1,965.00",1.47,,,,,,
,,2019 - 2020,"1,336.00","1,965.00",1.47,,,,,,
,32. Neemuch,2000 - 2001,"1,143.00",639,0.56,,,,,,
,,2001 - 2002,"2,008.00","1,355.00",0.67,,,,,,
,,2002 - 2003,410,261,0.64,,,,,,
,,2003 - 2004,"1,662.00","1,088.00",0.65,,,,,,
,,2004 - 2005,"2,652.00","1,866.00",0.7,,,,,,
,,2006 - 2007,"3,133.00","2,054.00",0.66,,,,,,
,,2007 - 2008,"3,991.00","1,846.00",0.46,,,,,,
,,2008 - 2009,"5,004.00","3,183.00",0.64,,,,,,
,,2009 - 2010,"5,112.00","2,956.00",0.58,,,,,,
,,2010 - 2011,"7,684.00","3,704.00",0.48,,,,,,
,,2011 - 2012,"7,270.00","4,205.00",0.58,,,,,,
,,2012 - 2013,"5,641.00","5,923.00",1.05,,,,,,
,,2013 - 2014,"8,009.00","5,776.00",0.72,,,,,,
,,2015 - 2016,"20,069.00","20,059.00",1,,,,,,
,,2016 - 2017,"25,000.00","25,000.00",1,,,,,,
,,2017 - 2018,"24,500.00","24,500.00",1,,,,,,
,,2018 - 2019,"20,150.00","20,150.00",1,,,,,,
,,2019 - 2020,"15,150.00","15,150.00",1,,,,,,
,33. Panna,2000 - 2001,251,80,0.32,,,,,,
,,2001 - 2002,280,123,0.44,,,,,,
,,2002 - 2003,342,136,0.4,,,,,,
,,2003 - 2004,339,152,0.45,,,,,,
,,2004 - 2005,490,169,0.34,,,,,,
,,2006 - 2007,423,171,0.4,,,,,,
,,2007 - 2008,553,224,0.41,,,,,,
,,2008 - 2009,565,310,0.55,,,,,,
,,2009 - 2010,656,360,0.55,,,,,,
,,2010 - 2011,933,512,0.55,,,,,,
,,2011 - 2012,"1,165.00",698,0.6,,,,,,
,,2012 - 2013,"1,244.00",830,0.67,,,,,,
,,2013 - 2014,821,625,0.76,,,,,,
,,2015 - 2016,276.5,724.5,2.62,,,,,,
,,2016 - 2017,306,684,2.24,,,,,,
,,2017 - 2018,308,688,2.23,,,,,,
,,2018 - 2019,310,692,2.23,,,,,,
,,2019 - 2020,335,747.8,2.23,,,,,,
,34. Raisen,2000 - 2001,762,179,0.23,,,,,,
,,2001 - 2002,832,199,0.24,,,,,,
,,2002 - 2003,836,199,0.24,,,,,,
,,2003 - 2004,862,224,0.26,,,,,,
,,2004 - 2005,869,227,0.26,,,,,,
,,2006 - 2007,"1,150.00",299,0.26,,,,,,
,,2007 - 2008,910,237,0.26,,,,,,
,,2008 - 2009,868,226,0.26,,,,,,
,,2009 - 2010,865,225,0.26,,,,,,
,,2010 - 2011,838,182,0.22,,,,,,
,,2011 - 2012,838,272,0.32,,,,,,
,,2012 - 2013,674,137,0.2,,,,,,
,,2013 - 2014,512,187,0.37,,,,,,
,,2015 - 2016,"2,300.00","2,510.00",1.09,,,,,,
,,2016 - 2017,"2,335.00","2,536.00",1.09,,,,,,
,,2017 - 2018,"2,340.00","2,540.00",1.09,,,,,,
,,2018 - 2019,"1,368.00","1,442.00",1.05,,,,,,
,,2019 - 2020,"1,368.00","1,442.00",1.05,,,,,,
,35. Rajgarh,2000 - 2001,"8,415.00","2,859.00",0.34,,,,,,
,,2001 - 2002,"10,657.00","3,851.00",0.36,,,,,,
,,2002 - 2003,"4,253.00","1,506.00",0.35,,,,,,
,,2003 - 2004,"19,657.00","9,237.00",0.47,,,,,,
,,2004 - 2005,"24,864.00","11,323.00",0.46,,,,,,
,,2006 - 2007,"19,073.00","9,514.00",0.5,,,,,,
,,2007 - 2008,"26,735.00","8,890.00",0.33,,,,,,
,,2008 - 2009,"26,912.00","12,450.00",0.46,,,,,,
,,2009 - 2010,"36,209.00","19,894.00",0.55,,,,,,
,,2010 - 2011,"50,891.00","18,395.00",0.36,,,,,,
,,2011 - 2012,"42,382.00","20,833.00",0.49,,,,,,
,,2012 - 2013,"35,174.00","13,617.00",0.39,,,,,,
,,2013 - 2014,"33,574.00","15,290.00",0.46,,,,,,
,,2015 - 2016,"45,400.00","56,750.00",1.25,,,,,,
,,2016 - 2017,"51,141.00","63,926.25",1.25,,,,,,
,,2017 - 2018,"54,140.00","67,675.00",1.25,,,,,,
,,2018 - 2019,"54,567.00","68,209.00",1.25,,,,,,
,,2019 - 2020,"55,112.00","68,890.00",1.25,,,,,,
,36. Ratlam,2000 - 2001,109,49,0.45,,,,,,
,,2001 - 2002,124,42,0.34,,,,,,
,,2002 - 2003,465,186,0.4,,,,,,
,,2003 - 2004,655,299,0.46,,,,,,
,,2004 - 2005,"1,012.00",458,0.45,,,,,,
,,2006 - 2007,526,238,0.45,,,,,,
,,2007 - 2008,865,392,0.45,,,,,,
,,2008 - 2009,744,257,0.35,,,,,,
,,2009 - 2010,908,386,0.43,,,,,,
,,2010 - 2011,"1,436.00",610,0.42,,,,,,
,,2011 - 2012,"1,901.00",861,0.45,,,,,,
,,2012 - 2013,"1,400.00",580,0.41,,,,,,
,,2013 - 2014,"1,321.00",554,0.42,,,,,,
,,2015 - 2016,917,"1,376.00",1.5,,,,,,
,,2016 - 2017,"1,072.00","1,608.00",1.5,,,,,,
,,2017 - 2018,"1,077.00","1,614.00",1.5,,,,,,
,,2018 - 2019,880,"5,438.50",6.18,,,,,,
,,2019 - 2020,596,896.08,1.5,,,,,,
,37. Rewa,2000 - 2001,208,52,0.25,,,,,,
,,2001 - 2002,241,60,0.25,,,,,,
,,2002 - 2003,268,62,0.23,,,,,,
,,2003 - 2004,303,72,0.24,,,,,,
,,2004 - 2005,337,81,0.24,,,,,,
,,2006 - 2007,311,108,0.35,,,,,,
,,2007 - 2008,358,125,0.35,,,,,,
,,2008 - 2009,319,124,0.39,,,,,,
,,2009 - 2010,297,114,0.38,,,,,,
,,2010 - 2011,364,137,0.38,,,,,,
,,2011 - 2012,388,160,0.41,,,,,,
,,2012 - 2013,357,115,0.32,,,,,,
,,2013 - 2014,338,109,0.32,,,,,,
,,2015 - 2016,"1,737.50","2,606.30",1.5,,,,,,
,,2016 - 2017,"7,272.00","18,907.20",2.6,,,,,,
,,2017 - 2018,"5,890.32","15,314.83",2.6,,,,,,
,,2018 - 2019,"7,014.00","17,535.00",2.5,,,,,,
,,2019 - 2020,"9,453.00","23,632.50",2.5,,,,,,
,38. Sagar,2000 - 2001,337,110,0.33,,,,,,
,,2001 - 2002,437,142,0.32,,,,,,
,,2002 - 2003,422,92,0.22,,,,,,
,,2003 - 2004,577,204,0.35,,,,,,
,,2004 - 2005,619,219,0.35,,,,,,
,,2006 - 2007,541,183,0.34,,,,,,
,,2007 - 2008,482,163,0.34,,,,,,
,,2008 - 2009,604,223,0.37,,,,,,
,,2009 - 2010,568,171,0.3,,,,,,
,,2010 - 2011,222,89,0.4,,,,,,
,,2011 - 2012,558,206,0.37,,,,,,
,,2012 - 2013,544,289,0.53,,,,,,
,,2013 - 2014,482,228,0.47,,,,,,
,,2015 - 2016,"1,215.00","4,860.00",4,,,,,,
,,2016 - 2017,"2,000.00","8,000.00",4,,,,,,
,,2017 - 2018,"1,550.00","6,200.00",4,,,,,,
,,2018 - 2019,"1,661.00","7,985.00",4.81,,,,,,
,,2019 - 2020,"1,854.60","5,192.88",2.8,,,,,,
,39. Satna,2000 - 2001,335,105,0.31,,,,,,
,,2001 - 2002,375,129,0.34,,,,,,
,,2002 - 2003,418,144,0.34,,,,,,
,,2003 - 2004,451,164,0.36,,,,,,
,,2004 - 2005,432,178,0.41,,,,,,
,,2006 - 2007,359,119,0.33,,,,,,
,,2007 - 2008,337,89,0.26,,,,,,
,,2008 - 2009,361,131,0.36,,,,,,
,,2009 - 2010,378,163,0.43,,,,,,
,,2010 - 2011,319,123,0.39,,,,,,
,,2011 - 2012,220,88,0.4,,,,,,
,,2012 - 2013,125,38,0.3,,,,,,
,,2013 - 2014,96,32,0.33,,,,,,
,,2015 - 2016,"2,427.60","14,055.80",5.79,,,,,,
,,2016 - 2017,"1,426.90","3,198.00",2.24,,,,,,
,,2017 - 2018,920,"2,058.00",2.24,,,,,,
,,2018 - 2019,981,"2,118.50",2.16,,,,,,
,,2019 - 2020,"1,045.00","2,344.50",2.24,,,,,,
,40. Sehore,2000 - 2001,329,139,0.42,,,,,,
,,2001 - 2002,510,258,0.51,,,,,,
,,2002 - 2003,476,241,0.51,,,,,,
,,2003 - 2004,636,322,0.51,,,,,,
,,2004 - 2005,799,404,0.51,,,,,,
,,2006 - 2007,728,368,0.51,,,,,,
,,2007 - 2008,997,514,0.52,,,,,,
,,2008 - 2009,855,534,0.62,,,,,,
,,2009 - 2010,742,501,0.68,,,,,,
,,2010 - 2011,801,311,0.39,,,,,,
,,2011 - 2012,732,494,0.67,,,,,,
,,2012 - 2013,735,379,0.52,,,,,,
,,2013 - 2014,649,361,0.56,,,,,,
,,2015 - 2016,"1,900.00","28,500.00",15,,,,,,
,,2016 - 2017,"2,025.00","3,645.00",1.8,,,,,,
,,2017 - 2018,"2,312.00","4,161.60",1.8,,,,,,
,,2018 - 2019,"2,312.00","4,161.60",1.8,,,,,,
,,2019 - 2020,"3,010.00","5,418.00",1.8,,,,,,
,41. Seoni,2000 - 2001,539,128,0.24,,,,,,
,,2001 - 2002,602,165,0.27,,,,,,
,,2002 - 2003,633,134,0.21,,,,,,
,,2003 - 2004,700,182,0.26,,,,,,
,,2004 - 2005,700,177,0.25,,,,,,
,,2006 - 2007,366,96,0.26,,,,,,
,,2007 - 2008,310,78,0.25,,,,,,
,,2008 - 2009,281,71,0.25,,,,,,
,,2009 - 2010,290,73,0.25,,,,,,
,,2010 - 2011,295,75,0.25,,,,,,
,,2011 - 2012,268,68,0.25,,,,,,
,,2012 - 2013,266,93,0.35,,,,,,
,,2013 - 2014,298,129,0.43,,,,,,
,,2015 - 2016,342,335.16,0.98,,,,,,
,,2016 - 2017,360,360.01,1,,,,,,
,,2017 - 2018,363,366.63,1.01,,,,,,
,,2018 - 2019,377,385.01,1.02,,,,,,
,,2019 - 2020,406,411.15,1.01,,,,,,
,42. Shahdol,2000 - 2001,84,25,0.3,,,,,,
,,2001 - 2002,146,42,0.29,,,,,,
,,2002 - 2003,105,31,0.3,,,,,,
,,2003 - 2004,32,9,0.28,,,,,,
,,2004 - 2005,30,7,0.23,,,,,,
,,2006 - 2007,56,14,0.25,,,,,,
,,2007 - 2008,41,11,0.27,,,,,,
,,2008 - 2009,32,8,0.25,,,,,,
,,2009 - 2010,32,8,0.25,,,,,,
,,2010 - 2011,31,9,0.29,,,,,,
,,2011 - 2012,36,11,0.31,,,,,,
,,2012 - 2013,52,23,0.44,,,,,,
,,2013 - 2014,52,25,0.48,,,,,,
,,2015 - 2016,612,"8,568.00",14,,,,,,
,,2016 - 2017,667,466.9,0.7,,,,,,
,,2017 - 2018,627,444.5,0.71,,,,,,
,,2018 - 2019,629,442.72,0.7,,,,,,
,,2019 - 2020,875,612.5,0.7,,,,,,
,43. Shajapur,2000 - 2001,"3,770.00","1,343.00",0.36,,,,,,
,,2001 - 2002,"4,269.00","1,521.00",0.36,,,,,,
,,2002 - 2003,"2,508.00",736,0.29,,,,,,
,,2003 - 2004,"15,616.00","6,657.00",0.43,,,,,,
,,2004 - 2005,"18,186.00","8,133.00",0.45,,,,,,
,,2006 - 2007,"12,500.00","5,939.00",0.48,,,,,,
,,2007 - 2008,"20,614.00","5,906.00",0.29,,,,,,
,,2008 - 2009,"19,219.00","6,312.00",0.33,,,,,,
,,2009 - 2010,"18,733.00","9,163.00",0.49,,,,,,
,,2010 - 2011,"21,433.00","10,484.00",0.49,,,,,,
,,2011 - 2012,"21,110.00","10,326.00",0.49,,,,,,
,,2012 - 2013,"16,044.00","7,577.00",0.47,,,,,,
,,2013 - 2014,918,442,0.48,,,,,,
,,2015 - 2016,960,"1,267.00",1.32,,,,,,
,,2016 - 2017,"1,120.00","1,512.00",1.35,,,,,,
,,2017 - 2018,"1,140.00","1,596.00",1.4,,,,,,
,,2018 - 2019,"1,145.00","1,603.00",1.4,,,,,,
,,2019 - 2020,"1,150.00","1,610.00",1.4,,,,,,
,44. Sheopur,2000 - 2001,"1,409.00",794,0.56,,,,,,
,,2001 - 2002,"2,545.00","1,555.00",0.61,,,,,,
,,2002 - 2003,"2,067.00",699,0.34,,,,,,
,,2003 - 2004,"6,816.00","3,202.00",0.47,,,,,,
,,2004 - 2005,"2,655.00","1,248.00",0.47,,,,,,
,,2006 - 2007,"3,832.00","2,031.00",0.53,,,,,,
,,2007 - 2008,"3,392.00","1,961.00",0.58,,,,,,
,,2008 - 2009,"3,294.00","1,905.00",0.58,,,,,,
,,2009 - 2010,"5,073.00","2,934.00",0.58,,,,,,
,,2010 - 2011,"5,644.00","3,155.00",0.56,,,,,,
,,2011 - 2012,"4,019.00","2,324.00",0.58,,,,,,
,,2012 - 2013,"3,005.00","2,786.00",0.93,,,,,,
,,2013 - 2014,"3,123.00","2,681.00",0.86,,,,,,
,,2015 - 2016,"10,118.00","16,188.00",1.6,,,,,,
,,2016 - 2017,"12,000.00","21,000.00",1.75,,,,,,
,,2017 - 2018,"12,000.00","21,000.00",1.75,,,,,,
,,2018 - 2019,"12,600.00","22,050.00",1.75,,,,,,
,,2019 - 2020,"13,558.00","23,730.00",1.75,,,,,,
,45. Shivpuri,2000 - 2001,485,123,0.25,,,,,,
,,2001 - 2002,351,96,0.27,,,,,,
,,2002 - 2003,128,19,0.15,,,,,,
,,2003 - 2004,278,82,0.29,,,,,,
,,2004 - 2005,575,183,0.32,,,,,,
,,2006 - 2007,127,32,0.25,,,,,,
,,2007 - 2008,310,65,0.21,,,,,,
,,2008 - 2009,344,94,0.27,,,,,,
,,2009 - 2010,467,140,0.3,,,,,,
,,2010 - 2011,873,205,0.23,,,,,,
,,2011 - 2012,847,232,0.27,,,,,,
,,2012 - 2013,673,153,0.23,,,,,,
,,2013 - 2014,"1,014.00",297,0.29,,,,,,
,,2015 - 2016,"1,964.00",982,0.5,,,,,,
,,2016 - 2017,"1,656.00","2,448.00",1.48,,,,,,
,,2017 - 2018,"1,700.00","2,550.00",1.5,,,,,,
,,2018 - 2019,"1,812.00","2,718.00",1.5,,,,,,
,,2019 - 2020,"2,248.00","2,718.00",1.21,,,,,,
,46. Sidhi,2000 - 2001,329,149,0.45,,,,,,
,,2001 - 2002,347,174,0.5,,,,,,
,,2002 - 2003,368,149,0.4,,,,,,
,,2003 - 2004,359,176,0.49,,,,,,
,,2004 - 2005,392,193,0.49,,,,,,
,,2006 - 2007,352,166,0.47,,,,,,
,,2007 - 2008,385,167,0.43,,,,,,
,,2008 - 2009,118,63,0.53,,,,,,
,,2009 - 2010,104,53,0.51,,,,,,
,,2010 - 2011,123,62,0.5,,,,,,
,,2011 - 2012,106,70,0.66,,,,,,
,,2012 - 2013,127,94,0.74,,,,,,
,,2013 - 2014,143,130,0.91,,,,,,
,,2015 - 2016,460,706,1.53,,,,,,
,,2016 - 2017,505,858,1.7,,,,,,
,,2017 - 2018,555,938,1.69,,,,,,
,,2018 - 2019,605,"1,030.00",1.7,,,,,,
,,2019 - 2020,"1,280.00","2,179.00",1.7,,,,,,
,47. Singrauli,2008 - 2009,253,134,0.53,,,,,,
,,2009 - 2010,277,141,0.51,,,,,,
,,2010 - 2011,205,105,0.51,,,,,,
,,2011 - 2012,278,182,0.65,,,,,,
,,2012 - 2013,267,168,0.63,,,,,,
,,2013 - 2014,263,166,0.63,,,,,,
,,2015 - 2016,266,266,1,,,,,,
,,2016 - 2017,266,266,1,,,,,,
,,2017 - 2018,560,921,1.64,,,,,,
,,2018 - 2019,630,"1,094.50",1.74,,,,,,
,,2019 - 2020,982,"1,782.60",1.82,,,,,,
,48. Tikamgarh,2000 - 2001,239,98,0.41,,,,,,
,,2001 - 2002,311,129,0.41,,,,,,
,,2002 - 2003,213,71,0.33,,,,,,
,,2003 - 2004,234,93,0.4,,,,,,
,,2004 - 2005,232,77,0.33,,,,,,
,,2006 - 2007,195,52,0.27,,,,,,
,,2007 - 2008,110,28,0.25,,,,,,
,,2008 - 2009,256,85,0.33,,,,,,
,,2009 - 2010,268,88,0.33,,,,,,
,,2010 - 2011,240,64,0.27,,,,,,
,,2011 - 2012,287,131,0.46,,,,,,
,,2012 - 2013,332,87,0.26,,,,,,
,,2013 - 2014,296,75,0.25,,,,,,
,,2015 - 2016,"1,156.00",173.4,0.15,,,,,,
,,2016 - 2017,"1,214.00","1,335.40",1.1,,,,,,
,,2017 - 2018,411,452.1,1.1,,,,,,
,,2018 - 2019,600,654,1.09,,,,,,
,,2019 - 2020,670,730.3,1.09,,,,,,
,49. Ujjain,2000 - 2001,85,16,0.19,,,,,,
,,2001 - 2002,276,46,0.17,,,,,,
,,2002 - 2003,183,30,0.16,,,,,,
,,2003 - 2004,"1,223.00",388,0.32,,,,,,
,,2004 - 2005,"1,224.00",392,0.32,,,,,,
,,2006 - 2007,890,310,0.35,,,,,,
,,2007 - 2008,888,204,0.23,,,,,,
,,2008 - 2009,646,189,0.29,,,,,,
,,2009 - 2010,485,146,0.3,,,,,,
,,2010 - 2011,582,154,0.26,,,,,,
,,2011 - 2012,641,188,0.29,,,,,,
,,2012 - 2013,752,218,0.29,,,,,,
,,2013 - 2014,984,289,0.29,,,,,,
,,2015 - 2016,"2,045.00","3,590.00",1.76,,,,,,
,,2016 - 2017,"2,524.70","6,828.16",2.7,,,,,,
,,2017 - 2018,"2,530.00","7,159.90",2.83,,,,,,
,,2018 - 2019,"2,631.20","7,630.48",2.9,,,,,,
,,2019 - 2020,"2,775.91","8,327.73",3,,,,,,
,50. Umaria,2000 - 2001,27,8,0.3,,,,,,
,,2001 - 2002,19,5,0.26,,,,,,
,,2002 - 2003,25,7,0.28,,,,,,
,,2003 - 2004,19,5,0.26,,,,,,
,,2004 - 2005,15,4,0.27,,,,,,
,,2006 - 2007,19,5,0.26,,,,,,
,,2007 - 2008,11,3,0.27,,,,,,
,,2008 - 2009,12,3,0.25,,,,,,
,,2009 - 2010,11,3,0.27,,,,,,
,,2010 - 2011,20,5,0.25,,,,,,
,,2011 - 2012,51,17,0.33,,,,,,
,,2012 - 2013,44,15,0.34,,,,,,
,,2013 - 2014,58,27,0.47,,,,,,
,,2015 - 2016,43,86,2,,,,,,
,,2016 - 2017,60,120,2,,,,,,
,,2017 - 2018,450,585,1.3,,,,,,
,,2018 - 2019,475,617,1.3,,,,,,
,,2019 - 2020,550,715,1.3,,,,,,
,51. Vidisha,2000 - 2001,"4,691.00","1,010.00",0.22,,,,,,
,,2001 - 2002,"1,332.00",366,0.27,,,,,,
,,2002 - 2003,"5,612.00","1,156.00",0.21,,,,,,
,,2003 - 2004,"3,472.00","1,065.00",0.31,,,,,,
,,2004 - 2005,"4,171.00","1,279.00",0.31,,,,,,
,,2006 - 2007,"2,252.00",712,0.32,,,,,,
,,2007 - 2008,"1,490.00",389,0.26,,,,,,
,,2008 - 2009,"1,175.00",320,0.27,,,,,,
,,2009 - 2010,"1,123.00",334,0.3,,,,,,
,,2010 - 2011,502,115,0.23,,,,,,
,,2011 - 2012,383,123,0.32,,,,,,
,,2012 - 2013,303,109,0.36,,,,,,
,,2015 - 2016,"5,603.34","6,151.80",1.1,,,,,,
,,2016 - 2017,"2,000.00","3,000.00",1.5,,,,,,
,,2017 - 2018,"2,165.00","3,247.50",1.5,,,,,,
,,2018 - 2019,"2,180.00","3,271.50",1.5,,,,,,
,,2019 - 2020,"4,923.00","7,587.94",1.54,,,,,,
9. Meghalaya,1. East garo hills,2004 - 2005,16,86,5.38,,,,,,
,,2017 - 2018,9,22,2.44,,,,,,
,,2018 - 2019,9,22,2.44,,,,,,
,,2019 - 2020,9,22,2.44,,,,,,
,,2020 - 2021,9,22,2.44,,,,,,
,2. East jaintia hills,2004 - 2005,6,25,4.17,,,,,,
,,2017 - 2018,5,20,4,,,,,,
,,2018 - 2019,6,24,4,,,,,,
,,2019 - 2020,6,24,4,,,,,,
,,2020 - 2021,6,24,4,,,,,,
,3. East khasi hills,2017 - 2018,45,111,2.47,,,,,,
,,2018 - 2019,45,111,2.47,,,,,,
,,2019 - 2020,45,111,2.47,,,,,,
,,2020 - 2021,45,111,2.47,,,,,,
