State,District,Year,Tobacco,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2012 - 2013,,,,,,,"7,000.00","9,000.00",1.29,,,
,,2013 - 2014,294,534,1.82,"5,378.00","9,778.00",1.82,,,,,,
,,2014 - 2015,86,257,2.99,"6,169.00","18,458.00",2.99,,,,,,
,,2015 - 2016,108,192,1.78,"6,588.00","11,687.00",1.77,,,,,,
,,2016 - 2017,804,"1,342.00",1.67,"6,078.00","10,144.00",1.67,,,,,,
,,2017 - 2018,46,64,1.39,"4,802.00","6,689.00",1.39,,,,,,
,,2018 - 2019,165,218,1.32,"5,067.00","6,699.00",1.32,,,,,,
,,2019 - 2020,85,131,1.54,"3,189.00","4,914.00",1.54,,,,,,
,,2020 - 2021,,,,"3,540.00","7,739.00",2.19,,,,,,
,,2021 - 2022,10,21,2.1,"2,840.00","5,956.00",2.1,,,,,,
,,2022 - 2023,,,,"1,170.00","3,550.00",3.03,,,,,,
,14. Nandyal,2022 - 2023,45,105,2.33,"2,212.00","4,324.00",1.95,,,,,,
,15. Ntr,2022 - 2023,,,,36,93,2.58,,,,,,
,16. Palnadu,2022 - 2023,867,"2,244.00",2.59,"1,769.00","4,538.00",2.57,,,,,,
,17. Parvathipuram manyam,2022 - 2023,,,,71,184,2.59,,,,,,
,18. Prakasam,2000 - 2001,,,,,,,"6,985.00","14,894.00",2.13,,,
,,2001 - 2002,,,,,,,"51,549.00","57,805.00",1.12,,,
,,2002 - 2003,,,,,,,"58,544.00","64,818.00",1.11,,,
,,2003 - 2004,,,,,,,"58,542.00","68,824.00",1.18,,,
,,2004 - 2005,,,,,,,"61,802.00","77,556.00",1.25,,,
,,2005 - 2006,,,,,,,"61,058.00","76,996.00",1.26,,,
,,2006 - 2007,,,,,,,"60,299.00","62,230.00",1.03,,,
,,2007 - 2008,,,,,,,"57,000.00","67,000.00",1.18,,,
,,2008 - 2009,,,,,,,"81,738.00","1,20,504.00",1.47,,,
,,2009 - 2010,,,,,,,"94,292.00","1,57,105.00",1.67,,,
,,2010 - 2011,,,,,,,"81,271.00","1,27,518.00",1.57,,,
,,2011 - 2012,,,,,,,"62,776.00","1,09,504.00",1.74,,,
,,2012 - 2013,,,,,,,"72,000.00","1,33,000.00",1.85,,,
,,2013 - 2014,"2,805.00","8,753.00",3.12,"83,416.00","1,58,600.00",1.9,,,,,,
,,2014 - 2015,"1,801.00","3,699.00",2.05,"78,761.00","1,67,264.00",2.12,,,,,,
,,2015 - 2016,"1,186.00","4,028.00",3.4,"52,804.00","1,02,238.00",1.94,,,,,,
,,2016 - 2017,"1,903.00","6,220.00",3.27,"37,220.00","74,906.00",2.01,,,,,,
,,2017 - 2018,"1,791.00","5,822.00",3.25,"40,642.00","81,101.00",2,,,,,,
,,2018 - 2019,"2,045.00","6,085.00",2.98,"45,509.00","62,483.00",1.37,,,,,,
,,2019 - 2020,"3,043.00","9,150.00",3.01,"45,486.00","87,793.00",1.93,,,,,,
,,2020 - 2021,"1,035.00","2,884.00",2.79,"32,120.00","74,499.00",2.32,,,,,,
,,2021 - 2022,819,"2,930.00",3.58,"30,543.00","66,262.00",2.17,,,,,,
,,2022 - 2023,"1,036.00","2,606.00",2.52,"23,850.00","38,057.00",1.6,,,,,,
,19. Spsr nellore,2000 - 2001,,,,,,,12,28,2.33,,,
,,2001 - 2002,,,,,,,"10,068.00","11,548.00",1.15,,,
,,2002 - 2003,,,,,,,"10,313.00","11,881.00",1.15,,,
,,2003 - 2004,,,,,,,"11,122.00","16,761.00",1.51,,,
,,2004 - 2005,,,,,,,"10,375.00","7,592.00",0.73,,,
,,2005 - 2006,,,,,,,"10,759.00","9,870.00",0.92,,,
,,2006 - 2007,,,,,,,"11,097.00","13,183.00",1.19,,,
,,2007 - 2008,,,,,,,"10,000.00","7,000.00",0.7,,,
