State,District,Year,Tobacco,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2015 - 2016,,,,,,,"1,600.00","2,800.00",1.75,,,
,,2016 - 2017,,,,,,,800,"1,100.00",1.38,,,
,,2017 - 2018,,,,,,,549,700,1.28,,,
,,2018 - 2019,,,,,,,460,803,1.75,,,
,,2019 - 2020,,,,,,,456,828,1.82,,,
,,2020 - 2021,,,,,,,591,"1,190.76",2.01,,,
,,2021 - 2022,,,,,,,527,792.87,1.5,,,
,,2022 - 2023,,,,,,,848,"2,236.00",2.64,,,
,2. Sangli,2015 - 2016,,,,,,,6,3,0.5,,,
13. Meghalaya,1. East garo hills,2000 - 2001,,,,,,,256,166,0.65,,,
,,2001 - 2002,,,,,,,251,161,0.64,,,
,,2002 - 2003,,,,,,,244,157,0.64,,,
,,2003 - 2004,,,,,,,238,153,0.64,,,
,,2004 - 2005,,,,,,,237,155,0.65,,,
,,2005 - 2006,,,,,,,230,150,0.65,,,
,,2006 - 2007,,,,230,150,0.65,,,,,,
,,2007 - 2008,,,,,,,222,145,0.65,,,
,,2008 - 2009,,,,,,,198,129,0.65,,,
,,2009 - 2010,,,,185,121,0.65,,,,,,
,,2010 - 2011,,,,187,122,0.65,,,,,,
,,2011 - 2012,,,,190,125,0.66,,,,,,
,,2012 - 2013,,,,231,210,0.91,,,,,,
,,2013 - 2014,,,,99,92,0.93,,,,,,
,,2014 - 2015,,,,99,94,0.95,,,,,,
,,2015 - 2016,,,,99,95,0.96,,,,,,
,,2016 - 2017,,,,100,97,0.97,,,,,,
,,2017 - 2018,,,,100,97,0.97,,,,,,
,,2018 - 2019,,,,100,97,0.97,,,,,,
,,2019 - 2020,,,,100,97,0.97,,,,,,
,,2020 - 2021,,,,100,97,0.97,,,,,,
,,2022 - 2023,,,,108,70,0.65,,,,,,
,2. East jaintia hills,2000 - 2001,,,,,,,9,3,0.33,,,
,,2001 - 2002,,,,,,,8,2,0.25,,,
,,2002 - 2003,,,,,,,7,3,0.43,,,
,,2003 - 2004,,,,,,,8,2,0.25,,,
,,2004 - 2005,,,,,,,8,2,0.25,,,
,,2005 - 2006,,,,,,,8,2,0.25,,,
,,2006 - 2007,,,,8,2,0.25,,,,,,
,3. North garo hills,2013 - 2014,,,,133,121,0.91,,,,,,
,,2014 - 2015,,,,134,125,0.93,,,,,,
,,2015 - 2016,,,,135,127,0.94,,,,,,
,,2016 - 2017,,,,136,129,0.95,,,,,,
,,2017 - 2018,,,,137,130,0.95,,,,,,
,,2018 - 2019,,,,139,132,0.95,,,,,,
,,2019 - 2020,,,,139,132,0.95,,,,,,
,,2020 - 2021,,,,140,134,0.96,,,,,,
,,2022 - 2023,,,,139,129,0.93,,,,,,
,4. South garo hills,2000 - 2001,,,,,,,114,72,0.63,,,
,,2001 - 2002,,,,,,,114,69,0.61,,,
,,2002 - 2003,,,,,,,114,64,0.56,,,
,,2003 - 2004,,,,,,,114,64,0.56,,,
,,2004 - 2005,,,,,,,118,69,0.58,,,
,,2005 - 2006,,,,,,,113,63,0.56,,,
,,2006 - 2007,,,,110,61,0.55,,,,,,
,,2007 - 2008,,,,,,,105,58,0.55,,,
,,2008 - 2009,,,,,,,105,56,0.53,,,
,,2009 - 2010,,,,104,56,0.54,,,,,,
,,2010 - 2011,,,,102,55,0.54,,,,,,
,,2011 - 2012,,,,103,56,0.54,,,,,,
,,2012 - 2013,,,,125,99,0.79,,,,,,
,,2013 - 2014,,,,126,101,0.8,,,,,,
,,2014 - 2015,,,,120,113,0.94,,,,,,
,,2015 - 2016,,,,128,118,0.92,,,,,,
,,2016 - 2017,,,,128,120,0.94,,,,,,
,,2017 - 2018,,,,128,120,0.94,,,,,,
,,2018 - 2019,,,,128,120,0.94,,,,,,
,,2019 - 2020,,,,128,120,0.94,,,,,,
,,2020 - 2021,,,,129,122,0.95,,,,,,
,,2022 - 2023,,,,128,119,0.93,,,,,,
,5. South west garo hills,2013 - 2014,,,,152,150,0.99,,,,,,
,,2014 - 2015,,,,153,154,1.01,,,,,,
,,2015 - 2016,,,,153,154,1.01,,,,,,
,,2016 - 2017,,,,156,157,1.01,,,,,,
,,2017 - 2018,,,,157,158,1.01,,,,,,
,,2018 - 2019,,,,157,158,1.01,,,,,,
,,2019 - 2020,,,,157,158,1.01,,,,,,
,,2020 - 2021,,,,158,160,1.01,,,,,,
,,2022 - 2023,,,,157,155,0.99,,,,,,
,6. West garo hills,2000 - 2001,,,,,,,290,201,0.69,,,
,,2001 - 2002,,,,,,,332,234,0.7,,,
,,2002 - 2003,,,,,,,332,233,0.7,,,
,,2003 - 2004,,,,,,,343,241,0.7,,,
,,2004 - 2005,,,,,,,343,240,0.7,,,
,,2005 - 2006,,,,,,,345,244,0.71,,,
,,2006 - 2007,,,,341,240,0.7,,,,,,
,,2007 - 2008,,,,,,,340,239,0.7,,,
,,2008 - 2009,,,,,,,334,222,0.66,,,
,,2009 - 2010,,,,318,220,0.69,,,,,,
,,2010 - 2011,,,,310,207,0.67,,,,,,
,,2011 - 2012,,,,315,215,0.68,,,,,,
,,2012 - 2013,,,,380,352,0.93,,,,,,
,,2013 - 2014,,,,230,208,0.9,,,,,,
,,2014 - 2015,,,,232,213,0.92,,,,,,
,,2015 - 2016,,,,233,217,0.93,,,,,,
,,2016 - 2017,,,,234,221,0.94,,,,,,
,,2017 - 2018,,,,234,222,0.95,,,,,,
,,2018 - 2019,,,,235,224,0.95,,,,,,
,,2019 - 2020,,,,236,226,0.96,,,,,,
,,2020 - 2021,,,,237,228,0.96,,,,,,
,,2022 - 2023,,,,236,222,0.94,,,,,,
,7. West khasi hills,2000 - 2001,,,,,,,31,28,0.9,,,
,,2001 - 2002,,,,,,,23,14,0.61,,,
,,2002 - 2003,,,,,,,22,13,0.59,,,
,,2003 - 2004,,,,,,,20,12,0.6,,,
,,2004 - 2005,,,,,,,23,13,0.57,,,
,,2005 - 2006,,,,,,,25,16,0.64,,,
,,2006 - 2007,,,,20,15,0.75,,,,,,
,,2007 - 2008,,,,,,,29,22,0.76,,,
,,2008 - 2009,,,,,,,27,29,1.07,,,
,,2009 - 2010,,,,28,30,1.07,,,,,,
,,2010 - 2011,,,,32,36,1.13,,,,,,
,,2011 - 2012,,,,33,38,1.15,,,,,,
,,2012 - 2013,,,,39,56,1.44,,,,,,
,,2013 - 2014,,,,40,58,1.45,,,,,,
,,2014 - 2015,,,,41,60,1.46,,,,,,
,,2015 - 2016,,,,42,64,1.52,,,,,,
,,2016 - 2017,,,,43,65,1.51,,,,,,
,,2017 - 2018,,,,43,65,1.51,,,,,,
,,2018 - 2019,,,,43,65,1.51,,,,,,
,,2019 - 2020,,,,43,65,1.51,,,,,,
,,2020 - 2021,,,,43,65,1.51,,,,,,
,,2022 - 2023,,,,42,60,1.43,,,,,,
14. Mizoram,1. Aizawl,2000 - 2001,,,,,,,230,180,0.78,,,
,,2001 - 2002,,,,,,,158,129,0.82,,,
,,2002 - 2003,,,,,,,153,145,0.95,,,
,,2003 - 2004,,,,,,,80,42,0.53,,,
,,2004 - 2005,,,,,,,84,55,0.65,,,
,,2005 - 2006,,,,,,,83,56,0.67,,,
,,2006 - 2007,,,,,,,29,25,0.86,,,
,,2007 - 2008,,,,,,,65,23,0.35,,,
,,2008 - 2009,,,,,,,51,18,0.35,,,
,,2009 - 2010,,,,,,,35,18,0.51,,,
,,2010 - 2011,,,,,,,25,10,0.4,,,
,,2015 - 2016,,,,,,,7,4,0.57,,,
,,2016 - 2017,,,,,,,20,8,0.4,,,
,,2017 - 2018,22,11,0.5,,,,,,,,,
,,2018 - 2019,36,32,0.89,,,,,,,,,
,,2019 - 2020,36,43,1.19,,,,,,,,,
,,2020 - 2021,30,19,0.63,,,,,,,,,
,,2021 - 2022,27,17,0.63,,,,,,,,,
,,2022 - 2023,27,17,0.63,,,,,,,,,
,2. Champhai,2000 - 2001,,,,,,,65,18,0.28,,,
,,2001 - 2002,,,,,,,35,27,0.77,,,
,,2002 - 2003,,,,,,,28,25,0.89,,,
,,2003 - 2004,,,,,,,150,180,1.2,,,
,,2004 - 2005,,,,,,,183,135,0.74,,,
,,2005 - 2006,,,,,,,174,126,0.72,,,
,,2006 - 2007,,,,,,,175,144,0.82,,,
,,2008 - 2009,,,,,,,183,135,0.74,,,
,,2009 - 2010,,,,,,,146,109,0.75,,,
,,2010 - 2011,,,,,,,118,94,0.8,,,
,,2011 - 2012,,,,,,,155,173,1.12,,,
,,2012 - 2013,,,,,,,50,49,0.98,,,
,,2013 - 2014,,,,,,,61,70,1.15,,,
,,2014 - 2015,,,,,,,32,34,1.06,,,
,,2015 - 2016,,,,,,,244,74,0.3,,,
,,2016 - 2017,,,,,,,146,159,1.09,,,
,,2017 - 2018,231,217.5,0.94,,,,,,,,,
,,2018 - 2019,222,299,1.35,,,,,,,,,
,,2019 - 2020,181,324,1.79,,,,,,,,,
,,2020 - 2021,175,311,1.78,,,,,,,,,
,,2021 - 2022,182,78,0.43,,,,,,,,,
,,2022 - 2023,182,199,1.09,,,,,,,,,
,3. Hnahthial,2020 - 2021,24,20,0.83,,,,,,,,,
,,2021 - 2022,5,4,0.8,,,,,,,,,
,,2022 - 2023,24,20,0.83,,,,,,,,,
,4. Khawzawl,2020 - 2021,5,9,1.8,,,,,,,,,
,5. Kolasib,2002 - 2003,,,,,,,20,13,0.65,,,
,,2003 - 2004,,,,,,,8,4,0.5,,,
,,2004 - 2005,,,,,,,10,6,0.6,,,
,,2005 - 2006,,,,,,,16,7,0.44,,,
,,2006 - 2007,,,,,,,7,4,0.57,,,
,,2008 - 2009,,,,,,,11,4,0.36,,,
,,2009 - 2010,,,,,,,9,4,0.44,,,
,,2010 - 2011,,,,,,,13,7,0.54,,,
,,2011 - 2012,,,,,,,12,9,0.75,,,
,6. Lawngtlai,2004 - 2005,,,,,,,14,13,0.93,,,
,,2005 - 2006,,,,,,,14,13,0.93,,,
,,2008 - 2009,,,,,,,112,35,0.31,,,
,,2009 - 2010,,,,,,,20,11,0.55,,,
,,2011 - 2012,,,,,,,17,23,1.35,,,
,,2013 - 2014,,,,,,,23,13,0.57,,,
,,2014 - 2015,,,,,,,25,13,0.52,,,
,,2015 - 2016,,,,,,,20,11,0.55,,,
,,2016 - 2017,,,,,,,26,14,0.54,,,
,,2017 - 2018,50.5,27.3,0.54,,,,,,,,,
,,2018 - 2019,50,61,1.22,,,,,,,,,
,,2019 - 2020,53,65,1.23,,,,,,,,,
,,2020 - 2021,51,63,1.24,,,,,,,,,
,,2021 - 2022,53,45,0.85,,,,,,,,,
,,2022 - 2023,46,28,0.61,,,,,,,,,
,7. Lunglei,2000 - 2001,,,,,,,78,48,0.62,,,
,,2001 - 2002,,,,,,,99,68,0.69,,,
,,2002 - 2003,,,,,,,99,69,0.7,,,
,,2003 - 2004,,,,,,,162,111,0.69,,,
,,2004 - 2005,,,,,,,123,74,0.6,,,
,,2005 - 2006,,,,,,,149,89,0.6,,,
,,2006 - 2007,,,,,,,172,97,0.56,,,
,,2008 - 2009,,,,,,,113,77,0.68,,,
,,2009 - 2010,,,,,,,161,107,0.66,,,
,,2010 - 2011,,,,,,,84,44,0.52,,,
,,2011 - 2012,,,,,,,88,38,0.43,,,
,,2012 - 2013,,,,,,,20,9,0.45,,,
,,2013 - 2014,,,,,,,60,174,2.9,,,
,,2014 - 2015,,,,,,,59,48,0.81,,,
,,2015 - 2016,,,,,,,82,32,0.39,,,
,,2016 - 2017,,,,,,,30,22,0.73,,,
,,2017 - 2018,35,24.7,0.71,,,,,,,,,
,,2018 - 2019,32,26,0.81,,,,,,,,,
,,2019 - 2020,30,28,0.93,,,,,,,,,
,,2020 - 2021,8,7,0.88,,,,,,,,,
,,2021 - 2022,3,3,1,,,,,,,,,
,,2022 - 2023,3,3,1,,,,,,,,,
,8. Mamit,2003 - 2004,,,,,,,28,42,1.5,,,
,,2004 - 2005,,,,,,,41,25,0.61,,,
,,2005 - 2006,,,,,,,22,28,1.27,,,
,,2006 - 2007,,,,,,,63,13,0.21,,,
,,2007 - 2008,,,,,,,20,9,0.45,,,
,,2008 - 2009,,,,,,,14,7,0.5,,,
,,2014 - 2015,,,,,,,3,1,0.33,,,
,9. Saiha,2003 - 2004,,,,,,,32,25,0.78,,,
,,2004 - 2005,,,,,,,13,9,0.69,,,
,,2005 - 2006,,,,,,,53,45,0.85,,,
,,2006 - 2007,,,,,,,57,59,1.04,,,
,,2007 - 2008,,,,,,,5,5,1,,,
,,2013 - 2014,,,,,,,4,2,0.5,,,
,10. Saitual,2021 - 2022,4,4,1,,,,,,,,,
,,2022 - 2023,4,4,1,,,,,,,,,
15. Odisha,1. Anugul,2000 - 2001,,,,,,,70,50,0.71,,,
,,2002 - 2003,,,,,,,200,110,0.55,,,
,,2003 - 2004,,,,,,,270,160,0.59,,,
,,2004 - 2005,,,,,,,194,118,0.61,,,
,2. Balangir,2000 - 2001,,,,,,,140,40,0.29,,,
,,2001 - 2002,,,,,,,230,70,0.3,,,
,,2002 - 2003,,,,,,,60,20,0.33,,,
,,2003 - 2004,,,,,,,270,90,0.33,,,
,,2004 - 2005,,,,,,,136,47,0.35,,,
,3. Boudh,2000 - 2001,,,,,,,20,10,0.5,,,
,4. Gajapati,2000 - 2001,,,,,,,100,80,0.8,,,
,,2001 - 2002,,,,,,,110,80,0.73,,,
,,2002 - 2003,,,,,,,100,80,0.8,,,
,,2003 - 2004,,,,,,,100,90,0.9,,,
,,2004 - 2005,,,,,,,106,91,0.86,,,
,5. Kalahandi,2000 - 2001,,,,,,,430,110,0.26,,,
,,2001 - 2002,,,,,,,410,100,0.24,,,
,,2002 - 2003,,,,,,,150,50,0.33,,,
,,2003 - 2004,,,,,,,500,150,0.3,,,
,,2004 - 2005,,,,,,,247,78,0.32,,,
,6. Kandhamal,2000 - 2001,,,,,,,60,20,0.33,,,
,,2001 - 2002,,,,,,,70,20,0.29,,,
,,2002 - 2003,,,,,,,90,30,0.33,,,
,,2003 - 2004,,,,,,,80,30,0.38,,,
,,2004 - 2005,,,,,,,80,27,0.34,,,
,7. Kendujhar,2000 - 2001,,,,,,,30,20,0.67,,,
,,2001 - 2002,,,,,,,10,10,1,,,
,8. Koraput,2000 - 2001,,,,,,,"1,560.00",950,0.61,,,
,,2001 - 2002,,,,,,,"1,510.00","1,350.00",0.89,,,
,,2002 - 2003,,,,,,,"1,520.00",840,0.55,,,
,,2003 - 2004,,,,,,,"1,890.00","1,240.00",0.66,,,
,,2004 - 2005,,,,,,,"1,846.00","1,218.00",0.66,,,
,9. Malkangiri,2000 - 2001,,,,,,,230,110,0.48,,,
,,2001 - 2002,,,,,,,"1,270.00",690,0.54,,,
,,2002 - 2003,,,,,,,500,250,0.5,,,
,,2003 - 2004,,,,,,,730,380,0.52,,,
,,2004 - 2005,,,,,,,807,420,0.52,,,
,10. Nabarangpur,2000 - 2001,,,,,,,90,40,0.44,,,
,,2001 - 2002,,,,,,,220,90,0.41,,,
,,2002 - 2003,,,,,,,220,90,0.41,,,
,,2003 - 2004,,,,,,,160,70,0.44,,,
,,2004 - 2005,,,,,,,139,63,0.45,,,
,11. Nuapada,2000 - 2001,,,,,,,130,20,0.15,,,
,,2001 - 2002,,,,,,,220,30,0.14,,,
,,2003 - 2004,,,,,,,40,10,0.25,,,
,,2004 - 2005,,,,,,,40,20,0.5,,,
,12. Rayagada,2000 - 2001,,,,,,,520,110,0.21,,,
,,2001 - 2002,,,,,,,"1,630.00","1,140.00",0.7,,,
,,2002 - 2003,,,,,,,"1,250.00","1,130.00",0.9,,,
,,2003 - 2004,,,,,,,"1,270.00","1,270.00",1,,,
,,2004 - 2005,,,,,,,"1,165.00","1,165.00",1,,,
,,2019 - 2020,,,,130,90,0.69,,,,,,
16. Puducherry,1. Mahe,2015 - 2016,,,,7,280,40,,,,,,
,2. Pondicherry,2015 - 2016,,,,202,"4,108.00",20.34,,,,,,
17. Rajasthan,1. Alwar,2000 - 2001,,,,,,,131,409,3.12,,,
,,2001 - 2002,,,,,,,149,409,2.74,,,
,,2002 - 2003,,,,,,,154,427,2.77,,,
,,2003 - 2004,,,,,,,129,,0,,,
,,2004 - 2005,,,,,,,156,242,1.55,,,
,,2005 - 2006,,,,,,,140,242,1.73,,,
,,2006 - 2007,,,,,,,108,118,1.09,,,
,,2007 - 2008,,,,,,,186,105,0.56,,,
,,2008 - 2009,,,,,,,164,196,1.2,,,
,,2009 - 2010,,,,,,,111,141,1.27,,,
,,2010 - 2011,,,,,,,145,202,1.39,,,
,,2011 - 2012,,,,,,,147,172,1.17,,,
,,2012 - 2013,,,,,,,90,164,1.82,,,
,,2013 - 2014,,,,,,,68,80,1.18,,,
,,2014 - 2015,,,,,,,76,91,1.2,,,
,,2015 - 2016,,,,,,,105,148,1.41,,,
,,2016 - 2017,,,,,,,65,36,0.55,,,
,,2017 - 2018,,,,,,,97,97,1,,,
,,2018 - 2019,,,,,,,68,508,7.47,,,
,,2019 - 2020,,,,,,,40,308,7.7,,,
,,2020 - 2021,,,,,,,65,94,1.45,,,
,,2021 - 2022,,,,,,,59,66,1.12,,,
,,2022 - 2023,,,,,,,60,60,1,,,
,2. Banswara,2006 - 2007,,,,,,,1,,0,,,
,3. Bharatpur,2000 - 2001,,,,,,,1,2,2,,,
,,2001 - 2002,,,,,,,2,2,1,,,
,,2002 - 2003,,,,,,,1,,0,,,
,,2003 - 2004,,,,,,,1,,0,,,
,,2004 - 2005,,,,,,,1,1,1,,,
,,2005 - 2006,,,,,,,1,1,1,,,
,,2008 - 2009,,,,,,,1,,0,,,
,,2012 - 2013,,,,,,,2,,0,,,
,,2013 - 2014,,,,,,,9,10,1.11,,,
,,2017 - 2018,,,,,,,1,1,1,,,
,,2020 - 2021,,,,,,,3,6,2,,,
,4. Bhilwara,2000 - 2001,,,,,,,12,3,0.25,,,
,,2001 - 2002,,,,,,,31,13,0.42,,,
,,2002 - 2003,,,,,,,6,,0,,,
,,2003 - 2004,,,,,,,10,,0,,,
,,2004 - 2005,,,,,,,30,2,0.07,,,
,,2005 - 2006,,,,,,,10,2,0.2,,,
,,2006 - 2007,,,,,,,6,6,1,,,
,,2007 - 2008,,,,,,,4,1,0.25,,,
,,2008 - 2009,,,,,,,7,2,0.29,,,
,,2009 - 2010,,,,,,,1,,0,,,
,,2010 - 2011,,,,,,,13,11,0.85,,,
,,2011 - 2012,,,,,,,5,5,1,,,
,,2013 - 2014,,,,,,,2,1,0.5,,,
,,2014 - 2015,,,,,,,1,,0,,,
,,2015 - 2016,,,,,,,1,,0,,,
,,2016 - 2017,,,,,,,1,,0,,,
,,2017 - 2018,,,,,,,1,,0,,,
,,2019 - 2020,,,,,,,1,1,1,,,
,,2020 - 2021,,,,,,,1,0,0,,,
,,2021 - 2022,,,,,,,1,1,1,,,
,5. Bundi,2000 - 2001,,,,,,,2,2,1,,,
,,2001 - 2002,,,,,,,2,2,1,,,
,,2003 - 2004,,,,,,,4,,0,,,
,6. Chittorgarh,2000 - 2001,,,,,,,13,4,0.31,,,
,,2001 - 2002,,,,,,,13,3,0.23,,,
,,2002 - 2003,,,,,,,6,1,0.17,,,
,,2003 - 2004,,,,,,,9,,0,,,
,,2004 - 2005,,,,,,,11,6,0.55,,,
,,2005 - 2006,,,,,,,7,6,0.86,,,
,,2006 - 2007,,,,,,,3,1,0.33,,,
,,2007 - 2008,,,,,,,2,1,0.5,,,
,,2008 - 2009,,,,,,,2,1,0.5,,,
,,2009 - 2010,,,,,,,22,7,0.32,,,
,,2010 - 2011,,,,,,,18,18,1,,,
,,2011 - 2012,,,,,,,6,6,1,,,
,,2020 - 2021,,,,,,,3,2,0.67,,,
,,2021 - 2022,,,,,,,2,2,1,,,
,7. Churu,2000 - 2001,,,,,,,10,40,4,,,
,,2001 - 2002,,,,,,,18,72,4,,,
,,2002 - 2003,,,,,,,8,32,4,,,
,,2003 - 2004,,,,,,,6,,0,,,
,,2004 - 2005,,,,,,,10,12,1.2,,,
,,2005 - 2006,,,,,,,3,12,4,,,
,8. Dausa,2000 - 2001,,,,,,,96,37,0.39,,,
,,2001 - 2002,,,,,,,133,75,0.56,,,
,,2002 - 2003,,,,,,,193,74,0.38,,,
,,2003 - 2004,,,,,,,87,,0,,,
,,2004 - 2005,,,,,,,104,104,1,,,
,,2005 - 2006,,,,,,,101,104,1.03,,,
,,2006 - 2007,,,,,,,87,92,1.06,,,
,,2007 - 2008,,,,,,,79,78,0.99,,,
,,2008 - 2009,,,,,,,112,119,1.06,,,
,,2009 - 2010,,,,,,,56,30,0.54,,,
,,2010 - 2011,,,,,,,70,70,1,,,
,,2011 - 2012,,,,,,,71,61,0.86,,,
,,2012 - 2013,,,,,,,41,104,2.54,,,
,,2013 - 2014,,,,,,,37,37,1,,,
,,2014 - 2015,,,,,,,39,30,0.77,,,
,,2015 - 2016,,,,,,,11,9,0.82,,,
,,2016 - 2017,,,,,,,2,2,1,,,
,,2017 - 2018,,,,,,,29,4,0.14,,,
,,2018 - 2019,,,,,,,35,35,1,,,
,,2019 - 2020,,,,,,,11,5,0.45,,,
,,2020 - 2021,,,,,,,9,4,0.44,,,
,,2021 - 2022,,,,,,,17,8,0.47,,,
,,2022 - 2023,,,,,,,3,12,4,,,
,9. Dholpur,2001 - 2002,,,,,,,1,,0,,,
,,2003 - 2004,,,,,,,6,,0,,,
,,2019 - 2020,,,,,,,1,,0,,,
,,2020 - 2021,,,,,,,1,0,0,,,
,10. Jaipur,2000 - 2001,,,,,,,63,106,1.68,,,
,,2001 - 2002,,,,,,,48,100,2.08,,,
,,2002 - 2003,,,,,,,32,56,1.75,,,
,,2003 - 2004,,,,,,,17,,0,,,
,,2004 - 2005,,,,,,,18,6,0.33,,,
,,2005 - 2006,,,,,,,5,6,1.2,,,
,,2006 - 2007,,,,,,,2,2,1,,,
,,2007 - 2008,,,,,,,6,13,2.17,,,
,,2008 - 2009,,,,,,,8,14,1.75,,,
,,2009 - 2010,,,,,,,7,10,1.43,,,
,,2010 - 2011,,,,,,,8,12,1.5,,,
,,2013 - 2014,,,,,,,6,48,8,,,
,,2014 - 2015,,,,,,,2,,0,,,
,,2015 - 2016,,,,,,,1,,0,,,
,,2017 - 2018,,,,,,,2,2,1,,,
,11. Jaisalmer,2008 - 2009,,,,,,,8,2,0.25,,,
,12. Jalore,2000 - 2001,,,,,,,29,17,0.59,,,
,,2001 - 2002,,,,,,,5,2,0.4,,,
,,2002 - 2003,,,,,,,10,7,0.7,,,
,,2003 - 2004,,,,,,,4,,0,,,
,,2004 - 2005,,,,,,,50,34,0.68,,,
,,2005 - 2006,,,,,,,43,34,0.79,,,
,,2006 - 2007,,,,,,,41,33,0.8,,,
,,2007 - 2008,,,,,,,86,68,0.79,,,
,,2008 - 2009,,,,,,,250,225,0.9,,,
,,2009 - 2010,,,,,,,868,781,0.9,,,
,,2010 - 2011,,,,,,,105,105,1,,,
,,2011 - 2012,,,,,,,295,382,1.29,,,
,,2012 - 2013,,,,,,,114,148,1.3,,,
,,2013 - 2014,,,,,,,181,235,1.3,,,
,,2014 - 2015,,,,,,,269,404,1.5,,,
,,2015 - 2016,,,,,,,337,506,1.5,,,
,,2016 - 2017,,,,,,,356,890,2.5,,,
,,2017 - 2018,,,,,,,151,196,1.3,,,
,,2018 - 2019,,,,,,,55,72,1.31,,,
,,2019 - 2020,,,,,,,39,51,1.31,,,
,,2020 - 2021,,,,,,,152,167,1.1,,,
,,2021 - 2022,,,,,,,114,160,1.4,,,
,,2022 - 2023,,,,,,,161,166,1.03,,,
,13. Jhalawar,2001 - 2002,,,,,,,1,1,1,,,
,,2002 - 2003,,,,,,,2,,0,,,
,,2003 - 2004,,,,,,,5,,0,,,
,,2004 - 2005,,,,,,,3,,0,,,
,,2016 - 2017,,,,,,,3,1,0.33,,,
,14. Jhunjhunu,2000 - 2001,,,,,,,72,380,5.28,,,
,,2001 - 2002,,,,,,,83,415,5,,,
,,2002 - 2003,,,,,,,103,515,5,,,
,,2003 - 2004,,,,,,,69,,0,,,
,,2004 - 2005,,,,,,,47,180,3.83,,,
,,2005 - 2006,,,,,,,36,180,5,,,
,,2006 - 2007,,,,,,,27,135,5,,,
,,2007 - 2008,,,,,,,38,190,5,,,
,,2008 - 2009,,,,,,,21,105,5,,,
,,2009 - 2010,,,,,,,26,130,5,,,
,,2010 - 2011,,,,,,,51,252,4.94,,,
,,2011 - 2012,,,,,,,27,135,5,,,
,,2012 - 2013,,,,,,,24,120,5,,,
,,2013 - 2014,,,,,,,29,145,5,,,
,,2014 - 2015,,,,,,,24,120,5,,,
,,2015 - 2016,,,,,,,24,120,5,,,
,,2017 - 2018,,,,,,,26,130,5,,,
,,2018 - 2019,,,,,,,16,80,5,,,
,,2019 - 2020,,,,,,,12,60,5,,,
,,2020 - 2021,,,,,,,42,205,4.88,,,
,,2021 - 2022,,,,,,,4,15,3.75,,,
,,2022 - 2023,,,,,,,11,55,5,,,
,15. Jodhpur,2002 - 2003,,,,,,,1,1,1,,,
,,2008 - 2009,,,,,,,6,15,2.5,,,
,,2009 - 2010,,,,,,,4,7,1.75,,,
,,2010 - 2011,,,,,,,3,6,2,,,
,16. Karauli,2000 - 2001,,,,,,,84,46,0.55,,,
,,2001 - 2002,,,,,,,115,90,0.78,,,
,,2002 - 2003,,,,,,,141,26,0.18,,,
,,2003 - 2004,,,,,,,56,,0,,,
,,2004 - 2005,,,,,,,68,16,0.24,,,
,,2005 - 2006,,,,,,,62,16,0.26,,,
,,2006 - 2007,,,,,,,47,22,0.47,,,
,,2007 - 2008,,,,,,,52,31,0.6,,,
,,2008 - 2009,,,,,,,97,58,0.6,,,
,,2009 - 2010,,,,,,,32,3,0.09,,,
,,2010 - 2011,,,,,,,91,56,0.62,,,
,,2011 - 2012,,,,,,,103,66,0.64,,,
,,2012 - 2013,,,,,,,51,32,0.63,,,
,,2013 - 2014,,,,,,,33,21,0.64,,,
,,2014 - 2015,,,,,,,51,33,0.65,,,
,,2015 - 2016,,,,,,,31,22,0.71,,,
,,2016 - 2017,,,,,,,15,10,0.67,,,
,,2017 - 2018,,,,,,,11,11,1,,,
,,2018 - 2019,,,,,,,15,5,0.33,,,
,,2019 - 2020,,,,,,,23,11,0.48,,,
,,2020 - 2021,,,,,,,26,6,0.23,,,
,,2021 - 2022,,,,,,,52,28,0.54,,,
,,2022 - 2023,,,,,,,20,16,0.8,,,
,17. Kota,2021 - 2022,,,,,,,1,0,0,,,
,18. Nagaur,2000 - 2001,,,,,,,9,18,2,,,
,,2001 - 2002,,,,,,,9,18,2,,,
,19. Rajsamand,2000 - 2001,,,,,,,39,2,0.05,,,
,,2001 - 2002,,,,,,,93,38,0.41,,,
,,2002 - 2003,,,,,,,67,14,0.21,,,
,,2003 - 2004,,,,,,,33,,0,,,
,,2004 - 2005,,,,,,,85,43,0.51,,,
,,2005 - 2006,,,,,,,70,43,0.61,,,
,,2006 - 2007,,,,,,,49,14,0.29,,,
,,2007 - 2008,,,,,,,7,17,2.43,,,
,,2008 - 2009,,,,,,,38,11,0.29,,,
,,2009 - 2010,,,,,,,53,11,0.21,,,
,,2010 - 2011,,,,,,,56,59,1.05,,,
,,2011 - 2012,,,,,,,43,18,0.42,,,
,,2012 - 2013,,,,,,,19,19,1,,,
,,2013 - 2014,,,,,,,5,8,1.6,,,
,,2014 - 2015,,,,,,,6,12,2,,,
,,2015 - 2016,,,,,,,9,16,1.78,,,
,,2017 - 2018,,,,,,,25,24,0.96,,,
