State,District,Year,Onion,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2017 - 2018,,,,197,"5,649.00",28.68,,,,,,
,,2018 - 2019,,,,358,"10,103.00",28.22,,,,,,
,,2019 - 2020,,,,372,"10,888.00",29.27,,,,,,
,,2020 - 2021,,,,547,"16,168.00",29.56,,,,,,
,,2021 - 2022,,,,506,"14,047.00",27.76,,,,,,
,,2022 - 2023,,,,576,"15,867.00",27.55,,,,,,
,6. Bharuch,2000 - 2001,,,,,,,100,"1,300.00",13,,,
,,2002 - 2003,,,,,,,100,"2,100.00",21,,,
,,2012 - 2013,,,,100,"1,200.00",12,,,,,,
,,2013 - 2014,,,,50,"1,526.00",30.52,,,,,,
,,2018 - 2019,,,,,,,,,,11,303,27.55
,,2019 - 2020,,,,10,293,29.3,,,,60,"1,708.00",28.47
,,2020 - 2021,,,,17,502,29.53,,,,54,"1,534.00",28.41
,,2021 - 2022,,,,,,,,,,52,"1,474.00",28.35
,,2022 - 2023,,,,10,275,27.5,,,,45,"1,276.00",28.36
,7. Bhavnagar,2000 - 2001,,,,,,,"2,100.00","34,800.00",16.57,,,
,,2001 - 2002,,,,,,,"13,600.00","3,22,900.00",23.74,,,
,,2002 - 2003,,,,,,,"18,600.00","5,34,700.00",28.75,,,
,,2003 - 2004,,,,,,,"30,800.00","8,80,400.00",28.58,,,
,,2004 - 2005,,,,,,,"23,200.00","6,03,900.00",26.03,,,
,,2005 - 2006,,,,,,,"47,900.00","13,04,400.00",27.23,,,
,,2006 - 2007,,,,,,,"20,800.00","5,02,200.00",24.14,,,
,,2007 - 2008,,,,,,,"35,700.00","11,88,700.00",33.3,,,
,,2008 - 2009,,,,"32,300.00","9,22,700.00",28.57,,,,,,
,,2009 - 2010,,,,"16,900.00","4,63,500.00",27.43,,,,,,
,,2010 - 2011,,,,,,,"36,100.00","9,82,300.00",27.21,,,
,,2011 - 2012,,,,"21,000.00","6,30,200.00",30.01,,,,"6,100.00","1,74,700.00",28.64
,,2012 - 2013,,,,"4,500.00","1,20,800.00",26.84,,,,"1,500.00","41,200.00",27.47
,,2013 - 2014,,,,"38,311.00","11,67,934.00",30.49,,,,"10,341.00","2,93,905.00",28.42
,,2014 - 2015,,,,"21,340.00","5,87,529.00",27.53,,,,"7,530.00","2,15,274.00",28.59
,,2015 - 2016,,,,"35,495.00","9,34,569.00",26.33,,,,"9,237.00","2,63,038.00",28.48
,,2016 - 2017,,,,"27,088.00","6,72,581.00",24.83,,,,"11,655.00","3,61,305.00",31
,,2017 - 2018,,,,"19,693.00","5,70,250.00",28.96,,,,"8,500.00","2,55,000.00",30
,,2018 - 2019,,,,"13,637.00","3,91,479.00",28.71,,,,481,"13,248.00",27.54
,,2019 - 2020,,,,"17,784.00","5,17,700.00",29.11,,,,"3,121.00","88,869.00",28.47
,,2020 - 2021,,,,"26,151.00","7,52,548.00",28.78,,,,"4,306.00","1,17,123.00",27.2
,,2021 - 2022,,,,"38,222.00","10,13,029.00",26.5,,,,"7,767.00","1,94,307.00",25.02
,,2022 - 2023,,,,"31,178.00","8,07,156.00",25.89,,,,"6,030.00","1,67,175.00",27.72
,8. Botad,2014 - 2015,,,,"1,124.00","31,614.00",28.13,,,,36,"1,003.00",27.86
,,2015 - 2016,,,,"1,738.00","48,202.00",27.73,,,,310,"8,701.00",28.07
,,2016 - 2017,,,,"1,683.00","44,263.00",26.3,,,,135,"3,786.00",28.04
,,2017 - 2018,,,,"1,832.00","43,525.00",23.76,,,,139,"3,302.00",23.76
,,2018 - 2019,,,,818,"14,305.00",17.49,,,,,,
,,2019 - 2020,,,,612,"13,065.00",21.35,,,,,,
,,2020 - 2021,,,,"2,655.00","66,221.00",24.94,,,,,,
,,2021 - 2022,,,,"1,183.00","32,842.00",27.76,,,,27,662,24.52
,,2022 - 2023,,,,591,"16,280.00",27.55,,,,110,"3,132.00",28.47
,9. Chhotaudepur,2014 - 2015,,,,10,279,27.9,,,,10,176,17.6
,,2015 - 2016,,,,17,458,26.94,,,,32,628,19.63
,,2016 - 2017,,,,2,52,26,,,,10,490,49
,,2017 - 2018,,,,7,201,28.71,,,,28,677,24.18
,,2019 - 2020,,,,10,293,29.3,,,,,,
,,2021 - 2022,,,,,,,,,,10,205,20.5
,10. Dang,2006 - 2007,,,,,,,300,"7,000.00",23.33,,,
,,2007 - 2008,,,,,,,400,"12,100.00",30.25,,,
,,2008 - 2009,,,,500,"13,100.00",26.2,,,,,,
,,2009 - 2010,,,,500,"14,200.00",28.4,,,,,,
,,2010 - 2011,,,,,,,600,"17,000.00",28.33,,,
,,2011 - 2012,,,,600,"18,200.00",30.33,,,,,,
,,2012 - 2013,,,,300,"8,600.00",28.67,,,,,,
,,2013 - 2014,,,,355,"10,831.00",30.51,,,,,,
,,2019 - 2020,,,,550,"16,098.00",29.27,,,,,,
,,2020 - 2021,,,,550,"16,257.00",29.56,,,,,,
,,2021 - 2022,,,,568,"15,769.00",27.76,,,,,,
,,2022 - 2023,,,,142,"3,912.00",27.55,,,,,,
,11. Devbhumi dwarka,2014 - 2015,,,,232,"6,468.00",27.88,,,,,,
,,2015 - 2016,,,,5,135,27,,,,,,
,,2016 - 2017,,,,100,"2,605.00",26.05,,,,,,
,,2017 - 2018,,,,271,"7,772.00",28.68,,,,,,
,,2019 - 2020,,,,25,732,29.28,,,,,,
,,2020 - 2021,,,,106,"3,133.00",29.56,,,,,,
,,2021 - 2022,,,,30,833,27.77,,,,3,68,22.67
,12. Dohad,2003 - 2004,,,,,,,600,"18,400.00",30.67,,,
,,2004 - 2005,,,,,,,700,"19,400.00",27.71,,,
,,2005 - 2006,,,,,,,700,"19,900.00",28.43,,,
,,2006 - 2007,,,,,,,600,"13,600.00",22.67,,,
,,2007 - 2008,,,,,,,"1,900.00","56,000.00",29.47,,,
,,2008 - 2009,,,,400,"11,700.00",29.25,,,,,,
,,2009 - 2010,,,,800,"20,200.00",25.25,,,,,,
,,2010 - 2011,,,,,,,600,"17,300.00",28.83,,,
,,2011 - 2012,,,,"1,600.00","48,400.00",30.25,,,,,,
,,2012 - 2013,,,,"1,700.00","42,000.00",24.71,,,,,,
,,2013 - 2014,,,,"1,542.00","47,048.00",30.51,,,,,,
,,2014 - 2015,,,,"2,167.00","60,413.00",27.88,,,,,,
,,2015 - 2016,,,,"1,470.00","39,590.00",26.93,,,,,,
,,2016 - 2017,,,,"1,177.00","30,659.00",26.05,,,,,,
,,2017 - 2018,,,,854,"24,491.00",28.68,,,,,,
,,2018 - 2019,,,,511,"14,421.00",28.22,,,,,,
,,2019 - 2020,,,,611,"17,883.00",29.27,,,,,,
,,2020 - 2021,,,,555,"16,404.00",29.56,,,,,,
,,2021 - 2022,,,,706,"19,600.00",27.76,,,,,,
,,2022 - 2023,,,,713,"19,641.00",27.55,,,,,,
,13. Gandhinagar,2006 - 2007,,,,,,,100,"1,200.00",12,,,
,,2008 - 2009,,,,100,"1,400.00",14,,,,,,
,,2021 - 2022,,,,,,,,,,1,28,28
,14. Gir somnath,2014 - 2015,,,,50,"1,394.00",27.88,,,,,,
,,2015 - 2016,,,,90,"2,424.00",26.93,,,,,,
,,2016 - 2017,,,,27,703,26.04,,,,32,700,21.88
,,2017 - 2018,,,,106,"3,040.00",28.68,,,,,,
,,2018 - 2019,,,,59,"1,665.00",28.22,,,,,,
,,2019 - 2020,,,,73,"2,137.00",29.27,,,,50,"1,424.00",28.48
,,2020 - 2021,,,,630,"18,621.00",29.56,,,,,,
,,2021 - 2022,,,,"7,250.00","1,91,693.00",26.44,,,,,,
,,2022 - 2023,,,,"4,455.00","1,33,396.00",29.94,,,,,,
,15. Jamnagar,2000 - 2001,,,,,,,400,"9,000.00",22.5,,,
,,2001 - 2002,,,,,,,"1,000.00","29,900.00",29.9,,,
,,2002 - 2003,,,,,,,400,"11,600.00",29,,,
,,2003 - 2004,,,,,,,"4,600.00","1,51,600.00",32.96,,,
,,2004 - 2005,,,,,,,"1,900.00","56,900.00",29.95,,,
,,2005 - 2006,,,,,,,"3,800.00","1,05,800.00",27.84,,,
,,2006 - 2007,,,,,,,"3,400.00","74,800.00",22,,,
,,2007 - 2008,,,,,,,"3,400.00","70,000.00",20.59,,,
,,2008 - 2009,,,,"3,200.00","61,500.00",19.22,,,,,,
,,2009 - 2010,,,,"2,700.00","68,100.00",25.22,,,,,,
,,2010 - 2011,,,,,,,"4,300.00","1,14,000.00",26.51,,,
,,2011 - 2012,,,,"5,100.00","1,27,100.00",24.92,,,,300,"8,100.00",27
,,2012 - 2013,,,,500,"12,400.00",24.8,,,,,,
,,2013 - 2014,,,,"3,698.00","1,13,550.00",30.71,,,,135,"3,738.00",27.69
,,2014 - 2015,,,,325,"9,061.00",27.88,,,,52,"1,416.00",27.23
,,2015 - 2016,,,,224,"6,033.00",26.93,,,,64,"1,756.00",27.44
,,2016 - 2017,,,,527,"13,728.00",26.05,,,,15,434,28.93
,,2017 - 2018,,,,"1,256.00","31,511.00",25.09,,,,83,"2,285.00",27.53
,,2018 - 2019,,,,484,"12,341.00",25.5,,,,,,
,,2019 - 2020,,,,"1,325.00","34,164.00",25.78,,,,410,"11,675.00",28.48
,,2020 - 2021,,,,"2,007.00","59,322.00",29.56,,,,203,"5,684.00",28
,,2021 - 2022,,,,"1,680.00","37,503.00",22.32,,,,176,"3,608.00",20.5
,,2022 - 2023,,,,"1,491.00","39,930.00",26.78,,,,3,62,20.67
,16. Junagadh,2000 - 2001,,,,,,,"1,300.00","35,800.00",27.54,,,
,,2001 - 2002,,,,,,,"4,300.00","1,27,000.00",29.53,,,
,,2002 - 2003,,,,,,,"1,300.00","34,400.00",26.46,,,
,,2003 - 2004,,,,,,,"3,400.00","1,10,800.00",32.59,,,
,,2004 - 2005,,,,,,,"5,100.00","1,53,200.00",30.04,,,
,,2005 - 2006,,,,,,,"6,300.00","1,85,500.00",29.44,,,
,,2006 - 2007,,,,,,,"5,100.00","1,16,400.00",22.82,,,
,,2007 - 2008,,,,,,,"4,000.00","1,18,800.00",29.7,,,
,,2008 - 2009,,,,"3,200.00","86,900.00",27.16,,,,,,
,,2009 - 2010,,,,"7,400.00","1,98,100.00",26.77,,,,,,
,,2010 - 2011,,,,,,,"4,600.00","1,31,400.00",28.57,,,
,,2011 - 2012,,,,"10,200.00","3,00,200.00",29.43,,,,900,"23,500.00",26.11
,,2012 - 2013,,,,"2,100.00","40,100.00",19.1,,,,100,"2,600.00",26
,,2013 - 2014,,,,"5,710.00","1,27,612.00",22.35,,,,170,"4,965.00",29.21
,,2014 - 2015,,,,730,"23,900.00",32.74,,,,20,536,26.8
,,2015 - 2016,,,,530,"9,962.00",18.8,,,,40,"1,134.00",28.35
,,2016 - 2017,,,,980,"19,783.00",20.19,,,,65,"2,320.00",35.69
,,2017 - 2018,,,,"3,004.00","86,147.00",28.68,,,,81,"2,585.00",31.91
,,2018 - 2019,,,,"2,320.00","65,475.00",28.22,,,,65,"1,790.00",27.54
,,2019 - 2020,,,,"1,574.00","46,070.00",29.27,,,,220,"6,264.00",28.47
,,2020 - 2021,,,,"1,669.00","43,498.00",26.06,,,,235,"6,839.00",29.1
,,2021 - 2022,,,,"5,725.00","1,21,954.00",21.3,,,,120,"2,890.00",24.08
,,2022 - 2023,,,,"3,933.00","94,368.00",23.99,,,,72,"1,930.00",26.81
,17. Kachchh,2000 - 2001,,,,,,,100,"1,300.00",13,,,
,,2001 - 2002,,,,,,,600,"16,700.00",27.83,,,
,,2002 - 2003,,,,,,,400,"13,000.00",32.5,,,
,,2003 - 2004,,,,,,,400,"12,400.00",31,,,
,,2004 - 2005,,,,,,,300,"10,400.00",34.67,,,
,,2005 - 2006,,,,,,,800,"23,100.00",28.88,,,
,,2006 - 2007,,,,,,,"1,000.00","22,700.00",22.7,,,
,,2007 - 2008,,,,,,,"1,000.00","30,500.00",30.5,,,
,,2008 - 2009,,,,900,"25,700.00",28.56,,,,,,
,,2009 - 2010,,,,800,"22,700.00",28.38,,,,,,
,,2010 - 2011,,,,,,,"1,600.00","46,300.00",28.94,,,
,,2011 - 2012,,,,"3,700.00","1,11,100.00",30.03,,,,400,"10,900.00",27.25
,,2012 - 2013,,,,400,"9,400.00",23.5,,,,200,"4,200.00",21
,,2013 - 2014,,,,"2,229.00","68,009.00",30.51,,,,,,
,,2014 - 2015,,,,281,"7,834.00",27.88,,,,10,275,27.5
,,2015 - 2016,,,,426,"11,473.00",26.93,,,,173,"4,869.00",28.14
,,2016 - 2017,,,,234,"6,095.00",26.05,,,,93,"2,614.00",28.11
,,2017 - 2018,,,,228,"6,538.00",28.68,,,,58,"1,630.00",28.1
,,2018 - 2019,,,,98,"2,766.00",28.22,,,,,,
,,2019 - 2020,,,,163,"4,771.00",29.27,,,,30,854,28.47
,,2020 - 2021,,,,72,"2,128.00",29.56,,,,35,998,28.51
,,2021 - 2022,,,,47,"1,305.00",27.77,,,,44,"1,250.00",28.41
,,2022 - 2023,,,,260,"7,162.00",27.55,,,,50,"1,424.00",28.48
,18. Kheda,2000 - 2001,,,,,,,100,"2,100.00",21,,,
,,2001 - 2002,,,,,,,300,"9,900.00",33,,,
,,2002 - 2003,,,,,,,600,"18,700.00",31.17,,,
,,2003 - 2004,,,,,,,400,"11,400.00",28.5,,,
,,2004 - 2005,,,,,,,200,"5,400.00",27,,,
,,2005 - 2006,,,,,,,100,"3,700.00",37,,,
,,2006 - 2007,,,,,,,200,"4,500.00",22.5,,,
,,2007 - 2008,,,,,,,500,"13,500.00",27,,,
,,2008 - 2009,,,,300,"7,400.00",24.67,,,,,,
,,2009 - 2010,,,,300,"6,800.00",22.67,,,,,,
,,2010 - 2011,,,,,,,500,"12,300.00",24.6,,,
,,2011 - 2012,,,,200,"6,200.00",31,,,,,,
,,2012 - 2013,,,,100,"1,900.00",19,,,,,,
,,2013 - 2014,,,,91,"2,777.00",30.52,,,,,,
,,2014 - 2015,,,,124,"3,457.00",27.88,,,,,,
,,2015 - 2016,,,,160,"4,309.00",26.93,,,,,,
,,2016 - 2017,,,,68,"1,771.00",26.04,,,,32,891,27.84
,,2017 - 2018,,,,25,717,28.68,,,,,,
,,2018 - 2019,,,,37,"1,044.00",28.22,,,,67,"1,845.00",27.54
,,2019 - 2020,,,,58,"1,698.00",29.28,,,,34,968,28.47
,,2020 - 2021,,,,224,"6,621.00",29.56,,,,10,265,26.5
,,2021 - 2022,,,,254,"7,052.00",27.76,,,,10,265,26.5
,,2022 - 2023,,,,237,"6,529.00",27.55,,,,7,194,27.71
,19. Mahesana,2000 - 2001,,,,,,,300,"6,400.00",21.33,,,
,,2001 - 2002,,,,,,,500,"14,200.00",28.4,,,
,,2002 - 2003,,,,,,,200,"5,400.00",27,,,
,,2003 - 2004,,,,,,,100,"2,700.00",27,,,
,,2004 - 2005,,,,,,,100,"2,200.00",22,,,
,,2005 - 2006,,,,,,,200,"4,900.00",24.5,,,
,,2006 - 2007,,,,,,,100,"2,900.00",29,,,
,,2007 - 2008,,,,,,,200,"4,700.00",23.5,,,
,,2008 - 2009,,,,200,"5,900.00",29.5,,,,,,
,,2009 - 2010,,,,200,"4,200.00",21,,,,,,
,,2010 - 2011,,,,,,,200,"6,100.00",30.5,,,
,,2011 - 2012,,,,200,"5,000.00",25,,,,,,
,,2012 - 2013,,,,100,"2,600.00",26,,,,,,
,,2013 - 2014,,,,376,"11,472.00",30.51,,,,,,
,,2014 - 2015,,,,344,"9,590.00",27.88,,,,,,
,,2015 - 2016,,,,366,"9,857.00",26.93,,,,,,
,,2016 - 2017,,,,318,"8,283.00",26.05,,,,,,
,,2017 - 2018,,,,511,"14,654.00",28.68,,,,,,
,,2018 - 2019,,,,340,"9,595.00",28.22,,,,,,
,,2019 - 2020,,,,305,"8,927.00",29.27,,,,3,85,28.33
,,2020 - 2021,,,,368,"10,877.00",29.56,,,,,,
,,2021 - 2022,,,,192,"5,330.00",27.76,,,,47,"1,340.00",28.51
,,2022 - 2023,,,,216,"5,950.00",27.55,,,,11,297,27
,20. Mahisagar,2014 - 2015,,,,127,"3,541.00",27.88,,,,40,"1,072.00",26.8
,,2015 - 2016,,,,143,"3,851.00",26.93,,,,,,
,,2016 - 2017,,,,56,"1,459.00",26.05,,,,,,
,,2017 - 2018,,,,211,"6,051.00",28.68,,,,,,
,,2018 - 2019,,,,268,"7,563.00",28.22,,,,,,
,,2019 - 2020,,,,214,"6,264.00",29.27,,,,,,
,,2020 - 2021,,,,238,"7,035.00",29.56,,,,,,
,,2021 - 2022,,,,216,"5,997.00",27.76,,,,,,
,,2022 - 2023,,,,188,"5,179.00",27.55,,,,,,
,21. Morbi,2014 - 2015,,,,"6,850.00","1,90,663.00",27.83,,,,,,
,,2015 - 2016,,,,"1,950.00","53,933.00",27.66,,,,,,
,,2016 - 2017,,,,"2,997.00","88,977.00",29.69,,,,113,"3,212.00",28.42
,,2017 - 2018,,,,"5,784.00","1,42,593.00",24.65,,,,328,"8,200.00",25
,,2018 - 2019,,,,699,"16,955.00",24.26,,,,,,
,,2019 - 2020,,,,"3,511.00","90,011.00",25.64,,,,,,
,,2020 - 2021,,,,"4,833.00","1,09,293.00",22.61,,,,50,"1,300.00",26
,,2021 - 2022,,,,"3,590.00","78,280.00",21.81,,,,,,
,,2022 - 2023,,,,"2,140.00","41,723.00",19.5,,,,,,
,22. Narmada,2012 - 2013,,,,100,"2,200.00",22,,,,,,
,,2013 - 2014,,,,135,"4,119.00",30.51,,,,,,
,,2014 - 2015,,,,5,139,27.8,,,,,,
,,2015 - 2016,,,,,,,,,,35,664,18.97
,,2016 - 2017,,,,94,"2,449.00",26.05,,,,,,
,,2018 - 2019,,,,39,"1,101.00",28.23,,,,115,"3,167.00",27.54
,,2019 - 2020,,,,20,585,29.25,,,,45,"1,281.00",28.47
,,2021 - 2022,,,,22,611,27.77,,,,15,429,28.6
,,2022 - 2023,,,,2,55,27.5,,,,19,540,28.42
,23. Navsari,2003 - 2004,,,,,,,100,"4,400.00",44,,,
,,2004 - 2005,,,,,,,100,"3,400.00",34,,,
,,2005 - 2006,,,,,,,100,"3,200.00",32,,,
,,2006 - 2007,,,,,,,100,"2,400.00",24,,,
,,2007 - 2008,,,,,,,100,"2,800.00",28,,,
,,2008 - 2009,,,,100,"2,600.00",26,,,,,,
,,2009 - 2010,,,,100,"2,500.00",25,,,,,,
,,2010 - 2011,,,,,,,100,"1,900.00",19,,,
,,2011 - 2012,,,,100,"3,000.00",30,,,,,,
,,2012 - 2013,,,,100,"3,400.00",34,,,,,,
,,2013 - 2014,,,,209,"6,377.00",30.51,,,,,,
,,2014 - 2015,,,,127,"3,541.00",27.88,,,,,,
,,2015 - 2016,,,,135,"3,636.00",26.93,,,,,,
,,2016 - 2017,,,,177,"4,611.00",26.05,,,,21,339,16.14
,,2017 - 2018,,,,100,"2,868.00",28.68,,,,219,"4,893.00",22.34
,,2018 - 2019,,,,79,"2,230.00",28.23,,,,172,"4,737.00",27.54
,,2019 - 2020,,,,170,"4,976.00",29.27,,,,143,"4,072.00",28.48
,,2020 - 2021,,,,67,"1,980.00",29.55,,,,124,"3,286.00",26.5
,,2021 - 2022,,,,235,"6,524.00",27.76,,,,62,"1,263.00",20.37
,,2022 - 2023,,,,226,"6,226.00",27.55,,,,165,"3,668.00",22.23
,24. Panch mahals,2000 - 2001,,,,,,,200,"4,500.00",22.5,,,
,,2001 - 2002,,,,,,,300,"8,800.00",29.33,,,
,,2002 - 2003,,,,,,,400,"11,300.00",28.25,,,
,,2003 - 2004,,,,,,,200,"5,200.00",26,,,
,,2004 - 2005,,,,,,,300,"8,000.00",26.67,,,
,,2005 - 2006,,,,,,,300,"9,700.00",32.33,,,
,,2006 - 2007,,,,,,,300,"6,400.00",21.33,,,
,,2007 - 2008,,,,,,,200,"6,500.00",32.5,,,
,,2008 - 2009,,,,300,"8,300.00",27.67,,,,,,
,,2009 - 2010,,,,300,"8,400.00",28,,,,,,
,,2010 - 2011,,,,,,,400,"10,800.00",27,,,
,,2011 - 2012,,,,300,"9,200.00",30.67,,,,,,
,,2012 - 2013,,,,200,"4,400.00",22,,,,,,
,,2013 - 2014,,,,97,"2,960.00",30.52,,,,,,
,,2014 - 2015,,,,659,"18,372.00",27.88,,,,,,
,,2016 - 2017,,,,60,"1,563.00",26.05,,,,,,
,,2017 - 2018,,,,74,"2,122.00",28.68,,,,,,
,,2020 - 2021,,,,4,118,29.5,,,,64,"1,651.00",25.8
,,2021 - 2022,,,,,,,,,,3,77,25.67
,25. Patan,2011 - 2012,,,,100,300,3,,,,,,
,,2013 - 2014,,,,2,61,30.5,,,,,,
,,2014 - 2015,,,,35,976,27.89,,,,,,
,,2015 - 2016,,,,135,"3,636.00",26.93,,,,,,
,,2016 - 2017,,,,10,260,26,,,,,,
,,2017 - 2018,,,,5,143,28.6,,,,,,
,,2018 - 2019,,,,77,"2,173.00",28.22,,,,5,138,27.6
,,2019 - 2020,,,,79,"2,312.00",29.27,,,,,,
,,2020 - 2021,,,,88,"2,601.00",29.56,,,,,,
,,2021 - 2022,,,,100,"2,776.00",27.76,,,,,,
,,2022 - 2023,,,,120,"3,306.00",27.55,,,,,,
,26. Porbandar,2003 - 2004,,,,,,,"1,100.00","36,100.00",32.82,,,
,,2004 - 2005,,,,,,,"2,000.00","60,800.00",30.4,,,
,,2005 - 2006,,,,,,,"1,300.00","38,700.00",29.77,,,
,,2006 - 2007,,,,,,,"2,000.00","45,300.00",22.65,,,
,,2007 - 2008,,,,,,,"1,500.00","43,900.00",29.27,,,
,,2008 - 2009,,,,"1,300.00","34,200.00",26.31,,,,,,
,,2009 - 2010,,,,"1,000.00","27,500.00",27.5,,,,,,
,,2010 - 2011,,,,,,,"1,100.00","30,100.00",27.36,,,
,,2011 - 2012,,,,"1,900.00","55,900.00",29.42,,,,,,
,,2012 - 2013,,,,400,"9,900.00",24.75,,,,,,
,,2013 - 2014,,,,"1,280.00","39,054.00",30.51,,,,,,
,,2014 - 2015,,,,445,"12,406.00",27.88,,,,,,
,,2015 - 2016,,,,175,"4,713.00",26.93,,,,,,
,,2016 - 2017,,,,270,"7,033.00",26.05,,,,,,
,,2017 - 2018,,,,130,"3,728.00",28.68,,,,,,
,,2018 - 2019,,,,60,"1,693.00",28.22,,,,,,
,,2019 - 2020,,,,175,"5,122.00",29.27,,,,,,
,,2020 - 2021,,,,395,"11,675.00",29.56,,,,,,
,,2021 - 2022,,,,360,"9,994.00",27.76,,,,,,
,,2022 - 2023,,,,650,"17,906.00",27.55,,,,,,
,27. Rajkot,2000 - 2001,,,,,,,200,"5,400.00",27,,,
,,2001 - 2002,,,,,,,"1,100.00","38,200.00",34.73,,,
,,2002 - 2003,,,,,,,700,"19,500.00",27.86,,,
,,2003 - 2004,,,,,,,"3,700.00","1,19,300.00",32.24,,,
,,2004 - 2005,,,,,,,"5,300.00","1,57,900.00",29.79,,,
,,2005 - 2006,,,,,,,"8,200.00","2,52,700.00",30.82,,,
,,2006 - 2007,,,,,,,"6,300.00","1,86,600.00",29.62,,,
,,2007 - 2008,,,,,,,"6,900.00","2,23,400.00",32.38,,,
,,2008 - 2009,,,,"5,800.00","1,61,200.00",27.79,,,,,,
,,2009 - 2010,,,,"3,100.00","95,700.00",30.87,,,,,,
,,2010 - 2011,,,,,,,"8,600.00","2,49,800.00",29.05,,,
,,2011 - 2012,,,,"11,400.00","3,40,500.00",29.87,,,,"1,400.00","38,900.00",27.79
,,2012 - 2013,,,,900,"24,200.00",26.89,,,,100,"1,900.00",19
,,2013 - 2014,,,,"8,226.00","2,51,831.00",30.61,,,,5,138,27.6
,,2014 - 2015,,,,975,"29,736.00",30.5,,,,443,"12,307.00",27.78
,,2015 - 2016,,,,"2,305.00","72,559.00",31.48,,,,145,"4,018.00",27.71
,,2016 - 2017,,,,"2,100.00","61,356.00",29.22,,,,45,"1,005.00",22.33
,,2017 - 2018,,,,"3,414.00","1,03,236.00",30.24,,,,307,"9,385.00",30.57
,,2018 - 2019,,,,988,"29,465.00",29.82,,,,127,"3,498.00",27.54
,,2019 - 2020,,,,"6,668.00","1,59,691.00",23.95,,,,175,"4,983.00",28.47
,,2020 - 2021,,,,"8,682.00","2,51,045.00",28.92,,,,271,"7,724.00",28.5
,,2021 - 2022,,,,"11,724.00","3,40,051.00",29,,,,501,"14,731.00",29.4
,,2022 - 2023,,,,"10,917.00","3,05,140.00",27.95,,,,434,"12,130.00",27.95
,28. Sabar kantha,2000 - 2001,,,,,,,100,"1,200.00",12,,,
,,2001 - 2002,,,,,,,300,"7,000.00",23.33,,,
,,2002 - 2003,,,,,,,100,"3,800.00",38,,,
,,2003 - 2004,,,,,,,200,"5,700.00",28.5,,,
,,2004 - 2005,,,,,,,100,"1,900.00",19,,,
,,2005 - 2006,,,,,,,100,"3,000.00",30,,,
,,2007 - 2008,,,,,,,100,"3,400.00",34,,,
,,2008 - 2009,,,,100,"2,900.00",29,,,,,,
,,2011 - 2012,,,,100,800,8,,,,,,
,,2012 - 2013,,,,100,"1,300.00",13,,,,,,
,,2013 - 2014,,,,112,"3,417.00",30.51,,,,15,422,28.13
,,2014 - 2015,,,,375,"10,454.00",27.88,,,,,,
,,2015 - 2016,,,,520,"14,004.00",26.93,,,,,,
,,2016 - 2017,,,,173,"4,506.00",26.05,,,,,,
,,2017 - 2018,,,,91,"2,610.00",28.68,,,,90,"2,606.00",28.96
,,2018 - 2019,,,,164,"4,628.00",28.22,,,,50,"1,377.00",27.54
,,2019 - 2020,,,,136,"3,981.00",29.27,,,,,,
,,2020 - 2021,,,,132,"3,902.00",29.56,,,,,,
,,2021 - 2022,,,,79,"2,193.00",27.76,,,,,,
,,2022 - 2023,,,,87,"2,397.00",27.55,,,,,,
,29. Surat,2000 - 2001,,,,,,,300,"7,100.00",23.67,,,
,,2001 - 2002,,,,,,,400,"11,400.00",28.5,,,
,,2002 - 2003,,,,,,,500,"13,000.00",26,,,
,,2003 - 2004,,,,,,,500,"17,200.00",34.4,,,
,,2004 - 2005,,,,,,,600,"16,800.00",28,,,
,,2005 - 2006,,,,,,,700,"20,800.00",29.71,,,
,,2006 - 2007,,,,,,,600,"14,100.00",23.5,,,
,,2007 - 2008,,,,,,,600,"19,400.00",32.33,,,
,,2008 - 2009,,,,300,"9,400.00",31.33,,,,,,
,,2009 - 2010,,,,700,"18,500.00",26.43,,,,,,
,,2010 - 2011,,,,,,,300,"9,400.00",31.33,,,
,,2011 - 2012,,,,400,"12,400.00",31,,,,,,
,,2012 - 2013,,,,100,"1,900.00",19,,,,,,
,,2013 - 2014,,,,150,"4,577.00",30.51,,,,87,"2,445.00",28.1
,,2014 - 2015,,,,98,"2,732.00",27.88,,,,29,815,28.1
,,2015 - 2016,,,,293,"7,891.00",26.93,,,,5,141,28.2
,,2016 - 2017,,,,267,"6,955.00",26.05,,,,284,"5,822.00",20.5
,,2017 - 2018,,,,219,"6,280.00",28.68,,,,45,959,21.31
,,2018 - 2019,,,,131,"3,697.00",28.22,,,,34,936,27.53
,,2019 - 2020,,,,336,"9,834.00",29.27,,,,67,"1,908.00",28.48
,,2020 - 2021,,,,131,"3,872.00",29.56,,,,235,"6,134.00",26.1
,,2021 - 2022,,,,495,"13,742.00",27.76,,,,276,"7,531.00",27.29
,,2022 - 2023,,,,511,"14,077.00",27.55,,,,245,"6,419.00",26.2
,30. Surendranagar,2000 - 2001,,,,,,,500,"9,300.00",18.6,,,
,,2001 - 2002,,,,,,,300,"9,200.00",30.67,,,
