State,District,Year,Niger seed,,,,,,,,,,,
,18. Raigad,2000 - 2001,,,,300,100,0.33,,,,,,
,,2001 - 2002,,,,300,100,0.33,,,,,,
,,2002 - 2003,,,,300,100,0.33,,,,,,
,,2003 - 2004,,,,300,100,0.33,,,,,,
,,2004 - 2005,,,,300,100,0.33,,,,,,
,,2005 - 2006,,,,300,100,0.33,,,,,,
,,2006 - 2007,,,,300,100,0.33,,,,,,
,,2007 - 2008,,,,300,100,0.33,,,,,,
,,2008 - 2009,,,,300,100,0.33,,,,,,
,,2009 - 2010,,,,300,100,0.33,,,,,,
,,2010 - 2011,,,,400,100,0.25,,,,,,
,,2011 - 2012,,,,400,100,0.25,,,,,,
,,2014 - 2015,,,,100,,0,,,,,,
,,2015 - 2016,,,,100,10,0.1,,,,,,
,,2016 - 2017,,,,59,14,0.24,,,,,,
,,2019 - 2020,,,,4,1,0.25,,,,,,
,,2020 - 2021,,,,33,3.71,0.11,,,,,,
,,2021 - 2022,,,,33,5.65,0.17,,,,,,
,19. Ratnagiri,2000 - 2001,,,,"1,800.00",300,0.17,,,,,,
,,2001 - 2002,,,,"2,000.00",700,0.35,,,,,,
,,2002 - 2003,,,,"2,000.00",600,0.3,,,,,,
,,2003 - 2004,,,,"2,000.00",800,0.4,,,,,,
,,2004 - 2005,,,,"2,100.00",800,0.38,,,,,,
,,2005 - 2006,,,,"2,100.00",600,0.29,,,,,,
,,2006 - 2007,,,,"1,800.00",400,0.22,,,,,,
,,2007 - 2008,,,,"1,900.00",500,0.26,,,,,,
,,2008 - 2009,,,,"2,000.00",600,0.3,,,,,,
,,2009 - 2010,,,,"2,000.00",400,0.2,,,,,,
,,2010 - 2011,,,,"2,200.00",300,0.14,,,,,,
,,2011 - 2012,,,,"2,200.00",700,0.32,,,,,,
,,2012 - 2013,,,,"2,200.00",700,0.32,,,,,,
,,2013 - 2014,,,,"2,200.00",800,0.36,,,,,,
,,2014 - 2015,,,,100,,0,,,,,,
,,2015 - 2016,,,,600,100,0.17,,,,,,
,,2020 - 2021,,,,35,3.93,0.11,,,,,,
,,2021 - 2022,,,,10,1.71,0.17,,,,,,
,20. Sangli,2000 - 2001,,,,500,100,0.2,,,,,,
,,2001 - 2002,,,,500,100,0.2,,,,,,
,,2002 - 2003,,,,200,100,0.5,,,,,,
,,2003 - 2004,,,,200,100,0.5,,,,,,
,,2004 - 2005,,,,600,200,0.33,,,,,,
,,2005 - 2006,,,,900,300,0.33,,,,,,
,,2006 - 2007,,,,800,200,0.25,,,,,,
,,2007 - 2008,,,,600,200,0.33,,,,,,
,,2008 - 2009,,,,100,100,1,,,,,,
,,2009 - 2010,,,,100,,0,,,,,,
,,2010 - 2011,,,,200,100,0.5,,,,,,
,,2011 - 2012,,,,200,100,0.5,,,,,,
,,2012 - 2013,,,,100,30,0.3,,,,,,
,,2013 - 2014,,,,100,,0,,,,,,
,,2014 - 2015,,,,100,,0,,,,,,
,,2015 - 2016,,,,200,100,0.5,,,,,,
,,2016 - 2017,,,,36,6,0.17,,,,,,
,21. Satara,2000 - 2001,,,,"1,800.00",500,0.28,,,,,,
,,2001 - 2002,,,,"1,800.00",300,0.17,,,,,,
,,2002 - 2003,,,,"1,800.00",500,0.28,,,,,,
,,2003 - 2004,,,,"1,700.00",500,0.29,,,,,,
,,2004 - 2005,,,,"2,200.00",700,0.32,,,,,,
,,2005 - 2006,,,,"1,700.00",500,0.29,,,,,,
,,2006 - 2007,,,,"1,900.00",500,0.26,,,,,,
,,2007 - 2008,,,,"1,600.00",400,0.25,,,,,,
,,2008 - 2009,,,,"1,100.00",300,0.27,,,,,,
,,2009 - 2010,,,,"1,600.00",300,0.19,,,,,,
,,2010 - 2011,,,,"1,600.00",600,0.38,,,,,,
,,2011 - 2012,,,,"1,200.00",400,0.33,,,,,,
,,2012 - 2013,,,,"1,100.00",400,0.36,,,,,,
,,2013 - 2014,,,,"1,100.00",360,0.33,,,,,,
,,2014 - 2015,,,,"1,000.00",300,0.3,,,,,,
,,2015 - 2016,,,,"1,000.00",300,0.3,,,,,,
,,2016 - 2017,,,,999,168,0.17,,,,,,
,,2017 - 2018,,,,756,112,0.15,,,,,,
,,2018 - 2019,,,,"1,531.00",276,0.18,,,,,,
,,2019 - 2020,,,,"1,384.00",512,0.37,,,,,,
,,2020 - 2021,,,,"1,316.33",559.31,0.42,,,,,,
,,2021 - 2022,,,,552,94.45,0.17,,,,,,
,,2022 - 2023,,,,582,265.4,0.46,,,,,,
,22. Sindhudurg,2000 - 2001,,,,100,10,0.1,,,,,,
,,2001 - 2002,,,,100,100,1,,,,,,
,,2002 - 2003,,,,100,10,0.1,,,,,,
,,2003 - 2004,,,,200,100,0.5,,,,,,
,,2004 - 2005,,,,200,100,0.5,,,,,,
,,2005 - 2006,,,,200,100,0.5,,,,,,
,,2006 - 2007,,,,200,100,0.5,,,,,,
,,2007 - 2008,,,,200,100,0.5,,,,,,
,,2008 - 2009,,,,200,100,0.5,,,,,,
,,2009 - 2010,,,,100,,0,,,,,,
,,2010 - 2011,,,,200,,0,,,,,,
,,2011 - 2012,,,,100,30,0.3,,,,,,
,,2012 - 2013,,,,100,,0,,,,,,
,,2013 - 2014,,,,100,,0,,,,,,
,,2014 - 2015,,,,100,,0,,,,,,
,,2015 - 2016,,,,30,10,0.33,,,,,,
,,2016 - 2017,,,,16,4,0.25,,,,,,
,23. Solapur,2000 - 2001,,,,300,100,0.33,,,,,,
,,2001 - 2002,,,,100,100,1,,,,,,
,,2002 - 2003,,,,100,10,0.1,,,,,,
,,2003 - 2004,,,,100,100,1,,,,,,
,,2004 - 2005,,,,200,100,0.5,,,,,,
,,2005 - 2006,,,,100,100,1,,,,,,
,,2006 - 2007,,,,200,100,0.5,,,,,,
,,2007 - 2008,,,,100,100,1,,,,,,
,,2008 - 2009,,,,100,100,1,,,,,,
,,2010 - 2011,,,,100,,0,,,,,,
,,2011 - 2012,,,,100,,0,,,,,,
,,2012 - 2013,,,,100,20,0.2,,,,,,
,,2013 - 2014,,,,100,,0,,,,,,
,,2014 - 2015,,,,100,,0,,,,,,
,,2015 - 2016,,,,100,20,0.2,,,,,,
,,2016 - 2017,,,,57,10,0.18,,,,,,
,,2017 - 2018,,,,105,15,0.14,,,,,,
,,2018 - 2019,,,,102,11,0.11,,,,,,
,,2019 - 2020,,,,122,13,0.11,,,,,,
,,2020 - 2021,,,,157.7,67.01,0.42,,,,,,
,,2021 - 2022,,,,28,4.79,0.17,,,,,,
,,2022 - 2023,,,,8.32,3.79,0.46,,,,,,
,24. Thane,2000 - 2001,,,,"2,400.00",500,0.21,,,,,,
,,2001 - 2002,,,,"2,000.00",700,0.35,,,,,,
,,2002 - 2003,,,,"2,000.00",600,0.3,,,,,,
,,2003 - 2004,,,,"2,000.00",800,0.4,,,,,,
,,2004 - 2005,,,,"2,000.00",800,0.4,,,,,,
,,2005 - 2006,,,,"2,100.00",600,0.29,,,,,,
,,2006 - 2007,,,,"2,000.00",500,0.25,,,,,,
,,2007 - 2008,,,,"1,700.00",500,0.29,,,,,,
,,2008 - 2009,,,,"1,800.00",500,0.28,,,,,,
,,2009 - 2010,,,,"2,000.00",400,0.2,,,,,,
,,2010 - 2011,,,,"2,300.00",300,0.13,,,,,,
,,2011 - 2012,,,,"2,300.00",700,0.3,,,,,,
,,2012 - 2013,,,,"2,000.00",700,0.35,,,,,,
,,2013 - 2014,,,,"2,000.00",700,0.35,,,,,,
,,2014 - 2015,,,,100,,0,,,,,,
,,2015 - 2016,,,,100,10,0.1,,,,,,
,,2016 - 2017,,,,39,9,0.23,,,,,,
,,2020 - 2021,,,,96,10.79,0.11,,,,,,
,,2021 - 2022,,,,81,13.86,0.17,,,,,,
,,2022 - 2023,,,,81,36.94,0.46,,,,,,
,25. Washim,2000 - 2001,,,,100,100,1,,,,,,
,,2019 - 2020,,,,12,2,0.17,,,,,,
,,2020 - 2021,,,,2,0.07,0.04,,,,,,
,26. Yavatmal,2000 - 2001,,,,100,10,0.1,,,,,,
9. Nagaland,1. Dimapur,2000 - 2001,,,,200,120,0.6,,,,,,
,,2001 - 2002,,,,"50,000.00","25,000.00",0.5,,,,,,
,,2004 - 2005,,,,300,340,1.13,,,,,,
,,2005 - 2006,,,,310,300,0.97,,,,,,
,,2006 - 2007,,,,320,260,0.81,,,,,,
,2. Kohima,2000 - 2001,,,,50,20,0.4,,,,,,
,,2001 - 2002,,,,"2,000.00","2,000.00",1,,,,,,
,,2004 - 2005,,,,60,70,1.17,,,,,,
,,2005 - 2006,,,,70,80,1.14,,,,,,
,,2006 - 2007,,,,60,40,0.67,,,,,,
,3. Mokokchung,2000 - 2001,,,,150,80,0.53,,,,,,
,4. Mon,2000 - 2001,,,,200,100,0.5,,,,,,
,,2001 - 2002,,,,"19,000.00","12,000.00",0.63,,,,,,
,,2004 - 2005,,,,230,240,1.04,,,,,,
,,2005 - 2006,,,,220,200,0.91,,,,,,
,,2006 - 2007,,,,200,120,0.6,,,,,,
,5. Tuensang,2001 - 2002,,,,"11,000.00","4,000.00",0.36,,,,,,
,6. Wokha,2000 - 2001,,,,150,80,0.53,,,,,,
,,2001 - 2002,,,,"18,000.00","43,000.00",2.39,,,,,,
,,2004 - 2005,,,,210,230,1.1,,,,,,
,,2005 - 2006,,,,250,270,1.08,,,,,,
,,2006 - 2007,,,,230,140,0.61,,,,,,
10. Odisha,1. Anugul,2000 - 2001,470,220,0.47,,,,,,,,,
,,2001 - 2002,450,160,0.36,,,,,,,,,
,,2002 - 2003,350,180,0.51,,,,,,,,,
,,2003 - 2004,350,190,0.54,,,,,,,,,
,,2004 - 2005,225,25,0.11,,,,,,,,,
,2. Balangir,2022 - 2023,,,,,,,2,0.6,0.3,,,
,3. Bargarh,2001 - 2002,20,10,0.5,,,,,,,,,
,4. Boudh,2000 - 2001,,,,190,50,0.26,,,,,,
,,2001 - 2002,,,,150,40,0.27,,,,,,
,5. Deogarh,2000 - 2001,70,30,0.43,100,50,0.5,,,,,,
,,2001 - 2002,290,130,0.45,50,20,0.4,,,,,,
,,2002 - 2003,110,50,0.45,,,,,,,,,
,,2003 - 2004,280,110,0.39,,,,,,,,,
,,2004 - 2005,250,100,0.4,,,,,,,,,
,,2011 - 2012,,,,,,,1,0.1,0.1,,,
,6. Gajapati,2000 - 2001,"3,330.00","1,810.00",0.54,"3,420.00","1,540.00",0.45,,,,,,
,,2001 - 2002,"3,550.00","1,740.00",0.49,,,,,,,,,
,,2002 - 2003,"3,140.00","1,570.00",0.5,"1,930.00",970,0.5,,,,,,
,,2003 - 2004,"3,360.00","1,640.00",0.49,"1,760.00",880,0.5,,,,,,
,,2004 - 2005,"4,534.00","2,176.00",0.48,,,,,,,,,
,,2011 - 2012,,,,,,,241,16.1,0.07,,,
,,2016 - 2017,,,,,,,53,10.8,0.2,,,
,,2017 - 2018,,,,,,,67,16.6,0.25,,,
,,2018 - 2019,,,,,,,54,9.8,0.18,,,
,,2019 - 2020,,,,,,,26,5.8,0.22,,,
,,2020 - 2021,,,,,,,72,12.6,0.18,,,
,,2021 - 2022,,,,1,0.2,0.2,,,,,,
,,2022 - 2023,,,,,,,5,0.9,0.18,,,
,7. Ganjam,2000 - 2001,380,190,0.5,170,80,0.47,,,,,,
,,2001 - 2002,660,330,0.5,60,30,0.5,,,,,,
,,2002 - 2003,340,150,0.44,120,40,0.33,,,,,,
,,2003 - 2004,460,230,0.5,,,,,,,,,
,,2004 - 2005,286,115,0.4,,,,,,,,,
,8. Jharsuguda,2000 - 2001,20,10,0.5,,,,,,,,,
,9. Kalahandi,2000 - 2001,,,,"6,850.00","2,140.00",0.31,,,,,,
,,2001 - 2002,,,,"6,680.00","2,520.00",0.38,,,,,,
,,2002 - 2003,,,,"6,370.00","2,180.00",0.34,,,,,,
,,2003 - 2004,,,,"7,750.00","3,130.00",0.4,,,,,,
,,2004 - 2005,"7,794.00","3,772.00",0.48,,,,,,,,,
,,2011 - 2012,,,,,,,"2,846.00",387.1,0.14,,,
,,2016 - 2017,,,,,,,"1,072.00",399.9,0.37,,,
,,2017 - 2018,,,,,,,"1,194.00",352.2,0.29,,,
,,2018 - 2019,,,,,,,"1,737.00",406.5,0.23,,,
,,2019 - 2020,,,,,,,"1,058.00",328,0.31,,,
,,2020 - 2021,,,,,,,"2,128.00",774.6,0.36,,,
,,2021 - 2022,,,,"1,772.00",519.2,0.29,,,,,,
,,2022 - 2023,,,,,,,726,227.2,0.31,,,
,10. Kandhamal,2000 - 2001,,,,"15,440.00","3,710.00",0.24,,,,,,
,,2001 - 2002,,,,"11,550.00","2,250.00",0.19,,,,,,
,,2002 - 2003,,,,"7,760.00","1,280.00",0.16,,,,,,
,,2003 - 2004,,,,"10,620.00","2,280.00",0.21,,,,,,
,,2004 - 2005,"10,968.00","2,413.00",0.22,,,,,,,,,
,,2011 - 2012,,,,,,,"1,500.00",271.5,0.18,,,
,,2016 - 2017,,,,,,,790,197.5,0.25,,,
,,2017 - 2018,,,,,,,684,140.9,0.21,,,
,,2018 - 2019,,,,,,,613,159.4,0.26,,,
,,2019 - 2020,,,,,,,426,89,0.21,,,
,,2020 - 2021,,,,,,,317,72.9,0.23,,,
,,2021 - 2022,,,,629,171.7,0.27,,,,,,
,,2022 - 2023,,,,,,,330,76.2,0.23,,,
,11. Kendujhar,2000 - 2001,,,,"23,810.00","3,570.00",0.15,,,,,,
,,2001 - 2002,"1,510.00",190,0.13,"23,880.00","4,470.00",0.19,,,,,,
,,2002 - 2003,"1,200.00",100,0.08,"21,510.00","1,740.00",0.08,,,,,,
,,2003 - 2004,,,,"20,760.00","5,170.00",0.25,,,,,,
,,2004 - 2005,"21,789.00","4,194.00",0.19,,,,,,,,,
,,2011 - 2012,,,,,,,"1,420.00",340.8,0.24,,,
,,2016 - 2017,,,,,,,"1,435.00",499.4,0.35,,,
,,2017 - 2018,,,,,,,"1,335.00",323.1,0.24,,,
,,2018 - 2019,,,,,,,241,30.1,0.12,,,
,,2019 - 2020,,,,,,,144,33.6,0.23,,,
,,2020 - 2021,,,,,,,41,13.2,0.32,,,
,,2021 - 2022,,,,255,61.2,0.24,,,,,,
,,2022 - 2023,,,,,,,295,81.4,0.28,,,
,12. Koraput,2000 - 2001,"7,510.00","1,890.00",0.25,"44,770.00","10,830.00",0.24,,,,,,
,,2001 - 2002,"3,910.00","1,110.00",0.28,"39,630.00","8,160.00",0.21,,,,,,
,,2002 - 2003,"2,220.00",340,0.15,"37,250.00","5,810.00",0.16,,,,,,
,,2003 - 2004,"4,320.00",830,0.19,"41,720.00","8,550.00",0.2,,,,,,
,,2004 - 2005,"43,399.00","11,147.00",0.26,,,,,,,,,
,,2011 - 2012,,,,,,,"17,824.00","2,727.10",0.15,,,
,,2016 - 2017,,,,,,,"7,484.00","2,364.90",0.32,,,
,,2017 - 2018,,,,,,,"10,422.00","3,908.30",0.38,,,
,,2018 - 2019,,,,,,,"11,444.00","3,341.60",0.29,,,
,,2019 - 2020,,,,,,,"10,847.00","4,295.40",0.4,,,
,,2020 - 2021,,,,,,,"7,930.00","2,291.80",0.29,,,
,,2021 - 2022,,,,"10,625.00","3,782.50",0.36,,,,,,
,,2022 - 2023,,,,,,,"6,012.00","1,731.50",0.29,,,
,13. Malkangiri,2000 - 2001,,,,580,350,0.6,,,,,,
,,2001 - 2002,,,,"1,610.00",200,0.12,,,,,,
,,2002 - 2003,,,,"1,590.00",400,0.25,,,,,,
,,2003 - 2004,,,,"1,180.00",230,0.19,,,,,,
,,2004 - 2005,"1,360.00",394,0.29,,,,,,,,,
,,2011 - 2012,,,,,,,"2,488.00",156.7,0.06,,,
,,2016 - 2017,,,,,,,"1,464.00",221.1,0.15,,,
,,2017 - 2018,,,,,,,968,172.3,0.18,,,
,,2018 - 2019,,,,,,,"2,034.00",396.6,0.19,,,
,,2019 - 2020,,,,,,,824,246.4,0.3,,,
,,2020 - 2021,,,,,,,"1,271.00",366,0.29,,,
,,2021 - 2022,,,,908,225.2,0.25,,,,,,
,,2022 - 2023,,,,,,,"1,298.00",802.2,0.62,,,
,14. Mayurbhanj,2000 - 2001,"6,020.00","1,350.00",0.22,"5,850.00","1,400.00",0.24,,,,,,
,,2001 - 2002,"7,580.00","2,200.00",0.29,"6,230.00","1,570.00",0.25,,,,,,
,,2002 - 2003,"4,420.00",990,0.22,"3,240.00",810,0.25,,,,,,
,,2003 - 2004,"3,500.00","1,020.00",0.29,"6,430.00","1,570.00",0.24,,,,,,
,,2004 - 2005,"8,991.00","2,427.00",0.27,,,,,,,,,
,,2011 - 2012,,,,,,,21,0.8,0.04,,,
,,2019 - 2020,,,,,,,3,0.9,0.3,,,
,,2020 - 2021,,,,,,,19,3,0.16,,,
,,2021 - 2022,,,,55,8.3,0.15,,,,,,
,,2022 - 2023,,,,,,,12,2.4,0.2,,,
,15. Nabarangpur,2000 - 2001,"1,690.00",540,0.32,"9,400.00","2,170.00",0.23,,,,,,
,,2001 - 2002,830,270,0.33,"7,880.00","2,870.00",0.36,,,,,,
,,2002 - 2003,320,60,0.19,"4,810.00",640,0.13,,,,,,
,,2003 - 2004,520,170,0.33,"6,540.00","1,270.00",0.19,,,,,,
,,2004 - 2005,"5,296.00","1,149.00",0.22,,,,,,,,,
,,2011 - 2012,,,,,,,129,9,0.07,,,
,,2016 - 2017,,,,,,,767,269.2,0.35,,,
,,2017 - 2018,,,,,,,237,62.8,0.26,,,
,,2018 - 2019,,,,,,,519,184.8,0.36,,,
,,2019 - 2020,,,,,,,43,14.9,0.35,,,
,,2020 - 2021,,,,,,,69,23.5,0.34,,,
,,2021 - 2022,,,,85,29.4,0.35,,,,,,
,,2022 - 2023,,,,,,,43,14.4,0.33,,,
,16. Nuapada,2001 - 2002,,,,50,10,0.2,,,,,,
,17. Rayagada,2000 - 2001,"8,090.00","2,000.00",0.25,"15,910.00","4,070.00",0.26,,,,,,
,,2001 - 2002,"3,830.00","1,000.00",0.26,"17,370.00","4,810.00",0.28,,,,,,
,,2002 - 2003,"2,940.00",710,0.24,"13,430.00","1,670.00",0.12,,,,,,
,,2003 - 2004,"3,200.00",910,0.28,"13,830.00","2,560.00",0.19,,,,,,
,,2004 - 2005,"17,239.00","5,700.00",0.33,,,,,,,,,
,,2011 - 2012,,,,,,,"5,242.00",838.7,0.16,,,
,,2016 - 2017,,,,,,,"1,736.00",595.4,0.34,,,
,,2017 - 2018,,,,,,,"3,214.00",954.6,0.3,,,
,,2018 - 2019,,,,,,,"2,287.00",656.4,0.29,,,
,,2019 - 2020,,,,,,,"2,511.00",680.5,0.27,,,
,,2020 - 2021,,,,,,,"1,617.00",457.6,0.28,,,
,,2021 - 2022,,,,"3,098.00",969.7,0.31,,,,,,
,,2022 - 2023,,,,,,,"2,162.00",605.4,0.28,,,
,18. Sambalpur,2000 - 2001,60,30,0.5,40,20,0.5,,,,,,
,,2001 - 2002,140,70,0.5,30,10,0.33,,,,,,
,,2002 - 2003,190,100,0.53,50,20,0.4,,,,,,
,,2003 - 2004,60,30,0.5,50,20,0.4,,,,,,
,,2004 - 2005,144,67,0.47,,,,,,,,,
,19. Sundargarh,2000 - 2001,"3,860.00",960,0.25,,,,,,,,,
,,2001 - 2002,"5,520.00","1,650.00",0.3,,,,,,,,,
,,2002 - 2003,"4,700.00","1,560.00",0.33,,,,,,,,,
,,2003 - 2004,"3,560.00","1,040.00",0.29,,,,,,,,,
,,2004 - 2005,"1,342.00",290,0.22,,,,,,,,,
,,2011 - 2012,,,,,,,132,21,0.16,,,
,,2016 - 2017,,,,,,,217,58.2,0.27,,,
,,2017 - 2018,,,,,,,227,60.2,0.27,,,
,,2018 - 2019,,,,,,,58,9.1,0.16,,,
,,2019 - 2020,,,,,,,16,4.4,0.28,,,
,,2020 - 2021,,,,,,,7,1.8,0.26,,,
,,2021 - 2022,,,,89,28.4,0.32,,,,,,
,,2022 - 2023,,,,,,,106,30.2,0.28,,,
11. Tamil Nadu,1. Krishnagiri,2004 - 2005,,,,304,,0,,,,,,
,,2005 - 2006,,,,511,,0,,,,,,
,2. Madurai,2004 - 2005,,,,2,,0,,,,,,
,3. Namakkal,2005 - 2006,,,,2,,0,,,,,,
,4. Sivaganga,2005 - 2006,,,,3,,0,,,,,,
,5. Tiruchirappalli,2004 - 2005,,,,25,,0,,,,,,
,,2005 - 2006,,,,32,,0,,,,,,
,6. Tiruvannamalai,2004 - 2005,,,,908,,0,,,,,,
,7. Vellore,2005 - 2006,,,,90,,0,,,,,,
12. Telangana,1. Medak,2001 - 2002,,,,150,63,0.42,,,,,,
,,2002 - 2003,,,,63,24,0.38,,,,,,
,,2003 - 2004,,,,64,25,0.39,,,,,,
,,2004 - 2005,,,,52,20,0.38,,,,,,
,2. Rangareddi,2000 - 2001,,,,376,122,0.32,,,,,,
,,2001 - 2002,,,,862,362,0.42,,,,,,
,,2002 - 2003,,,,384,148,0.39,,,,,,
,,2003 - 2004,,,,615,242,0.39,,,,,,
,,2004 - 2005,,,,560,218,0.39,,,,,,
,,2005 - 2006,,,,512,198,0.39,,,,,,
,,2006 - 2007,,,,429,157,0.37,,,,,,
,,2008 - 2009,,,,63,28,0.44,,,,,,
,,2010 - 2011,,,,15,6,0.4,,,,,,
,,2011 - 2012,,,,5,2,0.4,,,,,,
13. West Bengal,1. Alipurduar,2016 - 2017,,,,365,236,0.65,,,,,,
,,2017 - 2018,,,,340,209,0.61,,,,,,
,,2018 - 2019,,,,325,163,0.5,,,,,,
,,2019 - 2020,,,,220,121,0.55,,,,,,
,,2020 - 2021,,,,330,185,0.56,,,,,,
,,2021 - 2022,,,,370,211,0.57,,,,,,
,,2022 - 2023,,,,375,216,0.58,,,,,,
,2. Bankura,2000 - 2001,,,,30,7,0.23,,,,,,
,,2001 - 2002,,,,75,26,0.35,,,,,,
,,2002 - 2003,,,,60,15,0.25,,,,,,
,,2003 - 2004,,,,25,7,0.28,,,,,,
,,2004 - 2005,,,,55,14,0.25,,,,,,
,,2005 - 2006,,,,66,21,0.32,,,,,,
,,2006 - 2007,,,,20,6,0.3,,,,,,
,,2007 - 2008,,,,5,2,0.4,,,,,,
,,2008 - 2009,,,,8,6,0.75,,,,,,
,,2009 - 2010,,,,2,1,0.5,,,,,,
,3. Coochbehar,2000 - 2001,,,,"3,260.00","1,956.00",0.6,,,,,,
,,2001 - 2002,,,,"2,917.00","1,750.00",0.6,,,,,,
,,2002 - 2003,,,,"3,264.00","1,958.00",0.6,,,,,,
,,2003 - 2004,,,,"4,730.00","3,311.00",0.7,,,,,,
,,2004 - 2005,,,,"4,045.00","2,872.00",0.71,,,,,,
,,2005 - 2006,,,,"2,670.00","2,002.00",0.75,,,,,,
,,2006 - 2007,,,,"2,670.00","2,003.00",0.75,,,,,,
,,2007 - 2008,,,,"2,730.00","1,993.00",0.73,,,,,,
,,2008 - 2009,,,,"2,860.00","2,116.00",0.74,,,,,,
,,2009 - 2010,,,,"1,730.00","1,323.00",0.76,,,,,,
,,2010 - 2011,,,,"1,860.00","1,469.00",0.79,,,,,,
,,2011 - 2012,,,,"1,875.00","1,500.00",0.8,,,,,,
,,2012 - 2013,,,,"1,470.00","1,250.00",0.85,,,,,,
,,2013 - 2014,,,,"2,250.00","1,913.00",0.85,,,,,,
,,2014 - 2015,,,,"2,490.00","2,074.00",0.83,,,,,,
,,2015 - 2016,,,,"2,370.00","1,993.00",0.84,,,,,,
,,2016 - 2017,,,,"2,430.00","2,034.00",0.84,,,,,,
,,2017 - 2018,,,,"2,200.00","1,430.00",0.65,,,,,,
,,2018 - 2019,,,,150,89,0.59,,,,,,
,,2019 - 2020,,,,120,71,0.59,,,,,,
,,2020 - 2021,,,,110,65,0.59,,,,,,
,,2021 - 2022,,,,110,65,0.59,,,,,,
,,2022 - 2023,,,,110,65,0.59,,,,,,
,4. Darjeeling,2000 - 2001,,,,8,4,0.5,,,,,,
,,2001 - 2002,,,,2,2,1,,,,,,
,,2002 - 2003,,,,35,49,1.4,,,,,,
,,2003 - 2004,,,,44,62,1.41,,,,,,
,,2004 - 2005,,,,44,62,1.41,,,,,,
,,2005 - 2006,,,,65,34,0.52,,,,,,
,,2006 - 2007,,,,75,45,0.6,,,,,,
,,2007 - 2008,,,,80,50,0.63,,,,,,
,,2008 - 2009,,,,73,43,0.59,,,,,,
,,2009 - 2010,,,,40,25,0.63,,,,,,
,,2010 - 2011,,,,70,45,0.64,,,,,,
,,2011 - 2012,,,,75,49,0.65,,,,,,
,,2012 - 2013,,,,63,39,0.62,,,,,,
,,2014 - 2015,,,,69,44,0.64,,,,,,
,,2015 - 2016,,,,72,49,0.68,,,,,,
,,2016 - 2017,,,,74,51,0.69,,,,,,
,,2017 - 2018,,,,25,18,0.72,,,,,,
,5. Dinajpur dakshin,2000 - 2001,,,,28,14,0.5,,,,,,
,,2001 - 2002,,,,34,16,0.47,,,,,,
,6. Dinajpur uttar,2000 - 2001,,,,813,305,0.38,,,,,,
,,2001 - 2002,,,,712,267,0.38,,,,,,
,,2002 - 2003,,,,687,212,0.31,,,,,,
,,2003 - 2004,,,,770,337,0.44,,,,,,
,,2004 - 2005,,,,242,93,0.38,,,,,,
,,2005 - 2006,,,,200,85,0.43,,,,,,
,,2006 - 2007,,,,122,50,0.41,,,,,,
,,2007 - 2008,,,,188,76,0.4,,,,,,
,,2008 - 2009,,,,75,29,0.39,,,,,,
,,2009 - 2010,,,,80,32,0.4,,,,,,
,,2010 - 2011,,,,139,56,0.4,,,,,,
,,2011 - 2012,,,,77,31,0.4,,,,,,
,,2012 - 2013,,,,75,34,0.45,,,,,,
,,2013 - 2014,,,,75,30,0.4,,,,,,
,,2014 - 2015,,,,76,32,0.42,,,,,,
,,2015 - 2016,,,,77,35,0.45,,,,,,
,,2016 - 2017,,,,76,34,0.45,,,,,,
,,2017 - 2018,,,,58,46,0.79,,,,,,
,,2018 - 2019,,,,80,41,0.51,,,,,,
,,2019 - 2020,,,,10,8,0.8,,,,,,
,7. Jalpaiguri,2000 - 2001,,,,"1,785.00","1,116.00",0.63,,,,,,
,,2001 - 2002,,,,"1,820.00",914,0.5,,,,,,
,,2002 - 2003,,,,"1,805.00","1,040.00",0.58,,,,,,
,,2003 - 2004,,,,"1,735.00","1,024.00",0.59,,,,,,
,,2004 - 2005,,,,"1,721.00","1,043.00",0.61,,,,,,
,,2005 - 2006,,,,"1,647.00",988,0.6,,,,,,
,,2006 - 2007,,,,"1,688.00",996,0.59,,,,,,
,,2007 - 2008,,,,"1,573.00",963,0.61,,,,,,
,,2008 - 2009,,,,"1,636.00",982,0.6,,,,,,
,,2009 - 2010,,,,"1,484.00",904,0.61,,,,,,
,,2010 - 2011,,,,"1,355.00",841,0.62,,,,,,
,,2011 - 2012,,,,"1,284.00",724,0.56,,,,,,
,,2012 - 2013,,,,"1,374.00",823,0.6,,,,,,
,,2013 - 2014,,,,978,556,0.57,,,,,,
,,2014 - 2015,,,,"1,212.00",701,0.58,,,,,,
,,2015 - 2016,,,,"1,290.00",749,0.58,,,,,,
,,2016 - 2017,,,,870,519,0.6,,,,,,
,,2017 - 2018,,,,322,193,0.6,,,,,,
,,2018 - 2019,,,,322,180,0.56,,,,,,
,,2019 - 2020,,,,305,181,0.59,,,,,,
,,2020 - 2021,,,,300,179,0.6,,,,,,
,,2021 - 2022,,,,290,168,0.58,,,,,,
,,2022 - 2023,,,,300,177,0.59,,,,,,
,8. Jhargram,2018 - 2019,,,,32,13,0.41,,,,,,
,9. Maldah,2000 - 2001,,,,195,55,0.28,,,,,,
,,2001 - 2002,,,,115,32,0.28,,,,,,
,,2002 - 2003,,,,55,15,0.27,,,,,,
,,2003 - 2004,,,,60,16,0.27,,,,,,
,,2004 - 2005,,,,32,8,0.25,,,,,,
,,2005 - 2006,,,,32,8,0.25,,,,,,
