State,District,Year,Potato,,,,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Winter,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2016 - 2017,,,,,,,525,"13,152.00",25.05,,,,,,
,,2017 - 2018,,,,,,,575,"14,865.00",25.85,,,,,,
,,2018 - 2019,,,,,,,590,"14,986.00",25.4,,,,,,
,,2019 - 2020,,,,,,,651,"16,519.00",25.37,,,,,,
,8. Jhajjar,2001 - 2002,,,,,,,15,300,20,,,,,,
,,2002 - 2003,,,,,,,21,400,19.05,,,,,,
,,2003 - 2004,,,,,,,19,300,15.79,,,,,,
,,2004 - 2005,,,,,,,10,200,20,,,,,,
,,2005 - 2006,,,,,,,6,100,16.67,,,,,,
,,2006 - 2007,,,,,,,4,100,25,,,,,,
,,2013 - 2014,,,,,,,110,"2,556.00",23.24,,,,,,
,,2014 - 2015,,,,,,,112,"2,686.00",23.98,,,,,,
,,2015 - 2016,,,,,,,120,"2,989.00",24.91,,,,,,
,,2016 - 2017,,,,,,,159,"3,117.00",19.6,,,,,,
,,2017 - 2018,,,,,,,125,"3,500.00",28,,,,,,
,,2018 - 2019,,,,,,,42,"1,086.00",25.86,,,,,,
,,2019 - 2020,,,,,,,126,"2,959.00",23.48,,,,,,
,,2021 - 2022,,,,,,,18,0,0,,,,,,
,9. Jind,2005 - 2006,,,,,,,15,400,26.67,,,,,,
,,2010 - 2011,,,,,,,341,"8,800.00",25.81,,,,,,
,,2011 - 2012,,,,,,,252,"5,600.00",22.22,,,,,,
,,2012 - 2013,,,,,,,303,"6,800.00",22.44,,,,,,
,,2013 - 2014,,,,,,,870,"19,733.00",22.68,,,,,,
,,2014 - 2015,,,,,,,900,"21,403.00",23.78,,,,,,
,,2015 - 2016,,,,,,,935,"24,402.00",26.1,,,,,,
,,2016 - 2017,,,,,,,"1,041.00","24,507.00",23.54,,,,,,
,,2017 - 2018,,,,,,,"1,075.00","33,078.00",30.77,,,,,,
,,2018 - 2019,,,,,,,"1,075.00","29,025.00",27,,,,,,
,,2019 - 2020,,,,,,,"1,229.00","33,270.00",27.07,,,,,,
,,2021 - 2022,,,,,,,157,"2,433.50",15.5,,,,,,
,10. Kaithal,2000 - 2001,,,,,,,197,"3,100.00",15.74,,,,,,
,,2001 - 2002,,,,,,,202,"3,600.00",17.82,,,,,,
,,2002 - 2003,,,,,,,248,"5,900.00",23.79,,,,,,
,,2003 - 2004,,,,,,,197,"4,700.00",23.86,,,,,,
,,2004 - 2005,,,,,,,199,"4,700.00",23.62,,,,,,
,,2005 - 2006,,,,,,,103,"2,500.00",24.27,,,,,,
,,2006 - 2007,,,,,,,180,"4,300.00",23.89,,,,,,
,,2007 - 2008,,,,,,,159,"2,600.00",16.35,,,,,,
,,2008 - 2009,,,,,,,238,"3,800.00",15.97,,,,,,
,,2009 - 2010,,,,,,,223,"4,500.00",20.18,,,,,,
,,2010 - 2011,,,,,,,282,"6,100.00",21.63,,,,,,
,,2011 - 2012,,,,,,,3,100,33.33,,,,,,
,,2012 - 2013,,,,,,,348,"8,900.00",25.57,,,,,,
,,2013 - 2014,,,,,,,535,"13,072.00",24.43,,,,,,
,,2014 - 2015,,,,,,,450,"10,791.00",23.98,,,,,,
,,2015 - 2016,,,,,,,500,"12,456.00",24.91,,,,,,
,,2016 - 2017,,,,,,,467,"11,670.00",24.99,,,,,,
,,2017 - 2018,,,,,,,520,"13,444.00",25.85,,,,,,
,,2018 - 2019,,,,,,,530,"11,713.00",22.1,,,,,,
,,2019 - 2020,,,,,,,584,"14,146.00",24.22,,,,,,
,,2021 - 2022,,,,,,,469,"7,738.50",16.5,,,,,,
,11. Karnal,2000 - 2001,,,,,,,961,"17,600.00",18.31,,,,,,
,,2001 - 2002,,,,,,,789,"21,000.00",26.62,,,,,,
,,2002 - 2003,,,,,,,917,"21,300.00",23.23,,,,,,
,,2003 - 2004,,,,,,,982,"22,800.00",23.22,,,,,,
,,2004 - 2005,,,,,,,876,"20,400.00",23.29,,,,,,
,,2005 - 2006,,,,,,,762,"17,700.00",23.23,,,,,,
,,2006 - 2007,,,,,,,826,"19,200.00",23.24,,,,,,
,,2007 - 2008,,,,,,,980,"16,800.00",17.14,,,,,,
,,2008 - 2009,,,,,,,961,"20,100.00",20.92,,,,,,
,,2009 - 2010,,,,,,,941,"15,500.00",16.47,,,,,,
,,2010 - 2011,,,,,,,956,"20,300.00",21.23,,,,,,
,,2011 - 2012,,,,,,,997,"20,000.00",20.06,,,,,,
,,2012 - 2013,,,,,,,859,"21,100.00",24.56,,,,,,
,,2013 - 2014,,,,,,,"3,250.00","78,580.00",24.18,,,,,,
,,2014 - 2015,,,,,,,"3,900.00","95,470.00",24.48,,,,,,
,,2015 - 2016,,,,,,,"5,200.00","1,34,940.00",25.95,,,,,,
,,2016 - 2017,,,,,,,"5,225.00","1,44,650.00",27.68,,,,,,
,,2017 - 2018,,,,,,,"5,170.00","1,35,655.00",26.24,,,,,,
,,2018 - 2019,,,,,,,"5,200.00","1,28,051.00",24.63,,,,,,
,,2019 - 2020,,,,,,,"5,600.00","1,48,700.00",26.55,,,,,,
,,2021 - 2022,,,,,,,"1,008.00","18,144.00",18,,,,,,
,12. Kurukshetra,2000 - 2001,,,,,,,"3,507.00","47,200.00",13.46,,,,,,
,,2001 - 2002,,,,,,,"3,089.00","59,900.00",19.39,,,,,,
,,2002 - 2003,,,,,,,"3,994.00","1,02,900.00",25.76,,,,,,
,,2003 - 2004,,,,,,,"4,719.00","1,21,500.00",25.75,,,,,,
,,2004 - 2005,,,,,,,"4,925.00","1,26,800.00",25.75,,,,,,
,,2005 - 2006,,,,,,,"5,371.00","1,37,000.00",25.51,,,,,,
,,2006 - 2007,,,,,,,"6,033.00","1,55,300.00",25.74,,,,,,
,,2007 - 2008,,,,,,,"5,145.00","1,04,300.00",20.27,,,,,,
,,2008 - 2009,,,,,,,"5,893.00","1,57,000.00",26.64,,,,,,
,,2009 - 2010,,,,,,,"6,173.00","16,600.00",2.69,,,,,,
,,2010 - 2011,,,,,,,"6,754.00","1,54,400.00",22.86,,,,,,
,,2011 - 2012,,,,,,,"6,695.00","1,54,400.00",23.06,,,,,,
,,2012 - 2013,,,,,,,"6,954.00","1,60,400.00",23.07,,,,,,
,,2013 - 2014,,,,,,,"8,600.00","2,01,136.00",23.39,,,,,,
,,2014 - 2015,,,,,,,"8,510.00","2,06,647.00",24.28,,,,,,
,,2015 - 2016,,,,,,,"8,650.00","2,16,853.00",25.07,,,,,,
,,2016 - 2017,,,,,,,"8,550.00","2,27,887.00",26.65,,,,,,
,,2017 - 2018,,,,,,,"8,210.00","2,13,874.00",26.05,,,,,,
,,2018 - 2019,,,,,,,"8,500.00","2,33,041.00",27.42,,,,,,
,,2019 - 2020,,,,,,,"9,400.00","2,51,600.00",26.77,,,,,,
,,2021 - 2022,,,,,,,"12,823.00","2,50,048.50",19.5,,,,,,
,13. Mahendragarh,2001 - 2002,,,,,,,1,0,0,,,,,,
,,2002 - 2003,,,,,,,3,0,0,,,,,,
,,2009 - 2010,,,,,,,3,,0,,,,,,
,,2010 - 2011,,,,,,,2,,0,,,,,,
,,2011 - 2012,,,,,,,6,100,16.67,,,,,,
,,2013 - 2014,,,,,,,7,163,23.29,,,,,,
,,2014 - 2015,,,,,,,4,96,24,,,,,,
,,2015 - 2016,,,,,,,20,498,24.9,,,,,,
,,2016 - 2017,,,,,,,6,139,23.17,,,,,,
,,2017 - 2018,,,,,,,20,517,25.85,,,,,,
,,2018 - 2019,,,,,,,20,517,25.85,,,,,,
,,2019 - 2020,,,,,,,18,451,25.06,,,,,,
,14. Mewat,2013 - 2014,,,,,,,500,"11,619.00",23.24,,,,,,
,,2015 - 2016,,,,,,,505,"12,581.00",24.91,,,,,,
,,2016 - 2017,,,,,,,300,"7,793.00",25.98,,,,,,
,,2017 - 2018,,,,,,,20,517,25.85,,,,,,
,,2018 - 2019,,,,,,,23,594,25.83,,,,,,
,,2019 - 2020,,,,,,,132,"3,420.00",25.91,,,,,,
,,2021 - 2022,,,,,,,2,25,12.5,,,,,,
,15. Palwal,2008 - 2009,,,,,,,25,600,24,,,,,,
,,2009 - 2010,,,,,,,34,700,20.59,,,,,,
,,2013 - 2014,,,,,,,110,"2,556.00",23.24,,,,,,
,,2014 - 2015,,,,,,,110,"2,638.00",23.98,,,,,,
,,2015 - 2016,,,,,,,110,"2,740.00",24.91,,,,,,
,,2016 - 2017,,,,,,,210,"6,026.00",28.7,,,,,,
,,2017 - 2018,,,,,,,75,"1,939.00",25.85,,,,,,
,,2018 - 2019,,,,,,,61,"1,577.00",25.85,,,,,,
,,2019 - 2020,,,,,,,133,"3,665.00",27.56,,,,,,
,,2021 - 2022,,,,,,,1,0,0,,,,,,
,16. Panchkula,2000 - 2001,,,,,,,22,400,18.18,,,,,,
,,2001 - 2002,,,,,,,156,"3,500.00",22.44,,,,,,
,,2002 - 2003,,,,,,,220,"5,300.00",24.09,,,,,,
,,2003 - 2004,,,,,,,371,"8,900.00",23.99,,,,,,
,,2004 - 2005,,,,,,,224,"5,400.00",24.11,,,,,,
,,2005 - 2006,,,,,,,258,"6,200.00",24.03,,,,,,
,,2006 - 2007,,,,,,,244,"5,900.00",24.18,,,,,,
,,2007 - 2008,,,,,,,246,"4,800.00",19.51,,,,,,
,,2008 - 2009,,,,,,,629,"13,300.00",21.14,,,,,,
,,2009 - 2010,,,,,,,622,"15,900.00",25.56,,,,,,
,,2010 - 2011,,,,,,,296,"7,400.00",25,,,,,,
,,2011 - 2012,,,,,,,211,"4,000.00",18.96,,,,,,
,,2012 - 2013,,,,,,,195,"3,800.00",19.49,,,,,,
,,2013 - 2014,,,,,,,"2,154.00","44,474.00",20.65,,,,,,
,,2014 - 2015,,,,,,,"2,185.00","47,490.00",21.73,,,,,,
,,2015 - 2016,,,,,,,"2,150.00","44,343.00",20.62,,,,,,
,,2016 - 2017,,,,,,,"2,185.00","47,490.00",21.73,,,,,,
,,2017 - 2018,,,,,,,"2,300.00","55,214.00",24.01,,,,,,
,,2018 - 2019,,,,,,,"2,200.00","70,887.00",32.22,,,,,,
,,2019 - 2020,,,,,,,"2,573.00","66,682.00",25.92,,,,,,
,,2021 - 2022,,,,,,,415,"5,810.00",14,,,,,,
,17. Panipat,2000 - 2001,,,,,,,152,"3,200.00",21.05,,,,,,
,,2001 - 2002,,,,,,,156,"4,400.00",28.21,,,,,,
,,2002 - 2003,,,,,,,195,"41,700.00",213.85,,,,,,
,,2003 - 2004,,,,,,,184,"4,400.00",23.91,,,,,,
,,2004 - 2005,,,,,,,206,"4,900.00",23.79,,,,,,
,,2005 - 2006,,,,,,,208,"5,000.00",24.04,,,,,,
,,2006 - 2007,,,,,,,184,"4,400.00",23.91,,,,,,
,,2007 - 2008,,,,,,,198,"3,600.00",18.18,,,,,,
,,2008 - 2009,,,,,,,148,400,2.7,,,,,,
,,2009 - 2010,,,,,,,171,"3,000.00",17.54,,,,,,
,,2010 - 2011,,,,,,,164,"3,100.00",18.9,,,,,,
,,2011 - 2012,,,,,,,151,"3,800.00",25.17,,,,,,
,,2012 - 2013,,,,,,,178,"3,600.00",20.22,,,,,,
,,2013 - 2014,,,,,,,"1,560.00","32,488.00",20.83,,,,,,
,,2014 - 2015,,,,,,,"1,500.00","33,049.00",22.03,,,,,,
,,2015 - 2016,,,,,,,"1,600.00","38,120.00",23.83,,,,,,
,,2016 - 2017,,,,,,,"1,513.00","29,085.00",19.22,,,,,,
,,2017 - 2018,,,,,,,"1,808.00","46,444.00",25.69,,,,,,
,,2018 - 2019,,,,,,,394,"9,874.00",25.06,,,,,,
,,2019 - 2020,,,,,,,"1,430.00","32,806.00",22.94,,,,,,
,,2020 - 2021,,,,,,,210,0,0,,,,,,
,,2021 - 2022,,,,,,,554,"8,864.00",16,,,,,,
,18. Rewari,2000 - 2001,,,,,,,3,,0,,,,,,
,,2001 - 2002,,,,,,,1,0,0,,,,,,
,,2002 - 2003,,,,,,,6,200,33.33,,,,,,
,,2005 - 2006,,,,,,,5,,0,,,,,,
,,2011 - 2012,,,,,,,14,100,7.14,,,,,,
,,2013 - 2014,,,,,,,12,279,23.25,,,,,,
,,2014 - 2015,,,,,,,25,599,23.96,,,,,,
,,2015 - 2016,,,,,,,40,997,24.93,,,,,,
,,2016 - 2017,,,,,,,23,519,22.57,,,,,,
,,2017 - 2018,,,,,,,40,"1,034.00",25.85,,,,,,
,,2018 - 2019,,,,,,,30,775,25.83,,,,,,
,,2019 - 2020,,,,,,,36,894,24.83,,,,,,
,,2021 - 2022,,,,,,,1,0,0,,,,,,
,19. Rohtak,2000 - 2001,,,,,,,249,"4,000.00",16.06,,,,,,
,,2001 - 2002,,,,,,,309,"5,600.00",18.12,,,,,,
,,2002 - 2003,,,,,,,229,"3,600.00",15.72,,,,,,
,,2003 - 2004,,,,,,,228,"3,600.00",15.79,,,,,,
,,2012 - 2013,,,,,,,96,"2,200.00",22.92,,,,,,
,,2013 - 2014,,,,,,,440,"10,225.00",23.24,,,,,,
,,2014 - 2015,,,,,,,336,"8,071.00",24.02,,,,,,
,,2015 - 2016,,,,,,,"1,100.00","27,403.00",24.91,,,,,,
,,2016 - 2017,,,,,,,336,"8,901.00",26.49,,,,,,
,,2017 - 2018,,,,,,,850,"21,038.00",24.75,,,,,,
,,2018 - 2019,,,,,,,200,"6,180.00",30.9,,,,,,
,,2019 - 2020,,,,,,,534,"13,874.00",25.98,,,,,,
,20. Sirsa,2000 - 2001,,,,,,,24,400,16.67,,,,,,
,,2001 - 2002,,,,,,,20,300,15,,,,,,
,,2003 - 2004,,,,,,,45,"1,200.00",26.67,,,,,,
,,2005 - 2006,,,,,,,57,"1,500.00",26.32,,,,,,
,,2006 - 2007,,,,,,,80,"2,100.00",26.25,,,,,,
,,2007 - 2008,,,,,,,93,"1,000.00",10.75,,,,,,
,,2008 - 2009,,,,,,,27,500,18.52,,,,,,
,,2009 - 2010,,,,,,,53,800,15.09,,,,,,
,,2010 - 2011,,,,,,,60,"1,100.00",18.33,,,,,,
,,2011 - 2012,,,,,,,130,"3,600.00",27.69,,,,,,
,,2012 - 2013,,,,,,,76,"1,700.00",22.37,,,,,,
,,2013 - 2014,,,,,,,400,"8,951.00",22.38,,,,,,
,,2014 - 2015,,,,,,,600,"14,387.00",23.98,,,,,,
,,2015 - 2016,,,,,,,875,"21,432.00",24.49,,,,,,
,,2016 - 2017,,,,,,,630,"27,920.00",44.32,,,,,,
,,2017 - 2018,,,,,,,652,"16,856.00",25.85,,,,,,
,,2018 - 2019,,,,,,,"1,155.00","28,400.00",24.59,,,,,,
,,2019 - 2020,,,,,,,938,"28,109.00",29.97,,,,,,
,,2021 - 2022,,,,,,,640,"8,320.00",13,,,,,,
,21. Sonipat,2000 - 2001,,,,,,,406,"6,300.00",15.52,,,,,,
,,2001 - 2002,,,,,,,329,"8,700.00",26.44,,,,,,
,,2002 - 2003,,,,,,,360,"9,500.00",26.39,,,,,,
,,2003 - 2004,,,,,,,386,"10,200.00",26.42,,,,,,
,,2004 - 2005,,,,,,,387,"10,200.00",26.36,,,,,,
,,2005 - 2006,,,,,,,603,"15,900.00",26.37,,,,,,
,,2006 - 2007,,,,,,,275,"6,600.00",24,,,,,,
,,2007 - 2008,,,,,,,281,"5,300.00",18.86,,,,,,
,,2008 - 2009,,,,,,,801,"18,200.00",22.72,,,,,,
,,2009 - 2010,,,,,,,834,"16,800.00",20.14,,,,,,
,,2010 - 2011,,,,,,,221,"6,000.00",27.15,,,,,,
,,2011 - 2012,,,,,,,763,"14,500.00",19,,,,,,
,,2012 - 2013,,,,,,,647,"16,600.00",25.66,,,,,,
,,2013 - 2014,,,,,,,"2,500.00","63,225.00",25.29,,,,,,
,,2014 - 2015,,,,,,,"2,450.00","56,464.00",23.05,,,,,,
,,2015 - 2016,,,,,,,"2,710.00","70,596.00",26.05,,,,,,
,,2016 - 2017,,,,,,,"2,450.00","57,128.00",23.32,,,,,,
,,2017 - 2018,,,,,,,"3,100.00","81,560.00",26.31,,,,,,
,,2018 - 2019,,,,,,,"3,500.00","92,050.00",26.3,,,,,,
,,2019 - 2020,,,,,,,"3,900.00","99,400.00",25.49,,,,,,
,,2021 - 2022,,,,,,,852,"11,076.00",13,,,,,,
,22. Yamunanagar,2000 - 2001,,,,,,,"1,035.00","16,200.00",15.65,,,,,,
,,2001 - 2002,,,,,,,"1,031.00","21,900.00",21.24,,,,,,
,,2002 - 2003,,,,,,,"1,051.00","22,400.00",21.31,,,,,,
,,2003 - 2004,,,,,,,"1,319.00","28,100.00",21.3,,,,,,
,,2004 - 2005,,,,,,,"1,279.00","27,200.00",21.27,,,,,,
,,2005 - 2006,,,,,,,"1,786.00","37,900.00",21.22,,,,,,
,,2006 - 2007,,,,,,,"1,560.00","33,200.00",21.28,,,,,,
,,2007 - 2008,,,,,,,256,"5,200.00",20.31,,,,,,
,,2008 - 2009,,,,,,,776,"15,000.00",19.33,,,,,,
,,2009 - 2010,,,,,,,"1,151.00","28,400.00",24.67,,,,,,
,,2010 - 2011,,,,,,,"1,200.00","28,300.00",23.58,,,,,,
,,2011 - 2012,,,,,,,540,"8,100.00",15,,,,,,
,,2012 - 2013,,,,,,,937,"21,000.00",22.41,,,,,,
,,2013 - 2014,,,,,,,"5,300.00","1,20,340.00",22.71,,,,,,
,,2014 - 2015,,,,,,,"5,400.00","1,36,723.00",25.32,,,,,,
,,2015 - 2016,,,,,,,"5,900.00","1,50,550.00",25.52,,,,,,
,,2016 - 2017,,,,,,,"5,680.00","1,18,590.00",20.88,,,,,,
,,2017 - 2018,,,,,,,"6,000.00","1,48,110.00",24.69,,,,,,
,,2018 - 2019,,,,,,,"6,800.00","1,45,571.00",21.41,,,,,,
,,2019 - 2020,,,,,,,"5,800.00","1,44,100.00",24.84,,,,,,
,,2021 - 2022,,,,,,,"1,309.00","24,871.00",19,,,,,,
10. Himachal Pradesh,1. Bilaspur,2001 - 2002,,,,,,,9,70,7.78,,,,,,
,,2002 - 2003,,,,,,,13,130,10,,,,,,
,,2003 - 2004,,,,,,,24,277,11.54,,,,,,
,,2004 - 2005,,,,,,,19,189,9.95,,,,,,
,,2005 - 2006,,,,,,,24,69,2.88,,,,,,
,,2006 - 2007,,,,,,,35,151,4.31,,,,,,
,,2007 - 2008,31,269,8.68,,,,,,,,,,,,
,,2008 - 2009,,,,12,5,0.42,,,,,,,,,
,,2009 - 2010,,,,9,3,0.33,,,,,,,,,
,,2010 - 2011,,,,10,18,1.8,,,,,,,,,
,,2011 - 2012,,,,5,4,0.8,,,,,,,,,
,,2012 - 2013,,,,11,19,1.73,,,,,,,,,
,,2013 - 2014,,,,16,24,1.5,,,,,,,,,
,,2014 - 2015,,,,21,29,1.38,,,,,,,,,
,,2015 - 2016,,,,10,13,1.3,,,,,,,,,
,,2016 - 2017,,,,8,3,0.38,,,,,,,,,
,,2017 - 2018,,,,8,19,2.38,,,,,,,,,
,,2018 - 2019,,,,16,38,2.38,,,,,,,,,
,,2019 - 2020,,,,18,145,8.06,,,,,,,,,
,,2020 - 2021,,,,14,61,4.36,,,,,,,,,
,,2021 - 2022,7,31,4.43,8,35,4.38,,,,,,,,,
,2. Chamba,2001 - 2002,,,,,,,604,"6,276.00",10.39,,,,,,
,,2002 - 2003,,,,,,,680,"6,577.00",9.67,,,,,,
,,2003 - 2004,,,,,,,684,"7,726.00",11.3,,,,,,
,,2004 - 2005,,,,,,,680,"7,887.00",11.6,,,,,,
,,2005 - 2006,,,,,,,688,"4,891.00",7.11,,,,,,
,,2006 - 2007,,,,,,,723,"6,602.00",9.13,,,,,,
,,2007 - 2008,715,"7,371.00",10.31,,,,,,,,,,,,
,,2008 - 2009,433,"3,136.00",7.24,107,576,5.38,,,,,,,,,
,,2009 - 2010,83,435,5.24,380,"2,888.00",7.6,,,,,,,,,
,,2010 - 2011,81,432,5.33,374,"2,680.00",7.17,,,,,,,,,
,,2011 - 2012,79,400,5.06,376,"2,892.00",7.69,,,,,,,,,
,,2012 - 2013,88,427,4.85,371,"2,804.00",7.56,,,,,,,,,
,,2013 - 2014,88,411,4.67,384,"2,855.00",7.43,,,,,,,,,
,,2014 - 2015,98,428,4.37,389,"2,801.00",7.2,,,,,,,,,
,,2015 - 2016,88,457,5.19,384,"2,898.00",7.55,,,,,,,,,
,,2016 - 2017,80,428,5.35,374,"2,870.00",7.67,,,,,,,,,
,,2017 - 2018,80,433,5.41,374,"2,970.00",7.94,,,,,,,,,
,,2018 - 2019,270,"1,460.00",5.41,562,"4,462.00",7.94,,,,,,,,,
,,2019 - 2020,268,"1,450.00",5.41,566,"4,596.00",8.12,,,,,,,,,
,,2020 - 2021,705,"6,165.00",8.74,248,"2,169.00",8.75,,,,,,,,,
,,2021 - 2022,497,"4,346.00",8.74,298,"2,606.00",8.74,,,,,,,,,
,3. Hamirpur,2001 - 2002,,,,,,,11,86,7.82,,,,,,
,,2002 - 2003,,,,,,,8,80,10,,,,,,
,,2003 - 2004,,,,,,,7,81,11.57,,,,,,
,,2004 - 2005,,,,,,,4,40,10,,,,,,
,,2005 - 2006,,,,,,,9,20,2.22,,,,,,
,,2006 - 2007,,,,,,,2,20,10,,,,,,
,,2007 - 2008,6,52,8.67,,,,,,,,,,,,
,,2008 - 2009,,,,1,2,2,,,,,,,,,
,,2009 - 2010,,,,3,2,0.67,,,,,,,,,
,,2010 - 2011,,,,5,9,1.8,,,,,,,,,
,,2011 - 2012,,,,7,17,2.43,,,,,,,,,
,,2012 - 2013,,,,19,28,1.47,,,,,,,,,
,,2013 - 2014,,,,11,14,1.27,,,,,,,,,
,,2014 - 2015,,,,24,38,1.58,,,,,,,,,
,,2015 - 2016,,,,11,16,1.45,,,,,,,,,
,,2016 - 2017,,,,1,1,1,,,,,,,,,
,,2017 - 2018,,,,7,11,1.57,,,,,,,,,
,,2018 - 2019,,,,3,4,1.33,,,,,,,,,
,,2019 - 2020,,,,3,23,7.67,,,,,,,,,
,,2020 - 2021,1,4,4,3,13,4.33,,,,,,,,,
,,2021 - 2022,1,4,4,3,13,4.33,,,,,,,,,
,4. Kangra,2001 - 2002,,,,,,,"1,566.00","12,182.00",7.78,,,,,,
,,2002 - 2003,,,,,,,"1,584.00","15,322.00",9.67,,,,,,
,,2003 - 2004,,,,,,,"1,503.00","19,875.00",13.22,,,,,,
,,2004 - 2005,,,,,,,"1,640.00","20,866.00",12.72,,,,,,
,,2005 - 2006,,,,,,,"1,556.00","4,053.00",2.6,,,,,,
,,2006 - 2007,,,,,,,"1,427.00","10,973.00",7.69,,,,,,
,,2007 - 2008,"1,630.00","12,850.00",7.88,,,,,,,,,,,,
,,2008 - 2009,231,"2,669.00",11.55,"1,400.00","12,819.00",9.16,,,,,,,,,
,,2009 - 2010,181,"2,444.00",13.5,"1,128.00","10,797.00",9.57,,,,,,,,,
,,2010 - 2011,187,"2,470.00",13.21,"1,162.00","10,700.00",9.21,,,,,,,,,
,,2011 - 2012,187,"2,409.00",12.88,"1,132.00","10,800.00",9.54,,,,,,,,,
,,2012 - 2013,172,"2,421.00",14.08,"1,136.00","10,740.00",9.45,,,,,,,,,
,,2013 - 2014,192,"2,424.00",12.63,"1,106.00","10,977.00",9.92,,,,,,,,,
,,2014 - 2015,184,"2,575.00",13.99,"1,136.00","10,797.00",9.5,,,,,,,,,
,,2015 - 2016,181,"2,151.00",11.88,"1,109.00","10,651.00",9.6,,,,,,,,,
,,2016 - 2017,177,"2,405.00",13.59,"1,126.00","10,797.00",9.59,,,,,,,,,
,,2017 - 2018,177,"2,207.00",12.47,"1,126.00","10,890.00",9.67,,,,,,,,,
,,2018 - 2019,996,"9,631.00",9.67,153,"1,907.00",12.46,,,,,,,,,
,,2019 - 2020,998,"9,651.00",9.67,158,"2,128.00",13.47,,,,,,,,,
,,2020 - 2021,158,755,4.78,"1,007.00","8,712.00",8.65,,,,,,,,,
,,2021 - 2022,111,605,5.45,982,"8,491.00",8.65,,,,,,,,,
,5. Kinnaur,2001 - 2002,,,,,,,199,"1,000.00",5.03,,,,,,
,,2002 - 2003,,,,,,,239,"1,579.00",6.61,,,,,,
,,2003 - 2004,,,,,,,169,"1,328.00",7.86,,,,,,
,,2004 - 2005,,,,,,,183,"2,005.00",10.96,,,,,,
,,2005 - 2006,,,,,,,134,"1,077.00",8.04,,,,,,
,,2006 - 2007,,,,,,,143,"1,245.00",8.71,,,,,,
,,2007 - 2008,156,"1,375.00",8.81,,,,,,,,,,,,
,,2008 - 2009,135,983,7.28,,,,,,,,,,,,
,,2009 - 2010,97,755,7.78,,,,,,,,,,,,
,,2010 - 2011,94,745,7.93,,,,,,,,,,,,
,,2011 - 2012,119,755,6.34,,,,,,,,,,,,
,,2012 - 2013,115,751,6.53,,,,,,,,,,,,
,,2013 - 2014,96,725,7.55,,,,,,,,,,,,
,,2014 - 2015,119,754,6.34,,,,,,,,,,,,
,,2015 - 2016,99,755,7.63,,,,,,,,,,,,
,,2016 - 2017,99,755,7.63,,,,,,,,,,,,
,,2017 - 2018,99,765,7.73,,,,,,,,,,,,
,,2018 - 2019,,,,126,973,7.72,,,,,,,,,
,,2019 - 2020,,,,135,"1,179.00",8.73,,,,,,,,,
,,2020 - 2021,85,681,8.01,,,,,,,,,,,,
,,2021 - 2022,64,513,8.02,,,,,,,,,,,,
,6. Kullu,2001 - 2002,,,,,,,"1,023.00","8,113.00",7.93,,,,,,
,,2002 - 2003,,,,,,,"1,349.00","11,124.00",8.25,,,,,,
,,2003 - 2004,,,,,,,"1,453.00","12,603.00",8.67,,,,,,
,,2004 - 2005,,,,,,,"1,293.00","7,349.00",5.68,,,,,,
,,2005 - 2006,,,,,,,"1,300.00","6,535.00",5.03,,,,,,
,,2006 - 2007,,,,,,,"1,290.00","7,303.00",5.66,,,,,,
,,2007 - 2008,"1,304.00","10,964.00",8.41,,,,,,,,,,,,
,,2008 - 2009,549,"11,369.00",20.71,464,"3,457.00",7.45,,,,,,,,,
,,2009 - 2010,417,"9,444.00",22.65,365,"3,134.00",8.59,,,,,,,,,
,,2010 - 2011,401,"9,087.00",22.66,362,"3,111.00",8.59,,,,,,,,,
,,2011 - 2012,409,"9,455.00",23.12,378,"3,331.00",8.81,,,,,,,,,
,,2012 - 2013,400,"9,485.00",23.71,350,"3,261.00",9.32,,,,,,,,,
,,2013 - 2014,421,"9,421.00",22.38,356,"3,121.00",8.77,,,,,,,,,
,,2014 - 2015,425,"9,587.00",22.56,352,"3,134.00",8.9,,,,,,,,,
,,2015 - 2016,421,"6,405.00",15.21,360,"3,100.00",8.61,,,,,,,,,
,,2016 - 2017,411,"9,487.00",23.08,365,"3,134.00",8.59,,,,,,,,,
,,2017 - 2018,411,"8,459.00",20.58,365,"3,134.00",8.59,,,,,,,,,
,,2018 - 2019,408,"3,504.00",8.59,652,"13,418.00",20.58,,,,,,,,,
,,2019 - 2020,416,"3,573.00",8.59,672,"9,798.00",14.58,,,,,,,,,
,,2020 - 2021,303,"3,693.00",12.19,358,"4,364.00",12.19,,,,,,,,,
,,2021 - 2022,507,"6,180.00",12.19,362,"4,412.00",12.19,,,,,,,,,
,7. Lahul and spiti,2001 - 2002,,,,,,,813,"11,738.00",14.44,,,,,,
,,2002 - 2003,,,,,,,813,"11,136.00",13.7,,,,,,
,,2003 - 2004,,,,,,,807,"12,745.00",15.79,,,,,,
,,2004 - 2005,,,,,,,759,"10,385.00",13.68,,,,,,
,,2005 - 2006,,,,,,,759,"13,579.00",17.89,,,,,,
