State,District,Year,Potato,,,,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Winter,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2019 - 2020,,,,,,,434,"3,180.00",7.33,,,,,,
,,2020 - 2021,,,,,,,434,"3,187.00",7.34,,,,,,
,,2021 - 2022,,,,,,,444,"3,359.00",7.57,,,,,,
,,2022 - 2023,,,,,,,451,"3,414.00",7.57,,,,,,
,13. Lower siang,2018 - 2019,,,,,,,439,"2,936.00",6.69,,,,,,
,,2019 - 2020,,,,,,,396,"2,650.00",6.69,,,,,,
,,2020 - 2021,,,,,,,396,"2,657.00",6.71,,,,,,
,,2021 - 2022,,,,,,,404,"2,711.00",6.71,,,,,,
,,2022 - 2023,,,,,,,413,"2,773.00",6.71,,,,,,
,14. Lower subansiri,2000 - 2001,,,,,,,775,"5,270.00",6.8,,,,,,
,,2001 - 2002,,,,,,,170,"1,450.00",8.53,,,,,,
,,2002 - 2003,,,,,,,550,"3,898.00",7.09,,,,,,
,,2003 - 2004,,,,,,,254,"2,537.00",9.99,,,,,,
,,2004 - 2005,,,,,,,186,"1,509.00",8.11,,,,,,
,,2005 - 2006,,,,,,,347,"3,517.00",10.14,,,,,,
,,2006 - 2007,,,,,,,354,"3,587.00",10.13,,,,,,
,,2007 - 2008,,,,,,,356,"3,863.00",10.85,,,,,,
,,2008 - 2009,,,,,,,374,"4,056.00",10.84,,,,,,
,,2009 - 2010,,,,,,,389,"4,218.00",10.84,,,,,,
,,2010 - 2011,,,,,,,313,"2,821.00",9.01,,,,,,
,,2011 - 2012,,,,,,,332,"3,149.00",9.48,,,,,,
,,2012 - 2013,,,,,,,333,"3,159.00",9.49,,,,,,
,,2013 - 2014,,,,,,,335,"3,183.00",9.5,,,,,,
,,2014 - 2015,,,,,,,344,"3,262.00",9.48,,,,,,
,,2015 - 2016,,,,,,,384,"3,372.00",8.78,,,,,,
,,2016 - 2017,,,,,,,384,"3,092.00",8.05,,,,,,
,,2017 - 2018,,,,,,,389,"3,144.00",8.08,,,,,,
,,2018 - 2019,,,,,,,265,"2,139.00",8.07,,,,,,
,,2019 - 2020,,,,,,,266,"2,147.00",8.07,,,,,,
,,2020 - 2021,,,,,,,266,"2,154.00",8.1,,,,,,
,,2021 - 2022,,,,,,,272,"2,200.00",8.09,,,,,,
,,2022 - 2023,,,,,,,279,"2,257.00",8.09,,,,,,
,15. Namsai,2014 - 2015,,,,,,,119,794,6.67,,,,,,
,,2015 - 2016,,,,,,,563,"5,016.00",8.91,,,,,,
,,2016 - 2017,,,,,,,566,"4,693.00",8.29,,,,,,
,,2017 - 2018,,,,,,,571,"4,745.00",8.31,,,,,,
,,2018 - 2019,,,,,,,575,"4,777.00",8.31,,,,,,
