State,District,Year,Masoor,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2010 - 2011,16,7,0.44,,,,,,,,,
,,2014 - 2015,20,13,0.65,,,,,,,,,
,,2016 - 2017,50,33,0.66,,,,,,,,,
,,2017 - 2018,10,4,0.4,,,,,,,,,
,,2018 - 2019,32,22,0.69,,,,,,,,,
,,2019 - 2020,35,21,0.6,,,,,,,,,
,,2020 - 2021,220,154,0.7,,,,,,,,,
,,2021 - 2022,195,146,0.75,,,,,,,,,
,,2022 - 2023,180,162,0.9,,,,,,,,,
,22. Kokrajhar,2001 - 2002,825,402,0.49,,,,,,,,,
,,2002 - 2003,813,398,0.49,,,,,,,,,
,,2003 - 2004,760,370,0.49,,,,,,,,,
,,2004 - 2005,826,403,0.49,,,,,,,,,
,,2005 - 2006,806,394,0.49,,,,,,,,,
,,2006 - 2007,828,402,0.49,,,,,,,,,
,,2007 - 2008,782,381,0.49,,,,,,,,,
,,2008 - 2009,543,265,0.49,,,,,,,,,
,,2009 - 2010,691,333,0.48,,,,,,,,,
,,2010 - 2011,"1,165.00",564,0.48,,,,,,,,,
,,2011 - 2012,"1,235.00",639,0.52,,,,,,,,,
,,2012 - 2013,"1,183.00",675,0.57,,,,,,,,,
,,2013 - 2014,"1,323.00",772,0.58,,,,,,,,,
,,2014 - 2015,"1,325.00","1,001.00",0.76,,,,,,,,,
,,2015 - 2016,"1,384.00",961,0.69,,,,,,,,,
,,2016 - 2017,"1,079.00",622,0.58,,,,,,,,,
,,2017 - 2018,560,325,0.58,,,,,,,,,
,,2018 - 2019,530,307,0.58,,,,,,,,,
,,2019 - 2020,470,274,0.58,,,,,,,,,
,,2020 - 2021,495,287,0.58,,,,,,,,,
,,2021 - 2022,610,417,0.68,,,,,,,,,
,,2022 - 2023,634,710,1.12,,,,,,,,,
,23. Lakhimpur,2001 - 2002,408,188,0.46,,,,,,,,,
,,2002 - 2003,179,82,0.46,,,,,,,,,
,,2003 - 2004,187,86,0.46,,,,,,,,,
,,2004 - 2005,185,85,0.46,,,,,,,,,
,,2005 - 2006,105,48,0.46,,,,,,,,,
,,2006 - 2007,348,160,0.46,,,,,,,,,
,,2007 - 2008,"1,556.00",715,0.46,,,,,,,,,
,,2008 - 2009,"1,282.00",590,0.46,,,,,,,,,
,,2009 - 2010,"1,324.00",609,0.46,,,,,,,,,
,,2010 - 2011,"1,222.00",563,0.46,,,,,,,,,
,,2011 - 2012,153,78,0.51,,,,,,,,,
,,2012 - 2013,515,286,0.56,,,,,,,,,
,,2013 - 2014,200,111,0.56,,,,,,,,,
,,2014 - 2015,348,348,1,,,,,,,,,
,,2015 - 2016,345,322,0.93,,,,,,,,,
,,2016 - 2017,680,629,0.93,,,,,,,,,
,,2017 - 2018,940,828,0.88,,,,,,,,,
,,2018 - 2019,915,755,0.83,,,,,,,,,
,,2019 - 2020,855,775,0.91,,,,,,,,,
,,2020 - 2021,832,752,0.9,,,,,,,,,
,,2021 - 2022,846,779,0.92,,,,,,,,,
,,2022 - 2023,710,608,0.86,,,,,,,,,
,24. Majuli,2020 - 2021,240,190,0.79,,,,,,,,,
,,2021 - 2022,190,150,0.79,,,,,,,,,
,,2022 - 2023,190,112,0.59,,,,,,,,,
,25. Marigaon,2001 - 2002,430,295,0.69,,,,,,,,,
,,2002 - 2003,500,345,0.69,,,,,,,,,
,,2003 - 2004,"1,000.00",680,0.68,,,,,,,,,
,,2004 - 2005,"1,000.00",685,0.69,,,,,,,,,
,,2005 - 2006,673,461,0.68,,,,,,,,,
,,2006 - 2007,588,402,0.68,,,,,,,,,
,,2007 - 2008,550,376,0.68,,,,,,,,,
,,2008 - 2009,555,380,0.68,,,,,,,,,
,,2009 - 2010,568,389,0.68,,,,,,,,,
,,2010 - 2011,593,406,0.68,,,,,,,,,
,,2011 - 2012,660,414,0.63,,,,,,,,,
,,2012 - 2013,627,478,0.76,,,,,,,,,
,,2013 - 2014,680,543,0.8,,,,,,,,,
,,2014 - 2015,597,602,1.01,,,,,,,,,
,,2015 - 2016,525,402,0.77,,,,,,,,,
,,2016 - 2017,546,412,0.75,,,,,,,,,
,,2017 - 2018,556,428,0.77,,,,,,,,,
,,2018 - 2019,536,405,0.76,,,,,,,,,
,,2019 - 2020,786,668,0.85,,,,,,,,,
,,2020 - 2021,784,666,0.85,,,,,,,,,
,,2021 - 2022,848,721,0.85,,,,,,,,,
,,2022 - 2023,"1,413.00","1,413.00",1,,,,,,,,,
,26. Nagaon,2001 - 2002,"1,434.00",513,0.36,,,,,,,,,
,,2002 - 2003,"1,709.00",607,0.36,,,,,,,,,
,,2003 - 2004,"1,204.00",431,0.36,,,,,,,,,
,,2004 - 2005,"1,433.00",513,0.36,,,,,,,,,
,,2005 - 2006,"1,417.00",509,0.36,,,,,,,,,
,,2006 - 2007,"1,900.00",680,0.36,,,,,,,,,
,,2007 - 2008,"1,682.00",603,0.36,,,,,,,,,
,,2008 - 2009,"1,160.00",416,0.36,,,,,,,,,
,,2009 - 2010,"1,583.00",568,0.36,,,,,,,,,
,,2010 - 2011,"1,370.00",490,0.36,,,,,,,,,
,,2011 - 2012,"1,063.00",442,0.42,,,,,,,,,
,,2012 - 2013,"1,288.00",599,0.47,,,,,,,,,
,,2013 - 2014,"1,260.00",583,0.46,,,,,,,,,
,,2014 - 2015,"1,012.00",621,0.61,,,,,,,,,
,,2015 - 2016,889,615,0.69,,,,,,,,,
,,2016 - 2017,795,550,0.69,,,,,,,,,
,,2017 - 2018,899,574,0.64,,,,,,,,,
,,2018 - 2019,828,593,0.72,,,,,,,,,
,,2019 - 2020,783,498,0.64,,,,,,,,,
,,2020 - 2021,687,442,0.64,,,,,,,,,
,,2021 - 2022,699,450,0.64,,,,,,,,,
,,2022 - 2023,803,518,0.65,,,,,,,,,
,27. Nalbari,2001 - 2002,"2,940.00","1,529.00",0.52,,,,,,,,,
,,2002 - 2003,"2,900.00","1,508.00",0.52,,,,,,,,,
,,2003 - 2004,"2,900.00","1,508.00",0.52,,,,,,,,,
,,2004 - 2005,"2,950.00","1,534.00",0.52,,,,,,,,,
,,2005 - 2006,"1,585.00",824,0.52,,,,,,,,,
,,2006 - 2007,"1,048.00",545,0.52,,,,,,,,,
,,2007 - 2008,"1,052.00",113,0.11,,,,,,,,,
,,2008 - 2009,"1,000.00",450,0.45,,,,,,,,,
,,2009 - 2010,960,345,0.36,,,,,,,,,
,,2010 - 2011,960,289,0.3,,,,,,,,,
,,2011 - 2012,960,437,0.46,,,,,,,,,
,,2012 - 2013,"4,000.00","2,028.00",0.51,,,,,,,,,
,,2013 - 2014,"4,150.00","2,154.00",0.52,,,,,,,,,
,,2014 - 2015,"3,825.00","2,567.00",0.67,,,,,,,,,
,,2015 - 2016,"1,410.00",725,0.51,,,,,,,,,
,,2016 - 2017,455,341,0.75,,,,,,,,,
,,2017 - 2018,"1,897.00","1,447.00",0.76,,,,,,,,,
,,2018 - 2019,"1,644.00","1,233.00",0.75,,,,,,,,,
,,2019 - 2020,887,639,0.72,,,,,,,,,
,,2020 - 2021,634,463,0.73,,,,,,,,,
,,2021 - 2022,730,509,0.7,,,,,,,,,
,,2022 - 2023,705,488,0.69,,,,,,,,,
,28. Sivasagar,2001 - 2002,268,111,0.41,,,,,,,,,
,,2002 - 2003,25,11,0.44,,,,,,,,,
,,2003 - 2004,78,28,0.36,,,,,,,,,
,,2004 - 2005,14,6,0.43,,,,,,,,,
,,2005 - 2006,7,3,0.43,,,,,,,,,
,,2006 - 2007,74,27,0.36,,,,,,,,,
,,2007 - 2008,19,7,0.37,,,,,,,,,
,,2008 - 2009,7,4,0.57,,,,,,,,,
,,2009 - 2010,42,18,0.43,,,,,,,,,
,,2010 - 2011,22,9,0.41,,,,,,,,,
,,2011 - 2012,7,4,0.57,,,,,,,,,
,,2012 - 2013,7,3,0.43,,,,,,,,,
,,2013 - 2014,37,18,0.49,,,,,,,,,
,,2014 - 2015,57,36,0.63,,,,,,,,,
,,2015 - 2016,40,31,0.78,,,,,,,,,
,,2016 - 2017,203,141,0.69,,,,,,,,,
,,2017 - 2018,249,186,0.75,,,,,,,,,
,,2018 - 2019,184,136,0.74,,,,,,,,,
,,2019 - 2020,196,146,0.74,,,,,,,,,
,,2020 - 2021,178,117,0.66,,,,,,,,,
,,2021 - 2022,115,75,0.65,,,,,,,,,
,,2022 - 2023,3,2,0.67,,,,,,,,,
,29. Sonitpur,2001 - 2002,"1,143.00",599,0.52,,,,,,,,,
,,2002 - 2003,940,506,0.54,,,,,,,,,
,,2003 - 2004,"1,428.00",751,0.53,,,,,,,,,
,,2004 - 2005,"1,200.00",636,0.53,,,,,,,,,
,,2005 - 2006,"1,009.00",546,0.54,,,,,,,,,
,,2006 - 2007,"1,118.00",601,0.54,,,,,,,,,
,,2007 - 2008,756,411,0.54,,,,,,,,,
,,2008 - 2009,981,524,0.53,,,,,,,,,
,,2009 - 2010,"1,049.00",559,0.53,,,,,,,,,
,,2010 - 2011,958,514,0.54,,,,,,,,,
,,2011 - 2012,"1,059.00",583,0.55,,,,,,,,,
,,2012 - 2013,"1,280.00",779,0.61,,,,,,,,,
,,2013 - 2014,"2,368.00","1,461.00",0.62,,,,,,,,,
,,2014 - 2015,"2,251.00","1,821.00",0.81,,,,,,,,,
,,2015 - 2016,"2,171.00","1,748.00",0.81,,,,,,,,,
,,2016 - 2017,"1,673.00","1,375.00",0.82,,,,,,,,,
,,2017 - 2018,"1,878.00","1,678.00",0.89,,,,,,,,,
,,2018 - 2019,"1,814.00","1,560.00",0.86,,,,,,,,,
,,2019 - 2020,"1,985.00","1,857.00",0.94,,,,,,,,,
,,2020 - 2021,"1,368.00","1,192.00",0.87,,,,,,,,,
,,2021 - 2022,"1,234.00","1,030.00",0.83,,,,,,,,,
,,2022 - 2023,"1,238.00","1,034.00",0.84,,,,,,,,,
,30. South salmara mancachar,2020 - 2021,220,201,0.91,,,,,,,,,
,,2021 - 2022,220,201,0.91,,,,,,,,,
,,2022 - 2023,225,203,0.9,,,,,,,,,
,31. Tinsukia,2001 - 2002,292,120,0.41,,,,,,,,,
,,2002 - 2003,58,26,0.45,,,,,,,,,
,,2003 - 2004,96,40,0.42,,,,,,,,,
,,2004 - 2005,62,23,0.37,,,,,,,,,
,,2005 - 2006,28,10,0.36,,,,,,,,,
,,2006 - 2007,20,7,0.35,,,,,,,,,
,,2007 - 2008,94,37,0.39,,,,,,,,,
,,2008 - 2009,25,11,0.44,,,,,,,,,
,,2009 - 2010,79,32,0.41,,,,,,,,,
,,2010 - 2011,19,9,0.47,,,,,,,,,
,,2011 - 2012,30,16,0.53,,,,,,,,,
,,2012 - 2013,34,18,0.53,,,,,,,,,
,,2013 - 2014,3,1,0.33,,,,,,,,,
,,2014 - 2015,19,14,0.74,,,,,,,,,
,,2015 - 2016,13,7,0.54,,,,,,,,,
,,2016 - 2017,14,8,0.57,,,,,,,,,
,,2017 - 2018,15,9,0.6,,,,,,,,,
,,2018 - 2019,17,10,0.59,,,,,,,,,
,,2019 - 2020,19,12,0.63,,,,,,,,,
,,2020 - 2021,16,10,0.63,,,,,,,,,
,,2021 - 2022,11,7,0.64,,,,,,,,,
,,2022 - 2023,26,15,0.58,,,,,,,,,
,32. Udalguri,2005 - 2006,409,268,0.66,,,,,,,,,
,,2006 - 2007,700,449,0.64,,,,,,,,,
,,2007 - 2008,825,540,0.65,,,,,,,,,
,,2008 - 2009,820,500,0.61,,,,,,,,,
,,2009 - 2010,750,476,0.63,,,,,,,,,
,,2010 - 2011,658,417,0.63,,,,,,,,,
,,2011 - 2012,240,142,0.59,,,,,,,,,
,,2012 - 2013,620,437,0.7,,,,,,,,,
,,2013 - 2014,738,545,0.74,,,,,,,,,
,,2014 - 2015,738,689,0.93,,,,,,,,,
,,2015 - 2016,740,444,0.6,,,,,,,,,
,,2016 - 2017,370,226,0.61,,,,,,,,,
,,2017 - 2018,616,525,0.85,,,,,,,,,
,,2018 - 2019,661,549,0.83,,,,,,,,,
,,2019 - 2020,342,277,0.81,,,,,,,,,
,,2020 - 2021,325,250,0.77,,,,,,,,,
,,2021 - 2022,325,257,0.79,,,,,,,,,
,,2022 - 2023,312,258,0.83,,,,,,,,,
,33. West karbi anglong,2020 - 2021,82,44,0.54,,,,,,,,,
,,2021 - 2022,82,50,0.61,,,,,,,,,
,,2022 - 2023,435,269,0.62,,,,,,,,,
3. Bihar,1. Araria,2000 - 2001,"2,551.00","2,247.00",0.88,,,,,,,,,
,,2001 - 2002,"2,957.00","1,434.00",0.48,,,,,,,,,
,,2002 - 2003,"2,956.00","2,046.00",0.69,,,,,,,,,
,,2003 - 2004,285,103,0.36,,,,,,,,,
,,2004 - 2005,"2,832.00","1,495.00",0.53,,,,,,,,,
,,2005 - 2006,"2,470.00","1,228.00",0.5,,,,,,,,,
,,2006 - 2007,"2,828.00","1,326.00",0.47,,,,,,,,,
,,2007 - 2008,"2,745.00","1,342.00",0.49,,,,,,,,,
,,2008 - 2009,"3,204.00","2,124.00",0.66,,,,,,,,,
,,2009 - 2010,"2,129.00","1,169.00",0.55,,,,,,,,,
,,2010 - 2011,"2,385.00","1,729.00",0.72,,,,,,,,,
,,2011 - 2012,"2,458.00","4,557.00",1.85,,,,,,,,,
,,2012 - 2013,"2,458.00","1,772.00",0.72,,,,,,,,,
,,2013 - 2014,"1,322.00","1,186.00",0.9,,,,,,,,,
,,2014 - 2015,7,3,0.43,,,,,,,,,
,,2015 - 2016,19,16,0.84,,,,,,,,,
,,2016 - 2017,441,274,0.62,,,,,,,,,
,,2017 - 2018,20,7,0.35,,,,,,,,,
,,2018 - 2019,18,14,0.78,,,,,,,,,
,,2019 - 2020,6,5,0.83,,,,,,,,,
,,2020 - 2021,4,3,0.75,,,,,,,,,
,,2021 - 2022,3,2,0.67,,,,,,,,,
,,2022 - 2023,110,120,1.09,,,,,,,,,
,2. Arwal,2003 - 2004,"3,043.00","2,468.00",0.81,,,,,,,,,
,,2004 - 2005,"3,090.00","1,934.00",0.63,,,,,,,,,
,,2005 - 2006,"2,185.00","1,623.00",0.74,,,,,,,,,
,,2007 - 2008,"2,814.00","2,445.00",0.87,,,,,,,,,
,,2008 - 2009,"2,673.00","2,213.00",0.83,,,,,,,,,
,,2009 - 2010,"2,755.00","2,777.00",1.01,,,,,,,,,
,,2010 - 2011,"2,158.00","1,213.00",0.56,,,,,,,,,
,,2011 - 2012,"2,241.00","1,887.00",0.84,,,,,,,,,
,,2012 - 2013,"2,241.00","2,465.00",1.1,,,,,,,,,
,,2013 - 2014,"2,212.00","1,962.00",0.89,,,,,,,,,
,,2014 - 2015,"3,624.00","3,196.00",0.88,,,,,,,,,
,,2015 - 2016,"4,100.00","3,313.00",0.81,,,,,,,,,
,,2016 - 2017,"3,965.00","3,156.00",0.8,,,,,,,,,
,,2017 - 2018,"3,649.00","2,580.00",0.71,,,,,,,,,
,,2018 - 2019,"2,299.00","1,966.00",0.86,,,,,,,,,
,,2019 - 2020,"3,601.00","2,139.00",0.59,,,,,,,,,
,,2020 - 2021,"2,091.00","2,141.00",1.02,,,,,,,,,
,,2021 - 2022,"2,114.00","2,055.00",0.97,,,,,,,,,
,,2022 - 2023,"2,148.00","1,699.00",0.79,,,,,,,,,
,3. Aurangabad,2000 - 2001,"15,477.00","15,291.00",0.99,,,,,,,,,
,,2001 - 2002,"15,494.00","13,464.00",0.87,,,,,,,,,
,,2002 - 2003,"12,720.00","10,405.00",0.82,,,,,,,,,
,,2003 - 2004,"14,759.00","12,693.00",0.86,,,,,,,,,
,,2004 - 2005,"12,719.00","8,216.00",0.65,,,,,,,,,
,,2005 - 2006,"10,780.00","5,627.00",0.52,,,,,,,,,
,,2006 - 2007,"14,345.00","12,451.00",0.87,,,,,,,,,
,,2007 - 2008,"14,082.00","11,322.00",0.8,,,,,,,,,
,,2008 - 2009,"14,082.00","8,125.00",0.58,,,,,,,,,
,,2009 - 2010,"16,277.00","11,329.00",0.7,,,,,,,,,
,,2010 - 2011,"14,073.00","14,495.00",1.03,,,,,,,,,
,,2011 - 2012,"17,237.00","17,030.00",0.99,,,,,,,,,
,,2012 - 2013,"16,311.00","15,495.00",0.95,,,,,,,,,
,,2013 - 2014,"15,502.00","11,192.00",0.72,,,,,,,,,
,,2014 - 2015,"13,612.00","9,474.00",0.7,,,,,,,,,
,,2015 - 2016,"13,423.00","10,336.00",0.77,,,,,,,,,
,,2016 - 2017,"13,090.00","11,467.00",0.88,,,,,,,,,
,,2017 - 2018,"13,119.00","10,928.00",0.83,,,,,,,,,
,,2018 - 2019,"24,402.00","18,887.00",0.77,,,,,,,,,
,,2019 - 2020,"26,179.00","8,639.00",0.33,,,,,,,,,
,,2020 - 2021,"22,955.00","10,651.00",0.46,,,,,,,,,
,,2021 - 2022,"22,253.00","14,398.00",0.65,,,,,,,,,
,,2022 - 2023,"22,742.00","11,166.00",0.49,,,,,,,,,
,4. Banka,2000 - 2001,"1,538.00","1,055.00",0.69,,,,,,,,,
,,2001 - 2002,"1,478.00","1,024.00",0.69,,,,,,,,,
,,2002 - 2003,"1,777.00",665,0.37,,,,,,,,,
,,2003 - 2004,"1,858.00","1,169.00",0.63,,,,,,,,,
,,2004 - 2005,"1,378.00",956,0.69,,,,,,,,,
,,2005 - 2006,"1,958.00","1,145.00",0.58,,,,,,,,,
,,2006 - 2007,"2,969.00","1,971.00",0.66,,,,,,,,,
,,2007 - 2008,"2,638.00","1,939.00",0.74,,,,,,,,,
,,2008 - 2009,"2,717.00","2,622.00",0.97,,,,,,,,,
,,2009 - 2010,"1,540.00",990,0.64,,,,,,,,,
,,2010 - 2011,"1,019.00",660,0.65,,,,,,,,,
,,2011 - 2012,"1,461.00","1,121.00",0.77,,,,,,,,,
,,2012 - 2013,"1,257.00","1,156.00",0.92,,,,,,,,,
,,2013 - 2014,"1,253.00","1,465.00",1.17,,,,,,,,,
,,2014 - 2015,"1,116.00",963,0.86,,,,,,,,,
,,2015 - 2016,"1,209.00",971,0.8,,,,,,,,,
,,2016 - 2017,"1,929.00","2,328.00",1.21,,,,,,,,,
,,2017 - 2018,"1,839.00","1,293.00",0.7,,,,,,,,,
,,2018 - 2019,"1,532.00",928,0.61,,,,,,,,,
,,2019 - 2020,"1,329.00","1,092.00",0.82,,,,,,,,,
,,2020 - 2021,"1,332.00",872,0.65,,,,,,,,,
,,2021 - 2022,"1,283.00",833,0.65,,,,,,,,,
,,2022 - 2023,"1,248.00",953,0.76,,,,,,,,,
,5. Begusarai,2000 - 2001,"1,063.00","1,124.00",1.06,,,,,,,,,
,,2001 - 2002,976,607,0.62,,,,,,,,,
,,2002 - 2003,882,432,0.49,,,,,,,,,
,,2003 - 2004,850,711,0.84,,,,,,,,,
,,2004 - 2005,795,684,0.86,,,,,,,,,
,,2005 - 2006,801,507,0.63,,,,,,,,,
,,2006 - 2007,818,658,0.8,,,,,,,,,
,,2007 - 2008,778,806,1.04,,,,,,,,,
,,2008 - 2009,492,385,0.78,,,,,,,,,
,,2009 - 2010,675,427,0.63,,,,,,,,,
,,2010 - 2011,740,625,0.84,,,,,,,,,
,,2011 - 2012,730,"1,112.00",1.52,,,,,,,,,
,,2012 - 2013,492,698,1.42,,,,,,,,,
,,2013 - 2014,741,"1,123.00",1.52,,,,,,,,,
,,2014 - 2015,740,424,0.57,,,,,,,,,
,,2015 - 2016,915,701,0.77,,,,,,,,,
,,2016 - 2017,664,541,0.81,,,,,,,,,
,,2017 - 2018,655,654,1,,,,,,,,,
,,2018 - 2019,638,665,1.04,,,,,,,,,
,,2019 - 2020,666,581,0.87,,,,,,,,,
,,2020 - 2021,623,565,0.91,,,,,,,,,
,,2021 - 2022,760,699,0.92,,,,,,,,,
,,2022 - 2023,723,834,1.15,,,,,,,,,
,6. Bhagalpur,2000 - 2001,"2,759.00","2,326.00",0.84,,,,,,,,,
,,2001 - 2002,"3,258.00","2,258.00",0.69,,,,,,,,,
,,2002 - 2003,"3,426.00","2,131.00",0.62,,,,,,,,,
,,2003 - 2004,"3,248.00","2,410.00",0.74,,,,,,,,,
,,2004 - 2005,"3,171.00","2,201.00",0.69,,,,,,,,,
,,2005 - 2006,"3,156.00","1,849.00",0.59,,,,,,,,,
,,2006 - 2007,"3,161.00","1,748.00",0.55,,,,,,,,,
,,2007 - 2008,"3,170.00","2,162.00",0.68,,,,,,,,,
,,2008 - 2009,"3,202.00","2,462.00",0.77,,,,,,,,,
,,2009 - 2010,"3,181.00","2,052.00",0.65,,,,,,,,,
,,2010 - 2011,"2,235.00","1,189.00",0.53,,,,,,,,,
,,2011 - 2012,"2,076.00","2,126.00",1.02,,,,,,,,,
,,2012 - 2013,"2,029.00","1,213.00",0.6,,,,,,,,,
,,2013 - 2014,"2,227.00","2,416.00",1.08,,,,,,,,,
,,2014 - 2015,"2,126.00",595,0.28,,,,,,,,,
,,2015 - 2016,"2,145.00","1,317.00",0.61,,,,,,,,,
,,2016 - 2017,"2,145.00","1,514.00",0.71,,,,,,,,,
,,2017 - 2018,"2,015.00","1,423.00",0.71,,,,,,,,,
,,2018 - 2019,"2,021.00","1,081.00",0.53,,,,,,,,,
,,2019 - 2020,"2,064.00","1,203.00",0.58,,,,,,,,,
,,2020 - 2021,"3,460.00","2,325.00",0.67,,,,,,,,,
,,2021 - 2022,"3,124.00","2,262.00",0.72,,,,,,,,,
,,2022 - 2023,"3,159.00","2,180.00",0.69,,,,,,,,,
,7. Bhojpur,2000 - 2001,"8,108.00","8,866.00",1.09,,,,,,,,,
,,2001 - 2002,"8,265.00","9,009.00",1.09,,,,,,,,,
,,2002 - 2003,"8,261.00","8,079.00",0.98,,,,,,,,,
,,2003 - 2004,"6,780.00","6,705.00",0.99,,,,,,,,,
,,2004 - 2005,"6,775.00","5,867.00",0.87,,,,,,,,,
,,2005 - 2006,"7,705.00","5,740.00",0.74,,,,,,,,,
,,2006 - 2007,"9,533.00","5,825.00",0.61,,,,,,,,,
,,2007 - 2008,"10,897.00","9,666.00",0.89,,,,,,,,,
,,2008 - 2009,"10,887.00","9,853.00",0.91,,,,,,,,,
,,2009 - 2010,"11,757.00","16,965.00",1.44,,,,,,,,,
,,2010 - 2011,"11,714.00","14,736.00",1.26,,,,,,,,,
,,2011 - 2012,"11,673.00","13,284.00",1.14,,,,,,,,,
,,2012 - 2013,"10,417.00","13,792.00",1.32,,,,,,,,,
,,2013 - 2014,"9,702.00","10,381.00",1.07,,,,,,,,,
,,2014 - 2015,"9,625.00","7,902.00",0.82,,,,,,,,,
,,2015 - 2016,"9,915.00","7,833.00",0.79,,,,,,,,,
,,2016 - 2017,"3,847.00","4,932.00",1.28,,,,,,,,,
,,2017 - 2018,"4,287.00","4,133.00",0.96,,,,,,,,,
,,2018 - 2019,"4,966.00","4,961.00",1,,,,,,,,,
,,2019 - 2020,"4,675.00","2,651.00",0.57,,,,,,,,,
,,2020 - 2021,"3,330.00","3,217.00",0.97,,,,,,,,,
,,2021 - 2022,"3,537.00","4,053.00",1.15,,,,,,,,,
,,2022 - 2023,"2,836.00","2,016.00",0.71,,,,,,,,,
,8. Buxar,2000 - 2001,"9,222.00","9,941.00",1.08,,,,,,,,,
,,2001 - 2002,"9,051.00","9,911.00",1.1,,,,,,,,,
,,2002 - 2003,"8,896.00","11,885.00",1.34,,,,,,,,,
,,2003 - 2004,"8,457.00","16,432.00",1.94,,,,,,,,,
,,2004 - 2005,"8,830.00","6,614.00",0.75,,,,,,,,,
,,2005 - 2006,"5,884.00","5,978.00",1.02,,,,,,,,,
,,2006 - 2007,"6,113.00","4,420.00",0.72,,,,,,,,,
,,2007 - 2008,"5,587.00","5,827.00",1.04,,,,,,,,,
,,2008 - 2009,"4,522.00","4,508.00",1,,,,,,,,,
,,2009 - 2010,"4,462.00","3,146.00",0.71,,,,,,,,,
,,2010 - 2011,"3,620.00","4,054.00",1.12,,,,,,,,,
,,2011 - 2012,"3,895.00","5,297.00",1.36,,,,,,,,,
,,2012 - 2013,"3,717.00","4,156.00",1.12,,,,,,,,,
,,2013 - 2014,"3,981.00","5,625.00",1.41,,,,,,,,,
,,2014 - 2015,"3,670.00","1,688.00",0.46,,,,,,,,,
,,2015 - 2016,"3,261.00","3,062.00",0.94,,,,,,,,,
,,2016 - 2017,"2,800.00","4,001.00",1.43,,,,,,,,,
,,2017 - 2018,"3,421.00","4,105.00",1.2,,,,,,,,,
,,2018 - 2019,"2,267.00","3,167.00",1.4,,,,,,,,,
,,2019 - 2020,"2,693.00","2,039.00",0.76,,,,,,,,,
,,2020 - 2021,"2,615.00","4,061.00",1.55,,,,,,,,,
,,2021 - 2022,"2,312.00","2,994.00",1.29,,,,,,,,,
,,2022 - 2023,"2,569.00","2,507.00",0.98,,,,,,,,,
,9. Darbhanga,2000 - 2001,"3,102.00","2,019.00",0.65,,,,,,,,,
,,2001 - 2002,"3,233.00","2,198.00",0.68,,,,,,,,,
,,2002 - 2003,"3,476.00","2,110.00",0.61,,,,,,,,,
,,2003 - 2004,"3,251.00","2,822.00",0.87,,,,,,,,,
,,2004 - 2005,"2,690.00","2,020.00",0.75,,,,,,,,,
,,2005 - 2006,"2,568.00","1,715.00",0.67,,,,,,,,,
,,2006 - 2007,"3,168.00","2,344.00",0.74,,,,,,,,,
,,2007 - 2008,"3,540.00","2,503.00",0.71,,,,,,,,,
,,2008 - 2009,"3,450.00","2,194.00",0.64,,,,,,,,,
,,2009 - 2010,"3,199.00","1,913.00",0.6,,,,,,,,,
,,2010 - 2011,"2,195.00","1,681.00",0.77,,,,,,,,,
,,2011 - 2012,"2,076.00","1,542.00",0.74,,,,,,,,,
,,2012 - 2013,"2,065.00","2,575.00",1.25,,,,,,,,,
,,2013 - 2014,"2,025.00","1,727.00",0.85,,,,,,,,,
,,2014 - 2015,"2,024.00","2,259.00",1.12,,,,,,,,,
,,2015 - 2016,"2,136.00","3,022.00",1.41,,,,,,,,,
,,2016 - 2017,"2,143.00","1,766.00",0.82,,,,,,,,,
,,2017 - 2018,"2,142.00","1,752.00",0.82,,,,,,,,,
,,2018 - 2019,"2,141.00","1,484.00",0.69,,,,,,,,,
,,2019 - 2020,"2,062.00","1,186.00",0.58,,,,,,,,,
,,2020 - 2021,"2,100.00","1,512.00",0.72,,,,,,,,,
,,2021 - 2022,"2,005.00","1,700.00",0.85,,,,,,,,,
,,2022 - 2023,"1,954.00","1,542.00",0.79,,,,,,,,,
,10. Gaya,2000 - 2001,"6,082.00","5,681.00",0.93,,,,,,,,,
,,2001 - 2002,"5,968.00","5,240.00",0.88,,,,,,,,,
,,2002 - 2003,"10,091.00","7,316.00",0.73,,,,,,,,,
,,2003 - 2004,"7,131.00","5,398.00",0.76,,,,,,,,,
,,2004 - 2005,"4,489.00","2,972.00",0.66,,,,,,,,,
,,2005 - 2006,"4,672.00","2,897.00",0.62,,,,,,,,,
,,2006 - 2007,"4,775.00","3,452.00",0.72,,,,,,,,,
,,2007 - 2008,"4,611.00","3,398.00",0.74,,,,,,,,,
,,2008 - 2009,"4,819.00","5,686.00",1.18,,,,,,,,,
,,2009 - 2010,"4,318.00","2,992.00",0.69,,,,,,,,,
,,2010 - 2011,"4,590.00","5,379.00",1.17,,,,,,,,,
,,2011 - 2012,"4,716.00","5,334.00",1.13,,,,,,,,,
,,2012 - 2013,"4,716.00","5,758.00",1.22,,,,,,,,,
,,2013 - 2014,"6,525.00","4,906.00",0.75,,,,,,,,,
,,2014 - 2015,"6,948.00","5,308.00",0.76,,,,,,,,,
