State,District,Year,Masoor,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2020 - 2021,284,204,0.72,,,,,,,,,
,,2021 - 2022,319,228,0.71,,,,,,,,,
,,2022 - 2023,292,209,0.72,,,,,,,,,
,15. Hailakandi,2009 - 2010,25,11,0.44,,,,,,,,,
,,2014 - 2015,10,5,0.5,,,,,,,,,
,,2019 - 2020,2,2,1,,,,,,,,,
,,2020 - 2021,3,2,0.67,,,,,,,,,
,,2021 - 2022,2,2,1,,,,,,,,,
,,2022 - 2023,2,1,0.5,,,,,,,,,
,16. Hojai,2020 - 2021,102,92,0.9,,,,,,,,,
,,2021 - 2022,102,92,0.9,,,,,,,,,
,,2022 - 2023,102,93,0.91,,,,,,,,,
,17. Jorhat,2001 - 2002,367,182,0.5,,,,,,,,,
,,2002 - 2003,240,118,0.49,,,,,,,,,
,,2003 - 2004,965,477,0.49,,,,,,,,,
,,2004 - 2005,315,156,0.5,,,,,,,,,
,,2005 - 2006,207,103,0.5,,,,,,,,,
,,2006 - 2007,422,209,0.5,,,,,,,,,
,,2007 - 2008,416,206,0.5,,,,,,,,,
,,2008 - 2009,108,53,0.49,,,,,,,,,
,,2009 - 2010,66,33,0.5,,,,,,,,,
,,2010 - 2011,76,37,0.49,,,,,,,,,
,,2011 - 2012,57,30,0.53,,,,,,,,,
,,2012 - 2013,175,101,0.58,,,,,,,,,
,,2013 - 2014,179,106,0.59,,,,,,,,,
,,2014 - 2015,185,142,0.77,,,,,,,,,
,,2015 - 2016,180,137,0.76,,,,,,,,,
,,2016 - 2017,509,401,0.79,,,,,,,,,
,,2017 - 2018,285,205,0.72,,,,,,,,,
,,2018 - 2019,510,350,0.69,,,,,,,,,
