State,District,Year,Sugarcane,,,,,,,,,,,,,,,,,
,,,Whole Year,,,Autumn,,,Kharif,,,Winter,,,Rabi,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2015 - 2016,"10,000.00","8,09,000.00",80.9,,,,,,,,,,,,,,,
,,2016 - 2017,"10,000.00","8,56,000.00",85.6,,,,,,,,,,,,,,,
,,2017 - 2018,"12,200.00","11,27,700.00",92.43,,,,,,,,,,,,,,,
,,2018 - 2019,"12,000.00","9,73,100.00",81.09,,,,,,,,,,,,,,,
,,2019 - 2020,"12,200.00","10,32,100.00",84.6,,,,,,,,,,,,,,,
,,2020 - 2021,"10,960.00","9,60,550.00",87.64,,,,,,,,,,,,,,,
,,2021 - 2022,"11,607.00","10,12,700.00",87.25,,,,,,,,,,,,,,,
,13. Mahendragarh,2000 - 2001,1,,0,,,,,,,,,,,,,,,
,,2001 - 2002,1,0,0,,,,,,,,,,,,,,,
,,2006 - 2007,1,,0,,,,,,,,,,,,,,,
,,2007 - 2008,2,,0,,,,,,,,,,,,,,,
,,2011 - 2012,1,,0,,,,,,,,,,,,,,,
,14. Mewat,2005 - 2006,671,"50,000.00",74.52,,,,,,,,,,,,,,,
,,2006 - 2007,811,"46,000.00",56.72,,,,,,,,,,,,,,,
,,2007 - 2008,849,"60,000.00",70.67,,,,,,,,,,,,,,,
,,2008 - 2009,48,,0,,,,,,,,,,,,,,,
,,2009 - 2010,83,,0,,,,,,,,,,,,,,,
,,2010 - 2011,162,,0,,,,,,,,,,,,,,,
,,2011 - 2012,710,"7,000.00",9.86,,,,,,,,,,,,,,,
,,2012 - 2013,836,"72,000.00",86.12,,,,,,,,,,,,,,,
,,2013 - 2014,"1,000.00","73,000.00",73,,,,,,,,,,,,,,,
,,2016 - 2017,200,"16,000.00",80,,,,,,,,,,,,,,,
,,2017 - 2018,100,"8,400.00",84,,,,,,,,,,,,,,,
,,2018 - 2019,400,"31,300.00",78.25,,,,,,,,,,,,,,,
,,2019 - 2020,400,"32,100.00",80.25,,,,,,,,,,,,,,,
,,2020 - 2021,310,"26,720.00",86.19,,,,,,,,,,,,,,,
,,2021 - 2022,575,"47,100.00",81.91,,,,,,,,,,,,,,,
,15. Palwal,2008 - 2009,"3,622.00","2,51,000.00",69.3,,,,,,,,,,,,,,,
,,2009 - 2010,"2,218.00","1,08,000.00",48.69,,,,,,,,,,,,,,,
,,2010 - 2011,"2,129.00","12,000.00",5.64,,,,,,,,,,,,,,,
,,2011 - 2012,"2,095.00","11,000.00",5.25,,,,,,,,,,,,,,,
,,2012 - 2013,"2,978.00","1,55,000.00",52.05,,,,,,,,,,,,,,,
,,2013 - 2014,"2,000.00","1,05,000.00",52.5,,,,,,,,,,,,,,,
,,2014 - 2015,"2,000.00","87,000.00",43.5,,,,,,,,,,,,,,,
,,2015 - 2016,"2,000.00","1,36,000.00",68,,,,,,,,,,,,,,,
,,2016 - 2017,"2,200.00","1,11,000.00",50.45,,,,,,,,,,,,,,,
,,2017 - 2018,"2,300.00","1,35,500.00",58.91,,,,,,,,,,,,,,,
,,2018 - 2019,"2,300.00","1,16,900.00",50.83,,,,,,,,,,,,,,,
,,2019 - 2020,"2,400.00","1,34,600.00",56.08,,,,,,,,,,,,,,,
,,2020 - 2021,"3,300.00","2,09,610.00",63.52,,,,,,,,,,,,,,,
,,2021 - 2022,"4,015.00","3,20,000.00",79.7,,,,,,,,,,,,,,,
,16. Panchkula,2000 - 2001,830,"60,000.00",72.29,,,,,,,,,,,,,,,
,,2001 - 2002,"1,106.00","60,000.00",54.25,,,,,,,,,,,,,,,
,,2002 - 2003,"1,197.00","60,000.00",50.13,,,,,,,,,,,,,,,
,,2003 - 2004,909,"60,000.00",66.01,,,,,,,,,,,,,,,
,,2004 - 2005,847,"60,000.00",70.84,,,,,,,,,,,,,,,
,,2005 - 2006,"1,139.00","60,000.00",52.68,,,,,,,,,,,,,,,
,,2006 - 2007,736,"68,000.00",92.39,,,,,,,,,,,,,,,
,,2007 - 2008,660,"30,000.00",45.45,,,,,,,,,,,,,,,
,,2008 - 2009,413,"44,000.00",106.54,,,,,,,,,,,,,,,
,,2009 - 2010,426,,0,,,,,,,,,,,,,,,
,,2010 - 2011,355,,0,,,,,,,,,,,,,,,
,,2011 - 2012,459,,0,,,,,,,,,,,,,,,
,,2012 - 2013,519,"59,000.00",113.68,,,,,,,,,,,,,,,
,,2015 - 2016,"1,000.00","64,000.00",64,,,,,,,,,,,,,,,
,,2016 - 2017,500,"45,000.00",90,,,,,,,,,,,,,,,
,,2017 - 2018,500,"42,200.00",84.4,,,,,,,,,,,,,,,
,,2018 - 2019,500,"39,100.00",78.2,,,,,,,,,,,,,,,
,,2019 - 2020,500,"42,300.00",84.6,,,,,,,,,,,,,,,
,,2020 - 2021,420,"36,200.00",86.19,,,,,,,,,,,,,,,
,,2021 - 2022,"1,214.00","99,140.00",81.66,,,,,,,,,,,,,,,
,17. Panipat,2000 - 2001,"4,849.00","3,20,000.00",65.99,,,,,,,,,,,,,,,
,,2001 - 2002,"6,281.00","3,90,000.00",62.09,,,,,,,,,,,,,,,
,,2002 - 2003,"7,349.00","3,80,000.00",51.71,,,,,,,,,,,,,,,
,,2003 - 2004,"7,821.00","4,80,000.00",61.37,,,,,,,,,,,,,,,
,,2004 - 2005,"6,527.00","4,50,000.00",68.94,,,,,,,,,,,,,,,
,,2005 - 2006,"6,372.00","4,00,000.00",62.77,,,,,,,,,,,,,,,
,,2006 - 2007,"7,820.00","6,05,000.00",77.37,,,,,,,,,,,,,,,
,,2007 - 2008,"7,848.00","5,50,000.00",70.08,,,,,,,,,,,,,,,
,,2008 - 2009,"3,423.00","2,02,000.00",59.01,,,,,,,,,,,,,,,
,,2009 - 2010,"3,960.00","3,11,000.00",78.54,,,,,,,,,,,,,,,
,,2010 - 2011,"5,827.00","46,000.00",7.89,,,,,,,,,,,,,,,
,,2011 - 2012,"6,820.00","58,000.00",8.5,,,,,,,,,,,,,,,
,,2012 - 2013,"7,067.00","6,47,000.00",91.55,,,,,,,,,,,,,,,
,,2013 - 2014,"7,000.00","5,38,000.00",76.86,,,,,,,,,,,,,,,
,,2014 - 2015,"6,000.00","5,01,000.00",83.5,,,,,,,,,,,,,,,
,,2015 - 2016,"5,000.00","4,10,000.00",82,,,,,,,,,,,,,,,
,,2016 - 2017,"6,500.00","5,42,000.00",83.38,,,,,,,,,,,,,,,
,,2017 - 2018,"7,800.00","6,63,700.00",85.09,,,,,,,,,,,,,,,
,,2018 - 2019,"7,600.00","7,25,500.00",95.46,,,,,,,,,,,,,,,
,,2019 - 2020,"5,600.00","4,76,700.00",85.13,,,,,,,,,,,,,,,
,,2020 - 2021,"6,300.00","5,65,530.00",89.77,,,,,,,,,,,,,,,
,,2021 - 2022,"7,327.00","6,85,630.00",93.58,,,,,,,,,,,,,,,
,18. Rewari,2000 - 2001,21,,0,,,,,,,,,,,,,,,
,,2001 - 2002,33,0,0,,,,,,,,,,,,,,,
,,2002 - 2003,10,0,0,,,,,,,,,,,,,,,
,,2003 - 2004,9,0,0,,,,,,,,,,,,,,,
,,2004 - 2005,11,,0,,,,,,,,,,,,,,,
,,2005 - 2006,5,,0,,,,,,,,,,,,,,,
,,2006 - 2007,9,,0,,,,,,,,,,,,,,,
,,2007 - 2008,9,,0,,,,,,,,,,,,,,,
,,2008 - 2009,23,,0,,,,,,,,,,,,,,,
,,2009 - 2010,26,,0,,,,,,,,,,,,,,,
,,2010 - 2011,26,,0,,,,,,,,,,,,,,,
,,2011 - 2012,51,,0,,,,,,,,,,,,,,,
,,2012 - 2013,29,,0,,,,,,,,,,,,,,,
,,2020 - 2021,20,"1,720.00",86,,,,,,,,,,,,,,,
,,2021 - 2022,13,0,0,,,,,,,,,,,,,,,
,19. Rohtak,2000 - 2001,"13,531.00","6,80,000.00",50.25,,,,,,,,,,,,,,,
,,2001 - 2002,"15,224.00","8,20,000.00",53.86,,,,,,,,,,,,,,,
,,2002 - 2003,"19,848.00","9,70,000.00",48.87,,,,,,,,,,,,,,,
,,2003 - 2004,"18,112.00","9,80,000.00",54.11,,,,,,,,,,,,,,,
,,2004 - 2005,"15,241.00","6,30,000.00",41.34,,,,,,,,,,,,,,,
,,2005 - 2006,"11,877.00","6,20,000.00",52.2,,,,,,,,,,,,,,,
,,2006 - 2007,"12,691.00","8,38,000.00",66.03,,,,,,,,,,,,,,,
,,2007 - 2008,"12,341.00","8,50,000.00",68.88,,,,,,,,,,,,,,,
,,2008 - 2009,"7,145.00","3,84,000.00",53.74,,,,,,,,,,,,,,,
,,2009 - 2010,"4,291.00","2,38,000.00",55.46,,,,,,,,,,,,,,,
,,2010 - 2011,"5,961.00","40,000.00",6.71,,,,,,,,,,,,,,,
,,2011 - 2012,"7,973.00","56,000.00",7.02,,,,,,,,,,,,,,,
,,2012 - 2013,"8,974.00","5,39,000.00",60.06,,,,,,,,,,,,,,,
,,2013 - 2014,"8,000.00","5,01,000.00",62.63,,,,,,,,,,,,,,,
,,2014 - 2015,"8,000.00","5,44,000.00",68,,,,,,,,,,,,,,,
,,2015 - 2016,"9,000.00","6,04,000.00",67.11,,,,,,,,,,,,,,,
,,2016 - 2017,"10,000.00","7,09,000.00",70.9,,,,,,,,,,,,,,,
,,2017 - 2018,"11,300.00","8,61,900.00",76.27,,,,,,,,,,,,,,,
,,2018 - 2019,"8,600.00","5,94,300.00",69.1,,,,,,,,,,,,,,,
,,2019 - 2020,"8,000.00","5,83,000.00",72.88,,,,,,,,,,,,,,,
,,2020 - 2021,"8,530.00","6,21,190.00",72.82,,,,,,,,,,,,,,,
,,2021 - 2022,"10,175.00","6,97,730.00",68.57,,,,,,,,,,,,,,,
,20. Sirsa,2000 - 2001,705,"60,000.00",85.11,,,,,,,,,,,,,,,
,,2001 - 2002,"1,595.00","1,10,000.00",68.97,,,,,,,,,,,,,,,
,,2002 - 2003,"6,146.00","3,40,000.00",55.32,,,,,,,,,,,,,,,
,,2003 - 2004,"1,348.00","60,000.00",44.51,,,,,,,,,,,,,,,
,,2004 - 2005,216,,0,,,,,,,,,,,,,,,
,,2005 - 2006,163,,0,,,,,,,,,,,,,,,
,,2006 - 2007,132,,0,,,,,,,,,,,,,,,
,,2007 - 2008,111,,0,,,,,,,,,,,,,,,
,,2008 - 2009,41,,0,,,,,,,,,,,,,,,
,,2009 - 2010,38,,0,,,,,,,,,,,,,,,
,,2010 - 2011,68,,0,,,,,,,,,,,,,,,
,,2011 - 2012,95,,0,,,,,,,,,,,,,,,
,,2012 - 2013,117,,0,,,,,,,,,,,,,,,
,,2016 - 2017,200,"16,000.00",80,,,,,,,,,,,,,,,
,,2017 - 2018,200,"16,900.00",84.5,,,,,,,,,,,,,,,
,,2018 - 2019,100,"7,800.00",78,,,,,,,,,,,,,,,
,,2020 - 2021,110,"9,470.00",86.09,,,,,,,,,,,,,,,
,,2021 - 2022,87,0,0,,,,,,,,,,,,,,,
,21. Sonipat,2000 - 2001,"8,448.00","4,70,000.00",55.63,,,,,,,,,,,,,,,
,,2001 - 2002,"11,641.00","6,10,000.00",52.4,,,,,,,,,,,,,,,
,,2002 - 2003,"18,129.00","8,50,000.00",46.89,,,,,,,,,,,,,,,
,,2003 - 2004,"15,588.00","8,30,000.00",53.25,,,,,,,,,,,,,,,
,,2004 - 2005,"15,588.00","9,30,000.00",59.66,,,,,,,,,,,,,,,
,,2005 - 2006,"12,781.00","8,60,000.00",67.29,,,,,,,,,,,,,,,
,,2006 - 2007,"13,056.00","9,97,000.00",76.36,,,,,,,,,,,,,,,
,,2007 - 2008,"11,104.00","7,60,000.00",68.44,,,,,,,,,,,,,,,
,,2008 - 2009,"5,784.00","3,95,000.00",68.29,,,,,,,,,,,,,,,
,,2009 - 2010,"3,718.00","3,03,000.00",81.5,,,,,,,,,,,,,,,
,,2010 - 2011,"5,733.00","50,000.00",8.72,,,,,,,,,,,,,,,
,,2011 - 2012,"7,876.00","64,000.00",8.13,,,,,,,,,,,,,,,
,,2012 - 2013,"9,084.00","6,24,000.00",68.69,,,,,,,,,,,,,,,
,,2013 - 2014,"8,000.00","6,53,000.00",81.63,,,,,,,,,,,,,,,
,,2014 - 2015,"7,000.00","5,56,000.00",79.43,,,,,,,,,,,,,,,
,,2015 - 2016,"7,000.00","6,02,000.00",86,,,,,,,,,,,,,,,
,,2016 - 2017,"8,000.00","7,00,000.00",87.5,,,,,,,,,,,,,,,
,,2017 - 2018,"8,900.00","8,40,900.00",94.48,,,,,,,,,,,,,,,
,,2018 - 2019,"8,500.00","8,07,300.00",94.98,,,,,,,,,,,,,,,
,,2019 - 2020,"7,700.00","6,01,000.00",78.05,,,,,,,,,,,,,,,
,,2020 - 2021,"8,900.00","8,27,500.00",92.98,,,,,,,,,,,,,,,
,,2021 - 2022,"8,846.00","6,83,650.00",77.28,,,,,,,,,,,,,,,
,22. Yamunanagar,2000 - 2001,"43,876.00","24,50,000.00",55.84,,,,,,,,,,,,,,,
,,2001 - 2002,"44,289.00","25,00,000.00",56.45,,,,,,,,,,,,,,,
,,2002 - 2003,"45,771.00","27,30,000.00",59.64,,,,,,,,,,,,,,,
,,2003 - 2004,"42,476.00","24,80,000.00",58.39,,,,,,,,,,,,,,,
,,2004 - 2005,"38,355.00","26,00,000.00",67.79,,,,,,,,,,,,,,,
,,2005 - 2006,"39,936.00","26,50,000.00",66.36,,,,,,,,,,,,,,,
,,2006 - 2007,"42,191.00","28,94,000.00",68.59,,,,,,,,,,,,,,,
,,2007 - 2008,"41,874.00","22,80,000.00",54.45,,,,,,,,,,,,,,,
,,2008 - 2009,"28,839.00","14,84,000.00",51.46,,,,,,,,,,,,,,,
,,2009 - 2010,"25,373.00","1,80,900.00",7.13,,,,,,,,,,,,,,,
,,2010 - 2011,"25,391.00","1,71,000.00",6.73,,,,,,,,,,,,,,,
,,2011 - 2012,"25,903.00","1,72,000.00",6.64,,,,,,,,,,,,,,,
,,2012 - 2013,"27,163.00","19,98,000.00",73.56,,,,,,,,,,,,,,,
,,2013 - 2014,"27,000.00","18,54,000.00",68.67,,,,,,,,,,,,,,,
,,2014 - 2015,"27,000.00","18,87,000.00",69.89,,,,,,,,,,,,,,,
,,2015 - 2016,"25,000.00","17,50,000.00",70,,,,,,,,,,,,,,,
,,2016 - 2017,"23,000.00","18,32,000.00",79.65,,,,,,,,,,,,,,,
,,2017 - 2018,"26,000.00","21,71,900.00",83.53,,,,,,,,,,,,,,,
,,2018 - 2019,"24,800.00","16,78,700.00",67.69,,,,,,,,,,,,,,,
,,2019 - 2020,"19,900.00","15,60,200.00",78.4,,,,,,,,,,,,,,,
,,2020 - 2021,"19,700.00","16,30,980.00",82.79,,,,,,,,,,,,,,,
,,2021 - 2022,"20,190.00","16,89,260.00",83.67,,,,,,,,,,,,,,,
12. Himachal Pradesh,1. Bilaspur,2000 - 2001,51,244,4.78,,,,,,,,,,,,,,,
,,2001 - 2002,54,301,5.57,,,,,,,,,,,,,,,
,,2002 - 2003,64,96,1.5,,,,,,,,,,,,,,,
,,2005 - 2006,11,88,8,,,,,,,,,,,,,,,
,,2006 - 2007,27,216,8,,,,,,,,,,,,,,,
,,2007 - 2008,,,,,,,15,120,8,,,,,,,,,
,,2008 - 2009,,,,,,,6,48,8,,,,,,,,,
,,2009 - 2010,3,29,9.67,,,,,,,,,,,,,,,
,,2010 - 2011,3,29,9.67,,,,,,,,,,,,,,,
,,2011 - 2012,3,29,9.67,,,,,,,,,,,,,,,
,,2012 - 2013,3,28,9.33,,,,,,,,,,,,,,,
,,2013 - 2014,3,14,4.67,,,,,,,,,,,,,,,
,,2014 - 2015,32,889,27.78,,,,,,,,,,,,,,,
,,2015 - 2016,3,27,9,,,,,,,,,,,,,,,
,,2016 - 2017,3,27,9,,,,,,,,,,,,,,,
,,2017 - 2018,3,31,10.33,,,,,,,,,,,,,,,
,,2018 - 2019,3,27,9,,,,,,,,,,,,,,,
,,2019 - 2020,1,9,9,,,,,,,,,,,,,,,
,,2020 - 2021,3,37,12.33,,,,,,,,,,,,,,,
,,2021 - 2022,2,24,12,,,,,,,,,,,,,,,
,,2022 - 2023,3,37,12.33,,,,,,,,,,,,,,,
,2. Hamirpur,2000 - 2001,47,42,0.89,,,,,,,,,,,,,,,
,,2001 - 2002,56,58,1.04,,,,,,,,,,,,,,,
,,2002 - 2003,44,57,1.3,,,,,,,,,,,,,,,
,,2005 - 2006,53,254,4.79,,,,,,,,,,,,,,,
,,2006 - 2007,45,62,1.38,,,,,,,,,,,,,,,
,,2007 - 2008,,,,,,,34,491,14.44,,,,,,,,,
,,2008 - 2009,,,,,,,44,464,10.55,,,,,,,,,
,,2009 - 2010,35,324,9.26,,,,,,,,,,,,,,,
,,2010 - 2011,35,321,9.17,,,,,,,,,,,,,,,
,,2011 - 2012,34,176,5.18,,,,,,,,,,,,,,,
,,2012 - 2013,34,314,9.24,,,,,,,,,,,,,,,
,,2013 - 2014,34,169,4.97,,,,,,,,,,,,,,,
,,2014 - 2015,33,908,27.52,,,,,,,,,,,,,,,
,,2015 - 2016,33,305,9.24,,,,,,,,,,,,,,,
,,2016 - 2017,33,301,9.12,,,,,,,,,,,,,,,
,,2017 - 2018,33,366,11.09,,,,,,,,,,,,,,,
,,2018 - 2019,27,246,9.11,,,,,,,,,,,,,,,
,,2019 - 2020,25,303,12.12,,,,,,,,,,,,,,,
,,2020 - 2021,28,43,1.54,,,,,,,,,,,,,,,
,,2021 - 2022,28,43,1.54,,,,,,,,,,,,,,,
,,2022 - 2023,30,47,1.57,,,,,,,,,,,,,,,
,3. Kangra,2000 - 2001,421,479,1.14,,,,,,,,,,,,,,,
,,2001 - 2002,483,785,1.63,,,,,,,,,,,,,,,
,,2002 - 2003,517,722,1.4,,,,,,,,,,,,,,,
,,2005 - 2006,520,718,1.38,,,,,,,,,,,,,,,
,,2006 - 2007,779,925,1.19,,,,,,,,,,,,,,,
,,2007 - 2008,,,,,,,863,"12,470.00",14.45,,,,,,,,,
,,2008 - 2009,,,,,,,706,"10,073.00",14.27,,,,,,,,,
,,2009 - 2010,667,"9,050.00",13.57,,,,,,,,,,,,,,,
,,2010 - 2011,545,"7,881.00",14.46,,,,,,,,,,,,,,,
,,2011 - 2012,657,"5,271.00",8.02,,,,,,,,,,,,,,,
,,2012 - 2013,647,"7,723.00",11.94,,,,,,,,,,,,,,,
,,2013 - 2014,456,"1,224.00",2.68,,,,,,,,,,,,,,,
,,2014 - 2015,534,"13,528.00",25.33,,,,,,,,,,,,,,,
,,2015 - 2016,627,"9,423.00",15.03,,,,,,,,,,,,,,,
,,2016 - 2017,620,"9,322.00",15.04,,,,,,,,,,,,,,,
,,2017 - 2018,627,"9,568.00",15.26,,,,,,,,,,,,,,,
,,2018 - 2019,479,"7,204.00",15.04,,,,,,,,,,,,,,,
,,2019 - 2020,501,"7,535.00",15.04,,,,,,,,,,,,,,,
,,2020 - 2021,803,"9,773.00",12.17,,,,,,,,,,,,,,,
,,2021 - 2022,859,"10,454.00",12.17,,,,,,,,,,,,,,,
,,2022 - 2023,810,"9,858.00",12.17,,,,,,,,,,,,,,,
,4. Mandi,2000 - 2001,1,0.1,0.1,,,,,,,,,,,,,,,
,,2001 - 2002,1,4,4,,,,,,,,,,,,,,,
,,2002 - 2003,1,1,1,,,,,,,,,,,,,,,
,,2005 - 2006,1,1,1,,,,,,,,,,,,,,,
,,2007 - 2008,,,,,,,1,1,1,,,,,,,,,
,5. Shimla,2008 - 2009,,,,,,,2,25,12.5,,,,,,,,,
,,2009 - 2010,1,18,18,,,,,,,,,,,,,,,
,,2010 - 2011,1,18,18,,,,,,,,,,,,,,,
,,2011 - 2012,1,7,7,,,,,,,,,,,,,,,
,,2012 - 2013,1,17,17,,,,,,,,,,,,,,,
,,2013 - 2014,18,17,0.94,,,,,,,,,,,,,,,
,,2014 - 2015,25,701,28.04,,,,,,,,,,,,,,,
,,2015 - 2016,1,17,17,,,,,,,,,,,,,,,
,,2016 - 2017,1,17,17,,,,,,,,,,,,,,,
,,2017 - 2018,1,21,21,,,,,,,,,,,,,,,
,6. Sirmaur,2000 - 2001,"1,596.00","2,583.00",1.62,,,,,,,,,,,,,,,
,,2001 - 2002,"1,451.00","4,077.00",2.81,,,,,,,,,,,,,,,
,,2002 - 2003,"1,609.00","1,027.00",0.64,,,,,,,,,,,,,,,
,,2005 - 2006,"1,609.00","20,579.00",12.79,,,,,,,,,,,,,,,
,,2006 - 2007,"1,781.00","49,738.00",27.93,,,,,,,,,,,,,,,
,,2007 - 2008,,,,,,,"1,430.00","39,841.00",27.86,,,,,,,,,
,,2008 - 2009,,,,,,,"1,332.00","38,437.00",28.86,,,,,,,,,
,,2009 - 2010,"1,202.00","30,825.00",25.64,,,,,,,,,,,,,,,
,,2010 - 2011,855,"25,081.00",29.33,,,,,,,,,,,,,,,
,,2011 - 2012,"1,084.00","19,842.00",18.3,,,,,,,,,,,,,,,
,,2012 - 2013,966,"26,280.00",27.2,,,,,,,,,,,,,,,
,,2013 - 2014,754,"1,559.00",2.07,,,,,,,,,,,,,,,
,,2014 - 2015,795,"15,519.00",19.52,,,,,,,,,,,,,,,
,,2015 - 2016,"1,030.00","24,158.00",23.45,,,,,,,,,,,,,,,
,,2016 - 2017,"1,118.00","34,784.00",31.11,,,,,,,,,,,,,,,
,,2017 - 2018,"1,030.00","23,158.00",22.48,,,,,,,,,,,,,,,
,,2018 - 2019,860,"26,754.00",31.11,,,,,,,,,,,,,,,
,,2019 - 2020,865,"24,315.00",28.11,,,,,,,,,,,,,,,
,,2020 - 2021,481,"10,962.00",22.79,,,,,,,,,,,,,,,
,,2021 - 2022,452,"10,301.00",22.79,,,,,,,,,,,,,,,
,,2022 - 2023,446,"10,164.00",22.79,,,,,,,,,,,,,,,
,7. Solan,2000 - 2001,236,213,0.9,,,,,,,,,,,,,,,
,,2001 - 2002,197,228,1.16,,,,,,,,,,,,,,,
,,2002 - 2003,314,174,0.55,,,,,,,,,,,,,,,
,,2005 - 2006,202,272,1.35,,,,,,,,,,,,,,,
,,2006 - 2007,200,"5,159.00",25.8,,,,,,,,,,,,,,,
,,2007 - 2008,,,,,,,156,"2,254.00",14.45,,,,,,,,,
,,2008 - 2009,,,,,,,77,"1,201.00",15.6,,,,,,,,,
,,2009 - 2010,56,975,17.41,,,,,,,,,,,,,,,
,,2010 - 2011,55,"1,094.00",19.89,,,,,,,,,,,,,,,
,,2011 - 2012,55,768,13.96,,,,,,,,,,,,,,,
,,2012 - 2013,54,"1,072.00",19.85,,,,,,,,,,,,,,,
,,2013 - 2014,54,204,3.78,,,,,,,,,,,,,,,
,,2014 - 2015,53,"1,359.00",25.64,,,,,,,,,,,,,,,
,,2015 - 2016,53,"1,039.00",19.6,,,,,,,,,,,,,,,
,,2016 - 2017,52,"1,028.00",19.77,,,,,,,,,,,,,,,
,,2017 - 2018,53,"1,039.00",19.6,,,,,,,,,,,,,,,
,,2018 - 2019,53,"1,047.00",19.75,,,,,,,,,,,,,,,
,,2019 - 2020,51,922,18.08,,,,,,,,,,,,,,,
,,2020 - 2021,13,158,12.15,,,,,,,,,,,,,,,
,,2021 - 2022,13,158,12.15,,,,,,,,,,,,,,,
,,2022 - 2023,13,158,12.15,,,,,,,,,,,,,,,
,8. Una,2000 - 2001,465,"4,293.00",9.23,,,,,,,,,,,,,,,
,,2001 - 2002,393,"5,766.00",14.67,,,,,,,,,,,,,,,
,,2002 - 2003,377,"2,572.00",6.82,,,,,,,,,,,,,,,
,,2005 - 2006,193,"3,182.00",16.49,,,,,,,,,,,,,,,
,,2006 - 2007,187,"3,084.00",16.49,,,,,,,,,,,,,,,
,,2007 - 2008,,,,,,,198,"3,265.00",16.49,,,,,,,,,
,,2008 - 2009,,,,,,,171,"2,820.00",16.49,,,,,,,,,
,,2009 - 2010,160,"3,085.00",19.28,,,,,,,,,,,,,,,
,,2010 - 2011,134,"2,683.00",20.02,,,,,,,,,,,,,,,
,,2011 - 2012,133,"1,678.00",12.62,,,,,,,,,,,,,,,
,,2012 - 2013,131,"2,629.00",20.07,,,,,,,,,,,,,,,
,,2013 - 2014,130,309,2.38,,,,,,,,,,,,,,,
,,2014 - 2015,128,"3,777.00",29.51,,,,,,,,,,,,,,,
,,2015 - 2016,127,"2,547.00",20.06,,,,,,,,,,,,,,,
,,2016 - 2017,126,"2,520.00",20,,,,,,,,,,,,,,,
,,2017 - 2018,127,"2,547.00",20.06,,,,,,,,,,,,,,,
,,2018 - 2019,163,"3,260.00",20,,,,,,,,,,,,,,,
,,2019 - 2020,160,"3,059.00",19.12,,,,,,,,,,,,,,,
,,2020 - 2021,140,"1,704.00",12.17,,,,,,,,,,,,,,,
,,2021 - 2022,137,"1,667.00",12.17,,,,,,,,,,,,,,,
,,2022 - 2023,138,"1,679.00",12.17,,,,,,,,,,,,,,,
13. Jammu and Kashmir,1. Jammu,2000 - 2001,52,314,6.04,,,,,,,,,,,,,,,
,,2001 - 2002,55,330,6,,,,,,,,,,,,,,,
,,2002 - 2003,68,408,6,,,,,,,,,,,,,,,
,,2003 - 2004,77,457,5.94,,,,,,,,,,,,,,,
,,2005 - 2006,,,,,,,101,606,6,,,,,,,,,
,,2006 - 2007,,,,,,,120,720,6,,,,,,,,,
,,2011 - 2012,,,,,,,5,7.5,1.5,,,,,,,,,
,,2019 - 2020,33,77,2.33,,,,,,,,,,,,,,,
,,2020 - 2021,33,77,2.33,,,,,,,,,,,,,,,
,,2021 - 2022,33,77,2.33,,,,,,,,,,,,,,,
,2. Kathua,2000 - 2001,56,71,1.27,,,,,,,,,,,,,,,
,,2001 - 2002,59,76,1.29,,,,,,,,,,,,,,,
,,2002 - 2003,40,52,1.3,,,,,,,,,,,,,,,
,,2003 - 2004,58,75,1.29,,,,,,,,,,,,,,,
,,2005 - 2006,,,,,,,36,46.8,1.3,,,,,,,,,
,,2006 - 2007,,,,,,,29,37.7,1.3,,,,,,,,,
,,2007 - 2008,,,,,,,41,53.3,1.3,,,,,,,,,
,,2009 - 2010,,,,,,,1,1.5,1.5,,,,,,,,,
,,2016 - 2017,,,,,,,28,42,1.5,,,,,,,,,
,3. Kishtwar,2019 - 2020,4,6,1.5,,,,,,,,,,,,,,,
,,2020 - 2021,4,6,1.5,,,,,,,,,,,,,,,
,4. Rajauri,2000 - 2001,3,4,1.33,,,,,,,,,,,,,,,
,,2001 - 2002,4,5,1.25,,,,,,,,,,,,,,,
,,2002 - 2003,4,6,1.5,,,,,,,,,,,,,,,
,,2016 - 2017,,,,,,,17,25.5,1.5,,,,,,,,,
,5. Samba,2007 - 2008,,,,,,,28,168,6,,,,,,,,,
,,2010 - 2011,,,,,,,18,27,1.5,,,,,,,,,
,,2011 - 2012,,,,,,,14,21,1.5,,,,,,,,,
,,2012 - 2013,,,,,,,13,19.5,1.5,,,,,,,,,
,,2014 - 2015,,,,,,,23,34.5,1.5,,,,,,,,,
,,2015 - 2016,,,,,,,193,289.5,1.5,,,,,,,,,
,,2020 - 2021,1,1.5,1.5,,,,,,,,,,,,,,,
,6. Udhampur,2000 - 2001,15,28,1.87,,,,,,,,,,,,,,,
,,2001 - 2002,14,25,1.79,,,,,,,,,,,,,,,
,,2002 - 2003,5,9,1.8,,,,,,,,,,,,,,,
,,2003 - 2004,19,35,1.84,,,,,,,,,,,,,,,
,,2005 - 2006,,,,,,,54,100.3,1.86,,,,,,,,,
