State,District,Year,Linseed,,,,,,,,
,,,Rabi,,,Kharif,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2007 - 2008,47,19.4,0.41,,,,,,
,,2008 - 2009,16,17.5,1.09,,,,,,
,,2009 - 2010,22,5.4,0.25,,,,,,
,,2010 - 2011,41,39,0.95,,,,,,
,,2011 - 2012,78,25.9,0.33,,,,,,
,,2012 - 2013,28,14.7,0.53,,,,,,
,,2013 - 2014,28,14.7,0.53,,,,,,
,,2015 - 2016,80,23.2,0.29,,,,,,
,,2016 - 2017,80,19.5,0.24,,,,,,
,,2017 - 2018,1,0.6,0.6,,,,,,
,,2018 - 2019,80,89.42,1.12,,,,,,
,,2019 - 2020,80,96.27,1.2,,,,,,
,,2020 - 2021,80,68.81,0.86,176,88,0.5,,,
,,2021 - 2022,1,1.3,1.3,,,,,,
,6. Kathua,2000 - 2001,121,23,0.19,,,,,,
,,2001 - 2002,132,52,0.39,,,,,,
,,2002 - 2003,91,28,0.31,,,,,,
,,2003 - 2004,69,25,0.36,,,,,,
,,2006 - 2007,93,20.5,0.22,,,,,,
,,2007 - 2008,93,20.5,0.22,,,,,,
,,2008 - 2009,52,20.2,0.39,,,,,,
,,2009 - 2010,43,4.9,0.11,,,,,,
,,2010 - 2011,45,8.5,0.19,,,,,,
,,2011 - 2012,48,19.6,0.41,,,,,,
,,2012 - 2013,51,12.1,0.24,,,,,,
,,2013 - 2014,51,12.1,0.24,,,,,,
,,2015 - 2016,23,6.3,0.27,,,,,,
,,2016 - 2017,24,7.3,0.3,,,,,,
,,2017 - 2018,2,0.6,0.3,,,,,,
,,2018 - 2019,14,15.65,1.12,,,,,,
,,2020 - 2021,4,2.61,0.65,,,,,,
,,2021 - 2022,4,5.2,1.3,,,,,,
,,2022 - 2023,4,9.91,2.48,,,,,,
,7. Leh ladakh,2003 - 2004,1,1,1,,,,,,
,,2011 - 2012,1,1.2,1.2,,,,,,
,,2015 - 2016,4,6.4,1.6,,,,,,
,8. Poonch,2001 - 2002,1,1,1,,,,,,
,,2002 - 2003,1,0.1,0.1,,,,,,
,,2003 - 2004,2,0.1,0.05,,,,,,
,,2010 - 2011,7,3.9,0.56,,,,,,
,9. Pulwama,2000 - 2001,34,20,0.59,,,,,,
,,2001 - 2002,110,118,1.07,,,,,,
,,2002 - 2003,42,47,1.12,,,,,,
,,2003 - 2004,52,47,0.9,,,,,,
,,2006 - 2007,63,60.5,0.96,,,,,,
,,2007 - 2008,63,60.5,0.96,,,,,,
,,2008 - 2009,55,56.9,1.03,,,,,,
,,2009 - 2010,60,65,1.08,,,,,,
,,2010 - 2011,60,129.5,2.16,,,,,,
,,2011 - 2012,58,69.7,1.2,,,,,,
,,2012 - 2013,65,61.1,0.94,,,,,,
,,2013 - 2014,65,61.1,0.94,,,,,,
,,2015 - 2016,59,4.2,0.07,,,,,,
,,2016 - 2017,18,18.5,1.03,,,,,,
,,2017 - 2018,59,30,0.51,,,,,,
,,2018 - 2019,41,45.83,1.12,,,,,,
,,2019 - 2020,40,48.74,1.22,,,,,,
,,2020 - 2021,40,34.84,0.87,,,,,,
,,2021 - 2022,36,90.6,2.52,,,,,,
,,2022 - 2023,36,89.21,2.48,,,,,,
,10. Rajauri,2001 - 2002,6,3,0.5,,,,,,
,,2002 - 2003,8,2,0.25,,,,,,
,,2003 - 2004,6,2,0.33,,,,,,
,,2011 - 2012,,,,8,4.5,0.56,,,
,,2015 - 2016,2,0.6,0.3,,,,,,
,,2019 - 2020,5,6.09,1.22,,,,,,
,11. Reasi,2009 - 2010,2,0.3,0.15,,,,,,
,,2012 - 2013,13,4.5,0.35,,,,,,
,,2013 - 2014,13,4.5,0.35,,,,,,
,12. Samba,2008 - 2009,2,2.2,1.1,,,,,,
,,2010 - 2011,9,5,0.56,,,,,,
,,2011 - 2012,8,5.7,0.71,,,,,,
,,2012 - 2013,2,1.4,0.7,,,,,,
,,2013 - 2014,2,1.4,0.7,,,,,,
,13. Srinagar,2000 - 2001,19,11,0.58,,,,,,
,,2001 - 2002,19,20,1.05,,,,,,
,,2002 - 2003,22,26,1.18,,,,,,
,,2003 - 2004,20,18,0.9,,,,,,
,14. Udhampur,2001 - 2002,7,3,0.43,,,,,,
,,2006 - 2007,2,0.6,0.3,,,,,,
,,2007 - 2008,2,0.6,0.3,,,,,,
8. Jharkhand,1. Bokaro,2017 - 2018,62,34,0.55,,,,,,
,,2019 - 2020,784,470,0.6,,,,,,
,,2020 - 2021,65,39,0.6,,,,,,
,,2022 - 2023,12,7,0.58,,,,,,
,2. Chatra,2017 - 2018,"2,140.00","1,669.00",0.78,,,,,,
,,2018 - 2019,"2,275.00","1,775.00",0.78,,,,,,
,,2019 - 2020,"2,425.00","1,916.00",0.79,,,,,,
,,2020 - 2021,"1,825.00","1,451.00",0.8,,,,,,
,,2021 - 2022,"1,825.00","1,451.00",0.8,,,,,,
,,2022 - 2023,"1,893.00","1,505.00",0.8,,,,,,
,3. Deoghar,2017 - 2018,304,198,0.65,,,,,,
,,2018 - 2019,128,90,0.7,,,,,,
,,2019 - 2020,705,494,0.7,,,,,,
,,2020 - 2021,387,271,0.7,,,,,,
,,2021 - 2022,546,382,0.7,,,,,,
,,2022 - 2023,546,382,0.7,,,,,,
,4. Dhanbad,2017 - 2018,206,128,0.62,,,,,,
,,2018 - 2019,61,37,0.61,,,,,,
,,2019 - 2020,36,25,0.69,,,,,,
,,2020 - 2021,93,65,0.7,,,,,,
,,2021 - 2022,320,224,0.7,,,,,,
,,2022 - 2023,28,20,0.71,,,,,,
,5. Dumka,2017 - 2018,"1,364.00",955,0.7,,,,,,
,,2018 - 2019,"1,629.00",854,0.52,,,,,,
,,2019 - 2020,"2,518.00","1,209.00",0.48,,,,,,
,,2020 - 2021,"1,766.00","1,095.00",0.62,,,,,,
,,2021 - 2022,334,207,0.62,,,,,,
,,2022 - 2023,334,160,0.48,,,,,,
,6. East singhbum,2017 - 2018,"2,000.00","1,300.00",0.65,,,,,,
,,2018 - 2019,"1,440.00",936,0.65,,,,,,
,,2019 - 2020,"1,700.00","1,105.00",0.65,,,,,,
,,2020 - 2021,"1,480.00",962,0.65,,,,,,
,,2021 - 2022,"1,360.00",898,0.66,,,,,,
,,2022 - 2023,892,580,0.65,,,,,,
,7. Garhwa,2017 - 2018,100,53,0.53,,,,,,
,,2018 - 2019,349,143,0.41,,,,,,
,,2019 - 2020,105,43,0.41,,,,,,
,,2020 - 2021,"2,463.00","1,145.00",0.46,,,,,,
,,2021 - 2022,"2,470.00","1,606.00",0.65,,,,,,
,,2022 - 2023,"2,625.00","1,221.00",0.47,,,,,,
,8. Giridih,2017 - 2018,303,145,0.48,,,,,,
,,2018 - 2019,109,52,0.48,,,,,,
,,2019 - 2020,105,51,0.49,,,,,,
,,2020 - 2021,152,95,0.63,,,,,,
,,2021 - 2022,93,58,0.62,,,,,,
,,2022 - 2023,53,33,0.62,,,,,,
,9. Godda,2017 - 2018,"3,469.00",,0,,,,,,
,,2018 - 2019,"2,400.00",,0,,,,,,
,,2019 - 2020,"2,435.00","1,656.00",0.68,,,,,,
,,2020 - 2021,"2,100.00","1,470.00",0.7,,,,,,
,,2021 - 2022,"3,184.00","2,006.00",0.63,,,,,,
,,2022 - 2023,"3,182.00","1,909.00",0.6,,,,,,
,10. Gumla,2017 - 2018,899,707,0.79,,,,,,
,,2018 - 2019,412,322,0.78,,,,,,
,,2019 - 2020,478,385,0.81,,,,,,
,,2020 - 2021,"1,620.00","1,304.00",0.8,,,,,,
,,2021 - 2022,"1,629.00",660,0.41,,,,,,
,,2022 - 2023,"1,680.00","1,352.00",0.8,,,,,,
,11. Hazaribagh,2017 - 2018,"1,869.00","1,308.00",0.7,,,,,,
,,2018 - 2019,84,38,0.45,,,,,,
,,2019 - 2020,77,23,0.3,,,,,,
,,2020 - 2021,"2,454.00","1,374.00",0.56,,,,,,
,,2021 - 2022,"2,735.00","1,373.00",0.5,,,,,,
,,2022 - 2023,"1,349.00",677,0.5,,,,,,
,12. Jamtara,2019 - 2020,115,58,0.5,,,,,,
,,2020 - 2021,93,56,0.6,,,,,,
,,2021 - 2022,51,33,0.65,,,,,,
,13. Khunti,2017 - 2018,"1,102.00",441,0.4,,,,,,
,,2018 - 2019,607,243,0.4,,,,,,
,,2019 - 2020,572,229,0.4,,,,,,
,,2020 - 2021,"1,483.00","1,483.00",1,,,,,,
,,2021 - 2022,"1,082.00","1,082.00",1,,,,,,
,,2022 - 2023,"1,134.00","1,134.00",1,,,,,,
,14. Koderma,2017 - 2018,"1,867.00","1,307.00",0.7,,,,,,
,,2018 - 2019,880,616,0.7,,,,,,
,,2019 - 2020,"1,057.00",740,0.7,,,,,,
,,2020 - 2021,"1,305.00",914,0.7,,,,,,
,,2021 - 2022,"2,130.00","1,491.00",0.7,,,,,,
,,2022 - 2023,"1,305.00",914,0.7,,,,,,
,15. Latehar,2017 - 2018,"2,610.00","1,375.00",0.53,,,,,,
,,2018 - 2019,"3,155.00","1,678.00",0.53,,,,,,
,,2019 - 2020,"2,340.00","1,240.00",0.53,,,,,,
,,2020 - 2021,"3,273.00","1,748.00",0.53,,,,,,
,,2021 - 2022,"3,325.00","1,769.00",0.53,,,,,,
,,2022 - 2023,"3,246.00","1,720.00",0.53,,,,,,
,16. Lohardaga,2017 - 2018,200,65,0.33,,,,,,
,,2018 - 2019,414,219,0.53,,,,,,
,,2019 - 2020,321,170,0.53,,,,,,
,,2020 - 2021,516,222,0.43,,,,,,
,,2021 - 2022,417,188,0.45,,,,,,
,,2022 - 2023,318,169,0.53,,,,,,
,17. Pakur,2017 - 2018,"2,066.00","1,756.00",0.85,,,,,,
,,2018 - 2019,"1,328.00","1,129.00",0.85,,,,,,
,,2019 - 2020,"2,290.00","1,947.00",0.85,,,,,,
,,2020 - 2021,"2,402.00","2,042.00",0.85,,,,,,
,,2021 - 2022,"2,091.00","1,882.00",0.9,,,,,,
,,2022 - 2023,657,558,0.85,,,,,,
,18. Palamu,2017 - 2018,"3,692.00","1,484.00",0.4,,,,,,
,,2018 - 2019,"3,845.00","1,576.00",0.41,,,,,,
,,2019 - 2020,"2,473.00","1,187.00",0.48,,,,,,
,,2020 - 2021,"3,670.00","1,762.00",0.48,,,,,,
,,2021 - 2022,"2,919.00","1,430.00",0.49,,,,,,
,,2022 - 2023,"1,876.00",919,0.49,,,,,,
,19. Ramgarh,2017 - 2018,"1,330.00",944,0.71,,,,,,
,,2018 - 2019,36,18,0.5,,,,,,
,,2019 - 2020,32,10,0.31,,,,,,
,,2020 - 2021,"1,480.00",829,0.56,,,,,,
,,2021 - 2022,"2,316.00","1,227.00",0.53,,,,,,
,,2022 - 2023,"1,517.00",804,0.53,,,,,,
,20. Ranchi,2017 - 2018,"1,379.00",690,0.5,,,,,,
,,2018 - 2019,693,416,0.6,,,,,,
,,2019 - 2020,"1,059.00",635,0.6,,,,,,
,,2020 - 2021,"1,142.00",685,0.6,,,,,,
,,2021 - 2022,"1,161.00",697,0.6,,,,,,
,,2022 - 2023,"1,061.00",637,0.6,,,,,,
,21. Sahebganj,2017 - 2018,"3,659.00",896,0.24,,,,,,
,,2018 - 2019,"2,670.00",654,0.24,,,,,,
,,2019 - 2020,"2,341.00",574,0.25,,,,,,
,,2020 - 2021,"3,317.00",813,0.25,,,,,,
,,2021 - 2022,"3,450.00",845,0.24,,,,,,
,,2022 - 2023,"3,430.00",840,0.24,,,,,,
,22. Saraikela kharsawan,2017 - 2018,"3,500.00","3,850.00",1.1,,,,,,
,,2018 - 2019,"2,603.00","1,067.00",0.41,,,,,,
,,2019 - 2020,"1,120.00","1,232.00",1.1,,,,,,
,,2020 - 2021,"1,652.00","1,817.00",1.1,,,,,,
,,2021 - 2022,"2,657.00","2,923.00",1.1,,,,,,
,,2022 - 2023,"2,952.00","3,247.00",1.1,,,,,,
,23. Simdega,2017 - 2018,"3,356.00","2,064.00",0.62,,,,,,
,,2018 - 2019,"3,476.00","2,138.00",0.62,,,,,,
,,2019 - 2020,"3,467.00","2,080.00",0.6,,,,,,
,,2020 - 2021,"3,465.00","2,079.00",0.6,,,,,,
,,2021 - 2022,"3,460.00","2,076.00",0.6,,,,,,
,,2022 - 2023,"2,839.00","1,703.00",0.6,,,,,,
,24. West singhbhum,2017 - 2018,"14,595.00","8,319.00",0.57,,,,,,
,,2018 - 2019,"11,174.00","5,520.00",0.49,,,,,,
,,2019 - 2020,"10,986.00","5,614.00",0.51,,,,,,
,,2020 - 2021,"7,570.00","3,967.00",0.52,,,,,,
,,2021 - 2022,"14,117.00","7,256.00",0.51,,,,,,
,,2022 - 2023,"14,216.00","7,364.00",0.52,,,,,,
9. Karnataka,1. Bagalkot,2000 - 2001,"4,647.00","1,377.00",0.3,,,,,,
,,2001 - 2002,"6,261.00","2,641.00",0.42,,,,,,
,,2002 - 2003,"4,997.00","2,207.00",0.44,,,,,,
,,2003 - 2004,"3,523.00",264,0.07,,,,,,
,,2004 - 2005,"3,348.00",658,0.2,,,,,,
,,2005 - 2006,"3,690.00",778,0.21,,,,,,
,,2006 - 2007,"3,538.00",625,0.18,,,,,,
,,2007 - 2008,"3,690.00","1,844.00",0.5,,,,,,
,,2008 - 2009,"2,920.00","1,168.00",0.4,,,,,,
,,2009 - 2010,"2,354.00",635,0.27,,,,,,
,,2010 - 2011,"2,441.00",610,0.25,,,,,,
,,2011 - 2012,"1,758.00",635,0.36,,,,,,
,,2012 - 2013,"2,393.00",334,0.14,,,,,,
,,2013 - 2014,"1,487.00",225,0.15,,,,,,
,,2014 - 2015,"1,770.00",454,0.26,,,,,,
,,2015 - 2016,"2,419.00",324,0.13,,,,,,
,,2016 - 2017,"1,746.00",80,0.05,,,,,,
,,2017 - 2018,"1,015.00",320,0.32,,,,,,
,,2018 - 2019,459,70,0.15,,,,,,
,,2019 - 2020,27,18,0.67,,,,,,
,,2020 - 2021,13,8,0.62,,,,,,
,,2021 - 2022,15,5,0.33,,,,,,
,,2022 - 2023,5,2,0.4,,,,,,
,2. Bangalore rural,2018 - 2019,2,,0,,,,,,
,,2019 - 2020,4,2,0.5,,,,,,
,,2020 - 2021,17,8,0.47,,,,,,
,,2021 - 2022,6,2,0.33,,,,,,
,,2022 - 2023,12,4,0.33,,,,,,
,3. Belgaum,2000 - 2001,"2,454.00",727,0.3,,,,,,
,,2001 - 2002,"2,524.00",571,0.23,,,,,,
,,2002 - 2003,"2,329.00",436,0.19,,,,,,
,,2003 - 2004,"1,897.00",373,0.2,,,,,,
,,2004 - 2005,"1,750.00",318,0.18,,,,,,
,,2005 - 2006,"1,051.00",444,0.42,,,,,,
,,2006 - 2007,"1,511.00",630,0.42,,,,,,
,,2007 - 2008,"1,549.00",506,0.33,,,,,,
,,2008 - 2009,"1,195.00",518,0.43,,,,,,
,,2009 - 2010,"1,986.00",492,0.25,,,,,,
,,2010 - 2011,"2,145.00",770,0.36,,,,,,
,,2011 - 2012,718,374,0.52,,,,,,
,,2012 - 2013,915,170,0.19,,,,,,
,,2013 - 2014,610,340,0.56,,,,,,
,,2014 - 2015,768,193,0.25,,,,,,
,,2015 - 2016,251,33,0.13,,,,,,
,,2016 - 2017,147,28,0.19,,,,,,
,,2017 - 2018,143,66,0.46,,,,,,
,,2018 - 2019,125,43,0.34,,,,,,
,,2019 - 2020,104,47,0.45,,,,,,
,,2020 - 2021,47,18,0.38,,,,,,
,,2021 - 2022,3,1,0.33,,,,,,
,4. Bellary,2000 - 2001,11,4,0.36,,,,,,
,,2001 - 2002,19,6,0.32,,,,,,
,,2002 - 2003,11,4,0.36,,,,,,
,,2003 - 2004,6,0,0,,,,,,
,,2004 - 2005,10,2,0.2,,,,,,
,,2005 - 2006,28,9,0.32,,,,,,
,,2006 - 2007,133,41,0.31,,,,,,
,,2007 - 2008,35,14,0.4,,,,,,
,,2008 - 2009,15,6,0.4,,,,,,
,,2009 - 2010,13,4,0.31,,,,,,
,,2010 - 2011,7,2,0.29,,,,,,
,,2015 - 2016,3,,0,,,,,,
,,2019 - 2020,1,,0,,,,,,
,,2020 - 2021,2,1,0.5,,,,,,
,,2021 - 2022,1,0.35,0.35,,,,,,
,,2022 - 2023,3,0.99,0.33,,,,,,
,5. Bengaluru urban,2012 - 2013,2,,0,,,,,,
,,2013 - 2014,2,1,0.5,,,,,,
,,2015 - 2016,6,1,0.17,,,,,,
,,2019 - 2020,4,2,0.5,,,,,,
,,2020 - 2021,4,2,0.5,,,,,,
,,2021 - 2022,8,3,0.38,,,,,,
,,2022 - 2023,5,2,0.4,,,,,,
,6. Bidar,2000 - 2001,474,175,0.37,,,,,,
,,2001 - 2002,609,204,0.33,,,,,,
,,2002 - 2003,570,200,0.35,,,,,,
,,2003 - 2004,601,46,0.08,,,,,,
,,2004 - 2005,536,113,0.21,,,,,,
,,2005 - 2006,483,161,0.33,,,,,,
,,2006 - 2007,373,114,0.31,,,,,,
,,2007 - 2008,297,117,0.39,,,,,,
,,2008 - 2009,262,99,0.38,,,,,,
,,2009 - 2010,320,94,0.29,,,,,,
,,2010 - 2011,290,97,0.33,,,,,,
,,2011 - 2012,160,39,0.24,,,,,,
,,2012 - 2013,525,92,0.18,,,,,,
,,2013 - 2014,439,131,0.3,,,,,,
,,2014 - 2015,150,47,0.31,,,,,,
,,2015 - 2016,133,16,0.12,,,,,,
,,2016 - 2017,295,16,0.05,,,,,,
,,2017 - 2018,164,57,0.35,,,,,,
,,2018 - 2019,69,14,0.2,,,,,,
,,2019 - 2020,5,2,0.4,,,,,,
,,2020 - 2021,3,1,0.33,,,,,,
,,2021 - 2022,3,1,0.33,,,,,,
,,2022 - 2023,2,1,0.5,,,,,,
,7. Bijapur,2000 - 2001,"5,337.00","2,484.00",0.47,,,,,,
,,2001 - 2002,"6,271.00","1,829.00",0.29,,,,,,
,,2002 - 2003,"5,006.00","1,831.00",0.37,,,,,,
,,2003 - 2004,"3,324.00",38,0.01,,,,,,
,,2004 - 2005,"4,338.00","1,039.00",0.24,,,,,,
,,2005 - 2006,"4,104.00","1,622.00",0.4,,,,,,
,,2006 - 2007,"3,572.00","1,659.00",0.46,,,,,,
,,2007 - 2008,"5,093.00","1,727.00",0.34,,,,,,
,,2008 - 2009,"5,898.00","1,967.00",0.33,,,,,,
,,2009 - 2010,"4,209.00","1,196.00",0.28,,,,,,
,,2010 - 2011,"3,209.00","1,326.00",0.41,,,,,,
,,2011 - 2012,"3,962.00",508,0.13,,,,,,
,,2012 - 2013,"1,481.00",236,0.16,,,,,,
,,2013 - 2014,"1,345.00",367,0.27,,,,,,
,,2014 - 2015,864,177,0.2,,,,,,
,,2015 - 2016,"1,065.00",81,0.08,,,,,,
,,2016 - 2017,3,1,0.33,,,,,,
,,2017 - 2018,261,90,0.34,,,,,,
,,2018 - 2019,333,69,0.21,,,,,,
,,2019 - 2020,15,7,0.47,,,,,,
,,2020 - 2021,25,11,0.44,,,,,,
,,2021 - 2022,19,7,0.37,,,,,,
,,2022 - 2023,21,7,0.33,,,,,,
,8. Chamarajanagar,2014 - 2015,3,1,0.33,,,,,,
,,2019 - 2020,11,5,0.45,,,,,,
,,2020 - 2021,3,1,0.33,,,,,,
,,2021 - 2022,1,0.35,0.35,,,,,,
,9. Chikballapur,2018 - 2019,24,5,0.21,,,,,,
,,2019 - 2020,65,32,0.49,,,,,,
,,2020 - 2021,62,28,0.45,,,,,,
,,2021 - 2022,42,15,0.36,,,,,,
,,2022 - 2023,47,16,0.34,,,,,,
,10. Chikmagalur,2013 - 2014,4,1,0.25,,,,,,
,,2014 - 2015,2,1,0.5,,,,,,
,,2015 - 2016,16,2,0.13,,,,,,
,,2016 - 2017,2,,0,,,,,,
,,2018 - 2019,1,,0,,,,,,
,,2022 - 2023,2,1,0.5,,,,,,
,11. Chitradurga,2018 - 2019,28,6,0.21,,,,,,
,,2019 - 2020,38,19,0.5,,,,,,
,,2020 - 2021,119,53,0.45,,,,,,
,,2021 - 2022,126,45,0.36,,,,,,
,,2022 - 2023,69,23,0.33,,,,,,
,12. Davangere,2001 - 2002,3,1,0.33,,,,,,
,,2002 - 2003,3,1,0.33,,,,,,
,,2003 - 2004,2,0,0,,,,,,
,,2005 - 2006,9,3,0.33,,,,,,
,,2022 - 2023,14,5,0.36,,,,,,
,13. Dharwad,2000 - 2001,342,126,0.37,,,,,,
,,2001 - 2002,234,78,0.33,,,,,,
,,2002 - 2003,234,82,0.35,,,,,,
,,2003 - 2004,68,5,0.07,,,,,,
,,2004 - 2005,197,42,0.21,,,,,,
,,2005 - 2006,129,43,0.33,,,,,,
,,2006 - 2007,70,21,0.3,,,,,,
,,2007 - 2008,92,36,0.39,,,,,,
,,2008 - 2009,119,45,0.38,,,,,,
,,2009 - 2010,102,30,0.29,,,,,,
,,2010 - 2011,82,27,0.33,,,,,,
,,2011 - 2012,45,11,0.24,,,,,,
,,2012 - 2013,17,3,0.18,,,,,,
,,2013 - 2014,81,24,0.3,,,,,,
,,2014 - 2015,65,20,0.31,,,,,,
,,2015 - 2016,14,2,0.14,,,,,,
,,2018 - 2019,8,2,0.25,,,,,,
,,2019 - 2020,1,,0,,,,,,
,,2020 - 2021,6,3,0.5,,,,,,
,14. Gadag,2000 - 2001,"1,036.00",382,0.37,,,,,,
,,2001 - 2002,979,221,0.23,,,,,,
,,2002 - 2003,"1,051.00",322,0.31,,,,,,
,,2003 - 2004,"1,014.00",78,0.08,,,,,,
,,2004 - 2005,"1,329.00",322,0.24,,,,,,
,,2005 - 2006,"1,012.00",418,0.41,,,,,,
,,2006 - 2007,781,242,0.31,,,,,,
,,2007 - 2008,758,421,0.56,,,,,,
,,2008 - 2009,822,472,0.57,,,,,,
,,2009 - 2010,510,312,0.61,,,,,,
,,2010 - 2011,650,173,0.27,,,,,,
,,2011 - 2012,440,143,0.33,,,,,,
,,2012 - 2013,392,80,0.2,,,,,,
,,2013 - 2014,252,107,0.42,,,,,,
,,2014 - 2015,115,36,0.31,,,,,,
,,2015 - 2016,105,9,0.09,,,,,,
,,2016 - 2017,126,2,0.02,,,,,,
,,2017 - 2018,77,32,0.42,,,,,,
,,2018 - 2019,20,4,0.2,,,,,,
,,2019 - 2020,10,5,0.5,,,,,,
,,2021 - 2022,6,2,0.33,,,,,,
,,2022 - 2023,2,1,0.5,,,,,,
,15. Gulbarga,2000 - 2001,"1,006.00",371,0.37,,,,,,
,,2001 - 2002,"1,081.00",363,0.34,,,,,,
,,2002 - 2003,788,277,0.35,,,,,,
,,2003 - 2004,485,37,0.08,,,,,,
,,2004 - 2005,567,120,0.21,,,,,,
,,2005 - 2006,649,216,0.33,,,,,,
,,2006 - 2007,689,211,0.31,,,,,,
,,2007 - 2008,401,158,0.39,,,,,,
,,2008 - 2009,606,229,0.38,,,,,,
,,2009 - 2010,752,221,0.29,,,,,,
,,2010 - 2011,549,184,0.34,,,,,,
,,2011 - 2012,395,97,0.25,,,,,,
,,2012 - 2013,261,46,0.18,,,,,,
,,2013 - 2014,209,62,0.3,,,,,,
,,2014 - 2015,335,104,0.31,,,,,,
,,2015 - 2016,261,31,0.12,,,,,,
,,2016 - 2017,231,13,0.06,,,,,,
,,2017 - 2018,23,8,0.35,,,,,,
,,2018 - 2019,29,6,0.21,,,,,,
,,2020 - 2021,62,28,0.45,,,,,,
,,2021 - 2022,15,5,0.33,,,,,,
,,2022 - 2023,4,1,0.25,,,,,,
,16. Hassan,2019 - 2020,1,,0,,,,,,
,,2021 - 2022,1,0.35,0.35,,,,,,
,17. Haveri,2000 - 2001,285,105,0.37,,,,,,
,,2001 - 2002,74,25,0.34,,,,,,
,,2002 - 2003,45,16,0.36,,,,,,
,,2003 - 2004,33,3,0.09,,,,,,
,,2004 - 2005,40,8,0.2,,,,,,
,,2005 - 2006,111,37,0.33,,,,,,
,,2006 - 2007,118,36,0.31,,,,,,
,,2007 - 2008,128,51,0.4,,,,,,
,,2008 - 2009,102,38,0.37,,,,,,
,,2009 - 2010,120,35,0.29,,,,,,
,,2010 - 2011,131,44,0.34,,,,,,
,,2011 - 2012,116,28,0.24,,,,,,
,,2012 - 2013,38,7,0.18,,,,,,
,,2013 - 2014,46,14,0.3,,,,,,
,,2014 - 2015,74,23,0.31,,,,,,
,,2015 - 2016,34,4,0.12,,,,,,
,,2016 - 2017,13,1,0.08,,,,,,
,,2017 - 2018,17,6,0.35,,,,,,
,,2018 - 2019,12,2,0.17,,,,,,
,,2019 - 2020,5,2,0.4,,,,,,
,,2020 - 2021,9,4,0.44,,,,,,
,,2021 - 2022,2,1,0.5,,,,,,
,,2022 - 2023,3,1,0.33,,,,,,
,18. Kolar,2020 - 2021,3,1,0.33,,,,,,
,,2021 - 2022,2,1,0.5,,,,,,
,,2022 - 2023,1,0.33,0.33,,,,,,
,19. Koppal,2000 - 2001,"1,674.00",617,0.37,,,,,,
,,2001 - 2002,"1,389.00",586,0.42,,,,,,
,,2002 - 2003,"2,013.00",618,0.31,,,,,,
,,2003 - 2004,"1,784.00",139,0.08,,,,,,
,,2004 - 2005,"2,070.00",376,0.18,,,,,,
,,2005 - 2006,"1,724.00",599,0.35,,,,,,
,,2006 - 2007,"1,406.00",151,0.11,,,,,,
,,2007 - 2008,"1,473.00",469,0.32,,,,,,
,,2008 - 2009,"1,546.00",548,0.35,,,,,,
,,2009 - 2010,"1,952.00",571,0.29,,,,,,
,,2010 - 2011,"1,660.00",489,0.29,,,,,,
,,2011 - 2012,580,74,0.13,,,,,,
,,2012 - 2013,777,215,0.28,,,,,,
,,2013 - 2014,"1,018.00",358,0.35,,,,,,
,,2014 - 2015,780,455,0.58,,,,,,
,,2015 - 2016,582,88,0.15,,,,,,
,,2016 - 2017,135,6,0.04,,,,,,
,,2017 - 2018,362,133,0.37,,,,,,
,,2018 - 2019,121,33,0.27,,,,,,
,,2019 - 2020,4,2,0.5,,,,,,
,,2020 - 2021,30,15,0.5,,,,,,
,,2022 - 2023,1,0.33,0.33,,,,,,
,20. Mandya,2019 - 2020,5,2,0.4,,,,,,
,,2020 - 2021,3,1,0.33,,,,,,
,,2021 - 2022,2,1,0.5,,,,,,
,,2022 - 2023,2,1,0.5,,,,,,
,21. Mysore,2014 - 2015,11,3,0.27,,,,,,
,,2015 - 2016,16,2,0.13,,,,,,
,,2019 - 2020,6,3,0.5,,,,,,
,,2021 - 2022,5,2,0.4,,,,,,
,22. Raichur,2000 - 2001,52,19,0.37,,,,,,
,,2001 - 2002,155,52,0.34,,,,,,
,,2002 - 2003,334,117,0.35,,,,,,
,,2003 - 2004,157,12,0.08,,,,,,
,,2004 - 2005,160,34,0.21,,,,,,
,,2005 - 2006,112,37,0.33,,,,,,
,,2006 - 2007,85,26,0.31,,,,,,
,,2007 - 2008,237,94,0.4,,,,,,
,,2008 - 2009,52,17,0.33,,,,,,
,,2009 - 2010,119,61,0.51,,,,,,
,,2010 - 2011,159,75,0.47,,,,,,
,,2011 - 2012,299,164,0.55,,,,,,
,,2012 - 2013,38,15,0.39,,,,,,
,,2013 - 2014,48,21,0.44,,,,,,
,,2014 - 2015,57,44,0.77,,,,,,
,,2019 - 2020,5,2,0.4,,,,,,
,,2020 - 2021,2,1,0.5,,,,,,
,,2021 - 2022,2,1,0.5,,,,,,
,,2022 - 2023,1,0.33,0.33,,,,,,
,23. Ramanagara,2020 - 2021,9,4,0.44,,,,,,
,,2022 - 2023,1,0.33,0.33,,,,,,
,24. Shimoga,2000 - 2001,6,2,0.33,,,,,,
,,2001 - 2002,5,2,0.4,,,,,,
,,2002 - 2003,5,2,0.4,,,,,,
,,2003 - 2004,5,0,0,,,,,,
,,2004 - 2005,29,6,0.21,,,,,,
