State,District,Year,Linseed,,,,,,,,
,,,Rabi,,,Kharif,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2008 - 2009,262,127,0.48,,,,,,
,,2009 - 2010,182,88,0.48,,,,,,
,,2010 - 2011,162,82,0.51,,,,,,
,,2011 - 2012,158,83,0.53,,,,,,
,,2012 - 2013,158,86,0.54,,,,,,
,,2013 - 2014,157,89,0.57,,,,,,
,,2014 - 2015,159,101,0.64,,,,,,
,,2015 - 2016,142,75,0.53,,,,,,
,,2016 - 2017,131,68,0.52,,,,,,
,,2017 - 2018,125,64,0.51,,,,,,
,,2018 - 2019,117,61,0.52,,,,,,
,,2019 - 2020,107,58,0.54,,,,,,
,,2020 - 2021,317,171,0.54,,,,,,
,,2021 - 2022,324,175,0.54,,,,,,
,,2022 - 2023,288,89,0.31,,,,,,
,18. Kamrup metro,2005 - 2006,35,18,0.51,,,,,,
,,2006 - 2007,20,10,0.5,,,,,,
,,2007 - 2008,40,20,0.5,,,,,,
,,2008 - 2009,52,28,0.54,,,,,,
,,2009 - 2010,53,27,0.51,,,,,,
,,2010 - 2011,50,26,0.52,,,,,,
,,2011 - 2012,38,22,0.58,,,,,,
,,2012 - 2013,39,22,0.56,,,,,,
,,2013 - 2014,42,24,0.57,,,,,,
,,2014 - 2015,44,29,0.66,,,,,,
,,2015 - 2016,21,12,0.57,,,,,,
,,2016 - 2017,4,2,0.5,,,,,,
,,2017 - 2018,4,2,0.5,,,,,,
,,2018 - 2019,6,3,0.5,,,,,,
,,2019 - 2020,8,4,0.5,,,,,,
,,2020 - 2021,3,2,0.67,,,,,,
,,2021 - 2022,12,7,0.58,,,,,,
,,2022 - 2023,2,1,0.5,,,,,,
,19. Karbi anglong,2000 - 2001,91,39,0.43,,,,,,
,,2001 - 2002,103,44,0.43,,,,,,
,,2002 - 2003,100,43,0.43,,,,,,
,,2003 - 2004,127,54,0.43,,,,,,
,,2004 - 2005,125,52,0.42,,,,,,
,,2005 - 2006,125,53,0.42,,,,,,
,,2006 - 2007,113,48,0.42,,,,,,
,,2007 - 2008,113,48,0.42,,,,,,
,,2008 - 2009,114,49,0.43,,,,,,
,,2009 - 2010,111,48,0.43,,,,,,
,,2010 - 2011,62,26,0.42,,,,,,
,,2011 - 2012,62,30,0.48,,,,,,
,,2012 - 2013,77,37,0.48,,,,,,
,,2013 - 2014,68,28,0.41,,,,,,
,,2014 - 2015,69,39,0.57,,,,,,
,,2015 - 2016,70,29,0.41,,,,,,
,,2016 - 2017,72,30,0.42,,,,,,
,,2017 - 2018,64,27,0.42,,,,,,
,,2018 - 2019,66,30,0.45,,,,,,
,,2019 - 2020,70,31,0.44,,,,,,
,,2020 - 2021,54,24,0.44,,,,,,
,,2021 - 2022,44,20,0.45,,,,,,
,,2022 - 2023,59,26,0.44,,,,,,
,20. Karimganj,2000 - 2001,50,20,0.4,,,,,,
,,2001 - 2002,29,12,0.41,,,,,,
,,2002 - 2003,28,11,0.39,,,,,,
,,2003 - 2004,30,12,0.4,,,,,,
,,2004 - 2005,30,12,0.4,,,,,,
,,2005 - 2006,26,11,0.42,,,,,,
,,2006 - 2007,30,12,0.4,,,,,,
,,2007 - 2008,32,13,0.41,,,,,,
,,2008 - 2009,21,9,0.43,,,,,,
,,2009 - 2010,21,9,0.43,,,,,,
,,2010 - 2011,23,10,0.43,,,,,,
,,2011 - 2012,25,12,0.48,,,,,,
,,2012 - 2013,27,14,0.52,,,,,,
,,2013 - 2014,27,15,0.56,,,,,,
,,2014 - 2015,27,16,0.59,,,,,,
,,2015 - 2016,27,15,0.56,,,,,,
,,2016 - 2017,27,15,0.56,,,,,,
,,2017 - 2018,27,3,0.11,,,,,,
,,2018 - 2019,28,14,0.5,,,,,,
,,2019 - 2020,32,16,0.5,,,,,,
,,2020 - 2021,35,20,0.57,,,,,,
,,2021 - 2022,30,17,0.57,,,,,,
,,2022 - 2023,35,16,0.46,,,,,,
,21. Kokrajhar,2000 - 2001,325,162,0.5,,,,,,
,,2001 - 2002,390,193,0.49,,,,,,
,,2002 - 2003,430,213,0.5,,,,,,
,,2003 - 2004,450,224,0.5,,,,,,
,,2004 - 2005,419,207,0.49,,,,,,
,,2005 - 2006,566,280,0.49,,,,,,
,,2006 - 2007,554,275,0.5,,,,,,
,,2007 - 2008,460,228,0.5,,,,,,
,,2008 - 2009,395,169,0.43,,,,,,
,,2009 - 2010,435,204,0.47,,,,,,
,,2010 - 2011,526,281,0.53,,,,,,
,,2011 - 2012,471,254,0.54,,,,,,
,,2012 - 2013,470,269,0.57,,,,,,
