State,District,Year,Sunflower,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2002 - 2003,"66,321.00","37,704.00",0.57,"63,695.00","42,044.00",0.66,,,,"2,904.00","1,379.00",0.47
,,2003 - 2004,"61,597.00","26,527.00",0.43,"94,496.00","50,359.00",0.53,,,,"3,101.00","1,417.00",0.46
,,2004 - 2005,"61,829.00","26,509.00",0.43,"1,10,701.00","41,285.00",0.37,,,,"1,340.00",591,0.44
,,2005 - 2006,"55,982.00","27,093.00",0.48,"1,19,927.00","48,043.00",0.4,,,,"1,019.00",873,0.86
,,2006 - 2007,"43,405.00","17,603.00",0.41,"74,068.00","15,620.00",0.21,,,,"1,880.00",854,0.45
,,2007 - 2008,"31,052.00","13,711.00",0.44,"73,487.00","33,263.00",0.45,,,,"1,978.00","1,366.00",0.69
,,2008 - 2009,"48,746.00","19,767.00",0.41,"84,572.00","31,709.00",0.37,,,,"1,047.00",540,0.52
,,2009 - 2010,"43,105.00","14,621.00",0.34,"70,366.00","15,846.00",0.23,,,,"1,488.00",831,0.56
,,2010 - 2011,"8,980.00","4,284.00",0.48,"23,457.00","8,592.00",0.37,,,,287,165,0.57
,,2011 - 2012,"12,201.00","6,742.00",0.55,"23,356.00","11,108.00",0.48,,,,174,95,0.55
,,2012 - 2013,"19,047.00","9,934.00",0.52,"23,810.00","12,079.00",0.51,,,,271,148,0.55
,,2013 - 2014,"17,346.00","10,777.00",0.62,"27,776.00","16,281.00",0.59,,,,73,62,0.85
,,2014 - 2015,"20,278.00","10,692.00",0.53,"21,910.00","12,822.00",0.59,,,,257,192,0.75
,,2015 - 2016,"34,041.00","6,047.00",0.18,"6,827.00","1,946.00",0.29,,,,100,63,0.63
,,2016 - 2017,279,192,0.69,"13,379.00","5,885.00",0.44,,,,40,34,0.85
,,2017 - 2018,469,313,0.67,"9,954.00","11,612.00",1.17,,,,150,181,1.21
,,2018 - 2019,572,256,0.45,"6,891.00","6,874.00",1,,,,9,8,0.89
,,2019 - 2020,73,31,0.42,"10,441.00","10,941.00",1.05,,,,,,
,,2020 - 2021,71,65,0.92,"4,952.00","3,224.00",0.65,,,,12,15,1.25
,,2021 - 2022,110,86,0.78,"2,375.00","1,729.00",0.73,,,,6,8,1.33
,,2022 - 2023,219,189,0.86,"5,162.00","4,026.00",0.78,,,,15,18,1.2
,16. Hassan,2000 - 2001,414,248,0.6,"4,187.00","3,728.00",0.89,,,,63,45,0.71
,,2001 - 2002,346,214,0.62,"1,794.00","1,696.00",0.95,,,,6,5,0.83
,,2002 - 2003,187,83,0.44,"7,042.00","2,763.00",0.39,,,,21,13,0.62
,,2003 - 2004,173,63,0.36,"5,600.00","1,468.00",0.26,,,,,,
,,2004 - 2005,615,216,0.35,"9,778.00","8,481.00",0.87,,,,5,3,0.6
,,2005 - 2006,"1,597.00","1,217.00",0.76,"11,482.00","9,290.00",0.81,,,,15,12,0.8
,,2006 - 2007,992,764,0.77,"14,642.00","5,070.00",0.35,,,,4,3,0.75
,,2007 - 2008,734,551,0.75,"14,374.00","8,456.00",0.59,,,,43,44,1.02
,,2008 - 2009,736,721,0.98,"13,994.00","7,503.00",0.54,,,,18,14,0.78
,,2009 - 2010,840,521,0.62,"14,440.00","7,602.00",0.53,,,,15,13,0.87
,,2010 - 2011,149,111,0.74,"6,636.00","5,495.00",0.83,,,,24,24,1
,,2011 - 2012,11,3,0.27,"2,564.00","2,539.00",0.99,,,,,,
,,2012 - 2013,19,9,0.47,"1,125.00",360,0.32,,,,,,
,,2013 - 2014,,,,652,274,0.42,,,,,,
,,2014 - 2015,,,,908,691,0.76,,,,,,
,,2015 - 2016,,,,880,505,0.57,,,,,,
,,2016 - 2017,,,,238,98,0.41,,,,,,
,,2017 - 2018,,,,457,318,0.7,,,,,,
,,2018 - 2019,,,,2,1,0.5,,,,,,
,,2019 - 2020,,,,89,67,0.75,,,,,,
,,2020 - 2021,,,,64,34,0.53,,,,,,
,,2021 - 2022,,,,639,272,0.43,,,,,,
,,2022 - 2023,3,3,1,"2,284.00","1,786.00",0.78,,,,,,
,17. Haveri,2000 - 2001,"1,996.00","1,147.00",0.57,"1,932.00",990,0.51,,,,"1,027.00",863,0.84
,,2001 - 2002,"1,557.00",957,0.61,"1,074.00",491,0.46,,,,"1,174.00","1,148.00",0.98
,,2002 - 2003,"3,712.00","1,549.00",0.42,"2,944.00","1,046.00",0.36,,,,"1,363.00",829,0.61
,,2003 - 2004,"11,844.00","3,601.00",0.3,"3,184.00",812,0.26,,,,"1,391.00",736,0.53
,,2004 - 2005,"6,932.00","5,179.00",0.75,"3,626.00","1,853.00",0.51,,,,"2,392.00","1,520.00",0.64
,,2005 - 2006,"8,059.00","5,701.00",0.71,"6,573.00","2,937.00",0.45,,,,"3,225.00","1,226.00",0.38
,,2006 - 2007,"7,984.00","4,908.00",0.61,"4,216.00","1,454.00",0.34,,,,"2,404.00","2,124.00",0.88
,,2007 - 2008,"6,598.00","4,870.00",0.74,"3,196.00","1,591.00",0.5,,,,"2,421.00","2,590.00",1.07
,,2008 - 2009,"7,034.00","4,208.00",0.6,"3,363.00","1,549.00",0.46,,,,"2,168.00","2,000.00",0.92
,,2009 - 2010,"6,167.00","4,615.00",0.75,"1,438.00",758,0.53,,,,"1,782.00","1,938.00",1.09
,,2010 - 2011,"3,819.00","2,837.00",0.74,519,225,0.43,,,,"1,124.00","1,096.00",0.98
,,2011 - 2012,"1,664.00","1,201.00",0.72,209,122,0.58,,,,751,666,0.89
,,2012 - 2013,"2,924.00","1,997.00",0.68,"1,026.00",199,0.19,,,,701,499,0.71
,,2013 - 2014,"2,646.00","2,137.00",0.81,74,37,0.5,,,,984,732,0.74
,,2014 - 2015,"3,095.00","2,511.00",0.81,89,14,0.16,,,,"1,417.00","1,229.00",0.87
,,2015 - 2016,"3,085.00","1,644.00",0.53,103,28,0.27,,,,615,758,1.23
,,2016 - 2017,"1,709.00","1,229.00",0.72,511,300,0.59,,,,149,176,1.18
,,2017 - 2018,"1,212.00","1,460.00",1.2,355,450,1.27,,,,125,190,1.52
,,2018 - 2019,"2,929.00","2,977.00",1.02,758,188,0.25,,,,189,228,1.21
,,2019 - 2020,"3,260.00","3,075.00",0.94,114,52,0.46,,,,473,555,1.17
,,2020 - 2021,"8,350.00","11,932.00",1.43,98,60,0.61,,,,703,"1,140.00",1.62
,,2021 - 2022,"7,925.00","7,814.00",0.99,196,109,0.56,,,,328,440,1.34
,,2022 - 2023,"10,879.00","13,588.00",1.25,17,8,0.47,,,,177,156,0.88
,18. Kodagu,2012 - 2013,,,,4,2,0.5,,,,,,
,19. Kolar,2000 - 2001,14,10,0.71,"1,175.00",820,0.7,,,,541,388,0.72
,,2001 - 2002,,,,683,514,0.75,,,,531,434,0.82
,,2002 - 2003,"1,080.00",763,0.71,889,662,0.74,,,,408,248,0.61
,,2003 - 2004,"1,662.00","1,279.00",0.77,605,353,0.58,,,,888,469,0.53
,,2004 - 2005,"2,509.00","5,713.00",2.28,"1,917.00","1,310.00",0.68,,,,"1,009.00",655,0.65
,,2005 - 2006,"1,613.00","7,775.00",4.82,671,660,0.98,,,,"4,045.00","3,136.00",0.78
,,2006 - 2007,597,"1,316.00",2.2,889,288,0.32,,,,"1,275.00","2,508.00",1.97
,,2007 - 2008,,,,49,37,0.76,,,,68,69,1.01
,,2008 - 2009,,,,40,23,0.58,,,,10,8,0.8
,,2009 - 2010,,,,46,16,0.35,,,,5,4,0.8
,,2010 - 2011,,,,42,18,0.43,,,,4,4,1
,,2011 - 2012,,,,8,3,0.38,,,,4,4,1
,,2012 - 2013,,,,,,,,,,4,4,1
,,2018 - 2019,,,,1,1,1,,,,,,
,,2019 - 2020,1,1,1,4,3,0.75,,,,,,
,,2020 - 2021,9,8,0.89,2,2,1,,,,2,3,1.5
,,2021 - 2022,1,1,1,3,2,0.67,,,,6,8,1.33
,,2022 - 2023,,,,6,6,1,,,,2,2,1
,20. Koppal,2000 - 2001,"20,169.00","6,181.00",0.31,"7,888.00","3,938.00",0.5,,,,"4,471.00","2,752.00",0.62
,,2001 - 2002,"25,441.00","8,532.00",0.34,"19,687.00","8,610.00",0.44,,,,"6,801.00","5,679.00",0.84
,,2002 - 2003,"39,605.00","5,729.00",0.14,"20,409.00","8,667.00",0.42,,,,"8,102.00","4,711.00",0.58
,,2003 - 2004,"48,159.00","6,843.00",0.14,"27,093.00","10,489.00",0.39,,,,"7,073.00","2,862.00",0.4
,,2004 - 2005,"42,462.00","12,243.00",0.29,"40,378.00","15,821.00",0.39,,,,"10,667.00","6,779.00",0.64
,,2005 - 2006,"62,097.00","22,727.00",0.37,"45,323.00","18,648.00",0.41,,,,"5,744.00","4,065.00",0.71
,,2006 - 2007,"33,711.00","3,599.00",0.11,"62,202.00","10,211.00",0.16,,,,"6,229.00","3,349.00",0.54
,,2007 - 2008,"40,024.00","10,300.00",0.26,"45,873.00","18,176.00",0.4,,,,"8,670.00","7,298.00",0.84
,,2008 - 2009,"42,604.00","9,216.00",0.22,"41,009.00","14,360.00",0.35,,,,"7,565.00","5,052.00",0.67
,,2009 - 2010,"45,771.00","9,192.00",0.2,"35,390.00","7,901.00",0.22,,,,"2,273.00","1,885.00",0.83
,,2010 - 2011,"18,185.00","7,119.00",0.39,"18,208.00","9,291.00",0.51,,,,"3,558.00","4,009.00",1.13
,,2011 - 2012,"10,287.00","2,499.00",0.24,"22,484.00","11,655.00",0.52,,,,"4,566.00","4,585.00",1
,,2012 - 2013,"29,673.00","20,945.00",0.71,"20,085.00","16,829.00",0.84,,,,"3,940.00","3,814.00",0.97
,,2013 - 2014,"31,118.00","21,758.00",0.7,"20,508.00","19,132.00",0.93,,,,"6,182.00","5,691.00",0.92
,,2014 - 2015,"26,542.00","19,516.00",0.74,"16,994.00","12,286.00",0.72,,,,"5,353.00","5,075.00",0.95
,,2015 - 2016,"29,759.00","10,630.00",0.36,"15,215.00","6,851.00",0.45,,,,"4,077.00","3,370.00",0.83
,,2016 - 2017,"18,259.00","1,804.00",0.1,"14,314.00","5,507.00",0.38,,,,"1,654.00",50,0.03
,,2017 - 2018,"14,695.00","8,683.00",0.59,"11,627.00","11,708.00",1.01,,,,"2,000.00","2,654.00",1.33
,,2018 - 2019,"15,131.00","4,873.00",0.32,"11,784.00","7,288.00",0.62,,,,847,413,0.49
,,2019 - 2020,"4,982.00","2,499.00",0.5,"11,657.00","8,140.00",0.7,,,,"1,816.00","1,451.00",0.8
,,2020 - 2021,"2,117.00","1,262.00",0.6,"9,747.00","8,353.00",0.86,,,,188,166,0.88
,,2021 - 2022,"1,835.00","1,066.00",0.58,"17,441.00","12,470.00",0.71,,,,62,48,0.77
,,2022 - 2023,"2,338.00","1,309.00",0.56,"20,281.00","12,939.00",0.64,,,,29,24,0.83
,21. Mandya,2000 - 2001,7,5,0.71,11,5,0.45,,,,5,4,0.8
,,2001 - 2002,3,3,1,7,3,0.43,,,,1,1,1
,,2002 - 2003,4,2,0.5,,,,,,,1,1,1
,,2003 - 2004,2,2,1,10,5,0.5,,,,,,
,,2004 - 2005,6,3,0.5,40,15,0.38,,,,2,1,0.5
,,2005 - 2006,2,2,1,73,26,0.36,,,,,,
,,2006 - 2007,,,,16,10,0.63,,,,,,
,,2007 - 2008,,,,15,11,0.73,,,,,,
,,2010 - 2011,,,,,,,,,,3,3,1
,,2012 - 2013,,,,8,4,0.5,,,,,,
,,2013 - 2014,1,1,1,8,5,0.63,,,,,,
,,2014 - 2015,,,,12,7,0.58,,,,,,
,,2015 - 2016,,,,6,2,0.33,,,,,,
,,2016 - 2017,,,,2,1,0.5,,,,,,
,,2017 - 2018,,,,10,10,1,,,,,,
,,2018 - 2019,,,,4,3,0.75,,,,,,
,,2019 - 2020,,,,5,4,0.8,,,,37,40,1.08
,,2020 - 2021,2,2,1,7,6,0.86,,,,9,11,1.22
,,2021 - 2022,1,1,1,26,22,0.85,,,,7,9,1.29
,,2022 - 2023,1,1,1,4,4,1,,,,3,4,1.33
,22. Mysore,2000 - 2001,5,2,0.4,823,251,0.3,,,,34,24,0.71
,,2001 - 2002,15,5,0.33,767,435,0.57,,,,,,
,,2002 - 2003,260,92,0.35,"1,896.00",730,0.39,,,,62,38,0.61
,,2003 - 2004,317,63,0.2,994,380,0.38,,,,,,
,,2004 - 2005,42,24,0.57,"1,008.00",425,0.42,,,,164,106,0.65
,,2005 - 2006,42,21,0.5,"1,970.00",696,0.35,,,,23,18,0.78
,,2006 - 2007,12,4,0.33,"2,303.00",692,0.3,,,,5,4,0.8
,,2007 - 2008,28,12,0.43,"1,877.00",888,0.47,,,,,,
,,2008 - 2009,5,1,0.2,"1,845.00","1,065.00",0.58,,,,,,
,,2009 - 2010,169,38,0.22,"2,313.00","1,151.00",0.5,,,,,,
,,2010 - 2011,2,2,1,"1,987.00","1,818.00",0.91,,,,,,
,,2011 - 2012,,,,"1,153.00",803,0.7,,,,,,
,,2012 - 2013,,,,"1,255.00",407,0.32,,,,,,
,,2013 - 2014,,,,"1,016.00",647,0.64,,,,,,
,,2014 - 2015,,,,696,827,1.19,,,,,,
,,2015 - 2016,,,,"1,005.00",598,0.6,,,,,,
,,2016 - 2017,,,,517,128,0.25,,,,,,
,,2017 - 2018,,,,306,241,0.79,,,,,,
,,2018 - 2019,,,,"1,108.00","1,245.00",1.12,,,,,,
,,2019 - 2020,,,,545,172,0.32,,,,,,
,,2020 - 2021,,,,554,271,0.49,,,,1,1,1
,,2021 - 2022,1,1,1,"2,388.00","1,784.00",0.75,,,,,,
,,2022 - 2023,,,,"2,360.00","1,298.00",0.55,,,,,,
,23. Raichur,2000 - 2001,"45,620.00","17,023.00",0.37,"39,027.00","14,760.00",0.38,,,,"7,388.00","5,376.00",0.73
,,2001 - 2002,"55,888.00","23,715.00",0.42,"16,555.00","4,829.00",0.29,,,,"14,856.00","12,801.00",0.86
,,2002 - 2003,"80,254.00","30,990.00",0.39,"40,186.00","13,923.00",0.35,,,,"4,530.00","2,870.00",0.63
,,2003 - 2004,"83,305.00","26,556.00",0.32,"75,176.00","27,419.00",0.36,,,,"4,598.00","1,446.00",0.31
,,2004 - 2005,"92,989.00","25,308.00",0.27,"1,00,715.00","21,923.00",0.22,,,,"8,257.00","3,616.00",0.44
,,2005 - 2006,"1,10,591.00","47,485.00",0.43,"1,14,184.00","42,968.00",0.38,,,,"7,055.00","4,310.00",0.61
,,2006 - 2007,"1,02,957.00","30,489.00",0.3,"96,199.00","15,997.00",0.17,,,,"13,391.00","9,058.00",0.68
,,2007 - 2008,"93,898.00","40,141.00",0.43,"91,908.00","45,008.00",0.49,,,,"6,980.00","6,246.00",0.89
,,2008 - 2009,"91,313.00","27,868.00",0.31,"67,831.00","30,631.00",0.45,,,,"3,682.00","2,092.00",0.57
,,2009 - 2010,"58,324.00","12,404.00",0.21,"69,592.00","14,681.00",0.21,,,,"4,222.00","2,378.00",0.56
,,2010 - 2011,"23,381.00","10,846.00",0.46,"30,610.00","15,180.00",0.5,,,,"2,125.00","1,954.00",0.92
,,2011 - 2012,"18,367.00","4,563.00",0.25,"34,946.00","12,848.00",0.37,,,,877,495,0.56
,,2012 - 2013,"40,399.00","20,418.00",0.51,"25,208.00","13,698.00",0.54,,,,"2,160.00","2,066.00",0.96
,,2013 - 2014,"29,139.00","16,997.00",0.58,"33,642.00","18,920.00",0.56,,,,595,644,1.08
,,2014 - 2015,"16,293.00","8,157.00",0.5,"13,318.00","6,048.00",0.45,,,,850,649,0.76
,,2015 - 2016,"17,221.00","4,973.00",0.29,"12,454.00","4,934.00",0.4,,,,290,196,0.68
,,2016 - 2017,"9,715.00","1,883.00",0.19,"17,170.00","14,958.00",0.87,,,,,,
,,2017 - 2018,"4,757.00","1,830.00",0.38,"12,030.00","10,423.00",0.87,,,,,,
,,2018 - 2019,365,144,0.39,"3,600.00","2,695.00",0.75,,,,25,22,0.88
,,2019 - 2020,57,30,0.53,"2,571.00","1,722.00",0.67,,,,,,
,,2020 - 2021,242,67,0.28,"7,377.00","6,897.00",0.93,,,,1,1,1
,,2021 - 2022,216,169,0.78,"17,972.00","13,299.00",0.74,,,,11,15,1.36
,,2022 - 2023,176,153,0.87,"32,164.00","51,011.00",1.59,,,,2,2,1
,24. Ramanagara,2007 - 2008,,,,80,33,0.41,,,,1,1,1
,,2008 - 2009,,,,143,49,0.34,,,,,,
,,2009 - 2010,,,,79,18,0.23,,,,,,
,,2010 - 2011,,,,23,11,0.48,,,,,,
,,2011 - 2012,,,,14,11,0.79,,,,,,
,,2012 - 2013,,,,40,20,0.5,,,,,,
,,2013 - 2014,,,,88,51,0.58,,,,,,
,,2014 - 2015,,,,2,1,0.5,,,,,,
,,2015 - 2016,,,,8,3,0.38,,,,,,
,,2016 - 2017,,,,6,4,0.67,,,,,,
,,2017 - 2018,,,,10,10,1,,,,,,
,,2018 - 2019,,,,1,1,1,,,,,,
,,2019 - 2020,,,,2,2,1,,,,,,
,,2020 - 2021,,,,6,5,0.83,,,,,,
,,2021 - 2022,,,,8,7,0.88,,,,,,
,,2022 - 2023,,,,11,11,1,,,,,,
,25. Shimoga,2000 - 2001,4,3,0.75,57,28,0.49,,,,69,49,0.71
,,2001 - 2002,21,18,0.86,23,9,0.39,,,,74,60,0.81
,,2002 - 2003,31,22,0.71,81,31,0.38,,,,235,143,0.61
,,2003 - 2004,283,218,0.77,243,93,0.38,,,,402,212,0.53
,,2004 - 2005,706,636,0.9,73,24,0.33,,,,648,420,0.65
,,2005 - 2006,640,"1,301.00",2.03,46,16,0.35,,,,"1,149.00","1,919.00",1.67
,,2006 - 2007,703,"1,608.00",2.29,21,4,0.19,,,,"1,297.00","2,458.00",1.9
,,2007 - 2008,629,"1,480.00",2.35,36,15,0.42,,,,"2,029.00","4,667.00",2.3
,,2008 - 2009,564,742,1.32,34,12,0.35,,,,"1,373.00","2,618.00",1.91
,,2009 - 2010,531,985,1.85,23,5,0.22,,,,617,"1,288.00",2.09
,,2010 - 2011,190,362,1.91,,,,,,,591,"1,551.00",2.62
,,2011 - 2012,615,"1,288.00",2.09,3,1,0.33,,,,384,"1,089.00",2.84
,,2012 - 2013,756,"1,318.00",1.74,25,13,0.52,,,,604,"1,202.00",1.99
,,2013 - 2014,436,"1,004.00",2.3,2,1,0.5,,,,486,988,2.03
,,2014 - 2015,559,"1,177.00",2.11,13,7,0.54,,,,,,
,,2015 - 2016,359,701,1.95,11,4,0.36,,,,283,454,1.6
,,2016 - 2017,192,264,1.38,8,5,0.63,,,,53,84,1.58
,,2017 - 2018,174,353,2.03,,,,,,,41,131,3.2
,,2018 - 2019,328,681,2.08,12,10,0.83,,,,72,205,2.85
,,2019 - 2020,795,"1,825.00",2.3,,,,,,,58,148,2.55
,,2020 - 2021,"1,367.00","3,832.00",2.8,1,1,1,,,,123,308,2.5
,,2021 - 2022,396,819,2.07,2,2,1,,,,4,4,1
,,2022 - 2023,157,282,1.8,,,,,,,27,33,1.22
,26. Tumkur,2000 - 2001,"1,079.00",674,0.62,"1,401.00","1,074.00",0.77,,,,291,208,0.71
,,2001 - 2002,744,856,1.15,"1,115.00",782,0.7,,,,"1,472.00","1,203.00",0.82
,,2002 - 2003,"4,213.00","2,753.00",0.65,"6,827.00","3,291.00",0.48,,,,"2,366.00","1,439.00",0.61
,,2003 - 2004,"1,619.00","1,035.00",0.64,"4,725.00","2,874.00",0.61,,,,"1,735.00","1,586.00",0.91
,,2004 - 2005,"1,890.00","2,616.00",1.38,"10,787.00","15,834.00",1.47,,,,"1,342.00","1,928.00",1.44
,,2005 - 2006,345,321,0.93,"12,580.00","9,716.00",0.77,,,,"1,692.00","2,358.00",1.39
,,2006 - 2007,586,478,0.82,"12,184.00","7,583.00",0.62,,,,"1,498.00","1,460.00",0.97
,,2007 - 2008,155,135,0.87,"13,649.00","7,893.00",0.58,,,,958,"1,104.00",1.15
,,2008 - 2009,210,162,0.77,"10,362.00","8,508.00",0.82,,,,"1,081.00","1,108.00",1.02
,,2009 - 2010,128,81,0.63,"7,797.00","5,139.00",0.66,,,,217,288,1.33
,,2010 - 2011,95,82,0.86,"4,029.00","3,824.00",0.95,,,,73,101,1.38
,,2011 - 2012,57,43,0.75,"2,392.00","2,160.00",0.9,,,,53,68,1.28
,,2012 - 2013,44,22,0.5,"1,686.00","1,493.00",0.89,,,,50,70,1.4
,,2013 - 2014,,,,"1,241.00",818,0.66,,,,3,3,1
,,2014 - 2015,,,,"1,467.00","1,045.00",0.71,,,,7,6,0.86
,,2015 - 2016,1,,0,504,342,0.68,,,,,,
,,2016 - 2017,,,,360,195,0.54,,,,,,
,,2017 - 2018,,,,99,45,0.45,,,,,,
,,2018 - 2019,,,,97,68,0.7,,,,,,
,,2019 - 2020,,,,24,21,0.88,,,,,,
,,2020 - 2021,,,,13,8,0.62,,,,,,
,,2021 - 2022,,,,111,100,0.9,,,,,,
,,2022 - 2023,6,5,0.83,404,569,1.41,,,,4,5,1.25
,27. Udupi,2005 - 2006,4,2,0.5,,,,,,,,,
,,2006 - 2007,8,2,0.25,,,,,,,,,
,28. Uttar kannad,2000 - 2001,54,20,0.37,1,0.1,0.1,,,,,,
,,2001 - 2002,24,21,0.88,1,,0,,,,,,
,,2002 - 2003,14,10,0.71,2,1,0.5,,,,,,
,,2003 - 2004,15,12,0.8,10,8,0.8,,,,,,
,,2004 - 2005,18,16,0.89,13,10,0.77,,,,,,
,,2005 - 2006,90,84,0.93,6,4,0.67,,,,,,
,,2006 - 2007,117,95,0.81,12,7,0.58,,,,2,2,1
,,2007 - 2008,167,145,0.87,4,3,0.75,,,,,,
,,2008 - 2009,222,174,0.78,4,3,0.75,,,,2,2,1
,,2009 - 2010,222,140,0.63,,,,,,,1,1,1
,,2010 - 2011,215,185,0.86,,,,,,,,,
,,2011 - 2012,167,127,0.76,,,,,,,4,4,1
,,2012 - 2013,141,70,0.5,,,,,,,9,9,1
,,2013 - 2014,94,56,0.6,,,,,,,3,3,1
,,2014 - 2015,47,27,0.57,,,,,,,2,2,1
,,2015 - 2016,7,2,0.29,,,,,,,,,
,,2016 - 2017,7,2,0.29,,,,,,,,,
,,2017 - 2018,5,3,0.6,,,,,,,,,
,,2018 - 2019,3,2,0.67,1,1,1,,,,,,
,,2019 - 2020,3,2,0.67,,,,,,,,,
,,2020 - 2021,9,8,0.89,,,,,,,3,4,1.33
,,2021 - 2022,2,2,1,,,,,,,,,
,29. Vijayanagar,2022 - 2023,"3,446.00","3,487.00",1.01,"5,962.00","6,207.00",1.04,,,,16,19,1.19
,30. Yadgir,2010 - 2011,"2,640.00",883,0.33,"8,343.00","3,189.00",0.38,,,,142,70,0.49
,,2011 - 2012,"2,662.00",577,0.22,"10,967.00","2,944.00",0.27,,,,185,72,0.39
,,2012 - 2013,"4,073.00","1,625.00",0.4,"7,824.00","2,973.00",0.38,,,,202,101,0.5
,,2013 - 2014,"3,670.00","1,778.00",0.48,"9,585.00","4,580.00",0.48,,,,583,408,0.7
,,2014 - 2015,299,136,0.45,"4,215.00","2,114.00",0.5,,,,14,5,0.36
,,2015 - 2016,"2,310.00",507,0.22,"1,937.00",512,0.26,,,,26,7,0.27
,,2016 - 2017,65,51,0.78,"5,774.00","1,986.00",0.34,,,,,,
,,2017 - 2018,44,26,0.59,304,351,1.15,,,,,,
,,2018 - 2019,15,8,0.53,613,429,0.7,,,,,,
,,2019 - 2020,3,2,0.67,808,780,0.97,,,,,,
,,2020 - 2021,24,22,0.92,576,507,0.88,,,,61,78,1.28
,,2021 - 2022,71,55,0.77,"1,304.00","1,767.00",1.36,,,,23,31,1.35
,,2022 - 2023,125,109,0.87,"1,749.00","1,183.00",0.68,,,,23,27,1.17
10. Kerala,1. Alappuzha,2020 - 2021,,,,,,,1,0.3,0.3,,,
,,2021 - 2022,,,,,,,1.5,0.44,0.3,,,
,,2022 - 2023,,,,,,,0.5,0.15,0.3,,,
,2. Malappuram,2022 - 2023,,,,,,,1.3,1.61,1.24,,,
,3. Palakkad,2019 - 2020,,,,,,,1,1,1,,,
,,2021 - 2022,,,,,,,0.69,0.85,1.23,,,
,,2022 - 2023,,,,,,,5.62,6.55,1.17,,,
,4. Thrissur,2021 - 2022,,,,,,,1.8,0.25,0.14,,,
,5. Wayanad,2022 - 2023,,,,,,,1.01,1.17,1.16,,,
11. Madhya Pradesh,1. Anuppur,2006 - 2007,,,,4,1,0.25,,,,,,
,2. Ashoknagar,2013 - 2014,,,,,,,3,2,0.67,,,
,,2016 - 2017,20,20,1,,,,,,,,,
,3. Balaghat,2000 - 2001,,,,4,1,0.25,,,,,,
,,2002 - 2003,,,,22,5,0.23,,,,,,
,,2003 - 2004,,,,107,25,0.23,,,,,,
,,2004 - 2005,,,,154,45,0.29,,,,,,
,,2006 - 2007,,,,24,7,0.29,,,,,,
,,2007 - 2008,,,,,,,60,15,0.25,,,
,,2008 - 2009,,,,47,11,0.23,,,,,,
,,2009 - 2010,,,,,,,12,3,0.25,,,
,,2010 - 2011,,,,14,4,0.29,,,,,,
,,2011 - 2012,,,,,,,1,,0,,,
,,2012 - 2013,,,,,,,2,1,0.5,,,
,,2013 - 2014,,,,,,,2,1,0.5,,,
,4. Barwani,2000 - 2001,,,,137,46,0.34,,,,,,
,,2004 - 2005,,,,3,1,0.33,,,,,,
,,2005 - 2006,,,,7,1,0.14,,,,,,
,,2006 - 2007,,,,9,2,0.22,,,,,,
,,2007 - 2008,,,,,,,1,,0,,,
,,2008 - 2009,,,,1,,0,,,,,,
,,2010 - 2011,,,,7,1,0.14,,,,,,
,,2012 - 2013,,,,,,,3,1,0.33,,,
,5. Betul,2000 - 2001,,,,71,17,0.24,,,,,,
,,2001 - 2002,,,,484,132,0.27,,,,,,
,,2002 - 2003,,,,519,150,0.29,,,,,,
,,2003 - 2004,,,,293,97,0.33,,,,,,
,,2004 - 2005,,,,333,107,0.32,,,,,,
,,2005 - 2006,,,,188,60,0.32,,,,,,
,,2006 - 2007,,,,186,63,0.34,,,,,,
,,2007 - 2008,,,,,,,25,9,0.36,,,
,,2008 - 2009,,,,26,10,0.38,,,,,,
,,2009 - 2010,,,,,,,48,18,0.38,,,
,6. Burhanpur,2003 - 2004,,,,2,1,0.5,,,,,,
,,2004 - 2005,,,,2,1,0.5,,,,,,
,,2005 - 2006,,,,6,2,0.33,,,,,,
,,2006 - 2007,,,,4,2,0.5,,,,,,
,,2007 - 2008,,,,,,,5,2,0.4,,,
,,2008 - 2009,,,,4,2,0.5,,,,,,
,,2013 - 2014,,,,,,,1,,0,,,
,,2017 - 2018,"2,100.00","2,100.00",1,,,,,,,,,
,7. Chhindwara,2000 - 2001,,,,63,24,0.38,,,,,,
,,2001 - 2002,,,,93,41,0.44,,,,,,
,,2002 - 2003,,,,54,16,0.3,,,,,,
,,2003 - 2004,,,,65,31,0.48,,,,,,
,,2004 - 2005,,,,80,44,0.55,,,,,,
,,2005 - 2006,,,,87,48,0.55,,,,,,
,,2006 - 2007,,,,24,12,0.5,,,,,,
,,2007 - 2008,,,,,,,4,2,0.5,,,
,,2008 - 2009,,,,58,30,0.52,,,,,,
,,2009 - 2010,,,,,,,34,18,0.53,,,
,,2010 - 2011,,,,15,8,0.53,,,,,,
,,2011 - 2012,,,,,,,2,1,0.5,,,
,,2012 - 2013,,,,,,,2,1,0.5,,,
,,2016 - 2017,350,350,1,,,,,,,,,
,8. Damoh,2000 - 2001,,,,31,12,0.39,,,,,,
,,2002 - 2003,,,,2,0.01,0.01,,,,,,
