State,District,Year,Sunflower,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2019 - 2020,,,,18,11,0.61,,,,,,
,,2020 - 2021,,,,18,11,0.61,,,,,,
,,2021 - 2022,,,,19,15,0.79,,,,,,
,,2022 - 2023,,,,20,15,0.75,,,,,,
4. Bihar,1. Araria,2000 - 2001,,,,"1,912.00","3,320.00",1.74,,,,,,
,,2001 - 2002,,,,"1,984.00","2,444.00",1.23,,,,,,
,,2002 - 2003,,,,"2,307.00","3,171.00",1.37,,,,,,
,,2003 - 2004,,,,"2,044.00","3,003.00",1.47,,,,,,
,,2004 - 2005,,,,"1,218.00","1,734.00",1.42,,,,,,
,,2005 - 2006,,,,"3,033.00","4,417.00",1.46,,,,,,
,,2006 - 2007,"2,870.00","4,163.00",1.45,,,,,,,,,
,,2007 - 2008,"3,812.00","5,451.00",1.43,,,,,,,,,
,,2008 - 2009,"3,812.00","5,451.00",1.43,,,,,,,,,
,,2009 - 2010,"1,911.00","2,685.00",1.41,,,,,,,,,
,,2010 - 2011,"2,400.00","3,442.00",1.43,,,,,,,,,
,,2011 - 2012,"2,063.00","2,991.00",1.45,,,,,,,,,
,,2012 - 2013,"1,193.00","1,682.00",1.41,,,,,,,,,
,,2013 - 2014,537,782,1.46,,,,,,,,,
,,2014 - 2015,264,337,1.28,,,,,,,,,
,,2015 - 2016,850,"1,201.00",1.41,,,,,,,,,
,,2016 - 2017,514,701,1.36,,,,,,,,,
,,2017 - 2018,236,333,1.41,,,,,,,,,
,,2018 - 2019,216,309,1.43,,,,,,,,,
,,2019 - 2020,30,37,1.23,,,,,,,,,
,,2021 - 2022,4,6,1.5,,,,,,,,,
