State,District,Year,Bajra,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2004 - 2005,"1,693.00","1,297.00",0.77,,,,,,,,,
,,2005 - 2006,973,683,0.7,,,,,,,,,
,,2006 - 2007,"1,609.00","1,878.00",1.17,,,,,,,,,
,,2007 - 2008,"2,000.00","2,000.00",1,,,,,,,,,
,,2008 - 2009,"1,351.00","1,374.00",1.02,,,,,,,,,
,,2009 - 2010,846,890,1.05,5,5,1,,,,,,
,,2010 - 2011,619,355,0.57,,,,,,,,,
,,2011 - 2012,146,113,0.77,,,,,,,,,
,,2013 - 2014,207,182,0.88,3,3,1,,,,,,
,,2014 - 2015,132,95,0.72,,,,,,,,,
,,2015 - 2016,196,356,1.82,,,,,,,,,
,,2016 - 2017,90,110,1.22,,,,,,,,,
,,2017 - 2018,110,160,1.45,,,,,,,,,
,,2018 - 2019,82,92,1.12,,,,,,,,,
,,2019 - 2020,34,41,1.21,,,,,,,,,
,,2020 - 2021,31,30,0.97,,,,,,,,,
,,2021 - 2022,37,65,1.76,,,,,,,,,
,,2022 - 2023,25,58,2.32,,,,,,,,,
,22. West godavari,2003 - 2004,75,102,1.36,,,,,,,,,
,,2004 - 2005,65,71,1.09,,,,,,,,,
,,2005 - 2006,40,48,1.2,,,,,,,,,
2. Bihar,1. Araria,2000 - 2001,23,19,0.83,,,,,,,,,
,2. Aurangabad,2005 - 2006,4,4,1,,,,,,,,,
,3. Banka,2000 - 2001,2,2,1,,,,,,,,,
,,2002 - 2003,9,9,1,,,,,,,,,
,,2003 - 2004,17,18,1.06,,,,,,,,,
,,2004 - 2005,9,10,1.11,,,,,,,,,
,4. Begusarai,2016 - 2017,10,11,1.1,,,,,,,,,
,5. Bhagalpur,2000 - 2001,100,83,0.83,,,,,,,,,
,,2002 - 2003,12,12,1,,,,,,,,,
,,2004 - 2005,4,4,1,,,,,,,,,
